a	1
aa	2	s1	L0,1
aalborg	1
aaron	1
ab	2
bjudas	2
bjuder	1
bjudit	2
bjudning	2
bjuds	1
bjuv	1
bjöd	1
bjöds	1
björck	1
björk	1
björkar	2
björken	1
björklinge	2
björklund	2	s1
björklunds	2	s1
björklöven	2	s1	L1
björkman	1
björkö	2	s1	L1
björling	2	s1	L0
björn	1
björnar	2
björnarna	2
björnbär	1
björne	2
björnen	1
björns	1
björntjänst	2	s1	L0
bk	2
bl	2
bla	1
black	1
blackburn	1
blackout	1	1
blacks	1
blad	1
blade	1
bladen	1
bladet	1
bladh	1
blair	1
blaise	1
blake	1
blanc	1
blanca	2
blanche	1
blanco	1
bland	1
blanda	2
blandad	2
blandade	2
blandades	2
blandar	2
blandas	2
blandat	2
blandats	2
blandning	2
blandningar	2
blandningen	2
blank	1
blanka	2
blankett	1	1
blanketten	1	1
blanketter	1	1
blankt	1
blaska	2
blast	1
blek	1
bleka	2
blekare	2
blekaste	2
bleker	1
blekinge	2
blekinges	2
blekmedel	2	s1	L0,1
blekna	2
bleknar	2
blekt	1
blenda	2
blev	1
bli	1
blick	1
blicka	2
blickar	2
blickarna	2
blicken	1
blida	2
blidka	2
blind	1
blinda	2
blinde	2
blindhet	2	s1	L1
blindtarmen	2	s1
blink	1
blinka	2
blinkade	2
blinkande	2
blinkar	2
blinkers	1
blint	1
blir	1
bliss	1
blitt	1
bliva	2
blivande	2
blivit	2
blix	1
blixt	1
blixtar	2
blixten	1
blixtlås	2	s1	L1
blixtnedslag	2	s2	L1,2
blixtrar	2
blizzard	1
blm	1	2
block	1
blocka	2
blockad	1	1
blockade	2
blockaden	1	1
blockar	2
blocken	1
blockera	1	1
blockerade	1	1
blockerar	1	1
blockeras	1	1
blockerat	1	1
blockering	1	1
blockeringen	1	1
blocket	1
blockgränsen	2	s1
blockpolitik	2	s3	L3
blockpolitiken	2	s3	L3
blocköverskridande	2	s3	L1,3
blod	1
blodbad	2	s1	L0,1
blodbrist	2	s1	L0
blodet	1
blodets	1
blodflödet	2	s1	L0,1
blodförgiftning	2	s2	L0
blodgivare	2	s1	L0,1
blodgrupp	2	s1	L0
blodig	2
blodiga	2
blodigt	2
blodkroppar	2	s1	L0
blodkärl	2	s1	L0,1
blodkärlen	2	s1	L0,1
blodomloppet	2	s2	L0
blodpropp	2	s1	L0
blodproppar	2	s1	L0
blodprov	2	s1	L0,1
blodprover	2	s1	L0,1
blodpudding	2	s1	L0
blodsocker	2	s1	L0
blodsockret	2	s1	L0
blodtryck	2	s1	L0
blodtrycket	2	s1	L0
blodtörstiga	2	s1	L0
blom	1
blomberg	2	s1
blomkvist	2	s1
blomkål	2	s1	L1
blomma	2
blommade	2
blomman	2
blommande	2
blommar	2
blommor	2
blommorna	2
blomning	2
blomningen	2
blomqvist	2	s1
bloms	1
blomstertid	2	s2	L2
blomstra	2
blomstrade	2
blomstrande	2
blomstrar	2
blond	1
blonda	2
blonde	2
blondie	1
blondin	1	1
blondiner	1	1
blont	1
bloom	1
bloss	1
blossa	2
blossom	1
blott	1
blotta	2
blottade	2
blottar	2
blues	1
bluetooth	1
bluff	1
bluffar	2
bluffen	1
blund	1
blunda	2
blundade	2
blundar	2
blundat	2
blunder	1
blus	1
blusen	1
bly	1
blyerts	1
blyg	1
blyga	2
blygsam	2	s1	L0
blygsamma	2	s1	L0
blä	1
bläck	1
bläcket	1
bläckfisk	2	s1
bläddra	2
bläddrade	2
bläddrar	2
bläddrat	2
blända	2
bländande	2
blå	1
blåa	2
blåbär	1
blågröna	2	s1	L0,1
blågul	2	s1	L0,1
blågula	2	s1	L0,1
blåljus	2	s1	L0,1
blåmärke	2	s1	L0
blåmärken	2	s1	L0
blås	1
blåsa	2
blåsan	2
blåser	1
blåsigt	2
blåsning	2
blåsor	2
blåst	1
blåsta	2
blåste	2
blåsten	1
blåstes	2
blåsväder	2	s1	L0,1
blåtira	2	s1	L0,1
blått	1
blåvit	2	s1	L0,1
blåvita	2	s1	L0,1
blåvitt	2	s1	L0
blåögd	2	s1	L0
blåögda	2	s1	L0
blöda	2
blödande	2
blödde	2
blöder	1
blödig	2
blödning	2
blödningar	2
blödningen	2
blöja	2
blöjan	2
blöjor	2
blöt	1
blöta	2
blött	1
bmw	2
bni	1	2
bnp	2
bo	1
boa	2
board	1
bob	1
bobs	1
boca	1
bock	1
bocka	2
bockar	2
bocken	1
bod	1
boda	2
bodde	2
boden	1
bodens	1
bodil	1
bodin	1	1
bodström	2	s1	L0
body	1
bodén	1	1
boeing	1
boel	1
boende	2
boenden	2
boendes	2
boendet	2
boer	1
boet	1
bofasta	2	s1	L0
bofors	1	1
bog	1
bogsera	1	1
bohlin	1	1
bohman	1
bohus	1
bohuslän	1
bohusläns	1
bois	1
boj	1
bojan	2
bojkott	2	s1
bojkotta	2	s1
bojkottade	2	s1
bojkottar	2	s1
bojor	2
bok	1
boka	2
bokad	2
bokade	2
bokar	2
bokat	2
bokcirkel	2	s1	L0
boken	1
bokens	2
bokform	2	s1	L0
bokföring	2	s1	L0,1
bokföringen	2	s1	L0,1
bokförlag	2	s2	L0,2
bokförlaget	2	s2	L0,2
bokhandel	2	s1	L0
bokhandeln	2	s1	L0
bokhandlare	2	s1	L0
bokhylla	2	s1	L0
bokhyllan	2	s1	L0
bokhyllor	2	s1	L0
bokklubb	2	s1	L0
bokmässa	2	s1	L0
bokmässan	2	s1	L0
bokning	2
bokningar	2
bokningen	2
bokslut	2	s1	L0,1
bokstav	1	1
bokstaven	2	s1	L1
bokstavera	1	2
bokstavligen	2
bokstavligt	2
bokstavsordning	2	s2	L1,2
bokstäver	2
bokstäverna	2
boktips	2	s1	L0
bokus	1
bol	1
bolag	2
bolagen	2	s1	L0,1
bolaget	2	s1	L0,1
bolagets	2	s1	L0,1
bolagsstyrelser	2	s2	L0,1,2
bolagsstämma	2	s2	L0,1
boliden	2	s1	L0,1
bolin	1	1
bolivia	1	1
boll	1
bolla	2
bollar	2
bollarna	2
bollen	1
bollnäs	1
bologna	2	1
bolsjevikerna	1	2
bolton	1	o
bolund	2	s1	L0
bolån	2	s1	L1
bom	1
boman	1
bomb	1
bomba	2
bombad	2
bombade	2
bombar	2
bombas	2
bombat	2
bombay	1	1
bombdåd	2	s1	L1
bomben	1
bomber	2
bomberna	2
bombhot	2	s1	L1
bombningar	2
bombningarna	2
bombningen	2
bombplan	2	s1	L1
bomma	2
bommar	2
bommarna	2
bommen	1
bomull	2	s1
bon	1
bona	2
bond	1
bonde	2
bonden	2
bondgård	2	s1	L1
bondgårdar	2	s1	L1
bondgården	2	s1	L1
bonds	1
bong	1
bongo	1
boning	2
bonn	1
bonnie	1
bonnier	1
bonniers	1
bono	1	o
bonus	1
bonusar	1
bonusen	1
bonuspoäng	2	s3	L0
boo	1
boogie	1
book	1
books	1
boom	1
boots	1
boplats	2	s1	L0
bor	1
bora	2
boras	1	o
borat	1	1
bord	1
borda	2
borde	2
bordeaux	1	1
bordell	1	1
bordeller	1	1
borden	1
bordet	1
bords	1
bordtennis	2	s1	L0
borg	1
borgar	2
borgare	2
borgarna	2
borgarnas	2
borgen	1
borgerlig	2
borgerliga	2
borgerligheten	2	s3	L3
borgerligt	2
borges	2	s1
borgholm	2	s1
borgliga	2
borgmästare	2	s1
borgmästaren	2	s1
borgs	1
borgström	2	s1
borgå	2	s1	L1
boris	1
bork	1
borlänge	2	o	s1	L0
borna	2	o
borneo	1	o
bornholm	2	o	s1	L0
borr	1
borra	2
borrade	2
borrar	2
borras	2
borrat	2
borrelia	1	1
borrning	2
borsta	2
borstade	2
borstar	2
borstat	2
borste	2
borta	2
bortalaget	2	s2	L2
bortamatch	2	s2
bortamatchen	2	s2
bortamatcher	2	s2
bortaplan	2	s2	L2
bortblåst	2	s1	L1
bortfall	2	s1
bortförklara	2	s2	L2
bortförklaring	2	s2	L2
bortförklaringar	2	s2	L2
bortglömd	2	s1
bortglömda	2	s1
bortglömt	2	s1
bortgång	2	s1
bortkastad	2	s1
bortkastade	2	s1
bortkastat	2	s1
bortom	2
bortre	1
bortrest	2	s1	L1
bortresta	2	s1	L1
bortse	2	s1	L1
bortser	2	s1	L1
bortsett	2	s1
bortskämd	2	s1
bortskämda	2	s1
borttagande	2	s1	L1
borttagen	2	s1	L1
borttaget	2	s1	L1
borttagna	2	s1	L1
borttappade	2	s1
borås	1	1
bos	1
bosatt	2	s1	L0
bosatta	2	s1	L0
bosatte	2	s1	L0
bosch	1
boskap	2	s1	L0,1
bosnien	1
bosnier	1
bosniska	1
boss	1
bossar	2
bosse	2
bossen	1
bostad	2	s1	L0,1
bostaden	2	s1	L0,1
bostads	2	s1	L0,1
bostadsbidrag	2	s3	L0,1,3
bostadsbolag	2	s3	L0,1,2,3
bostadsbrist	2	s2	L0,1
bostadsbristen	2	s2	L0,1
bostadsbyggande	2	s2	L0,1
bostadsbyggandet	2	s2	L0,1
bostadshus	2	s2	L0,1,2
bostadsinbrott	2	s3	L0,1
bostadskö	2	s2	L0,1,2
bostadskön	2	s2	L0,1,2
bostadslån	2	s2	L0,1,2
bostadsmarknad	2	s2	L0,1
bostadsmarknaden	2	s2	L0,1
bostadsminister	2	s3	L0,1
bostadsområde	2	s3	L0,1,3
bostadsområden	2	s3	L0,1,3
bostadsområdet	2	s3	L0,1,3
bostadsort	2	s2	L0,1
bostadspolitik	2	s4	L0,1,4
bostadspolitiken	2	s4	L0,1,4
bostadsrätt	2	s2	L0,1
bostadsrätten	2	s2	L0,1
bostadsrätter	2	s2	L0,1
bostadsrättsförening	2	s4	L0,1,4
bostadsrättsföreningar	2	s4	L0,1,4
bostadsrättsföreningen	2	s4	L0,1,4
boston	1
boström	2	s1	L0
bostäder	2	s1	L0,1
bostäderna	2	s1	L0,1
bosätta	2	s1	L0
bosättare	2	s1	L0
bosätter	2	s1	L0
bosättning	2	s1	L0
bosättningar	2	s1	L0
bosättningen	2	s1	L0
bosön	2	s1	L0,1
bot	1
bota	2
botade	2
botaniska	1	1
botar	2
botas	2
botat	2
botemedel	2	s2	L0,2
botemedlet	2	s2	L0,2
boten	1
botkyrka	2	s1	L0
botswana	2	1
bott	1
botten	1
bottenhavet	2	s2	L2
bottennapp	2	s2
bottenviken	2	s2	L2
bottenvåning	2	s2	L2
bottenvåningen	2	s2	L2
bottnar	2
bottnen	1
boule	1
boulevard	1	2
bourbon	1
bourgogne	1	1
bournemouth	1
bov	1
bovarna	2
boven	1
boverket	2	s1	L0
bowla	2
bowling	1
box	1
boxar	2
boxare	2
boxaren	2
boxarna	2
boxas	2
boxen	1
boxer	1
boxholm	2	s1
boxning	2
boy	1
boye	2
boys	1
bp	2
bradley	1
bragd	1
brage	2
brahe	2
brahms	1
brak	1
braka	2
brakade	2
brakar	2
brallan	2
brallor	2
brallorna	2
brand	1
brandbil	2	s1	L1
brandbilar	2	s1	L1
branden	1
brandenburg	1
brandförsvar	2	s2	L2
brandkår	2	s1	L1
brandkåren	2	s1	L1
brandlarm	2	s1
brandlarmet	2	s1
brandman	2	s1
brandmannen	2	s1
brandmän	2	s1
brandmännen	2	s1
brands	1
brandsläckare	2	s1
brandstation	2
brandstationen	2
brandsäkerhet	2	s3	L1,3
brandt	1
brandvarnare	2	s1	L1
brandy	1
brann	1
bransch	1
branschen	1
branschens	1
branscher	2
branschorganisationen	2
brant	1
branta	2
branting	2
brasa	2
brasan	2
brasiliansk	1	3
brasilianska	1	3
brasilien	1	1
brasiliens	1	1
braskamin	2	s2	L0,2
brass	1
brasse	2
brast	1
bratislava	1
bratt	1
bravader	1	1
bravo	1
bravur	1	1
bre	1
break	1
bred	1
breda	2
bredare	2
bredaste	2
bredband	2	s1	L0
bredbandsbolaget	2	s3	L0,2,3
bredbent	2	s1	L0,1
bredd	1
bredda	2
bredde	2
bredden	1
breddgrader	2	s1	L1
breder	1
bredvid	2	s1	L0,1
bredäng	2	s1	L0
bremen	1
bremer	1
brenda	2
brendan	1
brennan	1
brenner	1
brent	1
brer	1
brest	1
bretagne	1	1
brett	1
brev	1
brevbärare	2	s1	L0,1
brevbäraren	2	s1	L0,1
breve	1
breven	1
brevet	1
brevlåda	2	s1	L0,1
brevlådan	2	s1	L0,1
brevlådor	2	s1	L0,1
brian	1
brick	1
bricka	2
brickan	2
brickor	2
brickorna	2
bridge	1
bridges	1
brie	1
brigad	1	1
brigaden	1	1
briggs	1
brighton	1
brigitte	1	1
briljans	1	1
briljant	1	1
briljanta	1	1
briljera	1	1
briljerar	1	1
brilliant	1	1
brillor	2
brillorna	2
bring	1
bringa	2
bringar	2
brink	1
brinn	1
brinna	2
brinnande	2
brinner	1
bris	1
brisbane	1
brist	1
bristande	2
bristen	1
brister	2
bristerna	2
bristfällig	2	s1
bristfälliga	2	s1
bristfälligt	2	s1
bristningsgränsen	2	s2
bristol	1
bristvara	2	s1	L1
bristyrken	2	s1
brit	1
brita	1
britannien	1	1
british	1
britt	1
britta	2
britten	1
britter	1
britterna	1
britternas	1
brittisk	1
brittiska	1
brittiske	1
brittiskt	1
bro	1
broadway	1
broar	2
broarna	2
broby	1
broccoli	1
brock	1
broder	2
brodera	1	1
broderi	1	2
brodern	2
broderskap	2	s2	L0,2
brodin	1	1
broken	1
brokig	2
brolin	1	1
broman	1
bromma	2
brommaplan	2	s2	L2
brommapojkarna	2	s2
broms	1
bromsa	2
bromsade	2
bromsar	2
bromsarna	2
bromsas	2
bromsen	1
bromölla	2	1
bron	1
brons	1
bronset	1
bronsmedalj	2	s2
bronsåldern	2	s1
bronx	1
brook	1
brooklyn	1
brooks	1
bror	1
brors	1
brorsa	2
brorsan	2
brorsans	2
brorsdotter	2	s1	L0
brorson	1
brorsson	1
bros	1
broschyr	1	1
broschyren	1	1
broschyrer	1	1
brosk	1
brott	1
brottades	2
brottare	2
brottas	2
brotten	1
brottet	1
brottets	1
brottmål	2	s1	L1
brottning	2
brotts	1
brottsbalken	2	s1
brottsbekämpning	2	s2
brottsförebyggande	2	s3	L1
brottslig	2
brottsliga	2
brottslighet	2	s2	L2
brottsligheten	2	s2	L2
brottsligt	2
brottsling	2
brottslingar	2
brottslingarna	2
brottslingen	2
brottsoffer	2	s1
brottsoffret	2	s1
brottsplats	2	s1
brottsplatsen	2	s1
brottsregister	2	s2
brottsstatistik	2	s3	L3
brottsstatistiken	2	s3	L3
brown	1
browning	1
browns	1
bruce	1
brud	1
brudar	2
brudarna	2
bruden	1
brudens	1
brudgummen	2	s1	L0
brudklänning	2	s1	L0
brudparet	2	s1	L0,1
bruins	1
bruk	1
bruka	2
brukade	2
brukar	2
brukare	2
brukaren	2
brukarna	2
brukas	2
brukat	2
bruket	1
brukligt	2
bruks	1
brun	1
bruna	2
brunare	2
brunei	1	1
brunett	1	1
brunflo	1
brunn	1
brunnar	2
brunnen	2
brunnit	2
brunnsparken	2	s1
bruno	1
brunsås	2	s1	L0,1
brunt	1
brus	1
bruset	1
brustit	2
brutal	1	1
brutala	1	1
brutalitet	1	3
brutalt	1	1
bruten	2
brutet	2
brutit	2
brutits	2
brutna	2
brutto	2
brutus	1
bruun	1
bry	1
bryan	1
brydde	2
brygga	2
bryggan	2
bryggare	2
brygger	1
bryggeri	1	2
bryggerier	1	2
bryggeriet	1	2
bryggor	2
bryn	1
bryr	1
bryskt	1
bryssel	1
brysselkål	2	s2	L2
bryt	1
bryta	2
brytare	2
brytas	2
bryter	1
brytning	2
brytningen	2
brytpunkt	2	s1	L0
brytpunkten	2	s1	L0
bryts	1
brytt	1
bräcke	2
bräcklig	2
bräckliga	2
bräckt	1
bräda	2
brädan	2
bräde	2
brädet	2
brädor	2
brädspel	2	s1	L0,1
bräkne	2
bränd	1
brända	2
brände	2
bränder	1
bränderna	1
brändes	2
bränn	1
bränna	2
brännande	2
brännare	2
brännaren	2
brännas	2
brännbart	2	s1	L1
brännboll	2	s1
bränner	1
bränning	2
brännpunkt	2	s1
bränns	1
brännskada	2	s1	L1
brännskador	2	s1	L1
brännström	2	s1
brännvin	2	s1	L1
bränsle	2
bränslen	2
bränslet	2
bränt	1
bränts	1
bräschen	1
brå	1
brådska	2
brådskande	2
bråk	1
bråka	2
bråkade	2
bråkar	2
bråkat	2
bråkdel	2	s1	L0,1
bråket	1
bråkig	2
bråkiga	2
brås	1
bråte	2
brått	1
bråttom	1
bråvalla	2	s1	L0
bröd	1
bröden	1
bröder	1
bröderna	1
brödernas	1
brödet	1
brödraskap	2	s2	L0,2
brödraskapet	2	s2	L0,2
brödrost	2	s1	L0
brödrosten	2	s1	L0
brödsmulor	2	s1	L0,1
bröllop	2
bröllopet	2
bröllopsdag	2	s2	L2
bröllopsnatten	2	s2
bröst	1
bröstcancer	2	s1
brösten	1
bröstet	1
bröstkorg	2	s1
bröstkorgen	2	s1
bröstmjölk	2	s1
bröstvårtor	2	s1	L1
bröstvårtorna	2	s1	L1
bröt	1
bröts	1
bt	2
bu	1
bua	2
bubba	1
bubbla	2
bubblan	2
bubblar	2
bubblor	2
bubblorna	2
buchanan	1	1
bucht	1
buckingham	1
bucklan	2
buckley	1
bucks	1
bud	1
buda	2
budapest	1
budbärare	2	s1	L0,1
budbäraren	2	s1	L0,1
buddhism	1	1
buddhismen	1	1
buddhist	1	1
buddhister	1	1
buddhistiska	1	1
budet	1
budget	1
budgetar	1
budgeten	1
budgetförslag	2	s3	L3
budgetpropositionen	2
budgivningen	2	s1	L0,1
budord	2	s1	L0,1
budorden	2	s1	L0,1
buds	1
budskap	2	s1	L0,1
budskapet	2	s1	L0,1
buenos	1	1
buffalo	1
buffel	1
buffert	1
buffé	1	1
buffén	1	1
bug	1
buga	2
bugar	2
bugg	1
bugga	2
buggar	2
buggen	1
buick	1
buk	1
bukarest	1
buken	1
bukett	1	1
bukt	1
bukten	1
bula	2
bulan	2
bulgarien	1	1
bulgariska	1	1
buljong	1	1
bulk	1
bullar	2
bullarna	2
bulldog	1
bulldozer	1
bulle	2
bullen	2
buller	1
bullerbyn	2	s2	L2
bullet	1
bullriga	2
bulls	1
bult	1
bultande	2
bultar	2
bulten	1
bums	1
bunden	2
bundesliga	1
bundet	2
bundit	2
bundna	2
bundsförvant	2	s2
bundy	1
bunke	2
bunker	1
bunkern	1
bunkra	2
bunkrar	2
bunt	1
bunta	2
buntar	2
bunten	1
bur	1
bura	2
burar	2
bure	2
buren	2
burgare	2
burgaren	2
burgarna	2
burger	1
burgess	1
burit	2
burk	1
burka	2
burkar	2
burkarna	2
burken	1
burlöv	1
burma	2
burman	1
burr	1
burt	1
burton	1
burundi	1	1
bus	1
busa	2
busar	2
busch	1
busenkelt	2	s1	L0
buset	1
business	1
buskage	1	1
buskar	2
buskarna	2
buske	2
busken	1
buss	1
bussa	2
bussar	2
bussarna	2
busschaufför	2
busschauffören	2
busschaufförer	2
bussen	1
bussförare	2	s1	L1
busshållplats	2	s2
busshållplatsen	2	s2
busskort	2	s1
busslinje	2	s1	L1
busslinjer	2	s1	L1
bussresa	2	s1	L1
bussresan	2	s1	L1
bussresor	2	s1	L1
busstation	2
busstationen	2
busstrafik	2	s2	L2
busstrafiken	2	s2	L2
buster	1
butik	1	1
butiken	1	1
butikens	1	1
butiker	1	1
butikerna	1	1
butikschef	2	1	s2	L0,1,2
butikskedja	2	1	s2	L0,1,2
butikspersonal	2	1	s4	L0,1,4
butiksägare	2	1	s2	L0,1,2
butler	1
butt	1
butter	1
butterfly	1
bvc	1	2
by	1
byar	2
byarna	2
bybor	2	s1	L0,1
byborna	2	s1	L0,1
bye	2
bygd	1
bygden	1
bygg	1
bygga	2
byggande	2
byggandet	2
byggarbetare	2	s2	L2
byggarbetsplats	2	s3	L2
byggare	2
byggas	2
byggbolag	2	s2	L1,2
byggbranschen	2	s1
byggd	1
byggda	2
byggde	2
byggdes	2
bygge	2
byggen	2
bygger	1
bygget	2
byggföretag	2	s3	L1,3
byggherrar	2	s1
byggherre	2	s1
byggherren	2	s1
byggindustrin	2	s3	L2,3
byggjobbare	2	s1
bygglov	2	s1	L1
byggmaterial	2	s4	L4
byggmästare	2	s1
byggnad	2
byggnaden	2
byggnadens	2
byggnader	2
byggnaderna	2
byggnads	2
byggnadsarbetare	2	s3	L3
byggnadsmaterial	2	s5	L5
byggnadsnämnden	2	s2
byggnadsverk	2	s2
byggnation	1	2
byggnationen	1	2
byggprojekt	2	s2
byggregler	2	s1	L1
byggs	1
byggsektorn	2	s1
byggstart	2	s1	L1
byggstenar	2	s1	L1
byggt	1
byggts	1
bylund	2	s1	L0
byn	1
byns	1
byron	1
byrå	2
byråer	1	1
byråkrater	1	2
byråkrati	1	3
byråkratin	1	3
byråkratisk	1	2
byråkratiska	1	2
byrån	2
byst	1
bysten	1
byström	2	s1	L0
byt	1
byta	2
bytas	2
byte	2
byten	2
byter	1
bytes	2
byteshandel	2	s2	L0
bytet	2
byts	1
bytte	2
byttes	2
bytts	1
byxa	2
byxan	2
byxor	2
byxorna	2
bä	1
bäbis	1
bäbisar	1
bäck	1
bäckar	2
bäcken	1
bäckenet	1
bäckman	1
bäckström	2	s1
bädd	1
bädda	2
bäddade	2
bäddar	2
bäddat	2
bägare	2
bägaren	2
bägge	2
bälinge	2
bält	1
bälte	2
bälten	2
bältet	2
bänk	1
bänka	2
bänkar	2
bänkarna	2
bänken	1
bänkpress	2	s1
bär	1
bära	2
bärande	2
bärare	2
bäraren	2
bäras	2
bärbar	2	s1	L0,1
bärbara	2	s1	L0,1
bären	1
bärga	2
bärgare	2
bärgas	2
bärgning	2
bäring	2
bärplockare	2	s1	L0
bärs	1
bäst	1
bästa	2
bäste	2
bästis	1
bästisar	1
bästsäljande	2	s1
bästsäljare	2	s1
bättra	2
bättrar	2
bättre	1
bättring	2
bättringsvägen	2	s2	L2
bävar	2
bäver	1
bävern	1
bävrar	2
båda	2
bådar	2
bådas	2
både	2
båg	1
bågar	2
båge	2
bågen	1
bågskyttar	2	s1	L0
bågskytte	2	s1	L0
bål	1
bålen	1
bålsta	1
bår	1
bård	1
bårhuset	2	s1	L0,1
bås	1
båset	1
båstad	1
båt	1
båtar	2
båtarna	2
båten	1
båtens	1
bö	1
böcker	1
böckerna	1
böda	2
bödel	2
bög	1
bögar	2
bögarna	2
bögen	1
böhmen	1
böj	1
böja	2
böjd	1
böjda	2
böjde	2
böjelse	2
böjer	1
böjning	2
böjs	1
böjt	1
bökigt	2
böla	2
bölar	2
böljande	2
bön	1
böna	2
bönder	1
bönderna	1
böndernas	2
bönen	1
böner	2
bönor	2
bönorna	2
bör	1
börd	1
börda	2
bördan	2
bördig	2
bördiga	2
bördor	2
börja	2
började	2
början	2
börjar	2
börjas	2
börjat	2
börje	2
börjesson	2	s2
börs	1
börsen	1
börser	2
börserna	2
börsnoterade	2	s2	L2
börsnoterat	2	s2	L2
bössa	2
bössan	2
bössor	2
böta	2
böter	1
böterna	1
c	1
ca	2
cab	1
cabin	1	1
cabriolet	1	3
cad	1
caddy	1
cadillac	1
caesar	1
caesars	1
cafeterian	1	2
café	1	1
caféer	1	1
caféet	1	1
cagliari	1	2
cajsa	2
calcutta	2	1
calgary	1
cali	1
californien	1	2	o
call	1
calle	2
calvin	1
calypso	1	1
cam	1
cambridge	1
camden	1
camel	1
camera	1
camilla	2	1
camille	1	1
camp	1
campa	2
campaign	1	1
campar	2
camping	1
campingen	1
campingplats	2	s2
campos	1
campus	1
can	1
canada	1
canal	1	1
canaria	1	1
cancer	1
cancerfonden	2	s2
cancerframkallande	2	s3
cancern	1
cancerpatienter	2	s4
cancersjuka	2	s2	L2
candice	1
candy	1
cannabis	1
cannes	1
cannon	1
canon	1	1
canterbury	1
canvas	1
canyon	1
cao	1
cap	1
cape	1
capella	2	1
capita	1
capital	1
cappuccino	1	2
capri	1
caprice	1
caps	1
caracas	1	1
card	1
cardiff	1
cardigan	1
care	1
cargo	1
carin	2
carina	2	1
caritas	2	1
carl	1
carla	2
carlgren	2	s1	L0,1
carlin	1	1
carlo	1
carlos	1
carlqvist	2	s1	L0
carls	1
carlsberg	1
carlsen	1
carlson	1
carlsson	1
carlssons	1
carlström	2	s1	L0
carlton	1
carmen	1
carnegie	1	1
carol	1
carola	2	1	o
carole	2
carolin	1	2
carolina	2	2
caroline	1	2
carolus	1	1	o
carolyn	1
carrera	1	1
carrie	1
carroll	1
carry	1
cars	1
carson	1
carsten	1
carte	1
carter	1
cartier	1	1
cary	1
casablanca	2	2
casanova	2	2	o
case	1
cashewnötter	2	s2	L1
casino	1	1
casinon	1	1
casinot	1	1
caspar	1
casper	1
cassandra	2	1
cassius	1
casting	1
castor	1
castro	1
cat	1
catalina	2	2
catarina	2	2
catena	2	1
catering	1
catharina	2	2
catherine	1	1
cathrine	1	1
cathy	1
cato	1
catrin	1	1
cats	1
cayenne	1	1
caymanöarna	2
cbs	1	2
cc	2
cd	2
cdu	1	2
ceasar	2
cecil	1
cecilia	1	1
cedergren	2	s2	L0,2
cederström	2	s2	L0
celebration	1	3
celeste	1	1
celibat	1	2
celine	1	1
cell	1
cellen	1
celler	1
cellerna	1
cellgifter	2	s1
cello	1
cellulosa	2	2
celsius	1
celtic	1
celtics	1
cement	1	1
cementera	1	2
censur	1	1
censuren	1	1
censurera	1	2
censurerade	1	2
censurerar	1	2
cent	1
center	1
centern	1
centerns	1
centerpartiet	2	s3	L3
centerpartiets	2	s3	L3
centerpartist	2	s3
centerpartister	2	s3
centimeter	1	2
centimeters	1	2
centra	1
central	1	1
centrala	1	1
centralamerika	2	1	s3	L1,3
centralasien	2	1	s2	L1,2
centralbank	2	1	s2	L1
centralbanken	2	1	s2	L1
centralbyrån	2	1	s2	L1,2,3
centralen	1	1
centraleuropa	2	1	s4	L1,4
centralisering	1	3
centralort	2	1	s2	L1
centralorten	2	1	s2	L1
centralstation	2	1
centralstationen	2	1
centralt	1	1
centre	1
centrerad	1	1
centret	1
centrum	1
centrumet	1
ceremoni	1	3
ceremonier	1	3
ceremonin	1	3
certifiering	1	3
certifikat	1	3
cesar	1
ceylon	1
cf	2
ch	2
cha	1
chad	1
chalmers	1
champagne	1	1
champagnen	1	1
champinjoner	1	2
champion	1
champions	1
chan	1
chanel	1	1
chang	1
chans	1
chansa	2
chansade	2
chansar	2
chansen	1
chanser	2
chanserna	2
chanslös	2	s1	L1
chanslösa	2	s1	L1
chansning	2
chaplin	1
chapman	1
char	1
chardonnay	1	2
charge	1
chark	1
charles	1
charleston	1
charlie	1
charlies	1
charlotta	2	1
charlotte	1	1
charm	1
charma	2
charmen	1
charmerande	1	1
charmig	2
charmiga	2
charmigt	2
charmör	1	1
charter	1
chassi	1
chassit	1
chateau	1	1
chatta	2
chaufför	1	1
chauffören	1	1
chaufförer	1	1
chaufförerna	1	1
chavez	1
check	1
checka	2
checkade	2
checkar	2
checkat	2
checklista	2	s1
cheddar	1
cheese	1
cheesecake	1
chef	1
chefen	1
chefens	1
chefer	2
cheferna	2
chefredaktör	2	s3	L0,3
chefredaktören	2	s3	L0,3
chefs	1
chefsekonom	2	s3	L0,3
chefsåklagare	2	s2	L0,1,2
chelsea	1
chen	1
cheng	1
cherry	1
chess	1
chester	1
chevrolet	1	2
chez	1
chi	1
chic	1
chica	2
chicago	1	1
chicagos	1	1
chick	1
chief	1
chiefs	1
chile	2
chiles	2
chili	1
chilisås	2	s2	L0,2
chinatown	1
chip	1
chips	1
chipsen	1
chock	1
chocka	2
chockade	2
chockar	2
chocken	1
chockerande	1	1
chocktillstånd	2	s2
choklad	1	1
chokladbit	2	1	s2	L1,2
chokladen	1	1
chokladkaka	2	1	s2	L1,2
chokladkakor	2	1	s2	L1,2
chokladpudding	2	1	s2	L1
chokladsås	2	1	s2	L1,2
chokladtårta	2	1	s2	L1,2
chopin	1	1
chris	1
christa	2
christensen	2	s2
christer	1
christian	1
christiania	1	2
christians	1
christiansen	2
christiansson	2
