# Central Kurdish bizroke lexicon — word<TAB>IPA, for the UNWRITTEN short /ɪ/ only.
# Every entry differs from this engine's rule output by inserted /ɪ/ and NOTHING ELSE: the
# consonant skeleton is ours and independently confirmed, the vowel is what we lack.
# Built by tools/central-kurdish/build_ckb_lexicon.py from the AsoSoft Kurdish-G2P-dataset.
# ⚠ SOURCE TERMS AND THE TWO MANDATORY CITATIONS: LICENSES/LicenseRef-AsoSoftKurdishG2P.txt
ئاخافتن	ʔaːxaːftɪn
خشتەی	xɪʃtaj
خنجیلانەی	xɪnd͡ʒiːlaːnaj
خواردن	xwaːɾdɪn
خواردنی	xwaːɾdɪniː
خواردنەوە	xwaːɾdɪnawa
خواردنەوەی	xwaːɾdɪnawaj
خولقاندنی	xulqaːndɪniː
خولقێندراون	xulqeːndɪɾaːwɪn
خوێندبوویان	xweːndɪbuːjaːn
خوێندن	xweːndɪn
خوێندن	xweːndɪn
خوێندنی	xweːndɪniː
خوێندنی	xweːndɪniː
خوێندنەوە	xweːndɪnawa
خوێندنەوە	xweːndɪnawa
خوێندنەوەکانی	xweːndɪnawakaːniː
خوێندنەوەی	xweːndɪnawaj
خوێندنەوەی	xweːndɪnawaj
خوێندنەوەیان	xweːndɪnawajaːn
خوەسنیان	xwasɪnjaːn
خڕ	xɪr
خڕکەمەوە	xɪrkamawa
خڕیان	xɪrjaːn
خۆبەڕێوەبردن	xoːbareːwabɪɾdɪn
خۆشم	xoːʃɪm
خۆمم	xoːmɪm
خۆناساندنیان	xoːnaːsaːndɪnjaːn
خۆڕاگری	xoːraːɡɪɾiː
خەریکن	xaɾiːkɪn
دابخرێ	daːbɪxɪɾeː
دابمەزرێ	daːbɪmazɾeː
دابمەزرێن	daːbɪmazɾeːn
دابمەزرێندرێ	daːbɪmazɾeːndɪɾeː
دابمەزرێندرێن	daːbɪmazɾeːndɪɾeːn
دابمەزرێنن	daːbɪmazɾeːnɪn
دابنرێت	daːbɪnɪɾeːt
دابنێت	daːbɪneːt
دابنێن	daːbɪneːn
دابڕاوەکانی	daːbɪraːwakaːniː
دابەزاندنی	daːbazaːndɪniː
دابەشکردنی	daːbaʃkɪɾdɪniː
دابەشکردنی	daːbaʃkɪɾdɪniː
داخرا	daːxɪɾaː
داخران	daːxɪɾaːn
داخستنی	daːxɪstɪniː
داخستین	daːxɪstiːn
دادەمەزرێندرێ	daːdamazɾeːndɪɾeː
دادەمەزرێنن	daːdamazɾeːnɪn
دادەنرێت	daːdanɪɾeːt
دادەنرێن	daːdanɪɾeːn
دادەنێردرێن	daːdaneːɾdɪɾeːn
داساکاندن	daːsaːkaːndɪn
داسەپاندن	daːsapaːndɪn
داسەپێندراوە	daːsapeːndɪɾaːwa
داشکانی	daːʃɪkaːniː
داشکانێکی	daːʃɪkaːneːkiː
داشکانەوە	daːʃɪkaːnawa
داعش	daːʕɪʃ
داعشەوە	daːʕɪʃawa
دامرکاندنی	daːmɪɾkaːndɪniː
دامرکاودا	daːmɪɾkaːwdaː
دامڕشتبوو	daːmrɪʃtɪbuː
دامەزراندن	daːmazɾaːndɪn
دامەزراندنی	daːmazɾaːndɪniː
دامەزراندنی	daːmazɾaːndɪniː
دامەزراون	daːmazɾaːwɪn
دامەزرێندراون	daːmazɾeːndɪɾaːwɪn
دامەزرێندراوە	daːmazɾeːndɪɾaːwa
دامەزرێندرێ	daːmazɾeːndɪɾeː
داناون	daːnaːwɪn
دانراوە	daːnɪɾaːwa
دانراوە	daːnɪɾaːwa
دانیشتن	daːniːʃtɪn
دانیشتنی	daːniːʃtɪniː
دانەبەزێنن	daːnabazeːnɪn
دانەمەزراندنی	daːnamazɾaːndɪniː
داود	daːwɪd
داون	daːwɪn
داڕشتنی	daːrɪʃtɪniː
داڕشتنی	daːrɪʃtɪniː
داڕێژاندنی	daːreːʒaːndɪniː
داگرتن	daːɡɪɾtɪn
داگیرکرا	daːɡiːɾkɪɾaː
داگیرکرد	daːɡiːɾkɪɾd
داگیرکردبوون	daːɡiːɾkɪɾdɪbuːn
داگیرکردنی	daːɡiːɾkɪɾdɪniː
دایکم	daːjkɪm
ددان	dɪdaːn
ددانانم	dɪdaːnaːnɪm
در	dɪɾ
درا	dɪɾaː
درا	dɪɾaː
درابن	dɪɾaːbɪn
درابوون	dɪɾaːbuːn
درابوویێ	dɪɾaːbuːjeː
درابێ	dɪɾaːbeː
درامای	dɪɾaːmaːj
دران	dɪɾaːn
دراو	dɪɾaːw
دراو	dɪɾaːw
دراوسێ	dɪɾaːwseː
دراون	dɪɾaːwɪn
دراون	dɪɾaːwɪn
دراونەتەوە	dɪɾaːwnatawa
دراوێک	dɪɾaːweːk
دراوێکی	dɪɾaːweːkiː
دراوە	dɪɾaːwa
دراوە	dɪɾaːwa
دراوەش	dɪɾaːwaʃ
دراوەوە	dɪɾaːwawa
دروست	dɪɾust
دروستبوونی	dɪɾustbuːniː
دروستکراوە	dɪɾustkɪɾaːwa
دروستکرد	dɪɾustkɪɾd
دروستکردنی	dɪɾustkɪɾdɪniː
دروستی	dɪɾustiː
دروشمی	dɪɾuʃmiː
درووست	dɪɾuːst
درکێندران	dɪɾkeːndɪɾaːn
درۆ	dɪɾoː
درۆ	dɪɾoː
درۆشمێکی	dɪɾoːʃmeːkiː
درۆشمەکەی	dɪɾoːʃmakaj
درێژ	dɪɾeːʒ
درێژایی	dɪɾeːʒaːjiː
درێژخایەن	dɪɾeːʒxaːjan
درێژخایەنەوە	dɪɾeːʒxaːjanawa
درێژخایەنەکە	dɪɾeːʒxaːjanaka
درێژی	dɪɾeːʒiː
درێژی	dɪɾeːʒiː
درێژە	dɪɾeːʒa
درێژەی	dɪɾeːʒaj
درێژەی	dɪɾeːʒaj
دزی	dɪziː
دزی	dɪziː
دزەکان	dɪzakaːn
دلاوەر	dɪlaːwaɾ
دلاوەرێ	dɪlaːwaɾeː
دنیا	dɪnjaː
دنیادا	dɪnjaːdaː
دنیای	dɪnjaːj
دنە	dɪna
دنەدەری	dɪnadaɾiː
دهۆک	dɪhoːk
دهۆکی	dɪhoːkiː
دهۆکێ	dɪhoːkeː
دواتر	dwaːtɪɾ
دواتر	dwaːtɪɾ
دواتری	dwaːtɪɾiː
دواتریش	dwaːtɪɾiːʃ
دواتریش	dwaːtɪɾiːʃ
دواخستنی	dwaːxɪstɪniː
دواون	dwaːwɪn
دواکەوتنی	dwaːkawtɪniː
دواکەوتنی	dwaːkawtɪniː
دواکەوتنە	dwaːkawtɪna
دوورلەبڕوای	duːɾlabɪrwaːj
دوورەوڵاتیدا	duːɾawɪɫaːtiːdaː
دووزمانە	duːzɪmaːna
دووزمانەکان	duːzɪmaːnakaːn
دووپاتکردەوە	duːpaːtkɪɾdawa
دوژمن	duʒmɪn
دوژمنانی	duʒmɪnaːniː
دوژمنی	duʒmɪniː
دڕووتریشدایە	dɪruːtɪɾiːʃdaːja
دژ	dɪʒ
دژ	dɪʒ
دژایەتی	dɪʒaːjatiː
دژایەتی	dɪʒaːjatiː
دژایەتییان	dɪʒaːjatiːjaːn
دژوار	dɪʒwaːɾ
دژوارکردنەوەی	dɪʒwaːɾkɪɾdɪnawaj
دژوارە	dɪʒwaːɾa
دژی	dɪʒiː
دژیان	dɪʒjaːn
دژە	dɪʒa
دکتۆر	dɪktoːɾ
دڵ	dɪɫ
دڵسۆز	dɪɫsoːz
دڵسۆزی	dɪɫsoːziː
دڵشاد	dɪɫʃaːd
دڵم	dɪɫɪm
دڵنیا	dɪɫnjaː
دڵنیام	dɪɫnjaːm
دڵنیایی	dɪɫnjaːjiː
دڵنیایییەوە	dɪɫnjaːjiːjawa
دڵی	dɪɫiː
دڵە	dɪɫa
دڵەڕاوکێی	dɪɫaraːwkeːj
دڵەکاندا	dɪɫakaːndaː
دۆزراوەکانم	doːzɾaːwakaːnɪm
دیاربەکر	djaːɾbakɪɾ
دیاربەکردا	djaːɾbakɪɾdaː
دیاربەکردایە	djaːɾbakɪɾdaːja
دیاربەکرن	djaːɾbakɪɾɪn
دیاربەکری	djaːɾbakɪɾiː
دیاربەکریش	djaːɾbakɪɾiːʃ
دیاربەکرێ	djaːɾbakɪɾeː
دیاربەکرە	djaːɾbakɪɾa
دیاربەکرەوە	djaːɾbakɪɾawa
دیاریکراو	djaːɾiːkɪɾaːw
دیاریکراو	djaːɾiːkɪɾaːw
دیاریکراودا	djaːɾiːkɪɾaːwdaː
دیاریکراوی	djaːɾiːkɪɾaːwiː
دیاریکردنی	djaːɾiːkɪɾdɪniː
دیتم	diːtɪm
دیتنی	diːtɪniː
دێرسم	deːɾsɪm
دێرک	deːɾɪk
دێنن	deːnɪn
دێننە	deːnɪna
دێپارتمانی	deːpaːɾtɪmaːniː
دەبرا	dabɪɾaː
دەبرد	dabɪɾd
دەبرد	dabɪɾd
دەبردن	dabɪɾdɪn
دەبردە	dabɪɾda
دەبم	dabɪm
دەبن	dabɪn
دەبن	dabɪn
دەبنە	dabɪna
دەبنە	dabɪna
دەبنەوە	dabɪnawa
دەبنەوە	dabɪnawa
دەبیندرا	dabiːndɪɾaː
دەبیندرێ	dabiːndɪɾeː
دەبیندرێنەوە	dabiːndɪɾeːnawa
دەبینم	dabiːnɪm
دەبینن	dabiːnɪn
دەبینن	dabiːnɪn
دەتواندرێ	datwaːndɪɾeː
دەتواندرێن	datwaːndɪɾeːn
دەتوانم	datwaːnɪm
دەتوانن	datwaːnɪn
دەتوانن	datwaːnɪn
دەخران	daxɪɾaːn
دەخرێتە	daxɪɾeːta
دەخرێن	daxɪɾeːn
دەخوێندرانەوە	daxweːndɪɾaːnawa
دەخوێننەوە	daxweːnɪnawa
دەخەمڵێندرێ	daxamɫeːndɪɾeː
دەدرا	dadɪɾaː
دەدران	dadɪɾaːn
دەدرێ	dadɪɾeː
دەدرێت	dadɪɾeːt
دەدرێن	dadɪɾeːn
دەدرێن	dadɪɾeːn
دەدن	dadɪn
دەرببڕیبا	daɾbɪbriːbaː
دەرببڕیت	daɾbɪbɪriːt
دەربخات	daɾbɪxaːt
دەربڕیبوو	daɾbɪriːbuː
دەربڕین	daɾbɪriːn
دەربڕینی	daɾbɪriːniː
دەربڕینی	daɾbɪriːniː
دەربڕیوە	daɾbɪriːwa
دەرخست	daɾxɪst
دەرخستم	daɾxɪstɪm
دەردەکەون	daɾdakawɪn
دەرهاتنی	daɾhaːtɪniː
دەرکرا	daɾkɪɾaː
دەرکرد	daɾkɪɾd
دەرکردنی	daɾkɪɾdɪniː
دەرکەوتن	daɾkawtɪn
دەرکەوتنی	daɾkawtɪniː
دەریانخست	daɾjaːnxɪst
دەزاندران	dazaːndɪɾaːn
دەزانم	dazaːnɪm
دەزانم	dazaːnɪm
دەزانن	dazaːnɪn
دەزانن	dazaːnɪn
دەسبەسەرکردنی	dasbasaɾkɪɾdɪniː
دەستدرێژی	dastdɪɾeːʒiː
دەستم	dastɪm
دەستپێکردنی	dastpeːkɪɾdniː
دەستگیرکراوەکانیش	dastɡiːɾkɪɾaːwakaːniːʃ
دەستگیرکردنی	dastɡiːɾkɪɾdɪniː
دەستیپێکرد	dastiːpeːkɪɾd
دەسووتاندن	dasuːtaːndɪn
دەسپێرن	daspeːɾɪn
دەسەلمێندرا	dasalmeːndɪɾaː
دەشاردنەوە	daʃaːɾdɪnawa
دەشتوانن	daʃtwaːnɪn
دەشزانن	daʃzaːnɪn
دەشفرۆشرێن	daʃfɪɾoːʃɾeːn
دەفرۆشت	dafɪɾoːʃt
دەفرۆشتنەوە	dafɾoːʃtɪnawa
دەفرۆشدران	dafɾoːʃdɪɾaːn
دەفرۆشدرێن	dafɾoːʃdɪɾeːn
دەفرۆشن	dafɾoːʃɪn
دەناردن	danaːɾdɪn
دەناسێنن	danaːseːnɪn
دەنووسن	danuːsɪn
دەنووسن	danuːsɪn
دەنووسنەوە	danuːsɪnawa
دەنوێندرا	danweːndɪɾaː
دەنێردران	daneːɾdɪɾaːn
دەنێردرێن	daneːɾdɪɾeːn
دەنێردرێنەوە	daneːɾdɪɾeːnawa
دەنێرن	daneːɾɪn
دەنێرنە	daneːɾɪna
دەهاتن	dahaːtɪn
دەهاویشتنە	dahaːwiːʃtɪna
دەهێندرێن	daheːndɪɾeːn
دەهێنن	daheːnɪn
دەوروپشتیان	dawɾupɪʃtjaːn
دەوێرن	daweːɾɪn
دەپرسا	dapɪɾsaː
دەپەرمنە	dapaɾmɪna
دەپەیڤن	dapajvɪn
دەچن	dat͡ʃɪn
دەچن	dat͡ʃɪn
دەچنە	dat͡ʃɪna
دەچنە	dat͡ʃɪna
دەکرا	dakɪɾaː
دەکرا	dakɪɾaː
دەکران	dakɪɾaːn
دەکران	dakɪɾaːn
دەکرانەوە	dakɪɾaːnawa
دەکرایەوە	dakɪɾaːjawa
دەکرد	dakɪɾd
دەکرد	dakɪɾd
دەکردن	dakɪɾdɪn
دەکردن	dakɪɾdɪn
دەکردنەوە	dakɪɾdɪnawa
دەکردەوە	dakɪɾdawa
دەکردەوە	dakɪɾdawa
دەکرێ	dakɪɾeː
دەکرێت	dakɪɾeːt
دەکرێتە	dakɪɾeːta
دەکرێتەوە	dakɪɾeːtawa
دەکرێن	dakɪɾeːn
دەکرێن	dakɪɾeːn
دەکرێنەوە	dakɪɾeːnawa
دەکڕدرێن	dakɪrdɪɾeːn
دەکڕن	dakɪrɪn
دەکڕی	dakɪriː
دەکڕێ	dakɪreː
دەکۆچێندران	dakoːt͡ʃeːndɪɾaːn
دەکەون	dakawɪn
دەکەونە	dakawɪna
دەگرت	daɡɪɾt
دەگرتەوە	daɡɪɾtawa
دەگرن	daɡɪɾɪn
دەگرن	daɡɪɾɪn
دەگرێ	daɡɪɾeː
دەگرێت	daɡɪɾeːt
دەگرێتەوە	daɡɪɾeːtawa
دەگرێتەوە	daɡɪɾeːtawa
دەگیردرا	daɡiːɾdɪɾaː
دەگیردرێن	daɡiːɾdɪɾeːn
دەگەڕێنن	daɡareːnɪn
دەیانسپێرن	dajaːnsɪpeːɾɪn
دەیانفرۆشن	dajaːnfɪɾoːʃɪn
دەیسپێرن	dajsɪpeːɾɪn
دەیپشکنیم	dajpɪʃkɪniːm
رابردم	ɾaːbɪɾdɪm
رابردوو	ɾaːbɪɾduː
رابردوودا	ɾaːbɪɾduːdaː
رابردوویەکی	ɾaːbɪɾduːjakiː
رابگیردرێ	ɾaːbɪɡiːɾdɪɾeː
رابگەیەندرێ	ɾaːbɪɡajandɪɾeː
راحەتتر	ɾaːħattɪɾ
رادەوەستێندرێن	ɾaːdawasteːndɪɾeːn
رادەگوێزن	ɾaːdaɡweːzɪn
راسپاردەکان	ɾaːsɪpaːɾdakaːn
راشکاو	ɾaːʃɪkaːw
راهاتبوون	ɾaːhaːtɪbuːn
راوەستێندران	ɾaːwasteːndɪɾaːn
راپرسنامەکان	ɾaːpɪɾsnaːmakaːn
راپرسنامەکە	ɾaːpɪɾsnaːmaka
راپرسنامەکەیان	ɾaːpɪɾsnaːmakajaːn
راپرسنامەیەکیان	ɾaːpɪɾsnaːmajakjaːn
راگرتنی	ɾaːɡɪɾtɪniː
راگیرکران	ɾaːɡiːɾkɪɾaːn
راگەیاندبوو	ɾaːɡajaːndɪbuː
راگەیاندن	ɾaːɡajaːndɪn
راگەیاندنی	ɾaːɡajaːndɪniː
راگەیاندنەکانی	ɾaːɡajaːndɪnakaːniː
راگەیەندرا	ɾaːɡajandɪɾaː
راگەیەندراو	ɾaːɡajandɪɾaːw
راگەیەندراوی	ɾaːɡajandɪɾaːwiː
راگەیەندراوە	ɾaːɡajandɪɾaːwa
راگەیەندراوەکانی	ɾaːɡajandɪɾaːwakaːniː
رایبگەیەنن	ɾaːjbɪɡajanɪn
رحا	ɾɪħaː
رخنەگیر	ɾɪxnaɡiːɾ
رخنەگیرانە	ɾɪxnaɡiːɾaːna
رخنەگیری	ɾɪxnaɡiːɾiː
رزگاری	ɾɪzɡaːɾiː
رسایتڵەکان	ɾɪsaːjtɪɫakaːn
رستانە	ɾɪstaːna
رستەکانی	ɾɪstakaːniː
روونتر	ɾuːntɪɾ
رچەی	ɾɪt͡ʃaj
رژێم	ɾɪʒeːm
رژێمی	ɾɪʒeːmiː
رژێمەکانی	ɾɪʒeːmakaːniː
رۆیاندەکردن	ɾoːjaːndakɪɾdɪn
رێدراوە	ɾeːdɪɾaːwa
رێپێدراو	ɾeːpeːdɪɾaːw
رێپێدراوبوون	ɾeːpeːdɪɾaːwbuːn
رێپێدراون	ɾeːpeːdɪɾaːwɪn
رێپێنەدراو	ɾeːpeːnadɪɾaːw
رێپێنەدراوانە	ɾeːpeːnadɪɾaːwaːna
رێپێنەدراوی	ɾeːpeːnadɪɾaːwiː
رێپێنەدراوییەکان	ɾeːpeːnadɪɾaːwiːjakaːn
رێپێنەدراوییەکاندا	ɾeːpeːnadɪɾaːwiːjakaːndaː
رێپێنەدراوە	ɾeːpeːnadɪɾaːwa
رێپێنەدراوەکان	ɾeːpeːnadɪɾaːwakaːn
رێکبخا	ɾeːkbɪxaː
رێکبخردرێ	ɾeːkbɪxɪɾdɪɾeː
رێکبخرێ	ɾeːkbɪxɾeː
رێکبخرێن	ɾeːkbɪxɾeːn
رێکبخەن	ɾeːkbɪxan
رێکخرا	ɾeːkxɪɾaː
رێکخرابوو	ɾeːkxɪɾaːbuː
رێکخران	ɾeːkxɪɾaːn
رێکخرانەوە	ɾeːkxɪɾaːnawa
رێکخراوانە	ɾeːkxɪɾaːwaːna
رێکخراوانەیان	ɾeːkxɪɾaːwaːnajaːn
رێکخراون	ɾeːkxɪɾaːwɪn
رێکخراونەتەوە	ɾeːkxɪɾaːwnatawa
رێکخراوە	ɾeːkxɪɾaːwa
رێکخراوەکان	ɾeːkxɪɾaːwakaːn
رێکخراوەکانی	ɾeːkxɪɾaːwakaːniː
رێکخراوەکە	ɾeːkxɪɾaːwaka
رێکخراوەکەیان	ɾeːkxɪɾaːwakajaːn
رێکخراوەگەلی	ɾeːkxɪɾaːwaɡaliː
رێکخراوەی	ɾeːkxɪɾaːwaj
رێکخراوەیەک	ɾeːkxɪɾaːwajak
رێکخراوەیەکی	ɾeːkxɪɾaːwajakiː
رێکخراوەیەکیان	ɾeːkxɪɾaːwajakjaːn
رێکخست	ɾeːkxɪst
رێکخستنی	ɾeːkxɪstɪniː
رێکیدەخست	ɾeːkiːdaxɪst
رێیانپێنادرێ	ɾeːjaːnpeːnaːdɪɾeː
رێیپێدەدرێ	ɾeːjpeːdadɪɾeː
رێیپێنادرێ	ɾeːjpeːnaːdɪɾeː
رەواندزی	ɾawaːndɪziː
رەچاونەگرتنی	ɾat͡ʃaːwnaɡɪɾtɪniː
رەچاوگرتنی	ɾat͡ʃaːwɡɪɾtɪniː
زارۆکانن	zaːɾoːkaːnɪn
زاندرابوو	zaːndɪɾaːbuː
زانست	zaːnɪst
زانستگای	zaːnɪstɡaːj
زانستگایییان	zaːnɪstɡaːjiːjaːn
زانستگایەکی	zaːnɪstɡaːjakiː
زانستی	zaːnɪstiː
زانستییەکاندا	zaːnɪstiːjakaːndaː
زانستە	zaːnɪsta
زانستە	zaːnɪsta
زاییندراوی	zaːjiːndɪɾaːwiː
زمان	zɪmaːn
زمان	zɪmaːn
زمانانە	zɪmaːnaːna
زمانانەش	zɪmaːnaːnaʃ
زماندا	zɪmaːndaː
زمانی	zɪmaːniː
زمانی	zɪmaːniː
زمانێک	zɪmaːneːk
زمانێکی	zɪmaːneːkiː
زمانێکی	zɪmaːneːkiː
زمانە	zɪmaːna
زمانە	zɪmaːna
زمانەکان	zɪmaːnakaːn
زمانەکانی	zɪmaːnakaːniː
زمانەکانەوە	zɪmaːnakaːnawa
زمانەکە	zɪmaːnaka
زمانەکەیان	zɪmaːnakajaːn
زنجیرە	zɪnd͡ʒiːɾa
زووتر	zuːtɪɾ
زووتر	zuːtɪɾ
زوڵم	zuɫɪm
زڕوزا	zɪruzaː
زگماکی	zɪɡmaːkiː
زگماکییان	zɪɡmaːkiːjaːn
زگیان	zɪɡjaːn
زگەکانیان	zɪɡakaːnjaːn
زۆرتر	zoːɾtɪɾ
زۆرتر	zoːɾtɪɾ
زۆرتربوونەوەشی	zoːɾtɪɾbuːnawaʃiː
زۆرتری	zoːɾtɪɾiː
زۆرتریان	zoːɾtɪɾjaːn
زۆرتریش	zoːɾtɪɾiːʃ
زۆرترین	zoːɾtɪɾiːn
زۆرترین	zoːɾtɪɾiːn
زۆرترە	zoːɾtɪɾa
زۆرترەوە	zoːɾtɪɾawa
زۆرم	zoːɾɪm
زۆرن	zoːɾɪn
زۆرکردنەوەی	zoːɾkɪɾdɪnawaj
زیاتر	zjaːtɪɾ
زیاتری	zjaːtɪɾiː
زیاترە	zjaːtɪɾa
زیادکردنی	zjaːdkɪɾdɪniː
زیانم	zjaːnɪm
زەبەندتریان	zabandtɪɾjaːn
س	sɪ
سادق	saːdɪq
سازدەکرێ	saːzdakɪɾeː
سازکرد	saːzkɪɾd
سازکردنی	saːzkɪɾdɪniː
سانسۆرکردنی	saːnsoːɾkɪɾdɪniː
ساکارتر	saːkaːɾtɪɾ
ساگنچ	saːɡɪnt͡ʃ
ساڵح	saːɫɪħ
ساڵن	saːɫɪn
سبەی	sɪbaj
سبەینێ	sɪbajneː
ستاندنیان	sɪtaːndɪnjaːn
ستایشی	sɪtaːjɪʃiː
ستراتیژی	sɪtɾaːtiːʒiː
ستوکهۆڵم	sɪtukhoːɫm
ستوکهۆڵمەوە	sɪtukhoːɫmawa
ستۆکهۆڵم	sɪtoːkhoːɫm
ستۆکهۆڵمەوە	sɪtoːkhoːɫmawa
ستێر	sɪteːɾ
ستێرمان	sɪteːɾmaːn
ستەم	sɪtam
ستەمبۆل	sɪtamboːl
ستەمبۆڵ	sɪtamboːɫ
ستەمبۆڵدا	sɪtamboːɫdaː
ستەمبۆڵدایە	sɪtamboːɫdaːja
ستەمبۆڵێ	sɪtamboːɫeː
ستەمبۆڵەوە	sɪtamboːɫawa
سدیق	sɪdiːq
سروشت	sɪɾuʃt
سروشتی	sɪɾuʃtiː
سروودی	sɪɾuːdiː
سروە	sɪɾwa
سرۆشتییەکان	sɪɾoːʃtiːjakaːn
سزا	sɪzaː
سزا	sɪzaː
سزادانی	sɪzaːdaːniː
سزادران	sɪzaːdɪɾaːn
سزادرانی	sɪzaːdɪɾaːniː
سزای	sɪzaːj
سزای	sɪzaːj
سعوودیە	sɪʕuːdja
سلێمان	sɪleːmaːn
سلێمانی	sɪleːmaːniː
سلێمانی	sɪleːmaːniː
سمایل	sɪmaːjl
سن	sɪn
سنوری	sɪnuɾiː
سنوور	sɪnuːɾ
سنوور	sɪnuːɾ
سنوورانە	sɪnuːɾaːna
سنووردار	sɪnuːɾdaːɾ
سنووردارەوە	sɪnuːɾdaːɾawa
سنووری	sɪnuːɾiː
سنووری	sɪnuːɾiː
سنوورێکدا	sɪnuːɾeːkdaː
سنوورە	sɪnuːɾa
سنوورەکاندا	sɪnuːɾakaːndaː
سنوورەکانی	sɪnuːɾakaːniː
سنوورەکانی	sɪnuːɾakaːniː
سنوورەکە	sɪnuːɾaka
سنە	sɪna
سووژن	suːʒɪn
سپاردن	sɪpaːɾdɪn
سپای	sɪpaːj
سپۆرت	sɪpoːɾt
سپی	sɪpiː
سڕانەوەی	sɪraːnawaj
سڕینەوەی	sɪriːnawaj
سڤیل	sɪviːl
سکاڵای	sɪkaːɫaːj
سکرتێری	sɪkɪɾteːɾiː
سکەنێرێکیان	sɪkaneːɾeːkjaːn
سڵاو	sɪɫaːw
سڵاویان	sɪɫaːwjaːn
سیستمی	siːstɪmiː
سیستمێکی	siːstɪmeːkiː
سیستمە	siːstɪma
سێڤر	seːvɪɾ
سەدر	sadɪɾ
سەرخستنی	saɾxɪstɪniː
سەرسنوور	saɾsɪnuːɾ
سەرم	saɾɪm
سەرنج	saɾɪnd͡ʒ
سەرنجڕاکێش	saɾɪnd͡ʒraːkeːʃ
سەرنجی	saɾɪnd͡ʒiː
سەرنجی	saɾɪnd͡ʒiː
سەرنجێکی	saɾɪnd͡ʒeːkiː
سەرپەرشتی	saɾpaɾɪʃtiː
سەرپەرشتیاری	saɾpaɾɪʃtjaːɾiː
سەرژمێری	saɾʒɪmeːɾiː
سەرژمێرییە	saɾʒɪmeːɾiːja
سەرژمێرییەدا	saɾʒɪmeːɾiːjadaː
سەرژمێرییەکاندا	saɾʒɪmeːɾiːjakaːndaː
سەرژمێرییەکی	saɾʒɪmeːɾiːjakiː
سەرژمێرییەکە	saɾʒɪmeːɾiːjaka
سەرژمێرییەکەدا	saɾʒɪmeːɾiːjakadaː
سەرژمێرییەکەی	saɾʒɪmeːɾiːjakaj
سەرکتێبە	saɾkɪteːba
سەرکردایەتی	saɾkɪɾdaːjatiː
سەرکردە	saɾkɪɾda
سەرکردەکانی	saɾkɪɾdakaːniː
سەرکردەی	saɾkɪɾdaj
سەرکەوتن	saɾkawtɪn
سەرکەوتنی	saɾkawtɪniː
سەرکەوتنێکی	saɾkawtɪneːkiː
سەرگری	saɾɡɪɾiː
سەرەکیترین	saɾakiːtɪɾiːn
سەرەکیترینیان	saɾakiːtɪɾiːnjaːn
سەقز	saqɪz
سەلماندبایان	salmaːndɪbaːjaːn
سەلماندنی	salmaːndɪniː
سەپاندنی	sapaːndɪniː
سەڤنچ	savɪnt͡ʃ
ش	ʃɪ
شارستانی	ʃaːɾɪstaːniː
شت	ʃɪt
شت	ʃɪt
شتانە	ʃɪtaːna
شتانە	ʃɪtaːna
شتانەی	ʃɪtaːnaj
شتی	ʃɪtiː
شتی	ʃɪtiː
شتێک	ʃɪteːk
شتێک	ʃɪteːk
شتێکی	ʃɪteːkiː
شتێکی	ʃɪteːkiː
شتێکیان	ʃɪteːkjaːn
شتە	ʃɪta
شتە	ʃɪta
شتەکان	ʃɪtakaːn
شتەی	ʃɪtaj
شدا	ʃɪdaː
شریتەکانی	ʃɪɾiːtakaːniː
شلوێ	ʃɪlweː
شک	ʃɪk
شک	ʃɪk
شکا	ʃɪkaː
شکان	ʃɪkaːn
شکاندنی	ʃɪkaːndɪniː
شکاو	ʃɪkaːw
شکست	ʃɪkɪst
شکستی	ʃɪkɪstiː
شکێکیش	ʃɪkeːkiːʃ
شڵوێ	ʃɪɫweː
شۆرش	ʃoːɾɪʃ
شۆرشی	ʃoːɾɪʃiː
شۆڕش	ʃoːrɪʃ
شۆڕشگێڕی	ʃoːrɪʃɡeːriː
شۆڕشی	ʃoːrɪʃiː
شۆڕشە	ʃoːrɪʃa
شیکردنەوەی	ʃiːkɪɾdɪnawaj
شێعر	ʃeːʕɪɾ
شەرم	ʃaɾɪm
عادل	ʕaːdɪl
عارف	ʕaːɾɪf
عارف	ʕaːɾɪf
عارفی	ʕaːɾɪfiː
عاشقی	ʕaːʃɪqiː
علیە	ʕɪlja
عەرەبستان	ʕaɾabɪstaːn
عەرەب‌کردنە	ʕaɾabkɪɾdɪna
عەقڵ	ʕaqɪɫ
عەلیرزا	ʕaliːɾɪzaː
فرات	fɪɾaːt
فراوان	fɪɾaːwaːn
فراوانتر	fɪɾaːwaːntɪɾ
فراوانی	fɪɾaːwaːniː
فرمێسک	fɪɾmeːsk
فرۆش	fɪɾoːʃ
فرۆشتبوون	fɪɾoːʃtɪbuːn
فرۆشتن	fɪɾoːʃtɪn
فرۆشتنی	fɪɾoːʃtɪniː
فرۆشتنی	fɪɾoːʃtɪniː
فرۆشتنەوە	fɪɾoːʃtɪnawa
فرۆشدا	fɪɾoːʃdaː
فرۆشرابان	fɪɾoːʃɾaːbaːn
فرۆشران	fɪɾoːʃɾaːn
فرۆشراون	fɪɾoːʃɾaːwɪn
فرۆشراوە	fɪɾoːʃɾaːwa
فرۆشراوەکان	fɪɾoːʃɾaːwakaːn
فرۆشی	fɪɾoːʃiː
