一一	iq5 iq3
五卅運動	ng2 saq4 yun4 don4
五卷	ng2 cioe4
五原	ng2 gnioe4
五县	ng2 yoe4
五口	ng2 kheu4
五句	ng2 ciu4
五只	ng2 tseq4
五台	ng2 de4
五台山	ng2 de4 se4
五号	ng2 ghau4
五名	ng2 min4
五呎	ng2 tshaq4
五周	ng2 tseu4
五味	ng2 vi4
五味子	ng2 vi4 tsy4
五品	ng2 phin4
五員	ng2 yoe4
五哥	ng2 ku4
五四	ng2 sy4
五四运动	ng2 sy4 yun4 don4
五四運動	ng2 sy4 yun4 don4
五圈	ng2 chioe4
五國	ng2 koq4
五圓	ng2 yoe4
五块	ng2 khue4
五坪	ng2 bin4
五城	ng2 zen4
五報	ng2 pau4
五場	ng2 zan4
五堵	ng2 tu4
五塊	ng2 khue4
五壺	ng2 wu4
五夜	ng2 ya4
五大	ng2 da4
五大连池	ng2 du4 li4 zy4
五大連池	ng2 du4 li4 zy4
五天	ng2 thi4
五好	ng2 hau4
五姊	ng2 tsy4
五姐	ng2 tsia4
五姑	ng2 ku4
五嫂	ng2 sau4
五子	ng2 tsy4
五孔	ng2 khon4
五字	ng2 zy4
五季	ng2 ci4
五官	ng2 kuoe4
五客	ng2 khaq4
五家	ng2 ka4
五寸	ng2 tshen4
五封	ng2 fon4
五專	ng2 tsoe4
五小	ng2 siau4
五尺	ng2 tshaq4
五局	ng2 jioq4
五屆	ng2 ka4
五届	ng2 ka4
五層	ng2 zen4
五岁	ng2 soe4
五岳	ng2 ngoq4
五峯	ng2 fon4
五峰	ng2 fon4
五嶺	ng2 lin4
五嶽	ng2 ngoq4
五巷	ng2 ghaon4
五帝	ng2 ti4
五師	ng2 sy4
五席	ng2 ziq4
五常	ng2 zan4
五幢	ng2 zaon4
五年	ng2 gni4
五年計劃	ng2 gni4 ci4 waq4
五年计划	ng2 gni4 ci4 gho4
五度	ng2 du4
五座	ng2 zu4
五建	ng2 ci4
五式	ng2 seq4
五弟	ng2 di4
五彩	ng2 tshe4
五彩繽紛	ng2 tshe4 pin4 fen4
五彩缤纷	ng2 tshe4 pin4 fen4
五律	ng2 liq4
五成	ng2 zen4
五戒	ng2 ka4
五截	ng2 ziq4
五戶	ng2 wu4
五打	ng2 tan4
五折	ng2 tseq4
五招	ng2 tsau4
五拳	ng2 jioe4
五指	ng2 tsy4
五指山	ng2 tsy4 se4
五支	ng2 tsy4
五文	ng2 ven4
五斗	ng2 teu4
五斗廚	ng2 teu4 zy4
五方	ng2 faon4
五日	ng2 gniq4
五旬	ng2 zhiun4
五星	ng2 sin4
五星紅旗	ng2 sin4 ghon4 ji4
五星級	ng2 sin4 ciq4
五星红旗	ng2 sin4 ghon4 ji4
五星级	ng2 sin4 ciq4
五時	ng2 zy4
五晚	ng2 ue4
五智	ng2 tsy4
五更	ng2 kan4
五月	ng2 yoq4
五服	ng2 voq4
五期	ng2 ji4
五条	ng2 diau4
五板	ng2 pe4
五枝	ng2 tsy4
五架	ng2 ka4
五根	ng2 ken4
五格	ng2 kaq4
五桶	ng2 don4
五梏	ng2 koq4
五條	ng2 diau4
五棟	ng2 ton4
五棵	ng2 khu4
五樓	ng2 leu4
五横	ng2 wan4
五橫	ng2 wan4
五檔	ng2 taon4
五權	ng2 jioe4
五次	ng2 tshy4
五步	ng2 bu4
五歲	ng2 soe4
五段	ng2 doe4
五毒	ng2 doq4
五毒教	ng2 doq4 kau4
五毛	ng2 mau4
五河	ng2 wu4
五洞	ng2 don4
五洲	ng2 tseu4
五派	ng2 pha4
五湖	ng2 wu4
五湖四海	ng2 wu4 sy4 he4
五点	ng2 ti4
五營	ng2 yin4
五爺	ng2 ya4
五牀	ng2 zaon4
五版	ng2 pe4
五牛	ng2 gnieu4
五班	ng2 pe4
五瓶	ng2 bin4
五甲	ng2 ciaq4
五發	ng2 faq4
五百	ng2 paq4
五百两	ng2 paq4 lian4
五百兆	ng2 paq4 zau4
五百兩	ng2 paq4 lian4
五百名	ng2 paq4 min4
五百年	ng2 paq4 gni4
五盒	ng2 ghaq4
五眼	ng2 nge4
五短	ng2 toe4
五碗	ng2 uoe4
五碼	ng2 mo4
五祖	ng2 tsu4
五福	ng2 foq4
五种	ng2 zon4
五科	ng2 khu4
五秒	ng2 miau4
五種	ng2 tson4
五穀	ng2 koq4
五筆	ng2 piq4
五等	ng2 ten4
五筒	ng2 don4
五箱	ng2 sian4
五節	ng2 tsiq4
五米	ng2 mi4
五类	ng2 le4
五粒	ng2 liq4
五粮液	ng2 lian4 yiq4
五糧液	ng2 lian4 yiq4
五級	ng2 ciq4
五經	ng2 cin4
五線	ng2 si4
五縣	ng2 yoe4
五级	ng2 ciq4
五经	ng2 cin4
五罐	ng2 kuoe4
五聲	ng2 sen4
五股	ng2 ku4
五胎	ng2 the4
五胡	ng2 wu4
五脏	ng2 tsaon4
五脏六腑	ng2 tsaon4 loq4 fu4
五臟	ng2 zaon4
五臺	ng2 de4
五臺山	ng2 de4 se4
五船	ng2 zoe4
五色	ng2 seq4
五色土	ng2 seq4 thu4
五花八門	ng2 hua4 paq4 men4
五花八门	ng2 hua4 paq4 men4
五花大綁	ng2 hua4 du4 paon4
五花大绑	ng2 hua4 du4 paon4
五華	ng2 gho4
五萬	ng2 ve4
五葉	ng2 yiq4
五蘊	ng2 ion4
五處	ng2 tshy4
五號	ng2 ghau4
五行	ng2 ghaon4
五街	ng2 ka4
五衰	ng2 se4
五袋	ng2 de4
五裏	ng2 li4
五見	ng2 ci4
五角	ng2 koq4
五角大楼	ng2 koq4 du4 leu4
五角大樓	ng2 koq4 du4 leu4
五角星	ng2 koq4 sin4
五言	ng2 yi4
五言詩	ng2 yi4 sy4
五言诗	ng2 yi4 sy4
五課	ng2 khu4
五識	ng2 seq4
五谷	ng2 koq4
五起	ng2 chi4
五路	ng2 lu4
五輕	ng2 chin4
五輛	ng2 lian4
五輪	ng2 len4
五轮	ng2 len4
五连冠	ng2 li4 kuoe4
五逆	ng2 gniq4
五通	ng2 thon4
五連冠	ng2 li4 kuoe4
五週	ng2 tseu4
五遍	ng2 pi4
五道	ng2 dau4
五邊	ng2 pi4
五部	ng2 bu4
五里	ng2 li4
五金	ng2 cin4
五銖	ng2 zy4
五銖錢	ng2 zy4 zi4
五錢	ng2 zi4
五铢钱	ng2 zy4 zi4
五門	ng2 men4
五間	ng2 ci4
五關	ng2 kue4
五门	ng2 men4
五间	ng2 ci4
五院	ng2 yoe4
五陰	ng2 in4
五隻	ng2 tsaq4
五集	ng2 ziq4
五雙	ng2 saon4
五霸	ng2 po4
五面	ng2 mi4
五音	ng2 in4
五頁	ng2 yiq4
五頂	ng2 tin4
五項	ng2 ghaon4
五頭	ng2 deu4
五顆	ng2 khu4
五題	ng2 di4
五顏六色	ng2 nge4 loq4 seq4
五顑六腫	ng2 he4 loq4 tson4
五類	ng2 le4
五项	ng2 ghaon4
五颜六色	ng2 nge4 loq4 seq4
五餐	ng2 tshoe4
五香	ng2 shian4
五馬	ng2 mo4
五髒	ng2 tsaon4
五髒六腑	ng2 tsaon4 loq4 fu4
五體投地	ng2 thi4 deu4 di4
五鬥	ng2 teu4
五點	ng2 ti4
五黨	ng2 taon4
五齣	ng2 tsheq4
五龍	ng2 lon4
井下	tsin5 gho3
井乾	tsin5 koe3
井井有条	tsin5 tsin9 yeu9 diau3
井井有條	tsin5 tsin9 yeu9 diau3
井冈山	tsin5 kaon9 se3
井口	tsin5 kheu3
井台	tsin5 de3
井喷	tsin5 phen3
井噴	tsin5 phen3
井壁	tsin5 piq3
井岡山	tsin5 kaon9 se3
井底	tsin5 ti3
井水	tsin5 sy3
井臺	tsin5 de3
井蓋	tsin5 ke3
井陉	tsin5 yin3
井陘	tsin5 yin3
亚丁	ia5 tin3
亚军	ia5 ciun3
亚历山大	ia5 liq9 se9 du3
亚太	ia5 tha3
亚太区	ia5 tha9 chiu3
亚太地区	ia5 tha9 di9 chiu3
亚尔	ia5 er3
亚平	ia5 bin3
亚平妈	ia5 bin9 mha3
亚当	ia5 taon3
亚当斯	ia5 taon9 sy3
亚得里亚海	ia5 teq9 li9 ia9 he3
亚欧大陆	ia5 eu9 du9 loq3
亚泰	ia5 tha3
亚洲	ia5 tseu3
亚洲地区	ia5 tseu9 di9 chiu3
亚洲杯	ia5 tseu9 pe3
亚热带	ia5 gniq9 ta3
亚特兰大	ia5 deq9 le9 du3
亚硝胺	ia5 siau9 oe3
亚硝酸盐	ia5 siau9 soe9 yi3
亚硝酸钠	ia5 siau9 soe9 naq3
亚种	ia5 zon3
亚科	ia5 khu3
亚纲	ia5 kaon3
亚细亚	ia5 si9 ia3
亚美尼亚	ia5 mhe9 gni9 ia3
亚行	ia5 ghan3
亚运	ia5 yun3
亚运会	ia5 yun9 khue3
亚述	ia5 zeq3
亚里士多德	ia5 li9 zy9 tu9 teq3
亚马孙	ia5 ma9 sen3
亚马孙河	ia5 ma9 sen9 wu3
亚麻	ia5 mo3
些個	si5 ku3
些兒	si5 er3
些小	si5 siau3
些少	si5 sau3
些微	si5 vi3
些許	si5 shiu3
些许	si5 shiu3
些須	si5 siu3
亞丁	ia5 tin3
亞伯	ia5 paq3
亞光	ia5 kuaon3
亞太	ia5 tha3
亞太區	ia5 tha9 chiu3
亞太地區	ia5 tha9 di9 chiu3
亞平	ia5 bin3
亞平媽	ia5 bin9 mha3
亞得裏亞海	ia5 teq9 li9 ia9 he3
亞於	ia5 yu3
亞歐大陸	ia5 eu9 du9 loq3
亞歷山大	ia5 liq9 se9 du3
亞泰	ia5 tha3
亞洲	ia5 tseu3
亞洲地區	ia5 tseu9 di9 chiu3
亞洲杯	ia5 tseu9 pe3
亞熱帶	ia5 gniq9 ta3
亞爾	ia5 er3
亞特蘭大	ia5 deq9 le9 du3
亞當	ia5 taon3
亞當斯	ia5 taon9 sy3
亞硝胺	ia5 siau9 oe3
亞硝酸鈉	ia5 siau9 soe9 naq3
亞硝酸鹽	ia5 siau9 soe9 yi3
亞科	ia5 khu3
亞種	ia5 tson3
亞細亞	ia5 si9 ia3
亞綱	ia5 kaon3
亞美尼亞	ia5 mhe9 gni9 ia3
亞行	ia5 ghan3
亞裏士多德	ia5 li9 zy9 tu9 teq3
亞軍	ia5 ciun3
亞述	ia5 zeq3
亞運	ia5 yun3
亞運會	ia5 yun9 khue3
亞鉛	ia5 khe3
亞馬孫	ia5 ma9 sen3
亞馬孫河	ia5 ma9 sen9 wu3
亞麻	ia5 mo3
亟宜	ciq5 gni3
亟待	ciq5 de3
亟欲	ciq5 yuq3
亟盼	ciq5 phe3
亟需	ciq5 siu3
亟須	ciq5 siu3
亡了	waon2 liau4
亡佚	waon2 yiq4
亡兄	waon2 shion4
亡友	waon2 yeu4
亡命	waon2 min4
亡命之徒	maon2 min4 tsy4 du4
亡国	maon2 koq4
亡國	waon2 koq4
亡夫	waon2 fu4
亡失	waon2 seq4
亡妹	waon2 me4
亡故	waon2 ku4
亡歿	waon2 meq4
亡母	waon2 mhu4
亡灵	maon2 lin4
亡父	waon2 vu4
亡者	waon2 tse4
亡逝	waon2 zy4
亡靈	waon2 lin4
亡魂	waon2 wen4
亢奋	khaon5 fen3
亢奮	khaon5 fen3
亢进	khaon5 tsin3
亢進	khaon5 tsin3
亢龍有悔	khaon5 lon9 yeu9 hue3
亢龙有悔	khaon5 lon9 yeu9 hue3
交上	kau5 zaon3
交与	kau5 yu3
交了	kau5 liau3
交予	kau5 yu3
交互	kau5 wu3
交互式	kau5 ngu9 seq3
交交關關	ciau5 ciau9 kue9 kue3
交付	ciau5 fu3
交代	ciau5 de3
交会	kau5 khue3
交保	kau5 pau3
交公	ciau5 kon3
交兵	ciau5 pin3
交出	kau5 tsheq3
交到	kau5 tau3
交割	ciau5 keq3
交办	kau5 be3
交加	ciau5 ka3
交匯	ciau5 we3
交匯處	kau5 we9 tshy3
交叉	ciau5 tsho3
交叉点	kau5 tsho9 ti3
交叉點	kau5 tsho9 ti3
交友	ciau5 yeu3
交合	ciau5 gheq3
交哄	ciau5 hon3
交响	kau5 shian3
交响乐	kau5 shian9 yaq3
交响乐团	kau5 shian9 yaq9 doe3
交响曲	kau5 shian9 chioq3
交回	kau5 we3
交困	ciau5 khuen3
交大	ciau5 da3
交头接耳	kau5 deu9 tsiq9 gni3
交好	ciau5 hau3
交媾	ciau5 keu3
交尾	ciau5 vi3
交工	kau5 kon3
交差	kau5 tsha3
交彙	kau5 we3
交往	ciau5 uaon3
交待	kau5 de3
交心	kau5 sin3
交情	ciau5 zin3
交惡	ciau5 oq3
交感	ciau5 koe3
交感神經	kau5 koe9 zen9 cin3
交感神经	kau5 koe9 zen9 cin3
交战	kau5 tsoe3
交战国	kau5 tsoe9 koq3
交戰	ciau5 tsoe3
交戰國	kau5 tsoe9 koq3
交手	kau5 seu3
交投	kau5 deu3
交拜	kau5 pa3
交换	kau5 woe3
交换价值	kau5 woe9 geq9 zeq3
交换机	kau5 woe9 ci3
交接	kau5 tsiq3
交換	ciau5 woe3
交換價值	kau5 woe9 ka9 zeq3
交換機	kau5 woe9 ci3
交收	kau5 seu3
交易	ciau5 yiq3
交易会	kau5 i9 khue3
交易所	kau5 i9 su3
交易日	kau5 i9 zeq3
交易會	kau5 i9 khue3
交替	ciau5 thi3
交會	kau5 khue3
交朋友	kau5 ban9 yeu3
交桃花運	kau5 dau9 ho9 yon3
交椅	kau5 i3
交樓	kau5 leu3
交款	ciau5 khuoe3
交歡	ciau5 huoe3
交汇	kau5 we3
交汇处	kau5 we9 tshy3
交流	kau5 lieu3
交流会	kau5 lieu9 khue3
交流會	kau5 lieu9 khue3
交流电	kau5 lieu9 di3
交流電	kau5 lieu9 di3
交涉	ciau5 zeq3
交淡	ciau5 de3
交游	kau5 yeu3
交火	ciau5 hu3
交点	kau5 ti3
交班	kau5 pe3
交由	kau5 yeu3
交界	ciau5 ka3
交界处	kau5 ka9 tshy3
交界處	kau5 ka9 tshy3
交疊	ciau5 diq3
交相	ciau5 sian3
交相輝映	kau5 sian9 hue9 ian3
交相辉映	kau5 sian9 hue9 ian3
交稅	kau5 soe3
交稿	kau5 kau3
交管	kau5 kuoe3
交納	ciau5 naq3
交結	ciau5 ciq3
交給	kau5 ciq3
交織	kau5 tseq3
交纳	kau5 naq3
交织	kau5 tseq3
交结	kau5 ciq3
交给	kau5 ciq3
交联	kau5 li3
交聯	kau5 li3
交臂	kau5 pi3
交與	kau5 yu3
交融	ciau5 yon3
交行	kau5 ghan3
交角	kau5 koq3
交誼	ciau5 gni3
交談	ciau5 de3
交警	ciau5 cin3
交谈	kau5 de3
交貨	ciau5 hu3
交貨值	kau5 hu9 zeq3
交費	kau5 fi3
交賬	kau5 tsan3
交货	kau5 hu3
交货值	kau5 hu9 zeq3
交费	kau5 fi3
交趾	kau5 tsy3
交輝	kau5 hue3
交辦	kau5 be3
交还	kau5 ghe3
交通	kau5 thon3
交通员	kau5 thon9 yoe3
交通員	kau5 thon9 yoe3
交通工具	kau5 thon9 kon9 jiu3
交通管理	kau5 thon9 kuoe9 li3
交通網	kau5 thon9 maon3
交通線	kau5 thon9 si3
交通线	kau5 thon9 si3
交通网	kau5 thon9 maon3
交通运输业	kau5 thon9 yun9 sy9 gniq3
交通運輸業	kau5 thon9 yun9 sy9 gniq3
交通部	kau5 thon9 bu3
交通銀行	ciau5 thon9 gnin9 ghaon3
交通银行	kau5 thon9 gnin9 ghan3
交遊	kau5 yeu3
交道	ciau5 dau3
交還	ciau5 we3
交邊	kau5 pi3
交配	ciau5 phe3
交鋒	ciau5 fon3
交錢	kau5 zi3
交錯	kau5 tshu3
交钱	kau5 zi3
交锋	kau5 fon3
交错	kau5 tshu3
交關	ciau5 kue3
交關贊	ciau5 kue9 tse3
交际	kau5 tsi3
交際	ciau5 tsi3
交集	ciau5 ziq3
交電	ciau5 di3
交響	kau5 shian3
交響曲	kau5 shian9 chioq3
交響樂	kau5 shian9 yaq3
交響樂團	kau5 shian9 yaq9 doe3
交頭接耳	kau5 deu9 tsiq9 gni3
交風	ciau5 fon3
交點	kau5 ti3
亦不	yiq2 peq4
亦且	yiq2 tshi4
亦佳	yiq2 cia4
亦可	yiq2 khu4
亦將	yiq2 tsian4
亦曾	yiq2 zen4
亦會	yiq2 we4
亦比	yiq2 pi4
亦無	yiq2 wu4
亦然	yiq2 zoe4
亦能	yiq2 nen4
产下	tshe5 gho3
产业	tshe5 gniq3
产业化	tshe5 gniq9 hua3
产业园	tshe5 gniq9 yoe3
产业工人	tshe5 gniq9 kon9 zen3
产业资本	tshe5 gniq9 tsy9 pen3
产业部门	tshe5 gniq9 bu9 men3
产业链	tshe5 gniq9 li3
产于	tshe5 yu3
产值	tshe5 zeq3
产出	tshe5 tsheq3
产区	tshe5 chiu3
产卵	tshe5 loe3
产品	tshe5 phin3
产品线	tshe5 phin9 si3
产品设计	tshe5 phin9 seq9 ci3
产地	tshe5 di3
产妇	tshe5 vu3
产学研	tshe5 ghoq9 kni3
产权	tshe5 jioe3
产油国	tshe5 yeu9 koq3
产物	tshe5 meq3
产状	tshe5 zaon3
产生	tshe5 san3
产经	tshe5 cin3
产能	tshe5 nen3
产量	tshe5 lian3
产销	tshe5 siau3
产销率	tshe5 siau9 se3
亨八冷	han5 paq9 lan3
亨八冷打	han5 paq9 lan9 tan3
亨利	han5 li3
亨特	han5 deq3
亨通	han5 thon3
亩产	meu2 tshe4
享乐	shian5 yaq3
享受	shian5 zeu3
享年	shian5 gni3
享有	shian5 yeu3
享樂	shian5 loq3
享用	shian5 yon3
享着	shian5 zaq3
享福	shian5 foq3
享誉	shian5 yu3
享譽	shian5 yu3
京东	cin5 ton3
京九線	cin5 cieu9 si3
京九线	cin5 cieu9 si3
京九鐵路	cin5 cieu9 thiq9 lu3
京九铁路	cin5 cieu9 thiq9 lu3
京兆	cin5 zau3
京兆尹	cin5 zau9 yin3
京剧	cin5 jiq3
京劇	cin5 jiq3
京华	cin5 wa3
京味	cin5 vi3
京城	cin5 zen3
京報	cin5 pau3
京官	cin5 kuoe3
京山	cin5 se3
京山县	cin5 se9 yoe3
京山縣	cin5 se9 yoe3
京师	cin5 sy3
京师大学堂	cin5 sy9 du9 ghoq9 daon3
京師	cin5 sy3
京師大學堂	cin5 sy9 du9 ghoq9 daon3
京广	cin5 oe3
京广中心	cin5 oe9 tson9 sin3
京广线	cin5 oe9 si3
京广铁路	cin5 oe9 thiq9 lu3
京廣	cin5 kuaon3
京廣中心	cin5 kuaon9 tson9 sin3
京廣線	cin5 kuaon9 si3
京廣鐵路	cin5 kuaon9 thiq9 lu3
京戲	cin5 shi3
京报	cin5 pau3
京族	cin5 zoq3
京杭运河	cin5 ghaon9 yun9 wu3
京杭運河	cin5 ghaon9 yun9 wu3
京東	cin5 ton3
京汉	cin5 hoe3
京沪	cin5 wu3
京沪铁路	cin5 wu9 thiq9 lu3
京沪高速铁路	cin5 wu9 kau9 soq9 thiq9 lu3
京津	cin5 tsin3
京滬	cin5 wu3
京滬鐵路	cin5 wu9 thiq9 lu3
京滬高速鐵路	cin5 wu9 kau9 soq9 thiq9 lu3
京漢	cin5 hoe3
京畿	cin5 ji3
京華	cin5 gho3
京西	cin5 si3
京郊	cin5 ciau3
京都	cin5 tu3
亭內	din2 ne4
亭子	din2 tsy4
亭子間	din2 tsy4 ke4
亮丽	lian2 li4
亮光	lian2 kuaon4
亮光下	lian2 kuaon4 gho4
亮光下頭	lian2 kuaon4 gho4 deu4
亮出	lian2 tsheq4
亮度	lian2 du4
亮晶晶	lian2 tsin4 tsin4
亮月	lian2 yoq4
亮点	lian2 ti4
亮相	lian2 sian4
亮麗	lian2 li4
亮點	lian2 ti4
亲临	tshin5 lin3
亲事	tshin5 zy3
亲亲热热	tshin5 tshin9 gniq9 gniq3
亲人	tshin5 zen3
亲代	tshin5 de3
亲信	tshin5 sin3
亲兄弟	tshin5 shion9 di3
亲兵	tshin5 pin3
亲切	tshin5 tshiq3
亲历	tshin5 liq3
亲友	tshin5 yeu3
亲口	tshin5 kheu3
亲吻	tshin5 ven3
亲和力	tshin5 wu9 liq3
亲娘	tshin5 gnian3
亲子	tshin5 tsy3
亲家	tshin5 ka3
亲密	tshin5 miq3
亲属	tshin5 zoq3
亲征	tshin5 tsen3
亲情	tshin5 zin3
亲戚	tshin5 tshiq3
亲戚家	tshin5 tshiq9 ka3
亲手	tshin5 seu3
亲政	tshin5 tsen3
亲族	tshin5 zoq3
亲日派	tshin5 zeq9 pha3
亲昵	tshin5 gniq3
亲朋	tshin5 ban3
亲朋好友	tshin5 ban9 hau9 yeu3
亲本	tshin5 pen3
亲热	tshin5 gniq3
亲爱	tshin5 e3
亲率	tshin5 se3
亲王	tshin5 waon3
亲生	tshin5 san3
亲疏	tshin5 su3
亲眼	tshin5 nge3
亲眼目睹	tshin5 nge9 moq9 tu3
亲笔	tshin5 piq3
亲缘	tshin5 yoe3
亲耳	tshin5 gni3
亲自	tshin5 zy3
亲见	tshin5 ci3
亲身	tshin5 sen3
亲近	tshin5 jin3
亳州	boq2 tseu4
亵渎	siq5 doq3
人丁	gnin2 tin4
人不知	zen2 peq4 tsy4
人世	gnin2 sy4
人世間	zen2 sy4 ci4
人世间	zen2 sy4 ci4
人丛	zen2 zon4
人中	gnin2 tson4
人丹鬍蘇	gnin2 te4 wu4 su4
人为	zen2 we4
人之常情	zen2 tsy4 zan4 zin4
人也	gnin2 gha4
人事	gnin2 zy4
人事局	zen2 zy4 jioq4
人事部	zen2 zy4 bu4
人事部門	zen2 zy4 bu4 men4
人事部门	zen2 zy4 bu4 men4
人人	gnin2 gnin4
人人皆知	zen2 zen4 cia4 tsy4
人介多	gnin2 ka4 tu4
人介少	gnin2 ka4 sau4
人代会	zen2 de4 khue4
人代會	zen2 de4 khue4
人们	zen2 men4
人伦	zen2 len4
人体	zen2 ben4
人來	gnin2 le4
人來人往	zen2 le4 zen4 uaon4
人來風	gnin2 le4 fon4
人個	gnin2 gheq4
人們	zen2 men4
人倫	gnin2 len4
人傑	gnin2 jiq4
人傑地靈	zen2 jiq4 di4 lin4
人像	gnin2 zian4
人儿	zen2 gni4
人兒	gnin2 er4
人分	gnin2 fen4
人力	gnin2 liq4
人力資源部	zen2 liq4 tsy4 gnioe4 bu4
人力资源部	zen2 liq4 tsy4 gnioe4 bu4
人化	gnin2 ho4
人千人萬	gnin2 tshi4 gnin4 ve4
人参	zen2 tshoe4
人參	gnin2 sen4
人叢	gnin2 zon4
人口	gnin2 kheu4
人口数	zen2 kheu4 su4
人口數	zen2 kheu4 su4
人可	gnin2 khu4
人同	gnin2 don4
人名	gnin2 min4
人名冊	zen2 min4 tshaq4
人名册	zen2 min4 tshaq4
人员	zen2 yoe4
人呢	gnin2 gni4
人味	gnin2 vi4
人命	gnin2 min4
人和	gnin2 wu4
人品	gnin2 phin4
人員	gnin2 yoe4
人問	gnin2 ven4
人因	gnin2 in4
人均	gnin2 cion4
人均收入	zen2 ciun4 seu4 zeq4
人堆	gnin2 te4
人士	gnin2 zy4
人声	zen2 san4
人声鼎沸	zen2 san4 tin4 fi4
人壽	gnin2 zeu4
人壽保險	zen2 zeu4 pau4 shi4
人多	gnin2 tu4
人多势众	zen2 tu4 sy4 tson4
人多勢衆	zen2 tu4 sy4 tson4
人大	gnin2 da4
人大代表	zen2 du4 de4 piau4
人大常委会	zen2 du4 zan4 ue4 khue4
人大常委會	zen2 du4 zan4 ue4 khue4
人天	gnin2 thi4
人头	zen2 deu4
人头攒动	zen2 deu4 tsoe4 don4
人如	gnin2 zy4
人字	gnin2 zy4
人学	zen2 ghoq4
人學	zen2 ghoq4
人定	gnin2 din4
人客	gnin2 khaq4
人家	gnin2 ka4
人寰	gnin2 gue4
人寿	zen2 zeu4
人寿保险	zen2 zeu4 pau4 shi4
人就	gnin2 zieu4
人居	gnin2 ciu4
人山人海	zen2 se4 zen4 he4
人工	gnin2 kon4
人工呼吸	zen2 kon4 hu4 shiq4
人工授精	zen2 kon4 zeu4 tsin4
人工智能	zen2 kon4 tsy4 nen4
人工流产	zen2 kon4 lieu4 tshe4
人工流產	zen2 kon4 lieu4 tshe4
人工湖	zen2 kon4 wu4
人年	gnin2 gni4
人彈	gnin2 de4
人形	zen2 yin4
人影	gnin2 in4
人很	gnin2 hen4
人心	gnin2 sin4
人心惶惶	zen2 sin4 waon4 waon4
人性	gnin2 sin4
人性化	zen2 sin4 hua4
人性論	zen2 sin4 len4
人性论	zen2 sin4 len4
人情	gnin2 zin4
人情味	zen2 zin4 vi4
人意	gnin2 i4
人愛	gnin2 e4
人或	gnin2 ghoq4
人所	gnin2 su4
人所共知	zen2 su4 gon4 tsy4
人手	gnin2 seu4
人才	gnin2 ze4
人才觀	zen2 ze4 kuoe4
人才观	zen2 ze4 kuoe4
人数	zen2 su4
人數	gnin2 su4
人文	zen2 ven4
人文主义	zen2 ven4 tsy4 gni4
人文主義	zen2 ven4 tsy4 gni4
人文科学	zen2 ven4 khu4 ghoq4
人文科學	zen2 ven4 khu4 ghoq4
人日	gnin2 gniq4
人最	gnin2 tsoe4
人月	gnin2 yoq4
人有	gnin2 yeu4
人本	gnin2 pen4
人本主义	zen2 pen4 tsy4 gni4
人本主義	zen2 pen4 tsy4 gni4
人机	zen2 ci4
人权	zen2 jioe4
人材	zen2 ze4
人来人往	zen2 le4 zen4 uaon4
人杰地灵	zen2 jiq4 di4 lin4
人格	gnin2 kaq4
人格化	zen2 kaq4 hua4
人梯	gnin2 thi4
人樣	gnin2 yan4
人機	gnin2 ci4
人權	gnin2 jioe4
人次	gnin2 tshy4
人欲	gnin2 yuq4
人氏	gnin2 zy4
人民	zen2 min4
人民代表	zen2 min4 de4 piau4
人民代表大会	zen2 min4 de4 piau4 du4 khue4
人民代表大會	zen2 min4 de4 piau4 du4 khue4
人民党	zen2 min4 taon4
人民公社	zen2 min4 kon4 zo4
人民公社化	zen2 min4 kon4 zo4 hua4
人民共和国	zen2 min4 gon4 wu4 koq4
人民共和國	zen2 min4 gon4 wu4 koq4
人民军	zen2 min4 ciun4
人民军队	zen2 min4 ciun4 de4
人民出版社	zen2 min4 tsheq4 pe4 zo4
人民团体	zen2 min4 doe4 ben4
人民團體	zen2 min4 doe4 thi4
人民大会堂	zen2 min4 du4 khue4 daon4
人民大會堂	zen2 min4 du4 khue4 daon4
人民币	zen2 min4 bi4
人民幣	zen2 min4 bi4
人民广场	zen2 min4 oe4 zan4
人民廣場	zen2 min4 kuaon4 zan4
人民战争	zen2 min4 tsoe4 tsen4
人民戰爭	zen2 min4 tsoe4 tsen4
人民政协	zen2 min4 tsen4 yaq4
人民政協	zen2 min4 tsen4 yaq4
人民政府	zen2 min4 tsen4 fu4
人民日報	zen2 min4 zeq4 pau4
人民日報社	zen2 min4 zeq4 pau4 zo4
人民日报	zen2 min4 zeq4 pau4
人民日报社	zen2 min4 zeq4 pau4 zo4
人民检察院	zen2 min4 ci4 tshaq4 yoe4
人民檢察院	zen2 min4 ci4 tshaq4 yoe4
人民武装	zen2 min4 wu4 tsaon4
人民武裝	zen2 min4 wu4 tsaon4
人民法院	zen2 min4 faq4 yoe4
人民網	zen2 min4 maon4
人民网	zen2 min4 maon4
人民解放军	zen2 min4 ka4 faon4 ciun4
人民解放战争	zen2 min4 ka4 faon4 tsoe4 tsen4
人民解放戰爭	zen2 min4 ka4 faon4 tsoe4 tsen4
人民解放軍	zen2 min4 ka4 faon4 ciun4
人民軍	zen2 min4 ciun4
人民軍隊	zen2 min4 ciun4 de4
人民銀行	zen2 min4 gnin4 ghan4
人民银行	zen2 min4 gnin4 ghan4
人民黨	zen2 min4 taon4
人气	zen2 chi4
人氣	gnin2 chi4
人治	gnin2 zy4
人流	gnin2 lieu4
人海	gnin2 he4
人渣	gnin2 tso4
人满为患	zen2 moe4 we4 we4
