aabenraa	ɔbmˈʁɔ
danserinde	dansərenə
dansk	dansk
danske	ˈdænsɡə
dansken	ˈdænsɡŋ
dansker	ˈdænsɡɐ
danskere	ˈdænsɡɐɐ
danskeren	ˈdænsɡɐɐn
dask	dasɡ
daske	ˈdasɡə
database	databasə
date	deɪt
datid	datid
dativ	ˈdæˌtiw
dato	ˈdato
datter	ˈdadɐ
dav	dav
davre	ˈdɑwʁɐ
de	di
debattere	debaˈteʌ
december	deˈsɛmbɐ
ded	ˈdeð
definerlig	defiˈneɐli
definitorisk	definiˈtoɐisɡ
dej	daj
dejlig	ˈdajli
dekonstruktion	ˈdekʌnsdʁuɡˌɕon
del	ˈdel
delagtig	delˈɑɡdi
dele	ˈdelə
delikat	delikat
dels	ˈdels
deltager	ˈdelˌtæjʌ
dem	dɛm
demografi	demoɡʁɑˈfi
demokrat	demoˈkʁɑd
demokrati	demokʁɑˈti
demokratisk	demoˈkʁɑdisɡ
demokratiske	demoˈkʁɑdisɡə
demonstration	ˌdemʌnsdʁɑˈɕon
demontere	demɔnterə
den	dɛn
dendrokronologi	ˈdɛndʁokʁonoloˈɡi
denne	ˈdɛnə
denotere	denoˈteʌ
der	ˈdɛr
deres	ˈdɛɒs
derfor	ˈdeɐfoɐ
dermed	ˈdɛɐˈmɛð
dervish	ˈdæɐviɕ
des	ˈdis
desavouere	desavuerə
desuagtet	ˈdɛsuˌɑɡdəð
desværre	desvɛrə
det	de
detonation	detonaˈɕon
detonator	detoˈnætʌ
dette	ˈdɛdə
deviere	deviˈeʌ
diagonal	diaɡonal
dialekt	diaˈlɛɡd
dialog	diaˈlo
diamant	diaˈmand
die	diə
diftong	diftɔnɡ
dig	dɑj
dige	diə
diger	diər
digital	diɡiˈtæl
digt	dekt
digte	dektə
digter	dektər
dikotomi	diɡotoˈmi
diminutiv	diminutiv
din	din
diode	diˈoðə
dionysos	dioˈnysʌs
diplomat	diplomat
direkte	dirɛktə
direktrice	diɐəɡˈtʁisə
direktør	diɐəɡˈtøɐ
discipel	diˈsibəl
disciplin	disiˈplin
diskret	diskrɛt
disputere	disbuˈteʌ
disse	ˈdisə
dissekere	disəˈkeʌ
dissektion	disɛɡˈɕon
dissonere	disoˈneʌ
distance	distanɡsə
distingvere	desdeŋˈveʌ
distingveret	desdeŋˈveʌð
diversitet	divæɐsiˈted
djævel	ˈdjɛvəl
djævelsk	djɛvəlsk
dobbelt	dɔbəlt
dobbeltgænger	ˈdʌbldˌɡɛŋɐ
doge	ˈdoɕə
dogmatik	dɒwmaˈtiɡ
dogmatiker	dɒwˈmætiɡʌ
dogmatisme	dɒwmaˈtismə
dogme	dɔɡmə
doktor	ˈdɔɡdɐ
doktorer	ˈdʌɡdɐɐ
doktorerne	ˈdʌɡdɐnə
dolk	dɔlk
dom	ˈdʌm
domkirke	ˈdʌmˌkiɐɡə
dommedag	ˈdʌməˌdæ
dommer	ˈdɔmɐ
donation	donaˈɕon
donationen	donaˈɕonən
donationens	donaˈɕonəns
donationer	donaˈɕonɐ
donationerne	donaˈɕonɐnə
donationernes	donaˈɕonɐnɛs
donationers	donaˈɕonɐs
donations	donaˈɕons
dont	ˈdʌnd
doven	ˈdɒwən
dovne	ˈdɒwnə
drage	ˈdʁɑwə
drager	ˈdʁɑwɐ
drej	draj
dreje	drajə
drejede	ˈdrajəðə
dreng	ˈdrɛŋ
drenge	ˈdrɛnɡə
drengen	ˈdrɛnɡən
drengene	ˈdrɛnɡənə
drev	drev
dreven	drevən
drevne	drevnə
drift	dreft
drikfældig	dʁɛɡˈfɛldi
drikke	ˈdʁɛɡə
drikkepenge	drekəpɛnɡə
drikker	drekər
dril	drel
drille	drelə
drive	drivə
drivhus	drivhus
drog	drɔv
droge	droɡə
dronning	drɔnenɡ
drot	drɔt
drue	druə
drukken	drokən
drukne	droknə
drys	drøs
dræbe	ˈdʁɛbə
dræber	ˈdʁɛbə
dræbt	ˈdʁabd
dræbte	ˈdʁabdə
dræne	ˈdrɛnə
dræt	ˈdʁad
drøbel	ˈdʁœʊəl
drøj	ˈdʁʌj
drøm	ˈtrœm
drømme	ˈdʁɶmə
drømmekage	ˈdʁɶməkaɪə
drømmeverden	ˈdʁɶməˌʋaɐdn
drømmeverdenen	ˈdʁɶməˌʋaɐdnən
drømmeverdener	ˈdʁɶməˌʋaɐdnɐ
drømmeverdenerne	ˈdʁɶməˌʋaɐdnɐnə
drømmeverdner	ˈdʁɶməˌʋaɐdnɐ
drømmeverdnerne	ˈdʁɶməˌʋaɐdnɐnə
drøn	drøn
drøne	drønə
drøv	drøv
du	ˈdu
dubiøs	dubiøs
due	duə
duel	duɛl
duellere	duəlerə
duft	ˈdɔfd
dufte	ˈdɔfdə
dug	duɡ
duge	duə
dukke	ˈdɔɡə
dulgt	dult
dulgte	dultə
dulle	ˈdulə
dum	dom
dumt	domt
dun	dun
dunkel	ˈdɔŋɡl
dus	ˈdus
dusin	dusin
dværg	dvɛrv
dyb	ˈdyb
dybde	ˈdybdə
dybe	ˈdybə
dybhav	ˈdybˌhɑw
dybt	ˈdybd
dyd	ˈdyð
dydsiret	ˈdyðˌsiʌð
dyne	dynə
dynge	ˈdøŋə
dyngevis	ˈdøŋəˌvis
dyr	dyɐ
dyre	dyrə
dyrisk	dyrisk
dyrke	dyrkə
dyrskue	ˈdyɐˌsɡuə
dyse	dysə
dysfori	dysfoˈʁi
dysse	dysə
dyst	dʏsd
dåb	ˈdɔb
dåne	dɔnə
dåre	ˈdɒɒ
dårlig	ˈdɒli
dårligst	ˈdɒlisd
dårligste	ˈdɒlisdə
dåse	dɔsə
dåseøl	dɔsəøl
dæmon	dɛmon
dæmpe	dɛmbə
dø	ˈdø
døb	ˈdøb
døbe	ˈdøbə
døber	ˈdøbɐ
døbt	ˈdøbd
døbte	ˈdøbdə
død	ˈdøð
døde	ˈdøðə
dødt	ˈdød
dødvande	dødvanə
døende	ˈdøənə
døgn	døjn
dølge	døljə
dølgsmål	ˈdølsˌmɔl
døm	ˈdœm
dømme	ˈdœmə
dømmer	ˈdœmɐ
dømte	ˈdœmdə
dør	dœr
døtre	ˈdødʁɐ
døv	døv
eagle	ˈiɡəl
edder	ˈɛðʌ
edderkop	ˈeðɐˌkʌp
eddike	ˈɛðɡə
eddikesur	ɛdkəsur
eder	ˈeðɐ
effektiv	ˈɛfəɡˌtiw
effen	ɛfən
efter	ˈɛfdɐ
efterligne	ɛftərlinɘ
efterpå	ˈɛfdɐˌpʌ
efterret	ˌɛfdɐˈrɛt
efterspil	ˈɛftɐˌsbil
efterspørgsel	ˈɛfdɐˌsbɶɐsəl
eftertænke	ˈɛfdʌˌtɛŋɡə
efterår	ˈɛfdɐˌɒ
eg	eɡ
ege	ˈejə
egen	ˈɑjən
egenhændig	ˈejənˌhɛndi
egentlig	eɣəntli
egern	ejərn
eget	ˈɑjəð
egetræ	eɡətrɛ
egn	ajn
ego	ˈeɡo
egoist	eɡoˈisd
egon	eɡɔn
egotripper	ˈeɡotʁibʌ
ej	aj
eje	ˈɑjə
ejede	ˈɑjðð
ejendel	ˈɑjənˌdel
ejendom	ˈɑjənˌdʌm
ejerløs	ajərløs
ejnar	ˈainə
eklektisk	ɛklɛktisk
eksamen	ɛɡˈsæmm
eksaminand	ɛɡsamiˈnand
eksaminer	ɛksaminər
eksem	ɛksem
eksempel	ɛksɛmpəl
ekskrementer	ɛɡsɡʁɛˈmɛndʌ
ekspedere	ɛɡsbeˈdeʌ
ekspeditrice	ɛɡsbədiˈtʁisə
ekspeditør	ɛɡsbediˈtøɐ
eksplicit	ɛksplisit
eksponentiel	ˌɛɡsbonɛnˈɕɛl
ekstra	ˈɛɡsdʁɑ
ekstraordinær	ɛkstraɔrdinɛr
ekstravagant	ɛkstravaɡant
el	ɛl
eland	ˈelan
elben	ˈɛlbm
elcykel	ɛlsykəl
elefant	ɛləˈfand
elegant	eləɡant
elementær	eləmɛntɛr
elendig	eˈlɛndi
elev	elev
elfenben	ˈɛlfənˌben
elfenbenstårn	ɛlfənbenstɒn
elg	ɛlj
eliksir	eləksir
elitær	elitɛr
elkedel	ɛlkedəl
eller	ˈɛlər
elleve	ˈɛlvə
ellevte	ˈɛlfdə
elsdyr	ɛlsdyr
elske	ˈɛlsɡə
elsker	ˈɛlsɡɐ
elskerinde	ɛlskərenə
elskov	ɛlskɔv
elskværdig	ɛlskvɛrdi
elv	ˈɛlʋ
em	ˈɛm
emballage	ambalasjə
embede	ɛmbeðə
embedsmand	ɛmbedsmand
emil	eˈmil
emme	ˈɛmə
emmer	ˈæmər
emne	ɛmnə
emotikon	emotikɔn
en	en
enbenet	enbenəd
encyklopædi	ɛnsyklopədi
end	ɛn
ende	ɛnə
endelig	ˈɛnəli
endestation	ˈɛnəsdaˌɕon
endnu	eˈnu
endt	ˈɛnd
enebarn	enəbarn
enebær	enəbɛr
ener	enər
eneste	enəstə
enfold	enfɔld
eng	ɛnɡ
engagere	ɑŋɡaˈɕeʌ
engang	enɡanɡ
engel	ˈɛŋəl
engelsk	ˈɛŋəlsɡ
englænder	ɛnɡlɛndər
engsnarre	ˈɛŋˌsnɑɑ
enhjørning	enjœrnenɡ
enig	eni
enighed	ˈeniˌheð
enke	ɛnkə
enlig	enli
enorm	eˈnɒm
ens	ens
ensilere	ɛnsilerə
enten	ɛntən
entitets	ɛntiˈtets
epic	ˈɛpɪk
epigon	epiˈɡon
epilere	epiˈleɐ
episk	ˈepisɡ
epistel	eˈpisdəl
epistemisk	epiˈsdemisɡ
epistemologi	episdəmoloˈɡi
epoke	epokə
epos	ˈepʌs
er	ɛr
erantis	erantis
erektion	erəksjon
erfare	ɛrˈfarə
erhverv	ɛɐˈvɛɐv
erhverve	æɐˈvæɐvə
erindre	eˈʁɛndʁɐ
erkende	aɐˈkɛnə
erkendelse	æɐˈkɛnəlsə
erklære	ɛrklɛrə
erklæring	æɐˈklɛɐeŋ
erland	ˈɛərlənd
ernst	ænsd
erotica	erotika
erotik	erotik
erotika	erotika
erstatning	aɐˈsdadneŋ
erstatte	aɐˈsdadə
esbjerg	ˈɛsbjæɐ
eskatologi	ɛskatoloˈɡi
eskimo	ɛsɡiˈmo
eskimoisk	ɛsɡiˈmoisɡ
eskimologi	ɛsɡimoloˈɡi
esoterisk	esoterisk
esperanto	esbəˈʁɑnto
est	ˈɛsd
establishment	eˈsdabliɕmənd
estisk	ɛstisk
et	et
etage	eˈtæɕə
etbenet	etbenəd
eufori	œvfori
euripides	œwˈʁibiˌdɛs
euro	øvro
europa	eˈʁopa
europæer	œwʁoˈpɛɐ
europæisk	œwʁoˈpɛisɡ
evangelium	evɑŋˈɡeljɔm
event	ɛˈvɛnt
eventyr	ɛvəntyɐ
eventyrlig	ɛvəntyrli
eventyrlysten	ˈewntsyɐˌløsdn
evig	evi
evindelig	evenəli
evindeligt	evenəlit
evne	ɛvnə
excerpt	ɛɡˈsæɐbd
fabel	fabəl
fabelagtig	fabəlaɡti
fabrik	faˈbreɡ
facade	faˈsæðə
facet	fasɛt
facon	faˈsʌŋ
faconen	faˈsʌŋən
faconer	faˈsʌŋɐ
fadervor	ˈfæðɐˈvɒ
fadæse	faˈdɛsə
fadøl	fadøl
fag	faɣ
fager	faɣər
fagert	faɣərt
fagidiot	ˈfɑwˌidiˈod
faglig	ˈfɑwli
faglitteratur	faɣlitəratur
fagot	faɡɔt
fagre	faɣrə
fagreste	faɣrəstə
fagter	faɡtər
fajance	fajanɡsə
fakir	faˈkiɐ
fakkel	fakəl
fakta	fakta
faktisk	faktisk
faktum	faktɔm
fakultet	faɡulˈted
falafel	faˈlɑfl
fald	fal
falde	ˈfalə
faldgrube	ˈfalˌɡʁubə
faldgruppe	ˈfalˌɡʁubə
faldskærm	falskɛrm
falk	falk
falleret	falerəd
falsk	falsk
familie	faˈmiljə
famle	famlə
fancy	ˈfænsi
fanden	ˈfanən
fandens	ˈfanəns
fandt	ˈfand
fandtes	fantəs
fane	ˈfænə
fange	faŋə
fangenskab	ˈfɑŋənˌsɡæb
fantastisk	fanˈtasdisɡ
far	fɑ
farao	farao
fare	ˈfarə
faren	ˈfɑən
farfar	farfar
farmor	farmor
fars	fars
farsot	farsot
fart	fart
fartøj	ˈfɑˌtʌj
farve	ˈfɑvə
farvel	fɑˈvɛl
farvestof	farvəstɔf
fasaneri	faˌsænʌˈʁi
fashionabel	faɕoˈnæbəl
fast	fast
faste	ˈfæsdə
fastelavn	fasdəˈlɑwn
faster	fastər
fatal	fatal
fatamorgana	fatamɔrɡana
fatte	ˈfadə
fattig	ˈfadi
fattigdom	fatidɔm
fatwa	ˈfædʋa
favorabel	fɑvoˈʁɑbəl
feber	ˈfebɐ
feberen	ˈfebɐɐn
febre	ˈfebʁɐ
februar	ˈfebʁuˌɑ
fed	feð
fede	ˈfeðə
fedme	fedme
fedt	ˈfed
fedtet	ˈfedəð
fedtsyre	ˈfedˌsyʌ
fej	ˈfɑj
fejde	ˈfɑjdə
feje	ˈfɑjə
fejlagtig	fajlaɡti
fejle	ˈfɑɪlə
fejre	fajrə
fem	ˈfɛm
femte	ˈfɛmdə
femten	fɛmtən
femti	ˈfɛmˌti
ferie	ˈfeɐiə
fersken	ˈfaɐsɡən
fertilitet	fɛrtilitet
fest	ˈfɛsd
festskrift	fɛstskreft
figen	ˈfiən
fik	ˈfeɡ
fiks	feks
fikse	feksə
fiksstjerne	feksstjɛrnə
fiktion	fiɡˈɕon
fiktiv	ˈfiɡˌtiw
fil	fil
filet	file
filetere	filəterə
filigran	filiɡran
filippinsk	filipinsk
film	film
filolog	filoˈlo
filologi	filoloˈɡi
filologisk	filoˈloisɡ
filosof	filoˈsʌf
filsben	ˈfilsˌben
fin	fin
find	fend
finde	fenə
finder	fenər
findes	ˈfenəs
finer	finer
finger	fenɡər
fingerbøl	fenɡərbøl
fingere	fenɡerə
finmark	fenmark
finne	fenɘ
finér	finer
fire	firə
firs	ˈfirs
firsindstyve	ˈfirsənsˈtyvə
firti	ˈfiɐti
fise	ˈfisə
fisk	ˈfesk
fiske	feskə
fiskehandler	feskəhanlər
fiskeolie	ˈfesɡəˌoljə
fisker	feskər
fiskerbåd	ˈfesɡɐˌbɔð
fiskestang	ˈfesɡəˌsdɑŋ
fisse	fisə
fjeder	fjeðɐ
fjeld	ˈfjɛl
fjende	ˈfjenə
fjendskab	ˈfjenˌsɡæb
fjendtlig	ˈfjendli
fjer	fjeɐ
fjerde	ˈfjɛɐ
fjerdedel	ˈfjɛɐˌdel
fjern	fjɛrn
fjert	fjɛrt
fjols	fjɔls
fjor	fjoɐ
fjord	ˈfjoɐ
fjorten	fjortən
fjorår	ˈfjoɒ
fjæle	ˈfjɛlə
fjært	fjɛrt
fjærte	fjɛrt
fjæs	fjɛs
flad	ˈflæð
flade	ˈflæðə
fladfisk	ˈflæðfesɡ
fladt	ˈflad
flag	flæj
flage	flajə
flagermus	flavərmus
flakon	flakɔnɡ
flamboyant	flamborjant
flammekaster	flamekasder
flange	flanɡsjɘ
flanør	flanør
flaske	flaskə
flaskehals	flaskəhals
flaskepost	flaskəpɔst
flere	ˈfleɐ
flertal	flertal
flertals	ˈfleɐˌtals
flest	ˈflesd
flette	flɛtə
flig	ˈfli
flimmerkasse	flemərkasə
flimre	flemrə
flink	flenk
flod	ˈfloð
flomme	ˈflʌmə
flommet	ˈflʌməð
flov	ˈflɒw
flue	fluə
flueknepperi	ˈfluəˌknebɐˌʁi
fluepapir	ˈfluəpaˌpiɐ
fluesmækker	fluəsmɛkər
flugt	flokt
fluks	flɔks
fluor	fluər
fluorescens	fluərəsɛns
fluorit	fluoˈʁid
flusspat	ˈflusˌsbad
fly	ˈfly
flyde	flyðə
flydende	flydənə
flyder	flyðər
flydt	flyt
flygel	ˈflyəl
flygte	ˈfløɡdə
flygtning	fløktnenɡ
flynder	flønər
flytte	fløtə
flyve	flyvə
flyvemaskine	ˈflyʊmaˌsɡinə
flyver	flyvər
flyvestation	ˈflyʊsdaˌɕon
flyvning	flyvnenɡ
flå	flɔ
flåde	flɔðə
flænse	ˈflɛnsə
flæsk	flɛsk
flæskesteg	flɛskəstaj
flæskesvær	ˈflɛsɡəˌsʋɛɐ
flød	fløð
fløde	fløðə
flødede	fløðəðə
flødeis	flødəis
flødeskum	fløðəskom
flødet	fløðəð
fløjl	fløjl
fløjte	flɔjtə
fobisk	ˈfobisɡ
fod	ˈfoð
fodbold	foðbʌld
fodboldspiller	fodbɔlspelər
fodgænger	ˈfoðˌɡɛŋɐ
fodkold	fodkɔl
fodring	fodrenɡ
fokus	ˈfoɡus
fold	fɔl
folde	fɔlə
folk	fɔlk
folkedragt	fɔlkədraɡt
folketing	ˈfʌlɡəˌteŋ
folketinget	ˈfʌlɡəˌteŋəð
folklore	fɔlklorə
fond	ˈfʌnd
fonem	foˈnem
fonetisk	fonetisk
fonologi	fonoloˈɡi
for	ˈfoɐ
foragt	fʌˈɑɡd
foran	ˈfɒˈan
foranderlig	fɔranərli
forandre	fɔrˈandrə
foranstalte	fʌanˈsdaldə
foranstaltning	fʌanˈsdaldneŋ
forarge	fʌˈɑwə
forbarme	fʌˈbɑmə
forberede	ˈfɒbeˌʁɛðə
forberedelse	ˈfɒbeˌʁɛðəlsə
forbrydelse	forˈbrødɛlsə
forbud	ˈfɒˌbuð
forbuden	fɒˈbuðən
forbudne	fɒˈbuðnə
forbudt	fɒˈbud
forbudte	fɒˈbudə
forbyd	fɒˈbyð
forbyde	fɒˈbyðə
forbyden	fɒˈbyðən
forbydende	fɒˈbyðənə
forbyder	fɒˈbyðɐ
forbydes	fɒˈbyðəs
forbød	fɒˈbøð
forbødes	fɒˈbøðəs
fordel	fordel
fordelagtig	fɒdelˈɑɡdi
fordele	fordelə
fordi	fɔˈdi
fordrukken	fʌˈdʁɔɡən
fordumme	fʌˈdɔmə
fordærv	fʌˈdæɐw
fordærve	fʌˈdæɐvə
fordærvelse	fʌˈdæɐvəlsə
fordøje	fʌˈdʌjə
fordømmelig	fʌˈdœməli
foregangsmand	fɔrəɡanɡsmand
foregive	ˈfɒɒˌɡi
forekomme	fɔrəkɔmə
forelske	forɛlskə
forelsket	forɛlskəd
forelægge	fɔrəlɛɡə
forene	fʌˈenə
foretagsom	fɒɒˈtæjˌsʌm
foretrække	ˈfɔrəˌtrɛkə
forfatte	fɔrfatə
forfatter	fɔˈfatɐ
forfængelig	fɔrfɛnɡəli
forfærde	fʌˈfæɐdə
forfærdelse	fʌˈfæɐdəlsə
forglemme	fɔrɡlɛmə
forglemmigej	forɡlɛmmaaj
forgribe	fʌˈɡʁibə
forgudelse	fʌˈɡuðəlsə
forgårs	fɔrɡɔrs
forgæves	fɔrɡɛvəs
forhale	fʌˈhælə
forholdsord	ˈfɒhʌlsˌoɐ
forhud	fɔrhud
forhåbentlig	fʌˈhɔbəndli
forhøje	fɔrhɔjə
forhøjelse	fɔrhøjəlsə
forjætte	fɔrjɛtə
forjættede	fɔrjɛtəðə
forjætter	fɔrjɛtər
forjættet	fɔrjɛtəð
fork	fɔrk
forkert	fɔˈkerd
forkortelse	fɔrˈkɔrtəlsə
forlag	fɔrlaɣ
forlange	fɔrlaŋə
forleden	fʌˈleðən
forlegen	fʌˈlɑjən
forlide	fʌˈliðə
forlig	fɔrli
forlige	fɔrliə
forligede	fɔrliəð
forligelig	fɔrliəli
forliget	fɔrliəð
forligne	fɒrˈlinə
forligs	fɔrlis
forlis	fɔrlis
forlise	fɔrlisə
forloren	fɔrlorən
forlyd	fɔrlyð
forlyde	fɔrlyðə
forlyden	fɔrlyðən
forlyste	fɔrløstə
forlystelse	fɔrløstəlsə
forlæg	fɔrlɛɡ
forlægge	fɔrlɛɡə
form	fɔrm
formand	ˈfɒˌman
formaste	fʌˈmasdə
forme	fɔrmə
formene	fʌˈmenə
former	ˈfɒmɐ
formiddag	ˈfɒmeˌdaɣ
formode	fɔrmoðə
formue	fɔrmuə
formular	fɔrmular
formå	fʌˈmɔ
formåen	fʌˈmɔən
fornavn	ˈfɒˌnɑwn
fornem	fɔrnɛm
fornemme	fɔrˈnɛmə
fornuft	fɔrnoft
fornuftig	fʌˈnɔfdi
forord	fɔror
forrest	fɔrəst
forresten	fʌˈʁasdn
forråd	ˈfɒˌʁɔð
forråde	fʌˈʁɔðə
forråden	fʌˈʁɔðən
forrådende	fʌˈʁɔðnə
forråder	fʌˈʁɔðɐ
forrådes	fʌˈʁɔðəs
forrådt	fʌˈʁɔd
forrådte	fʌˈʁɔdə
forrådtes	fʌˈʁɔdəs
forræder	fʌˈʁaðɐ
forræderi	fʌʁaðɐˈʁi
forseelse	fʌˈseəlsə
forsigtig	fɔrseɡtiɡ
forsigtighed	fʌˈseɡdiˌheð
forske	ˈfɒsɡə
forskel	fɒˌsɡɛl
forsker	fɔrskər
forskertse	fɔrskɛrtsə
forskrække	fʌˈsɡʁaɡə
forsoning	fɔrˈsoniŋ
forstand	fʌˈsdan
forstå	fʌˈsdɔ
forstår	fʌˈsdɔɐ
forstørre	fɔrˈstœrə
forstørrelse	fɔrˈstœrəlsə
forsvare	fʌˈsvɑɑ
forsvinde	fʌˈsvenə
forsøde	fɔrsødə
forsøge	fɔrsøɡə
forsøgt	fɔrsøɡt
forsømme	fʌˈsœmə
forsørge	fʌˈsɶɐwə
forsørgelse	fʌˈsɶɐwəlsə
forsørger	fɒˈsɶɐwɐ
fortale	ˈfɒˌtælə
fortalelse	fʌˈtæləlsə
fortalt	fɔrˈtalt
fortalte	fɔrˈtaltə
fortaltes	fɔrˈtaltəs
forte	ˈfɒdə
fortolke	fʌˈtʌlɡə
fortolkning	fʌˈtʌlɡneŋ
fortov	ˈfɒˌtɒw
fortryde	fɔrˈtryðə
fortrække	fɔrtrɛkə
fortsat	ˈfɒdˌsad
fortsatte	ˈfɒdˌsadə
fortsætte	ˈfɒdˌsɛdə
fortælle	fɔˈtɛlə
fortæller	fɔrˈtɛlər
fortænke	fʌˈtɛŋɡə
forud	ˈfɒˌuð
forudse	fɔrudse
forudsige	fɔrudsiɡə
forulykke	fɔruløkə
forundre	fʌˈɔndʁʌ
forurolige	fɒuˈʁoliə
forvente	fʌvɛntə
forår	ˈfɒˌɒ
forårsage	fɒɒˈsæjə
forårsagtig	fɔrɔrsaɡti
forårsrulle	fɔrɔrsrulə
forældelse	fʌˈɛləlsə
forælder	fɔˈɛldɐ
fosfor	fɔsfɔr
fosforescere	fɔsfɔrəserə
fostervand	ˈfʌsdʌˌvan
foto	ˈfodo
fotograf	fodoˈɡʁɒf
fotografer	fotoˈɡʁɑfɐ
fotosyntese	fotosyntesə
fra	fra
frabede	ˈfʁaˌpeɤə
fragt	ˈfʁɑɡd
frakke	ˈfʁɑɡə
franker	ˈfʁɑŋkisɡ
frankisk	ˈfʁɑŋkisɡ
frankrig	ˈfʁɑŋkʁi
fransk	ˈfʁɑnsɡ
franskbrød	ˈfʁɑnsbʁœð
fred	freð
fredag	ˈfreda
frede	freðə
fredelig	fredəliɡ
freden	freðən
frederik	ˈfʁeðʁek
frederiksen	ˈfʁeðəʁeksn
frelse	ˈfʁalsə
frelser	ˈfʁalsɐ
frelst	ˈfʁalsd
frelste	ˈfʁalsdə
frem	frɛm
fremad	ˈfʁamˌað
fremkomme	ˈfʁamˌkʌmə
fremmed	frɛməð
fremmede	ˈfʁaməðə
fremmedfjendtlig	ˈframəðˌfjendli
fremmedlegeme	frɛməðlɛɣəmə
fremragende	frɛmraɣənə
fremstille	ˈfʁamˌsdelə
fremtid	ˈfʁamˌtið
fremvisning	ˈfʁamˌvisneŋ
fri	fri
frihed	ˈfrihed
frikadelle	frekədɛlə
frikadeller	fʁiɡəˈdɛlɐ
frikassé	fʁiɡaˈse
frikvarter	ˈfʁiɡʋɑˌteɐ
frille	ˈfʁilə
frimurer	ˈfriˌmurər
frisisk	frisisk
frisk	frɛsk
frist	ˈfresd
friste	ˈfʁɛsdə
fristelse	ˈfresdəlsə
fritstående	fritstɔənə
fritte	ˈfʁidə
frivillig	frivili
fro	fro
frokost	ˈfʁoɡɔsd
from	frɔm
frosne	frosnə
frossen	frosən
frossent	frosənt
frosset	frosəð
frost	frɔst
fru	fru
frue	fruə
frugt	froɡt
frugtbar	frɔɡtbar
fryd	fryð
frygt	frøkt
frygte	ˈfʁœɡdə
frygtelig	ˈfrœɡdəli
frygtsom	ˈfʁœɡdˌsʌm
frys	frys
fryse	frysə
fryser	frysər
fråse	frɔsə
frænde	ˈfʁanə
frænke	ˈfʁaŋɡə
frø	frœ
frøken	frøkən
frømand	frømand
frøs	frøs
fuchsia	ˈfɔɡɕa
fuchsier	ˈfɔɡɕʌ
fuga	ˈfuɡa
fugl	ful
fugle	fulə
fugleskræmsel	ˈfuləˌskʁɑmsəl
fugt	fokt
fugte	foktə
fugtig	ˈfɔɡdi
ful	ful
fuld	ful
fuldkommen	fulkɔmən
fuldmagt	fulmakt
fuldstændig	ˈfulˌsdɛndi
fuldtallig	fultali
fulgt	ˈfuld
fulgte	ˈfuldə
fund	ˈfɔn
fundamental	fɔndaməntal
fundamentalisme	fɔndaməntalismə
fundere	fɔnderə
funktionel	fɔnɡsjonɛl
furie	ˈfuɐɪə
furore	furorə
fyld	fyld
fylde	fylə
fyn	ˈfyn
fyr	fyr
fyraften	fyraftən
fyre	fyrə
fyrre	ˈførə
fyrretyve	ˈførəˌtyvə
fyrste	ˈfyrstə
fyrstedømme	fyrstədœmə
fyrstendømme	fyrstəndœmə
fyrtårn	fyɐtɒn
fysik	fyˈsik
fysioterapeut	ˈfyɕoˌteɑˌpœwd
fysisk	fysisk
få	ˈfɔ
fåfængt	ˈfɔˌfɛŋd
får	fɒ
fårehund	fɔrəhun
fæ	ˈfɛ
fæces	fɛsəs
fædre	ˈfɛðʁə
fædreland	fɛdrəlan
fædrene	ˈfɛðʁɐnə
fæl	fɛl
fælde	fɛlə
fælle	ˈfɛlə
fælled	fɛləd
fælles	ˈfɛləs
fællesskab	ˈfɛləsˌsɡæb
fællig	ˈfɛli
fængsel	fɛŋsəl
fængsle	ˈfɛŋslə
fængsler	ˈfɛŋslɐ
fængslet	ˈfɛŋsləð
færd	ˈfɛr
færden	ˈfɛrdən
færdes	ˈfaɐdəs
færdsel	fɛrsəl
færg	ˈfaɐw
færge	fɛrɣə
færgen	ˈfaɐwən
færger	ˈfaɐwɐ
færing	fɛrenɡ
færre	fɛrə
færrest	fɛrəst
færreste	fɛrəstə
færøerne	fɛrøərnə
færøsk	fɛrøsk
fæste	fɛstə
fæstebonde	fɛstəbonə
fætter	fɛtər
fødder	ˈføðɐ
fødderne	ˈføðɐnə
føddernes	ˈføðɐnəs
fødders	ˈføðɐs
føde	føðə
fødsel	føsəl
fødselsdag	ˈføslsˌdæ
født	ˈfød
fødte	ˈfødə
føje	fɔjə
føjning	fɔjnenɡ
føl	ˈføl
føle	ˈfølə
følelse	ˈføləlsə
føler	ˈfølɐ
følge	ˈføljə
følger	ˈføljɐ
følgeskab	ˈføljəˌsɡæb
føllet	følət
følsom	ˈfølˌsʌm
følsomhed	ˈfølsʌmˌheð
følt	ˈføld
følte	ˈføldə
føn	føn
føniks	føniks
før	ˈfœɐ
føre	førə
fører	ˈføɐ
føring	ˈføɐeŋ
først	fœrst
første	fœrstə
ført	ˈføɐd
førte	ˈføɐdə
gad	ˈɡæð
gade	ˈɡæðə
gadekøkken	ɡadəkøken
gaffel	ɡafəl
gag	ˈɡæɡ
gak	ˈɡɑɡ
gal	ɡal
galakse	ɡaˈlɑɡsə
galde	ɡalə
galder	ˈɡalʌ
galdre	ˈɡalʁʌ
gale	ɡalə
galehus	ɡaləhus
galge	ɡaljə
galgenhumor	ɡaljənhumɔr
galleri	ɡaləri
gallien	ɡaliən
galoche	ɡalɔsjə
galop	ɡalɔp
galoper	ɡaloper
