ᎯᎠ ᎪᏪᎵ ᎧᏃᎮᎭ ᎤᏁᏢᏔᏅᎡ ᏥᏌ ᎦᎶᏁᏛ, ᏕᏫ ᎤᏪᏥ, ᎡᏆᎭᎻ ᎤᏪᏥ.	hia koweli kʰanoheha unet͡ɬə̃tʰanə̃e t͡sisa kalonetə̃ , tewi uwet͡si , ekʷahami uwet͡si .
ᎡᏂᏗ Ꮭ ᎢᎸᎯᏳ ᎢᏳᏓᎾᏫᏍᏔᏁ. ᏐᏁᎳᏚ ᎢᏍᎪᎯᏧᏆ ᏦᏍᎪ ᏅᎩ ᏂᏚ ᏄᏫᏍᏓᏁᎲᎾ ᎠᎴ ᎠᏰᎵ ᎦᏚᎲ ᏚᏂᏴᏒ ᎧᏂᎬᏍᏗ ᎨᏒ, ᎡᏂᏗ ᏅᏩᏓᎴ ᎢᏳᏍᏗ ᎤᏙᎩᏰ. ᎤᏙᎩᏴᏃ ᏄᎬᏫᏳᏒ ᏗᎪᏪᎵᏍᎩ ᎣᎦᎵᎰᎻ ᎠᏰᎵ ᎤᏙᏢᏒ ᎦᎸᎾᏗ ᏗᏓᏱᎵᏓᏍᏗ ᎠᎴ ᎤᏓᏠᏎ. ᎦᏯᎢᏒᏊᏃ ᎠᎦᏑᏰᏍᎨ ᎤᏩᏒᎯᏃ ᏔᎵ ᏧᏕᏘᏴᏓ ᎠᏂᏲᏍᎩ ᎤᏖᎳᏕ ᎾᎯᏳ ᏔᎵᏁ ᏓᎿᏩ ᏣᏍᏆᎵᎲ. ᎡᏂᏗ ᏅᎩᏍᎪᎯ ᏄᏕᏘᏴᎭ ᏗᎾᏘᏲᎯᎯ ᏧᎾᏕᎶᏆᏍᏗ ᏚᏕᎶᏆᎡ ᎤᏒᎢ ᎢᏗᏜ ᎠᎴ ᏗᏘᏲᎯᎯ ᎨᏒ ᎪᏪᎵ ᎧᏃᎮᏍᎩ ᎤᏁᏎ.	eniti t͡ɬa ilə̃hiju ijutanawistʰane . sonelatu iskohit͡sukʷa t͡sosko nə̃ki nitu nuwistanehə̃na ale ajeli katuhə̃ tunijə̃sə̃ kʰanikə̃sti kesə̃ , eniti nə̃watale ijusti utokije . utokijə̃no nukə̃wijusə̃ tikoweliski okalihomi ajeli utot͡ɬə̃sə̃ kalə̃nati titajilitasti ale utat͡ɬose . kajaisə̃kʷuno akasujeske uwasə̃hino tʰali t͡sutetʰijə̃ta anijoski utʰelate nahiju tʰaline tahnawa t͡saskʷalihə̃ . eniti nə̃kiskohi nutetʰijə̃ha tinatʰijohihi t͡sunatelokʷasti tutelokʷae usə̃i itit͡ɬa ale titʰijohihi kesə̃ koweli kʰanoheski unese .
ᎠᎹᏱ ᎭᏫᏂ ᎠᎾᏕᎲᏍᎪ ᏧᎾᏍᏗ, ᎤᎾᏕᏃᏭ, ᎦᏚᏗᏜ ᎠᎹᏱ ᎠᏁᎪ	amaji hawini anatehə̃sko t͡sunasti , unatenowu , katutit͡ɬa amaji aneko
ᎢᎬᏱ ᏭᎶᏒ ᎤᎸᏎ ᎦᏚᎢ ᎦᎸᎾᏗ ᎤᏅᏓᏝᎥ ᎠᎴ ᎤᏩᏛᎮ ᏒᏆ ᎤᏪᏴᎢ ᎤᏟᏗᏜ.	ikə̃ji wulosə̃ ulə̃se katui kalə̃nati unə̃tat͡ɬaə̃ ale uwatə̃he sə̃kʷa uwejə̃i ut͡ɬitit͡ɬa .
ᎦᏃᎭᎵᏙᎯ ᎠᎦᏎᏍᏗᏍᎨ ᎠᎴ ᎠᎪᏩᏘᏍᎨ ᎢᏴᏓᎵ Ꮎ ᎤᏛᏐᏅ ᏩᏎᎯᎮ	kanohalitohi akasestiske ale akowatʰiske ijə̃tali na utə̃sonə̃ wasehihe
ᎣᏍᏓ ᏥᎦᏩᏒᎪ ᏥᎨᏐᎢ, ᎠᎴ ᎾᏊ ᎤᏂᎩᏎ ᎤᏅᏓᏝᎥ ᎾᎥᏂᎨᏍᏗ ᏥᏳᎪᏗ	osta t͡sikawasə̃ko t͡sikesoi , ale nakʷu unikise unə̃tat͡ɬaə̃ naə̃nikesti t͡sijukoti
ᎤᏥᏍᏓᎷᎩᏍᎩ ᏅᏯ ᎠᏒᏢ ᏄᎵᏍᏔᏁ ᏗᎬᏩᎾᏗᏒ ᎡᏆ ᎤᏪᏴᎢ. ᏫᏚᏪᏐᏣᏃ	ut͡sistalukiski nə̃ja asə̃t͡ɬə̃ nulistʰane tikə̃wanatisə̃ ekʷa uwejə̃i . wituwesot͡sano
ᎢᏳᏍᏗ ᎤᏩᏅᏦᏅ ᎤᎦᏐᏎ ᎣᏓᎸ ᎠᎴ ᏩᏍᏆᎳᎯᏴ ᎤᏍᏗ ᎦᏅᏅ ᏭᎶᏎ	ijusti uwanə̃t͡sonə̃ ukasose otalə̃ ale waskʷalahijə̃ usti kanə̃nə̃ wulose
ᎠᏓᏰᏍᎩ ᎦᎾᏰᎩ ᎪᎱᏍᏗ ᏅᏯ ᎤᏄᏫ ᎪᏎᏄ, “ᎤᏯ ᏧᏄᏫ,” ᎦᏁᎴᏃ ᎤᎿ	atajeski kanajeki kohusti nə̃ja unuwi kosenu , uja t͡sunuwi , kaneleno uhna
ᎤᏎᎮᎵᏙᎮ ᎾᏍᎩᏯ ᎩᏟ, ᎠᎴ ᎤᏠᏱᏊ ᎾᏍᏔᏰ ᎠᎯᏍᏗᎢ, ᏅᏗᎦᎵᏍᏙᏗᏍᎬ	usehelitohe naskija kit͡ɬi , ale ut͡ɬojikʷu nastʰaje ahistii , nə̃tikalistotiskə̃
ᏏᏅᏓ ᎤᏪᏅᏒᎯ, ᎠᎴ ᏱᏚᏂᏩᏛᎭ ᎦᎵᏉᎩ ᎢᏯᏂ ᎠᏂᎨᏯ ᏏᏅᏓ ᎤᏁᏅᎡ	sinə̃ta uwenə̃sə̃hi , ale jituniwatə̃ha kalikʷoki ijani anikeja sinə̃ta unenə̃e
ᎤᎾᎴᏅᏁ ᎤᏍᏗ ᎦᏅᏅ ᎾᎿ Ꮎ ᎤᏛᏐᏅ ᎤᎷᎯᏍᏗᎢ. ᏄᎵᏍᏛᏃᏊ ᎤᎾᏛᎦᏁ	unalenə̃ne usti kanə̃nə̃ nahna na utə̃sonə̃ uluhistii . nulistə̃nokʷu unatə̃kane
ᏭᎪᎭᏭ ᎤᏛᏅᏍᏔᏁ ᎠᎴ ᎤᏪᏡᏁ: “Ᏻ! ᎥᎩᎵᏏ; ᎤᏙᎯᏳ ᎤᏲ ᏂᏣᏛᎿ!”	wukohawu utə̃nə̃stʰane ale uwet͡ɬune , ju ! ə̃kilisi , utohiju ujo nit͡satə̃hna !
ᎤᎶᏎᎴᎢ, ᎠᏎᏃ ᎾᏊ ᎠᎵᎦᏍᏗᎮ ᎩᎦ. ᏄᎵᏍᏛᏃ ᎤᏪᏅᏎ ᎠᎴ ᏚᎾᏠᏎ Ꮎ	uloselei , aseno nakʷu alikastihe kika . nulistə̃no uwenə̃se ale tunat͡ɬose na
ᏚᏩᏘᏍᏔᏁ ᎠᏰᎸ ᏗᎬᏩᎶᏒ ᎠᎴ ᎦᏙ ᏭᎤᏁ, ᎠᎴ ᎤᎵᏏᎩ ᎤᎵᏯᎶᎸ ᏤᏆ ᎠᏓ	tuwatʰistʰane ajelə̃ tikə̃walosə̃ ale kato wuune , ale ulisiki ulijalolə̃ t͡sekʷa ata
ᏗᎧᏃᎮᏗ, ᎠᎴ ᎾᏊ ᎾᎥᏂᎨ ᎤᎷᏣ ᎠᏓᏪᎳᎩᏍᎩ ᎤᎴᏅᎮ ᎦᏬᏂᏍᎬ, ᎠᎴ ᏚᏃᎯᏎᎴ	tikʰanoheti , ale nakʷu naə̃nike ulut͡sa atawelakiski ulenə̃he kawoniskə̃ , ale tunohisele
ᎡᎿᎢ ᎠᎴ ᏙᏓᎸᎢ. ᎠᏓᏪᎳᎩᏍᎩ ᏏᏊ ᎠᏗᏞᎲᏍᎨ ᎤᏬᏂᎯᏍᏗ ᎡᎳᏗ	ehnai ale totalə̃i . atawelakiski sikʷu atit͡ɬehə̃ske uwonihisti elati
ᎤᏂᏩᏛᎮ ᎤᏩᏒᎯᏊ ᎡᏆ ᎦᏟᏌᏅ ᎩᎦᎨ ᏩᏗ ᎦᎶᏁᏗ ᎠᎴ ᎠᏓᎶᎾᏍᏙᏗ ᎤᎸᏌᏗ	uniwatə̃he uwasə̃hikʷu ekʷa kat͡ɬisanə̃ kikake wati kaloneti ale atalonastoti ulə̃sati
ᎠᏓᏙᎵᏍᏗᏍᎬ ᎾᎯᏳ ᏕᎨᏥᎶᏁᏍᎬ ᎾᏍᏊ ᎥᎦᏃᎭᎵᏙᎲ ᎣᏍᏓ ᎢᏳᏓᎵᏍᏓᏁᏗ	atatolistiskə̃ nahiju teket͡siloneskə̃ naskʷu ə̃kanohalitohə̃ osta ijutalistaneti
ᎬᎿᎨᏍᏛ ᎠᏁᎯ ᎧᎹᎹ ᏫᏚᏁᏋ ᎡᎶᎯ ᎦᏙᎯ ᎠᏁᎯ ᎠᏁᎿᎢ. ᏗᎦᏅᎯᏓ ᏓᏂᏴᏌᏛ ᏓᏅᏗᏍᎪ ᎤᏠᏱᏭ ᏧᏃᏰᎾ. ᎠᎹ ᎠᏂᎫᎩᏍᏗᏍᎪ ᎤᎾᏗᏔᏍᏗ ᏃᏊᎴ ᎤᏅᏌ ᎠᎹ ᏓᎾᎵᏍᏚᏟᏍᏗᏍᎪ ᎤᏁᏌᏴᏜ ᏳᎵᏍᏙᏗ, ᏃᎴ ᏑᎵᏍᏚᏒ ᏱᏓᏂᎾᏌᏁᎩ ᏧᏓᎴᏅᏓ ᎤᏂᏙᏗ ᎠᏂᏴᏌᏛᎢ.	kə̃hnakestə̃ anehi kʰamama witunekʷə̃ elohi katohi anehi anehnai . tikanə̃hita tanijə̃satə̃ tanə̃tisko ut͡ɬojiwu t͡sunojena . ama anikukistisko unatitʰasti nokʷule unə̃sa ama tanalistut͡ɬistisko unesajə̃t͡ɬa julistoti , nole sulistusə̃ jitaninasaneki t͡sutalenə̃ta unitoti anijə̃satə̃i .
ᏚᏩᏂᎦᏢ ᏃᎴ ᎠᏓ ᏚᏯᎸ ᏓᏂᎩᏍᎪᎢ. ᏗᎦᏅᎯᏓ ᏗᏂᎾᎪ ᏃᎴ ᏗᏂᏴᏤᏂ	tuwanikat͡ɬə̃ nole ata tujalə̃ tanikiskoi . tikanə̃hita tininako nole tinijə̃t͡seni
ᎠᏓᏢᎢᎯ ᏧᏁᎳ ᏗᎦᏃᎨᏂ ᏂᏚᏅᎿ, ᏔᎵᏃ ᏧᏓᏅᏂ ᎤᏁᏍᏩᏄᏍᏗ ᎢᏳᏍᏗ ᏂᏚᏅᎿ ᎤᎿᎢ. ᎯᎢᎾ ᏗᏂᏃᎨᏂ ᏓᏅᏗᏍᎪ ᎠᎺᏉ ᎠᏲᏓᏝᎲ ᎠᏁᏙᎲᎢ. ᎪᎱᏍᏗ ᎡᏍᎦ ᏯᎾᏕᎳᎰᏍᎦ, ᎠᏂᏅᎪᏫᏍᎪ ᎤᎵᏏᎩ ᎤᎵᏑᏫᏓ ᎪᎱᏍᏗ, ᎤᎿ ᎠᎾᏗᏍᎦᏢᏍᎪᎢ. ᎠᏂᎰᎵ ᎠᏅᏗᏍᎬ ᏓᏂᏔᎴᏍᎪ ᏍᏓᏯ ᏓᎬᎾ ᏯᎦᏣᎦᎸᏯ ᎦᏃᎵᏙᎲᎢ.	atat͡ɬə̃ihi t͡sunela tikanokeni nitunə̃hna , tʰalino t͡sutanə̃ni uneswanusti ijusti nitunə̃hna uhnai . hiina tininokeni tanə̃tisko amekʷo ajotat͡ɬahə̃ anetohə̃i . kohusti eska janatelahoska , aninə̃kowisko ulisiki ulisuwita kohusti , uhna anatiskat͡ɬə̃skoi . aniholi anə̃tiskə̃ tanitʰalesko staja takə̃na jakat͡sakalə̃ja kanolitohə̃i .
ᎤᏍᎪᎸ ᎠᏓᎶᏂᎨ, ᏗᎬᎿᎨᏅ ᏧᎶᏟᏗ - ᏝᏅ ᎠᏂᏔᎵ ᎤᏂᏠᏱ ᏱᎨᏐ	uskolə̃ atalonike , tikə̃hnakenə̃ t͡sulot͡ɬiti t͡ɬanə̃ anitʰali unit͡ɬoji jikeso
ᎯᎢᎾ ᎤᏂᏍᎦᏎᏗ ᎠᎾᏝᎢᏙᎯ ᏚᎾᎵᎪᏐ ᎠᏂᏃᎯᎵᏙᎲ ᏚᎾᏓᏡᎪᎢ. ᎠᏂᎨᎯᏙᎰ ᎠᏂᏃᎵᏙᎯ (ᎠᏫ, ᎠᏫᎡᏆ) ᎢᏅᎯᏴᎢ ᎩᎳ ᎠᏂᎨᎯᏙ ᏱᏚᏯᏪᏣ, ᎿᏊ ᎠᏂᏂᏱᏍᎪ. ᏗᏯᏖᎾ ᏚᎾᎳᏍᎬ ᎬᏩᏂᏍᏕᎵᏍᎪ ᎤᎾᏓᎾᏫᏍᏙᏗ ᎥᎾᏥ ᏱᎩ. ᎤᎾᏛᎪᏗ ᎣᏍᏓ ᎨᏐ ᏗᏓᏛᎪᏩᏅᏃ ᎠᏂᏐᎢ ᏩᎭᏯ ᎤᎾᏓᏡᎬ, ᎾᏂᏪᏒᎢ.ᎶᏀᏨᏩᏳ ᎡᏒ ᏊᏇ Ꮎ ᏍᏯ ᏣᏨ ᎤᏅ ᏗᏘ ᏥᏦ ᎢᏆ ᎸᏄ ᎳᏔ ᏰᏴ ᏙᏉ ᎾᏫ	hiina uniskaseti anat͡ɬaitohi tunalikoso aninohilitohə̃ tunatat͡ɬukoi . anikehitoho aninolitohi awi , awiekʷa inə̃hijə̃i kila anikehito jitujawet͡sa , hnakʷu aninijisko . tijatʰena tunalaskə̃ kə̃wanistelisko unatanawistoti ə̃nat͡si jiki . unatə̃koti osta keso titatə̃kowanə̃no anisoi wahaja unatat͡ɬukə̃ , naniwesə̃i . lonat͡sə̃waju esə̃ kʷukʷe na sja t͡sat͡sə̃ unə̃ titʰi t͡sit͡so ikʷa lə̃nu latʰa jejə̃ tokʷo nawi
ᏦᎢ ᎩᏄᏙᏗ ᎡᎶᎯ ᎫᏝᎠ ᎠᎹ, ᎠᏂᏴᏫ ᎥᏍᎩ ᎾᏂᏪᏎᎰ ᎡᎶᎯ ᎠᎹ ᏤᎶᎯ.	t͡soi kinutoti elohi kut͡ɬaa ama , anijə̃wi ə̃ski naniweseho elohi ama t͡selohi .
ᎯᎢᎾ ᎪᏪᎵ ᎧᏃᎮᎭ ᏂᎦᎵᏍᏗᏍᎬ ᎡᎶᎯ ᎠᎹ ᎠᏓᏅᏏᏙᎲᎢ. ᎦᏃᎮ	hiina koweli kʰanoheha nikalistiskə̃ elohi ama atanə̃sitohə̃i . kanohe
ᏧᏓᎴᏅᏓ ᎦᏙ ᏂᏓᏳᏓᎴᏅᏓ ᏗᏩᏛᏗ ᎠᎺᏉ ᎭᏫᏂ. ᎥᏍᎩᏅ ᏳᏰᏟᏗ ᎠᎹᎭ ᏥᎨᏐ	t͡sutalenə̃ta kato nitajutalenə̃ta tiwatə̃ti amekʷo hawini . ə̃skinə̃ jujet͡ɬiti amaha t͡sikeso
ᎣᎯᏍᏗ ᎠᎹ ᎨᏐ, ᎠᎦᏍᎬ ᎤᏅᏥ ᎤᏩᎾᏬᏒ ᏧᏂᎩᏓ. ᎣᎯᏍᏗ ᎠᎹ ᎥᏍᏊ ᎠᏩᏛᏗ	ohisti ama keso , akaskə̃ unə̃t͡si uwanawosə̃ t͡sunikita . ohisti ama ə̃skʷu awatə̃ti
ᎡᎶᎯ ᎠᎹ ᎦᏁᎯ ᎨᏒ. ᏍᏓᏯ ᏱᏂᎦᎵᏍᏓ ᎠᎹ ᏳᏁᏍᏓᎳᏓ ᏅᎪᏩᏘᏍᎬᏅ ᏱᎩ	elohi ama kanehi kesə̃ . staja jinikalista ama junestalata nə̃kowatʰiskə̃nə̃ jiki
ᎢᏯᏔᎳᏗᏅᏓ ᏂᎦᎵᏍᏗᏍᎪ ᎠᏓᏅᏏᏙᎲ ᎠᎹ ᎠᎺᏉ ᏳᏂᎩᏌ, ᎦᏙᎯᏃ ᎿᏊᎴ	ijatʰalatinə̃ta nikalistisko atanə̃sitohə̃ ama amekʷo junikisa , katohino hnakʷule
Ꮎ ᏧᏍᏗ ᏗᎦᏃᎯᎵᏙ, ᎠᎹ ᏧᏓᎴᏅᏓ ᏧᏓᏙᏢᏅ ᏓᏃᏎᎰᎯ, ᎠᎹ ᎤᏙᏢᏅ,	na t͡susti tikanohilito , ama t͡sutalenə̃ta t͡sutatot͡ɬə̃nə̃ tanosehohi , ama utot͡ɬə̃nə̃ ,
ᎤᏔᏃᎸᏓ ᏳᏠᏯᏍᏗ ᎤᏃᎴ ᎠᎵᏌᎳᏗᏍᎬ ᎡᎶᎯᏗᏜ ᎠᎴᏂᏍᎪ ᎦᏁᏌᏴᏜᏗᏍᎬᎢ.	utʰanolə̃ta jut͡ɬojasti unole alisalatiskə̃ elohitit͡ɬa alenisko kanesajə̃t͡ɬatiskə̃i .
ᏳᏓᏁᏟᏴᏌ ᎠᎹ ᎨᏒ ᎿᏊᎴ ᎦᏁᎯ ᏂᎦᎵᏍᏗᏍᎪᎢ. ᎯᎢᏅ ᏔᎵᏁ ᏂᎦᎵᏍᏗᏍᎬ ᎠᎹ	jutanet͡ɬijə̃sa ama kesə̃ hnakʷule kanehi nikalistiskoi . hiinə̃ tʰaline nikalistiskə̃ ama
ᏍᏈᏍᏗ ᎠᏕᎳᎰᎯᏍᏗ ᎨᏐ ᏂᏗᎦᎵᏍᏔᏂᏒ ᏙᏱ ᏛᎦᏙᏍᏗᏍᎬ ᏚᎶᎩᎸᎢ.	skʷisti atelahohisti keso nitikalistʰanisə̃ toji tə̃katostiskə̃ tulokilə̃i .
ᏄᏍᏗᏓᎾ ᏯᏗᎭ, ᎠᏎᏍᎩᏂ Ꮭ ᎡᎵ ᏱᏂᎦᎠ ᎤᎦᏅᏗᎢ. ᎢᎾ ᎢᏗᎦᏘ ᎤᎵᏏᎩ ᎡᎳᏗᏜ	nustitana jatiha , aseskini t͡ɬa eli jinikaa ukanə̃tii . ina itikatʰi ulisiki elatit͡ɬa
ᎪᎯᎦ ᏥᎨᏒ ᎡᎮ ᏣᎳᎩ ᏧᏂᏴᏫ ᎠᏂᏣᎫᎢ ᎨᎪᏎᎸᎢ, ᎠᎴ ᏌᏊ ᏏᏓᏁᎸ ᎤᎾᏙᏢᏒ ᎾᏍᎩ	kohika t͡sikesə̃ ehe t͡salaki t͡sunijə̃wi anit͡sakui kekoselə̃i , ale sakʷu sitanelə̃ unatot͡ɬə̃sə̃ naski
ᎢᎦᏊ ᏥᏂᎦᎵᏍᏗ ᎠᏂᎩᏍᎨ ᎠᎴ ᏒᏃᏱᏴ ᎩᎳ ᎢᎦᎷᎨ. ᏧᎦᏴᎵᎨᏃ ᎬᏩᏐᎮᎮ, ᎠᏎᏃ ᏝᏃ	ikakʷu t͡sinikalisti anikiske ale sə̃nojijə̃ kila ikaluke . t͡sukajə̃likeno kə̃wasohehe , aseno t͡ɬano
ᎤᏚᎵᏍᎬ ᎠᏙᎯ ᎤᏪᏓᏍᏗ ᏄᏚᎵᏍᎬᎾᏃ ᎨᏒ ᏧᏪᏅᏒ ᎤᎵᏍᏓᏴᏙᏗᎢ. ᎤᏛᏁᏃ Ꮎ ᎠᏧᏣ,	utuliskə̃ atohi uwetasti nutuliskə̃nano kesə̃ t͡suwenə̃sə̃ ulistajə̃totii . utə̃neno na at͡sut͡sa ,
ᎤᎾᏓᏅᏖᏔᏅ ᎠᎴ ᎤᏂᏍᏘᏰᏔᏁ ᏧᏂᎯᏯᏍᏘ ᏂᎨᏒᎾ, ᎠᏎᏃ ᎯᎠ ᏄᏪᏎᎢ, “ᎤᏟ ᏂᏓᏤᏝ	unatanə̃tʰetʰanə̃ ale unistʰijetʰane t͡sunihijastʰi nikesə̃na , aseno hia nuwesei , ut͡ɬi nitat͡set͡ɬa
ᏗᏍᏗᎸᏫᏍᏓᏁᏗ ᏱᎦᎩ ᏍᏗᎩᏍᏗᎢ; ᎠᏎᏃ ᏱᏍᏓᏚᎵ ᏍᏕᏅᏍᏗᎢ ᎢᎬᏱ ᎦᎵᏉᎩ ᎢᎦ ᎠᎹ	tistilə̃wistaneti jikaki stikistii , aseno jistatuli stenə̃stii ikə̃ji kalikʷoki ika ama
ᏍᏓᏯ ᏗᎩᎸᏫᏍᏓᏁᏗ ᎠᎴ ᏂᎪᎸᏊ ᏝᏃ ᎡᎵᏱᎦ ᏱᎩᎰᎢ. ᎤᎿᏃ ᎨᏒ ᏂᎪᎸᏊ ᎡᎵᏊᏃ	staja tikilə̃wistaneti ale nikolə̃kʷu t͡ɬano elijika jikihoi . uhnano kesə̃ nikolə̃kʷu elikʷuno
ᏚᏄᎪᏔᏁ Ꮎ ᎠᏧᏣ ᏚᏘᏅᏎᎢ. ᎾᏊᏃ ᏴᏫ ᏐᎢ ᏕᎦᏚᎲ ᎤᎾᏛᎦᎾ ᎤᏲ ᎤᏂᏰᎸᏁ ᎠᎴ ᎤᏂᏅᏎ	tunukotʰane na at͡sut͡sa tutʰinə̃sei . nakʷuno jə̃wi soi tekatuhə̃ unatə̃kana ujo unijelə̃ne ale uninə̃se
ᏗᏂᏰᎸ ᎠᏓᎴᏂᏍᎬ ᏓᏚᏢᏍᎬ ᎡᎿᎢ ᏧᏂᏍᏘᏰᎪ ᎾᏍᎩᏯᎢ, ᏅᏛᎦᎵᏍᏙᏗᏍᎬ ᎦᎵᏉᎩ	tinijelə̃ ataleniskə̃ tatut͡ɬə̃skə̃ ehnai t͡sunistʰijeko naskijai , nə̃tə̃kalistotiskə̃ kalikʷoki
ᎬᏩᏓᎴᏅᏓ ᏲᎾ ᏙᎦᏙᎡᏍᏗ ᎠᎴ ᎾᏊ ᏂᎯ ᎢᏨᏌ ᏱᏗᏥᏲᏏᎭ ᎢᏥᎷᎨᏍᏗ ᎠᏙᎯ ᎠᎴ	kə̃watalenə̃ta jona tokatoesti ale nakʷu nihi it͡sə̃sa jitit͡sijosiha it͡silukesti atohi ale
ᏧᏂᏲᎯ ᏏᏃ ᏚᎾᏅᏔ ᎾᏍᎩ ᏗᏃᎩᏍᏗ. ᎾᏊᏃ ᏚᏂᏍᏆᏓ ᏗᏃᎩᏓ Ꮎ ᎠᏂᏣᎫᎯ ᎤᎾᎴᏅᎮ	t͡sunijohi sino tunanə̃tʰa naski tinokisti . nakʷuno tuniskʷata tinokita na anit͡sakuhi unalenə̃he
Ꭾ-Ꭱ! ᎠᏂᏣᎫᎯ, ᎠᏂᏣᎫᎯ, ᎠᏆᏚᎵ ᎡᎳᏗ ᏗᎦᏥᏅᏗ, ᎠᏂᏣᎫᎯ, ᎠᏂᏣᎫᎯ, ᎠᏆᏚᎵ ᎡᎳᏗ	he e ! anit͡sakuhi , anit͡sakuhi , akʷatuli elati tikat͡sinə̃ti , anit͡sakuhi , anit͡sakuhi , akʷatuli elati
ᎯᎠᏃ ᎧᏃᎩᏍᏗ ᎾᏍᏊ ᎧᏃᎩᏍᎪ Ꮎ ᏲᎾ ᏧᏲᎯ, ᏕᎦᎳᏅᏗᏍᎬ Ꮎ ᏲᎾ, ᏅᏓᏳᏂᎩᏓ	hiano kʰanokisti naskʷu kʰanokisko na jona t͡sujohi , tekalanə̃tiskə̃ na jona , nə̃tajunikita
Ꭾ-Ꭱ! ᎭᏳᏯ’ ᎭᏂᏩ; ᎭᏳᏯ’ ᎭᏂᏩ; ᎭᏳᏯ’ ᎭᏂᏩ; ᎭᏳᏯ’ ᎭᏂᏩ; ᎫᏬᎯ’ ᏁᎭᎾᏚ’ ᏯᏄ;	he e ! hajuja haniwa , hajuja haniwa , hajuja haniwa , hajuja haniwa , kuwohi nehanatu janu ,
(ᎢᎦᏪᏓ) ᎤᎴ-Ꮔ ᎠᏎᎯ’ ᏔᏕᏯᏍᏔᏗᎯ’ ᎬᎿᎨ ᎠᏍᏚ’ ᏥᎩ’ Ꭾ! ᎭᏳᏯ’ ᎭᏂᏩ’ (ᏅᎩ	ikaweta ule nu asehi tʰatejastʰatihi kə̃hnake astu t͡siki he ! hajuja haniwa nə̃ki
(Ꮭ ᎢᎾᎢᎦᏘ ᏱᎩ ᎡᏥ, ᏍᏗᎩᏓ ᎤᏇᏓᏟ, ᏝᏍᎩᏂ ᎦᎵᏦᎯᏓ ᏱᎩ! ᏍᏆᎳ ᎤᎵᏥᏍᏆᏁᏓ	t͡ɬa inaikatʰi jiki et͡si , stikita ukʷetat͡ɬi , t͡ɬaskini kalit͡sohita jiki ! skʷala ulit͡siskʷaneta
ᎡᏥ ᎨᏒᎢ. ᎡᏥ ᎦᏅᏬ ᎾᎥ ᎢᎦᏘ, 7 ᎠᎴ 8 ᏳᏕᏘᏴᏓ. ᎬᎿᎨᎢ ᎤᏍᏘᎩ ᎦᏥᏃᏍᏓ ᎦᏅᏬ	et͡si kesə̃i . et͡si kanə̃wo naə̃ ikatʰi , kalikʷoki ale t͡sanela jutetʰijə̃ta . kə̃hnakei ustʰiki kat͡sinosta kanə̃wo
(ᏎᎷ ᎤᏂᏥ ᎤᎾᏛᏒ Ꮲ 3-3 ½ ᎢᏯᎳᏏᏗ ᎢᎦᏘ ᎾᎾᎵᏍᏗᏍᎪᎢ. ᎠᎨᏳᏣ ᎤᏥᏃ ᏓᏂᏙᎦ	selu unit͡si unatə̃sə̃ t͡ɬə̃ t͡soi t͡soi sakʷu tʰali ijalasiti ikatʰi nanalistiskoi . akejut͡sa ut͡sino tanitoka
ᎤᏥ ᏚᎧᏲᏔᏅ ᏧᏬᏰᏂ ᎤᏞᏌᏛ ᎬᏗ, ᎾᏊᏃ ᎤᏘᏅᏒ ᏎᎵᏓ ᏙᏱ ᎤᎦᎾᏩ ᎤᏬᏗᎨ	ut͡si tukʰajotʰanə̃ t͡suwojeni ut͡ɬesatə̃ kə̃ti , nakʷuno utʰinə̃sə̃ selita toji ukanawa uwotike
ᏕᎦᏢᏍᎬᎢ. ᎠᎪᎠᏂᏴᎲ ᏎᎵᏓ ᎠᎦᏘᎾᎡᏃ ᎤᏍᏗ ᎤᏪᏴᏗᏜ ᏫᏚᎾᏦᏝᏅ ᏫᏚᏃᏢ. ᎤᏥ	tekat͡ɬə̃skə̃i . akoanijə̃hə̃ selita akatʰinaeno usti uwejə̃tit͡ɬa witunat͡sot͡ɬanə̃ witunot͡ɬə̃ . ut͡si
ᏎᎵᏓ ᎤᏍᏕᎸᎲ ᎤᏥ ᏗᎦᎾᏫᏛᎲ Ꮎ ᏎᎷ ᏧᏄᎶᏔᏅ ᎠᏁᎶᏗᏃ ᏧᏙᏢ ᏧᏁᏅᏒᏗᏜ.	selita ustelə̃hə̃ ut͡si tikanawitə̃hə̃ na selu t͡sunulotʰanə̃ anelotino t͡sutot͡ɬə̃ t͡sunenə̃sə̃tit͡ɬa .
ᏔᎵᏁ, ᎤᏥ ᏚᎾᏩᏛᎮ ᎠᏍᏘ. ᏎᎵᏓ ᏚᏍᏕᏲᎸ ᎠᏍᏘ ᎤᏬᏢᏅ ᎬᎿᎨᎢ ᎤᏍᏗᎬ ᎠᏁᏟᏗ.	tʰaline , ut͡si tunawatə̃he astʰi . selita tustejolə̃ astʰi uwot͡ɬə̃nə̃ kə̃hnakei ustikə̃ anet͡ɬiti .
