’परती टूटि रहल अछि’ - मैथिली कविता सङ्ग्रह - १९९३	pˈəɾt̪iː ʈˈuːʈɪ ɾˈəɦəl ˈət͡ʃʰɪ mˈəɪt̪ʰɪliː kˈəʋɪt̪aː sˈəŋɡɾəɦ ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ t̪ɪɾˈaːnʋe
सुषमा कतेक टीवी धारावाहिक मे सेहो काम केलक जेना कि हम लोग आ देख भाई देख। ८० के पूर्वार्ध मे दूरदर्शन पर प्रसारित पहिल सोप ओपेरा हम लोग मे उनकर द्वारा निभाएल दादी क किरदार बेहद लोकप्रिय रहल। दादीक गला के कैंसरसँ पीडीत दिखाएल गेल छल, ओ मृत्युक कगार पर छल पर ई सुषमाक लोकप्रियता ही छल जेकर कारण ई किरदारक उम्रक दर्शक के माँग पर बढावे पडल ।	sˈʊʂmaː kˈət̪ek ʈˈiːʋiː d̪ʱaːɾaːʋˈaːɦɪk mˈe sˈeɦo kˈaːm kˈelək d͡ʒˈenaː kˈɪ ɦˈəm lˈoɡ ˈaː d̪ˈekʰ bʱˈaːiː d̪ˈekʰ . ˈəsːiː kˈe puːɾʋˈaːɾd̪ʱ mˈe d̪ˈuːɾd̪əɾʃən pˈəɾ pɾəsˈaːɾɪt̪ pˈəɦɪl sˈop ˈopeɾaː ɦˈəm lˈoɡ mˈe ˈʊnkəɾ d̪ʋˈaːɾaː nɪbʱˈaːel d̪ˈaːd̪iː kˈə kɪɾd̪ˈaːɾ bˈeɦəd̪ lokˈəpɾɪj ɾˈəɦəl . d̪aːd̪ˈiːk ɡˈəlaː kˈe kəɪ̃sˈəɾsə̃ piːɖˈiːt̪ d̪ɪkʰˈaːel ɡˈel t͡ʃʰˈəl , ˈo mɾˈɪt̪jʊk kəɡˈaːɾ pˈəɾ t͡ʃʰˈəl pˈəɾ ˈiː sʊʂmˈaːk lokəpɾˈɪjt̪aː ɦˈiː t͡ʃʰˈəl d͡ʒˈekəɾ kˈaːɾəɳ ˈiː kɪɾd̪ˈaːɾək ˈʊmɾək d̪ˈəɾʃək kˈe mˈaː̃ɡ pˈəɾ bəɖʱˈaːʋe pˈəɖəl .
अनुपमाक जन्म सिङ्गापुरमे सन् १९८८ अगस्त १६ के दिन भेल छल । हुनकर पिता एक गोरखा मेजर छल । ओ अपन पढाई लेखाई सिङ्गापुरक गेल्याङ उच्च विद्यालयसँ केनए अछि । ओ नेपाली वाहेक चिनी आ अंग्रेजी भाषामे निपुण अछि ।	ənʊpmˈaːk d͡ʒˈənm sɪŋɡaːpˈʊɾme sˈən ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ əʈʈʰˈaːsiː əɡˈəst̪ sˈoləɦ kˈe d̪ˈɪn bʱˈel t͡ʃʰˈəl . ɦˈʊnkəɾ pˈɪt̪aː ˈek ɡˈoɾkʰaː mˈed͡ʒəɾ t͡ʃʰˈəl . ˈo ˈəpən pəɖʱˈaːiː lekʰˈaːiː sɪŋɡˈaːpʊɾək ɡeljˈaːŋ ˈʊt͡ʃː ʋɪd̪jaːlˈəjsə̃ kˈenəe ˈət͡ʃʰɪ . ˈo nepˈaːliː ʋˈaːɦek t͡ʃˈɪniː ˈaː ˈə̃ŋɡɾed͡ʒiː bʱaːʂˈaːme nˈɪpʊɳ ˈət͡ʃʰɪ .
विनोद चौधरी नेपालक एक परिचित उद्योगपति छी। ओ चौधरी ग्रूप अफ इन्डस्ट्रीजक मालिक छी। ओ विश्वक धनिक समुहमे नेपालक एक मानल जाइत अछि।	ʋˈɪnod̪ t͡ʃəˈʊd̪ʱɾiː nepˈaːlək ˈek pˈəɾɪt͡ʃɪt̪ ʊd̪joɡˈəpt̪ɪ t͡ʃʰˈiː . ˈo t͡ʃəˈʊd̪ʱɾiː ɡɾˈuːp ˈəpʰ ɪnɖˈəsʈɾiːd͡ʒək mˈaːlɪk t͡ʃʰˈiː . ˈo ʋˈɪʃʋək d̪ʱˈənɪk səmˈʊɦme nepˈaːlək ˈek mˈaːnəl d͡ʒˈaːɪt̪ ˈət͡ʃʰɪ .
क्याटराक्ट सर्जरीक निम्ति ई अस्पतालमे ईन्ट्रालोकुलर लेन्सक उत्पादन सेहो कएल जाइत अछि।	kjaːʈɾˈaːkʈ səɾd͡ʒəɾˈiːk nˈɪmt̪ɪ ˈiː əspət̪ˈaːlme ˈiːnʈɾaːlokʊləɾ lˈensək ʊt̪pˈaːd̪ən sˈeɦo kˈəel d͡ʒˈaːɪt̪ ˈət͡ʃʰɪ .
अप्रैल २००८ मे, ओ २३,७६९ भोटक साथ संविधानसभा चुनाव २०१३ जीतने छल।	ˈəpɾəɪl d̪ˈo ɦəzˈaːɾ ˈaːʈʰ mˈe , ˈo t̪eˈiːs ɦəzˈaːɾ sˈaːt̪ sˈəʊ ˈʊnɦət̪ːəɾ bʱˈoʈək sˈaːt̪ʰ sə̃ʋɪd̪ʱaːnˈəsbʱaː t͡ʃʊnˈaːʋ d̪ˈo ɦəzˈaːɾ t̪ˈeɾəɦ d͡ʒˈiːt̪ne t͡ʃʰˈəl .
२०१५ : शिक्षाके माध्यमसँ शिक्षामे समावेश : भाषा महत्वपूर्ण अछि (पेरिसमे कार्यक्रम)	d̪ˈo ɦəzˈaːɾ pˈə̃n̪d̪ɾəɦ , ʃɪkʂˈaːke mˈaːd̪ʱjəmsə̃ ʃɪkʂˈaːme səmˈaːʋeʃ , bʱˈaːʂaː məɦət̪ʋəpˈuːɾɳ ˈət͡ʃʰɪ peɾˈɪsme kˈaːɾjəkɾəm
महामाया भगवान बुद्ध की माता थीं जिनका उल्लेख महामायाम सुपिने के द्वारा किया गया है।	məɦaːmˈaːjaː bʱəɡʋˈaːn bˈʊd̪ʱː kˈiː mˈaːt̪aː t̪ʰˈiː̃ d͡ʒˈɪnkaː ˈʊlːekʰ məɦaːmaːjˈaːm sˈʊpɪne kˈe d̪ʋˈaːɾaː kˈɪjaː ɡˈəjaː ɦˈəɪ .
कारागारमे बलात्कारक घटना सहो किछ कुरुर मानसिक्ताके पहिचान छी इ घटना बहुतो बेर समाचार माध्यममे सुनल जाइत अछि कि महिला द्वारा आरोप लगाएल गेल अछि कि यौन सोषण कारागारमे होइत अछि।	kaːɾaːɡˈaːɾme bəlˈaːt̪kaːɾək ɡʱˈəʈnaː sˈəɦo kˈɪt͡ʃʰ kˈʊɾʊɾ mˈaːnsɪkt̪aːke pəɦɪt͡ʃˈaːn t͡ʃʰˈiː ˈɪ ɡʱˈəʈnaː bˈəɦʊt̪o bˈeɾ səmaːt͡ʃˈaːɾ mˈaːd̪ʱjəmme sˈʊnəl d͡ʒˈaːɪt̪ ˈət͡ʃʰɪ kˈɪ mˈəɦɪlaː d̪ʋˈaːɾaː ˈaːɾop ləɡˈaːel ɡˈel ˈət͡ʃʰɪ kˈɪ jˈəʊn sˈoʂəɳ kaːɾaːɡˈaːɾme ɦˈoɪt̪ ˈət͡ʃʰɪ .
एकर अतिरिक्त बिना व्याकरण बला गजल सेहो मैथिलीमे लिखाएल अछि। संक्षिप्त चर्चा आगू चलि कऽ हएत।	ˈekəɾ ət̪ɪɾˈɪkt̪ bˈɪnaː ʋjˈaːkɾəɳ bˈəlaː ɡˈəd͡ʒəl sˈeɦo məɪt̪ʰɪlˈiːme lɪkʰˈaːel ˈət͡ʃʰɪ . sə̃ŋkʂˈɪpt̪ t͡ʃˈəɾt͡ʃaː ˈaːɡuː t͡ʃˈəlɪ kˈə ɦˈəet̪ .
गोपीनाथ मन्दिर () एक हिन्दु मन्दिर अछि जे भारतक उत्तराखण्ड राज्यक चमोली गढवाल जिलाक गोपेश्वरमे स्थित अछि । गोपीनाथ मन्दिर गोपेश्वर गाममे अछि जे आब गोपेश्वर कस्बेक भाग छी ।	ɡopiːnˈaːt̪ʰ mˈənd̪ɪɾ ˈek ɦˈɪnd̪ʊ mˈənd̪ɪɾ ˈət͡ʃʰɪ d͡ʒˈe bʱˈaːɾt̪ək ʊt̪ːəɾaːkʰˈəɳɖ ɾˈaːd͡ʒjək t͡ʃˈəmoliː ɡəɖʱʋˈaːl d͡ʒɪlˈaːk ɡopeʃʋˈəɾme st̪ʰˈɪt̪ ˈət͡ʃʰɪ . ɡopiːnˈaːt̪ʰ mˈənd̪ɪɾ ɡopˈeʃʋəɾ ɡˈaːmme ˈət͡ʃʰɪ d͡ʒˈe ˈaːb ɡopˈeʃʋəɾ kˈəsbek bʱˈaːɡ t͡ʃʰˈiː .
अली असगर एक भारतीय अभिनेता आ हास्यकलाकार छी। ओ धारावाहिक कहानी घर घर की मे वर्ष २००० सँ २००८ धरि कमल अग्रवालक पात्रक भूमिकामे छल। ओकर बाद ओ वर्ष २००९ मे एफआईआर नामक धारावाहिकमे राज आर्यनक भूमिका निर्वाह केनए छल। ताहिना "कमेडी नाइट विथ कपिल" कार्यक्रममे हिनकर अभिनयकेँ खुब प्रसिद्धी मिलल ।	ˈəliː ˈəsɡəɾ ˈek bʱaːɾt̪ˈiːj ˈəbʱɪnet̪aː ˈaː ɦaːsjəklaːkˈaːɾ t͡ʃʰˈiː . ˈo d̪ʱaːɾaːʋˈaːɦɪk kəɦˈaːniː ɡʱˈəɾ ɡʱˈəɾ kˈiː mˈe ʋˈəɾʂ d̪ˈo ɦəzˈaːɾ sˈə̃ d̪ˈo ɦəzˈaːɾ ˈaːʈʰ d̪ʱˈəɾɪ kˈəməl əɡɾəʋˈaːlək pˈaːt̪ɾək bʱuːmɪkˈaːme t͡ʃʰˈəl . ˈokəɾ bˈaːd̪ ˈo ʋˈəɾʂ d̪ˈo ɦəzˈaːɾ nˈəʊ mˈe epʰəaːiːˈaːɾ nˈaːmək d̪ʱaːɾaːʋaːɦˈɪkme ɾˈaːd͡ʒ ˈaːɾjənək bʱˈuːmɪkaː nɪɾʋˈaːɦ kˈenəe t͡ʃʰˈəl . t̪ˈaːɦɪnaː kˈəmeɖiː nˈaːɪʈ ʋˈɪt̪ʰ kˈəpɪl kˈaːɾjəkɾəmme ɦˈɪnkəɾ əbʱɪnˈəjkẽ kʰˈʊb pɾˈəsɪd̪ʱːiː mˈɪləl .
कालीगण्डकी अथवा गण्डकी नदी संसारक सबसँ गहीर मोनि बनाए प्रवाहित होमए वला नदी छी । ई नदी सँ नेपालक सभ सँ पैग जलविद्युत उत्पादन केन्द्र सञ्चालित भऽ रहल अछि । ई नदीमे पैग मात्रामे कारी रङ्गक माटि भेलाक कारण ई नदीक नाम काली गण्डकी नामाकरण केएल गेल अछि।	kaːliːɡˈəɳɖəkiː ˈət̪ʰʋaː ɡˈəɳɖəkiː nˈəd̪iː sə̃sˈaːɾək sˈəbsə̃ ɡəɦˈiːɾ mˈonɪ bənˈaːe pɾəʋˈaːɦɪt̪ ɦˈoməe ʋˈəlaː nˈəd̪iː t͡ʃʰˈiː . ˈiː nˈəd̪iː sˈə̃ nepˈaːlək sˈəbʱ sˈə̃ pˈəɪɡ d͡ʒəlʋˈɪd̪jʊt̪ ʊt̪pˈaːd̪ən kˈend̪ɾ səɲt͡ʃˈaːlɪt̪ bʱˈə ɾˈəɦəl ˈət͡ʃʰɪ . ˈiː nəd̪ˈiːme pˈəɪɡ mˈaːt̪ɾaːme kˈaːɾiː ɾˈəŋɡək mˈaːʈɪ bʱelˈaːk kˈaːɾəɳ ˈiː nəd̪ˈiːk nˈaːm kˈaːliː ɡˈəɳɖəkiː naːmˈaːkɾəɳ kˈeel ɡˈel ˈət͡ʃʰɪ .
चण्डेश्वरी मन्दिर बनेपामे मात्रे नै, पूरा काठमाडौँ उपत्यका भैरमे प्रख्यात अछि । बहुत नेवार समुदायक लोग चण्डेश्वरीक कुलदेवी आ इष्टदेवीक रूपमे पुजैत अछि ।	t͡ʃəɳɖˈeʃʋəɾiː mˈənd̪ɪɾ bənepˈaːme mˈaːt̪ɾe nˈəɪ , pˈuːɾaː kˈaːʈʰmaːɖəʊ̃ ʊpˈət̪jəkaː bʱəˈɪɾme pɾəkʰjˈaːt̪ ˈət͡ʃʰɪ . bˈəɦʊt̪ neʋˈaːɾ səmʊd̪ˈaːjək lˈoɡ t͡ʃəɳɖeʃʋəɾˈiːk kˈʊld̪eʋiː ˈaː ɪʂʈəd̪eʋˈiːk ɾˈuːpme pˈʊd͡ʒəɪt̪ ˈət͡ʃʰɪ .
जिम्दाे नेपालि भासा (दाेस्राे खण्ड २०३७ )	d͡ʒˈɪmd̪aː nepˈaːlɪ bʱˈaːsaː d̪ˈaːsɾaː kʰˈəɳɖ d̪ˈo ɦəzˈaːɾ səɪ̃n̪t̪ˈiːs
नेपालक केन्द्रीय तथ्याङ्क विभागक अनुसार ई प्रदेश नेपालक कूल क्षेत्रफल मे सँ भाग ओकटने अछि । ई प्रदेशक जनसङ्ख्या ५४,०४,१४५ रहल अछि जे एकरा नेपालक दोसर सभ सँ बेसी जनसङ्ख्या भेल प्रदेश बनौने अछि ।	nepˈaːlək kend̪ɾˈiːj t̪ət̪ʰjˈaːŋk ʋɪbʱˈaːɡək ənʊsˈaːɾ ˈiː pɾˈəd̪eʃ nepˈaːlək kˈuːl kʂˈet̪ɾəpʰəl mˈe sˈə̃ bʱˈaːɡ okˈəʈne ˈət͡ʃʰɪ . ˈiː pɾˈəd̪eʃək d͡ʒənsˈəŋkʰjaː t͡ʃˈəʊʋən lˈaːkʰ t͡ʃˈaːɾ ɦəzˈaːɾ ˈek sˈəʊ pəɪ̃n̪t̪aːlˈiːs ɾˈəɦəl ˈət͡ʃʰɪ d͡ʒˈe ˈekɾaː nepˈaːlək d̪ˈosəɾ sˈəbʱ sˈə̃ bˈesiː d͡ʒənsˈəŋkʰjaː bʱˈel pɾˈəd̪eʃ bˈənəʊne ˈət͡ʃʰɪ .
सुनकोसी गाउँपालिका पूर्वाञ्चल विकास क्षेत्रक सगरमाथा अञ्चलमे रहल उदयपुर जिलाक एकटा गाउँपालिका छी। एहि गाउँपालिकामे ५ वडासभ रहल अछि ।	sˈʊnkosiː ɡaːʊ̃pˈaːlɪkaː puːɾʋˈaːɲt͡ʃəl ʋɪkˈaːs kʂˈet̪ɾək səɡəɾmˈaːt̪ʰaː əɲt͡ʃˈəlme ɾˈəɦəl ʊd̪ˈəjpʊɾ d͡ʒɪlˈaːk ˈekʈaː ɡaːʊ̃pˈaːlɪkaː t͡ʃʰˈiː . ˈeɦɪ ɡaːʊ̃paːlɪkˈaːme pˈaː̃t͡ʃ ʋəɖˈaːsəbʱ ɾˈəɦəl ˈət͡ʃʰɪ .
वित्तीय लेखापरीक्षण माने कोनो भी कानुनी रूपसँ स्थापना भेल नाफा कमाई या नै कमाई बडका या छोटक संस्थाक वित्तीय सूचनासभमे राय दऽ कार्यक लेल प्रमाणसभ संकलन कैर आ मूल्याँकन करै लेखापरीक्षक अपन राय देइवाला प्रक्रिया छी ।	ʋɪt̪ːˈiːj lekʰaːpɾˈiːkʂəɳ mˈaːne kˈono bʱˈiː kˈaːnʊniː ɾˈuːpsə̃ st̪ʰˈaːpnaː bʱˈel nˈaːpʰaː kəmˈaːiː jˈaː nˈəɪ kəmˈaːiː bˈəɖkaː jˈaː t͡ʃʰˈoʈək sə̃st̪ʰˈaːk ʋɪt̪ːˈiːj sˈuːt͡ʃnaːsəbʱme ɾˈaːj d̪ˈə kˈaːɾjək lˈel pɾəmˈaːɳsəbʱ sˈə̃ŋkələn kˈəɪɾ ˈaː mˈuːljaː̃kən kˈəɾəɪ lekʰaːpɾˈiːkʂək ˈəpən ɾˈaːj d̪eɪʋˈaːlaː pɾˈəkɾɪjaː t͡ʃʰˈiː .
२०११ नेपाल जनगणना नेपालमे कएल गेल एघारहम राष्ट्रिय जनगणना छी । ई जनगणना देशव्यापी रूपमे तथ्याङ्क सङ्कलन केनए छल । राष्ट्रिय जनगणनाक अन्तिम प्रतिवेदन अनुसार नेपालक जनसङ्ख्या २ करोड ६४ लाख ९४ हजार पाँच सौ चार पहुँचल अछि ।	d̪ˈo ɦəzˈaːɾ ɡjˈaːɾəɦ nepˈaːl d͡ʒənɡˈəɳnaː nepˈaːlme kˈəel ɡˈel eɡʱˈaːɾɦəm ɾˈaːʂʈɾɪj d͡ʒənɡˈəɳnaː t͡ʃʰˈiː . ˈiː d͡ʒənɡˈəɳnaː d̪eʃəʋjˈaːpiː ɾˈuːpme t̪ət̪ʰjˈaːŋk sˈəŋkələn kˈenəe t͡ʃʰˈəl . ɾˈaːʂʈɾɪj d͡ʒənɡəɳnˈaːk ˈənt̪ɪm pɾˈət̪ɪʋed̪ən ənʊsˈaːɾ nepˈaːlək d͡ʒənsˈəŋkʰjaː d̪ˈo kˈəɾoɖ t͡ʃəˈʊ̃səʈʰ lˈaːkʰ t͡ʃəʊɾˈaːnʋe ɦəd͡ʒˈaːɾ pˈaː̃t͡ʃ sˈəʊ t͡ʃˈaːɾ pəɦˈʊ̃t͡ʃəl ˈət͡ʃʰɪ .
(2) श्री प्रभु पंडि‍त सुपुत्र स्‍व. , पता- गाम+पोस्‍ट- नरहि‍या, थाना- लौकही, जि‍ला- मधुबनी (बि‍हार)	d̪ˈo ʃɾˈiː pɾˈəbʱʊ pˈə̃ɳɖɪ t̪ˈə sʊpˈʊt̪ɾ s ʋˈə , pˈət̪aː ɡˈaːm pˈos ʈˈə nˈəɾɦɪ jˈaː , t̪ʰˈaːnaː ləˈʊkɦiː , d͡ʒˈɪ lˈaː məd̪ʱˈʊbniː bˈɪ ɦˈaːɾ
कीर्ती सुरेश एक भारतीय चलचित्र अभिनेत्री छी तमिल, मलयालम आ तेलुगु चलचित्रसभमे अछि ।	kˈiːɾt̪iː sˈʊɾeʃ ˈek bʱaːɾt̪ˈiːj t͡ʃəlt͡ʃˈɪt̪ɾ əbʱɪnˈet̪ɾiː t͡ʃʰˈiː t̪ˈəmɪl , məljˈaːləm ˈaː t̪ˈelʊɡʊ t͡ʃəlt͡ʃɪt̪ɾəsˈəbʱme ˈət͡ʃʰɪ .
संवैधानिक परिषद्क अध्यक्षमे प्रधानमन्त्री आ सदस्यसभमे प्रधानन्यायधीश, प्रतिनिधि सभाक सभामुख, राष्ट्रिय सभाक अध्यक्ष आ प्रतिनिधि सभामे विपक्षी दलक नेता रहवाक व्यवस्था अछि ।	sə̃ʋəɪd̪ʱˈaːnɪk pəɾɪʂˈəd̪k əd̪ʱjˈəkʂəme pɾəd̪ʱaːnmˈənt̪ɾiː ˈaː səd̪əsjəsˈəbʱme pɾəd̪ʱaːnənjaːjd̪ʱˈiːʃ , pɾˈət̪ɪnɪd̪ʱɪ səbʱˈaːk səbʱˈaːmʊkʰ , ɾˈaːʂʈɾɪj səbʱˈaːk əd̪ʱjˈəkʂ ˈaː pɾˈət̪ɪnɪd̪ʱɪ səbʱˈaːme ʋɪpˈəkʂiː d̪ˈələk nˈet̪aː ɾəɦʋˈaːk ʋjəʋˈəst̪ʰaː ˈət͡ʃʰɪ .
साई धरम तेज (जन्म १५ अक्टुबर १९८६) एक भारतीय चलचित्र अभिनेता छी जे चिरञ्जीवीक परिवारसँ सम्बन्ध रखैत अछि । ओ तेलुगु चलचित्र उद्योगमे अभिनय करैत अछि ।	sˈaːiː d̪ʱˈəɾəm t̪ˈed͡ʒ d͡ʒˈənm pˈə̃n̪d̪ɾəɦ ˈəkʈʊbəɾ ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ t͡ʃʰɪjˈaːsiː ˈek bʱaːɾt̪ˈiːj t͡ʃəlt͡ʃˈɪt̪ɾ ˈəbʱɪnet̪aː t͡ʃʰˈiː d͡ʒˈe t͡ʃɪɾəɲd͡ʒiːʋˈiːk pəɾɪʋˈaːɾsə̃ səmbˈənd̪ʱ ɾˈəkʰəɪt̪ ˈət͡ʃʰɪ . ˈo t̪ˈelʊɡʊ t͡ʃəlt͡ʃˈɪt̪ɾ ʊd̪jˈoɡme ˈəbʱɪnəj kˈəɾəɪt̪ ˈət͡ʃʰɪ .
ई शहरक स्थापना शाकम्बरी चौहान शासक अजयराज प्रथम वा अजयराज द्वितीयद्वारा कएल गेल छल । ई शहर १२हम शताब्दीधरि चौहानसभक राजधानी रहल छल ।	ˈiː ʃˈəɦɾək st̪ʰˈaːpnaː ʃaːkˈəmbəɾiː t͡ʃəʊɦˈaːn ʃˈaːsək əd͡ʒəjɾˈaːd͡ʒ pɾˈət̪ʰəm ʋˈaː əd͡ʒəjɾˈaːd͡ʒ d̪ʋɪt̪iːjəd̪ʋˈaːɾaː kˈəel ɡˈel t͡ʃʰˈəl . ˈiː ʃˈəɦəɾ bˈaːɾəɦ ɦˈəm ʃət̪aːbd̪ˈiːd̪ʱɾɪ t͡ʃəʊɦaːnˈəsbʱək ɾˈaːd͡ʒd̪ʱaːniː ɾˈəɦəl t͡ʃʰˈəl .
३. कायचिकित्सा- कायक अर्थ जठराग्नि छी। ओकर दोष मन्दाग्नि आदिक कारण उत्पन्न भेल सर्वाङ्गत ज्वर, रक्तपित्त, शोष, उन्माद, अपस्मार, कृष्ठ, प्रमेह, अतिसार आदि शारीरिक मानसिक रोगसभक निदान आ चिकित्साक वर्णन जे अङ्गमे भेल अछि तेकरा कायचिकित्सा कहैत अछि।	t̪ˈiːn . kˈaːjt͡ʃɪkɪt̪saː kˈaːjək ˈəɾt̪ʰ d͡ʒəʈʰɾˈaːɡnɪ t͡ʃʰˈiː . ˈokəɾ d̪ˈoʂ mənd̪ˈaːɡnɪ ˈaːd̪ɪk kˈaːɾəɳ ˈʊt̪pənː bʱˈel səɾʋˈaːŋɡət̪ d͡ʒʋˈəɾ , ɾˈəkt̪əpɪt̪ː , ʃˈoʂ , ʊnmˈaːd̪ , əpəsmˈaːɾ , kɾˈɪʂʈʰ , pɾˈəmeɦ , ət̪ɪsˈaːɾ ˈaːd̪ɪ ʃaːɾˈiːɾɪk mˈaːnsɪk ɾoɡˈəsbʱək nɪd̪ˈaːn ˈaː t͡ʃɪkɪt̪sˈaːk ʋˈəɾɳən d͡ʒˈe ˈəŋɡəme bʱˈel ˈət͡ʃʰɪ t̪ˈekɾaː kˈaːjt͡ʃɪkɪt̪saː kˈəɦəɪt̪ ˈət͡ʃʰɪ .
अकिना बसदी: ई सन् ११८१ मे बनाने छल । अक्कना बसदी २३ अम तिर्थन्कारा पर्श्वानाथक मन्दिर मुख्य देवताक रूपमे रहल अछि ।	ˈəkɪnaː bˈəsd̪iː , ˈiː sˈən ˈek ɦəzˈaːɾ ˈek sˈəʊ ɪkjˈaːsiː mˈe bənˈaːne t͡ʃʰˈəl . ˈəkːənaː bˈəsd̪iː t̪eˈiːs ˈəm t̪ɪɾt̪ʰənkˈaːɾaː pˈəɾʃʋaːnaːt̪ʰək mˈənd̪ɪɾ mˈʊkʰj d̪eʋt̪ˈaːk ɾˈuːpme ɾˈəɦəl ˈət͡ʃʰɪ .
वर्तमानमे यहाँ लोकसभा सदस्य भारतीय जनता पार्टी सँ स्वामी सुमेधानन्द जी, विधानसभा सदस्य कांग्रेस सँ गोविन्द सिंह डोटासरा एवं नगरपालिका अध्यक्ष चान्दनी शर्मा अछि |	ʋəɾt̪əmˈaːnme jˈəɦaː̃ lokˈəsbʱaː səd̪ˈəsj bʱaːɾt̪ˈiːj d͡ʒˈənt̪aː pˈaːɾʈiː sˈə̃ sʋˈaːmiː sʊmed̪ʱaːnˈənd̪ d͡ʒˈiː , ʋɪd̪ʱaːnˈəsbʱaː səd̪ˈəsj kˈaː̃ŋɡɾes sˈə̃ ɡoʋˈɪnd̪ sˈɪ̃ɦ ɖoʈˈaːsɾaː ˈeʋə̃ nəɡəɾpˈaːlɪkaː əd̪ʱjˈəkʂ t͡ʃˈaːnd̪əniː ʃˈəɾmaː ˈət͡ʃʰɪ
छल, ताहि स लेखक गण सभके यीशु मसीह के जीवन के बारे में प्रत्यक्ष ज्ञान छेलनि।	t͡ʃʰˈəl , t̪ˈaːɦɪ sˈə lˈekʰək ɡˈəɳ sˈəbʱke jˈiːʃʊ məsˈiːɦ kˈe d͡ʒˈiːʋən kˈe bˈaːɾe mˈẽ pɾət̪jˈəkʂ d͡ʒɲˈaːn t͡ʃʰˈelnɪ .
निकोलो-कोबा राष्ट्रिय निकुञ्ज सेनेगल कऽ विश्व सम्पदा क्षेत्र छी । ई क्षेत्रके युनेस्को सन २००० मे विश्व सम्पदा क्षेत्र घोषणा कएल अछि ।	nˈɪkolo kˈobaː ɾˈaːʂʈɾɪj nɪkˈʊɲd͡ʒ sˈeneɡəl kˈə ʋˈɪʃʋ sˈəmpəd̪aː kʂˈet̪ɾ t͡ʃʰˈiː . ˈiː kʂˈet̪ɾəke jʊnˈesko sˈən d̪ˈo ɦəzˈaːɾ mˈe ʋˈɪʃʋ sˈəmpəd̪aː kʂˈet̪ɾ ɡʱˈoʂɳaː kˈəel ˈət͡ʃʰɪ .
जयशङ्करकऽ २९ जनवरी २०१५ मे भारतक विदेश सचिवक रूपमे नियुक्त कएल गेल। हिनकर नियुक्ति कऽ घोषणा २८ जनवरी २०१५ मे प्रधानमन्त्री नरेन्द्र मोदीक अध्यक्षतामे भेल मन्त्रिमन्डलक बैठक कऽ बाद लेल गेल।	d͡ʒəjʃəŋkˈəɾkə ʊnt̪ˈiːs d͡ʒənˈəʋɾiː d̪ˈo ɦəzˈaːɾ pˈə̃n̪d̪ɾəɦ mˈe bʱˈaːɾt̪ək ʋˈɪd̪eʃ sˈət͡ʃɪʋək ɾˈuːpme nɪjˈʊkt̪ kˈəel ɡˈel . ɦˈɪnkəɾ nɪjˈʊkt̪ɪ kˈə ɡʱˈoʂɳaː əʈʈʰaːˈiːs d͡ʒənˈəʋɾiː d̪ˈo ɦəzˈaːɾ pˈə̃n̪d̪ɾəɦ mˈe pɾəd̪ʱaːnmˈənt̪ɾiː nəɾˈend̪ɾ mod̪ˈiːk əd̪ʱjəkʂət̪ˈaːme bʱˈel mˈənt̪ɾɪmənɖələk bˈəɪʈʰək kˈə bˈaːd̪ lˈel ɡˈel .
