Lenane le feletseng la Wikipedia dikgatiso&nbsp;·	lɛnɑnɛ lɛ fɛlɛt͡sʼɛŋ lɑ wikʼipʼɛdiɑ dikχɑtʼisɔ
^ "Penta ea Jacob Zuma e sentsoe ka har'a laeborari ea Afrika Boroa". Litaba tsa BBC. La 22 Mphalane 2012.E bolokiloe ho tloha ea mantlha ka la 22 Motšeanong 2012. E khutlisitsoe 22 May 2012.	pʼɛntʼɑ ɛɑ d͡ʒɑkɔb zumɑ ɛ sɛnt͡sʼɔɛ kʼɑ ɦɑr ɑ lɑɛbɔrɑri ɛɑ ɑfrikʼɑ bɔrɔɑ . litʼɑbɑ t͡sʼɑ bbk . lɑ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mmɛdi mpʰɑlɑnɛ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mmɛdi . ɛ bɔlɔkʼilɔɛ ɦɔ t͡ɬʼɔɦɑ ɛɑ mɑnt͡ɬʰɑ kʼɑ lɑ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mmɛdi mɔt͡ʃʼɛɑnɔŋ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mmɛdi . ɛ kʰut͡ɬʼisit͡sʼɔɛ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mmɛdi mɑj dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mmɛdi .
Motse ona o dikilomitara tse mashome a mararo ho tloha ho moeedi wa naha ya Lesotho. O fumanwa tlasa thaba tse tsejwang ka Matlakeng, ka mora dinonyana tsa Matlaka tseo di fumaneng sebakeng sena di tloha Kapa.	mɔt͡sʼɛ ɔnɑ ɔ dikʼilɔmitʼɑrɑ t͡sʼɛ mɑʃɔmɛ ɑ mɑrɑrɔ ɦɔ t͡ɬʼɔɦɑ ɦɔ mɔɛɛdi wɑ nɑɦɑ jɑ lɛsɔtʰɔ . ɔ fumɑnwɑ t͡ɬʼɑsɑ tʰɑbɑ t͡sʼɛ t͡sʼɛd͡ʒwɑŋ kʼɑ mɑt͡ɬʼɑkʼɛŋ , kʼɑ mɔrɑ dinɔɲɑnɑ t͡sʼɑ mɑt͡ɬʼɑkʼɑ t͡sʼɛɔ di fumɑnɛŋ sɛbɑkʼɛŋ sɛnɑ di t͡ɬʼɔɦɑ kʼɑpʼɑ .
The Return of the Scorpion Kings (with DJ Maphorisa) (2019)	tʰɛ rɛtʼurn ɔf tʰɛ skɔrpʼiɔn kʼiŋs witʰ dd͡ʒ mɑpʰɔrisɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ rɔbɔŋ
Biden o ile a vouta khahlano le tumello ea Ntoa ea Gulf ka 1991, a ema le 45 ea masenete a 55 a Democratic; o ile a re U.S. e ne e jere hoo e ka bang moroalo oohle oa selekane sa anti-Iraq.	bidɛn ɔ ilɛ ɑ vɔutʼɑ kʰɑɬɑnɔ lɛ tʼumɛllɔ ɛɑ ntʼɔɑ ɛɑ xulf kʼɑ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ rɔbɔŋ lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ , ɑ ɛmɑ lɛ mɑʃɔmɛ ɑ mɑnɛ lɛ mɛt͡sʼɔ ɛ mɛɬɑnɔ ɛɑ mɑsɛnɛtʼɛ ɑ mɑʃɔmɛ ɑ mɑɬɑnɔ lɛ mɛt͡sʼɔ ɛ mɛɬɑnɔ ɑ dɛmɔkrɑtʼik , ɔ ilɛ ɑ rɛ us ɛ nɛ ɛ d͡ʒɛrɛ ɦɔɔ ɛ kʼɑ bɑŋ mɔrɔɑlɔ ɔɔɬɛ ɔɑ sɛlɛkʼɑnɛ sɑ ɑntʼi irɑ! .
Kamora hore Obama a lumelle Hillary Clinton ka Phuptjane 9, 2016, Biden o ile a mo amohela hamorao tsatsing leo. Ho pholletsa le likhetho tsa 2016, Biden o ile a nyatsa haholo mohanyetsi oa Clinton, Donald Trump, ka mantsoe a mangata a mebala-bala.	kʼɑmɔrɑ ɦɔrɛ ɔbɑmɑ ɑ lumɛllɛ ɦillɑrj klintʼɔn kʼɑ pʰupʼt͡ʃʼɑnɛ rɔbɔŋ , dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ t͡sʰɛlɛt͡sʼɛŋ , bidɛn ɔ ilɛ ɑ mɔ ɑmɔɦɛlɑ ɦɑmɔrɑɔ t͡sʼɑt͡sʼiŋ lɛɔ . ɦɔ pʰɔllɛt͡sʼɑ lɛ likʰɛtʰɔ t͡sʼɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ t͡sʰɛlɛt͡sʼɛŋ , bidɛn ɔ ilɛ ɑ ɲɑt͡sʼɑ ɦɑɦɔlɔ mɔɦɑɲɛt͡sʼi ɔɑ klintʼɔn , dɔnɑld tʼrumpʼ , kʼɑ mɑnt͡sʼɔɛ ɑ mɑŋɑtʼɑ ɑ mɛbɑlɑ bɑlɑ .
Likhau tsa 2010 tsa Georgia Peach Book bakeng sa Babali ba Bacha.	likʰɑu t͡sʼɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ t͡sʼɑ xɛɔrxiɑ pʼɛɑkɦ bɔɔkʼ bɑkʼɛŋ sɑ bɑbɑli bɑ bɑkɦɑ .
Makosi ke feme ya boeletsi ya ditshebeletso tsa profeshenale e shebaneng le ho phethahatsa merero lefatsheng ka bophara bakeng sa ditshebeletso tsa ditjhelete ho tloha ka 2001. E na le ntlo-kgolo ya yona New York, United States of America mme e thehilwe Afrika Borwa ke Darren Isaacs.	mɑkʼɔsi kʼɛ fɛmɛ jɑ bɔɛlɛt͡sʼi jɑ dit͡sʰɛbɛlɛt͡sʼɔ t͡sʼɑ pʼrɔfɛʃɛnɑlɛ ɛ ʃɛbɑnɛŋ lɛ ɦɔ pʰɛtʰɑɦɑt͡sʼɑ mɛrɛrɔ lɛfɑt͡sʰɛŋ kʼɑ bɔpʰɑrɑ bɑkʼɛŋ sɑ dit͡sʰɛbɛlɛt͡sʼɔ t͡sʼɑ dit͡ʃʼɦɛlɛtʼɛ ɦɔ t͡ɬʼɔɦɑ kʼɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ . ɛ nɑ lɛ nt͡ɬʼɔ kχɔlɔ jɑ jɔnɑ nɛw jɔrkʼ , unitʼɛd stʼɑtʼɛs ɔf ɑmɛrikɑ mmɛ ɛ tʰɛɦilwɛ ɑfrikʼɑ bɔrwɑ kʼɛ dɑrrɛn isɑɑks .
2014 Makosi e ile ya ba boemong ba 1,401 ho Inc. lethathamo la dikhamphani tse ikemetseng tsa US tse 5,000 tse ntseng di hola ka potlako.	dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mɛnɛ mɑkʼɔsi ɛ ilɛ jɑ bɑ bɔɛmɔŋ bɑ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ mɑnɛ lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ ɦɔ ink . lɛtʰɑtʰɑmɔ lɑ dikʰɑmpʰɑni t͡sʼɛ ikʼɛmɛt͡sʼɛŋ t͡sʼɑ us t͡sʼɛ dikʼɛtʼɛ t͡sʼɛ ɬɑnɔ t͡sʼɛ nt͡sʼɛŋ di ɦɔlɑ kʼɑ pʼɔt͡ɬʼɑkʼɔ .
Jacopo Adriano Hosciuc (La 12 Mphalane, 2005) ke mokalli oa sethuthuthu sa lebelo le holimo sa Romania.	d͡ʒɑkɔpʼɔ ɑdriɑnɔ ɦɔskiuk lɑ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mmɛdi mpʰɑlɑnɛ , dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɛt͡sʼɔ ɛ mɛɬɑnɔ kʼɛ mɔkʼɑlli ɔɑ sɛtʰutʰutʰu sɑ lɛbɛlɔ lɛ ɦɔlimɔ sɑ rɔmɑniɑ .
Papadi ena e bapalwa ka mokgwa wa hore moluthi a botse ka polelwana e tshwantshisang se itseng le ho hong ho batlileng ho tshwana le sona. Papadi ena e ka bapalwa ke dibapadi tse pedi kapa dihlopha tse pedi.	pʼɑpʼɑdi ɛnɑ ɛ bɑpʼɑlwɑ kʼɑ mɔkχwɑ wɑ ɦɔrɛ mɔlutʰi ɑ bɔt͡sʼɛ kʼɑ pʼɔlɛlwɑnɑ ɛ t͡sʰwɑnt͡sʰisɑŋ sɛ it͡sʼɛŋ lɛ ɦɔ ɦɔŋ ɦɔ bɑt͡ɬʼilɛŋ ɦɔ t͡sʰwɑnɑ lɛ sɔnɑ . pʼɑpʼɑdi ɛnɑ ɛ kʼɑ bɑpʼɑlwɑ kʼɛ dibɑpʼɑdi t͡sʼɛ pʼɛdi kʼɑpʼɑ diɬɔpʰɑ t͡sʼɛ pʼɛdi .
Ka mora hore a hlahelle e le sebapadi le ho nka karolo danseng ya Sarafina!, Mhlongo o boetse a hlaha difiliming tse mmalwa, ho kenyeletswa le filimi ya drama e bitswang Cry, The Beloved Country (1995) hammoho le mananeo a fapaneng a thelevishene a kenyeletsang Idols South Africa le V Entertainment.	kʼɑ mɔrɑ ɦɔrɛ ɑ ɬɑɦɛllɛ ɛ lɛ sɛbɑpʼɑdi lɛ ɦɔ nkʼɑ kʼɑrɔlɔ dɑnsɛŋ jɑ sɑrɑfinɑ , mɬɔŋɔ ɔ bɔɛt͡sʼɛ ɑ ɬɑɦɑ difilimiŋ t͡sʼɛ mmɑlwɑ , ɦɔ kʼɛɲɛlɛt͡sʼwɑ lɛ filimi jɑ drɑmɑ ɛ bit͡sʼwɑŋ krj , tʰɛ bɛlɔvɛd kɔuntʼrj sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ rɔbɔŋ lɛ mɛt͡sʼɔ ɛ mɛɬɑnɔ ɦɑmmɔɦɔ lɛ mɑnɑnɛɔ ɑ fɑpʼɑnɛŋ ɑ tʰɛlɛviʃɛnɛ ɑ kʼɛɲɛlɛt͡sʼɑŋ idɔls sɔutʰ ɑfrikɑ lɛ v ɛntʼɛrtʼɑinmɛntʼ .
Black President ke albamo ya botshelela e rekodilweng studio, ya sebini sa Afrika Borwa Brenda Fassie. E ile ya lokolloa ka la 9 Hlakubele 1990 ke CCP Records. Album ena e ne e le ya hae ya botshelela ho tsoa khampaning ya CCP Records mme ke rekoto ya hae e bopolotiki ho fihlela ha joale.	blɑkkʼ pʼrɛsidɛntʼ kʼɛ ɑlbɑmɔ jɑ bɔt͡sʰɛlɛlɑ ɛ rɛkʼɔdilwɛŋ stʼudiɔ , jɑ sɛbini sɑ ɑfrikʼɑ bɔrwɑ brɛndɑ fɑssiɛ . ɛ ilɛ jɑ lɔkʼɔllɔɑ kʼɑ lɑ rɔbɔŋ ɬɑkʼubɛlɛ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ rɔbɔŋ kʼɛ kkpʼ rɛkɔrds . ɑlbum ɛnɑ ɛ nɛ ɛ lɛ jɑ ɦɑɛ jɑ bɔt͡sʰɛlɛlɑ ɦɔ t͡sʼɔɑ kʰɑmpʼɑniŋ jɑ kkpʼ rɛkɔrds mmɛ kʼɛ rɛkʼɔtʼɔ jɑ ɦɑɛ ɛ bɔpʼɔlɔtʼikʼi ɦɔ fiɬɛlɑ ɦɑ d͡ʒɔɑlɛ .
mmela monati re kwahele ho fihlella bo bela ebe re ya tlhotlha ,jwale he ebe reya phpmola re inwella ha monate	mmɛlɑ mɔnɑtʼi rɛ kʼwɑɦɛlɛ ɦɔ fiɬɛllɑ bɔ bɛlɑ ɛbɛ rɛ jɑ t͡ɬʰɔt͡ɬʰɑ , d͡ʒwɑlɛ ɦɛ ɛbɛ rɛjɑ pʰpʼmɔlɑ rɛ inwɛllɑ ɦɑ mɔnɑtʼɛ
Football Club FCSB ( Romanian pronunciation: ), eo pele e neng e bitsoa FC Steaua București, ke sehlopha sa bolo ea maoto sa Romania se thehiloeng Bucharest. E qetile histori eohle ea eona e le sehlopha se phahameng ka ho fetisisa sa tsamaiso ea liligi ea Romania, Liga I.	fɔɔtʼbɑll klub fksb rɔmɑniɑn pʼrɔnunkiɑtʼiɔn , ɛɔ pʼɛlɛ ɛ nɛŋ ɛ bit͡sʼɔɑ fk stʼɛɑuɑ bukurɛstʼi , kʼɛ sɛɬɔpʰɑ sɑ bɔlɔ ɛɑ mɑɔtʼɔ sɑ rɔmɑniɑ sɛ tʰɛɦilɔɛŋ bukɦɑrɛstʼ . ɛ !ɛtʼilɛ ɦistʼɔri ɛɔɬɛ ɛɑ ɛɔnɑ ɛ lɛ sɛɬɔpʰɑ sɛ pʰɑɦɑmɛŋ kʼɑ ɦɔ fɛtʼisisɑ sɑ t͡sʼɑmɑisɔ ɛɑ lilixi ɛɑ rɔmɑniɑ , lixɑ i .
Sebaka sa toropo se ka bang 188 km². Palo ea baahi e ne e le batho ba 984 748 ka 2023.	sɛbɑkʼɑ sɑ tʼɔrɔpʼɔ sɛ kʼɑ bɑŋ disɛkʼwɛrɛ dikʰilɔmitʰɑrɑ t͡sʼɛ lɛkχɔlɔ lɛ mɑʃɔmɛ ɑ rɔbɛdi lɛ mɛt͡sʼɔ ɛ rɔbɛdi . pʼɑlɔ ɛɑ bɑɑɦi ɛ nɛ ɛ lɛ bɑtʰɔ bɑ dikʼɛtʼɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ rɔbɛdi lɛ mɛt͡sʼɔ ɛ mɛnɛ lɛ mɑkχɔlɔ ɑ supʼilɛŋ lɛ mɑʃɔmɛ ɑ mɑnɛ lɛ mɛt͡sʼɔ ɛ rɔbɛdi kʼɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mɛrɑrɔ .
Teboho Mokoena (o hlahile ka la 24 Pherekhong 1997) ke sebapadi sa bolo ya maoto sa Afrika Borwa se bapalang.o qatile sehlopheng sa super sports United FC,a fetela.	tʼɛbɔɦɔ mɔkʼɔɛnɑ ɔ ɬɑɦilɛ kʼɑ lɑ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mɛnɛ pʰɛrɛkʰɔŋ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ rɔbɔŋ lɛ mɛt͡sʼɔ ɛ supʼilɛŋ kʼɛ sɛbɑpʼɑdi sɑ bɔlɔ jɑ mɑɔtʼɔ sɑ ɑfrikʼɑ bɔrwɑ sɛ bɑpʼɑlɑŋ . ɔ !ɑtʼilɛ sɛɬɔpʰɛŋ sɑ supʼɛr spʼɔrt͡sʼ unitʼɛd fk , ɑ fɛtʼɛlɑ .
Koetle o hlahile mme a holela Bloemfontein, Free State. O qadile dithuto tsa hae thutong e phahameng ho AFDA, mme a phethela dithuto tsa hae ho CityVarsity.	kʼɔɛt͡ɬʼɛ ɔ ɬɑɦilɛ mmɛ ɑ ɦɔlɛlɑ blɔɛmfɔntʼɛin , frɛɛ stʼɑtʼɛ . ɔ !ɑdilɛ ditʰutʼɔ t͡sʼɑ ɦɑɛ tʰutʼɔŋ ɛ pʰɑɦɑmɛŋ ɦɔ ɑfdɑ , mmɛ ɑ pʰɛtʰɛlɑ ditʰutʼɔ t͡sʼɑ ɦɑɛ ɦɔ kitʼjvɑrsitʼj .
Kolisi o ile a saena le sehlopha sa di Sharks ka Hlakola 2021 kamora ho reka ka katleho karolo e kgolo ya diabo tsa Sharks ke MVM Holidings.	kʼɔlisi ɔ ilɛ ɑ sɑɛnɑ lɛ sɛɬɔpʰɑ sɑ di ʃɑrkʼs kʼɑ ɬɑkʼɔlɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ kʼɑmɔrɑ ɦɔ rɛkʼɑ kʼɑ kʼɑt͡ɬʼɛɦɔ kʼɑrɔlɔ ɛ kχɔlɔ jɑ diɑbɔ t͡sʼɑ ʃɑrkʼs kʼɛ mvm ɦɔlidiŋs .
O ile a qala papadi yahae ya COSAFA Cup kgahlanong le Seychelles ka la 26 Hlakola 2005 mme e ne e le karolo ya sehlopha sa Bafana Bafana sa 2008 African Nations Cup le Afcon ya 2012.	ɔ ilɛ ɑ !ɑlɑ pʼɑpʼɑdi jɑɦɑɛ jɑ kɔsɑfɑ kupʼ kχɑɬɑnɔŋ lɛ sɛjkɦɛllɛs kʼɑ lɑ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ t͡sʰɛlɛt͡sʼɛŋ ɬɑkʼɔlɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɛt͡sʼɔ ɛ mɛɬɑnɔ mmɛ ɛ nɛ ɛ lɛ kʼɑrɔlɔ jɑ sɛɬɔpʰɑ sɑ bɑfɑnɑ bɑfɑnɑ sɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɛt͡sʼɔ ɛ rɔbɛdi ɑfrikɑn nɑtʼiɔns kupʼ lɛ ɑfkɔn jɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mmɛdi .
Toropo ena e thehilwe ka 1849 mme e reilwe ka lebitso la MMusisi Wa Borithane Sir Harry Smith ya ileng a leka ho kgodisa Ma-Voortrekkers hore ba se ke ba lahla Cape Colony.	tʼɔrɔpʼɔ ɛnɑ ɛ tʰɛɦilwɛ kʼɑ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɛdi lɛ mɑʃɔmɛ ɑ mɑnɛ lɛ mɛt͡sʼɔ ɛ rɔbɔŋ mmɛ ɛ rɛilwɛ kʼɑ lɛbit͡sʼɔ lɑ mmusisi wɑ bɔritʰɑnɛ sir ɦɑrrj smitʰ jɑ ilɛŋ ɑ lɛkʼɑ ɦɔ kχɔdisɑ mɑ vɔɔrtʼrɛkʼkʼɛrs ɦɔrɛ bɑ sɛ kʼɛ bɑ lɑɬɑ kɑpʼɛ kɔlɔɲ .
Ka la 8 Phupjane 2021, Makgopa o ile a qala ho bapala Aforika Borwa e le mokgethwa wa Uganda mme a fumana setulo sa ho hapa 3-2. O ile a emela sehlopha sa Afrika Borwa se ka tlase ho dilemo tse 23 ho diolimpiki tsa Lehlabula tsa 2020, mme a fumana ntlha e le nngwe dipapading tse 3.	kʼɑ lɑ rɔbɛdi pʰupʼd͡ʒɑnɛ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ , mɑkχɔpʼɑ ɔ ilɛ ɑ !ɑlɑ ɦɔ bɑpʼɑlɑ ɑfɔrikʼɑ bɔrwɑ ɛ lɛ mɔkχɛtʰwɑ wɑ uxɑndɑ mmɛ ɑ fumɑnɑ sɛtʼulɔ sɑ ɦɔ ɦɑpʼɑ tʰɑrɔ pʼɛdi . ɔ ilɛ ɑ ɛmɛlɑ sɛɬɔpʰɑ sɑ ɑfrikʼɑ bɔrwɑ sɛ kʼɑ t͡ɬʼɑsɛ ɦɔ dilɛmɔ t͡sʼɛ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mɛrɑrɔ ɦɔ diɔlimpʼikʼi t͡sʼɑ lɛɬɑbulɑ t͡sʼɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi , mmɛ ɑ fumɑnɑ nt͡ɬʰɑ ɛ lɛ nŋwɛ dipʼɑpʼɑdiŋ t͡sʼɛ tʰɑrɔ .
Zikhona Sodlaka (o hlahileng ka la 7 Phuptjane 1985 Mthatha) ke sebapadi sa Afrika Borwa se tsebahalang haholo ka dikarolo tsa sona tse kgolo letotong la thelevishene jwalo ka Shooting Stars, Rhythm City, Soul City, Intsika le Montana.Sodlaka o kile a kgethwa bakeng sa dikgau tsa Filimi le thelevishene tsa Afrika Borwa (SAFTA).	zikʰɔnɑ sɔdlɑkʼɑ ɔ ɬɑɦilɛŋ kʼɑ lɑ supʼɑ pʰupʼt͡ʃʼɑnɛ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ rɔbɛdi lɛ mɛt͡sʼɔ ɛ mɛɬɑnɔ mtʰɑtʰɑ kʼɛ sɛbɑpʼɑdi sɑ ɑfrikʼɑ bɔrwɑ sɛ t͡sʼɛbɑɦɑlɑŋ ɦɑɦɔlɔ kʼɑ dikʼɑrɔlɔ t͡sʼɑ sɔnɑ t͡sʼɛ kχɔlɔ lɛtʼɔtʼɔŋ lɑ tʰɛlɛviʃɛnɛ d͡ʒwɑlɔ kʼɑ ʃɔɔtʼiŋ stʼɑrs , rɦjtʰm kitʼj , sɔul kitʼj , int͡sʼikʼɑ lɛ mɔntʼɑnɑ . sɔdlɑkʼɑ ɔ kʼilɛ ɑ kχɛtʰwɑ bɑkʼɛŋ sɑ dikχɑu t͡sʼɑ filimi lɛ tʰɛlɛviʃɛnɛ t͡sʼɑ ɑfrikʼɑ bɔrwɑ sɑftʼɑ .
Ha mamorao o ile a ikopanya le Pretoria City (eo hamorao e ileng elya rehwa SuperSport United), ba hapa karolo ya 2 mme a fihlela Bob Save Super Bowl ka 1995, pele a tlohela mosebetsi ka 2003.	ɦɑ mɑmɔrɑɔ ɔ ilɛ ɑ ikʼɔpʼɑɲɑ lɛ pʼrɛtʼɔriɑ kitʼj ɛɔ ɦɑmɔrɑɔ ɛ ilɛŋ ɛljɑ rɛɦwɑ supʼɛrspʼɔrtʼ unitʼɛd , bɑ ɦɑpʼɑ kʼɑrɔlɔ jɑ pʼɛdi mmɛ ɑ fiɬɛlɑ bɔb sɑvɛ supʼɛr bɔwl kʼɑ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ rɔbɔŋ lɛ mɛt͡sʼɔ ɛ mɛɬɑnɔ , pʼɛlɛ ɑ t͡ɬʼɔɦɛlɑ mɔsɛbɛt͡sʼi kʼɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɛt͡sʼɔ ɛ mɛrɑrɔ .
Icilongo - The African Peace Suite (Gundu, 2016) e nang le Sakhile Moleshe, Justin Bellairs, Shabaka Hutchings, Benjamin Jeptha, Ayanda Sikade	ikilɔŋɔ tʰɛ ɑfrikɑn pʼɛɑkɛ suitʼɛ xundu , dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ t͡sʰɛlɛt͡sʼɛŋ ɛ nɑŋ lɛ sɑkʰilɛ mɔlɛʃɛ , d͡ʒustʼin bɛllɑirs , ʃɑbɑkʼɑ ɦutʼkɦiŋs , bɛnd͡ʒɑmin d͡ʒɛpʼtʰɑ , ɑjɑndɑ sikʼɑdɛ
Ka 2023, o ile a kgutlela sehlopheng sa hae sa mehleng sa SuperSport United mahala.	kʼɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mɛrɑrɔ , ɔ ilɛ ɑ kχut͡ɬʼɛlɑ sɛɬɔpʰɛŋ sɑ ɦɑɛ sɑ mɛɬɛŋ sɑ supʼɛrspʼɔrtʼ unitʼɛd mɑɦɑlɑ .
Ke modulasetulo wa ka Sehloohong wa Tswelopele Productions mme o hlahisitse ka Connect TV le Tswelopele Products mananeo a fapaneng a thelevishene a kang Top Billing, Pasella, Date My Family, Our Perfect Wedding, Diski Divas, Becoming, Pastor wants a wife, Expresso, Afternoon Express, Saving our Marriage, Please Step In le Utatakho.	kʼɛ mɔdulɑsɛtʼulɔ wɑ kʼɑ sɛɬɔɔɦɔŋ wɑ t͡sʼwɛlɔpʼɛlɛ pʼrɔduktʼiɔns mmɛ ɔ ɬɑɦisit͡sʼɛ kʼɑ kɔnnɛktʼ tʼv lɛ t͡sʼwɛlɔpʼɛlɛ pʼrɔdukt͡sʼ mɑnɑnɛɔ ɑ fɑpʼɑnɛŋ ɑ tʰɛlɛviʃɛnɛ ɑ kʼɑŋ tʼɔpʼ billiŋ , pʼɑsɛllɑ , dɑtʼɛ mj fɑmilj , ɔur pʼɛrfɛktʼ wɛddiŋ , diskʼi divɑs , bɛkɔmiŋ , pʼɑstʼɔr wɑnt͡sʼ ɑ wifɛ , ɛkspʼrɛssɔ , ɑftʼɛrnɔɔn ɛkspʼrɛss , sɑviŋ ɔur mɑrriɑxɛ , pʼlɛɑsɛ stʼɛpʼ in lɛ utʼɑtʼɑkʰɔ .
Maswanganyi o qetile lilemo tsa hae tsa bonyaneng e le sebapadi sa bolo ya maoto sa Portugal, moo a ileng a bapalla U.D. Oliveirense le Académica de Coimbra.	mɑswɑŋɑɲi ɔ !ɛtʼilɛ lilɛmɔ t͡sʼɑ ɦɑɛ t͡sʼɑ bɔɲɑnɛŋ ɛ lɛ sɛbɑpʼɑdi sɑ bɔlɔ jɑ mɑɔtʼɔ sɑ pʼɔrtʼuxɑl , mɔɔ ɑ ilɛŋ ɑ bɑpʼɑllɑ ud ɔlivɛirɛnsɛ lɛ ɑkɑdɛmikɑ dɛ kɔimbrɑ .
List of celebrities who own cannabis businesses	listʼ ɔf kɛlɛbritʼiɛs wɦɔ ɔwn kɑnnɑbis businɛssɛs
Ka Mmesa 2020, Forbes hammoho le mofuta wa vodka Cruz ba ile ba tsebisa seno se nang le monate wa lehapu le lebitso la hae la pele dibotlolong.	kʼɑ mmɛsɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi , fɔrbɛs ɦɑmmɔɦɔ lɛ mɔfutʼɑ wɑ vɔdkʼɑ kruz bɑ ilɛ bɑ t͡sʼɛbisɑ sɛnɔ sɛ nɑŋ lɛ mɔnɑtʼɛ wɑ lɛɦɑpʼu lɛ lɛbit͡sʼɔ lɑ ɦɑɛ lɑ pʼɛlɛ dibɔt͡ɬʼɔlɔŋ .
