بلؤچی زبان یک مزنئیں زبانئ مه ئیران،پاکستان و اوگانستان تها.	bluːt͡ʃiː zbaːn jak mzniː̃ zbaːn mh iːraːn , paːkst̪aːn wa aːwɡaːnst̪aːn t̪haː .
یکی شه پاکستانی و ایرانی دولتانی مخالفین حزبان اینت .ای حزب بی پاکستانی تا بی سالی ۱۹۴۸ وایرانی تا بی سالی ۲۰۰۳ تاسیس بوته . ای حزب چینکه وار شه ایرانی و پاکستانی دولتانی نیمهءګانه مورد حمله قرار ګفته . بی ۱۹۷۳-۱۹۷۷ سالان ۵۳۰۰ نفر کشته دات و ګیشتیر شه ۳۳۰۰ پاکستانیءین لشکرا کشت.بی ۲۰۰۶-۲۰۰۹ سالانی تا ۳۸۰ کشته دات و ۳۳۰ نفر شه پاکستانی فوجا کشت.	jkiː ʃh paːkst̪aːniː wa aːjraːniː d̪uːlt̪aːniː mxaːlfiːn hzbaːn aːjnt̪ . aːj hzb biː paːkst̪aːniː t̪aː biː saːliː hazaːru noː sad̪u t͡ʃihilu haʃt̪ waːjraːniː t̪aː biː saːliː d̪oː hazaːru sai t̪aːsiːs buːt̪h . aːj hzb t͡ʃiːnkh waːr ʃh aːjraːniː wa paːkst̪aːniː d̪uːlt̪aːniː niːmhɡaːnh muːrd̪ hmlh kraːr ɡft̪h . biː hazaːru noː sad̪u hapt̪aːd̪u sai hazaːru noː sad̪u hapt̪aːd̪u hapt̪ saːlaːn pant͡ʃ hazaːru sai sad̪ nfr kʃt̪h d̪aːt̪ wa ɡiːʃt̪iːr ʃh sai hazaːru sai sad̪ paːkst̪aːniːiːn lʃkraː kʃt̪ . biː d̪oː hazaːru ʃiʃ d̪oː hazaːru noː saːlaːniː t̪aː sai sad̪u haʃt̪aːd̪ kʃt̪h d̪aːt̪ wa sai sad̪u siː nfr ʃh paːkst̪aːniː fuːd͡ʒaː kʃt̪ .
عیسی مه سال 2-7 پیش چه میلاد متولد بوت. آیی اصلی شخصیت مسیحیت دینتت. چه مسلمان و مسیحیعنوان لینک دین و عقیده آی زهگ مریم اینت.	iːsiː mh saːl d̪oː hapt̪ piːʃ t͡ʃh miːlaːd̪ mt̪uːld̪ boːt̪ . aːjj aːsliː ʃxsiːt̪ msiːhiːt̪ d̪iːnt̪t̪ . t͡ʃh mslmaːn wa msiːhiːnwaːn liːnk d̪iːn wa kiːd̪h aːj zhɡ mriːm aːjnt̪ .
شه سالی 1960-1973 فعال بوت وبی سالی 1974 پاکستانی هوایین قوا ای مردمانی سره هوایین حملاتانا شروع و بمباری کورت. ای قیامی تا 5300 بلوچین سرمچار و 3300 پاکستانین فوجی شرکت کرتنت.	ʃh saːliː hazaːru noː sad̪u ʃast̪ hazaːru noː sad̪u hapt̪aːd̪u sai faːl boːt̪ wbiː saːliː hazaːru noː sad̪u hapt̪aːd̪u t͡ʃaːr paːkst̪aːniː hwaːjjn kwaː aːj mrd̪maːniː srh hwaːjjn hmlaːt̪aːnaː ʃruː wa bmbaːriː kuːrt̪ . aːj kjaːmiː t̪aː pant͡ʃ hazaːru sai sad̪ bluːt͡ʃiːn srmt͡ʃaːr wa sai hazaːru sai sad̪ paːkst̪aːniːn fuːd͡ʒiː ʃrkt̪ krt̪nt̪ .
عشای ربانی: هدای پاکین راه، ههء راءینت کهء بیء آییء سببه عیسی علیه السلامی وفاتآء بیء یاد آوورتینه بیت. اِیء کار سببهء بیت کهء هدای راه ګون همیء جسم و روحءهه یکجاه بیت ، همهء اُبدیءن زیندءګیا برءسن و قیامتیء روچاء پهءدی زیندءګ بیّهءن. وختی کهء اِی کار ممکین بیت، باید اِجراء بیت ،اګر چیء بیء یک ټوټه نانی و انګوریء ضرورت بیت.	ʃaːj rbaːniː , hd̪aːj paːkiːn raːh , hh raːiːnt̪ kh biː aːjj sbbh iːsiː liːh aːlslaːmiː wfaːt̪aː biː jaːd̪ aːwwrt̪iːnh biːt̪ . iː kaːr sbbh biːt̪ kh hd̪aːj raːh ɡwan hmiː d͡ʒsm wa ruːhhh jkd͡ʒaːh biːt̪ , hmh ubd̪iːn ziːnd̪ɡjaː brsn wa kjaːmt̪iː ruːt͡ʃaː phd̪iː ziːnd̪ɡ biːhn . wxt̪iː kh iː kaːr mmkiːn biːt̪ , baːjd̪ id͡ʒraː biːt̪ , aːɡr t͡ʃiː biː jak ʈuːʈh naːniː wa aːnɡuːriː zruːrt̪ biːt̪ .
مسیحیت گوشیت که وهدی آی وتی کار بنگیج کت سی سال عمری هستت. په مردم گمان آی زهگ یوسف ات.	msiːhiːt̪ ɡuːʃiːt̪ kh whd̪iː aːj wt̪iː kaːr bnɡiːd͡ʒ kat̪ siː saːl mriː hst̪t̪ . ph mrd̪m ɡmaːn aːj zhɡ jwsf aːt̪ .
د پېښليک پوهانو په مطابق کوټه د ساسانیانو سلطنت په دوره کې تاسیس شوه. په ۷ پیړۍ کې کوټه د اسلام اردو له خوا ونیول شوه. دغهښار په۱۱ پیړۍ کې د مغل سلطنت په لاس کې وه. شېرشاه سوري پر ۱۶ پیړۍ د مغل پر سلطنت بريد وکړ او همایون ایران ته وتښتېد.	d̪ peːliːk puːhaːnuː ph mt̪aːbk kuːʈh d̪ saːsaːnjaːnuː slt̪nt̪ ph d̪uːrh kaj t̪aːsiːs ʃuːh . ph hapt̪ piːɽ kaj kuːʈh d̪ aːslaːm aːrd̪uː lh xwaːi wnjwl ʃuːh . d̪ɣhaːr ph jaːzd̪ah piːɽ kaj d̪ mɣl slt̪nt̪ ph laːs kaj wh . ʃeːrʃaːh suːriː pur ʃanzd̪ah piːɽ d̪ mɣl pur slt̪nt̪ briːd̪ wkɽ aːw hmaːjwn aːjraːn t̪ah wt̪t̪eːd̪ .
کیمیا یکی شهءی علوم غریبه غءدیمین علمانی شاخهءآنی اینت که بهء کوشش در بدل کانی‌ها و فلزات موتاءلیهء ء کنت. غریبهءین علم یا کُلُّه‌ُسِر پنچ موحیمین بخش داریت که آی طبیعیءن علم کیمیاء وانتءګه بیت.	kiːmjaː jkiː ʃhiː luːm ɣriːbh ɣd̪iːmiːn lmaːniː ʃaːxhaːniː aːjnt̪ kh bh kuːʃʃ d̪ur bad̪al kaːniːhaː wa flzaːt̪ muːt̪aːliːh knt̪ . ɣriːbhiːn lm jaː kulːuhusir pant͡ʃ muːhiːmiːn bxʃ d̪aːriːt̪ kh aːj t̪biːiːn lm kiːmjaː waːnt̪ɡh biːt̪ .
دانش پایه شیمی نام بهء موچین زبانانءی تآ شه همیء لغتآ ګیفتهء بوتهء و شه همیء کلمهء اینت. و بعضیء هم ای کلمهءی ریشءګه شه یونانیءن زبانا زاننت. کیمیاءی علم شه میانهءګین اسیاءآ ودی و ګون عربانی واسطهءآ بیء اوروپاءآ بورتهءګ بوت	d̪aːnʃ paːjh ʃiːmiː naːm bh muːt͡ʃiːn zbaːnaːniː t̪aː ʃh hmiː lɣt̪aː ɡiːft̪h buːt̪h wa ʃh hmiː klmh aːjnt̪ . wa bziː hm aːj klmhiː riːʃɡh ʃh jwnaːniːn zbaːnaː zaːnnt̪ . kiːmjaːiː lm ʃh mjaːnhɡiːn aːsjaːaː wd̪iː wa ɡwan rbaːniː waːst̪haː biː aːwruːpaːaː buːrt̪hɡ boːt̪
شه دیګه مزنین دینان جهانیء تا تونن شه بوداگرایی، هندوگرایی و دینیء کنفوسیوسگرایی آن نام ګیفت. اِی دین هدا محور نه انت و فقط بهء طبعیتء سره باور دارنت.	ʃh d̪iːɡh mzniːn d̪iːnaːn d͡ʒhaːniː t̪aː t̪uːnn ʃh buːd̪aːɡraːjj , hnd̪uːɡraːjj wa d̪iːniː knfuːsjwsɡraːjj aːn naːm ɡiːft̪ . iː d̪iːn hd̪aː mhuːr nh aːnt̪ wa fkt̪ bh t̪biːt̪ srh baːwr d̪aːrnt̪ .
سربیراء بیء ایشیء که ریاضیءی علم شه طبعیءین عولومان حسابهء نه بیت ، ولی خاصین جوړشت کهء ریاضی‌داناءن بررسی آ کننت ګیشتیریت شه طبعیءن عولومان انت بخصوص شه فیزیک ایء علمءآ سرچشمه آء ګیرنت و یک جیتایءن فضایی شه طبعیتا بیء پراخین اندازهآ بیء کار ګیفتهءګ بینت جوړهء کننت و رقم رقمین مسءله آنا حلء آ کننت.	srbiːraː biː aːjʃiː kh rjaːziːiː lm ʃh t̪biːiːn uːluːmaːn hsaːbh nh biːt̪ , wliː xaːsiːn d͡ʒuːɽʃt̪ kh rjaːziːd̪aːnaːn brrsiː aː knnt̪ ɡiːʃt̪iːriːt̪ ʃh t̪biːn uːluːmaːn aːnt̪ bxsuːs ʃh fiːziːk aːj lmaː srt͡ʃʃmh aː ɡiːrnt̪ wa jak d͡ʒiːt̪aːjn fzaːjj ʃh t̪biːt̪aː biː praːxiːn aːnd̪aːzhaː biː kaːr ɡiːft̪hɡ biːnt̪ d͡ʒuːɽh knnt̪ wa rkm rkmiːn mslh aːnaː hl aː knnt̪ .
مزنین بلوچستان, ای یک مزنین و وسیع‌ئین منطقه‌ئی اینت که پاکستانی روچ‌کپتین بخش، اوگانستانی جنوب غربین بخش و ایرانی جنوب‌شرقین نیمه‌گان ئانه شامل‌ئه بیت.	mzniːn bluːt͡ʃst̪aːn , aːj jak mzniːn wa wsiːiːn mnt̪khiː aːjnt̪ kh paːkst̪aːniː ruːt͡ʃkpt̪iːn bxʃ , aːwɡaːnst̪aːniː d͡ʒnuːb ɣrbiːn bxʃ wa aːjraːniː d͡ʒnuːbʃrkiːn niːmhɡaːn aːnh ʃaːmlh biːt̪ .
ای کلمهء شه غءدیمین زبانان ګیفته بوته ، و احتمال داریت که شه بین‌النهرین یا هند بیت.	aːj klmh ʃh ɣd̪iːmiːn zbaːnaːn ɡiːft̪h buːt̪h , wa aːht̪maːl d̪aːriːt̪ kh ʃh biːnaːlnhriːn jaː hnd̪ biːt̪ .
شه مزنین دینانن بیء جهانء تا توانن شه ابراهیمیءین دینان نام برن.. ابراهیمیءین دین کهء آء موچین شه یک ریشهءګ و منطقهء خاور میانه سرچشمهءګ آء ګیرنت کهء عبارت‌انت شه اسلام، عیسویت و یهودیت. بابی و بهائی دین هم ګوشنت شه همیء دستهء دینان انت و البته نوک پیداءین دین انت.	ʃh mzniːn d̪iːnaːnn biː d͡ʒhaːn t̪aː t̪waːnn ʃh aːbraːhiːmiːiːn d̪iːnaːn naːm brn . aːbraːhiːmiːiːn d̪iːn kh aː muːt͡ʃiːn ʃh jak riːʃhɡ wa mnt̪kh xaːwr mjaːnh srt͡ʃʃmhɡ aː ɡiːrnt̪ kh baːrt̪aːnt̪ ʃh aːslaːm , iːswjt̪ wa jhuːd̪iːt̪ . baːbiː wa bhaːiː d̪iːn hm ɡuːʃnt̪ ʃh hmiː d̪st̪h d̪iːnaːn aːnt̪ wa aːlbt̪h noːk piːd̪aːiːn d̪iːn aːnt̪ .
دیګه باز کونهءګین دین‌ هم باز انت چون زرتشتی‌گری، مانی‌گری، مهرپرستی و دیګرین مثالانی.	d̪iːɡh baːz kuːnhɡiːn d̪iːn hm baːz aːnt̪ t͡ʃuːn zrt̪ʃt̪iːɡriː , maːniːɡriː , mhrprst̪iː wa d̪iːɡriːn msaːlaːniː .
طبی علوم یکی شه سلامتیءین علومانی شاخه‌آناینت. طب هدف بُرز برتین ، سلامتی و جوړیءیی، دوایی ناجوړانی وکمک کورتین بهءآسیب ګیندوکان ( مانند فیزیوتراپی و فلج) مردمان اینت. اِی هدف وختی پوره آ بینت که درست کورتین ناجوړیانی ، تشخیص و درمان و جلوگیری و شه آوانی ودی بُوتینا جلوګیری بیت .	t̪biː luːm jkiː ʃh slaːmt̪iːiːn luːmaːniː ʃaːxhaːnaːjnt̪ . t̪b hd̪f burz brt̪iːn , slaːmt̪iː wa d͡ʒuːɽiːjj , d̪waːjj naːd͡ʒuːɽaːniː wkmk kuːrt̪iːn bhaːsiːb ɡiːnd̪uːkaːn maːnnd̪ fiːzjwt̪raːpiː wa fld͡ʒ mrd̪maːn aːjnt̪ . iː hd̪f wxt̪iː puːrh aː biːnt̪ kh d̪urust̪ kuːrt̪iːn naːd͡ʒuːɽjaːniː , t̪ʃxiːs wa d̪rmaːn wa d͡ʒluːɡiːriː wa ʃh aːwaːniː wd̪iː buːt̪iːnaː d͡ʒluːɡiːriː biːt̪ .
علم النفس 'بیء ، علم که زیندهءګین موجوداتانی ـ بخصوص انسانی رفتار و کرداران شه علمین رووشامطالعهٔ آء کنت . همچنین یکی شه تحصیلین و کاربردیءین علمی شاخهء آن اینت که انسانی روح وروان و ذهنی ارتباطا ، ګون سلامتی ،اجتماعین رفتار ، وترا درست کورتی و فکریءین رُشت مطالعهء و برسی آ کننت .	lm aːlnfs biː , lm kh ziːnd̪hɡiːn muːd͡ʒuːd̪aːt̪aːniː bxsuːs aːnsaːniː rft̪aːr wa krd̪aːraːn ʃh lmiːn rwwʃaːmt̪aːlh aː knt̪ . hmt͡ʃniːn jkiː ʃh t̪hsiːliːn wa kaːrbrd̪iːiːn lmiː ʃaːxh aːn aːjnt̪ kh aːnsaːniː ruːh wrwaːn wa zhniː aːrt̪baːt̪aː , ɡwan slaːmt̪iː , aːd͡ʒt̪maːiːn rft̪aːr , wt̪raː d̪urust̪ kuːrt̪iː wa fkriːiːn ruʃt̪ mt̪aːlh wa brsiː aː knnt̪ .
ارمنستان (بی ارمنی: Հայաստան، تلفظ: هایاستان) ګون رسمی ین ناما جمهوری ارمنستان (Հայաստանի Հանրապետություն، هایاستانی هانراپِتوتیون) یک ملکی نامی اینت که بی جنوبی ین کپکاز تا موقیعت داریت و ای ملکی پایتخت ایروان نام داریت.	aːrmnst̪aːn biː aːrmniː , hɑjɑstɑn , t̪lfz , haːjaːst̪aːn ɡwan rsmiː jn naːmaː d͡ʒmhuːriː aːrmnst̪aːn hɑjɑstɑni hɑnɾɑpetutʰjun , haːjaːst̪aːniː haːnraːpit̪uːt̪jwn jak mlkiː naːmiː aːjnt̪ kh biː d͡ʒnuːbiː jn kpkaːz t̪aː muːkiːt̪ d̪aːriːt̪ wa aːj mlkiː paːjt̪xt̪ aːjrwaːn naːm d̪aːriːt̪ .
پری میسن (بی انگریزی - freemason) یک بین المللی ین یہودی تنظیم است که آوانی مخصد دونیایی تا په دجال و دجالی ین حکومتی هاطیرا راه یی پاچ کورتین است. پری میسنانی اصلی ین حمایت کنونک امریکا ، اسراییل و بریتانیا انت.	priː miːsn biː aːnɡriːziː freːeːmasoːn jak biːn aːlmlliː jn jhuːd̪iː t̪nziːm aːst̪ kh aːwaːniː mxsd̪ d̪uːnjaːjj t̪aː ph d̪d͡ʒaːl wa d̪d͡ʒaːliː jn hkuːmt̪iː haːt̪iːraː raːh jj paːt͡ʃ kuːrt̪iːn aːst̪ . priː miːsnaːniː aːsliː jn hmaːjt̪ knuːnk aːmriːkaː , aːsraːjjl wa briːt̪aːnjaː aːnt̪ .
زائدان (لاتین: Zàedàn) یکے چہ اݔرانءِ مسترݔں شاران ءُ رۏنندی بلۏچستانءّ مسترݔں شار اِنت	zaːd̪aːn laːt̪iːn , zaeːd̪an jkeː t͡ʃh aːeːraːni mst̪reː̃ ʃaːraːn u roːnnd̪iː bloːt͡ʃst̪aːnː mst̪reː̃ ʃaːir int̪
لاتینی بلۏچی اب یا بللاتین (پہ لاتین: Ballàtin) بلۏچی زبانء اب پہ بلۏچی اَنت کہ بلۏچی زبانء ربیدجاہئا ردبندی بیتگ اَنت	laːt̪iːniː bloːt͡ʃiː aːb jaː bllaːt̪iːn ph laːt̪iːn , ballat̪in bloːt͡ʃiː zbaːn aːb ph bloːt͡ʃiː ant̪ kh bloːt͡ʃiː zbaːn rbiːd̪d͡ʒaːhaː rd̪bnd̪iː biːt̪ɡ ant̪
سیستانء ھُند (لاتین: Sistàn E Hond) یکے چہ مزنݔن بلۏچستانءھُندان اِنت کہ بلۏچستانء سراوانی(شمالی) جاھئن۔	siːst̪aːn hund̪ laːt̪iːn , sist̪an eː hoːnd̪ jkeː t͡ʃh mzneːn bloːt͡ʃst̪aːnhund̪aːn int̪ kh bloːt͡ʃst̪aːn sraːwaːniː ʃmaːliː d͡ʒaːhn
بیتکوین یا گۏن نماد BTC گۏن سیاھگ ₿ یک انترنتی پولے بے دلگاھݔن(دیسنترالین) کہ آیی ءِ کنترۏل ھچ بانک یا پولی اورگانے دستا نہ اِنت کہ تۏن اݔن چہ بیتکوینءِ ٹٹا پہ دگرے‌ئا دݔم دیگ بہ بیت چۏ کہ چہ یکے ڈارِک پہ دگرے دݔم دیگءَ بیت ءُ اے تَل ءُ تۏکان کسے نݔست اِنت کہ ادا اے دوئݔنانءِ تۏکا بہ یئیت۔	biːt̪kwjn jaː ɡwan nmaːd̪ bt̪t͡ʃ ɡwan sjaːhɡ jak aːnt̪rnt̪iː puːleː beː d̪lɡaːheːn d̪iːsnt̪raːliːn kh aːjj i knt̪roːl ht͡ʃ baːnuk jaː puːliː aːwrɡaːneː d̪st̪aː nh int̪ kh t̪oːn aːeːn t͡ʃh biːt̪kwjni ʈʈaː ph d̪ɡreːaː d̪eːm d̪iːɡ bh biːt̪ t͡ʃoː kh t͡ʃh jkeː ɖaːrik ph d̪ɡreː d̪eːm d̪iːɡa biːt̪ u aːeː t̪al u t̪oːkaːn kseː neːst̪ int̪ kh aːd̪aː aːeː d̪uːeːnaːni t̪oːkaː bh jiːt̪
ویکی پیڈیا (lang-en:Wikipedia) ویکی پیڈیا انترنتی تا یک مزنین شبکه اینت که بی بازین زبانان دونیایی تا موچین معلوماتانا شینک دهنت .	wjkiː piːɖjaː lanɡ eːn , wikipeːd̪ia wjkiː piːɖjaː aːnt̪rnt̪iː t̪aː jak mzniːn ʃbkh aːjnt̪ kh biː baːziːn zbaːnaːn d̪uːnjaːjj t̪aː muːt͡ʃiːn mluːmaːt̪aːnaː ʃeːnak d̪hnt̪ .
آنتیگوا و باربودایا (Antigua & Barbuda) یک چینکه جزیره یی مجموعه انت کی دریای کارائیبشرکی نیمه ګه موقیعت دارنت و پایتخت سنت جانز اینت.	aːnt̪iːɡwaː wa baːrbuːd̪aːjaː ant̪iɡua barbud̪a jak t͡ʃiːnkh d͡ʒziːrh jj md͡ʒmuːh aːnt̪ kaj d̪rjaːj kaːraːiːbʃrkiː niːmh ɡh muːkiːt̪ d̪aːrnt̪ wa paːjt̪xt̪ sunt̪ d͡ʒaːnz aːjnt̪ .
جمهوری آلبانی یک ملکی نامی اینت، کی براعظم Wp/bcc/اروپاجنوب شرکی ین نیمه ګا موقیعت داریت. ای ملکی پایتخت Wp/bcc/تیرانا نام داریت.	d͡ʒmhuːriː aːlbaːniː jak mlkiː naːmiː aːjnt̪ , kaj braːzm wp bt͡ʃt͡ʃ aːruːpaːd͡ʒnuːb ʃrkiː jn niːmh ɡaː muːkiːt̪ d̪aːriːt̪ . aːj mlkiː paːjt̪xt̪ wp bt͡ʃt͡ʃ t̪iːraːnaː naːm d̪aːriːt̪ .
کانادا (به انگلیسی-Canada) یک ملکی نامی بی آمریکای شمالی براعظمی تا و دومین ملک بی دونیایی تا شه پراخیی نظرا اینت.ای ملکی پایتخت اوتاوای شار اینت.	kaːnaːd̪aː bh aːnɡliːsiː t͡ʃanad̪a jak mlkiː naːmiː biː aːmriːkaːj ʃmaːliː braːzmiː t̪aː wa d̪uːmiːn mlk biː d̪uːnjaːjj t̪aː ʃh praːxjj nzraː aːjnt̪ . aːj mlkiː paːjt̪xt̪ aːwt̪aːwaːj ʃaːir aːjnt̪ .
اُوتاوا (بی انگلیسی-Ottawa) (بوانیت آدووآ) کانادای ملکی پایتخت و چهارمین مزنین شار اینت . ای شار بی آمریکای شمالی تا و اوتاوایی رودی کنارا (پخش رودخانه سن‌لوران) موکیعت داریت.	uːt̪aːwaː biː aːnɡliːsiː oːt̪t̪awa bwaːniːt̪ aːd̪wwaː kaːnaːd̪aːj mlkiː paːjt̪xt̪ wa t͡ʃhaːrmiːn mzniːn ʃaːir aːjnt̪ . aːj ʃaːir biː aːmriːkaːj ʃmaːliː t̪aː wa aːwt̪aːwaːjj ruːd̪iː knaːraː pxʃ ruːd̪xaːnh snluːraːn muːkiːt̪ d̪aːriːt̪ .
گُرجِستان(بی گرجی زبانا-საქართველო، ساکارتْول) (ګون رسمی ین بین‌المللی ین ناما "Georgia") یک ملکی نامی اینت کی بی کپکازی تا خزری دریاب و سیاه ین دریاب مانجینا کرار داریت . ای ملکی پایتخت تپلیسی شار اینت.	ɡurd͡ʒist̪aːn biː ɡrd͡ʒiː zbaːnaː sakʰaɾtʰvɛlɔ , saːkaːrt̪uːl ɡwan rsmiː jn biːnaːlmlliː jn naːmaː ɡeːoːrɡia jak mlkiː naːmiː aːjnt̪ kaj biː kpkaːziː t̪aː xzriː d̪rjaːb wa sjaːh jn d̪rjaːb maːnd͡ʒiːnaː kraːr d̪aːriːt̪ . aːj mlkiː paːjt̪xt̪ t̪pliːsiː ʃaːir aːjnt̪ .
اے سیاھگ لاتین‌ئا AE/ae ھن لکگءَ بیت،ھنچۏ ھں پہ نسھ ۓ ھں لکگءَ بیت۔	aːeː sjaːhɡ laːt̪iːnaː aeː aeː hn lkɡa biːt̪ , hnt͡ʃoː h̃ ph nsh eː h̃ lkɡa biːt̪
آمریکاءِ تپاکݔن ایالتان(پہ انگرݔزی: United States of America یا گونڈ بیتگݔن ڈؤلا; USA) کہ گݔشتری گۏن آمریکاءِ ناما زانگءَ بیت، یک وتواجھݔن کشورے کہ مہ گۏریچی آمریکاءِ تۏکئن، ھنچۏ ھن لھتے بھر مہ آرامءِ مزن زرءِ تۏکئن، اے کشۏرءِ ھکومتءِ ڈؤل پدرالݔن ھکومت اِنت کہ چہ ۴۸ ایالت کہ مہ رݔدگݔن سرڈگارءِ تۏکا اَنت ءُ اݔدگہ دگہ جاھان اَنت بنݔنگ بیتگ۔	aːmriːkaːi t̪paːkeːn aːjaːlt̪aːn ph aːnɡreːziː , unit̪eːd̪ st̪at̪eːs oːf ameːrit͡ʃa jaː ɡuːnɖ biːt̪ɡeːn ɖuːlaː usa kh ɡeːʃt̪riː ɡwan aːmriːkaːi naːmaː zaːnɡa biːt̪ , jak wt̪waːd͡ʒheːn kʃuːreː kh mh ɡoːriːt͡ʃiː aːmriːkaːi t̪oːkn , hnt͡ʃoː hn lht̪eː bhr mh aːraːmi mazan zri t̪oːkn , aːeː kʃoːri hkuːmt̪i ɖuːl pd̪raːleːn hkuːmt̪ int̪ kh t͡ʃh t͡ʃihilu haʃt̪ aːjaːlt̪ kh mh reːd̪ɡeːn srɖɡaːri t̪oːkaː ant̪ u aːeːd̪ɡh d̪ɡh d͡ʒaːhaːn ant̪ bneːnɡ biːt̪ɡ
زیرگءِ زۏراکءِ برابری یا ززب - ZZB یا (پہ انگرݔزی:Purchasin power parity یا ھما PPP) یک اکتسادی سابکتابے کہ یک تکنیکے سابءَ بیت کہ گۏن اشی‌ئا پولءِ ارزشا سابءَ کن اَنت	ziːrɡi zoːraːki braːbriː jaː zzb zzb jaː ph aːnɡreːziː , purt͡ʃhasin poːweːr parit̪j jaː hmaː ppp jak aːkt̪saːd̪iː saːbkt̪aːbeː kh jak t̪kniːkeː saːba biːt̪ kh ɡwan aːʃiːaː puːli aːrzʃaː saːba kn ant̪
ملکی نابزانتݔن جۏڈݔنگ یا (پہ انگرݔزی: Gross Domestic Product یا GDP) مھمترݔن سابکتابے کہ مزنݔن اکستاد ساب جنگءَ بیت۔	mlkiː naːbzaːnt̪eːn d͡ʒoːɖeːnɡ jaː ph aːnɡreːziː , ɡroːss d̪oːmeːst̪it͡ʃ proːd̪ut͡ʃt̪ jaː ɡd̪p mhmt̪reːn saːbkt̪aːbeː kh mzneːn aːkst̪aːd̪ saːb d͡ʒnɡa biːt̪
مھرگڈھءِ تمدن یا Mehrgaďh E Tamaddon یکے چہ رۏدرآتکی بلۏچستانءِ سئ دانگی تمدنان اِنت کہ آییءِ وھدی چیز مہ سݔبی شارءِ مۏزہءَ اݔر کنگ بیتگ اَنت۔	mhrɡɖhi t̪md̪n jaː meːhrɡad̪h eː t̪amad̪d̪oːn jkeː t͡ʃh roːd̪raːt̪kiː bloːt͡ʃst̪aːni s d̪aːnɡiː t̪md̪naːn int̪ kh aːjji whd̪iː t͡ʃiːz mh seːbiː ʃaːri moːzha aːeːr knɡ biːt̪ɡ ant̪
آمریکاء لشکر(انگرݔزی:U.S Army) آمریکاء پݔسرتری جنگی لشکر اِنت کہ اولی برا مہ ژۏن ۱۷۷۵ میلادی‌ئا جۏڑݔنگ بیت ءُ پہ پشت بییگ‌ئا وتواجھی لۏٹݔں مردمانئیگ‌ئا وتی کارے بنگݔج کُت ءُ نامئی پہ Wp/bcc/آمریکا آجوییءِ لشکر	aːmriːkaː lʃkr aːnɡreːziː , u . s armj aːmriːkaː peːsrt̪riː d͡ʒnɡiː lʃkr int̪ kh aːwliː braː mh ʒoːn hazaːru hapt̪ sad̪u hapt̪aːd̪u pant͡ʃ miːlaːd̪iːaː d͡ʒoːɽeːnɡ biːt̪ u ph puʃt̪ bjjɡaː wt̪waːd͡ʒhiː loːʈeː̃ mrd̪maːniːɡaː wt̪iː kaːreː bnɡeːd͡ʒ kat̪ u naːmiː ph wp bt͡ʃt͡ʃ aːmriːkaː aːd͡ʒwjji lʃkr
بلۏچستان آجوییء لشکر(لاتین:Balòcestàn Àjuyi E Laškar) یکے چہ بلۏچی جنگی گلّ‌ئان اِنت کہ گۏں پاکستانء لشکرئا پہ بلۏچستانء آجو کنگءَ جنگ ایت۔	bloːt͡ʃst̪aːn aːd͡ʒwjj lʃkr laːt̪iːn , baloːt͡ʃeːst̪an ad͡ʒuji eː laʃkar jkeː t͡ʃh bloːt͡ʃiː d͡ʒnɡiː ɡlːaːn int̪ kh ɡoː̃ paːkst̪aːn lʃkraː ph bloːt͡ʃst̪aːn aːd͡ʒuː knɡa d͡ʒanɡ aːjt̪
بلۏچی زبانء ربیدجاہ(پہ لاتین:Balòci Zubàn E Rabidjàh) (پہ انگرݔزی:Balochi Academy of Sarbaz) بلۏچی زبانء ربیدجاہ اِنت کہ بلۏچی زبانء سرا کارءَ کَنت، اے لبزانکی ربیدجاہ ۲۰۰۷ء سال‌ئا بنگݔج بیتگ ءُ ۵ ھۏرݔنی ھست، اے ربیدجاہ مہ سربازء سرکؤرء تۏک‌ئا اِنت، سھماندپء دمگ‌ئا اے بُنرِدی بیتگ۔	bloːt͡ʃiː zbaːn rbiːd̪d͡ʒaːh ph laːt̪iːn , baloːt͡ʃi zuban eː rabid̪d͡ʒah ph aːnɡreːziː , baloːt͡ʃhi at͡ʃad̪eːmj oːf sarbaz bloːt͡ʃiː zbaːn rbiːd̪d͡ʒaːh int̪ kh bloːt͡ʃiː zbaːn sraː kaːra kant̪ , aːeː lbzaːnkiː rbiːd̪d͡ʒaːh d̪oː hazaːru hapt̪ saːlaː bnɡeːd͡ʒ biːt̪ɡ u pant͡ʃ hoːreːniː hst̪ , aːeː rbiːd̪d͡ʒaːh mh srbaːz srkuːr t̪oːkaː int̪ , shmaːnd̪p d̪mɡaː aːeː bunrid̪iː biːt̪ɡ
