preload=Template:Standard content for new page	preloˈɑd templɑˈte , stɑnˈdɑrd d͡ʒonˈtent ˈfor ˈnew pɑˈɡe
Maruşka () - Rusiyeniñ Altay ülkesinde Tselinnoye rayonında bir köy. Ealisiniñ sayısı 1059 kişi.	mɑruʃˈkɑ rusijeˈniŋ ɑlˈtɑj ylkesinˈde tselinːoˈje rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈbiŋ eˈlːi doˈquz kiˈʃi .
Barçiha () - Rusiyeniñ Altay ülkesinde Şipunovo rayonında bir qasaba. Ealisiniñ sayısı 207 kişi.	bɑrt͡ʃiˈhɑ rusijeˈniŋ ɑlˈtɑj ylkesinˈde ʃipunoˈvo rɑjonɯnˈdɑ ˈbir qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈjyz jeˈdi kiˈʃi .
Lesnoy () - Rusiyeniñ Altay ülkesinde Barnaul şeer bölgesinda bir qasaba. Ealisiniñ sayısı 1639 kişi.	lesˈnoj rusijeˈniŋ ɑlˈtɑj ylkesinˈde bɑrnɑˈul ˈʃeːr bølɡesinˈdɑ ˈbir qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ ˈbiŋ ɑlˈtɯ ˈjyz oˈtuz doˈquz kiˈʃi .
1917 senesi dekabr ayında qırımtatar halqınıñ birinci Qurultayı keçirilgen edi. Bu tarih Qırım ve qırımtatar halqınıñ tarihında eñ müim künlerinden biri oldı.	ˈbiŋ doˈquz ˈjyz ˈon jeˈdi seneˈsi deˈkɑbr ɑjɯnˈdɑ qɯrɯmtɑˈtɑr hɑlqɯˈnɯŋ birinˈd͡ʒi qurultɑˈjɯ ket͡ʃirilˈɡen eˈdi . ˈbu tɑˈrih qɯˈrɯm ˈve qɯrɯmtɑˈtɑr hɑlqɯˈnɯŋ tɑrihɯnˈdɑ ˈeŋ myˈim kynlerinˈden biˈri olˈdɯ .
Üç çağ shemasını (taş, baqır, maden çağları) 1836 senesi dan atiqiyatçı, Kopengagen atiqiyat müzeyinde kollektsiya saqlayıcısı H. Tomsen teklif etti.	ˈyt͡ʃ ˈt͡ʃɑɣ shemɑsɯˈnɯ ˈtɑʃ , bɑˈqɯr , mɑˈden t͡ʃɑɣlɑˈrɯ ˈbiŋ seˈkiz ˈjyz oˈtuz ɑlˈtɯ seneˈsi ˈdɑn ɑtiqijɑtˈt͡ʃɯ , kopenɡɑˈɡen ɑtiqiˈjɑt myzejinˈde kolːektsiˈjɑ sɑqlɑjɯd͡ʒɯˈsɯ h . tomˈsen tekˈlif eˈtːi .
ştrihkodlarnı oquma: maşna tarafından oqulması ya da skan etilmesi içün yapılğan 1-D ve 2-D kodlarnıñ dekodlanması;	ʃtrihkodlɑrˈnɯ oquˈmɑ , mɑʃˈnɑ tɑrɑfɯnˈdɑn oqulmɑˈsɯ ˈjɑ ˈdɑ sˈkɑn etilmeˈsi iˈt͡ʃyn jɑpɯlˈɣɑn ˈbir d ˈve eˈki d kodlɑrˈnɯŋ dekodlɑnmɑˈsɯ ,
Dibrivka () - Ukrainanıñ Jıtomır vilâyetinde Çudniv rayonında bir köy. Ealisiniñ sayısı 247 kişi.	dibriwˈkɑ ukrɑinɑˈnɯŋ ʒɯtoˈmɯr vilajetinˈde t͡ʃudˈniw rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈjyz ˈqɯrq jeˈdi kiˈʃi .
Mihaylovka () - Rusiyeniñ Amur vilâyetinde Blagoveşçensk rayonında bir köy. Ealisiniñ sayısı 587 kişi.	mihɑjlowˈkɑ rusijeˈniŋ ɑˈmur vilajetinˈde blɑɡoveʃˈt͡ʃensk rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈbeʃ ˈjyz sekˈsen jeˈdi kiˈʃi .
Nükja () - Rusiyeniñ Amur vilâyetinde Magdagaçi rayonında bir stantsiya. Ealisiniñ sayısı 0 kişi.	nykˈʒɑ rusijeˈniŋ ɑˈmur vilajetinˈde mɑɡdɑɡɑˈt͡ʃi rɑjonɯnˈdɑ ˈbir stɑntsiˈjɑ . eɑlisiˈniŋ sɑjɯˈsɯ sɯˈfɯr kiˈʃi .
Kostükovka () - Rusiyeniñ Amur vilâyetinde Svobodnıy rayonında bir köy. Ealisiniñ sayısı 461 kişi.	kostykowˈkɑ rusijeˈniŋ ɑˈmur vilajetinˈde svobodˈnɯj rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈdørt ˈjyz ɑltˈmɯʃ ˈbir kiˈʃi .
Aktay () - Rusiyeniñ Amur vilâyetinde Şimanovsk rayonında bir köy. Ealisiniñ sayısı 126 kişi.	ɑkˈtɑj rusijeˈniŋ ɑˈmur vilajetinˈde ʃimɑˈnowsk rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈjyz jiɡirˈmi ɑlˈtɯ kiˈʃi .
Kulakovo-Podgorye () - Rusiyeniñ Arhangelsk vilâyetinde, Velsk rayonında bir köydir. Ealisiniñ sayısı 64 kişi.	kulɑkoˈvo podɡorˈje rusijeˈniŋ ɑrhɑnˈɡelsk vilajetinˈde , ˈvelsk rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ ɑltˈmɯʃ ˈdørt kiˈʃi .
Çurkovskaya () - Rusiyeniñ Arhangelsk vilâyetinde, Velsk rayonında bir köydir. Ealisiniñ sayısı 0 kişi.	t͡ʃurkowskɑˈjɑ rusijeˈniŋ ɑrhɑnˈɡelsk vilajetinˈde , ˈvelsk rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ sɯˈfɯr kiˈʃi .
Pogost Navoloçnıy () - Rusiyeniñ Arhangelsk vilâyetinde, Kargopol rayonında bir köydir. Ealisiniñ sayısı 41 kişi.	poˈɡost nɑvolot͡ʃˈnɯj rusijeˈniŋ ɑrhɑnˈɡelsk vilajetinˈde , kɑrɡoˈpol rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ ˈqɯrq ˈbir kiˈʃi .
Novaya Zemlâ rayonı () - Rusiyeniñ Arhangelsk vilâyetinde bir rayondır.	novɑˈjɑ zemˈla rɑjoˈnɯ rusijeˈniŋ ɑrhɑnˈɡelsk vilajetinˈde ˈbir rɑjonˈdɯr .
Peçihina () - Rusiyeniñ Arhangelsk vilâyetinde, Plesetsk rayonında bir köydir. Ealisiniñ sayısı 1 kişi.	pet͡ʃihiˈnɑ rusijeˈniŋ ɑrhɑnˈɡelsk vilajetinˈde , pleˈsetsk rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ ˈbir kiˈʃi .
Lısitsa () - Rusiyeniñ Arhangelsk vilâyetinde, Holmogorı rayonında bir köydir. Ealisiniñ sayısı 25 kişi.	lɯsitˈsɑ rusijeˈniŋ ɑrhɑnˈɡelsk vilajetinˈde , holmoɡoˈrɯ rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ jiɡirˈmi ˈbeʃ kiˈʃi .
Arhangelsk şeer bölgesi () - Rusiyeniñ Arhangelsk vilâyetinde bir şeer bölgesi.	ɑrhɑnˈɡelsk ˈʃeːr bølɡeˈsi rusijeˈniŋ ɑrhɑnˈɡelsk vilajetinˈde ˈbir ˈʃeːr bølɡeˈsi .
Yablonka () - Rusiyeniñ Astrahan vilâyetinde Volodarskiy rayonında bir köy. Ealisiniñ sayısı 425 kişi.	jɑblonˈkɑ rusijeˈniŋ ɑstrɑˈhɑn vilajetinˈde volodɑrsˈkij rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈdørt ˈjyz jiɡirˈmi ˈbeʃ kiˈʃi .
Solneçnıy () - Rusiyeniñ Astrahan vilâyetinde Krasnıy Yar rayonında bir qasaba. Ealisiniñ sayısı 217 kişi.	solnet͡ʃˈnɯj rusijeˈniŋ ɑstrɑˈhɑn vilajetinˈde krɑsˈnɯj ˈjɑr rɑjonɯnˈdɑ ˈbir qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈjyz ˈon jeˈdi kiˈʃi .
Solönoye Zaymişçe () - Rusiyeniñ Astrahan vilâyetinde Çörnıy Yar rayonında bir köy. Ealisiniñ sayısı 2201 kişi.	solønoˈje zɑjmiʃˈt͡ʃe rusijeˈniŋ ɑstrɑˈhɑn vilajetinˈde t͡ʃørˈnɯj ˈjɑr rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈbiŋ eˈki ˈjyz ˈbir kiˈʃi .
Niyazgulovo () - Rusiyede, Başqırtistan Cumhuriyetiniñ Abcelil rayonında bir köy. Ealisiniñ sayısı 168 kişi.	nijɑzɡuloˈvo rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ ɑbd͡ʒeˈlil rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈjyz ɑltˈmɯʃ seˈkiz kiˈʃi .
İrnıkşi () - Rusiyede, Başqırtistan Cumhuriyetiniñ Arhangel rayonında bir köy. Ealisiniñ sayısı 447 kişi.	irnɯkˈʃi rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ ɑrhɑnˈɡel rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈdørt ˈjyz ˈqɯrq jeˈdi kiˈʃi .
Daryevka () - Rusiyede, Başqırtistan Cumhuriyetiniñ Avurğazı rayonında bir köydir. Ealisiniñ sayısı 4 kişi.	dɑrjewˈkɑ rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ ɑvurɣɑˈzɯ rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ ˈdørt kiˈʃi .
Oktâbr () - Rusiyede, Başqırtistan Cumhuriyetiniñ Baymaq rayonında bir köydir. Ealisiniñ sayısı 201 kişi.	okˈtabr rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ bɑjˈmɑq rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈjyz ˈbir kiˈʃi .
Staroilikeyevo () - Rusiyede, Başqırtistan Cumhuriyetiniñ Baltaç rayonında bir köydir. Ealisiniñ sayısı 169 kişi.	stɑroilikejeˈvo rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ bɑlˈtɑt͡ʃ rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ ˈjyz ɑltˈmɯʃ doˈquz kiˈʃi .
Tardavka () - Rusiyede, Başqırtistan Cumhuriyetiniñ Balaqatay rayonında bir köy. Ealisiniñ sayısı 89 kişi.	tɑrdɑwˈkɑ rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ bɑlɑqɑˈtɑj rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ sekˈsen doˈquz kiˈʃi .
Muradımovo () - Rusiyede, Başqırtistan Cumhuriyetiniñ Beşbülek rayonında bir köydir. Ealisiniñ sayısı 198 kişi.	murɑdɯmoˈvo rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ beʃbyˈlek rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ ˈjyz doqˈsɑn seˈkiz kiˈʃi .
Bersüven () - Rusiyede, Başqırtistan Cumhuriyetiniñ Blagovar rayonında bir köydir. Ealisiniñ sayısı 146 kişi.	bersyˈven rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ blɑɡoˈvɑr rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ ˈjyz ˈqɯrq ɑlˈtɯ kiˈʃi .
Ustügovskiy () - Rusiyede, Başqırtistan Cumhuriyetiniñ Blagoveşçen rayonında bir köydir. Ealisiniñ sayısı 9 kişi.	ustyɡowsˈkij rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ blɑɡoveʃˈt͡ʃen rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ doˈquz kiˈʃi .
Teplâki () - Rusiyede, Başqırtistan Cumhuriyetiniñ Buray rayonında bir köy. Ealisiniñ sayısı 269 kişi.	teplaˈki rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ buˈrɑj rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈjyz ɑltˈmɯʃ doˈquz kiˈʃi .
Aleksandrovka () - Rusiyede, Başqırtistan Cumhuriyetiniñ Devleken rayonında bir köydir. Ealisiniñ sayısı 233 kişi.	ɑleksɑndrowˈkɑ rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ dewleˈken rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈjyz oˈtuz ˈyt͡ʃ kiˈʃi .
Karalaçuk () - Rusiyede, Başqırtistan Cumhuriyetiniñ Dürtüli rayonında bir köy. Ealisiniñ sayısı 528 kişi.	kɑrɑlɑˈt͡ʃuk rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ dyrtyˈli rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈbeʃ ˈjyz jiɡirˈmi seˈkiz kiˈʃi .
Aşağı Moynaq () - Rusiyede, Başqırtistan Cumhuriyetiniñ Ciyençura rayonında bir köydir. Ealisiniñ sayısı 73 kişi.	ɑʃɑˈɣɯ mojˈnɑq rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ d͡ʒijent͡ʃuˈrɑ rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ jetˈmiʃ ˈyt͡ʃ kiˈʃi .
Preobrajenka () - Rusiyede, Başqırtistan Cumhuriyetiniñ İglin rayonında bir köydir. Ealisiniñ sayısı 15 kişi.	preobrɑʒenˈkɑ rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ iɡˈlin rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ ˈon ˈbeʃ kiˈʃi .
Verhneitkulovo () - Rusiyede, Başqırtistan Cumhuriyetiniñ İşimbay rayonında bir köy. Ealisiniñ sayısı 888 kişi.	verhneitkuloˈvo rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ iʃimˈbɑj rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ seˈkiz ˈjyz sekˈsen seˈkiz kiˈʃi .
Biyaz () - Rusiyede, Başqırtistan Cumhuriyetiniñ Qaraidil rayonında bir köydir. Ealisiniñ sayısı 174 kişi.	biˈjɑz rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ qɑrɑiˈdil rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ ˈjyz jetˈmiʃ ˈdørt kiˈʃi .
Sart-Navrez () - Rusiyede, Başqırtistan Cumhuriyetiniñ Qırmısqalı rayonında bir köydir. Ealisiniñ sayısı 404 kişi.	ˈsɑrt nɑwˈrez rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ qɯrmɯsqɑˈlɯ rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ ˈdørt ˈjyz ˈdørt kiˈʃi .
Bekeçevo () - Rusiyede, Başqırtistan Cumhuriyetiniñ Kögerçin rayonında bir köydir. Ealisiniñ sayısı 299 kişi.	beket͡ʃeˈvo rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ køɡerˈt͡ʃin rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈjyz doqˈsɑn doˈquz kiˈʃi .
İnsan İnkişafı İndeksi (-{Human Development Index, HPI}-) – bir Memlekette yaşmağa ne qadar mümkün, oqup yazğan kişiler ne qadar tapıla, ögrenüv ve yazuv indeksini (ne qadar olğanı) köstere.	inˈsɑn inkiʃɑˈfɯ indekˈsi huˈmɑn developˈment ɯnˈdeks , hˈpɯ ˈbir memlekeˈtːe jɑʃmɑˈɣɑ ˈne qɑˈdɑr mymˈkyn , oˈqup jɑzˈɣɑn kiʃiˈler ˈne qɑˈdɑr tɑpɯˈlɑ , øɡreˈnyw ˈve jɑˈzuw indeksiˈni ˈne qɑˈdɑr olɣɑˈnɯ køsteˈre .
Uzâ () - Rusiyede, Başqırtistan Cumhuriyetiniñ Melevüz rayonında bir köydir. Ealisiniñ sayısı 242 kişi.	uˈza rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ meleˈvyz rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈjyz ˈqɯrq eˈki kiˈʃi .
Aqyar () - Rusiyede, Başqırtistan Cumhuriyetiniñ Miyeke rayonında bir köydir. Ealisiniñ sayısı 51 kişi.	ɑqˈjɑr rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ mijeˈke rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ eˈlːi ˈbir kiˈʃi .
Pokrovka () - Rusiyede, Başqırtistan Cumhuriyetiniñ Salavat rayonında bir köydir. Ealisiniñ sayısı 66 kişi.	pokrowˈkɑ rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ sɑlɑˈvɑt rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ ɑltˈmɯʃ ɑlˈtɯ kiˈʃi .
Vesölıy () - Rusiyede, Başqırtistan Cumhuriyetiniñ Sterlitamaq rayonında bir köydir. Ealisiniñ sayısı 296 kişi.	vesøˈlɯj rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ sterlitɑˈmɑq rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈjyz doqˈsɑn ɑlˈtɯ kiˈʃi .
Ardatovka () - Rusiyede, Başqırtistan Cumhuriyetiniñ Tuymazı rayonında bir köydir. Ealisiniñ sayısı 47 kişi.	ɑrdɑtowˈkɑ rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ tujmɑˈzɯ rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ ˈqɯrq jeˈdi kiˈʃi .
Speranskiy () - Rusiyede, Başqırtistan Cumhuriyetiniñ Ufa rayonında bir köydir. Ealisiniñ sayısı 9 kişi.	sperɑnsˈkij rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ uˈfɑ rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ doˈquz kiˈʃi .
Tenâyevo () - Rusiyede, Başqırtistan Cumhuriyetiniñ Födorovka rayonında bir köy. Ealisiniñ sayısı 446 kişi.	tenajeˈvo rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ fødorowˈkɑ rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈdørt ˈjyz ˈqɯrq ɑlˈtɯ kiˈʃi .
Alkino () - Rusiyede, Başqırtistan Cumhuriyetiniñ Çişme rayonında bir köydir. Ealisiniñ sayısı 261 kişi.	ɑlkiˈno rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ t͡ʃiʃˈme rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈjyz ɑltˈmɯʃ ˈbir kiˈʃi .
Staroçikeyevo () - Rusiyede, Başqırtistan Cumhuriyetiniñ Şaran rayonında bir köy. Ealisiniñ sayısı 218 kişi.	stɑrot͡ʃikejeˈvo rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ ʃɑˈrɑn rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈjyz ˈon seˈkiz kiˈʃi .
Födorovka () - Rusiyede, Başqırtistan Cumhuriyetiniñ Ufa şeer bölgesinda bir köy. Ealisiniñ sayısı 545 kişi.	fødorowˈkɑ rusijeˈde , bɑʃqɯrtisˈtɑn d͡ʒumhurijetiˈniŋ uˈfɑ ˈʃeːr bølɡesinˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈbeʃ ˈjyz ˈqɯrq ˈbeʃ kiˈʃi .
Polânka () - Ukrainanıñ Ades vilâyetinde Bilgorod-Dnistrovskıy rayonında bir köy. Ealisiniñ sayısı 87 kişi.	polanˈkɑ ukrɑinɑˈnɯŋ ɑˈdes vilajetinˈde bilɡoˈrod dnistrowsˈkɯj rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ sekˈsen jeˈdi kiˈʃi .
Andreyevka — Başqırtistannıñ Miyeke rayonında bir köy.	ɑndrejewˈkɑ bɑʃqɯrtistɑˈnːɯŋ mijeˈke rɑjonɯnˈdɑ ˈbir ˈkøj .
Suhomlınove () - Ukrainanıñ Ades vilâyetinde Berezivka rayonında bir köy. Ealisiniñ sayısı 253 kişi.	suhomlɯnoˈve ukrɑinɑˈnɯŋ ɑˈdes vilajetinˈde bereziwˈkɑ rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈjyz eˈlːi ˈyt͡ʃ kiˈʃi .
Suraj () - Rusiyeniñ Brânsk vilâyetinde bir şeer. Suraj rayonınıñ merkezi. Ealisiniñ sayısı 10 556 kişi.	suˈrɑʒ rusijeˈniŋ bˈransk vilajetinˈde ˈbir ˈʃeːr . suˈrɑʒ rɑjonɯˈnɯŋ merkeˈzi . eɑlisiˈniŋ sɑjɯˈsɯ ˈon ˈbiŋ ˈbeʃ ˈjyz eˈlːi ɑlˈtɯ kiˈʃi .
Kaduy () - Rusiyeniñ Vologda vilâyetinde bir şeer şeklinde qasaba. Kaduy rayonınıñ merkezi. Ealisiniñ sayısı 11 023 kişi.	kɑˈduj rusijeˈniŋ voloɡˈdɑ vilajetinˈde ˈbir ˈʃeːr ʃeklinˈde qɑsɑˈbɑ . kɑˈduj rɑjonɯˈnɯŋ merkeˈzi . eɑlisiˈniŋ sɑjɯˈsɯ ˈon ˈbir ˈbiŋ jiɡirˈmi ˈyt͡ʃ kiˈʃi .
Sayansk () - Rusiyeniñ İrkutsk vilâyetinde bir şeer. Sayansk şeer bölgesinıñ merkezi. Ealisiniñ sayısı 38 820 kişi.	sɑˈjɑnsk rusijeˈniŋ irˈkutsk vilajetinˈde ˈbir ˈʃeːr . sɑˈjɑnsk ˈʃeːr bølɡesiˈnɯŋ merkeˈzi . eɑlisiˈniŋ sɑjɯˈsɯ oˈtuz seˈkiz ˈbiŋ seˈkiz ˈjyz jiɡirˈmi kiˈʃi .
Çinde 1956 yılından soñra Basitleştirilgen (Qolaylaştırğan) Qaraqterler qullanılmağa başlanğandır. Buna qarşılıq Tayvan, Hong Kong ve Makao'da alen Geleneksel (Esas) Qaraqterler qullanılmaqta.	t͡ʃinˈde ˈbiŋ doˈquz ˈjyz eˈlːi ɑlˈtɯ jɯlɯnˈdɑn soŋˈrɑ bɑsitleʃtirilˈɡen qolɑjlɑʃtɯrˈɣɑn qɑrɑqterˈler qulːɑnɯlmɑˈɣɑ bɑʃlɑnɣɑnˈdɯr . buˈnɑ qɑrʃɯˈlɯq tɑjˈvɑn , ˈhonɡ ˈkonɡ ˈve mɑkɑˈo ˈdɑ ɑˈlen ɡelenekˈsel eˈsɑs qɑrɑqterˈler qulːɑnɯlmɑqˈtɑ .
Martınivka () - Ukrainanıñ Ades vilâyetinde Berezivka rayonında bir köy. Ealisiniñ sayısı 48 kişi.	mɑrtɯniwˈkɑ ukrɑinɑˈnɯŋ ɑˈdes vilajetinˈde bereziwˈkɑ rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈqɯrq seˈkiz kiˈʃi .
Nijniy Odes () - Rusiyeniñ Komi Cumhuriyetinde Sosnogorsk rayonında bir şeer şeklinde qasaba. Ealisiniñ sayısı 7348 kişi.	niʒˈnij oˈdes rusijeˈniŋ koˈmi d͡ʒumhurijetinˈde sosnoˈɡorsk rɑjonɯnˈdɑ ˈbir ˈʃeːr ʃeklinˈde qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ jeˈdi ˈbiŋ ˈyt͡ʃ ˈjyz ˈqɯrq seˈkiz kiˈʃi .
Çistıye Borı () - Rusiyeniñ Kostroma vilâyetinde Buy rayonında bir şeer şeklinde qasaba. Ealisiniñ sayısı 4051 kişi.	t͡ʃistɯˈje boˈrɯ rusijeˈniŋ kostroˈmɑ vilajetinˈde ˈbuj rɑjonɯnˈdɑ ˈbir ˈʃeːr ʃeklinˈde qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ ˈdørt ˈbiŋ eˈlːi ˈbir kiˈʃi .
“Men ketip barayatırman ama bikemdin birşiyden kabarı yok. Üyge barayım da oga kayda ketyatkanımdı aytayım. Onın da kabarı bolsın. Bir de savlık man kal aytayım” diydi.	ˈmen keˈtip bɑrɑjɑtɯrˈmɑn ɑˈmɑ bikemˈdin birʃijˈden kɑbɑˈrɯ ˈjok . yjˈɡe bɑrɑˈjɯm ˈdɑ oˈɡɑ kɑjˈdɑ ketjɑtkɑnɯmˈdɯ ɑjtɑˈjɯm . oˈnɯn ˈdɑ kɑbɑˈrɯ bolˈsɯn . ˈbir ˈde sɑwˈlɯk ˈmɑn ˈkɑl ɑjtɑˈjɯm dijˈdi .
Lesosibirsk () - Rusiyeniñ Krasnoyarsk ülkesinde bir şeer. Lesosibirsk şeer bölgesinıñ merkezi. Ealisiniñ sayısı 55 730 kişi.	lesosiˈbirsk rusijeˈniŋ krɑsnoˈjɑrsk ylkesinˈde ˈbir ˈʃeːr . lesosiˈbirsk ˈʃeːr bølɡesiˈnɯŋ merkeˈzi . eɑlisiˈniŋ sɑjɯˈsɯ eˈlːi ˈbeʃ ˈbiŋ jeˈdi ˈjyz oˈtuz kiˈʃi .
Svetogorsk () - Rusiyeniñ Leningrad vilâyetinde Vıborg rayonında bir şeer. Ealisiniñ sayısı 13 784 kişi.	svetoˈɡorsk rusijeˈniŋ leninɡˈrɑd vilajetinˈde vɯˈborɡ rɑjonɯnˈdɑ ˈbir ˈʃeːr . eɑlisiˈniŋ sɑjɯˈsɯ ˈon ˈyt͡ʃ ˈbiŋ jeˈdi ˈjyz sekˈsen ˈdørt kiˈʃi .
