The Latin Library, Suetoni Tranquilli vita Divi Augusti	ˈtʰɛ ˈɫatɪn ˈlɪbrary , suˈɛtɔnɪ traŋˈkʷɪllɪ ˈwɪta ˈdɪwɪ au̯ˈɡʊstɪ
Omnes leges ad Vectigal adsumendum a Camera Repraesentantum orietur; sed, sicut omnibus aliis legibus agitur, Senatus semper potest Correctiones proponere aut cum correctionibus propositis concurrere.	ˈɔmnɛs ˈɫɛɡɛs ˈad ˈwɛktɪɡaɫ adsʊˈmɛndũː ˈa ˈkamɛra rɛprae̯sɛnˈtantũː ɔˈriɛtʊr , ˈsɛd , ˈsɪkʊt ˈɔmnɪbʊs ˈaliɪs ˈɫɛɡɪbʊs ˈaɡɪtʊr , ˈsɛnatʊs ˈsɛmpɛr ˈpɔtɛst kɔrrɛkˈtiɔnɛs prɔˈpɔnɛrɛ ˈau̯t ˈkũː kɔrrɛktiˈɔnɪbʊs prɔˈpɔsɪtɪs kɔŋˈkʊrrɛrɛ .
Selma Ottilia Lovisa Lagerlöf (nata die 20 Novembris 1858 in Östra Ämtervik, Värmland, Suecia – ibidem mortua est die 16 Martii 1940) fuit clara Sueciae scriptrix. Etia magister scholae primariae pro puellis et Francogallice Angliceque docere potuit. Et ad iura mulierum et suffragium mulierum protegendum pugnavit.	ˈsɛɫma ɔtˈtɪlia ˈɫɔwɪsa ɫaˈɡɛrɫof ˈnata ˈdiɛ wiːˈɡɪntiː nɔˈwɛmbrɪs ˈmiːllɛ ɔktɪŋˈɡɛntiː duɔdeːsɛksaːˈɡɪntaː ˈɪn ˈostra amˈtɛrwɪk , ˈwarmɫand , suˈɛkia ˈɪbɪdẽː ˈmɔrtua ˈɛst ˈdiɛ ˈseːdɛkĩː ˈmartiɪ ˈmiːllɛ noːŋˈɡɛntiː kʷadraːˈɡɪntaː ˈfuɪt ˈkɫara suˈɛkiae̯ sˈkrɪptrɪks . ˈɛtia maˈɡɪstɛr sˈkʰɔɫae̯ prɪˈmariae̯ ˈprɔ puˈɛllɪs ˈɛt fraŋkɔˈɡallɪkɛ aŋˈɡlɪkɛkʷɛ ˈdɔkɛrɛ ˈpɔtuɪt . ˈɛt ˈad ˈjʊra mʊˈliɛrũː ˈɛt sʊfˈfraɡiũː mʊˈliɛrũː prɔtɛˈɡɛndũː ˈpʊŋnawɪt .
Vallis Ariminensis (Italiane: Valmarecchia),	ˈwallɪs arɪmɪˈnẽːsɪs ɪtaˈlianɛ , waɫmaˈrɛkkʰia ,
Edwards, I. E. S. 1991. The Pyramids of Egypt. Nova ed. Penguin Books. ISBN 9780140136340.	ˈɛdwards , ˈɪ . ˈɛ . s . ˈmiːllɛ noːŋˈɡɛntiː noːnaːˈɡɪntaː ˈuːnʊs . ˈtʰɛ ˈpyramɪds ˈɔf ˈɛɡypt . ˈnɔwa ˈɛd . ˈpɛŋɡʷɪn ˈboɔks . ˈɪsbn ˈnɔwẽː ˈmiːlia sɛptɪŋˈɡɛntiː ɔktoːˈɡɪntaː miːlliˈarda ˈkɛntũː kʷadraːˈɡɪntaː miːlliˈoːneːs ˈkɛntũː triːˈɡɪntaː ˈsɛks ˈmiːlia trɛˈkɛntiː kʷadraːˈɡɪntaː .
Gulielmus Adolfus Visser 't Hooft (natus Harlemi die 20 Septembris 1900; mortuus est Genavae die 4 Iulii 1985) fuit theologus reformatus et primus secretarius generalis Consilii Ecclesiarum Oecumenici.	ɡʊliˈɛɫmʊs aˈdɔɫfʊs ˈwɪssɛr t ˈhoɔft ˈnatʊs ˈharɫɛmɪ ˈdiɛ wiːˈɡɪntiː sɛpˈtɛmbrɪs ˈmiːllɛ noːŋˈɡɛntiː , ˈmɔrtuʊs ˈɛst ˈɡɛnawae̯ ˈdiɛ ˈkʷattuɔr ˈjʊliɪ ˈmiːllɛ noːŋˈɡɛntiː ɔktoːˈɡɪntaː ˈkʷiːŋkʷɛ ˈfuɪt tʰeˈɔɫɔɡʊs rɛˈfɔrmatʊs ˈɛt ˈprɪmʊs sɛkrɛˈtariʊs ɡɛˈnɛralɪs kõːˈsɪliɪ ɛkkɫɛˈsiarũː oe̯kʊˈmɛnɪkɪ .
Cicero Pro lege Manilia sive de Imperio Cn. Pompei.	ˈkɪkɛrɔ ˈprɔ ˈɫɛɡɛ maˈnɪlia ˈsɪwɛ ˈdɛ ɪmˈpɛriɔ kn . ˈpɔmpeɪ .
Ludovicus Buñuel (natus Luis Buñuel Portolés die 22 Februarii 1900 in Calanda Hispaniae; Mexicopoli die 29 Iulii 1983 mortuus) fuit celeberrimus superrealisticus moderator cinematographicus. Etiam amicus fuit Friderici Garicía Lorca.	ɫʊˈdɔwɪkʊs ˈbʊnuɛɫ ˈnatʊs ˈɫuɪs ˈbʊnuɛɫ ˈpɔrtɔɫɛs ˈdiɛ wiːˈɡɪntiː ˈduɔ fɛbruˈariɪ ˈmiːllɛ noːŋˈɡɛntiː ˈɪn kaˈɫanda hɪsˈpaniae̯ , mɛksɪˈkɔpɔlɪ ˈdiɛ uːndeːtriːˈɡɪntaː ˈjʊliɪ ˈmiːllɛ noːŋˈɡɛntiː ɔktoːˈɡɪntaː ˈtreːs ˈmɔrtuʊs ˈfuɪt kɛɫɛˈbɛrrɪmʊs sʊpɛrreaˈlɪstɪkʊs mɔˈdɛratɔr kɪnɛmatɔˈɡrapʰɪkʊs . ˈɛtiãː ˈamɪkʊs ˈfuɪt frɪˈdɛrɪkɪ ɡaˈrɪkia ˈɫɔrka .
De Bondt, Annelies (2007) Tituli honorarii, monumentale eregedenktekens. Ere-inscripties ten tijde van het Principaat op het Italisch schiereiland. Een statistisch-epigrafisch onderzoek. Fascis 3: Inventaris. Faculteit van de Letteren en Wijsbegeerte, Universiteit Gent. Textus interretialis	ˈdɛ ˈbɔndt , anˈnɛliɛs ˈduɔ ˈmiːlia ˈsɛptẽː ˈtɪtʊlɪ hɔnɔˈrariɪ , mɔnʊˈmɛntaɫɛ ɛrɛɡɛˈdɛŋktɛkẽːs . ˈɛrɛ ĩːsˈkrɪptiɛs ˈtɛn ˈtɪjdɛ ˈwan ˈhɛt prɪŋˈkɪpaat ˈɔp ˈhɛt ˈɪtalɪskʰ skʰiɛˈreɪɫand . ˈeɛn staˈtɪstɪskʰ ɛˈpɪɡrafɪskʰ ɔnˈdɛrzoe̯k . ˈfaskɪs ˈtreːs , ɪnˈwɛntarɪs . faˈkʊɫteɪt ˈwan ˈdɛ ˈɫɛttɛrɛn ˈɛn wɪjsbɛɡeˈɛrtɛ , ʊnɪwɛrˈsɪteɪt ˈɡɛnt . ˈtɛkstʊs ɪntɛrrɛˈtialɪs
, sive (), est series machinarum parvarum a societate Apple creatarum, quae musicam emittunt.	ˈsɪwɛ , ˈɛst ˈsɛriɛs maˈkʰɪnarũː ˈparwarũː ˈa sɔkiˈɛtatɛ ˈappɫɛ kreˈatarũː , ˈkʷae̯ ˈmʊsɪkãː ɛˈmɪttʊnt .
Mirabellum (Pedemontium) (etiam Mirabellum Monferratentium) (Italiane: Mirabello Monferrato),	mɪraˈbɛllũː pɛdɛˈmɔntiũː ˈɛtiãː mɪraˈbɛllũː mõːfɛrraˈtɛntiũː ɪtaˈlianɛ , mɪraˈbɛllɔ mõːˈfɛrratɔ ,
Frédéric, Louis. 1987. Dictionnaire de la civilisation indienne. Robert Laffont.	ˈfrɛdɛrɪk , ˈɫouɪs . ˈmiːllɛ noːŋˈɡɛntiː ɔktoːˈɡɪntaː ˈsɛptẽː . dɪktiɔnˈnaɪrɛ ˈdɛ ˈɫa kɪwɪlɪˈsatiɔn ɪndiˈɛnnɛ . ˈrɔbɛrt ˈɫaffɔnt .
De Rogerio Bacone apud universitatem Stanfordiensem a Ieremia Hackett scripta	ˈdɛ rɔˈɡɛriɔ ˈbakɔnɛ ˈapʊd ʊnɪwɛrˈsɪtatẽː stãːfɔrdiˈẽːsẽː ˈa jɛˈrɛmia ˈhakkɛtt sˈkrɪpta
Veve A. Clark, Sara E. Johnson (Hrsgg.): Kaiso!: Writings by and about Katherine Dunham (Studies in Dance History), University of Wisconsin Press 2006, ISBN 0-299-21274-2	ˈwɛwɛ ˈa . ˈkɫark , ˈsara ˈɛ . ˈjɔhnsɔn hrsɡɡ , ˈkaɪsɔ , ˈwrɪtɪŋɡs ˈby ˈand ˈaboʊt kaˈtʰɛrɪnɛ ˈdʊnhãː sˈtʊdiɛs ˈɪn ˈdaŋkɛ ˈhɪstɔry , ʊnɪˈwɛrsɪty ˈɔf wɪsˈkõːsɪn ˈprɛss ˈduɔ ˈmiːlia ˈsɛks , ˈɪsbn ˈnɪhɪɫ dʊˈkɛntiː uːndeːˈkɛntũː wiːˈɡɪnta ˈuːna ˈmiːlia dʊˈkɛntiː sɛptuaːˈɡɪntaː ˈkʷattuɔr ˈduɔ
Musem botanicum lugduno-batavum …, 1849–1857 vide versionem interretialem Botanicus	ˈmʊsẽː bɔˈtanɪkũː ˈɫʊɡdʊnɔ ˈbatawũː , ˈmiːllɛ ɔktɪŋˈɡɛntiː uːndeːkʷiːŋkʷaːˈɡɪntaː , ˈmiːllɛ ɔktɪŋˈɡɛntiː kʷiːŋkʷaːˈɡɪntaː ˈsɛptẽː ˈwɪdɛ wɛrˈsiɔnẽː ɪntɛrrɛˈtiaɫẽː bɔˈtanɪkʊs
1807: The fourteen books of Palladius Rutilius Taurus Aemilianus on agriculture. Londinii: printed for J. White, 1807 (8s. venundatum)	ˈmiːllɛ ɔktɪŋˈɡɛntiː ˈsɛptẽː , ˈtʰɛ foˈʊrteɛn ˈboɔks ˈɔf palˈladiʊs rʊˈtɪliʊs ˈtau̯rʊs ae̯mɪˈlianʊs ˈɔn aɡrɪˈkʊɫtʊrɛ . ɫɔnˈdɪniɪ , ˈprɪntɛd ˈfɔr j . wˈhɪtɛ , ˈmiːllɛ ɔktɪŋˈɡɛntiː ˈsɛptẽː ˈɔktoː s . wɛˈnʊndatũː
Weisberg, Richard H. 1989. The Failure of the Word: The Lawyer as Protagonist in Modern Fiction. Portus Novus Connecticutae: Yale University Press. ISBN 0300045921.	weˈɪsbɛrɡ , ˈrɪkʰard h . ˈmiːllɛ noːŋˈɡɛntiː uːndeːnoːnaːˈɡɪntaː . ˈtʰɛ faˈɪɫʊrɛ ˈɔf ˈtʰɛ ˈwɔrd , ˈtʰɛ ˈɫawyɛr ˈas prɔˈtaɡɔnɪst ˈɪn ˈmɔdɛrn ˈfɪktiɔn . ˈpɔrtʊs ˈnɔwʊs kɔnnɛkˈtɪkʊtae̯ , ˈyaɫɛ ʊnɪˈwɛrsɪty ˈprɛss . ˈɪsbn trɛˈkɛntiː miːlliˈoːneːs kʷadraːˈɡɪntaː ˈkʷiːŋkʷɛ ˈmiːlia noːŋˈɡɛntiː wiːˈɡɪntiː ˈuːnʊs .
1823 : A translation of all the Greek, Latin, Italian, and French quotations which occur in Blackstone's Commentaries on the laws of England. Londinii	ˈmiːllɛ ɔktɪŋˈɡɛntiː wiːˈɡɪntiː ˈtreːs , ˈa trãːˈsɫatiɔn ˈɔf ˈall ˈtʰɛ ˈɡreɛk , ˈɫatɪn , ɪˈtalian , ˈand ˈfrɛŋkʰ kʷɔˈtatiõːs wˈhɪkʰ ˈɔkkʊr ˈɪn ˈbɫakkstɔnɛ s kɔmmɛnˈtariɛs ˈɔn ˈtʰɛ ˈɫaws ˈɔf ˈɛŋɡɫand . ɫɔnˈdɪniɪ
Glochidion est genus plantarum florentium familiae Phyllanthacearum, quod in circa 300 speciebus consistit, a Madagascaria ad insulas Pacificas orientales distributis. Complures species a larvis Lepidopterorum comeduntur, Aeneto eximia et Endoclita damor inclusis.	ɡɫɔˈkʰɪdiɔn ˈɛst ˈɡɛnʊs ˈpɫantarũː fɫɔˈrɛntiũː faˈmɪliae̯ pʰyllantʰaˈkearũː , ˈkʷɔd ˈɪn ˈkɪrka trɛˈkɛntiː spɛˈkiɛbʊs kõːˈsɪstɪt , ˈa madaɡasˈkaria ˈad ˈĩːsʊɫas paˈkɪfɪkas ɔriˈɛntaɫɛs dɪsˈtrɪbʊtɪs . ˈkɔmpɫʊrɛs sˈpɛkiɛs ˈa ˈɫarwɪs ɫɛpɪdɔpˈtɛrɔrũː kɔmɛˈdʊntʊr , ˈae̯nɛtɔ ɛkˈsɪmia ˈɛt ɛnˈdɔklɪta ˈdamɔr ˈɪŋkɫʊsɪs .
Multi e pristinis alumnis qui didicerunt in Universitate publica Lovaniensi facti sunt homines magni ponderis in novo Regno Belgico, atque micuerunt tam in rebus politicis, quam scientificis aut in bonis litteris.	ˈmʊɫtɪ ˈɛ ˈprɪstɪnɪs aˈɫʊmnɪs ˈkʷɪ dɪˈdɪkɛrʊnt ˈɪn ʊnɪwɛrˈsɪtatɛ ˈpʊblɪka ɫɔwaniˈẽːsɪ ˈfaktɪ ˈsʊnt ˈhɔmɪnɛs ˈmaŋnɪ ˈpɔndɛrɪs ˈɪn ˈnɔwɔ ˈrɛŋnɔ ˈbɛɫɡɪkɔ , ˈatkʷɛ mɪˈkuɛrʊnt ˈtãː ˈɪn ˈrɛbʊs pɔˈlɪtɪkɪs , ˈkʷãː skiɛnˈtɪfɪkɪs ˈau̯t ˈɪn ˈbɔnɪs ˈlɪttɛrɪs .
Commentarius hebdomalis DER SPIEGEL ad diem natalem LXXX Horatii Ehmke	kɔmmɛnˈtariʊs hɛbˈdɔmalɪs ˈdɛr sˈpiɛɡɛɫ ˈad ˈdiẽː ˈnataɫẽː ɔktoːˈɡɪntaː hɔˈratiɪ ˈɛhmkɛ
Rerum orbitalium ratio epochae constitit. Qua epocha 301 per dies circa solem movebatur. Axem orbitalem habebat unitatum astronomicarum et eccentricitatem , distans igitur a sole quam minime unitatibus , quam maxime unitatibus . Inclinatio orbitalis &deg; reperiebatur, anomalia media &deg;.	ˈrɛrũː ɔrbɪˈtaliũː ˈratiɔ ˈɛpɔkʰae̯ ˈkõːstɪtɪt . ˈkʷa ˈɛpɔkʰa trɛˈkɛntiː ˈuːnʊs ˈpɛr ˈdiɛs ˈkɪrka ˈsɔɫẽː mɔˈwɛbatʊr . ˈaksẽː ɔrˈbɪtaɫẽː ˈhabɛbat ʊˈnɪtatũː astrɔnɔˈmɪkarũː ˈɛt ɛkkɛntrɪˈkɪtatẽː , ˈdɪstãːs ˈɪɡɪtʊr ˈa ˈsɔɫɛ ˈkʷãː ˈmɪnɪmɛ ʊnɪˈtatɪbʊs , ˈkʷãː ˈmaksɪmɛ ʊnɪˈtatɪbʊs . ɪŋklɪˈnatiɔ ɔrˈbɪtalɪs rɛpɛriˈɛbatʊr , anɔˈmalia ˈmɛdia .
Andy Moir, Toby Hinton, Tim Hills, Richard Haddlesey, "The exceptional yew trees of England, Scotland and Wales" in Quarterly Journal of Forestry (2013) p. 185-191	ˈandy ˈmoɪr , ˈtɔby ˈhɪntɔn , ˈtĩː ˈhɪlls , ˈrɪkʰard hadˈdɫɛsey , ˈtʰɛ ɛkskɛpˈtiɔnaɫ ˈyɛw ˈtreɛs ˈɔf ˈɛŋɡɫand , sˈkɔtɫand ˈand ˈwaɫɛs ˈɪn kʷarˈtɛrly joˈʊrnaɫ ˈɔf fɔˈrɛstry ˈduɔ ˈmiːlia ˈtrɛdɛkĩː p . ˈkɛntũː ɔktoːˈɡɪntaː ˈkʷiːŋkʷɛ , ˈkɛntũː noːnaːˈɡɪntaː ˈuːnʊs
Extraits de l'ouvrage de Laromiguière sur les facultés de l'âme, avec des remarques, 1823.	ˈɛkstraɪts ˈdɛ ɫ oˈʊwraɡɛ ˈdɛ ɫarɔmɪˈɡʊjjɛrɛ ˈsʊr ˈɫɛs faˈkʊɫtɛs ˈdɛ ɫ ˈamɛ , ˈawɛk ˈdɛs rɛˈmarkʷɛs , ˈmiːllɛ ɔktɪŋˈɡɛntiː wiːˈɡɪntiː ˈtreːs .
———. 1998. "Cthulhu." The Encyclopedia Cthulhiana. Ed. 2a. Oakland, CA: Chaosium. pp. 64–67. ISBN.	ˈmiːllɛ noːŋˈɡɛntiː duɔdeːˈkɛntũː . kˈtʰʊɫhʊ . ˈtʰɛ ɛŋkykɫɔˈpɛdia ktʰʊɫˈhiana . ˈɛd . ˈduɔ ˈa . ˈoakɫand , ˈka , kʰaˈɔsiũː . pp . sɛksaːˈɡɪntaː ˈkʷattuɔr , sɛksaːˈɡɪntaː ˈsɛptẽː . ˈɪsbn .
Opera Pratensis in situ Seminarii Philologiae Humanisticae	ˈɔpɛra praˈtẽːsɪs ˈɪn ˈsɪtʊ sɛmɪˈnariɪ pʰɪɫɔˈɫɔɡiae̯ hʊmaˈnɪstɪkae̯
Rerum orbitalium ratio epochae constitit. Qua epocha 1152 per dies circa solem movebatur. Axem orbitalem habebat unitatum astronomicarum et eccentricitatem , distans igitur a sole quam minime unitatibus , quam maxime unitatibus . Inclinatio orbitalis ° reperiebatur, anomalia media °.	ˈrɛrũː ɔrbɪˈtaliũː ˈratiɔ ˈɛpɔkʰae̯ ˈkõːstɪtɪt . ˈkʷa ˈɛpɔkʰa ˈmiːllɛ ˈkɛntũː kʷiːŋkʷaːˈɡɪntaː ˈduɔ ˈpɛr ˈdiɛs ˈkɪrka ˈsɔɫẽː mɔˈwɛbatʊr . ˈaksẽː ɔrˈbɪtaɫẽː ˈhabɛbat ʊˈnɪtatũː astrɔnɔˈmɪkarũː ˈɛt ɛkkɛntrɪˈkɪtatẽː , ˈdɪstãːs ˈɪɡɪtʊr ˈa ˈsɔɫɛ ˈkʷãː ˈmɪnɪmɛ ʊnɪˈtatɪbʊs , ˈkʷãː ˈmaksɪmɛ ʊnɪˈtatɪbʊs . ɪŋklɪˈnatiɔ ɔrˈbɪtalɪs rɛpɛriˈɛbatʊr , anɔˈmalia ˈmɛdia .
2471 , olim designationibus 6545 P-L, 1953 FW, et 1976 UV2 agnitus, est asteroides systematis solaris nostri, asteroidibus Cinguli Principalis attributus. Astronomis terrestribus magnitudinem absolutam monstrat. Die auspiciis programmatis exploratorii PLS Observatorii Palomar repertus est.	ˈduɔ ˈmiːlia kʷadrɪŋˈɡɛntiː sɛptuaːˈɡɪntaː ˈuːnʊs , ˈɔlĩː dɛsɪŋnatiˈɔnɪbʊs ˈsɛks ˈmiːlia kʷiːŋˈɡɛntiː kʷadraːˈɡɪntaː ˈkʷiːŋkʷɛ p ɫ , ˈmiːllɛ noːŋˈɡɛntiː kʷiːŋkʷaːˈɡɪntaː ˈtreːs fw , ˈɛt ˈmiːllɛ noːŋˈɡɛntiː sɛptuaːˈɡɪntaː ˈsɛks ˈʊw ˈduɔ ˈaŋnɪtʊs , ˈɛst astɛˈroɪdɛs sysˈtɛmatɪs ˈsɔɫarɪs ˈnɔstrɪ , astɛroˈɪdɪbʊs ˈkɪŋɡʊlɪ prɪŋˈkɪpalɪs atˈtrɪbʊtʊs . asˈtrɔnɔmɪs tɛrˈrɛstrɪbʊs maŋnɪˈtʊdɪnẽː apˈsɔɫʊtãː ˈmõːstrat . ˈdiɛ au̯sˈpɪkiɪs prɔˈɡrammatɪs ɛkspɫɔraˈtɔriɪ pɫs ɔpsɛrwaˈtɔriɪ ˈpaɫɔmar rɛˈpɛrtʊs ˈɛst .
OSJH Ordo Fratrum Hospitalis Sancti Ioannis Hierosolymitani, Fratres Hospitalarii, (hodie) Ordo Melitensis; vide etiam: JO et OSJH	ˈɔsjh ˈɔrdɔ ˈfratrũː hɔsˈpɪtalɪs ˈsaŋktɪ joˈannɪs hiɛrɔsɔlyˈmɪtanɪ , ˈfratrɛs hɔspɪtaˈɫariɪ , ˈhɔdiɛ ˈɔrdɔ mɛlɪˈtẽːsɪs , ˈwɪdɛ ˈɛtiãː , ˈjɔ ˈɛt ˈɔsjh
P. V. Wheatley, "The Antigonid Campaign in Cyprus, 306 B.C." in Ancient Society vol. 31 (2001) pp. 133-56	p . w . wheˈatɫey , ˈtʰɛ anˈtɪɡɔnɪd ˈkampaɪŋn ˈɪn ˈkyprʊs , trɛˈkɛntiː ˈsɛks b . k . ˈɪn ˈaŋkiɛnt sɔˈkiɛty ˈwɔɫ . triːˈɡɪntaː ˈuːnʊs ˈduɔ ˈmiːlia ˈuːnʊs pp . ˈkɛntũː triːˈɡɪntaː ˈtreːs , kʷiːŋkʷaːˈɡɪntaː ˈsɛks
ille, cui ternis Capitolia celsa triumphis	ˈɪllɛ , ˈkuɪ ˈtɛrnɪs kapɪˈtɔlia ˈkɛɫsa triˈʊmpʰɪs
Susan Alcock, John F. Cherry, Ja's Elsner (cur.), Pausanias. Travel and Memory in Roman Greece, Oxford, University Press, 2001. Recensio critica Altera recensio critica	ˈsʊsan ˈaɫkɔkk , ˈjɔhn f . ˈkʰɛrry , ˈja s ˈɛɫsnɛr ˈkʊr , pau̯ˈsanias . ˈtrawɛɫ ˈand ˈmɛmɔry ˈɪn ˈrɔman ˈɡreɛkɛ , ˈɔksfɔrd , ʊnɪˈwɛrsɪty ˈprɛss , ˈduɔ ˈmiːlia ˈuːnʊs . rɛˈkẽːsiɔ ˈkrɪtɪka ˈaɫtɛra rɛˈkẽːsiɔ ˈkrɪtɪka
Abbatia B.M.V. de Macraugia, Francogallice: Abbaye N.-D. de la Maigrauge	abˈbatia b . m . w . ˈdɛ maˈkrau̯ɡia , fraŋkɔˈɡallɪkɛ , abˈbayɛ n . d . ˈdɛ ˈɫa maɪˈɡrau̯ɡɛ
Iulius Pollux seu Polydeuces (Graece ) fuit philologus et sophista Graecus saeculi II p.C.n., origine Naucratita, auctor operis de vocabulis Graecis cuius titulus est Onomasticon.	ˈjʊliʊs ˈpɔllʊks ˈseʊ pɔlyˈdeʊkɛs ˈɡrae̯kɛ ˈfuɪt pʰɪˈɫɔɫɔɡʊs ˈɛt sɔˈpʰɪsta ˈɡrae̯kʊs ˈsae̯kʊlɪ ˈduɔ ˈpɔst ˈkʰrɪstũː ˈnatũː , ɔˈrɪɡɪnɛ nau̯ˈkratɪta , ˈau̯ktɔr ˈɔpɛrɪs ˈdɛ wɔˈkabʊlɪs ˈɡrae̯kɪs ˈkʊjjʊs ˈtɪtʊɫʊs ˈɛst ɔnɔˈmastɪkɔn .
Nominata est species nelsonii anno 1919 ab E. D. Merrill, ut honoraretur Petrus Nelson, investigator Guamensis Agriculturae Partis (Anglice: Guam Department of Agriculture) et plantae inventor.	nɔˈmɪnata ˈɛst sˈpɛkiɛs nɛɫˈsɔniɪ ˈannɔ ˈmiːllɛ noːŋˈɡɛntiː uːndeːwiːˈɡɪntiː ˈab ˈɛ . d . ˈmɛrrɪll , ˈʊt hɔnɔˈrarɛtʊr ˈpɛtrʊs ˈnɛɫsɔn , ɪnwɛsˈtɪɡatɔr ɡuaˈmẽːsɪs aɡrɪˈkʊɫtʊrae̯ ˈpartɪs ˈaŋɡlɪkɛ , ˈɡuãː dɛˈpartmɛnt ˈɔf aɡrɪˈkʊɫtʊrɛ ˈɛt ˈpɫantae̯ ɪnˈwɛntɔr .
Whatever Works (Latine fortasse "Quidquid munere fungitur") est pellicula et amoris comoedia anno 2009 ab illustri moderatore cinematographico Americano Woody Allen creata et ducta. In pellicula agunt clari histriones:	wˈhatɛwɛr ˈwɔrks ˈɫatɪnɛ fɔrˈtassɛ ˈkʷɪdkʷɪd ˈmʊnɛrɛ ˈfʊŋɡɪtʊr ˈɛst pɛlˈlɪkʊɫa ˈɛt ˈamɔrɪs kɔˈmoe̯dia ˈannɔ ˈduɔ ˈmiːlia ˈnɔwẽː ˈab ɪlˈlʊstrɪ mɔdɛˈratɔrɛ kɪnɛmatɔˈɡrapʰɪkɔ amɛˈrɪkanɔ ˈwoɔdy ˈallɛn ˈkreata ˈɛt ˈdʊkta . ˈɪn pɛlˈlɪkʊɫa ˈaɡʊnt ˈkɫarɪ hɪsˈtriɔnɛs ,
Agnes Maria Grisebach (Berolini die 2 Septembris 1913 nata; mortua Indagine Arnoldi -Theodisce et Saxonice Ahrenshoop- die 6 Martii 2011) fuit scriptrix Germanica.	ˈaŋnɛs ˈmaria ˈɡrɪsɛbakʰ bɛˈrɔlɪnɪ ˈdiɛ ˈduɔ sɛpˈtɛmbrɪs ˈmiːllɛ noːŋˈɡɛntiː ˈtrɛdɛkĩː ˈnata , ˈmɔrtua ɪnˈdaɡɪnɛ arˈnɔɫdɪ tʰeɔˈdɪskɛ ˈɛt sakˈsɔnɪkɛ aˈhrẽːshoɔp ˈdiɛ ˈsɛks ˈmartiɪ ˈduɔ ˈmiːlia ˈuːndɛkĩː ˈfuɪt sˈkrɪptrɪks ɡɛrˈmanɪka .
Et Cogitata metaphysica ut appendix quae duo Partes habent est de epistemologia, ontologia et de Deo;	ˈɛt kɔˈɡɪtata mɛtaˈpʰysɪka ˈʊt apˈpɛndɪks ˈkʷae̯ ˈduɔ ˈpartɛs ˈhabɛnt ˈɛst ˈdɛ ɛpɪstɛmɔˈɫɔɡia , ɔntɔˈɫɔɡia ˈɛt ˈdɛ ˈdeɔ ,
Epistolae ordine chronologico dispositae (editio imperfecta) apud Bibliotheca Augustana	ɛˈpɪstɔɫae̯ ˈɔrdɪnɛ kʰrɔnɔˈɫɔɡɪkɔ dɪsˈpɔsɪtae̯ ɛˈdɪtiɔ ɪmpɛrˈfɛkta ˈapʊd bɪbliˈɔtʰɛka au̯ˈɡʊstana
Bibliologia: paedia de documentis sanctis	bɪbliɔˈɫɔɡia , ˈpae̯dia ˈdɛ dɔkʊˈmɛntɪs ˈsaŋktɪs
Regnum Ptolemaicum conditum est a Ptolemaeo I Sotero anno 305 a.C.n., qui se, diadochus e Macedonia in Graecia septentrionali ortus, pharaonem Aegyptium pronuntiavit, potentemque domum Hellenisticam constituit, quae in regione dominabatur a Syria meridiana ad Cyrenen atque ad meridiem ad Nubiam patente.	ˈrɛŋnũː ptɔɫɛˈmaɪkũː ˈkɔndɪtũː ˈɛst ˈa ptɔɫɛˈmae̯ɔ ˈɪ ˈsɔtɛrɔ ˈannɔ trɛˈkɛntiː ˈkʷiːŋkʷɛ ˈantɛ ˈkʰrɪstũː ˈnatũː , ˈkʷɪ ˈsɛ , diˈadɔkʰʊs ˈɛ makɛˈdɔnia ˈɪn ˈɡrae̯kia sɛptɛntriˈɔnalɪ ˈɔrtʊs , pʰaˈraɔnẽː ae̯ˈɡyptiũː prɔnʊnˈtiawɪt , pɔtɛnˈtɛmkʷɛ ˈdɔmũː hɛllɛˈnɪstɪkãː kõːsˈtɪtuɪt , ˈkʷae̯ ˈɪn rɛˈɡiɔnɛ dɔmɪˈnabatʊr ˈa ˈsyria mɛrɪˈdiana ˈad ˈkyrɛnɛn ˈatkʷɛ ˈad mɛˈrɪdiẽː ˈad ˈnʊbiãː paˈtɛntɛ .
Eurema daira eugenia (Wallengren, 1860) (Mexicum, Panama, Ora Opulenta, Guatemala)	eˈʊrɛma ˈdaɪra eʊˈɡɛnia walˈlɛŋɡrɛn , ˈmiːllɛ ɔktɪŋˈɡɛntiː sɛksaːˈɡɪntaː ˈmɛksɪkũː , ˈpanama , ˈɔra ɔpʊˈɫɛnta , ɡuaˈtɛmaɫa
Lieinix neblina J. Maza & R.G. Maza, 1984	liˈeɪnɪks ˈnɛblɪna j . ˈmazza r . ɡ . ˈmazza , ˈmiːllɛ noːŋˈɡɛntiː ɔktoːˈɡɪntaː ˈkʷattuɔr
Pararistolochia deltantha, (F. Muell.) M.J. Parsons	pararɪstɔˈɫɔkʰia dɛɫˈtantʰa , f . ˈmuɛll . m . j . ˈparsõːs
