Mihail G. Boiagi easti unlu di protslji gramaticeanji tu Balcanu.	mihajl ɡ . bojad͡ʒi e̯asti unlu di prot͡sʎi ɡramatit͡ʃe̯aɲi tu balkan .
Cicioru easti unu di dauãli mãdulari di nghios a omlui (di la gofu pãnã la deadzitili di cicioru) cari lu-agiutã s-imnã (shi s-sta mprostu, s-da clutsati, etc.).	t͡ʃit͡ʃor e̯asti un di dawəli mədulari di nɡjos a omluj di la ɡof pənə la de̯ad͡zitili di t͡ʃit͡ʃor kari lu ad͡ʒutə s imnə ʃi s sta mprostu , s da klut͡sati , etk .
Anlu 1989, Korça avea 63623 bãnãtori. Tu 2001, 58911, shi tu 2005: 58259. La numirarea di tu soni, atsea di tu 2013, eara 86.994 bãnãtori. Mullts rrãmãnj di Arbinishii bãneadzã aco. N'Curceau esti shi une bãsericã rrãmãneascã, atsa a Ayiu Sotir.	anlu unə ɲiʎi nao suti opd͡zət͡s ʃi nao , kort͡sa ave̯a ʃajd͡zət͡s ʃi trej ɲiʎ ʃasi suti trejsprəɣinɡit͡s bənətori . tu daw ɲiʎ un , t͡sind͡zət͡s ʃi optu ɲiʎ nao suti unəsprəd͡zat͡si , ʃi tu daw ɲiʎ t͡sint͡si , t͡sind͡zət͡s ʃi optu ɲiʎ daw suti t͡sind͡zət͡s ʃi nao . la numirare̯a di tu soni , at͡se̯a di tu daw ɲiʎ tresprəd͡zat͡si , e̯ara opd͡zət͡s ʃi ʃasi ɲiʎ nao suti no̯awəd͡zət͡s ʃi patru bənətori . muʎt͡s rrəməɲ di arbiniʃij bəne̯ad͡zə ako . n kurt͡ʃe̯aw esti ʃi une bəserikə rrəməne̯askə , at͡sa a aɣiw sotir .
20 di Xumedru easte dzuã al 293 icã 294 tu anlu dupu calindarlu gregorianescu, pãnã tu sone-a anlui are nica 72 di dzãle.	ɣinɡit͡s di ksumedru e̯aste d͡zuə al daw suti no̯awəd͡zət͡s ʃi trej ikə daw suti no̯awəd͡zət͡s ʃi patru tu anlu dup kalindarlu ɡreɡorjanesku , pənə tu sone a anluj are nika ʃaptid͡zət͡s ʃi doj di d͡zəle .
SOU “ Kole Nehtenin” sculii ti electro-mehanic shi adrari mãcãri-chelneri	sow kole nehtenin skulij ti elektro mehanik ʃi adrari məkəri kelneri
Turlii di organizatsii: organizatsi niguvernamentalã	turlij di orɡanizat͡sij , orɡanizat͡si niɡuvernamentalə
cu mintea sh-numa ãn lumi tut va-u tindu.	ku minte̯a ʃ numa ən lumi tut va u tindu .
Unia ali Comore, gallicã: Comores - Union des Comores	unja ali komore , ɡaʎikə , komores unjon des komores
Naima multsãi Makedonji ditu lumi suntu Crishtinji, ma ari sh unu numir njicu tsi suntu pistimenji a Islamolui.	najma mult͡səj makedoɲi dit lumi suntu kriʃtiɲi , ma ari ʃ un numir ɲik t͡si suntu pistimeɲi a islamoluj .
Ice Bucket Challenge (Stihima a gãletsiljei di gljeatsã) easti unã campanie di donatsii trã agiutarea a atseloru cari aravdã di sclerozã lateralã amiotroficã (lãngoarea alu Charcot i lãngoarea Lou Gehrig) shi a cunoashteriljei a aestãljei lãngori, di cari tradzi shi Stephen Hawking.	it͡ʃe bukket kaʎend͡ʒe stihima a ɡəlet͡siʎej di ɡʎe̯at͡sə e̯asti unə kampanie di donat͡sij trə ad͡ʒutare̯a a at͡selor kari aravdə di sklerozə lateralə amjotrofikə lənɡo̯are̯a al karkot i lənɡo̯are̯a low d͡ʒehriɡ ʃi a kuno̯aʃteriʎej a aestəʎej lənɡori , di kari trad͡zi ʃi stephen hawkinɡ .
Lacrima easti muljitura (fãrã hromã sh-ca nsãratã) tsi s-aflã tu oclji shi easi cãtivãrãoarã cãndu omlu plãndzi, arãdi multu icã easti ocljul lãndzit.	lakrima e̯asti muʎitura fərə hromə ʃ ka nsəratə t͡si s aflə tu okʎi ʃi e̯asi kətivərəo̯arə kəndu omlu plənd͡ʒi , arədi multu ikə e̯asti okʎul lənd͡ʒit .
Soea aestã tsi sh-u-adutsi cu-unã nucã njicã, yimisha-a (fructa) alunlui, easti ncljisã tu-unã soi di cupã di-unã parti sh-cu-unã njicã chipitã di-alantã, a curi njedz s-mãcã (cã easti ca nuca sh-ari nustimada-a ljei), i s-cljeamã alunã.	soe̯a aestə t͡si ʃ u adut͡si ku unə nukə ɲikə , ɣimiʃa a frukta alunluj , e̯asti nkʎisə tu unə soj di kupə di unə parti ʃ ku unə ɲikə kipitə di alantə , a kuri ɲed͡z s məkə kə e̯asti ka nuka ʃ ari nustimada a ʎej , i s kʎe̯amə alunə .
Construarea a apuntsãlor ahurhi nica tu chirolu arhaic shi s-deavelopa ashi cum s-developa shi sotsietatea cum shi progreslu tu sferi diferenti di tehnica. Protili apuntsã eara cãdzuti leamni pisti putotslji cari eara ufilisitã ca idei ti adrari apuntsã di lemnu, a ma anclo s-adra apuntsã shi di cheatrã, a dupu atsea shi cu constructsii di metal.	konstrware̯a a apunt͡səlor ahurhi nika tu kirol arhajk ʃi s de̯avelopa aʃi kum s developa ʃi sot͡sjetate̯a kum ʃi proɡreslu tu sferi diferenti di tehnika . protili apunt͡sə e̯ara kəd͡zuti le̯amni pisti putot͡sʎi kari e̯ara ufilisitə ka idej ti adrari apunt͡sə di lemnu , a ma anklo s adra apunt͡sə ʃi di ke̯atrə , a dup at͡se̯a ʃi ku konstrukt͡sij di metal .
Arminii i Arminie cunuscutã shi ca Armenii, Armenie i Ermenii, Ermenie easti unã ripublicã tu Asia.	arminij i arminie kunuskutə ʃi ka armenij , armenie i ermenij , ermenie e̯asti unə ripublikə tu asja .
Dubniului (Db) easti unu elementu artificial di-tu chimie.	dubniwluj db e̯asti un elementu artifit͡ʃal di tu kimie .
Tu anlu 1992, cãsãbãlu avea 20329. Estimarea trã anlu 2005 fu cã Gotse Delcev ari 20123 bãnãtori.	tu anlu unə ɲiʎi nao suti no̯awəd͡zət͡s ʃi doj , kəsəbəl ave̯a ɣinɡit͡s ɲiʎ trej suti no̯awəsprəɣinɡit͡s . estimare̯a trə anlu daw ɲiʎ t͡sint͡si fu kə ɡot͡se delt͡ʃev ari ɣinɡit͡s ɲiʎ unə sutə trejsprəɣinɡit͡s bənətori .
Aestu proectu fu ahurhitu 22 di Sumedru 2014. Ma cã vrets s-dats unã mãnã di agiutoru, vã pãlãcãrsimu multu s-u scriets numa a voastrã na-nghiosu, la sectsiuniljea Participantsi.	aestu proektu fu ahurhit dojsprəɣinɡit͡s di sumedru daw ɲiʎ patrusprəd͡zat͡si . ma kə vret͡s s dat͡s unə mənə di ad͡ʒutor , və pələkərsim multu s u skrjet͡s numa a vo̯astrə na nɡjos , la sekt͡siwniʎe̯a partit͡ʃipant͡si .
Ancara easte cãsãbãlu capital di Turchia.	ankara e̯aste kəsəbəl kapital di turkja .
Easti pravdã di pãduri, cama marea sh-ma fuviroasa pravdã di-tu pãdurli a Balcanlui, cu unu trupu grosu sh-analtu, cu coada shcurtã sh-cu guna ca murnã-lai-aroshi (icã albã, tu locurli xeani sh-multu arãts, cu multã neauã).	e̯asti pravdə di pəduri , kama mare̯a ʃ ma fuviro̯asa pravdə di tu pədurli a balkanluj , ku un trup ɡros ʃ analtu , ku ko̯ada ʃkurtə ʃ ku ɡuna ka murnə laj aroʃi ikə albə , tu lokurli kse̯ani ʃ multu arət͡s , ku multə ne̯awə .
Estonia (pi limba estonã: Eesti), ofitsial Republica Estonia, easte un statu baltic tu Uniunea Europeanã , tu Europa . Capitala ali Estonia easte Tallinn. Ari sinurle cu Rusia shi Letonia.	estonja pi limba estonə , eesti , ofit͡sjal republika estonja , e̯aste un stat baltik tu uniwne̯a ewrope̯anə , tu ewropa . kapitala ali estonja e̯aste taʎinn . ari sinurle ku rusja ʃi letonja .
Ianachia shi Milton Manachia sãntu protslji sineashci-a Balcanlui. Doilji sãntu di soia armãneascã, a sãntu faptsã tu hoarã Avdhela, azã tu Gãrtsia. Ianachia easte faptu anlu 1878, a muri 1954 tu Sãrunã shi Milton tu anlu 1882 a muri 1964 tu Bitule.	janakja ʃi milton manakja səntu prot͡sʎi sine̯aʃt͡ʃi a balkanluj . dojʎi səntu di soja arməne̯askə , a səntu fapt͡sə tu ho̯arə avðela , azə tu ɡərt͡sja . janakja e̯aste faptu anlu unə ɲiʎi optu suti ʃaptid͡zət͡s ʃi optu , a muri unə ɲiʎi nao suti t͡sind͡zət͡s ʃi patru tu sərunə ʃi milton tu anlu unə ɲiʎi optu suti opd͡zət͡s ʃi doj a muri unə ɲiʎi nao suti ʃajd͡zət͡s ʃi patru tu bitule .
Republica Antigua shi Barbuda easti unu statu-insulã ali Amari a Caraibilor, la sinurli cu Oceanu Atlanticu. Antigua shi Barbuda suntu parti di-tu arhipelaglu Antileloru di Njitsi. Tu anlu Alunaru 2017, ari 94,731 di locuitori. Capitala shi nai ma marli cãsãbã easti St. John, pi insula Antigua. Statlu fu parti di-tu Imperiulu Britanicu, sh-easti ninga parti dit Commonwealth-ulu Britanicu.	republika antiɡwa ʃi barbuda e̯asti un stat insulə ali amari a karajbilor , la sinurli ku ot͡ʃe̯an atlantik . antiɡwa ʃi barbuda suntu parti di tu arhipelaɡlu antilelor di ɲit͡si . tu anlu alunar daw ɲiʎ ʃaptisprəd͡zat͡si , ari no̯awəd͡zət͡s ʃi patru ɲiʎ ʃapti suti trejd͡zət͡s ʃi un di lokujtori . kapitala ʃi naj ma marli kəsəbə e̯asti st . ʒohn , pi insula antiɡwa . statlu fu parti di tu imperiwlu britanik , ʃ e̯asti ninɡa parti dit kommonwe̯alθ ul britanik .
Franciulu (numiru atomicu 87, Fr) easti unu elementu chimicu.	frant͡ʃul numir atomik opd͡zət͡s ʃi ʃapti , fr e̯asti un elementu kimik .
Universitatea Niccolò Cusano (it. Università degli Studi Niccolò Cusano - UniCusano) easte unã universitate privatã di Roma, Italia.	universitate̯a nikkolo kusano it . universita deɡli studi nikkolo kusano unikusano e̯aste unə universitate privatə di roma , italja .
Ljurocastru i Iurucast easti acljimat un cãsãbã cari s-aflã tu districtulu a Ljurocastrului ali Arbinishii. Cãsãbãlu easti parti dit prefectura Gjirokastra (qarku).	ʎurokastru i iwrukast e̯asti akʎimat un kəsəbə kari s aflə tu distriktul a ʎurokastruluj ali arbiniʃij . kəsəbəl e̯asti parti dit prefektura ɡʒirokastra karku .
Martsa easti andaua dzuã dit siptãmãnã, namisa di Luni shi Njiercuri.	mart͡sa e̯asti andawa d͡zuə dit siptəmənə , namisa di luni ʃi ɲjerkuri .
Holmiulu (numiru atomicu 67, Ho) easti unu elementu chimicu, lantanidu.	holmiwlu numir atomik ʃajd͡zət͡s ʃi ʃapti , ho e̯asti un elementu kimik , lantanid .
Cãnilu eati unu mamiferu domesticu di-tu familia Canidae. Suntu ufilisatsi trã multe lucruri.	kənil e̯ati un mamifer domestik di tu familja kanidae . suntu ufilisat͡si trə multe lukruri .
Mexico easti unu statu (di turlia republicã constitutsionalã federalã)	meksiko e̯asti un stat di turlja republikə konstitut͡sjonalə federalə
La anlu 1941, familia Ristich s-dusi s-bãneadzã ãn Beligrad. Azã dzãnuclji al Vladislav Ristich (cari muri an Beligrad, anlu 1950), suntu rãspãndits cãtrã tut ãn lumi, ashi ca armãni mash atsea tsi veclji bãnãtori di Scopia sh-u aduc aminti.	la anlu unə ɲiʎi nao suti patrud͡zət͡s ʃi un , familja ristik s dusi s bəne̯ad͡zə ən beliɡrad . azə d͡zənukʎi al vladislav ristik kari muri an beliɡrad , anlu unə ɲiʎi nao suti t͡sind͡zət͡s , suntu rəspəndit͡s kətrə tut ən lumi , aʃi ka arməni maʃ at͡se̯a t͡si vekʎi bənətori di skopja ʃ u aduk aminti .
Ciuciuljianlu (icã ciuciurlia, puljilu picurar), easti unu agru-pulju cunuscutu trã ciuciula cu cari s-cãmãruseashti sh-cari u-aspuni pirifan pri creashtitlu-a caplui.	t͡ʃut͡ʃuʎjanlu ikə t͡ʃut͡ʃurlja , puʎil pikurar , e̯asti un aɡru puʎ kunuskut trə t͡ʃut͡ʃula ku kari s kəməruse̯aʃti ʃ kari u aspuni pirifan pri kre̯aʃtitlu a kapluj .
La anlu 1971, dipisi Facultati ti filologhii la Univerzitatea di Bucureshti, limba rumuneascã shi limba frantsuzeascã. Ti shcurtu chiro ahurhi s-lucreadzã ca redactoarã la Editura Minerva di Bucureshti, tut pãnã la anlu 1986. Atsel an, la Protlu cursu ti Limba shi literatura armaneascã, tu organizatsii a Univerzitatiljei di Fraiburg, s-cunuscu cu Yiani Mantsu, shi di atumtsea bãneadzã Ghermanii.	la anlu unə ɲiʎi nao suti ʃaptid͡zət͡s ʃi un , dipisi fakultati ti filoloɡij la univerzitate̯a di bukureʃti , limba rumune̯askə ʃi limba frant͡suze̯askə . ti ʃkurtu kiro ahurhi s lukre̯ad͡zə ka redakto̯arə la editura minerva di bukureʃti , tut pənə la anlu unə ɲiʎi nao suti opd͡zət͡s ʃi ʃasi . at͡sel an , la protlu kursu ti limba ʃi literatura armane̯askə , tu orɡanizat͡sij a univerzitatiʎej di frajburɡ , s kunusku ku ɣjani mant͡su , ʃi di atumt͡se̯a bəne̯ad͡zə ɡermanij .
La anlu 1986/1987, la Protlu shi la Doilu Cursu ti limba armãneascã, Fraiuburg shi Bon, ninti di vãrã 30 di studentsã Armãnj di Balcanlu tut, dau stãmãnj tsãnu cursu ti limba shi literatura armãneascã. La Tsentrul European ti Studii Armãneshtsã, Fraiburg, doi anj tsãnu cursuri ti limba, cultura shi literatura armãneascã. Tu 30-li anj dit soni angrpseashti articuli ti tuti revisti armãneshtsã.	la anlu unə ɲiʎi nao suti opd͡zət͡s ʃi ʃasi unə ɲiʎi nao suti opd͡zət͡s ʃi ʃapti , la protlu ʃi la dojlu kursu ti limba arməne̯askə , frajuburɡ ʃi bon , ninti di vərə trejd͡zət͡s di student͡sə arməɲ di balkanlu tut , daw stəməɲ t͡sən kursu ti limba ʃi literatura arməne̯askə . la t͡sentrul ewrope̯an ti studij arməneʃt͡sə , frajburɡ , doj aɲ t͡sən kursuri ti limba , kultura ʃi literatura arməne̯askə . tu trejd͡zət͡s li aɲ dit soni anɡrpse̯aʃti artikuli ti tuti revisti arməneʃt͡sə .
Limba espanjolã icã casteljianã (esp. lengua española icã castellano), easti unã limba tu familia romanicã di Vestu, tsi s-zburãscu tu Ispania.	limba espaɲolə ikə kasteʎjanə esp . lenɡwa espaɲola ikə kasteʎano , e̯asti unə limba tu familja romanikə di vestu , t͡si s zburəsku tu ispanja .
Chitara (pl. chitari icã chitare) easti unã hãlati muzicalã. Ari di-aradã shasi coardi icã teljiuri teasi pri unã soi di cutii di lemnu ma mari ca-atsea di-avyiulii, cari asunã cãndu teljiurli suntu chipinati i aguditi cu deadzitli.	kitara pl . kitari ikə kitare e̯asti unə həlati muzikalə . ari di aradə ʃasi ko̯ardi ikə teʎiwri te̯asi pri unə soj di kutij di lemnu ma mari ka at͡se̯a di avɣiwlij , kari asunə kəndu teʎiwrli suntu kipinati i aɡuditi ku de̯ad͡zitli .
Grivu (fem. grivã) easti unã hromã tsi nu easti ni lai ni albã ma s-aflã iuva namisa di eali, unã hromã tsi sh-u-adutsi cu-atsea a cinushiljei.	ɡriv fem . ɡrivə e̯asti unə hromə t͡si nu e̯asti ni laj ni albə ma s aflə iwva namisa di e̯ali , unə hromə t͡si ʃ u adut͡si ku at͡se̯a a t͡ʃinuʃiʎej .
Crescu pãnã di 10 - 40 cm analtu, cu frãndzã njits ca peanã. Lilicile le-sãntu aroshe, galbine shi portocal cu 5 pãnã di 30 di frãndzã.	kresku pənə di d͡zat͡si , patrud͡zət͡s km analtu , ku frənd͡zə ɲit͡s ka pe̯anə . lilit͡ʃile le səntu aroʃe , ɡalbine ʃi portokal ku t͡sint͡si pənə di trejd͡zət͡s di frənd͡zə .
Ca material ti constructsii nai ma multu ari cheatrã frãmtã shi lemnu, shi atsea ti constructsii di bondruc pi ciãtia. Ma ninti ciãtia eara anvãlitã cu ploci di chetsãri, cãnãscuti sum numa “shcriltsi”. Azã pi ma mari numir di casili, ciãtia ari altã fizionomii.	ka materjal ti konstrukt͡sij naj ma multu ari ke̯atrə frəmtə ʃi lemnu , ʃi at͡se̯a ti konstrukt͡sij di bondruk pi t͡ʃətja . ma ninti t͡ʃətja e̯ara anvəlitə ku plot͡ʃi di ket͡səri , kənəskuti sum numa ʃkrilt͡si . azə pi ma mari numir di kasili , t͡ʃətja ari altə fizjonomij .
Vallès Occidental easte o comarca di regiunea Catalonia tu Ispania.	vaʎes okt͡ʃidental e̯aste o komarka di red͡ʒune̯a katalonja tu ispanja .
Li-ali publicatã manuali ti sculii armãneshci.	li ali publikatə manwali ti skulij arməneʃt͡ʃi .
Shoariclu easti unã prici njicã tsi bâneadzâ pristi tut (tu cãmpu, pãduri, pampori, casa a omlui, etc.), cu chealea tsi ari unã hromã grivã, cu zurnãlu sumigos sh-cu mustãts lundzã.	ʃo̯ariklu e̯asti unə prit͡ʃi ɲikə t͡si bɨne̯ad͡zɨ pristi tut tu kəmpu , pəduri , pampori , kasa a omluj , etk , ku ke̯ale̯a t͡si ari unə hromə ɡrivə , ku zurnəl sumiɡos ʃ ku mustət͡s lund͡zə .
Ocljiu a soarilui easti unã plantã irboasã cu trupu multu analtu tsi easti criscutã di omu (ma poati si s-aflã sh-agrã), cu frãndzã mãri, ascuri, sh-cu-unã lilici mari, stronghilã ca nã turtã, galbinã, tsi-sh shutsã fatsa ntreaga dzuã dupã cum s-minã soarili, multu cãftatã di alghini, criscutã di omu, tu grãdinj i agri, ti simintsãli tsi s-mãcã sh-dit cari s-adarã untulemnu bun trã mãcari.	okʎiw a so̯ariluj e̯asti unə plantə irbo̯asə ku trup multu analtu t͡si e̯asti kriskutə di om ma po̯ati si s aflə ʃ aɡrə , ku frənd͡zə məri , askuri , ʃ ku unə lilit͡ʃi mari , stronɡilə ka nə turtə , ɡalbinə , t͡si ʃ ʃut͡sə fat͡sa ntre̯aɡa d͡zuə dupə kum s minə so̯arili , multu kəftatə di alɡini , kriskutə di om , tu ɡrədiɲ i aɡri , ti simint͡səli t͡si s məkə ʃ dit kari s adarə untulemnu bun trə məkari .
Tuljiu Carafoli (faptu 1872 — mortu 6-li di Xumedru 1936, Sãrunã) easti unu scriitoru shi profesoru Armãnescu.	tuʎiw karafoli faptu unə ɲiʎi optu suti ʃaptid͡zət͡s ʃi doj mortu ʃasi li di ksumedru unə ɲiʎi nao suti trejd͡zət͡s ʃi ʃasi , sərunə e̯asti un skrijtor ʃi profesor armənesku .
DEPORTAREA A ARMÃNJLOR DIT MACHIDUNIA DI DAT	deportare̯a a arməɲlor dit makidunja di dat
Anlu 1989, Lezha avea 10300 bãnãtori. Tu 2001, 16592, shi tu 2005: 18695. La numirarea di-tu soni, atsea di-tu 2013, earau bãnãtori.	anlu unə ɲiʎi nao suti opd͡zət͡s ʃi nao , lezha ave̯a d͡zat͡si ɲiʎ trej suti bənətori . tu daw ɲiʎ un , ʃasprəd͡zat͡si ɲiʎ t͡sint͡si suti no̯awəd͡zət͡s ʃi doj , ʃi tu daw ɲiʎ t͡sint͡si , optusprəd͡zat͡si ɲiʎ ʃasi suti no̯awəd͡zət͡s ʃi t͡sint͡si . la numirare̯a di tu soni , at͡se̯a di tu daw ɲiʎ tresprəd͡zat͡si , e̯araw bənətori .
Fu contra Reformatsiea al Martin Luther. Fu vãtãmat cãtse nu-apruchea Vãsiljelu Henri VIII s-u ãmpartã Bisearica anglicaneascã dit Bisearica catholicã shi ta si-spune singurlu ti celnic a bisearicãljei.	fu kontra reformat͡sje̯a al martin luθer . fu vətəmat kət͡se nu apruke̯a vəsiʎel henri optu s u əmpartə bise̯arika anɡlikane̯askə dit bise̯arika kaθolikə ʃi ta si spune sinɡurlu ti t͡ʃelnik a bise̯arikəʎej .
Noua Zeelandã, cunoscutã shi ca Aotearoa easti unã vãsilie ditu Oceanija.	nowa zeelandə , kunoskutə ʃi ka aote̯aro̯a e̯asti unə vəsilie dit ot͡ʃe̯aniʒa .
Anlu 1989, Kuçova avea 21700 bãnãtori. Tu 2001, 18038, shi tu 2005: 18166. La numirarea di-tu soni, atsea di-tu 2013, earau bãnãtori.	anlu unə ɲiʎi nao suti opd͡zət͡s ʃi nao , kut͡sova ave̯a unsprəɣinɡit͡s ɲiʎ ʃapti suti bənətori . tu daw ɲiʎ un , optusprəd͡zat͡si ɲiʎ trejd͡zət͡s ʃi optu , ʃi tu daw ɲiʎ t͡sint͡si , optusprəd͡zat͡si ɲiʎ unə sutə ʃajd͡zət͡s ʃi ʃasi . la numirare̯a di tu soni , at͡se̯a di tu daw ɲiʎ tresprəd͡zat͡si , e̯araw bənətori .
Planes eastiuna film de animatie ca 2013 lansat de Disney.	planes e̯astiwna film de animatie ka daw ɲiʎ tresprəd͡zat͡si lansat de disneɣ .
Nushi Tulliu muri la anlu 1941, shi nu bãnã ta s-veadã ca poeziili a lui u vidzurã lunjina a dzuãljei.	nuʃi tuʎiw muri la anlu unə ɲiʎi nao suti patrud͡zət͡s ʃi un , ʃi nu bənə ta s ve̯adə ka poezijli a luj u vid͡zurə luɲina a d͡zuəʎej .
Frãntsia icã Galia (frãntseascã: République française) easti unu statu tu Europa. Nai mai marli cãsãbã shi capitala easti Paris. Frãntsia easti parti di-tu Uniunea Europeanã. Statu aestu easti cunuscut trã culturã, arhitecturã ãi literaturã.	frənt͡sja ikə ɡalja frənt͡se̯askə , republikwe frant͡sajse e̯asti un stat tu ewropa . naj maj marli kəsəbə ʃi kapitala e̯asti paris . frənt͡sja e̯asti parti di tu uniwne̯a ewrope̯anə . stat aestu e̯asti kunuskut trə kulturə , arhitekturə əj literaturə .
Palma easti partea di nuntru a mãniljei, di la clidhusea (nodlu, ncljiitura) cu bratslu pãnã la mithca a deadzitilor.	palma e̯asti parte̯a di nuntru a məniʎej , di la kliðuse̯a nodlu , nkʎijtura ku brat͡slu pənə la miθka a de̯ad͡zitilor .
numa tsi s-da la itsi plantã cu trupu analtu sh-lumãchi limnoasi, mplinu di frãndzi tsi facu unã cãrunã largã deavãrliga a truplui.	numa t͡si s da la it͡si plantə ku trup analtu ʃ luməki limno̯asi , mplin di frənd͡ʒi t͡si fak unə kərunə larɡə de̯avərliɡa a trupluj .
Hiintsi suntu oaminji, animalili i plantili.	hijnt͡si suntu o̯amiɲi , animalili i plantili .
Bana Armãneascã easte unã revistã ti informatsiur shi cultura-a Armãnjlor di lume tutã, a curi redactor ãngheneral easte dr. Dumitru Piceava.	bana arməne̯askə e̯aste unə revistə ti informat͡siwr ʃi kultura a arməɲlor di lume tutə , a kuri redaktor ənɡeneral e̯aste doktor dumitru pit͡ʃe̯ava .
Etimologie: Lunae dies (l.lat.) = Dzuã-a meslui (lunii)	etimolod͡ʒe , lunae djes l . lat . d͡zuə a mesluj lunij
Unu omu cari ari lãngoari easti numit lãndzitu.	un om kari ari lənɡo̯ari e̯asti numit lənd͡ʒit .
Selena Marie Gomez (10 Juli, 1992) easte una Actriz.	selena marie ɡomez d͡zat͡si ʒuli , unə ɲiʎi nao suti no̯awəd͡zət͡s ʃi doj e̯aste una aktriz .
1990 - 2001 - proprietar tu a lui companii Europapapuli	unə ɲiʎi nao suti no̯awəd͡zət͡s , daw ɲiʎ un proprjetar tu a luj kompanij ewropapapuli
1990- 2001 – Prezidentu a Ligãljei a Armãnjlor dit Machidunii	unə ɲiʎi nao suti no̯awəd͡zət͡s , daw ɲiʎ un prezidentu a liɡəʎej a arməɲlor dit makidunij
D-ul Mite Costov Papuli eara parti di multi evenmenti armãneshtsã cu importantsã istoricã. Ashitsi, eara shi promotor a protãljei shi unica fimiridã ti fumelji “Lãnduricã”.	d ul mite kostov papuli e̯ara parti di multi evenmenti arməneʃt͡sə ku important͡sə istorikə . aʃit͡si , e̯ara ʃi promotor a protəʎej ʃi unika fimiridə ti fumeʎi ləndurikə .
A cu proectul “Bati cambana ti Armãnamea”, ãn cadur a manifestatsiiljei Dzatsi dzãli di Republica di Crushuva, d-ul Mite Costov Papuli s-alumtã, tu programa, traditsional, unã dzuã s-hibã ampãrtsãtã ti promovari a culturãljei armãneascã.	a ku proektul bati kambana ti arməname̯a , ən kadur a manifestat͡sijʎej d͡zat͡si d͡zəli di republika di kruʃuva , d ul mite kostov papuli s alumtə , tu proɡrama , tradit͡sjonal , unə d͡zuə s hibə ampərt͡sətə ti promovari a kulturəʎej arməne̯askə .
Vlatco Costov easti un fuzbaler di maniniti shi trener di tora, amintatu Shtip pi protu Yizmãciunjli anlu 1965, Shtip Machidonia, di doilji pãrintsã armãnj	vlatko kostov e̯asti un fuzbaler di maniniti ʃi trener di tora , amintat ʃtip pi prot ɣizmət͡ʃuɲli anlu unə ɲiʎi nao suti ʃajd͡zət͡s ʃi t͡sint͡si , ʃtip makidonja , di dojʎi pərint͡sə arməɲ
Farshala (grtseashti) cãsãbã tu mesi ali Gãrtsii, tu reonlu Tesalia. Farshala pricadi tu reonlu Larisa ãn cadur ali periferia Tesalia.	farʃala ɡrt͡se̯aʃti kəsəbə tu mesi ali ɡərt͡sij , tu reonlu tesalja . farʃala prikadi tu reonlu larisa ən kadur ali periferja tesalja .
Kavaja easti unu cãsãbã tu districtulu (rrethi) Districtulu Kavaja, Arbinishii. Cãsãbãlu easti parti di-tu prefectura Tirana (qarku).	kavaʒa e̯asti un kəsəbə tu distriktul rreθi distriktul kavaʒa , arbiniʃij . kəsəbəl e̯asti parti di tu prefektura tirana karku .
9.695 persoani, scljamã 0.48% di tuta mileti di Machedonia di Nord.	nao ɲiʎ ʃasi suti no̯awəd͡zət͡s ʃi t͡sint͡si perso̯ani , skʎamə nulə patrud͡zət͡s ʃi optu la sutə di tuta mileti di makedonja di nord .
Gustlu si hroma ali njiari easci data di turlia di lilici dit cai s´ana nectarlu.	ɡustlu si hroma ali ɲjari e̯ast͡ʃi data di turlja di lilit͡ʃi dit kaj s ana nektarlu .
Tu anlu 1992, cãsãbãlu avea 30404 bãnãtori sh-tu 2001: 30591. Estimarea trã anlu 2005 fu cã Svishtov ari 33782 bãnãtori.	tu anlu unə ɲiʎi nao suti no̯awəd͡zət͡s ʃi doj , kəsəbəl ave̯a trejd͡zət͡s ɲiʎ patru suti patru bənətori ʃ tu daw ɲiʎ un , trejd͡zət͡s ɲiʎ t͡sint͡si suti no̯awəd͡zət͡s ʃi un . estimare̯a trə anlu daw ɲiʎ t͡sint͡si fu kə sviʃtov ari trejd͡zət͡s ʃi trej ɲiʎ ʃapti suti opd͡zət͡s ʃi doj bənətori .
Sumedru easti meslu a anlui tsi yini dupã Yizmãciunu shi s'aflã nãintea-a Brumarlui.	sumedru e̯asti meslu a anluj t͡si ɣini dupə ɣizmət͡ʃun ʃi s aflə nəjnte̯a a brumarluj .
Shakira Isabel Mebarak Ripoll (amitatã tu 2 di Șcurtu 1977, Barranquilla, Columbia), cunuscutã ma multu ca Shakira, easte unã cântãtoari, compozitoari, dãnsãtoari shi filantropã columbianã. Ea easte consideratã unã di ma marea figuri a muzicãljei latini dit lumi, numatã adesea "Amirãusa a Muzicãljei Latini".	ʃakira isabel mebarak ripoʎ amitatə tu doj di skurtu unə ɲiʎi nao suti ʃaptid͡zət͡s ʃi ʃapti , barrankujʎa , kolumbja , kunuskutə ma multu ka ʃakira , e̯aste unə kɨntəto̯ari , kompozito̯ari , dənsəto̯ari ʃi filantropə kolumbjanə . e̯a e̯aste konsideratə unə di ma mare̯a fiɡuri a muzikəʎej latini dit lumi , numatə adese̯a amirəwsa a muzikəʎej latini .
Edinburg easte un cãsãbã tu Britania Mare.	edinburɡ e̯aste un kəsəbə tu britanja mare .
Proiectu:Vãsãliili di pi Terra/Participantsi	projektu , vəsəlijli di pi terra partit͡ʃipant͡si
