31 гыйнвар — Фәррах Дәүләтшин, БАССР халык чәчәне.	uˈtɨz ˈber ʁɨjnˈvɑr færˈrax dæylætˈʃin , ˈbe ˈɑ ˈes ˈes ˈer xɑˈlɨq ɕæɕæˈne .
Ермолаев И. П. Предшественница Казанского университета (к 250летию Первой Казанской Гимназии). Казань, 2008	jermolaˈjev ˈi ˈpe predʃestvenniˈt͡sa qɑzɑnsqoˈʁo universiteˈta q iˈke ˈjøz ilˈle letiˈju perˈvoj qɑzɑnˈsqoj ɡimnaziˈi . qɑˈzɑn , iˈke ˈmeŋ siˈɡez
2008 елда «Алнас» Римера нефть сервисы компаниясе составына керә. 2014 елда 250 меңенче насос чыгару буенча тантаналы чарада Татарстан Республикасы Президенты Рөстәм Миңнеханов катнаша. Татарстан һәм ЧТПЗ төркеме социаль-икътисадыи хезмәттәшлек турында килешү төзегщн. «Алнас» үзенең эшләгән чорында өч тапкыр Россиянең иң яхшы машина төзелеше компаниясе дип таныла.	iˈke ˈmeŋ siˈɡez jelˈda ɑlˈnɑs rimeˈra ˈneft serviˈsɨ qompanijɑˈse sostɑvɨˈnɑ keˈræ . iˈke ˈmeŋ unˈdyrt jelˈda iˈke ˈjøz ilˈle meŋenˈɕe nɑˈsos ɕɨʁɑˈru bujenˈɕa tɑntɑnɑˈlɨ ɕɑrɑˈdɑ tɑtɑrˈstɑn respublikaˈsɨ prezidenˈtɨ røˈstæm miŋnexaˈnov qɑtnɑˈʃɑ . tɑtɑrˈstɑn ˈhæm ˈɕe ˈte ˈpe ˈze tørkeˈme sot͡siˈal ikʔtisadɨˈi xezmættæˈʃlek turɨnˈdɑ kileˈʃy tøˈzeɡɕn . ɑlˈnɑs yzeˈneŋ eʃlæˈɡæn ɕorɨnˈdɑ ˈøɕ tɑpˈqɨr rossijɑˈneŋ ˈiŋ jɑxˈʃɨ maʃiˈna tøzeleˈʃe qompanijɑˈse ˈdip tɑnɨˈlɑ .
1974 елдан - республика, Бөтенсоюз һәм халыкара күргәзмәләрдә катнаша (Кытай, 2002; Татарстан, 2003).	ˈmeŋ tuˈʁɨz ˈjøz ʑitˈmeʃ ˈdyrt jelˈdan respubliˈka , bøtensoˈjuz ˈhæm xɑlɨqɑˈrɑ kyrɡæzmælærˈdæ qɑtnɑˈʃɑ qɨˈtɑj , iˈke ˈmeŋ iˈke , tɑtɑrˈstɑn , iˈke ˈmeŋ ˈøɕ .
Төлке ("Новый год на лесной опушке", А.Козлов - 2014)	tølˈke noˈvɨj ˈʁod ˈnɑ lesˈnoj opuˈʃke , ˈɑ . qoˈzlov iˈke ˈmeŋ unˈdyrt
Аның әтисе, Е.С. Кенигшац, 1917—1918 елларда Кишинёв кала думасының гласные, «Сфатул Цэрий» әгъзасы, шәһәрдә Вакытлы хөкүмәтнең комисар ярдәмчесе була. Әнисе О. В. Кенигшац, балалар өчен көндезге приют белән идарә итә .	ɑˈnɨŋ ætiˈse , ˈje ˈes keniɡˈʃat͡s , ˈmeŋ tuˈʁɨz ˈjøz unʑiˈde , ˈmeŋ tuˈʁɨz ˈjøz unsiˈɡez jellarˈda kiʃiˈnjov qɑˈlɑ dumɑsɨˈnɨŋ ʁlasnɨˈje , sfɑˈtul t͡seˈrij æɡʔzaˈsɨ , ʃæhærˈdæ vɑqɨˈtlɨ xøkymætˈneŋ qomiˈsar jɑrdæmɕeˈse buˈlɑ . æniˈse ˈo ˈve keniɡˈʃat͡s , bɑlɑˈlɑr øˈɕen køndezˈɡe priˈjut beˈlæn idaˈræ iˈtæ .
Үз твиттерында Йовович, үзен православ христиан дип атый, әммә «мәхәббәт һәм канатлану урын алган һәр чиркәүгә дә» йөри алуын әйтә .	ˈyz tvitterɨnˈda jovoˈviɕ , yˈzen prɑvoˈslɑv xristiˈan ˈdip ɑˈtɨj , æmˈmæ mæxæbˈbæt ˈhæm qɑnɑtlɑˈnu uˈrɨn ɑlˈʁɑn ˈhær ɕirkæyˈɡæ ˈdæ jøˈri ɑluˈɨn æjˈtæ .
Старе Дольно Польшаның башкаласы Варшавадан төньяк-көнбатышка таба 223 чакрым ераклыкта урнашкан.	staˈre dolˈno polʃɑˈnɨŋ bɑʃqɑlɑˈsɨ vɑrʃɑvɑˈdɑn tøˈnjɑq kønbatɨˈʃqa tɑˈbɑ iˈke ˈjøz jeɡerˈme ˈøɕ ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
Кистово Польшаның башкаласы Варшавадан төньяк-көнбатышка таба 313 чакрым ераклыкта урнашкан.	kistoˈvo polʃɑˈnɨŋ bɑʃqɑlɑˈsɨ vɑrʃɑvɑˈdɑn tøˈnjɑq kønbatɨˈʃqa tɑˈbɑ ˈøɕ ˈjøz uˈnøɕ ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
Жабинек Польшаның башкаласы Варшавадан төньяк-көнбатышка таба 358 чакрым ераклыкта урнашкан.	ʒabiˈnek polʃɑˈnɨŋ bɑʃqɑlɑˈsɨ vɑrʃɑvɑˈdɑn tøˈnjɑq kønbatɨˈʃqa tɑˈbɑ ˈøɕ ˈjøz ilˈle siˈɡez ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
Войцехув Польшаның башкаласы Варшавадан көньяк-көнбатышка таба 147 чакрым ераклыкта урнашкан.	vojt͡seˈxuv polʃɑˈnɨŋ bɑʃqɑlɑˈsɨ vɑrʃɑvɑˈdɑn køˈnjɑq kønbatɨˈʃqa tɑˈbɑ ˈjøz qɨˈrɨq ʑiˈde ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
Кобло-Колония Польшаның башкаласы Варшавадан көньяк-көнчыгышка таба 254 чакрым ераклыкта урнашкан.	qoˈblo qoloniˈjɑ polʃɑˈnɨŋ bɑʃqɑlɑˈsɨ vɑrʃɑvɑˈdɑn køˈnjɑq kønɕɨʁɨˈʃqa tɑˈbɑ iˈke ˈjøz ilˈle ˈdyrt ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
Лютинка Польшаның башкаласы Варшавадан көньяк-көнбатышка таба 415 чакрым ераклыкта урнашкан.	ljutinˈka polʃɑˈnɨŋ bɑʃqɑlɑˈsɨ vɑrʃɑvɑˈdɑn køˈnjɑq kønbatɨˈʃqa tɑˈbɑ ˈdyrt ˈjøz unˈbiʃ ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
Новий Ясенець-Илжецкий Польшаның башкаласы Варшавадан көньяк-көнчыгышка таба 124 чакрым ераклыкта урнашкан.	noˈvij jɑseˈnet͡s ilʒet͡sˈkij polʃɑˈnɨŋ bɑʃqɑlɑˈsɨ vɑrʃɑvɑˈdɑn køˈnjɑq kønɕɨʁɨˈʃqa tɑˈbɑ ˈjøz jeɡerˈme ˈdyrt ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
Кевлаки Польшаның башкаласы Варшавадан төньяк-көнчыгышка таба 137 чакрым ераклыкта урнашкан.	kevlaˈki polʃɑˈnɨŋ bɑʃqɑlɑˈsɨ vɑrʃɑvɑˈdɑn tøˈnjɑq kønɕɨʁɨˈʃqa tɑˈbɑ ˈjøz uˈtɨz ʑiˈde ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
Старий Цикажев Польшаның башкаласы Варшавадан көньяк-көнбатышка таба 191 чакрым ераклыкта урнашкан.	staˈrij t͡sikaˈʒev polʃɑˈnɨŋ bɑʃqɑlɑˈsɨ vɑrʃɑvɑˈdɑn køˈnjɑq kønbatɨˈʃqa tɑˈbɑ ˈjøz tuqˈsɑn ˈber ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
Бровары урамнарының берсе аның исемен йөртә.	brovɑˈrɨ urɑmnɑrɨˈnɨŋ berˈse ɑˈnɨŋ iseˈmen jørˈtæ .
Арнольд, Мэриленд штатында (АКШ) урнашкан халык санын алу урыны.	ɑrˈnold , meriˈlend ʃtɑtɨnˈdɑ ˈɑ ˈqɑ ˈʃɑ urnɑˈʃqɑn xɑˈlɨq sɑˈnɨn ɑˈlu urɨˈnɨ .
1951 - 1956 елларда Ереван дәүләт медицина институтының медицина факультетында укыган. 1956 - 1958 елларда Ереван балалар клиник хастаханәсендә педиатр булып эшләгән. 1958 - 1961 елларда 2 нче ММИ аспирантурасында укыган.	ˈmeŋ tuˈʁɨz ˈjøz ilˈle ˈber , ˈmeŋ tuˈʁɨz ˈjøz ilˈle ɑlˈtɨ jellarˈda jereˈvan dæyˈlæt medit͡siˈna institutɨˈnɨŋ medit͡siˈna faqultetɨnˈda uqɨˈʁɑn . ˈmeŋ tuˈʁɨz ˈjøz ilˈle ɑlˈtɨ , ˈmeŋ tuˈʁɨz ˈjøz ilˈle siˈɡez jellarˈda jereˈvan bɑlɑˈlɑr kliˈnik xastaxanæsenˈdæ pediˈatr buˈlɨp eʃlæˈɡæn . ˈmeŋ tuˈʁɨz ˈjøz ilˈle siˈɡez , ˈmeŋ tuˈʁɨz ˈjøz ɑltˈmɨʃ ˈber jellarˈda ikenˈɕe ˈem ˈem ˈi aspiranturasɨnˈda uqɨˈʁɑn .
• Тикшереп карауны 6-12 ай арасы белән авыруның гомере буе үткәрәләр. Карау вакытында конъюнктиваны тулысынча тикшерәләр һәм барлык шикле өлкәләр мәҗбүри гистологик һәм цитологик тикшерү узарга тиеш.	tikʃeˈrep qɑrɑuˈnɨ ɑlˈtɨ , uniˈke ˈɑj ɑrɑˈsɨ beˈlæn ɑvɨruˈnɨŋ ʁomeˈre buˈje ytkæræˈlær . qɑrɑˈu vɑqɨtɨnˈdɑ qonʔjunqtivaˈnɨ tulɨsɨnˈɕɑ tikʃeræˈlær ˈhæm bɑrˈlɨq ʃiˈkle ølkæˈlær mæʑbyˈri ɡistoloˈʁik ˈhæm t͡sitoloˈʁik tikʃeˈry uzɑrˈʁɑ tiˈjeʃ .
Антигуа һәм Барбудада мөселманнар өчен зур мәчет яки ислам үзәге булдырырга кирәк. Антигуа һәм Барбуданың халыкара ислам җәмгыяте шундый мәчетне Сент-Джонста Американ-роуд урамында төзергә ниятли. Хәзерге вакытта мәчет өчен кулланылучы урын зур булмаган алачыктан гыйбарәт, анда утызга якын кеше гыйбадәт кыла ала.	antiɡuˈa ˈhæm bɑrbudɑˈdɑ møselmanˈnar øˈɕen ˈzur mæˈɕet jɑˈqi iˈslam yzæˈɡe buldɨrɨrˈʁɑ kiˈræk . antiɡuˈa ˈhæm bɑrbudɑˈnɨŋ xɑlɨqɑˈrɑ iˈslam ʑæmʁɨjɑˈte ʃunˈdɨj mæɕetˈne ˈsent dʒonˈstɑ ameriˈkan roˈud urɑmɨnˈdɑ tøzerˈɡæ nijɑˈtli . xæzerˈɡe vɑqɨtˈtɑ mæˈɕet øˈɕen qullɑnɨluˈɕɨ uˈrɨn ˈzur bulmɑˈʁɑn ɑlɑɕɨqˈtɑn ʁɨjbaˈræt , ɑnˈdɑ utɨzˈʁɑ jɑˈqɨn keˈʃe ʁɨjbaˈdæt qɨˈlɑ ɑˈlɑ .
Мелоди-Гилл халык санын алу урыны мәйданы — . Статистик яктан аерымланган урынның чикләре хокукый статуска ия түгел.	meloˈdi ˈɡill xɑˈlɨq sɑˈnɨn ɑˈlu urɨˈnɨ mæjdaˈnɨ . statiˈstik jɑqˈtɑn ajerɨmlanˈʁan urɨnˈnɨŋ ɕiklæˈre xoquˈqɨj stɑtuˈsqɑ iˈjɑ tyˈɡel .
Геррон халык санын алу урыны мәйданы — . Статистик яктан аерымланган урынның чикләре хокукый статуска ия түгел.	ɡerˈron xɑˈlɨq sɑˈnɨn ɑˈlu urɨˈnɨ mæjdaˈnɨ . statiˈstik jɑqˈtɑn ajerɨmlanˈʁan urɨnˈnɨŋ ɕiklæˈre xoquˈqɨj stɑtuˈsqɑ iˈjɑ tyˈɡel .
Реннердейл — Америка Кушма Штатларының Пенсильвания штатында урнашкан халык санын алу урыны ().	rennerˈdejl ameriˈka quʃˈmɑ ʃtɑtlɑrɨˈnɨŋ pensilvaniˈjɑ ʃtɑtɨnˈdɑ urnɑˈʃqɑn xɑˈlɨq sɑˈnɨn ɑˈlu urɨˈnɨ .
Элк-Гроув — Америка Кушма Штатларының Висконсин штатында урнашкан зур булмаган шәһәр ().	ˈelk ʁroˈuv ameriˈka quʃˈmɑ ʃtɑtlɑrɨˈnɨŋ visqonˈsin ʃtɑtɨnˈdɑ urnɑˈʃqɑn ˈzur bulmɑˈʁɑn ʃæˈhær .
Йорк-Спрингс — Америка Кушма Штатларының Пенсильвания штатында урнашкан зур булмаган шәһәр ().	ˈjorq ˈsprinɡs ameriˈka quʃˈmɑ ʃtɑtlɑrɨˈnɨŋ pensilvaniˈjɑ ʃtɑtɨnˈdɑ urnɑˈʃqɑn ˈzur bulmɑˈʁɑn ʃæˈhær .
Армаган () — Төркия Җөмһүриятенең Эгей бүлгесе Маниса иле Көпрүбашы илчесенә караган бер мәхәллә ().	ɑrmɑˈʁɑn tørkiˈjɑ ʑømhyrijɑteˈneŋ eˈɡej bylɡeˈse maniˈsa iˈle køprybaˈʃɨ ilɕeseˈnæ qɑrɑˈʁɑn ˈber mæxælˈlæ .
Гүнери () — Төркия Җөмһүриятенең Акдиңгез бүлгесе Адана иле Козан илчесенә караган бер мәхәллә ().	ɡyneˈri tørkiˈjɑ ʑømhyrijɑteˈneŋ akdiŋˈɡez bylɡeˈse ɑdɑˈnɑ iˈle qoˈzɑn ilɕeseˈnæ qɑrɑˈʁɑn ˈber mæxælˈlæ .
Җин () — Төркия Җөмһүриятенең Акдиңгез бүлгесе Мерсин иле Тарсус илчесенә караган бер мәхәллә ().	ˈʑin tørkiˈjɑ ʑømhyrijɑteˈneŋ akdiŋˈɡez bylɡeˈse merˈsin iˈle tɑrˈsus ilɕeseˈnæ qɑrɑˈʁɑn ˈber mæxælˈlæ .
Кибарлар () — Төркия Җөмһүриятенең Карадиңгез бүлгесе Самсун иле Теккекөй илчесенә караган бер мәхәллә ().	kibarˈlar tørkiˈjɑ ʑømhyrijɑteˈneŋ karadiŋˈɡez bylɡeˈse sɑmˈsun iˈle tekkeˈkøj ilɕeseˈnæ qɑrɑˈʁɑn ˈber mæxælˈlæ .
Овабейли Төркиянең башкаласы Әнкарадан турыдан 618 чакрым, ә илнең иң зур шәһәре Истанбулдан 965 чакрым ераклыкта урнашкан .	ovabejˈli tørkijɑˈneŋ bɑʃqɑlɑˈsɨ ænkaraˈdan turɨˈdɑn ɑlˈtɨ ˈjøz unsiˈɡez ɕɑˈqrɨm , ˈæ ilˈneŋ ˈiŋ ˈzur ʃæhæˈre istanbulˈdan tuˈʁɨz ˈjøz ɑltˈmɨʃ ˈbiʃ ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
Ташделен () — Төркия Җөмһүриятенең Карадиңгез бүлгесе Трабзон иле Йомра илчесенә караган бер мәхәллә ().	taʃdeˈlen tørkiˈjɑ ʑømhyrijɑteˈneŋ karadiŋˈɡez bylɡeˈse trɑbˈzon iˈle jomˈrɑ ilɕeseˈnæ qɑrɑˈʁɑn ˈber mæxælˈlæ .
Чакырлы () — Төркия Җөмһүриятенең Мәрмәр бүлгесе Бурса иле Орһангази илчесенә караган бер мәхәллә ().	ɕɑqɨrˈlɨ tørkiˈjɑ ʑømhyrijɑteˈneŋ mærˈmær bylɡeˈse burˈsɑ iˈle orhanɡaˈzi ilɕeseˈnæ qɑrɑˈʁɑn ˈber mæxælˈlæ .
Языр () — Төркия Җөмһүриятенең Акдиңгез бүлгесе Анталья иле Коркутэли илчесенә караган бер мәхәллә ().	jɑˈzɨr tørkiˈjɑ ʑømhyrijɑteˈneŋ akdiŋˈɡez bylɡeˈse ɑntɑˈljɑ iˈle qorquteˈli ilɕeseˈnæ qɑrɑˈʁɑn ˈber mæxælˈlæ .
Башигдир () — Төркия Җөмһүриятенең Карадиңгез бүлгесе Карабүк иле Эфлани илчесенә караган бер авыл ().	baʃiɡˈdir tørkiˈjɑ ʑømhyrijɑteˈneŋ karadiŋˈɡez bylɡeˈse karaˈbyk iˈle eflaˈni ilɕeseˈnæ qɑrɑˈʁɑn ˈber ɑˈvɨl .
Доганевлер () — Төркия Җөмһүриятенең Көнчыгыш Анатолия бүлгесе Бингөл иле Генч илчесенә караган бер авыл ().	doʁaneˈvler tørkiˈjɑ ʑømhyrijɑteˈneŋ kønɕɨˈʁɨʃ anatoliˈjɑ bylɡeˈse binˈɡøl iˈle ˈɡenɕ ilɕeseˈnæ qɑrɑˈʁɑn ˈber ɑˈvɨl .
Юкарыавлыян Төркиянең башкаласы Әнкарадан турыдан 192 чакрым, ә илнең иң зур шәһәре Истанбулдан 167 чакрым ераклыкта урнашкан .	juqɑrɨɑvlɨˈjɑn tørkijɑˈneŋ bɑʃqɑlɑˈsɨ ænkaraˈdan turɨˈdɑn ˈjøz tuqˈsɑn iˈke ɕɑˈqrɨm , ˈæ ilˈneŋ ˈiŋ ˈzur ʃæhæˈre istanbulˈdan ˈjøz ɑltˈmɨʃ ʑiˈde ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
Кузкөй Төркиянең башкаласы Әнкарадан турыдан 251 чакрым, ә илнең иң зур шәһәре Истанбулдан 452 чакрым ераклыкта урнашкан .	quzˈkøj tørkijɑˈneŋ bɑʃqɑlɑˈsɨ ænkaraˈdan turɨˈdɑn iˈke ˈjøz ilˈle ˈber ɕɑˈqrɨm , ˈæ ilˈneŋ ˈiŋ ˈzur ʃæhæˈre istanbulˈdan ˈdyrt ˈjøz ilˈle iˈke ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
Саларыалаҗа () — Төркия Җөмһүриятенең Эчке Анатолия бүлгесе Аксарай иле Ортакөй илчесенә караган бер авыл ().	sɑlɑrɨɑlɑˈʑɑ tørkiˈjɑ ʑømhyrijɑteˈneŋ eˈɕke anatoliˈjɑ bylɡeˈse ɑqsɑˈrɑj iˈle ortaˈkøj ilɕeseˈnæ qɑrɑˈʁɑn ˈber ɑˈvɨl .
Хамидие () — Төркия Җөмһүриятенең Карадиңгез бүлгесе Кастамону иле Чаталзейтин илчесенә караган бер авыл ().	xamidiˈje tørkiˈjɑ ʑømhyrijɑteˈneŋ karadiŋˈɡez bylɡeˈse qɑstɑmoˈnu iˈle ɕatalzejˈtin ilɕeseˈnæ qɑrɑˈʁɑn ˈber ɑˈvɨl .
Башчифтлик Төркиянең башкаласы Анкарадан төньяк-көнчыгышка таба 372 чакрым ераклыкта урнашкан..	baʃɕifˈtlik tørkijɑˈneŋ bɑʃqɑlɑˈsɨ ɑnqɑrɑˈdɑn tøˈnjɑq kønɕɨʁɨˈʃqa tɑˈbɑ ˈøɕ ˈjøz ʑitˈmeʃ iˈke ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
Ариан Павлович Калинин (1927 елның 1 марты, Сембер губернасы, Ардатау шәһәре, РСФСР- 2016 елның 28 октябре, Мәскәү, Россия Федерациясе) - Совет һәм Россия эндокринологы, Россия фәннәр академиясе мөхбир-әгъзасы (2014; 1995 елдан Россия медицина фәннәре академиясенең корреспондент әгъзасы).	ariˈan pavloˈviɕ kaliˈnin ˈmeŋ tuˈʁɨz ˈjøz jeɡerˈme ʑiˈde jelˈnɨŋ ˈber mɑrˈtɨ , semˈber ʁubernaˈsɨ , ɑrdɑtɑˈu ʃæhæˈre , ˈer ˈes ˈef ˈes ˈer iˈke ˈmeŋ unɑlˈtɨ jelˈnɨŋ jeɡerˈme siˈɡez oqtjɑˈbre , mæskæˈy , rossiˈjɑ federat͡sijɑˈse soˈvet ˈhæm rossiˈjɑ endoqrinoloˈʁɨ , rossiˈjɑ fænˈnær akademijɑˈse møxˈbir æɡʔzaˈsɨ iˈke ˈmeŋ unˈdyrt , ˈmeŋ tuˈʁɨz ˈjøz tuqˈsɑn ˈbiʃ jelˈdan rossiˈjɑ medit͡siˈna fænnæˈre akademijɑseˈneŋ qorresponˈdent æɡʔzaˈsɨ .
1980 ел - «Бөек Ватан сугышында Җиңүгә 40 ел» медале.	ˈmeŋ tuˈʁɨz ˈjøz sikˈsæn ˈjel bøˈjek vɑˈtɑn suʁɨʃɨnˈdɑ ʑiŋyˈɡæ qɨˈrɨq ˈjel medaˈle .
Абдынлы Азәрбайҗанның башкаласы Бакыдан көньяк-көнбатышка таба 248 чакрым ераклыкта урнашкан.	ɑbdɨnˈlɨ azærbajʑanˈnɨŋ bɑʃqɑlɑˈsɨ bɑqɨˈdɑn køˈnjɑq kønbatɨˈʃqa tɑˈbɑ iˈke ˈjøz qɨˈrɨq siˈɡez ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
1931 елда авылда 75 кеше, 12 хуҗалык исәпләнгән.	ˈmeŋ tuˈʁɨz ˈjøz uˈtɨz ˈber jelˈda ɑvɨlˈdɑ ʑitˈmeʃ ˈbiʃ keˈʃe , uniˈke xuʑɑˈlɨq isæplænˈɡæn .
Илдус Бәхтигәрәев (Подлуб, Караидел районы, Башкортстан)	ilˈdus bæxtiɡæræˈjev poˈdlub , karaiˈdel rɑjoˈnɨ , bɑʃqortˈstɑn
Әнәс Садретдинов, Мәскәү мөфтияте имам-хатыйбы.	æˈnæs sadretdiˈnov , mæskæˈy møftijɑˈte iˈmam xɑtɨjˈbɨ .
2012 елда басылып чыккан генетик тикшеренүләргә ярашлы, чегәннәрнең иң зур генетик охшашлыгы төньяк-көнбатыш һәм төньяк Һиндстанда яшәгән аерым халыклар белән бәйле: мегхаваллар (Раджастхан штаты, Джамму һәм Кашмир) .	iˈke ˈmeŋ uniˈke jelˈda bɑsɨˈlɨp ɕɨqˈqɑn ɡeneˈtik tikʃerenylærˈɡæ jɑrɑˈʃlɨ , ɕeɡænnærˈneŋ ˈiŋ ˈzur ɡeneˈtik oxʃɑʃlɨˈʁɨ tøˈnjɑq kønbaˈtɨʃ ˈhæm tøˈnjɑq hindstanˈda jɑʃæˈɡæn ajeˈrɨm xɑlɨˈqlɑr beˈlæn bæjˈle , meɡxavalˈlar rɑdʒɑstˈxɑn ʃtɑˈtɨ , dʒɑmˈmu ˈhæm kaʃˈmir .
Будиковице Чехиянең башкаласы Прагадан көньяк-көнчыгышка таба 137.7 чакрым ераклыкта урнашкан .	budikoviˈt͡se ɕexijɑˈneŋ bɑʃqɑlɑˈsɨ prɑʁɑˈdɑn køˈnjɑq kønɕɨʁɨˈʃqa tɑˈbɑ ˈjøz uˈtɨz ʑiˈde . ʑiˈde ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
Лани Дашиц Чехиянең башкаласы Прагадан көньяк-көнчыгышка таба 103.7 чакрым ераклыкта урнашкан .	laˈni daˈʃit͡s ɕexijɑˈneŋ bɑʃqɑlɑˈsɨ prɑʁɑˈdɑn køˈnjɑq kønɕɨʁɨˈʃqa tɑˈbɑ ˈjøz ˈøɕ . ʑiˈde ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
Стражнице Чехиянең башкаласы Прагадан төньяк-көнчыгышка таба 37.3 чакрым ераклыкта урнашкан .	straʒniˈt͡se ɕexijɑˈneŋ bɑʃqɑlɑˈsɨ prɑʁɑˈdɑn tøˈnjɑq kønɕɨʁɨˈʃqa tɑˈbɑ uˈtɨz ʑiˈde . ˈøɕ ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
Бакони Апеннин ярымутравының төньяк өлешендә, Италия башкаласы Римнан төньякка таба урнашкан.	baqoˈni apenˈnin jɑrɨmutrɑvɨˈnɨŋ tøˈnjɑq øleʃenˈdæ , italiˈjɑ bɑʃqɑlɑˈsɨ rimˈnan tønjɑqˈqa tɑˈbɑ urnɑˈʃqɑn .
Виласио Апеннин ярымутравының урта өлешендә, Италия башкаласы Римнан төньякка таба урнашкан.	vilasiˈo apenˈnin jɑrɨmutrɑvɨˈnɨŋ urˈtɑ øleʃenˈdæ , italiˈjɑ bɑʃqɑlɑˈsɨ rimˈnan tønjɑqˈqa tɑˈbɑ urnɑˈʃqɑn .
Казе Бручате Апеннин ярымутравының урта өлешендә, Италия башкаласы Римнан көнчыгышка таба урнашкан.	kaˈze bruɕaˈte apenˈnin jɑrɨmutrɑvɨˈnɨŋ urˈtɑ øleʃenˈdæ , italiˈjɑ bɑʃqɑlɑˈsɨ rimˈnan kønɕɨʁɨˈʃqa tɑˈbɑ urnɑˈʃqɑn .
Кокола Апеннин ярымутравының көньяк өлешендә, Италия башкаласы Римнан көньякка таба урнашкан.	qoqoˈlɑ apenˈnin jɑrɨmutrɑvɨˈnɨŋ køˈnjɑq øleʃenˈdæ , italiˈjɑ bɑʃqɑlɑˈsɨ rimˈnan kønjɑqˈqa tɑˈbɑ urnɑˈʃqɑn .
Маламоко - Экс Имперо Италиянең төньягында, Падан тигезлегендә, Италия башкаласы Римнан төньяк-көнчыгышка таба урнашкан.	mɑlɑmoˈqo ˈeks impeˈro italijɑˈneŋ tønjɑʁɨnˈda , pɑˈdɑn tiɡezleɡenˈdæ , italiˈjɑ bɑʃqɑlɑˈsɨ rimˈnan tøˈnjɑq kønɕɨʁɨˈʃqa tɑˈbɑ urnɑˈʃqɑn .
Патерно Апеннин ярымутравының урта өлешендә, Үзәк Апеннин тауларыннан көнбатышка таба урнашкан.	paterˈno apenˈnin jɑrɨmutrɑvɨˈnɨŋ urˈtɑ øleʃenˈdæ , yˈzæk apenˈnin tɑulɑrɨnˈnɑn kønbatɨˈʃqa tɑˈbɑ urnɑˈʃqɑn .
Рочано Апеннин ярымутравының урта өлешендә, Италия башкаласы Римнан көнчыгышка таба урнашкан.	roɕɑˈno apenˈnin jɑrɨmutrɑvɨˈnɨŋ urˈtɑ øleʃenˈdæ , italiˈjɑ bɑʃqɑlɑˈsɨ rimˈnan kønɕɨʁɨˈʃqa tɑˈbɑ urnɑˈʃqɑn .
Темпа дел Корво Апеннин ярымутравының көньяк өлешендә, Италия башкаласы Римнан көньякка таба урнашкан.	temˈpa ˈdel qorˈvo apenˈnin jɑrɨmutrɑvɨˈnɨŋ køˈnjɑq øleʃenˈdæ , italiˈjɑ bɑʃqɑlɑˈsɨ rimˈnan kønjɑqˈqa tɑˈbɑ urnɑˈʃqɑn .
Эзола Апеннин ярымутравының урта өлешендә, Италия башкаласы Римнан көнчыгышка таба урнашкан.	ezoˈla apenˈnin jɑrɨmutrɑvɨˈnɨŋ urˈtɑ øleʃenˈdæ , italiˈjɑ bɑʃqɑlɑˈsɨ rimˈnan kønɕɨʁɨˈʃqa tɑˈbɑ urnɑˈʃqɑn .
Асьенда Гвадалупе — Мексиканың Гуанхуато штатында урнашкан торак пункт. муниципалитеты составына керә.	asenˈda ʁvadaluˈpe meksikaˈnɨŋ ʁuɑnxuɑˈto ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Сан Хосе дел Пасо — Мексиканың Гуанхуато штатында урнашкан торак пункт. муниципалитеты составына керә.	ˈsɑn xoˈse ˈdel pɑˈso meksikaˈnɨŋ ʁuɑnxuɑˈto ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Колония Эрба Санта — Мексиканың Герреро штатында урнашкан торак пункт. муниципалитеты составына керә.	qoloniˈjɑ erˈba sɑnˈtɑ meksikaˈnɨŋ ɡerreˈro ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
