Категори:Алфавите кура администрациллӗ виҫесем	kadeɡoˈri , alfaʋiˈde kuˈra administraˈt͡silːɘ ʋiʑeˈzem
Димитриева В. Д. Документы об издании книги «Сочинения, принадлежащие к грамматике чувашского языка» // Уч. зап. ЧНИИ, вып. 34. Филология. — Чебоксары, 1967. — С. 153—162.	dimitrijeˈʋa ˈʋe ˈde doɡumenˈdɯ ˈob izdaniˈi kniˈɡi sod͡ʑineniˈja , prinadleʒaʑiˈje k ɡramːadiˈɡe t͡ɕuʋaʂskoˈɡo jazɯˈɡa ˈut͡ɕ . ˈzap . ˈt͡ɕe ˈen ˈi ˈi , ˈʋɯp . ˈʋədər təˈʋatːə . filoloɡiˈja . t͡ɕeboksaˈrɯ , ˈpin ˈtəɣər ˈɕɘr ˈutməl ˈɕit͡ɕːɘ . s . ˈɕɘr ˈalːə ˈʋiɕːɘ , ˈɕɘr ˈutməl ˈikːɘ .
И. П. Прокопьев — КПСС Чӑваш обкомӗн пӗрремӗш секретарӗ (1974-1988), чӑваш АССР Улттӑмӗш созыври Аслӑ Канашӗн председателӗ (1963-1967);	ˈi ˈpe proɡopʲˈjeʋ ˈka ˈpe ˈes ˈes t͡ɕəˈʋaʂ obˈkomɘn pɘˈrːemɘʂ sekreˈdarɘ ˈpin ˈtəɣər ˈɕɘr ˈɕitmɘl təˈʋatːə , ˈpin ˈtəɣər ˈɕɘr saɡərˈʋunːə ˈsakːər , t͡ɕəˈʋaʂ ˈa ˈes ˈes ˈer ˈultːəmɘʂ sozɯʋˈri ˈaslə kaˈnaʐɘn predsedaˈdelɘ ˈpin ˈtəɣər ˈɕɘr ˈutməl ˈʋiɕːɘ , ˈpin ˈtəɣər ˈɕɘr ˈutməl ˈɕit͡ɕːɘ ,
Л.П. Прокопьев — Чӑваш АССР Министрсен Совечӗн председателӗ (1975-1989).	ˈelʲ ˈpe proɡopʲˈjeʋ t͡ɕəˈʋaʂ ˈa ˈes ˈes ˈer ministrˈzen soˈʋed͡ʑɘn predsedaˈdelɘ ˈpin ˈtəɣər ˈɕɘr ˈɕitmɘl ˈpilːɘk , ˈpin ˈtəɣər ˈɕɘr saɡərˈʋunːə ˈtəχːər .
Н. А. Зайцев — чӑваш Республикин Министрсен Совечӗн председателӗ (1989-1993));	ˈen ˈa zajˈt͡seʋ t͡ɕəˈʋaʂ respubliˈɡin ministrˈzen soˈʋed͡ʑɘn predsedaˈdelɘ ˈpin ˈtəɣər ˈɕɘr saɡərˈʋunːə ˈtəχːər , ˈpin ˈtəɣər ˈɕɘr təɣərˈʋunːə ˈʋiɕːɘ ,
Н. В. Федоров — Чӑваш Республикин пӗрремӗш Президенчӗ (1993-2010));	ˈen ˈʋe fedoˈroʋ t͡ɕəˈʋaʂ respubliˈɡin pɘˈrːemɘʂ preziˈdend͡ʑɘ ˈpin ˈtəɣər ˈɕɘr təɣərˈʋunːə ˈʋiɕːɘ , ˈik ˈpin ˈʋunːə ,
Эктор Алос-и-Фонт. Оценка языковой политики в Чувашии	ekˈtor aˈlos ˈi ˈfont . ot͡senˈɡa jazɯɡoˈʋoj polidiˈɡi ʋ t͡ɕuʋaʐiˈi
Стихотворение Андрияну Николаеву летчику-космонавту посвящается (автор Елена Светлая, г. Чебоксары)	stiɣotʋoreniˈje andrijaˈnu niɡolajeˈʋu lett͡ɕiˈɡu kosmonaʋˈtu posʋjaʑajetsˈja aʋˈtor jeleˈna sʋetlaˈja , ɡ . t͡ɕeboksaˈrɯ
Стихотворение про А. Г. Николаева «Чувашский космонавт»	stiɣotʋoreniˈje pˈro ˈa ˈɡe niɡolajeˈʋa t͡ɕuʋaʂsˈkij kosmoˈnaʋt
Соловьев, И. Пурӑннӑ пулсан, 70 тултаратчӗ / И. Соловьев // Ял ӗҫченӗ (Тӑвай р-нӗ). – 2010. – 16 утӑ. – С. 4 : сӑн ӳкерчӗк.	soloʋʲˈjeʋ , ˈi . ˈpurənːə pulˈzan , ˈɕitmɘl tuldaˈratt͡ɕɘ ˈi . soloʋʲˈjeʋ ˈjal ɘɕˈt͡ɕenɘ təˈʋaj r ˈnɘ . ˈik ˈpin ˈʋunːə . ˈʋun ˈult ˈudə . s . təˈʋatːə , ˈsən yˈɡert͡ɕɘk .
Владимир Болгарский. Об угрозе развала страны в будущем, о съезде ЧНК, и об обращении к президенту	ʋladiˈmir bolɡarsˈkij . ˈob uɡroˈze razʋaˈla straˈnɯ ʋ buduˈʑem , ˈo sjezˈde ˈt͡ɕe ˈen ˈka , ˈi ˈob obraʑeniˈi k prezidenˈdu
Д.П. Петрова (Юман), М. П. Петрова, А. П. Прокопьева-Милли тата пӑлхарти ытти таврапӗлӳҫӗсен тапхӑрӗнче чӑваш халӑх историйӗнче "ылтӑн ӗмӗр" тесе сӑнласа панӑ, социаллӑ-класс хирӗҫӗвӗсем тата ҫак патшалӑхра эксплуататорсен пусмӑрӗ пурри пирки шута илмен. Ҫав ҫулсенчех буржуази националисчӗсем чӑвашсене пӑлхара ят парас кампание уҫнӑ, Чӑваш АССР вара "Пӑлхар"теме сӗннӗ.	ˈde ˈpe petroˈʋa juˈman , ˈem ˈpe petroˈʋa , ˈa ˈpe proɡopʲjeˈʋa miˈlːi taˈda pəlɣarˈdi ɯˈtːi taʋrabɘlyʑɘˈzen tapχərɘnˈd͡ʑe t͡ɕəˈʋaʂ ˈχaləχ istorijɘnˈd͡ʑe ˈɯltən ˈɘmɘr teˈze sənlaˈza ˈpanə , sot͡siˈalːə kˈlasː χirɘʑɘʋɘˈzem taˈda ˈɕak patʂaləχˈra ekspluadadorˈzen ˈpusmərɘ puˈrːi pirˈɡi ʂuˈda ilˈmen . ˈɕaʋ ɕulzenˈd͡ʑeχ burʒuaˈzi nat͡sionalist͡ɕɘˈzem t͡ɕəʋaʂseˈne pəlɣaˈra ˈjat paˈras kambaniˈje ˈuɕnə , t͡ɕəˈʋaʂ ˈa ˈes ˈes ˈer ʋaˈra pəlˈɣar teˈme ˈsɘnːɘ .
Чӑваш Енре сывлӑх сыхлавӗн 4 учрежденийӗпе сывлӑх сыхлавӗн Министерствине пӑхӑнса тӑракан 68 учреждение регистрациленӗ, вӗсенче 30 000 ытла ҫын ӗҫлет, ҫав шутра 5 пин ытла врач, 13 пин ытла медицина сестрипе арҫын тӑвансем тата кӗҫӗн медицина ӗҫченӗсем 12 пин ытла ҫын.	t͡ɕəˈʋaʂ jenˈre ˈsɯʋləχ sɯχˈlaʋɘn təˈʋat ut͡ɕreʒdenijɘˈbe ˈsɯʋləχ sɯχˈlaʋɘn ministerstʋiˈne pəɣənˈza təraˈɡan ˈutməl ˈsaɡər ut͡ɕreʒdeniˈje reɡistrat͡siˈlenɘ , ʋɘzenˈd͡ʑe ˈʋədər ˈpin ɯtˈla ˈɕɯn ɘɕˈlet , ˈɕaʋ ʂutˈra ˈpilɘk ˈpin ɯtˈla ʋˈrat͡ɕ , ˈʋun ˈʋiɕ ˈpin ɯtˈla medit͡siˈna sestriˈbe arˈʑɯn təʋanˈzem taˈda ˈkɘʑɘn medit͡siˈna ɘɕt͡ɕenɘˈzem ˈʋun ˈik ˈpin ɯtˈla ˈɕɯn .
Каховский В. Ф. О рунической письменности древних чувашей//100 лет новой чувашской письменности.- Чебоксары, 1972. — С. 23 −24.	kaɣoʋsˈkij ˈʋe ˈef ˈo runid͡ʑesˈkoj pisʲmenːosˈti dreʋˈniχ t͡ɕuʋaˈʐej ˈɕɘr ˈlet noˈʋoj t͡ɕuʋaʂsˈkoj pisʲmenːosˈti . t͡ɕeboksaˈrɯ , ˈpin ˈtəɣər ˈɕɘr ˈɕitmɘl ˈikːɘ . s . ˈɕirɘm ˈʋiɕːɘ ˈɕirɘm təˈʋatːə .
Карлинова Л. Поделились воспоминаниями // Чаваш ен. - 1998. - 31 окт.-7 нояб.	karlinoˈʋa ˈelʲ podeliˈlisʲ ʋospominanijaˈmi t͡ɕaˈʋaʂ ˈjen . ˈpin ˈtəɣər ˈɕɘr təɣərˈʋunːə ˈsakːər . ˈʋədər ˈpɘr ˈokt . ˈɕit͡ɕːɘ noˈjab .
Ялгир П. Писала и для детей, и для взрослых // Чаваш ен. -1998. - 5-12 сент.	jalˈɡir ˈpe pizaˈla ˈi dlˈja deˈdej , ˈi dlˈja ʋzrosˈlɯχ t͡ɕaˈʋaʂ ˈjen . miˈnus ˈpin ˈtəɣər ˈɕɘr təɣərˈʋunːə ˈsakːər . ˈpilːɘk , ˈʋun ˈik ˈsent .
Мастерство писателя. Антология журнала «Литературная учёба». 1930—-2005. 2005.	masterstˈʋo pizadelˈja . andoloɡiˈja ʒurnaˈla lideradurnaˈja ut͡ɕjoˈba . ˈpin ˈtəɣər ˈɕɘr ˈʋədər ˈik ˈpin ˈpilːɘk . ˈik ˈpin ˈpilːɘk .
Будущее нации – в школе / В.А. Абрамов [и др.]. – Чебоксары: Изд-во Новое время, 2006. – 5.50 п.л.	buduʑeˈje nat͡siˈi ʋ ʂkoˈle ˈʋe ˈa abraˈmoʋ ˈi dr . t͡ɕeboksaˈrɯ , ˈizd ˈʋo noʋoˈje ʋremˈja , ˈik ˈpin ˈultːə . ˈpilːɘk . ˈalːə p . l .
«Мужчина в черном» и другие // Хыпар. – 2008. – 32-33. – 0.1 п.л.	muʒt͡ɕiˈna ʋ t͡ɕerˈnom ˈi druɡiˈje χɯˈbar . ˈik ˈpin ˈsakːər . ˈʋədər ˈikːɘ , ˈʋədər ˈʋiɕːɘ . ˈnolʲ . pɘˈrːe p . l .
Ялгир, П. Николаева Мария Николаевна // Ялгир, П. Литературный мир Чувашии / П. Ялгир. – Чебоксары, 2005. – 78.	jalˈɡir , p . niɡolajeˈʋa mariˈja niɡolajeʋˈna jalˈɡir , p . lideradurˈnɯj ˈmir t͡ɕuʋaʐiˈi p . jalˈɡir . t͡ɕeboksaˈrɯ , ˈik ˈpin ˈpilːɘk . ˈɕitmɘl ˈsakːər .
Б. Сопельняк. Последний узник Шпандау . Портал Хранитель, 03.-04.2007.	ˈbe sobelʲnˈjak . posledˈnij uzˈnik ʂpandaˈu . porˈdal χraniˈdelʲ , ˈʋiɕːɘ . təˈʋatːə . ˈik ˈpin ˈɕit͡ɕːɘ .
Энциклопедия Комсомольского района = Комсомольски районӗн энциклопедийӗ / [редкол.: Г. Ф. Волков и др. ; авт.-сост. В. Я. Григорьев, Г. Н. Ксенофонтов, А. В. Григорьев]. - Чебоксары : [Новое Время], 2011 - . - 24 см. Кн. 2. - 2011. - 255 с. : ил., портр. - Библиогр.: с. 254. - 1000 экз.. - 150.00 р.	ent͡siklobediˈja komzomolʲskoˈɡo rajoˈna komzomolʲsˈki raˈjonɘn ent͡siklobeˈdijɘ redˈkol , ˈɡe ˈef ʋolˈɡoʋ ˈi dr , ˈaʋt . ˈsost . ˈʋe ˈja ɡriɡorʲˈjeʋ , ˈɡe ˈen ksenofonˈdoʋ , ˈa ˈʋe ɡriɡorʲˈjeʋ . t͡ɕeboksaˈrɯ , noʋoˈje ʋremˈja , ˈik ˈpin ˈʋun pɘˈrːe . ˈɕirɘm təˈʋat sandiˈmetr . kn . ˈikːɘ . ˈik ˈpin ˈʋun pɘˈrːe . ˈik ˈɕɘr ˈalːə ˈpilɘk s , ˈil , ˈportr . bibliˈoɡr , s . ˈik ˈɕɘr ˈalːə təˈʋatːə . ˈpin ˈekz . ˈɕɘr ˈalːə . ˈnolʲ r .
Прокопьев–Милли Алексей Прокопьевич (1894-1942) // В трагические годы : репрессированные чувашские писатели, журналисты и ученые = Синкерлӗ ҫулсенче : репрессие лекнӗ чӑваш писателӗсем, журналисчӗсем тата ӑсчахӗсем. – Чебоксары, 2013. – С. 211-213.	proɡopʲˈjeʋ miˈlːi alekˈsej proɡopʲjeˈʋit͡ɕ ˈpin ˈsaɡər ˈɕɘr təɣərˈʋunːə təˈʋatːə , ˈpin ˈtəɣər ˈɕɘr ˈχɘrɘχ ˈikːɘ ʋ traɡid͡ʑeskiˈje ɡoˈdɯ , represːiroʋanːɯˈje t͡ɕuʋaʂskiˈje pizadeˈli , ʒurnalisˈtɯ ˈi ud͡ʑenɯˈje sinˈɡerlɘ ɕulzenˈd͡ʑe , represːiˈje ˈleknɘ t͡ɕəˈʋaʂ pizadelɘˈzem , ʒurnalist͡ɕɘˈzem taˈda əst͡ɕaɣɘˈzem . t͡ɕeboksaˈrɯ , ˈik ˈpin ˈʋun ˈʋiɕːɘ . s . ˈik ˈɕɘr ˈʋun pɘˈrːe , ˈik ˈɕɘr ˈʋun ˈʋiɕːɘ .
Трофимов, Г. Ф. Чӑвашсен авалхи сӑмахлӑхне тӗпчемелле, вӗренмелле: филологи наукисен кандидачӗпе Геннадий Федорович Трофимовпа калаҫни, Н. Осипов ҫырса илнӗ. Халӑх шкулӗ = Народная школа. 2018, № 3, С. 44-45. — (Ҫавра ҫул).	trofiˈmoʋ , ˈɡe ˈef t͡ɕəʋaʂˈsen aʋalˈɣi səmaχləχˈne tɘpt͡ɕemeˈlːe , ʋɘrenmeˈlːe , filoloˈɡi nauɡiˈzen kandidad͡ʑɘˈbe ɡenːaˈdij fedoroˈʋit͡ɕ trofimoʋˈpa kalaɕˈni , n . oziˈboʋ ɕɯrˈza ˈilnɘ . ˈχaləχ ʂˈkulɘ narodnaˈja ʂkoˈla . ˈik ˈpin ˈʋun ˈsakːər , noˈmer ˈʋiɕːɘ , s . ˈχɘrɘχ təˈʋatːə , ˈχɘrɘχ ˈpilːɘk . ɕaʋˈra ˈɕul .
Юмарт, Г. Ф. Сӑвӑҫ, куҫаруҫӑ, тӗпчевҫӗ / Г. Ф. Юмарт ; О. Георгиев калаҫнӑ // Халӑх шкулӗ = Народная школа. 2013, № 2. С. 15-16 : сӑн ӳкерчӗк.	juˈmart , ˈɡe ˈef ˈsəʋəɕ , kuʑaˈruʑə , tɘpˈt͡ɕeʋɕɘ ˈɡe ˈef juˈmart , ˈo . ɡeorɡiˈjeʋ kaˈlaɕnə ˈχaləχ ʂˈkulɘ narodnaˈja ʂkoˈla . ˈik ˈpin ˈʋun ˈʋiɕːɘ , noˈmer ˈikːɘ . s . ˈʋun ˈpilːɘk , ˈʋun ˈultːə , ˈsən yˈɡert͡ɕɘk .
Лисина, Е. Н. "Эп ял учителӗсене юратакан ҫын" / Е. Н. Лисина ; Р. Кудряшова калаҫнӑ // Халӑх шкулӗ = Нар. шк. – 2009. – № 4. – С. 61-63.	liziˈna , ˈje ˈen ˈep ˈjal ud͡ʑidelɘzeˈne juradaˈɡan ˈɕɯn ˈje ˈen liziˈna , r . kudrjaʐoˈʋa kaˈlaɕnə ˈχaləχ ʂˈkulɘ ˈnar . ʂk . ˈik ˈpin ˈtəχːər . noˈmer təˈʋatːə . s . ˈutməl pɘˈrːe , ˈutməl ˈʋiɕːɘ .
Топ-десятка самых известных поджогов в истории человечества // Игорь Гончаренко, Портал гражданской журналистики. Интернет-издание ХайВей, 26, июнь, 2015 10:37:07	ˈtop desjatˈka saˈmɯχ izʋestˈnɯχ podʒoˈɡoʋ ʋ istoriˈi t͡ɕeloʋed͡ʑestˈʋa iˈɡorʲ ɡond͡ʑarenˈɡo , porˈdal ɡraʒdansˈkoj ʒurnalistiˈɡi . inderˈnet izdaniˈje χajˈʋej , ˈɕirɘm ˈultːə , iˈjunʲ , ˈik ˈpin ˈʋun ˈpilɘk ˈʋunːə ˈʋədər ˈɕit͡ɕːɘ ˈɕit͡ɕːɘ
Гудв Владимир Сергеевич - февралӗн 6-Мӗшӗнче Мускав облаҫӗнчи Большевик поселокӗнче Ҫуралнӑ.	ˈɡudʋ ʋladiˈmir serɡejeˈʋit͡ɕ feʋˈralɘn ˈultːə mɘʐɘnˈd͡ʑe musˈkaʋ oblaʑɘnˈd͡ʑi bolʲʐeˈʋik pozeloɡɘnˈd͡ʑe ɕuˈralnə .
Çу, 17 — Максимов Николай Петрович, театр ӳнерçи.	ˈɕu , ˈʋun ˈɕit͡ɕːɘ maksiˈmoʋ niɡoˈlaj petroˈʋit͡ɕ , teˈatr ynerˈʑi .
1991 — Перс кӳлмекĕнче тăракан нумай нацин вăйĕсем «Пушхирти çил-тăвăл» операцине пуçараççĕ	ˈpin ˈtəɣər ˈɕɘr təɣərˈʋunːə pɘˈrːe ˈpers kylmeɡɘnˈd͡ʑe təraˈɡan nuˈmaj naˈt͡sin ʋəjɘˈzem puʂχirˈdi ˈɕil ˈtəʋəl oberat͡siˈne puʑaˈraɕːɘ
2010-мĕш çулхи çыравпа ялта 475 çын, çав шутра 243 арçын, 232 хĕрарăм пурăннă . 2004 çулта кунта 213 кил пулнă, пурĕ 645 çын пурăннă. Тăван Çĕршывăн Аслă вăрçине 212 çын хутшăннă, вĕсенчен 115 çапăçусенче пуçĕсене хунă.	ˈik ˈpin ˈʋunːəmɘʂ ɕulˈɣi ɕɯraʋˈpa jalˈda təˈʋat ˈɕɘr ˈɕitmɘl ˈpilɘk ˈɕɯn , ˈɕaʋ ʂutˈra ˈik ˈɕɘr ˈχɘrɘχ ˈʋiɕ arˈʑɯn , ˈik ˈɕɘr ˈʋədər ˈik χɘˈrarəm ˈpurənːə . ˈik ˈpin təˈʋat ɕulˈda kunˈda ˈik ˈɕɘr ˈʋun ˈʋiɕ ˈkil ˈpulnə , ˈpurɘ ˈult ˈɕɘr ˈχɘrɘχ ˈpilɘk ˈɕɯn ˈpurənːə . təˈʋan ɕɘrˈʐɯʋən ˈaslə ʋərʑiˈne ˈik ˈɕɘr ˈʋun ˈik ˈɕɯn ˈχutʂənːə , ʋɘzenˈd͡ʑen ˈɕɘr ˈʋun ˈpilɘk ɕabəʑuzenˈd͡ʑe puʑɘzeˈne ˈχunə .
Каланăлăх тени вырăсла сказуемое тенине тÿреммĕн калькăласа чăвашла куçарнинчен пулнă. Апла тунине ниепле те тиркеме май çук.	kaˈlanələχ teˈni ʋɯrəsˈla skazujemoˈje teniˈne t wˈaᶦ ˈremːɘn kalʲkəlaˈza t͡ɕəʋaʂˈla kuʑarninˈd͡ʑen ˈpulnə . apˈla tuniˈne nijepˈle ˈte tirɡeˈme ˈmaj ˈɕuk .
1791 — Сан-Домингори чурасен пăлхавĕпе Гаитири революци пуçланса каять	ˈpin ˈɕit͡ɕ ˈɕɘr təɣərˈʋunːə pɘˈrːe ˈsan dominɡoˈri t͡ɕuraˈzen pəlɣaʋɘˈbe ɡaidiˈri reʋoljuˈt͡si puɕlanˈza kaˈjatʲ
Васильев, Г. Шӳтлет те, йĕплет те / Г. Васильев // Пионер сасси. – 1970. – 11 апр.	ʋazilʲˈjeʋ , ɡ . ʂytˈlet ˈte , jɘpˈlet ˈte ɡ . ʋazilʲˈjeʋ pioˈner saˈsːi . ˈpin ˈtəɣər ˈɕɘr ˈɕitmɘl . ˈʋun ˈpɘr ˈapr .
Юхма Мишши. Дмитрий Архипов, природный чуваш. — Çăлкуç: Источник: Советская Чувашия 12.02.2014 11:10	juχˈma miˈʂːi . dmitˈrij arɣiˈboʋ , prirodˈnɯj t͡ɕuˈʋaʂ . ɕəlˈɡuɕ , istot͡ɕˈnik , soʋetskaˈja t͡ɕuʋaʐiˈja ˈʋun ˈikːɘ . ˈikːɘ . ˈik ˈpin ˈʋun təˈʋatːə ˈʋun pɘˈrːe ˈʋunːə
1990 — нумай çул тĕрмере ларса ирĕке апартеидпа кĕрешекен Нельсон Мандела тухать	ˈpin ˈtəɣər ˈɕɘr təɣərˈʋunːə nuˈmaj ˈɕul tɘrmeˈre larˈza irɘˈɡe abardeidˈpa kɘreʐeˈɡen nelʲˈzon mandeˈla tuˈɣatʲ
1703 — Даниэль Дефона сатира памфлетне хайланăшăн намăс юпи патне лартнă, анчах ырă сунакан лондонсем ăна чечексемпе чысланă.	ˈpin ˈɕit͡ɕ ˈɕɘr ˈʋiɕːɘ daniˈelʲ defoˈna sadiˈra pamfletˈne χajˈlanəʐən ˈnaməs juˈbi patˈne ˈlartnə , anˈd͡ʑaχ ˈɯrə sunaˈɡan londonˈzem əˈna t͡ɕed͡ʑeksemˈbe t͡ɕɯsˈlanə .
Викторов Юрий Васильевич, график, ӳнер пĕлӳçи.	ʋiktoˈroʋ juˈrij ʋazilʲjeˈʋit͡ɕ , ɡraˈfik , yˈner pɘlyˈʑi .
Çĕньял (Çĕрпӳ районĕ, Апакасси) — Чăваш Енĕн Çĕрпӳ районĕнчи Апакасси ял тăрăхне кĕрекен ял.	ɕɘnʲˈjal ɕɘrˈby raˈjonɘ , abaɡaˈsːi t͡ɕəˈʋaʂ ˈjenɘn ɕɘrˈby rajonɘnˈd͡ʑi abaɡaˈsːi ˈjal tərəχˈne kɘreˈɡen ˈjal .
Очерксем, калавсем çырать. Пичетленсе тухнă кĕнекисем:	od͡ʑerkˈsem , kalaʋˈsem ɕɯˈratʲ . pid͡ʑetlenˈze ˈtuχnə kɘneɡiˈzem ,
Монако Европăн кăнтăр енче, Вăтаçĕр тинĕсĕ хĕрринче, Францин Лазурь çыранĕнче, Ниццăран çурçĕр-тухăç енче, 20 çухрăмра вырнаçнă. Типçĕрпе кнеçлĕх Франципе Тинĕсçум Альпă (Alpes-Maritimes) департамент патĕнче чикĕленет,	monaˈɡo jeʋˈrobən ˈkəndər jenˈd͡ʑe , ʋəˈdaʑɘr ˈtinɘzɘ χɘrːinˈd͡ʑe , franˈt͡sin laˈzurʲ ɕɯranɘnˈd͡ʑe , nit͡sːəˈran ˈɕurɕɘr ˈtuɣəɕ jenˈd͡ʑe , ˈɕirɘm ɕuχrəmˈra ʋɯrˈnaɕnə . tipɕɘrˈbe kˈneɕlɘχ frant͡siˈbe tinɘsˈɕum ˈalʲpə ˈæɫpɛs mˈɛɹət̬ˌaᶦmz debardaˈment padɘnˈd͡ʑe t͡ɕiɡɘleˈnet ,
Никита Ларионович калавсене, повеçсене, романсене хаçатсемпе журналсенче пичетленĕ.	niɡiˈda larionoˈʋit͡ɕ kalaʋseˈne , poʋeɕseˈne , romanzeˈne χaʑatsemˈbe ʒurnalzenˈd͡ʑe pid͡ʑetˈlenɘ .
Элĕкри литературăпа тăван ен тĕпчев халăх музейĕ — Чăваш Енĕн Элĕк районĕнчи Элĕк чӳркӳ ялĕнчи музей.	elɘkˈri lideradurəˈba təˈʋan ˈjen tɘpˈt͡ɕeʋ ˈχaləχ muˈzejɘ t͡ɕəˈʋaʂ ˈjenɘn ˈelɘk rajonɘnˈd͡ʑi ˈelɘk t͡ɕyrˈɡy jalɘnˈd͡ʑi muˈzej .
Benim iman dolu göğsüm gibi serhaddim var.	bˈɛnɪm ˈaᶦmən dəlˈuː ɡɔːɡzˈuːm ɡˈɪbə sˈɝhəd̬ˌɪm vˈɑːɹ .
Османова Елена Кирилловна, Хĕрлĕ Чутай районĕ	osmanoˈʋa jeleˈna kirilːoʋˈna , ˈχɘrlɘ t͡ɕuˈdaj raˈjonɘ
«Аликовская энциклопедия», редколлегия: Ефимов Л. А., Ефимов Е. Л., Ананьев А. А., Терентьев Г. К., Шупашкар, 2009, ISBN 978-5-7670-1630-3.	aliɡoʋskaˈja ent͡siklobediˈja , redkolːeɡiˈja , jefiˈmoʋ ˈelʲ ˈa , jefiˈmoʋ ˈje ˈelʲ , ananʲˈjeʋ ˈa ˈa , terentʲˈjeʋ ˈɡe ˈka , ʂubaʂˈkar , ˈik ˈpin ˈtəχːər , ˌaᶦˌɛsbiːʲˈɛn ˈtəɣər ˈɕɘr ˈɕitmɘl ˈsakːər , ˈpilːɘk , ˈɕit͡ɕ ˈpin ˈult ˈɕɘr ˈɕitmɘl , ˈpin ˈult ˈɕɘr ˈʋədər , ˈʋiɕːɘ .
1236 çулта тутар-монголсем Керменчука тытса илсе çунтарса янă. 1239 çулта вырăссем Керменчука çунтарнă. Çапах та хула пĕтмен-ха. Вăл каллех чĕрĕлсе тăнă. Анчах та нумайлăха мар. XIV ĕмĕр вĕçĕнче вырăс ушкуйникĕсем çунтарса янă. Ун хыççăн вара çĕнĕрен аталанса кайман.	ˈpin ˈik ˈɕɘr ˈʋədər ˈult ɕulˈda tuˈdar monɡolˈzem kermend͡ʑuˈɡa tɯtˈsa ilˈze ɕundarˈza ˈjanə . ˈpin ˈik ˈɕɘr ˈʋədər ˈtəɣər ɕulˈda ʋɯrəˈsːem kermend͡ʑuˈɡa ɕunˈdarnə . ɕaˈbaχ ˈta χuˈla pɘtˈmen ˈχa . ˈʋəl kaˈlːeχ t͡ɕɘrɘlˈze ˈtənə . anˈd͡ʑaχ ˈta numajləˈɣa ˈmar . ˈʋun təˈʋatːəmɘʂ ˈɘmɘr ʋɘʑɘnˈd͡ʑe ˈʋɯrəs uʂkujniɡɘˈzem ɕundarˈza ˈjanə . ˈun ˈχɯɕːən ʋaˈra ɕɘnɘˈren adalanˈza kajˈman .
Юлашкинчен çав юрра-сăвва çырса илекенĕ çапла кăтартать: "Ман шухăшпа, çав Якку пичче сăмахĕ - тĕрĕс сăмах: юмăç вăл айван тĕттĕм çынна тилмĕртет анчах".	julaʂkinˈd͡ʑen ˈɕaʋ juˈrːa səˈʋːa ɕɯrˈza ileˈɡenɘ ɕapˈla kədarˈdatʲ , ˈman ʂuɣəʂˈpa , ˈɕaʋ jaˈkːu piˈt͡ɕːe səˈmaɣɘ ˈtɘrɘs səˈmaχ , ˈjuməɕ ˈʋəl ajˈʋan ˈtɘtːɘm ɕɯˈnːa tilmɘrˈdet anˈd͡ʑaχ .
1991 çулхи çĕртме, 25 Хорвати Республикин Саборĕ Хорвати никамапăхăнманлăхне Загреба шĕкĕр хули вырăнне йышăннă.	ˈpin ˈtəɣər ˈɕɘr təɣərˈʋunːə ˈpɘr ɕulˈɣi ɕɘrtˈme , ˈɕirɘm ˈpilɘk χorʋaˈdi respubliˈɡin saˈborɘ χorʋaˈdi niɡamabəɣənmanləχˈne zaɡreˈba ˈʂɘɡɘr χuˈli ʋɯrəˈnːe ˈjɯʐənːə .
Литература тĕпчевĕн тата халăх пултарулăхĕн уйрăмĕ	lideraduˈra tɘpˈt͡ɕeʋɘn taˈda ˈχaləχ puldaˈruləɣɘn ˈujrəmɘ
муна ушкăнĕ: бусоа, лиабуку, муна, лавеле, киоко, каимбулава	muˈna ˈuʂkənɘ , buzoˈa , liabuˈɡu , muˈna , laʋeˈle , kioˈɡo , kaimbulaˈʋa
Канаш педагогика техникумĕнче вĕреннĕ. Чăваш педагогика институтĕнче пĕлĕвне ӳстернĕ. Ачасене шкулта вĕрентнĕ, Чăваш АССРĕн çутĕç министерствинче ĕçленĕ. Çавăн пекех ССКП облкомĕн шкул пайĕнче, Чăвашпатизĕн вĕренӳ кĕнекисен пайĕнче ĕçленĕ.	kaˈnaʂ pedaɡoɡiˈɡa teχniɡumɘnˈd͡ʑe ʋɘˈrenːɘ . t͡ɕəˈʋaʂ pedaɡoɡiˈɡa instidudɘnˈd͡ʑe pɘlɘʋˈne ysˈternɘ . ad͡ʑazeˈne ʂkulˈda ʋɘˈrentnɘ , t͡ɕəˈʋaʂ ˈasːrɘn ˈɕudɘɕ ministerstʋinˈd͡ʑe ɘɕˈlenɘ . ˈɕaʋən peˈɡeχ ˈes ˈes ˈka ˈpe oblˈɡomɘn ʂˈkul pajɘnˈd͡ʑe , t͡ɕəʋaʂpaˈdizɘn ʋɘreˈny kɘneɡiˈzen pajɘnˈd͡ʑe ɘɕˈlenɘ .
аслă мичман Ерасов Игорь Владимирович, шифровальщик	ˈaslə mit͡ɕˈman jeraˈzoʋ iˈɡorʲ ʋladimiroˈʋit͡ɕ , ʂifroʋalʲˈʑik
Франксемпе турккăсем хушшинчи вăрçă (1920-1921)	franksemˈbe turkːəˈzem χuʂːinˈd͡ʑi ˈʋərɕə ˈpin ˈtəɣər ˈɕɘr ˈɕirɘm , ˈpin ˈtəɣər ˈɕɘr ˈɕirɘm pɘˈrːe
