Ikiyaga Tanganyika · Uruzi Ruvubu · Ikiyaga Rwihinda	ikijaɡa taŋaɲika uɾuzi ɾuvubu ikijaɡa ɾwihinda
Agatasi rero ni igihe nyamukuru mu gihugu cacu c'uburundi, aho imiryango irima ibitegwa mbumbarugo. Ico gihe gitangura mu kwezi kw'icenda	aɡatasi ɾeɾo ni iɡihe ɲamukuɾu mu ɡihuɡu t͡ʃat͡ʃu t͡ʃ ubuɾundi , aho imiɾʲaŋo iɾima ibiteɡwa mbumbaɾuɡo . it͡ʃo ɡihe ɡitaŋuɾa mu kwezi kw it͡ʃenda
Rufasha ibiti, amafi n’ibindi binyabuzima kubaho, bigatuma ibidukikije bigumana ubuzima bwiza.	ɾufaʃa ibiti , amafi n ibindi biɲabuzima kubaho , biɡatuma ibidukikid͡ʒe biɡumana ubuzima bwiza .
Uruzuba rwinshi rutuma ibifungurwa bitera neza hagaca haduka inzara, abantu bagapfa, amashamba agahona be n'ibikoko biyabamwo;	uɾuzuba ɾwinʃi ɾutuma ibifuŋuɾwa biteɾa neza haɡat͡ʃa haduka inzaɾa , abantu baɡapfa , amaʃamba aɡahona be n ibikoko bijabamwo ,
Intara ya Kirundo ni intara imwe mu ntara cumi n'umunani zigize igihugu c'uburundi, ikaba iri m'uburaruko bw'igihugu c'uburundi, m'ubumanuko bw'igihugu c'urwanda. Intara ya Kirundo igizwe n'amakomine indwi: Kirundo, Vumbi, Bugabira, Gitobe, Ntega, Bwambarangwe na Busoni.	intaɾa ja kiɾundo ni intaɾa imwe mu ntaɾa t͡ʃumi n umunani ziɡize iɡihuɡu t͡ʃ ubuɾundi , ikaba iɾi m ubuɾaɾuko bw iɡihuɡu t͡ʃ ubuɾundi , m ubumanuko bw iɡihuɡu t͡ʃ uɾwanda . intaɾa ja kiɾundo iɡizwe n amakomine indwi , kiɾundo , vumbi , buɡabiɾa , ɡitobe , nteɡa , bwambaɾaŋwe na busoni .
Mumateka yiwe yamenyekanye nk umukinyi yinjiza ibitsindo vyinshi , amenyekana kandi nk umusatirizi rurangiranwa wo mu gihe ciwe. Chevchenko ni umukinyi agira gatanu kw isi mubakinyi bashoboye kwinjiza ibitsindo vyinshi mumarushanwa y i Burayi kubitsindo 67 akongera akaba n uw indwimubakinyi binjije ibitsindo vyinshi muri League des champions kubitsindo 59 munkino143 z i Buraya mumarushanwa yose.	mumateka jiwe jameɲekaɲe nk umukiɲi jind͡ʒiza ibitsindo vʲinʃi , ameɲekana kandi nk umusatiɾizi ɾuɾaŋiɾanwa wo mu ɡihe t͡ʃiwe . t͡ʃhevt͡ʃhenko ni umukiɲi aɡiɾa ɡatanu kw isi mubakiɲi baʃoboje kwind͡ʒiza ibitsindo vʲinʃi mumaɾuʃanwa j i buɾaji kubitsindo miɾoŋo itandatu na indwi akoŋeɾa akaba n uw indwimubakiɲi bind͡ʒid͡ʒe ibitsindo vʲinʃi muɾi leaɡue des t͡ʃhampions kubitsindo miɾoŋo itanu na it͡ʃenda munkino id͡ʒana na miɾoŋo ine na ɡatatu z i buɾaja mumaɾuʃanwa jose .
Ikindi, nk'uko abo bakenyezi twayaze babivuze, ngo bahejeje kwibaruka, ntibasubira kwibuka ayo majambo yose kubera umunezero wo gukikira ikibondo Cabo baba baronse.	ikindi , nk uko abo bakeɲezi twajaze babivuze , ŋo bahed͡ʒed͡ʒe kwibaɾuka , ntibasubiɾa kwibuka ajo mad͡ʒambo jose kubeɾa umunezeɾo wo ɡukikiɾa ikibondo t͡ʃabo baba baɾonse .
Kanyosha ikaba yahoze ari imwe mu ma Komine agize Intara ya Bujumbura Mairie ariko mu nyuma vyagiye guhinduka mugihe habayeho uguhindura amakomine mu Ntaraya Bujumbura Mairie ikaba yaciye igira Ikomine zitatu zikaba ari Muha,Ntahangwa na Mukaza. Hamaze kubaho iryo hinduka rya Makomine Kanyosha ikaba yaciye ihinduka ikaba Umutumba(zone) wo muri Komine Muha.	kaɲoʃa ikaba jahoze aɾi imwe mu ma komine aɡize intaɾa ja bud͡ʒumbuɾa maiɾie aɾiko mu ɲuma vʲaɡije ɡuhinduka muɡihe habajeho uɡuhinduɾa amakomine mu ntaɾaja bud͡ʒumbuɾa maiɾie ikaba jat͡ʃije iɡiɾa ikomine zitatu zikaba aɾi muha , ntahaŋwa na mukaza . hamaze kubaho iɾʲo hinduka ɾʲa makomine kaɲoʃa ikaba jat͡ʃije ihinduka ikaba umutumba zone wo muɾi komine muha .
Niyo mpamvu ukwo ubumara buba bwinshi niko hashika igihe igitigu cononekara hagaca habaho indwara y'igitigu.	nijo mpamvu ukwo ubumaɾa buba bwinʃi niko haʃika iɡihe iɡitiɡu t͡ʃononekaɾa haɡat͡ʃa habaho indwaɾa j iɡitiɡu .
N'ayo akazina "Dudu" bakamwise ari muto kubera ibintu vyose yavyita "Dudu" baca barakamutazira gushika na bugingo n'ubu. Yatanguye kuririmba afise imyaka icumi n'itanu (15). Yahereye kuri "Centre Jeune Kamenge", yari mu runganwe rumwe na ba Kaka Boney".	n ajo akazina dudu bakamwise aɾi muto kubeɾa ibintu vʲose javʲita dudu bat͡ʃa baɾakamutaziɾa ɡuʃika na buɡiŋo n ubu . jataŋuje kuɾiɾimba afise imʲaka it͡ʃumi n itanu it͡ʃumi na ɡatanu . jaheɾeje kuɾi t͡ʃentɾe d͡ʒeune kameŋe , jaɾi mu ɾuŋanwe ɾumwe na ba kaka bonej .
Kenya ni igihugu kimwe mubihugu biri kumugabane wa Afrika kikaba no Muri Afrika y'ubuseruko, ndetse kikaba kiri no mubihugu bigize umuryango wa Afrika y'ubuseruko.	keɲa ni iɡihuɡu kimwe mubihuɡu biɾi kumuɡabane wa afɾika kikaba no muɾi afɾika j ubuseɾuko , ndetse kikaba kiɾi no mubihuɡu biɡize umuɾʲaŋo wa afɾika j ubuseɾuko .
Ni Ijambo ry'ikirundi rikoreshwa mu Burundi irisigura igihimba c'umubiri w'umukobwa kiri musi y'ibitugu.	ni id͡ʒambo ɾʲ ikiɾundi ɾikoɾeʃwa mu buɾundi iɾisiɡuɾa iɡihimba t͡ʃ umubiɾi w umukobwa kiɾi musi j ibituɡu .
Igikoresho bakoresha mu kurima (ibiharage,ibigori,ibiraya ,iibitoke)	iɡikoɾeʃo bakoɾeʃa mu kuɾima ibihaɾaɡe , ibiɡoɾi , ibiɾaja , iːbitoke
Ibikorwa vy’igihanga ni ugukingira ubwonko, gutanga umwanya ku maso no ku matwi kugira ngo umuntu abone neza kandi amenye aho amajwi ava. Ku bikoko bifise amahembe, igihanga gikingira mu gutanga ahashingira amahembe.	ibikoɾwa vʲ iɡihaŋa ni uɡukiŋiɾa ubwonko , ɡutaŋa umwaɲa ku maso no ku matwi kuɡiɾa ŋo umuntu abone neza kandi ameɲe aho amad͡ʒwi ava . ku bikoko bifise amahembe , iɡihaŋa ɡikiŋiɾa mu ɡutaŋa ahaʃiŋiɾa amahembe .
Mu mpera z'imyaka ya 90, amaze gusohora umuziki wiwe wa mbere mu mugwi Nigga soul, Mugani Désiré yaciye afata ingingo yo gutangura umuziki wiwe wenyene. Yavumbuwe na Kidum Kibido, umuhinga mu vy’ubuhinga bw’amasanamu w’Umurundi aba muri Kenya, amuha amasezerano yo gukora iyo filime.	mu mpeɾa z imʲaka ja miɾoŋo it͡ʃenda , amaze ɡusohoɾa umuziki wiwe wa mbeɾe mu muɡwi niɡɡa soul , muɡani desiɾe jat͡ʃije afata iŋiŋo jo ɡutaŋuɾa umuziki wiwe weɲene . javumbuwe na kidum kibido , umuhiŋa mu vʲ ubuhiŋa bw amasanamu w umuɾundi aba muɾi keɲa , amuha amasezeɾano jo ɡukoɾa ijo filime .
uruzi mugere ruherereye mubumanuko bwigisagara ca Bujumbura. ariko rukaba rukomoka muri komine ya mukike musi yumusozi wa heha biherereye muntara ya Bujumbura bankunze kwita (bujumbura rural)	uɾuzi muɡeɾe ɾuheɾeɾeje mubumanuko bwiɡisaɡaɾa t͡ʃa bud͡ʒumbuɾa . aɾiko ɾukaba ɾukomoka muɾi komine ja mukike musi jumusozi wa heha biheɾeɾeje muntaɾa ja bud͡ʒumbuɾa bankunze kwita bud͡ʒumbuɾa ɾuɾal
Yasohoye indirimbo nyinshi zirimwo umudiho wa RnB.	jasohoje indiɾimbo ɲinʃi ziɾimwo umudiho wa ɾnb .
Dushimirimana Bénie ni umukenguzamateka akomoka mu gihugu c'Uburundi akava mu ntara ya Kayanza avuka mu 1980.	duʃimiɾimana benie ni umukeŋuzamateka akomoka mu ɡihuɡu t͡ʃ ubuɾundi akava mu ntaɾa ja kajanza avuka mu iɡihumbi na amad͡ʒana t͡ʃenda na miɾoŋo inani .
Inyuma y'amatora yo 2018 y'ibwirizwa nshingiro haragiyeho intara nshasha hisunzwe indinganizo nshasha ifatiye kuberere no kwiterambere ryabwo icogihe inama shingamateka yaratoye yongera iremeza ko intara 5 arizo zigiye kurangwa mugihugu cose	iɲuma j amatoɾa jo ibihumbi bibiɾi na it͡ʃumi na umunani j ibwiɾizwa nʃiŋiɾo haɾaɡijeho intaɾa nʃaʃa hisunzwe indiŋanizo nʃaʃa ifatije kubeɾeɾe no kwiteɾambeɾe ɾʲabwo it͡ʃoɡihe inama ʃiŋamateka jaɾatoje joŋeɾa iɾemeza ko intaɾa ɡatanu aɾizo ziɡije kuɾaŋwa muɡihuɡu t͡ʃose
umunyafrika atari Umunya-Uganda agiye kuruwo mwanya kuva mushigwa ry’iyo misiyo mu 2007.	umuɲafɾika ataɾi umuɲa uɡanda aɡije kuɾuwo mwaɲa kuva muʃiɡwa ɾʲ ijo misijo mu ibihumbi bibiɾi na indwi .
- Amazi menshi: Umuceri umera neza mu mazi (akenshi utera mu buryo bwitwa "paddy fields").	amazi menʃi , umut͡ʃeɾi umeɾa neza mu mazi akenʃi uteɾa mu buɾʲo bwitwa paddʲ fields .
NKAKARORERO, waruzi ko ushobora kumara umusi wose utibrosheje ariko mukanwa ukaguma uhema akamoto keza?	nkakaɾoɾeɾo , waɾuzi ko uʃoboɾa kumaɾa umusi wose utibɾoʃed͡ʒe aɾiko mukanwa ukaɡuma uhema akamoto keza ?
- Bishobora kongerwamo amabuye kugira ngo habe *beton* yo gusakara cangwa gukora fondasiyo.	biʃoboɾa koŋeɾwamo amabuje kuɡiɾa ŋo habe beton jo ɡusakaɾa t͡ʃaŋwa ɡukoɾa fondasijo .
Mumvugo zicisha make ( imvugo mbabariramatwi): Hari amazina y’uruhindu nka "igituba c’umugabo" canke bakavuga "igihimba c'irondoka c'umugabo"	mumvuɡo zit͡ʃiʃa make imvuɡo mbabaɾiɾamatwi , haɾi amazina j uɾuhindu nka iɡituba t͡ʃ umuɡabo t͡ʃanke bakavuɡa iɡihimba t͡ʃ iɾondoka t͡ʃ umuɡabo
Inkuru ya Livingstone na Stanley mu Burundi ni inkuru y'ubutwari yaranzwe n'ubushakashatsi irimwo uruja n'uruza rw'amateka. Ni imwe muzamenyekanye cane mu mateka y'ubushakashatsi bwa Afurika ,ikagira uruhara mu nzira z'ivugabutumwa, ubucuruzi,n'ukwigarurira ibihugu( colonisation).	inkuɾu ja liviŋstone na stanlej mu buɾundi ni inkuɾu j ubutwaɾi jaɾanzwe n ubuʃakaʃatsi iɾimwo uɾud͡ʒa n uɾuza ɾw amateka . ni imwe muzameɲekaɲe t͡ʃane mu mateka j ubuʃakaʃatsi bwa afuɾika , ikaɡiɾa uɾuhaɾa mu nziɾa z ivuɡabutumwa , ubut͡ʃuɾuzi , n ukwiɡaɾuɾiɾa ibihuɡu t͡ʃolonisation .
Ku ruhande rw’Uburundi, Ikiyaga Tanganyika gikora ku ntara za Bujumbura Mairie, Bujumbura Rural na Rumonge, aho kibera isoko ikomeye y’ubuzima ku banyagihugu.	ku ɾuhande ɾw ubuɾundi , ikijaɡa taŋaɲika ɡikoɾa ku ntaɾa za bud͡ʒumbuɾa maiɾie , bud͡ʒumbuɾa ɾuɾal na ɾumoŋe , aho kibeɾa isoko ikomeje j ubuzima ku baɲaɡihuɡu .
Mu nyuma, amazi yarwo yisuka mu rundi ruzi runini bita Mucece, aho amazi yarwo akomeza urugendo rwerekeza mu yindi migezi minini y’igihugu.	mu ɲuma , amazi jaɾwo jisuka mu ɾundi ɾuzi ɾunini bita mut͡ʃet͡ʃe , aho amazi jaɾwo akomeza uɾuɡendo ɾweɾekeza mu jindi miɡezi minini j iɡihuɡu .
Gukingira amazi si itegeko ry’amahinguriro gusa, ahubwo ni iya bose: leta, abikorera, n’abanyagihugu. Muri kazoza hasukuye haterwa n’ingingo dufata uyu musi.	ɡukiŋiɾa amazi si iteɡeko ɾʲ amahiŋuɾiɾo ɡusa , ahubwo ni ija bose , leta , abikoɾeɾa , n abaɲaɡihuɡu . muɾi kazoza hasukuje hateɾwa n iŋiŋo dufata uju musi .
Mu gihe c’ubu, hari n’imashini zo kumesura (washing machines) zifasha abantu gukora iki gikorwa mu buryo bworoshe kandi bwihuta.	mu ɡihe t͡ʃ ubu , haɾi n imaʃini zo kumesuɾa waʃiŋ mat͡ʃhines zifaʃa abantu ɡukoɾa iki ɡikoɾwa mu buɾʲo bwoɾoʃe kandi bwihuta .
Uruzi ruva mu rusobe rw’iyindi migezi mito mito n’amazi n’ibishanga, rugahurira hamwe n’ayandi mazi y’akarere ka Niger Delta.	uɾuzi ɾuva mu ɾusobe ɾw ijindi miɡezi mito mito n amazi n ibiʃaŋa , ɾuɡahuɾiɾa hamwe n ajandi mazi j akaɾeɾe ka niɡeɾ delta .
Amazi ya Ruvubu afasha mu bikorwa vy'uburimyi, cane cane mu bibaya biri hafi y'uru ruzi. Abanyagihugu bakoresha ayo mazi mu kuvomera imirima no mu bindi bikorwa vy'ubuhinzi.	amazi ja ɾuvubu afaʃa mu bikoɾwa vʲ ubuɾimʲi , t͡ʃane t͡ʃane mu bibaja biɾi hafi j uɾu ɾuzi . abaɲaɡihuɡu bakoɾeʃa ajo mazi mu kuvomeɾa imiɾima no mu bindi bikoɾwa vʲ ubuhinzi .
Uruzi rwa Nil rufise imiterere igoye kuko ruturuka mu turere dufise ikirere gitandukanye. Hari ibice bifise imvura nyinshi (nk’u Rwanda, Burundi, Ethiopia), n’ibice bifise ubutayu (nk’Misiri).	uɾuzi ɾwa nil ɾufise imiteɾeɾe iɡoje kuko ɾutuɾuka mu tuɾeɾe dufise ikiɾeɾe ɡitandukaɲe . haɾi ibit͡ʃe bifise imvuɾa ɲinʃi nk u ɾwanda , buɾundi , ethiopia , n ibit͡ʃe bifise ubutaju nk misiɾi .
Izina « Ruvubu » rikomoka ku ijambo ry'Ikirundi « imvubu », kubera ko uru ruzi rwahora rubamwo imvubu nyinshi .	izina ɾuvubu ɾikomoka ku id͡ʒambo ɾʲ ikiɾundi imvubu , kubeɾa ko uɾu ɾuzi ɾwahoɾa ɾubamwo imvubu ɲinʃi .
Uruzi rwa Mucece rufise akamaro kanini mw'iterambere ry'abanyagihugu bo muri Komine Kiganda. Amazi yarwo akoreshwa mu kuvomera imirima, cane cane iy'imboga, ibigori, ibiharage, imyumbati n'ibindi vyimburwa birimwa kuri uryo ruzi.	uɾuzi ɾwa mut͡ʃet͡ʃe ɾufise akamaɾo kanini mw iteɾambeɾe ɾʲ abaɲaɡihuɡu bo muɾi komine kiɡanda . amazi jaɾwo akoɾeʃwa mu kuvomeɾa imiɾima , t͡ʃane t͡ʃane ij imboɡa , ibiɡoɾi , ibihaɾaɡe , imʲumbati n ibindi vʲimbuɾwa biɾimwa kuɾi uɾʲo ɾuzi .
Uruzi rwa Muha (mu gifaransa: rivière Muha) ni uruzi rwo mu gihugu c'Uburundi, ruca mu bumanuko bw'igisagara ca Bujumbura. Rufise ibibazo vyinshi vy'imyuzure n'isuri, bikongerezwa no gucukurwa kw'umusenyi n'amabuye mu ruzi kugira bikoreshwe mu kwubaka.	uɾuzi ɾwa muha mu ɡifaɾansa , ɾivieɾe muha ni uɾuzi ɾwo mu ɡihuɡu t͡ʃ ubuɾundi , ɾut͡ʃa mu bumanuko bw iɡisaɡaɾa t͡ʃa bud͡ʒumbuɾa . ɾufise ibibazo vʲinʃi vʲ imʲuzuɾe n isuɾi , bikoŋeɾezwa no ɡut͡ʃukuɾwa kw umuseɲi n amabuje mu ɾuzi kuɡiɾa bikoɾeʃwe mu kwubaka .
Muri ico gihe, amazi meza yari make cane mu mitumba myinshi. Ivyo vyatumye amasoko kavukire nk'iri vomo aba itunga ridasanzwe ku banyagihugu. Hari imiryango yavoma amazi menshi ku munsi kugira ishobore kurangura ibikorwa vyayo vya misi vyose.	muɾi it͡ʃo ɡihe , amazi meza jaɾi make t͡ʃane mu mitumba mʲinʃi . ivʲo vʲatumʲe amasoko kavukiɾe nk iɾi vomo aba ituŋa ɾidasanzwe ku baɲaɡihuɡu . haɾi imiɾʲaŋo javoma amazi menʃi ku munsi kuɡiɾa iʃoboɾe kuɾaŋuɾa ibikoɾwa vʲajo vʲa misi vʲose .
Mu gihe c’imvura, ibikoko vyinshi birahurira ku nkengera z’uruzi kugira ngo bibone amazi n’ibifungurwa. Ivyo bituma Buffels riba ahantu h’ingenzi mu guhuza ibinyabuzima.	mu ɡihe t͡ʃ imvuɾa , ibikoko vʲinʃi biɾahuɾiɾa ku nkeŋeɾa z uɾuzi kuɡiɾa ŋo bibone amazi n ibifuŋuɾwa . ivʲo bituma buffels ɾiba ahantu h iŋenzi mu ɡuhuza ibiɲabuzima .
Aka karere karangwa kandi n’ubushuhe bwinshi ku murango hamwe n’ubukonje bwiyongera mw’ijoro, ikintu gisanzwe kiboneka mu turere tw’ubutayu.	aka kaɾeɾe kaɾaŋwa kandi n ubuʃuhe bwinʃi ku muɾaŋo hamwe n ubukond͡ʒe bwijoŋeɾa mw id͡ʒoɾo , ikintu ɡisanzwe kiboneka mu tuɾeɾe tw ubutaju .
Uruzi rwa Rusizi ni uruzi rudasanzwe mu karere k’ibiyaga binini. Naho rutari rurerure cane, rufise akamaro kanini mu:	uɾuzi ɾwa ɾusizi ni uɾuzi ɾudasanzwe mu kaɾeɾe k ibijaɡa binini . naho ɾutaɾi ɾuɾeɾuɾe t͡ʃane , ɾufise akamaɾo kanini mu ,
Uruzi rwa Ruvyironza ni uruzi ruto ruri mu gihugu c’Uburundi ariko rufise agaciro kanini cane ku rwego mpuzamakungu. Ruzwi cane mu bushakashatsi bwa géographie n’amateka y’inzuzi zo muri Afrika kubera ko rufatwa nk’imwe mu masoko ya kure cane (remote source) y’uruzi runini rwa Nile, uruzi rurerure kw’isi.	uɾuzi ɾwa ɾuvʲiɾonza ni uɾuzi ɾuto ɾuɾi mu ɡihuɡu t͡ʃ ubuɾundi aɾiko ɾufise aɡat͡ʃiɾo kanini t͡ʃane ku ɾweɡo mpuzamakuŋu . ɾuzwi t͡ʃane mu buʃakaʃatsi bwa ɡeoɡɾaphie n amateka j inzuzi zo muɾi afɾika kubeɾa ko ɾufatwa nk imwe mu masoko ja kuɾe t͡ʃane ɾemote souɾt͡ʃe j uɾuzi ɾunini ɾwa nile , uɾuzi ɾuɾeɾuɾe kw isi .
Uruzi rwa Murembwe ni umutungo kamere ukomeye cane mu Burundi. Rufise uruhara runini mu buzima bw’abantu, mu bukungu, no mu bidukikije. Naho rufise ibibazo nk’isuri, imyuzure, n’umwanda, rushobora gukomeza kuba isoko y’iterambere igihe rwitabweho neza.	uɾuzi ɾwa muɾembwe ni umutuŋo kameɾe ukomeje t͡ʃane mu buɾundi . ɾufise uɾuhaɾa ɾunini mu buzima bw abantu , mu bukuŋu , no mu bidukikid͡ʒe . naho ɾufise ibibazo nk isuɾi , imʲuzuɾe , n umwanda , ɾuʃoboɾa ɡukomeza kuba isoko j iteɾambeɾe iɡihe ɾwitabweho neza .
Bamwe bavuga ko riva ku mvugo y’Ikirundi n’Ikinyarwanda isobanura “umugezi muto ariko uhoraho”.	bamwe bavuɡa ko ɾiva ku mvuɡo j ikiɾundi n ikiɲaɾwanda isobanuɾa umuɡezi muto aɾiko uhoɾaho .
Uruzi rwa Muhwazi rufatwa nk’igice c’urusobe rw’amazi (hydrographie) rwo mu Burundi, rukagira uruhara mu:	uɾuzi ɾwa muhwazi ɾufatwa nk iɡit͡ʃe t͡ʃ uɾusobe ɾw amazi hʲdɾoɡɾaphie ɾwo mu buɾundi , ɾukaɡiɾa uɾuhaɾa mu ,
Uruzi rwa Ndurumu rutangurira mu turere two mu misozi n’ahantu harimwo imvura nyinshi ku mwaka wose. Amasoko yarwo aturuka ku:	uɾuzi ɾwa nduɾumu ɾutaŋuɾiɾa mu tuɾeɾe two mu misozi n ahantu haɾimwo imvuɾa ɲinʃi ku mwaka wose . amasoko jaɾwo atuɾuka ku ,
Uruzi rwa Kabuyenge ni rumwe mu migezi mito ivugwa mu bice bitandukanye vy’igihugu ca Burundi. Naho ata makuru menshi yanditse ku rwego mpuzamakungu aboneka ku buryo burambuye, izina “Kabuyenge” rikunze gukoreshwa mu mvugo y’abanyagihugu mu kwerekana imigezi mito, amasoko y’amazi, canke imigende y’amazi igira uruhara runini mu buzima bwa misi yose.	uɾuzi ɾwa kabujeŋe ni ɾumwe mu miɡezi mito ivuɡwa mu bit͡ʃe bitandukaɲe vʲ iɡihuɡu t͡ʃa buɾundi . naho ata makuɾu menʃi janditse ku ɾweɡo mpuzamakuŋu aboneka ku buɾʲo buɾambuje , izina kabujeŋe ɾikunze ɡukoɾeʃwa mu mvuɡo j abaɲaɡihuɡu mu kweɾekana imiɡezi mito , amasoko j amazi , t͡ʃanke imiɡende j amazi iɡiɾa uɾuhaɾa ɾunini mu buzima bwa misi jose .
Uruzi rwa Magara ruherereye mu buraruko canke hagati mu gihugu c’Uburundi (bitewe n’akarere kavugwa na bamwe mu baturage), mu micungararo y’imisozi mito n’ibibaya bifise ubutaka burimwo ivyatsi n’amashyamba mato.	uɾuzi ɾwa maɡaɾa ɾuheɾeɾeje mu buɾaɾuko t͡ʃanke haɡati mu ɡihuɡu t͡ʃ ubuɾundi bitewe n akaɾeɾe kavuɡwa na bamwe mu batuɾaɡe , mu mit͡ʃuŋaɾaɾo j imisozi mito n ibibaja bifise ubutaka buɾimwo ivʲatsi n amaʃʲamba mato .
Uruzi rwa Gikoma ni uruzi ruto ugereranije n’izindi nzuzi nini zo mu Bujumbura, ariko rufise akamaro gakomeye cane mu buhinzi, ibidukikije, n’ubuzima bw’abanyagihugu. Naho rufise ibibazo vy’imyuzure, isuri n’imyanda, rushobora gusubira kuba isoko rikomeye ry’iterambere iyo rutunganijwe neza.	uɾuzi ɾwa ɡikoma ni uɾuzi ɾuto uɡeɾeɾanid͡ʒe n izindi nzuzi nini zo mu bud͡ʒumbuɾa , aɾiko ɾufise akamaɾo ɡakomeje t͡ʃane mu buhinzi , ibidukikid͡ʒe , n ubuzima bw abaɲaɡihuɡu . naho ɾufise ibibazo vʲ imʲuzuɾe , isuɾi n imʲanda , ɾuʃoboɾa ɡusubiɾa kuba isoko ɾikomeje ɾʲ iteɾambeɾe ijo ɾutuŋanid͡ʒwe neza .
Naho hataboneka ikarata yemewe mpuzamakungu irugaragaza neza, Murago rufatwa nk’uruzi rwo mu rusobe rw’imigezi igaburira amazi mu nzuzi zikuru z’igihugu.	naho hataboneka ikaɾata jemewe mpuzamakuŋu iɾuɡaɾaɡaza neza , muɾaɡo ɾufatwa nk uɾuzi ɾwo mu ɾusobe ɾw imiɡezi iɡabuɾiɾa amazi mu nzuzi zikuɾu z iɡihuɡu .
ruva mu misozi miremire yo mu buseruko bwa Tanzania, aho amasoko y’amazi ava ku misozi ya Kilimanjaro na Meru ahurira agatanga uruzi runini. Uru ruzi rugenda rwerekeza mu buseruko, ruce mu bibaya, mu mirima n’amashyamba, mbere rugasozera urugendo rwarwo mu nyanja y’Indiyano hafi y’igisagara ca Pangani.	ɾuva mu misozi miɾemiɾe jo mu buseɾuko bwa tanzania , aho amasoko j amazi ava ku misozi ja kilimand͡ʒaɾo na meɾu ahuɾiɾa aɡataŋa uɾuzi ɾunini . uɾu ɾuzi ɾuɡenda ɾweɾekeza mu buseɾuko , ɾut͡ʃe mu bibaja , mu miɾima n amaʃʲamba , mbeɾe ɾuɡasozeɾa uɾuɡendo ɾwaɾwo mu ɲand͡ʒa j indijano hafi j iɡisaɡaɾa t͡ʃa paŋani .
Ibisobanuro rusangi ku nzuzi zigaburira Inyanja y’Indiyano	ibisobanuɾo ɾusaŋi ku nzuzi ziɡabuɾiɾa iɲand͡ʒa j indijano
kugenzura imigambi y’ingomero z’amashanyarazi	kuɡenzuɾa imiɡambi j iŋomeɾo z amaʃaɲaɾazi
Raporo z’ibidukikije zo muri Tanzania na Mozambique	ɾapoɾo z ibidukikid͡ʒe zo muɾi tanzania na mozambikue
gifatwa nk’ikiyaga gifise urusobe rw’ibinyabuzima rudasanzwe	ɡifatwa nk ikijaɡa ɡifise uɾusobe ɾw ibiɲabuzima ɾudasanzwe
gifatwa nk’inkingi y’iterambere mu karere ka Rift Valley. Ni ikiyaga gihuza ibihugu bitatu mu bijanye n’ubukungu n’ibidukikije.	ɡifatwa nk inkiŋi j iteɾambeɾe mu kaɾeɾe ka ɾift vallej . ni ikijaɡa ɡihuza ibihuɡu bitatu mu bid͡ʒaɲe n ubukuŋu n ibidukikid͡ʒe .
kugabanuka kw’amazi kubera ihindagurika ry’ibihe	kuɡabanuka kw amazi kubeɾa ihindaɡuɾika ɾʲ ibihe
amazi menshi aratakara mu butayu (evaporation)	amazi menʃi aɾatakaɾa mu butaju evapoɾation
Aha uruzi ruba rutemba buhoro mu bibaya vya Zambia. Ni ahantu hari ibishanga binini, amafi menshi n’inyamaswa nyinshi. Uruzi rufise inzira ziva mu migezi mito mito n’ibishanga.	aha uɾuzi ɾuba ɾutemba buhoɾo mu bibaja vʲa zambia . ni ahantu haɾi ibiʃaŋa binini , amafi menʃi n iɲamaswa ɲinʃi . uɾuzi ɾufise inziɾa ziva mu miɡezi mito mito n ibiʃaŋa .
Rufatwa nk’inkingi y’ubukungu mu bihugu ruca mu: Lesotho, Afurika y’epfo, na Namibia.	ɾufatwa nk inkiŋi j ubukuŋu mu bihuɡu ɾut͡ʃa mu , lesotho , afuɾika j epfo , na namibia .
imvura igwa cane hagati ya Nyakanga–Ukwakira	imvuɾa iɡwa t͡ʃane haɡati ja ɲakaŋa ukwakiɾa
Aha Black Volta, White Volta na Red Volta bihurira muri Ghana, bigatanga uruzi runini.	aha blat͡ʃk volta , white volta na ɾed volta bihuɾiɾa muɾi ɡhana , biɡataŋa uɾuzi ɾunini .
Mu bibaya vy’uru ruzi haraboneka kandi ibishanga bifasha mu kubika amazi no kugabanya umuvuduko w’imyuzure.	mu bibaja vʲ uɾu ɾuzi haɾaboneka kandi ibiʃaŋa bifaʃa mu kubika amazi no kuɡabaɲa umuvuduko w imʲuzuɾe .
Mu nkengera za Awash haboneka ibinyabuzima vyinshi. Harimwo impala, gazelle, inguge, impyisi, intare, ingona n’amoko menshi y’inyoni.	mu nkeŋeɾa za awaʃ haboneka ibiɲabuzima vʲinʃi . haɾimwo impala , ɡazelle , iŋuɡe , impʲisi , intaɾe , iŋona n amoko menʃi j iɲoni .
Uruzi rwa Sobat ruvuka aho hahuye imigezi ikomeye irimwo Baro River, Pibor River, n’utundi tugezi twinshi tuva mu buseruko bwa Sudani y’Epfo no mu misozi ya Ethiopia.	uɾuzi ɾwa sobat ɾuvuka aho hahuje imiɡezi ikomeje iɾimwo baɾo ɾiveɾ , piboɾ ɾiveɾ , n utundi tuɡezi twinʃi tuva mu buseɾuko bwa sudani j epfo no mu misozi ja ethiopia .
