buttonlabel=Maghimo sang bag-o nga artikulo	buttonlˈabel maɡhˈimo sˈaŋ bˈaɡʔo ŋˈa ʔaɾtikˈulo
Ang Nabagatnang Leyte (Ingles:Southern Leyte) ang ikatlo nga klase sang probinsya sa Sidlangan nga Visayas, Pilipinas. 1,798.61 kilometro kwadrado ang kalaparon sini. Base sa 2024 census, ini may populasyon nga 434,372. Ang dialing code sini amo ang 53.	ʔˈaŋ nabaɡˈatnaŋ lˈejte ʔˈiŋles , soʔˈutheɾn lˈejte ʔˈaŋ ʔikˈatlo ŋˈa klˈase sˈaŋ pɾobˈinsja sˈa sidlˈaŋan ŋˈa bisˈajas , pilipˈinas . ʔˈisa kˈa lˈibo kˈaɡ pˈito kˈa ɡˈatos kˈaɡ kasijˈaman kˈaɡ wˈalo pˈunto ʔˈanum ʔˈisa kilomˈetɾo kwadɾˈado ʔˈaŋ kalapˈaɾon sˈini . bˈase sˈa dˈuha kˈa lˈibo kˈaɡ kaluhˈaʔan kˈaɡ ʔˈapat kˈensus , ʔˈini mˈaj populˈasjon ŋˈa ʔˈapat kˈa ɡˈatos kˈaɡ katlˈoʔan kˈaɡ ʔˈapat kˈa lˈibo kˈaɡ tˈatlo kˈa ɡˈatos kˈaɡ kapitˈuʔan kˈaɡ dˈuha . ʔˈaŋ diʔˈaliŋ kˈode sˈini ʔˈamo ʔˈaŋ kalˈimʔan kˈaɡ tˈatlo .
Ang Kurów isa ka barrio sa sur nga parte sang Poland, sa tunga sang Puławy kag Lublin, malapit sa suba sang Kurówka. Ini kapital sang separado nga gmina, isa ka municipalidad, nga nasakop sang Lublin Voivodeship kag may populasyon nga 2811 ka pumuluyo (sang tuig 2005).	ʔˈaŋ kˈuɾow ʔˈisa kˈa baɾˈiʔo sˈa sˈuɾ ŋˈa pˈaɾte sˈaŋ pˈoland , sˈa tˈuŋa sˈaŋ pˈulawj kˈaɡ lˈublin , malˈapit sˈa sˈuba sˈaŋ kuɾˈowka . ʔˈini kapˈital sˈaŋ sepaɾˈado ŋˈa ɡmˈina , ʔˈisa kˈa munikipalˈidad , ŋˈa nasˈakop sˈaŋ lˈublin boʔibodˈeship kˈaɡ mˈaj populˈasjon ŋˈa dˈuha kˈa lˈibo kˈaɡ wˈalo kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ ʔˈisa kˈa pumulˈujo sˈaŋ tˈuʔiɡ dˈuha kˈa lˈibo kˈaɡ lˈima .
Eastern Samar ang ika-duha nga klase sang probinsya sa Eastern Visayas, Pilipinas. 4,660.47 kilometro kwadrado ang kalaparon sini.	ʔeʔˈasteɾn sˈamaɾ ʔˈaŋ ʔikaʔdˈuha ŋˈa klˈase sˈaŋ pɾobˈinsja sˈa ʔeʔˈasteɾn bisˈajas , pilipˈinas . ʔˈapat kˈa lˈibo kˈaɡ ʔˈanum kˈa ɡˈatos kˈaɡ kanʔˈuman pˈunto ʔˈapat pˈito kilomˈetɾo kwadɾˈado ʔˈaŋ kalapˈaɾon sˈini .
Ang Guimaras isa ka ika-apat nga klase nga probinsya sa Nakatundang Kabisayaan, Pilipinas. May 604.57 kilometro kuadrado ini nga kalaparon. Base sa 2010 census, ini may populasyon nga 162,943. Ang dialing code sini 33.	ʔˈaŋ ɡimˈaɾas ʔˈisa kˈa ʔikaʔˈapat ŋˈa klˈase ŋˈa pɾobˈinsja sˈa nakatˈundaŋ kabisajˈaʔan , pilipˈinas . mˈaj ʔˈanum kˈa ɡˈatos kˈaɡ ʔˈapat pˈunto lˈima pˈito kilomˈetɾo kuʔadɾˈado ʔˈini ŋˈa kalapˈaɾon . bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa ʔˈisa kˈa ɡˈatos kˈaɡ kanʔˈuman kˈaɡ dˈuha kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ kapʔˈatan kˈaɡ tˈatlo . ʔˈaŋ diʔˈaliŋ kˈode sˈini katlˈoʔan kˈaɡ tˈatlo .
Ang Negros Occidental isa ka una nga klase nga probinsya sang Nakatundang Kabisayaan, Pilipinas. 7,965.21 kilometro kwadrado ang kalaparon sang iya duta. Base sa 2010 census, ini may populasyon nga 2,396,039. Ang dialing code sini amo ang 34.	ʔˈaŋ nˈeɡɾos ʔokkidˈental ʔˈisa kˈa ʔˈuna ŋˈa klˈase ŋˈa pɾobˈinsja sˈaŋ nakatˈundaŋ kabisajˈaʔan , pilipˈinas . pˈito kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ kanʔˈuman kˈaɡ lˈima pˈunto dˈuha ʔˈisa kilomˈetɾo kwadɾˈado ʔˈaŋ kalapˈaɾon sˈaŋ ʔˈija dˈuta . bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa dˈuha kˈa mˈiljon kˈaɡ tˈatlo kˈa ɡˈatos kˈaɡ kasijˈaman kˈaɡ ʔˈanum kˈa lˈibo kˈaɡ katlˈoʔan kˈaɡ sˈijam . ʔˈaŋ diʔˈaliŋ kˈode sˈini ʔˈamo ʔˈaŋ katlˈoʔan kˈaɡ ʔˈapat .
Ang Anahawan ika-lima nga klase sang munisipalidad nga makita sa probinsya sang Southern Leyte, Pilipinas. 58.09 kilometro kwadrado ang iya kalaparon kag makita ini sa bugtong nga distrito kongresyonal.	ʔˈaŋ ʔanahˈawan ʔikaʔlˈima ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ soʔˈutheɾn lˈejte , pilipˈinas . kalˈimʔan kˈaɡ wˈalo pˈunto sˈeɾo sˈijam kilomˈetɾo kwadɾˈado ʔˈaŋ ʔˈija kalapˈaɾon kˈaɡ makˈita ʔˈini sˈa bˈuɡtoŋ ŋˈa distɾˈito koŋɾesjˈonal .
Ang Hinunangan ika-tatlo nga klase sang munisipalidad nga makita sa probinsya sang Southern Leyte, Pilipinas. May 170.58 kwadrado ini nga kalaparon kag ini kabahin sang bugtong nga distrito kongresyonal.	ʔˈaŋ hinunˈaŋan ʔikaʔtˈatlo ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ soʔˈutheɾn lˈejte , pilipˈinas . mˈaj ʔˈisa kˈa ɡˈatos kˈaɡ kapitˈuʔan pˈunto lˈima wˈalo kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ bˈuɡtoŋ ŋˈa distɾˈito koŋɾesjˈonal .
Ang Libagon ika-lima nga klase sang munisipalidad nga makita sa probinsya sang Southern Leyte, Pilipinas. May 98.62 kwadrado ini nga kalaparon kag ini kabahin sang bugtong nga distrito kongresyonal.	ʔˈaŋ libˈaɡon ʔikaʔlˈima ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ soʔˈutheɾn lˈejte , pilipˈinas . mˈaj kasijˈaman kˈaɡ wˈalo pˈunto ʔˈanum dˈuha kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ bˈuɡtoŋ ŋˈa distɾˈito koŋɾesjˈonal .
Ang arkitekto ay may kaalam kag lisensya sa pagplano kag pagdesayn sang mga bilding, kag ga-intra sila pagbantay sang pag obra sang mga bilding. Kun intindihon gid naton kun ano gid ang kahulugan sang gina siling nga arkitekto ini sa naghalin sa Latin architectus, mismo naghalin ni siya sa Griyego arkhitekton (arkhi-, lider + tekton, ga obra bilding), i.e. lider sa ga obra bilding.	ʔˈaŋ ʔaɾkitˈekto ʔˈaj mˈaj kaʔˈalam kˈaɡ lisˈensja sˈa paɡplˈano kˈaɡ paɡdˈesajn sˈaŋ mˈaŋa bˈildiŋ , kˈaɡ ɡaʔˈintɾa sˈila paɡbˈantaj sˈaŋ pˈaɡ ʔˈobɾa sˈaŋ mˈaŋa bˈildiŋ . kˈun ʔintindˈihon ɡˈid nˈaton kˈun ʔˈano ɡˈid ʔˈaŋ kahulˈuɡan sˈaŋ ɡˈina sˈiliŋ ŋˈa ʔaɾkitˈekto ʔˈini sˈa naɡhˈalin sˈa lˈatin ʔaɾt͡ʃitˈektus , mˈismo naɡhˈalin nˈi sˈija sˈa ɡɾijˈeɡo ʔaɾkhitˈekton ʔˈaɾkhi , lˈideɾ tˈekton , ɡˈa ʔˈobɾa bˈildiŋ , ʔˈi . ʔˈe . lˈideɾ sˈa ɡˈa ʔˈobɾa bˈildiŋ .
Si Marcos nagdalagan para Presidente sang Pilipinas sa eleksyon sang 2022 sa idalom sang Partido Federal ng Pilipinas, kun diin nagdaog siya nin kadako 59% sang boto. An sa iyang pagdaog amo ang pinakadako sugod 1981, kun diin ang sa iyang amay nagdaog sang 88% sang boto tungod sa isa ka boycott sang oposisyon nga nagprotesta bag-o pa ang eleksyon.	sˈi mˈaɾkos naɡdalˈaɡan pˈaɾa pɾesidˈente sˈaŋ pilipˈinas sˈa ʔelˈeksjon sˈaŋ dˈuha kˈa lˈibo kˈaɡ kaluhˈaʔan kˈaɡ dˈuha sˈa ʔidˈalom sˈaŋ paɾtˈido pedˈeɾal ŋ pilipˈinas , kˈun dˈiʔin naɡdˈaʔoɡ sˈija nˈin kadˈako kalˈimʔan kˈaɡ sˈijam poɾsijˈento sˈaŋ bˈoto . ʔˈan sˈa ʔˈijaŋ paɡdˈaʔoɡ ʔˈamo ʔˈaŋ pinakadˈako sˈuɡod ʔˈisa kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ kawalˈuʔan kˈaɡ ʔˈisa , kˈun dˈiʔin ʔˈaŋ sˈa ʔˈijaŋ ʔˈamaj naɡdˈaʔoɡ sˈaŋ kawalˈuʔan kˈaɡ wˈalo poɾsijˈento sˈaŋ bˈoto tˈuŋod sˈa ʔˈisa kˈa bˈojkott sˈaŋ ʔoposˈisjon ŋˈa naɡpɾotˈesta bˈaɡʔo pˈa ʔˈaŋ ʔelˈeksjon .
Ang Piso sang Pilipinas ( Ingles nga Pilipinong paghambal: , ; Filipino: o ; simbolo sang kurensiya: ₱; kodigo: PHP), amo ang opisyal nga kurensiya sang Pilipinas. Gikan sa lenggwaheng Kastila nga ang piso may yara depinisyon nga "bug-at".	ʔˈaŋ pˈiso sˈaŋ pilipˈinas ʔˈiŋles ŋˈa pilipˈinoŋ paɡhˈambal , pilipˈino , ʔˈo , simbˈolo sˈaŋ kuɾensˈija , kodˈiɡo , php , ʔˈamo ʔˈaŋ ʔopˈisjal ŋˈa kuɾensˈija sˈaŋ pilipˈinas . ɡˈikan sˈa leŋɡwˈaheŋ kastˈila ŋˈa ʔˈaŋ pˈiso mˈaj jˈaɾa depinˈisjon ŋˈa bˈuɡʔat .
Kag kun lantawon ta sa iban nga pag intindi, ang ngalan nga arkitekto kag arliteltura ay ginagamit sa disipplina sa enhinyero, e.g. kompyuter supwer arkitekt;	kˈaɡ kˈun lantˈawon tˈa sˈa ʔˈiban ŋˈa pˈaɡ ʔintˈindi , ʔˈaŋ ŋˈalan ŋˈa ʔaɾkitˈekto kˈaɡ ʔaɾliteltˈuɾa ʔˈaj ɡinaɡˈamit sˈa disipplˈina sˈa ʔenhiɲˈeɾo , ʔˈe . ɡ . kompjˈuteɾ sˈupweɾ ʔaɾkˈitekt ,
Ang nasyunal nga kabisera amo ang Washington, D.C., kag ang may yara pinakadako nga populasyon amo ang dakbanwa sang New York.	ʔˈaŋ nasjˈunal ŋˈa kabisˈeɾa ʔˈamo ʔˈaŋ washˈiŋton , d . k , kˈaɡ ʔˈaŋ mˈaj jˈaɾa pinakadˈako ŋˈa populˈasjon ʔˈamo ʔˈaŋ dakbˈanwa sˈaŋ nˈew jˈoɾk .
Ang Washington, D.C., pormal nga District of Columbia kag kilala man nga D.C. o Washington lang, amo an kabiserang dakbanwa sang Estados Unidos.	ʔˈaŋ washˈiŋton , d . k , pˈoɾmal ŋˈa dˈistɾikt ʔˈop kolumbˈiʔa kˈaɡ kilˈala mˈan ŋˈa d . k . ʔˈo washˈiŋton lˈaŋ , ʔˈamo ʔˈan kabisˈeɾaŋ dakbˈanwa sˈaŋ ʔestˈados ʔunˈidos .
Ginabinagbinag nga sa tunga sg tuig 1431 kag 1442 ang ini nga barrio guin tagaan sg diretso nga mangin siyudad suno sa Magdeburg Law. Bilang isa ka pribado nga municipalidad, ini naging sentro sang negosyo sa pagkaon para sa gapalibot nga lugar. Pila ka mga paktorya sg panit dire man nahamtang.	ɡinabinaɡbˈinaɡ ŋˈa sˈa tˈuŋa sˈaŋ tˈuʔiɡ ʔˈisa kˈa lˈibo kˈaɡ ʔˈapat kˈa ɡˈatos kˈaɡ katlˈoʔan kˈaɡ ʔˈisa kˈaɡ ʔˈisa kˈa lˈibo kˈaɡ ʔˈapat kˈa ɡˈatos kˈaɡ kapʔˈatan kˈaɡ dˈuha ʔˈaŋ ʔˈini ŋˈa baɾˈiʔo ɡin taɡˈaʔan sˈaŋ diɾˈet͡so ŋˈa mˈaŋin sijˈudad sˈuno sˈa maɡdˈebuɾɡ lˈaw . bˈilaŋ ʔˈisa kˈa pɾibˈado ŋˈa munikipalˈidad , ʔˈini nˈaɡiŋ sˈentɾo sˈaŋ neɡˈosjo sˈa paɡkˈaʔon pˈaɾa sˈa ɡapalˈibot ŋˈa lˈuɡaɾ . pˈila kˈa mˈaŋa paktˈoɾja sˈaŋ pˈanit dˈiɾe mˈan nahˈamtaŋ .
Si Magdalena Jalandoni (Natawo: 1891 sa Jaro, Iloilo - Napatay: 1978 sa Jaro) ang una nga Filipina nga manogsulat. Sa kadam-an sang iya nga ginsulat (labi pa sa 60 ka nobela, binalaybay, drama, korido kag hinugpong nga sugilanon) sa pulong sang Hiligaynon/Ilonggo nangin permanente ang iya marka sa panitikan ukon literatura sang Filipinas.	sˈi maɡdalˈena halandˈoni natˈawo , ʔˈisa kˈa lˈibo kˈaɡ wˈalo kˈa ɡˈatos kˈaɡ kasijˈaman kˈaɡ ʔˈisa sˈa hˈaɾo , ʔiloʔˈilo napˈataj , ʔˈisa kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ kapitˈuʔan kˈaɡ wˈalo sˈa hˈaɾo ʔˈaŋ ʔˈuna ŋˈa pilipˈina ŋˈa manoɡsˈulat . sˈa kadˈamʔan sˈaŋ ʔˈija ŋˈa ɡinsˈulat lˈabi pˈa sˈa kanʔˈuman kˈa nobˈela , binalˈajbaj , dɾˈama , koɾˈido kˈaɡ hinˈuɡpoŋ ŋˈa suɡilˈanon sˈa pˈuloŋ sˈaŋ hiliɡˈajnon ʔilˈoŋɡo nˈaŋin peɾmanˈente ʔˈaŋ ʔˈija mˈaɾka sˈa panitˈikan ʔˈukon liteɾatˈuɾa sˈaŋ pilipˈinas .
Natawo si Magdalena Jalandoni sa Mayo 27, 1891 sa balay sang iya mga ginikanan, didto sa kalye Alvarez (subong Kalye Benedicto) Jaro, sa Cuidad sang Iloilo. Ang iya ginikanan si Gregorio Jalandoni kag si Francisca Gonzaga. Ang iya amay nga si Gregorio ang directorcillo sang Jaro sang namatay sia sa edad sg 25 años.	natˈawo sˈi maɡdalˈena halandˈoni sˈa mˈajo kaluhˈaʔan kˈaɡ pˈito , ʔˈisa kˈa lˈibo kˈaɡ wˈalo kˈa ɡˈatos kˈaɡ kasijˈaman kˈaɡ ʔˈisa sˈa bˈalaj sˈaŋ ʔˈija mˈaŋa ɡinikˈanan , dˈidto sˈa kˈalje ʔalbˈaɾes sˈuboŋ kˈalje benedˈikto hˈaɾo , sˈa kuʔˈidad sˈaŋ ʔiloʔˈilo . ʔˈaŋ ʔˈija ɡinikˈanan sˈi ɡɾeɡoɾˈiʔo halandˈoni kˈaɡ sˈi pɾankˈiska ɡonsˈaɡa . ʔˈaŋ ʔˈija ʔˈamaj ŋˈa sˈi ɡɾeɡoɾˈiʔo ʔˈaŋ diɾektoɾkˈiljo sˈaŋ hˈaɾo sˈaŋ namˈataj sˈiʔa sˈa ʔˈedad sˈaŋ kaluhˈaʔan kˈaɡ lˈima ʔˈaɲos .
Si Ernesto Guevara de la Serna (Hunyo 14, 1928 – Oktubre 9, 1967), mas kilala sa ngalan nga Che Guevara ukon el Che, isa ka manogbulong nga natawo sa Argentina, rebolusyonaryo nga Marxista, pulitiko, kag pinuno sang hulag gerilya sa Cuba.	sˈi ʔeɾnˈesto ɡebˈaɾa dˈe lˈa sˈeɾna hˈuɲo napˈulo kˈaɡ ʔˈapat , ʔˈisa kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ kaluhˈaʔan kˈaɡ wˈalo ʔoktˈubɾe sˈijam , ʔˈisa kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ kanʔˈuman kˈaɡ pˈito , mˈas kilˈala sˈa ŋˈalan ŋˈa t͡ʃˈe ɡebˈaɾa ʔˈukon ʔˈel t͡ʃˈe , ʔˈisa kˈa manoɡbˈuloŋ ŋˈa natˈawo sˈa ʔaɾɡentˈina , ɾebolusjonˈaɾjo ŋˈa maɾksˈista , pulitˈiko , kˈaɡ pinˈuno sˈaŋ hˈulaɡ ɡeɾˈilja sˈa kˈuba .
Base sa 2010 census, ini may populasyon nga 7,942. Ang zip code sini 6610.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa pˈito kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ kapʔˈatan kˈaɡ dˈuha . ʔˈaŋ sˈip kˈode sˈini ʔˈanum kˈa lˈibo kˈaɡ ʔˈanum kˈa ɡˈatos kˈaɡ napˈulo .
May 11,000,000 ka tawo ang nakahibalo maghambal sini nga pulong. Dala ang ining pulong sa "10 ka pulong nga austranesian nga may pinakamadamo nga humalambal".	mˈaj napˈulo kˈaɡ ʔˈisa kˈa mˈiljon kˈa tˈawo ʔˈaŋ nakahibˈalo maɡhˈambal sˈini ŋˈa pˈuloŋ . dˈala ʔˈaŋ ʔˈiniŋ pˈuloŋ sˈa napˈulo kˈa pˈuloŋ ŋˈa ʔaʔustɾanesˈiʔan ŋˈa mˈaj pinakamadˈamo ŋˈa humalˈambal .
Ang lenguahe Aklanon (Akeanon) isa sa mga lenguahe nga bisaya nga ginahambal sa probinsya sang Aklan. May 500,000 nga tawo nga kabalo maghambal sang languahe nga ini.	ʔˈaŋ leŋuʔˈahe ʔaklˈanon ʔakeʔˈanon ʔˈisa sˈa mˈaŋa leŋuʔˈahe ŋˈa bisˈaja ŋˈa ɡinahˈambal sˈa pɾobˈinsja sˈaŋ ʔˈaklan . mˈaj lˈima kˈa ɡˈatos kˈa lˈibo ŋˈa tˈawo ŋˈa kabˈalo maɡhˈambal sˈaŋ laŋuʔˈahe ŋˈa ʔˈini .
Ang Bontoc ika-anum nga klase sang munisipalidad nga makita sa probinsya sang Southern Leyte, Pilipinas. May 102.1 kwadrado ini nga kalaparon kag ini kabahin sang bugtong nga distrito kongresyonal.	ʔˈaŋ bˈontok ʔikaʔˈanum ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ soʔˈutheɾn lˈejte , pilipˈinas . mˈaj ʔˈisa kˈa ɡˈatos kˈaɡ dˈuha pˈunto ʔˈisa kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ bˈuɡtoŋ ŋˈa distɾˈito koŋɾesjˈonal .
Base sa 2010 census, ini may populasyon nga 28,079. Ang zip code sini 6604.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa kaluhˈaʔan kˈaɡ wˈalo kˈa lˈibo kˈaɡ kapitˈuʔan kˈaɡ sˈijam . ʔˈaŋ sˈip kˈode sˈini ʔˈanum kˈa lˈibo kˈaɡ ʔˈanum kˈa ɡˈatos kˈaɡ ʔˈapat .
Base sa 2010 census, ini may populasyon nga 28,415. Ang zip code sini 6608.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa kaluhˈaʔan kˈaɡ wˈalo kˈa lˈibo kˈaɡ ʔˈapat kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ lˈima . ʔˈaŋ sˈip kˈode sˈini ʔˈanum kˈa lˈibo kˈaɡ ʔˈanum kˈa ɡˈatos kˈaɡ wˈalo .
Base sa 2010 census, ini may populasyon nga 11,890. Ang zip code sini 6609.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa napˈulo kˈaɡ ʔˈisa kˈa lˈibo kˈaɡ wˈalo kˈa ɡˈatos kˈaɡ kasijˈaman . ʔˈaŋ sˈip kˈode sˈini ʔˈanum kˈa lˈibo kˈaɡ ʔˈanum kˈa ɡˈatos kˈaɡ sˈijam .
Base sa 2010 census, ini may populasyon nga 14,352. Ang zip code sini 6615.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa napˈulo kˈaɡ ʔˈapat kˈa lˈibo kˈaɡ tˈatlo kˈa ɡˈatos kˈaɡ kalˈimʔan kˈaɡ dˈuha . ʔˈaŋ sˈip kˈode sˈini ʔˈanum kˈa lˈibo kˈaɡ ʔˈanum kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ lˈima .
Base sa 2010 census, ini may populasyon nga 22,817. Ang zip code sini 6612.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa kaluhˈaʔan kˈaɡ dˈuha kˈa lˈibo kˈaɡ wˈalo kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ pˈito . ʔˈaŋ sˈip kˈode sˈini ʔˈanum kˈa lˈibo kˈaɡ ʔˈanum kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ dˈuha .
Base sa 2010 census, ini may populasyon nga 5,835. Ang zip code sini 6605.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa lˈima kˈa lˈibo kˈaɡ wˈalo kˈa ɡˈatos kˈaɡ katlˈoʔan kˈaɡ lˈima . ʔˈaŋ sˈip kˈode sˈini ʔˈanum kˈa lˈibo kˈaɡ ʔˈanum kˈa ɡˈatos kˈaɡ lˈima .
Base sa 2010 census, ini may populasyon nga 25,386. Ang zip code sini 6601.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa kaluhˈaʔan kˈaɡ lˈima kˈa lˈibo kˈaɡ tˈatlo kˈa ɡˈatos kˈaɡ kawalˈuʔan kˈaɡ ʔˈanum . ʔˈaŋ sˈip kˈode sˈini ʔˈanum kˈa lˈibo kˈaɡ ʔˈanum kˈa ɡˈatos kˈaɡ ʔˈisa .
Base sa 2024 census, ini may populasyon nga 21,691. Ang zip code sini 6603.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ kaluhˈaʔan kˈaɡ ʔˈapat kˈensus , ʔˈini mˈaj populˈasjon ŋˈa kaluhˈaʔan kˈaɡ ʔˈisa kˈa lˈibo kˈaɡ ʔˈanum kˈa ɡˈatos kˈaɡ kasijˈaman kˈaɡ ʔˈisa . ʔˈaŋ sˈip kˈode sˈini ʔˈanum kˈa lˈibo kˈaɡ ʔˈanum kˈa ɡˈatos kˈaɡ tˈatlo .
Negros ang ikaapat nga pinakadako nga isla sa Pilipinas. May yara pagkadako nga 12,706 km² (4,905 m²) an iyang duta. Ang mga tao sa isla ginatawag nga Negrense.	nˈeɡɾos ʔˈaŋ ʔikaʔˈapat ŋˈa pinakadˈako ŋˈa ʔˈisla sˈa pilipˈinas . mˈaj jˈaɾa paɡkadˈako ŋˈa napˈulo kˈaɡ dˈuha kˈa lˈibo kˈaɡ pˈito kˈa ɡˈatos kˈaɡ ʔˈanum kilomˈetɾo kwadɾˈado ʔˈapat kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ lˈima mˈetɾo kwadɾˈado ʔˈan ʔˈijaŋ dˈuta . ʔˈaŋ mˈaŋa tˈaʔo sˈa ʔˈisla ɡinatˈawaɡ ŋˈa neɡɾˈense .
Si Josemaría Escrivá de Balaguer (9 Enero 1902–26 Hunyo 1975; Kinatalan: Josepmaria Escrivà de Balaguer) ukon San Josemaría (Kinatalan: Sant Josepmaria) Katsilang paring Katoliko kag ang pundador sang Opus Dei.	sˈi hosemaɾˈiʔa ʔeskɾˈiba dˈe bˈalaɡeɾ sˈijam ʔenˈeɾo ʔˈisa kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ dˈuha hˈasta kaluhˈaʔan kˈaɡ ʔˈanum hˈuɲo ʔˈisa kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ kapitˈuʔan kˈaɡ lˈima , kinatˈalan , hosepmaɾˈiʔa ʔeskɾˈiba dˈe bˈalaɡeɾ ʔˈukon sˈan hosemaɾˈiʔa kinatˈalan , sˈant hosepmaɾˈiʔa kat͡sˈilaŋ pˈaɾiŋ katolˈiko kˈaɡ ʔˈaŋ pundˈadoɾ sˈaŋ ʔˈopus dˈeʔi .
Kilala man si Hesus sa iya isa pa gid nga ngalan nga si Dios nga Anak. Isa sia sa mga tatlo ka persona sang Santisima Trinidad.	kilˈala mˈan sˈi hˈesus sˈa ʔˈija ʔˈisa pˈa ɡˈid ŋˈa ŋˈalan ŋˈa sˈi dˈiʔos ŋˈa ʔˈanak . ʔˈisa sˈiʔa sˈa mˈaŋa tˈatlo kˈa peɾsˈona sˈaŋ santisˈima tɾinˈidad .
Ang Aklan isa sa mga probinsya sang Pilipinas sa Nakatundang Kabisay-ang. Kalibo ang kapitolyo sini. Ika-duha ini nga klase sang probinsya.	ʔˈaŋ ʔˈaklan ʔˈisa sˈa mˈaŋa pɾobˈinsja sˈaŋ pilipˈinas sˈa nakatˈundaŋ kabisˈajʔaŋ . kalˈibo ʔˈaŋ kapitˈoljo sˈini . ʔikaʔdˈuha ʔˈini ŋˈa klˈase sˈaŋ pɾobˈinsja .
Karot- Ang gamot sang ini nga tanum dalagkuon kag takus kan-on. Kinahanglan ang isa ka tuig agud nga magdaku ang iya gamot para kan-on. Isa pa gid ka tuig ang kinahanglan agud nga makabunga ang karot sang binhi. Ang tawag sa Ingles sa ini nga klase sang tanum amo ang bienial.	kˈaɾot ʔˈaŋ ɡˈamot sˈaŋ ʔˈini ŋˈa tˈanum dalaɡkˈuʔon kˈaɡ tˈakus kˈanʔon . kinahˈaŋlan ʔˈaŋ ʔˈisa kˈa tˈuʔiɡ ʔˈaɡud ŋˈa maɡdˈaku ʔˈaŋ ʔˈija ɡˈamot pˈaɾa kˈanʔon . ʔˈisa pˈa ɡˈid kˈa tˈuʔiɡ ʔˈaŋ kinahˈaŋlan ʔˈaɡud ŋˈa makabˈuŋa ʔˈaŋ kˈaɾot sˈaŋ bˈinhi . ʔˈaŋ tˈawaɡ sˈa ʔˈiŋles sˈa ʔˈini ŋˈa klˈase sˈaŋ tˈanum ʔˈamo ʔˈaŋ biʔenˈiʔal .
