# Indonesian ⟨e⟩ pepet/taling lexicon — CROSS-SOURCE CONSENSUS (wikipron ind ∩ kaikki ind).
# Latin ⟨e⟩ conflates pepet /ə/ and taling /e/~/ɛ/; the rule engine defaults pepet. Each entry pins the
# taling quality ONLY where BOTH independent human referees agree on the ⟨e⟩ pattern (single shared
# signature; homograph/variant words where the sources disagree are abstained). e vs ɛ preserved where the
# sources also agree exactly, else the taling mid /e/. Non-⟨e⟩ segments + stress are OUR rule output.
# Generated by tools/referee-eval — do not hand-edit. 2742 entries.
abegrin	abeɡrˈin
endorsemen	ɛndorsəmˈɛn
enema	enemˈa
energi	enɛrɡˈi
energik	ɛnɛrɡˈiʔ
engas	eŋˈas
engkel	ɛŋkˈəl
engkol	eŋkˈol
engsel	eŋsˈel
enjin	ɛnd͡ʒˈin
enkapsulasi	ɛnkapsulˈasi
enkripsi	ɛnʔrˈipsi
ensambel	ɛnsˈambəl
ensiklik	ensˈiʔliʔ
ensiklopedia	ɛnsiʔlopedˈia
ensopor	ɛnsˈopor
ente	ɛntˈɛ
entot	ɛntˈot
entre	entrˈe
entri	ɛntrˈi
entriisme	ɛntriˈismə
enumeratif	enumerˈatif
enzim	ɛnzˈim
epidemiolog	epidəmiˈoloɡ
epidemiologi	epidəmiolˈoɡi
epidemiologis	epidəmiolˈoɡis
epidural	epidˈural
epigraf	epˈiɡraf
epigrafi	epiɡrˈafi
epigrafis	epiɡrˈafis
epilepsi	epilɛpsˈi
episkop	epˈiskop
episod	ɛpˈisod
episodik	episˈodiʔ
epitaf	epˈitaf
epitel	ɛpˈitɛl
epolet	ɛpˈolɛt
epos	epˈos
er	ˈɛr
era	erˈa
erata	erˈata
ercis	ert͡ʃˈis
ereksi	erɛʔsˈi
ergonomi	erɡonˈomi
ergonomis	erɡonˈomis
eritroderma	eritrodɛrmˈa
erotis	erˈotis
es	ˈɛs
eselon	ɛsəlˈon
esensial	esɛnsˈial
esensiil	esɛnsˈiil
eskalasi	ɛskalˈasi
eskan	ɛskˈan
eskap	ɛskˈap
eskar	ɛskˈar
eskro	ɛsʔrˈo
esofagus	esofˈaɡus
estafet	ɛstˈafɛt
estate	ɛstˈate
ester	ɛstˈər
estesis	ɛstesˈis
estetik	ɛstɛtˈiʔ
estetika	ɛstetˈika
estetis	ɛstɛtˈis
estetisasi	ɛstetisˈasi
estimasi	ɛstimˈasi
etalon	etˈalon
etana	etˈana
eter	ɛtˈər
eternit	ɛtərnˈit
etik	ɛtˈiʔ
etika	ɛtˈika
etimologi	etimolˈoɡi
etiologi	etiolˈoɡi
etiologis	etiolˈoɡis
etis	ɛtˈis
etos	etˈos
etude	etˈude
euforia	euforˈia
eukariota	eukariˈota
eutanasia	eutanasˈia
evaluasi	evaluˈasi
evangelikalisme	ɛvaŋəlikalˈismə
evlap	ɛvlˈap
evokasi	evokˈasi
faedah	faɛdˈah
farmakope	farmakˈope
fasies	fasˈies
federal	fɛdərˈal
federalisme	fedəralˈismə
fekunditas	fekundˈitas
feniks	fenˈiʔs
fenomenal	fenomenˈal
fenomenologi	fenomenolˈoɡi
fenotipe	fenotˈipə
feodal	feˈodal
feodalisme	feodalˈismə
feri	fɛrˈi
fermentasi	fermentˈasi
fertilisasi	fɛrtilisˈasi
fertilitas	fɛrtilˈitas
feses	fɛsˈɛs
fesyen	feʃˈən
fidelitas	fidelˈitas
filamen	filˈamɛn
filateli	filatelˈi
fisioterapi	fisioterˈapi
fisioterapis	fisioterˈapis
fitoterapi	fitoterˈapi
flagelasi	flaɡelˈasi
flambe	flˈambe
fleksibel	flɛʔsˈibəl
fleksibilitas	fleʔsibilˈitas
flensa	flɛnsˈa
floret	flˈorɛt
fluoresen	fluoresˈən
fonem	fˈonɛm
fonemis	fonemˈis
fonetik	fonɛtˈiʔ
formaldehida	formaldehˈida
fotoelektrisitas	fotoɛlɛʔtrisˈitas
fotosel	fotˈosɛl
fragmen	frˈaɡmɛn
fragmentaris	fraɡmɛntˈaris
fragmentasi	fraɡmɛntˈasi
frekuen	frekˈuɛn
frekuensi	frekuɛnsˈi
frekwensi	freʔwɛnsˈi
fundamental	fundamentˈal
gaje	ɡˈad͡ʒɛ
gale	ɡˈale
galer	ɡˈaler
gandeng	ɡˈandɛŋ
gantole	ɡantˈole
gaptek	ɡˈaptɛʔ
gastrointestinal	ɡastrointɛstˈinal
ge	ɡˈe
geber	ɡəbˈɛr
gebetan	ɡebetˈan
geger	ɡɛɡˈɛr
geledah	ɡəledˈah
geledek	ɡəlɛdˈɛʔ
geleser	ɡəlesˈɛr
geletak	ɡəletˈaʔ
gema	ɡemˈa
gen	ɡˈɛn
generalisasi	ɡenəralisˈasi
generasi	ɡenərˈasi
generator	ɡenərˈator
genesis	ɡenesˈis
geng	ɡˈɛŋ
genosida	ɡenosˈida
genotipe	ɡenotˈipə
genteng	ɡəntˈɛŋ
genus	ɡenˈus
geoarkeologi	ɡeoarkeolˈoɡi
geoda	ɡeˈoda
geodesi	ɡeodesˈi
geodesis	ɡeodesˈis
geodetis	ɡeodetˈis
geopolitik	ɡeopolˈitiʔ
georadar	ɡeorˈadar
geostasioner	ɡeostasiˈonɛr
geotermal	ɡəotɛrmˈal
geotermi	ɡeotɛrmˈi
gep	ɡˈep
gereh	ɡərˈɛh
gereja	ɡəred͡ʒˈa
gerejani	ɡəred͡ʒˈani
gerejawi	ɡəred͡ʒˈawi
gerek	ɡerˈɛʔ
geriatri	ɡeriˈatri
ges	ɡˈɛs
gesek	ɡesˈɛʔ
gesekan	ɡɛsɛkˈan
gesper	ɡɛspˈər
gewel	ɡewˈəl
ginseng	ɡˈinseŋ
gletser	ɡlɛtsˈər
glikogen	ɡlikˈoɡɛn
goceng	ɡˈot͡ʃɛŋ
gokel	ɡˈokel
goniometri	ɡoniometrˈi
gopek	ɡˈopɛʔ
gorden	ɡˈordɛn
goreng	ɡˈoreŋ
gorengan	ɡorɛŋˈan
gorge	ɡˈorɡe
grafena	ɡrafenˈa
gue	ɡˈue
gunseibu	ɡunseˈibu
gunseikan	ɡunseˈikan
haleluya	halelˈuja
hape	hˈape
harnet	hˈarnɛt
hechting	hɛt͡ʃhtˈiŋ
hedon	hedˈon
hedonis	hedˈonis
hedonisme	hedonˈismə
heiho	heˈiho
hek	hˈɛʔ
heksagon	heʔsˈaɡon
heksana	hɛʔsˈana
hekter	hɛʔtˈər
helikopter	helikˈoptər
helm	hˈɛlm
hemisfer	hemˈisfɛr
hemoglobin	hemoɡlˈobin
hemolitik	hemolˈitiʔ
henbodi	henbˈodi
hendel	hendˈəl
henep	hɛnˈəp
heng	hˈɛŋ
hentai	hɛntˈai
hepar	hepˈar
heptana	heptˈana
her	hˈɛr
herba	hɛrbˈa
herbal	hɛrbˈal
herbarium	hɛrbarˈium
herbisida	hɛrbisˈida
herediter	heredˈitɛr
hering	herˈiŋ
heroik	herˈoiʔ
herpes	hɛrpˈɛs
heterogen	heterˈoɡɛn
heterogenitas	heteroɡenˈitas
heteroskedastisitas	heteroskedastisˈitas
heterotrof	heterˈotrof
heuristik	heurˈistiʔ
hewan	hewˈan
hewani	hewˈani
hidrogen	hidrˈoɡɛn
hierarki	hierˈarki
higiene	hiɡienˈə
hiperaldosteronisme	hipəraldosteronˈismə
hiperemia	hipəremˈia
hiperemis	hipəremˈis
hipersensitivitas	hipərsɛnsitivˈitas
hipertensi	hipərtensˈi
hipotek	hipˈotɛʔ
hipotensi	hipotɛnsˈi
hipotermia	hipotɛrmˈia
hipotesa	hipotesˈa
hode	hˈode
homeostasis	homeostˈasis
homiletik	homiletˈiʔ
homiletika	homiletˈika
homogen	homˈoɡɛn
homogenitas	homoɡenˈitas
honje	hˈond͡ʒe
hopagen	hopˈaɡɛn
hortensia	hortɛnsˈia
hostes	hˈostɛs
hotel	hˈotɛl
ide	ˈide
ideal	ideˈal
idealisme	idealˈismə
identik	idɛntˈiʔ
ideolog	ideˈoloɡ
ideologi	ideolˈoɡi
ideologis	ideolˈoɡis
ideologisasi	ideoloɡisˈasi
ikebana	ikebˈana
imajiner	imad͡ʒˈinɛr
imlek	ˈimlɛʔ
imperatif	imperˈatif
imperfek	impərfˈɛʔ
imperial	impɛrˈial
imperialis	impɛriˈalis
imperialisme	imperialˈismə
imperialistik	impɛrialˈistiʔ
imperium	imperˈium
implementasi	impləmɛntˈasi
impotensi	impotɛnsˈi
impresum	imprɛsˈum
inadekuat	inadekˈuat
indeks	ˈindɛʔs
inden	ˈindɛn
indensi	indɛnsˈi
independen	indəpɛndˈən
indigesti	indiɡɛstˈi
indisipliner	indisiplˈinɛr
indonesiakan	indonesiˈakan
inersia	inɛrsˈia
infeksius	infɛʔsˈius
inferensi	inferɛnsˈi
infertil	infɛrtˈil
infleksi	inflɛʔsˈi
influen	inflˈuɛn
influenser	influɛnsˈər
influenza	influɛnzˈa
inframerah	inframerˈah
injeksi	ind͡ʒɛʔsˈi
injektor	ind͡ʒɛʔtˈor
inkomplet	inkˈomplɛt
inkumben	inkˈumbɛn
inpres	ˈinprɛs
insektisida	inseʔtisˈida
insentif	insɛntˈif
inset	ˈinsɛt
insidental	insidɛntˈal
inspeksi	inspɛʔsˈi
inspektur	inspɛʔtˈur
instrumen	instrˈumɛn
instrumental	instrumɛntˈal
instrumentasi	instrumɛntˈasi
intel	ˈintɛl
intelektual	intəlɛʔtˈual
inteligen	intəlˈiɡɛn
intelijen	intəlˈid͡ʒɛn
intensi	intɛnsˈi
interdisipliner	intərdisiplˈinɛr
interegnum	intərɛɡnˈum
interelasi	intərelˈasi
interferensi	intərfərɛnsˈi
interjeksi	intərd͡ʒeʔsˈi
interkorelasi	intərkorɛlˈasi
intermestik	intərmɛstˈiʔ
interpretivisme	intərprɛtivˈismə
intertestamental	intərtɛstaməntˈal
intervensi	intərvensˈi
intoleran	intolerˈan
intoleransi	intolerˈansi
introspeksi	introspɛʔsˈi
introver	intrˈovɛr
invensi	invɛnsˈi
inventaris	invɛntˈaris
inventarisasi	invɛntarisˈasi
inventif	invɛntˈif
inventor	invɛntˈor
inversi	inversˈi
investor	investˈor
invetten	invɛttˈən
iptek	ˈiptɛʔ
ipteks	ˈiptɛʔs
iredentisme	irədɛntˈismə
isekai	isekˈai
isomer	isˈomɛr
istimewa	istimɛwˈa
itjen	ˈitd͡ʒɛn
jahe	d͡ʒˈahɛ
jamet	d͡ʒˈamet
jasuke	d͡ʒasˈuke
jaten	d͡ʒˈatɛn
je	d͡ʒˈe
jeksi	d͡ʒeʔsˈi
jelek	d͡ʒəlˈɛʔ
jendela	d͡ʒəndɛlˈa
jeneng	d͡ʒɛnˈɛŋ
jengkel	d͡ʒeŋkˈel
jeriken	d͡ʒerˈiken
jet	d͡ʒˈɛt
jilmek	d͡ʒˈilmeʔ
juvenilis	d͡ʒuvenˈilis
kabinet	kabˈinɛt
kabupaten	kabupˈatɛn
kafelate	kafelˈate
kaizen	kaˈizɛn
kakek	kˈakɛʔ
kakenda	kakɛndˈa
kaldera	kaldɛrˈa
kalender	kalɛndˈər
kalorimetri	kalorimɛtrˈi
kamikaze	kamikˈaze
kandela	kandelˈa
kanselerai	kansəlerˈai
kapanewon	kapanɛwˈon
kapten	kˈaptɛn
karage	karˈaɡe
karaoke	karaˈoke
karate	karˈate
karategi	karateɡˈi
karateka	karatekˈa
kardiovaskuler	kardiovaskˈulɛr
kare	kˈare
karees	kareˈɛs
karet	kˈarɛt
karpet	kˈarpɛt
karsinogen	karsinˈoɡɛn
karsinogenik	karsinoɡɛnˈiʔ
kartel	kˈartɛl
kartotek	kartˈotɛʔ
kasein	kaseˈin
kasep	kˈasɛp
kastel	kˈastɛl
katapel	katˈapɛl
kateksis	katɛʔsˈis
keagenan	kəaɡɛnˈan
keanekaragaman	kəanɛkaraɡˈaman
kearkeologian	kəarkeoloɡˈian
kebebasan	kəbebˈasan
keberserakan	kəbərserˈakan
kebinekaan	kəbinekˈaan
kece	kɛt͡ʃˈe
kecebong	kət͡ʃɛbˈoŋ
kecewa	kət͡ʃewˈa
kedaerahan	kədaɛrˈahan
keenakan	kəɛnˈakan
kefleksibelan	kəfleʔsibəlˈan
keibodan	keibˈodan
keik	keˈiʔ
keiki	keˈiki
keistimewaan	kəistimɛwˈaan
keju	kɛd͡ʒˈu
kek	kˈeʔ
kekecewaan	kəkət͡ʃɛwˈaan
keki	kɛkˈi
kekreatifan	kəʔreatˈifan
keledek	kəledˈɛʔ
kelereng	kəlɛrˈɛŋ
keloid	kelˈoid
kelok	kelˈoʔ
kemeja	kəmɛd͡ʒˈa
kemerdekaan	kəmərdɛkˈaan
kemoterapi	kemoterˈapi
kempetai	kempetˈai
ken	kˈɛn
kendo	kendˈo
kenek	kənˈɛʔ
kenel	kenˈɛl
kenken	kenkˈen
kepangeranan	kəpaŋerˈanan
kepedean	kəpedeˈan
kepekaan	kəpekˈaan
kependekan	kəpɛndɛkˈan
kependetaan	kəpəndɛtˈaan
kepengen	kəpeŋˈɛn
kepengin	kəpeŋˈin
kepopuleran	kəpopulɛrˈan
kepresidenan	kəpresidenˈan
keprofesoran	kəprofesˈoran
kerek	kerˈɛʔ
kerempeng	kərempˈeŋ
kerepek	kərɛpˈəʔ
keresidenan	kəresidɛnˈan
kereta	kərɛtˈa
keretek	kərɛtˈɛʔ
kern	kˈɛrn
kernel	kɛrnˈəl
kernet	kərnˈɛt
kerosin	kerˈosin
kers	kˈɛrs
kersen	kɛrsˈən
kesah	kesˈah
kesehatan	kəsɛhˈatan
kesenggol	kəsɛŋɡˈol
kesetanan	kəsetˈanan
kesuksesan	kəsuʔsesˈan
ketela	kətelˈa
ketelisan	kətelˈisan
keteng	ketˈəŋ
ketengkas	ketəŋkˈas
keterserakan	kətərserˈakan
ketgat	ketɡˈat
ketombe	kətˈombe
ketonggeng	kətˈoŋɡeŋ
kets	kˈɛts
kewedanaan	kəwedanˈaan
kinematika	kinematˈika
kinematis	kinemˈatis
kinetik	kinetˈiʔ
kinetis	kinetˈis
klandestin	ʔlandestˈin
klasemen	ʔlasəmˈɛn
klem	ʔlˈɛm
klep	ʔlˈɛp
klerek	ʔlerˈəʔ
knopel	ʔnˈopel
kodeks	kˈodɛʔs
kofte	kˈofte
kohesi	kohesˈi
koker	kˈoker
kolega	koleɡˈa
kolegium	koleɡˈium
kolektan	kolɛʔtˈan
kolektivisme	kolɛʔtivˈismə
kolektivitas	kolɛʔtivˈitas
kolera	kolɛrˈa
kolese	kolesˈə
kolesom	kolesˈom
kolonel	kolˈonɛl
komanditer	komandˈitɛr
komedian	komɛdˈian
komen	kˈomɛn
komet	kˈomɛt
komintern	komˈintɛrn
komite	komˈite
kompet	kˈompɛt
kompetensi	kompətɛnsˈi
kompetisi	kompetˈisi
kompleks	kˈomplɛʔs
komplemen	kompləmˈɛn
komplementer	kompləmɛntˈɛr
komplesi	komplesˈi
komponen	kompˈonɛn
komprehensif	komprehɛnsˈif
kompres	kˈompres
kompresor	komprɛsˈor
konde	kˈonde
kondektur	kondɛʔtˈur
kondensor	kondɛnsˈor
kondimen	kondˈimɛn
kondotel	kondˈotɛl
koneksi	konɛʔsˈi
konektivitas	konɛʔtivˈitas
konfeksi	konfɛʔsˈi
konfeti	konfetˈi
konfreria	konfrerˈia
kongenital	koŋenˈital
kongregasionalisme	koŋreɡasionalˈismə
kongres	kˈoŋrɛs
kongruen	koŋrˈuɛn
konjektur	kond͡ʒɛʔtˈur
konkret	kˈonʔrɛt
konosemen	konosəmˈɛn
konpers	kˈonpɛrs
konselebran	konselɛbrˈan
konsentrasi	konsentrˈasi
konsentrasikan	konsentrasˈikan
konseptual	konsɛptˈual
konsesif	konsesˈif
konsisten	konsˈistɛn
konsuler	konsˈulɛr
konsumen	konsˈumɛn
konsumerisme	konsumɛrˈismə
konteks	kˈontɛʔs
kontekstual	kontɛʔstˈual
kontes	kˈontɛs
kontestan	kontɛstˈan
kontestasi	kontɛstˈasi
kontingensi	kontiŋɛnsˈi
kontrasepsi	kontrasɛpsˈi
kontraterorisme	kontraterorˈismə
kontroversi	kontrovɛrsˈi
kontroversial	kontrovɛrsˈial
konveksi	konvɛʔsˈi
konvensi	konvɛnsˈi
konvensional	konvɛnsiˈonal
konversi	konvɛrsˈi
korek	kˈoreʔ
koreksi	korɛʔsˈi
korektif	korɛʔtˈif
korespondensi	korɛspondɛnsˈi
kornea	korneˈa
kornet	kˈornet
koroner	korˈonɛr
korporale	korporˈale
korsvet	kˈorsvɛt
kosen	kˈosɛn
kotes	kˈotɛs
kowe	kˈowe
kredibilitas	ʔredibilˈitas
kredo	ʔredˈo
krenten	ʔrɛntˈən
krep	ʔrˈɛp
kretek	ʔrɛtˈɛʔ
krevas	ʔrevˈas
kriogenik	ʔrioɡenˈiʔ
kriteria	ʔriterˈia
kriterium	ʔriterˈium
kroket	ʔrˈokɛt
kudeta	kudetˈa
kue	kˈue
kuinternion	kuintɛrnˈion
kuosien	kuosˈiɛn
kuret	kˈurɛt
kursisten	kursˈisten
kutaneus	kutanɛˈus
kuteks	kˈutɛʔs
kutlet	kˈutlet
kuwe	kˈuwe
label	lˈabɛl
laden	lˈaden
lakademu	lakademˈu
latei	lateˈi
lateks	lˈatɛʔs
laten	lˈatɛn
lebar	lebˈar
leci	let͡ʃˈi
legal	lɛɡˈal
legalisasi	lɛɡalisˈasi
legalitas	lɛɡalˈitas
legenda	ləɡɛndˈa
legendaris	ləɡɛndˈaris
leges	leɡˈəs
legio	leɡˈio
legiun	leɡˈiun
leher	lehˈer
lekong	lekˈoŋ
leksionarium	lɛʔsionarˈium
lektor	lɛʔtˈor
lektris	lɛʔtrˈis
lelang	lɛlˈaŋ
lele	lelˈe
leleh	lɛlˈɛh
lelehan	lɛlɛhˈan
lelehkan	lɛlɛhkˈan
lelong	lelˈoŋ
lem	lˈɛm
lempar	lɛmpˈar
lempira	lempˈira
lengah	lɛŋˈah
lengkeng	leŋkˈeŋ
lengket	lɛŋkˈɛt
lengser	leŋsˈer
lensa	lɛnsˈa
lenso	lensˈo
lentera	ləntɛrˈa
lepra	lɛprˈa
lereng	lɛrˈɛŋ
lesbi	lɛsbˈi
lesbiola	lesbiˈola
letargi	letˈarɡi
leting	lɛtˈiŋ
leukimia	leukimˈia
lev	lˈev
level	lɛvˈəl
lever	levˈər
leveransir	levərˈansir
levering	levərˈiŋ
lewah	lewˈah
lewat	lewˈat
lewati	lewˈati
lewatkan	lewˈatkan
lewiatan	lewiˈatan
lien	lˈiɛn
ligamen	liɡˈamɛn
linear	linɛˈar
linier	linˈiɛr
linoleum	linoleˈum
literer	litərˈɛr
loket	lˈokɛt
loreng	lˈorɛŋ
losmen	lˈosmɛn
loteng	lˈotɛŋ
lotre	lˈotrɛ
lues	lˈues
machiavelianisme	mat͡ʃhiavelianˈismə
madesu	madesˈu
maestro	maɛstrˈo
magnet	mˈaɡnɛt
magnetik	maɡnetˈiʔ
magnetis	maɡnetˈis
magnetograf	maɡnetˈoɡraf
magnetometer	maɡnetometˈər
mahasewa	mahasewˈa
maizena	maizenˈa
maleo	maleˈo
malwer	mˈalwɛr
manajemen	manad͡ʒəmˈɛn
manen	mˈanɛn
manifestasi	manifɛstˈasi
manifesto	manifɛstˈo
manset	mˈansɛt
marsepen	marsəpˈɛn
materi	materˈi
material	materˈial
materialis	materiˈalis
materialisasi	materialisˈasi
materialisme	materialˈismə
materialistis	materialˈistis
materiel	materˈiəl
matre	mˈatre
mawapres	mawˈaprɛs
mayones	majˈonɛs
mebel	mebˈəl
mecin	mɛt͡ʃˈin
medan	mɛdˈan
mediasi	mediˈasi
mediatif	mediˈatif
mediator	mediˈator
medsos	mɛdsˈos
medula	medˈula
mega	meɡˈa
megafon	meɡˈafon
meiosis	meiˈosis
meja	med͡ʒˈa
mejikom	med͡ʒˈikom
mejikuhibiniu	med͡ʒikuhibinˈiu
meki	mɛkˈi
melecek	məlet͡ʃˈɛʔ
melek	məlˈɛʔ
meleleh	məlɛlˈɛh
melengser	məleŋsˈer
melewati	məlewˈati
melewatkan	məlewˈatkan
mellotron	mellˈotron
memanen	məmˈanɛn
memaneni	məmanɛnˈi
memang	memˈaŋ
membebaskan	məmbebˈaskan
membedakan	məmbedˈakan
membereskan	məmbɛrɛskˈan
membongmeh	məmbˈoŋmeh
membranofon	mɛmbranˈofon
memek	mɛmˈɛʔ
memendek	məmɛndˈɛʔ
memendekkan	məmɛndɛʔkˈan
memetieskan	məmətiɛskˈan
memfermentasikan	məmfermentasˈikan
memodernkan	məmodɛrnkˈan
memperbedakan	məmpərbedˈakan
memperoleh	məmpərˈolɛh
memperpendek	məmpərpendˈeʔ
mempersetan	məmpərsetˈan
mempersetankan	məmpərsetˈankan
menak	menˈaʔ
mencetak	mənt͡ʃetˈaʔ
mendekonstruksi	məndekonstrˈuʔsi
mendestruksikan	məndestruʔsˈikan
mendomestikasi	məndomɛstikˈasi
menejerial	mened͡ʒərˈial
menel	menˈel
menelefon	mənelefˈon
menelfon	mənɛlfˈon
menelpon	mənɛlpˈon
menetes	mɛnɛtˈɛs
menetesi	mɛnɛtɛsˈi
meneteskan	mɛnɛtɛskˈan
meng	mˈɛŋ
mengaben	məŋˈabɛn
mengabsen	məŋˈabsen
menganehkan	məŋanehkˈan
mengedarkan	məŋedˈarkan
mengeksploitasi	məŋɛʔsploitˈasi
mengeksploitasikan	məŋɛʔsploitasˈikan
mengencingi	məŋent͡ʃˈiŋi
menghela	məŋhelˈa
menghemat	məŋhemˈat
mengindonesiakan	məŋindonesiˈakan
menginjeksi	məŋind͡ʒeʔsˈi
mengonsentrasikan	məŋonsentrasˈikan
mengoreksi	məŋorɛʔsˈi
mengsukseskan	məŋsuʔsɛskˈan
menguret	məŋˈurɛt
menjengkelkan	mənd͡ʒɛŋkɛlkˈan
menopause	menopaˈusə
menorah	menˈorah
mens	mˈɛns
menstruasi	mɛnstruˈasi
mensukseskan	mənsuʔsɛskˈan
mental	mɛntˈal
mentega	məntɛɡˈa
mentol	mɛntˈol
mentor	mɛntˈor
menwa	mɛnwˈa
menyawer	məɲˈawɛr
menyeka	məɲekˈa
menyenggol	məɲɛŋɡˈol
menyerak	məɲerˈaʔ
menyerakkan	məɲerˈaʔkan
menyeret	məɲɛrˈɛt
menyetan	məɲetˈan
menyukseskan	məɲuʔsɛskˈan
meong	meˈoŋ
merdeka	mərdekˈa
mereformasi	məreformˈasi
merek	mɛrˈəʔ
mereka	mərekˈa
merekonstruksi	mərekonstrˈuʔsi
meritokrasi	meritoʔrˈasi
meritokratis	meritoʔrˈatis
merk	mˈɛrʔ
merkuri	mɛrkˈuri
merkurium	mɛrkurˈium
meronimi	meronˈimi
meru	merˈu
meses	mɛsˈəs
mestizo	mɛstˈizo
metabolik	metabˈoliʔ
metabolisme	mɛtabolˈismə
metabolit	metabˈolit
metamorfosis	metamorfˈosis
metana	mɛtˈana
mete	metˈe
meter	mɛtˈər
metilasi	metilˈasi
metopen	metˈopɛn
metropolis	mɛtropˈolis
metropolitan	metropolˈitan
mewah	mewˈah
mikroelektronika	miʔroelɛʔtronˈika
minaret	minˈarɛt
misteri	misterˈi
misterius	misterˈius
mnemonik	mnemˈoniʔ
model	mˈodɛl
moge	mˈoɡe
mokel	mˈokɛl
mokumenter	mokumentˈər
molase	molˈase
molek	mˈolɛʔ
molekuler	moləkˈulɛr
momentum	momɛntˈum
monev	mˈonɛv
monomer	monˈomɛr
mononukleosis	mononuʔleˈosis
monorel	monˈorel
monoteisme	monoteˈismə
montessori	montessˈori
monumen	monˈumɛn
monyet	mˈoɲet
morel	mˈorel
muntaber	muntˈabɛr
murbei	murbeˈi
mutagen	mutˈaɡɛn
narkolepsi	narkolɛpsˈi
negoisasi	nɛɡoisˈasi
negosiasi	neɡosiˈasi
negosiator	neɡosiˈator
neker	nɛkˈer
nekolim	nekˈolim
nekrokrasi	neʔroʔrˈasi
nekrosis	nɛʔrˈosis
nembak	nembˈaʔ
nempel	nɛmpˈɛl
nenda	nɛndˈa
nenek	nɛnˈɛʔ
nenen	nɛnˈɛn
nenenda	nɛnɛndˈa
neng	nˈeŋ
neofobia	nɛofobˈia
neokolonialisme	neokolonialˈismə
neokonservatisme	neokonsɛrvatˈismə
neokorporatisme	neokorporatˈismə
neonatus	neonˈatus
neonaziisme	neonaziˈismə
neorealisme	neorəalˈismə
nepotisme	nepotˈismə
nepsong	nepsˈoŋ
neptang	nɛptˈaŋ
net	nˈɛt
neto	netˈo
netralitas	nɛtralˈitas
neural	neˈural
neutron	neˈutron
ngentot	ŋentˈot
nitrogen	nitrˈoɡen
nolep	nˈolɛp
nomenklatur	nomɛnʔlˈatur
nomotetik	nomotetˈiʔ
nomotetis	nomotetˈis
nopek	nˈopɛʔ
novel	nˈovɛl
novelkan	novɛlkˈan
novena	novenˈa
nutrien	nutrˈiɛn
obesitas	obɛsˈitas
objektif	obd͡ʒɛʔtˈif
objektivitas	obd͡ʒɛʔtivˈitas
obsesi	obsesˈi
obsesif	obsesˈif
obsolet	obsˈolɛt
obstetri	obstɛtrˈi
obyektif	objɛʔtˈif
oden	ˈodɛn
odeng	ˈodɛŋ
odeon	odeˈon
ofensif	ofensˈif
ofset	ˈofsɛt
oke	ˈoke
oksigen	oʔsˈiɡen
oksimeter	oʔsimɛtˈər
oleh	ˈolɛh
omakase	omakˈase
onderneming	ondərnemˈiŋ
onderstel	ondərstˈɛl
onsen	ˈonsɛn
ooblastema	ooblastemˈa
oprek	ˈoprɛʔ
opsen	ˈopsɛn
opset	ˈopset
optometri	optometrˈi
ordiner	ordˈinɛr
oriental	oriɛntˈal
ornamen	ornˈamɛn
ornamental	ornamɛntˈal
ortopedi	ortopɛdˈi
osean	oseˈan
oskep	ˈoskɛp
osmoregulasi	osmoreɡulˈasi
ospek	ˈospɛʔ
otoriter	otorˈitɛr
otoritet	otorˈitɛt
overstek	ovərstˈɛʔ
paes	pˈaɛs
pahe	pˈahe
paleoantropologi	paleoantropolˈoɡi
paleobiologi	paleobiolˈoɡi
paleoentomologi	paleoɛntomolˈoɡi
paleografi	paleoɡrˈafi
paleontologi	paleontolˈoɡi
paleozoologi	paleozoolˈoɡi
pameran	pamɛrˈan
panasea	panaseˈa
pande	pˈande
pandemi	pandemˈi
pandemik	pandemˈiʔ
panel	pˈanɛl
panelis	panelˈis
pangeran	paŋɛrˈan
pankreas	panʔreˈas
panteis	panteˈis
panteon	panteˈon
paramedis	paramedˈis
parameter	parametˈər
parametris	paramɛtrˈis
parenkim	parɛnkˈim
parfe	pˈarfe
parlemen	parləmˈɛn
parlementer	parləmɛntˈɛr
paseban	pasebˈan
pastei	pasteˈi
pastel	pˈastɛl
paten	pˈatɛn
patena	patenˈa
patetis	patetˈis
patogen	patˈoɡɛn
patogenisitas	patoɡenisˈitas
payet	pˈajɛt
peci	pet͡ʃˈi
pecun	pet͡ʃˈun
pedagog	pedˈaɡoɡ
pedagogi	pedaɡˈoɡi
pedagogik	pedaɡˈoɡiʔ
pedagogis	pedaɡˈoɡis
pede	pedˈe
pedesaan	pədɛsˈaan
pedikur	pedˈikur
pedofil	pedˈofil
pedofilia	pedofilˈia
peil	peˈil
peilschaal	pɛilst͡ʃhˈaal
pek	pˈɛʔ
peka	pekˈa
pekon	pekˈon
peladen	pəlˈadɛn
pelagra	pelˈaɡra
pelbet	pelbˈet
peleleh	pəlɛlˈɛh
pelelehan	pəlɛlɛhˈan
peler	pəlˈer
peleset	pəlesˈet
pelet	pelˈet
pelo	pelˈo
pelor	pelˈor
pelples	pelplˈes
pelt	pˈɛlt
pembebas	pəmbebˈas
pembebasan	pəmbebˈasan
pembeda	pəmbɛdˈa
pembedaan	pəmbɛdˈaan
pemerolehan	pəmərolɛhˈan
pemetaan	pəmetˈaan
pen	pˈɛn
pena	pɛnˈa
penalti	penˈalti
