敵わな	かなわな
生態	せいたい
生態学	せいたいがく
生態系	せいたいけい
生誕	せいたん
生地	きじ
生中継	なまちゅうけい
生長	せいちょう
生徒	せいと
生年月日	せいねんがっぴ
生番組	なまばんぐみ
生物	せいぶつ
生物学	せいぶつがく
生保	せいほ
生放送	なまほうそう
生命	せいめい
生命保険	せいめいほけん
生卵	なまたまご
生理	せいり
生理的	せいりてき
生姜	しょうが
盛り場	さかりば
盛ん	さかん
盛況	せいきょう
盛衰	せいすい
盛大	せいだい
精	せい
精一杯	せいいっぱい
精鋭	せいえい
精液	せいえき
精巧	せいこう
精査	せいさ
精細	せいさい
精算	せいさん
精子	せいし
精神	せいしん
精神衛生	せいしんえいせい
精神科	せいしんか
精神薄弱	せいしんはくじゃく
精進	しょうじん
精製	せいせい
精選	せいせん
精通	せいつう
精度	せいど
精肉	せいにく
精米	せいまい
精密	せいみつ
精力	せいりょく
精錬	せいれん
精緻	せいち
聖域	せいいき
聖歌	せいか
聖書	せいしょ
聖人	せいじん
聖戦	せいせん
聖典	せいてん
聖堂	せいどう
聖母	せいぼ
声	こえ
声援	せいえん
声楽	せいがく
声高	こわだか
声色	こわいろ
声帯	せいたい
声明	せいめい
声紋	せいもん
声優	せいゆう
製	せい
製菓	せいか
製鋼	せいこう
製作	せいさく
製図	せいず
製造	せいぞう
製鉄	せいてつ
製糖	せいとう
製版	せいはん
製品	せいひん
製粉	せいふん
製法	せいほう
製本	せいほん
製薬	せいやく
西	にし
西ドイツ	にしドイツ
西瓜	すいか
西欧	せいおう
西口	にしぐち
西側	にしがわ
西南	せいなん
西南西	せいなんせい
西日	にしび
西部	せいぶ
西風	にしかぜ
西北	せいほく
西北西	せいほくせい
西洋	せいよう
西洋人	せいようじん
西暦	せいれき
誠に	まことに
誠意	せいい
誠実	せいじつ
誓約	せいやく
請願	せいがん
請求	せいきゅう
請求書	せいきゅうしょ
請負人	うけおいにん
逝去	せいきょ
青	あお
青果	せいか
青空	あおぞら
青菜	あおな
青酸	せいさん
青春	せいしゅん
青少年	せいしょうねん
青色	あおいろ
青信号	あおしんごう
青田買い	あおたがい
青砥	あおと
青銅	せいどう
青年	せいねん
青嵐	あおあらし
静か	しずか
静けさ	しずけさ
静穏	せいおん
静観	せいかん
静止	せいし
静寂	せいじゃく
静粛	せいしゅく
静的	せいてき
静電気	せいでんき
静物	せいぶつ
静脈	じょうみゃく
斉唱	せいしょう
税引き	ぜいびき
税額	ぜいがく
税関	ぜいかん
税金	ぜいきん
税収	ぜいしゅう
税制	ぜいせい
税法	ぜいほう
税務	ぜいむ
税務署	ぜいむしょ
税理士	ぜいりし
税率	ぜいりつ
席	せき
席上	せきじょう
惜敗	せきはい
昔	むかし
昔風	むかしふう
昔話	むかしばなし
石	こく
石英	せきえい
石灰	せっかい
石垣	いしがき
石棺	せっかん
石器時代	せっきじだい
石橋	いしばし
石鹸	せっけん
石室	せきしつ
石畳	いしだたみ
石炭	せきたん
石段	いしだん
石頭	いしあたま
石碑	せきひ
石仏	せきぶつ
石油	せきゆ
積	せき
積立	つみたて
積極	せっきょく
積極的	せっきょくてき
積載	せきさい
積算	せきさん
積雪	せきせつ
積乱雲	せきらんうん
積立金	つみたてきん
脊髄	せきずい
脊椎	せきつい
責任	せきにん
責任者	せきにんしゃ
責任転嫁	せきにんてんか
責務	せきむ
赤ちゃん	あかちゃん
赤ん坊	あかんぼう
赤外線	せきがいせん
赤軍	せきぐん
赤血球	せっけっきゅう
赤字	あかじ
赤潮	あかしお
赤道	せきどう
赤飯	せきはん
赤面	せきめん
赤毛	あかげ
赤痢	せきり
跡	あと
跡継ぎ	あとつぎ
跡取り	あととり
跡目	あとめ
切り花	きりばな
切り開き	きりひらき
切り干し	きりぼし
切り口	きりくち
切り盛り	きりもり
切り貼り	きりばり
切り売り	きりうり
切り立った	きりたった
切れ込み	きれこみ
切れ端	きれはし
切羽	きりは
切開	せっかい
切実	せつじつ
切手	きって
切除	せつじょ
切断	せつだん
切迫	せっぱく
切符	きっぷ
切腹	せっぷく
切望	せつぼう
切磋琢磨	せっさたくま
拙速	せっそく
拙劣	せつれつ
接する	せっする
接客	せっきゃく
接近	せっきん
接見	せっけん
接合	せつごう
接種	せっしゅ
接収	せっしゅう
接触	せっしょく
接戦	せっせん
接続	せつぞく
接待	せったい
接地	せっち
接着	せっちゃく
接点	せってん
接吻	せっぷん
摂氏	せっし
摂取	せっしゅ
摂理	せつり
折	おり
折から	おりから
折りたたみ	おりたたみ
折衝	せっしょう
折衷	せっちゅう
折半	せっぱん
設営	せつえい
設計	せっけい
設置	せっち
設定	せってい
設備	せつび
設問	せつもん
設立	せつりつ
窃盗	せっとう
節	せつ
節減	せつげん
節水	せっすい
節制	せっせい
節操	せっそう
節電	せつでん
節度	せつど
節分	せつぶん
節約	せつやく
説	せつ
説教	せっきょう
説得	せっとく
説得力	せっとくりょく
説明	せつめい
説明書	せつめいしょ
説話	せつわ
雪	ゆき
雪解け	ゆきどけ
雪渓	せっけい
雪国	ゆきぐに
雪辱	せつじょく
雪中	せっちゅう
雪道	ゆきみち
雪崩	なだれ
絶えず	たえず
絶え間なく	たえまなく
絶縁	ぜつえん
絶叫	ぜっきょう
絶句	ぜっく
絶交	ぜっこう
絶好	ぜっこう
絶対	ぜったい
絶大	ぜつだい
絶頂	ぜっちょう
絶版	ぜっぱん
絶壁	ぜっぺき
絶望	ぜつぼう
絶妙	ぜつみょう
絶滅	ぜつめつ
舌	した
舌戦	ぜっせん
舌足らず	したたらず
舌打ち	したうち
蝉	せみ
仙人	せんにん
先々	さきざき
先ず	まず
先に	さきに
先安	さきやす
先回り	さきまわり
先議	せんぎ
先駆	せんく
先決	せんけつ
先月	せんげつ
先見	せんけん
先遣	せんけん
先攻	せんこう
先行	せんこう
先高	さきだか
先刻	せんこく
先妻	せんさい
先取	せんしゅ
先取り	さきどり
先手	せんて
先週	せんしゅう
先勝	せんしょう
先進	せんしん
先進国	せんしんこく
先人	せんじん
先陣	せんじん
先制	せんせい
先生	せんせい
先祖	せんぞ
先代	せんだい
先達	せんだつ
先だって	せんだって
先端	せんたん
先端的	せんたんてき
先着	せんちゃく
先ほど	さきほど
先天性	せんてんせい
先天的	せんてんてき
先導	せんどう
先日	せんじつ
先入観	せんにゅうかん
先年	せんねん
先輩	せんぱい
先発	せんぱつ
先般	せんぱん
先払い	さきばらい
先物	さきもの
先鞭	せんべん
先方	せんぽう
先鋒	せんぽう
先例	せんれい
千	せん
千円札	せんえんさつ
千差万別	せんさばんべつ
千載一遇	せんざいいちぐう
千秋	せんしゅう
千秋楽	せんしゅうらく
千尋	せんじん
千草	ちぐさ
千鳥	ちどり
千島	ちしま
千万	せんまん
千里	せんり
占拠	せんきょ
占星術	せんせいじゅつ
占有	せんゆう
占領	せんりょう
宣教	せんきょう
宣教師	せんきょうし
宣言	せんげん
宣告	せんこく
宣誓	せんせい
宣戦	せんせん
宣伝	せんでん
専ら	もっぱら
専横	せんおう
専科	せんか
専業	せんぎょう
専攻	せんこう
専修	せんしゅう
専心	せんしん
専制	せんせい
専属	せんぞく
専任	せんにん
専念	せんねん
専売	せんばい
専務	せんむ
専門	せんもん
専門家	せんもんか
専門的	せんもんてき
専門店	せんもんてん
川	かわ
川沿い	かわぞい
川下	かわしも
川岸	かわぎし
川上	かわかみ
川端	かわばた
川柳	せんりゅう
戦域	せんいき
戦火	せんか
戦禍	せんか
戦艦	せんかん
戦記	せんき
戦局	せんきょく
戦国	せんごく
戦災	せんさい
戦士	せんし
戦死	せんし
戦時	せんじ
戦車	せんしゃ
戦術	せんじゅつ
戦勝	せんしょう
戦場	せんじょう
戦線	せんせん
戦前	せんぜん
戦争	せんそう
戦闘	せんとう
戦闘機	せんとうき
戦犯	せんぱん
戦没	せんぼつ
戦乱	せんらん
戦略	せんりゃく
戦力	せんりょく
戦列	せんれつ
戦慄	せんりつ
扇	おうぎ
扇子	せんす
扇動	せんどう
扇風機	せんぷうき
栓抜き	せんぬき
泉	いずみ
泉水	いずみ
浅瀬	あさせ
洗顔	せんがん
洗剤	せんざい
洗車	せんしゃ
洗浄	せんじょう
洗濯	せんたく
洗濯機	せんたくき
洗濯物	せんたくもの
洗脳	せんのう
洗髪	せんぱつ
洗面	せんめん
洗面器	せんめんき
洗面所	せんめんじょ
洗礼	せんれい
洗練	せんれん
染織	せんしょく
染色	せんしょく
染料	せんりょう
潜航	せんこう
潜在	せんざい
潜水	せんすい
潜水艦	せんすいかん
潜入	せんにゅう
潜伏	せんぷく
煎茶	せんちゃ
煎餅	せんべい
旋回	せんかい
旋盤	せんばん
旋風	せんぷう
旋律	せんりつ
線	せん
線画	せんが
線形	せんけい
線香	せんこう
線量	せんりょう
線路	せんろ
繊維	せんい
繊細	せんさい
羨望	せんぼう
船員	せんいん
船室	せんしつ
船主	せんしゅ
船首	せんしゅ
船酔い	ふなよい
船団	せんだん
船長	せんちょう
船舶	せんぱく
船尾	せんび
船便	ふなびん
船旅	ふなたび
選挙	せんきょ
選挙権	せんきょけん
選挙戦	せんきょせん
選曲	せんきょく
選考	せんこう
選手	せんしゅ
選手権	せんしゅけん
選集	せんしゅう
選出	せんしゅつ
選択	せんたく
選択科目	せんたくかもく
選択肢	せんたくし
選定	せんてい
選任	せんにん
選抜	せんばつ
選別	せんべつ
銭	せん
銭湯	せんとう
銑鉄	せんてつ
鮮やか	あざやか
鮮魚	せんぎょ
鮮度	せんど
鮮明	せんめい
鮮烈	せんれつ
前	まえ
前衛	ぜんえい
前科	ぜんか
前回	ぜんかい
前期	ぜんき
前記	ぜんき
前駆	ぜんく
前言	ぜんげん
前後	ぜんご
前向き	まえむき
前項	ぜんこう
前座	ぜんざ
前菜	ぜんさい
前山	まえやま
前史	ぜんし
前者	ぜんしゃ
前借り	まえがり
前週	ぜんしゅう
前述	ぜんじゅつ
前書き	まえがき
前哨戦	ぜんしょうせん
前場	ぜんば
前触れ	まえぶれ
前身	ぜんしん
前進	ぜんしん
前世	ぜんせい
前世界	ぜんせかい
前世紀	ぜんせいき
前節	ぜんせつ
前線	ぜんせん
前奏曲	ぜんそうきょく
前代	ぜんだい
前代未聞	ぜんだいみもん
前段	ぜんだん
前置き	まえおき
前著	ぜんちょ
前庭	ぜんてい
前提	ぜんてい
前途	ぜんと
前頭	まえがしら
前日	ぜんじつ
前任	ぜんにん
前任者	ぜんにんしゃ
前年	ぜんねん
前年度	ぜんねんど
前髪	まえがみ
前半戦	ぜんはんせん
前部	ぜんぶ
前文	ぜんぶん
前方	ぜんぽう
前方後円墳	ぜんぽうこうえんふん
前面	ぜんめん
前門	ぜんもん
前夜	ぜんや
前夜祭	ぜんやさい
前立腺	ぜんりつせん
前略	ぜんりゃく
前例	ぜんれい
前歴	ぜんれき
前列	ぜんれつ
善	ぜん
善悪	ぜんあく
善意	ぜんい
善玉	ぜんだま
善行	ぜんこう
善処	ぜんしょ
善人	ぜんにん
善戦	ぜんせん
善良	ぜんりょう
善隣	ぜんりん
漸く	ようやく
漸減	ぜんげん
漸次	ぜんじ
漸進	ぜんしん
そう言う	そういう
全	ぜん
真っ当	まっとう
全く	まったく
全域	ぜんいき
全員	ぜんいん
全壊	ぜんかい
全快	ぜんかい
全開	ぜんかい
全額	ぜんがく
全巻	ぜんかん
全館	ぜんかん
全曲	ぜんきょく
全軍	ぜんぐん
全権	ぜんけん
全戸	ぜんこ
全校	ぜんこう
全国的	ぜんこくてき
全市	ぜんし
全社	ぜんしゃ
全集	ぜんしゅう
全勝	ぜんしょう
全焼	ぜんしょう
全身	ぜんしん
全人	ぜんじん
全世界	ぜんせかい
全盛	ぜんせい
全然	ぜんぜん
全速力	ぜんそくりょく
全体	ぜんたい
全体主義	ぜんたいしゅぎ
全長	ぜんちょう
全店	ぜんてん
全土	ぜんど
全島	ぜんとう
全日	ぜんじつ
全日制	ぜんにちせい
全廃	ぜんぱい
全敗	ぜんぱい
全般	ぜんぱん
全部	ぜんぶ
全幅	ぜんぷく
全文	ぜんぶん
全米	ぜんべい
全編	ぜんぺん
全貌	ぜんぼう
全滅	ぜんめつ
全面	ぜんめん
全面的	ぜんめんてき
全訳	ぜんやく
全容	ぜんよう
全裸	ぜんら
全量	ぜんりょう
全力	ぜんりょく
禅	ぜん
禅寺	ぜんでら
禅宗	ぜんしゅう
禅僧	ぜんそう
禅問答	ぜんもんどう
膳	ぜん
措置	そち
狙い撃ち	ねらいうち
狙撃	そげき
狙撃兵	そげきへい
疎か	おろそか
疎ら	まばら
疎遠	そえん
疎開	そかい
疎外	そがい
疎通	そつう
礎	いしずえ
礎石	そせき
祖国	そこく
祖先	そせん
祖父	そふ
祖父母	そふぼ
祖母	そぼ
租界	そかい
租税	そぜい
粗悪	そあく
粗筋	あらすじ
粗大	そだい
粗品	そしな
粗暴	そぼう
粗末	そまつ
粗野	そや
素因	そいん
素顔	すがお
素行	そこう
素材	そざい
素子	そし
素質	そしつ
素手	すで
素人	しろうと
素性	すじょう
素足	すあし
素直	すなお
素敵	すてき
素肌	すはだ
素描	そびょう
素朴	そぼく
素養	そよう
素粒子	そりゅうし
組	くみ
組閣	そかく
組曲	くみきょく
組合	くみあい
組織	そしき
組織的	そしきてき
組成	そせい
組長	くみちょう
訴訟	そしょう
訴状	そじょう
訴追	そつい
阻害	そがい
阻止	そし
鼠	ネズミ
僧	そう
僧院	そういん
僧籍	そうせき
僧堂	そうどう
僧侶	そうりょ
創意	そうい
創価学会	そうかがっかい
創刊	そうかん
創業	そうぎょう
創建	そうけん
創作	そうさく
創始	そうし
創世	そうせい
創世記	そうせいき
創設	そうせつ
創造	そうぞう
創造的	そうぞうてき
創造力	そうぞうりょく
創立	そうりつ
双	そう
双眼鏡	そうがんきょう
双子	ふたご
双生児	そうせいじ
双頭	そうとう
双発	そうはつ
双方	そうほう
叢書	そうしょ
叢立ち	そうだち
倉庫	そうこ
倉敷	くらしき
喪失	そうしつ
喪主	もしゅ
喪章	もしょう
喪服	もふく
壮観	そうかん
壮行	そうこう
壮絶	そうぜつ
壮大	そうだい
壮年	そうねん
壮麗	そうれい
壮烈	そうれつ
奏者	そうしゃ
奏法	そうほう
爽やか	さわやか
爽快	そうかい
惣菜	そうざい
想起	そうき
想像	そうぞう
想定	そうてい
捜査	そうさ
捜索	そうさく
掃海	そうかい
掃除	そうじ
掃討	そうとう
挿入	そうにゅう
挿話	そうわ
かき氷	かきごおり
操	みさお
操業	そうぎょう
操作	そうさ
操車	そうしゃ
操縦	そうじゅう
早引け	はやびけ
早期	そうき
早起き	はやおき
早計	そうけい
早口	はやくち
早熟	そうじゅく
早瀬	はやせ
早足	はやあし
早速	さっそく
早退	そうたい
早朝	そうちょう
早晩	そうばん
巣	す
巣箱	すばこ
槍	やり
漕艇	そうてい
争議	そうぎ
争奪	そうだつ
争点	そうてん
相違	そうい
相応	そうおう
相関	そうかん
相打ち	あいうち
相互銀行	そうごぎんこう
相殺	そうさい
相似	そうじ
相手	あいて
相手方	あいてかた
相乗	そうじょう
相場	そうば
相続	そうぞく
相対	あいたい
相対性理論	そうたいせいりろん
相対的	そうたいてき
相談	そうだん
相槌	あいづち
相当	そうとう
相変わらず	あいかわらず
相棒	あいぼう
相撲	すもう
相撲取り	すもうとり
窓	まど
窓越し	まどごし
窓口	まどぐち
窓際	まどぎわ
総	そう
総意	そうい
総会	そうかい
総会屋	そうかいや
総額	そうがく
総括	そうかつ
総監	そうかん
総計	そうけい
総決算	そうけっさん
総攻撃	そうこうげき
総合的	そうごうてき
総裁	そうさい
総辞職	そうじしょく
総収入	そうしゅうにゅう
総称	そうしょう
総帥	そうすい
総数	そうすう
総勢	そうぜい
総選挙	そうせんきょ
総体	そうたい
総代	そうだい
総長	そうちょう
総統	そうとう
総督	そうとく
総評	そうひょう
総務	そうむ
総目録	そうもくろく
総覧	そうらん
総理	そうり
総理大臣	そうりだいじん
総理府	そうりふ
総量	そうりょう
総領事	そうりょうじ
総力	そうりょく
総和	そうわ
草	くさ
草の根	くさのね
草案	そうあん
草花	くさばな
草原	そうげん
草稿	そうこう
草取り	くさとり
草書	そうしょ
草笛	くさぶえ
草野球	くさやきゅう
草履	ぞうり
荘園	しょうえん
荘厳	そうごん
葬儀	そうぎ
葬式	そうしき
葬送	そうそう
葬列	そうれつ
藻	も
藻類	そうるい
装具	そうぐ
装甲	そうこう
装飾	そうしょく
装束	しょうぞく
装置	そうち
装着	そうちゃく
装備	そうび
走り高跳び	はしりたかとび
走り書き	はしりがき
走り幅跳び	はしりはばとび
走行	そうこう
走査	そうさ
走者	そうしゃ
送り仮名	おくりがな
送り先	おくりさき
送還	そうかん
送金	そうきん
送迎	そうげい
送検	そうけん
送受	そうじゅ
送信	そうしん
送電	そうでん
送付	そうふ
送別	そうべつ
送別会	そうべつかい
送料	そうりょう
遭遇	そうぐう
遭難	そうなん
霜	しも
霜降り	しもふり
騒音	そうおん
騒然	そうぜん
騒動	そうどう
騒乱	そうらん
像	ぞう
増員	ぞういん
増援	ぞうえん
増加	ぞうか
増刊	ぞうかん
増強	ぞうきょう
増減	ぞうげん
増刷	ぞうさつ
増産	ぞうさん
増資	ぞうし
増収	ぞうしゅう
増殖	ぞうしょく
増進	ぞうしん
増税	ぞうぜい
増設	ぞうせつ
増大	ぞうだい
増築	ぞうちく
増長	ぞうちょう
増幅	ぞうふく
憎しみ	にくしみ
憎悪	ぞうお
臓器	ぞうき
蔵書	ぞうしょ
蔵相	ぞうしょう
贈り主	おくりぬし
贈収賄	ぞうしゅうわい
贈呈	ぞうてい
贈答	ぞうとう
贈与	ぞうよ
贈賄	ぞうわい
造形	ぞうけい
造語	ぞうご
造作	ぞうさ
造船	ぞうせん
造林	ぞうりん
促進	そくしん
促成	そくせい
側	そば
側近	そっきん
側溝	そっこう
側室	そくしつ
側壁	そくへき
側面	そくめん
即する	そくする
即ち	すなわち
即位	そくい
即応	そくおう
即興	そっきょう
即効	そっこう
即刻	そっこく
即座	そくざ
即座に	そくざに
即死	そくし
即時	そくじ
即席	そくせき
即断	そくだん
即答	そくとう
即日	そくじつ
即売	そくばい
即物的	そくぶつてき
息	いき
息子	むすこ
息吹	いぶき
息切れ	いきぎれ
息抜き	いきぬき
束	たば
つかの間	つかのま
束縛	そくばく
測候所	そっこうじょ
測地	そくち
測定	そくてい
測量	そくりょう
足	あし
足し算	たしざん
足音	あしおと
足腰	あしこし
足止め	あしどめ
足取り	あしどり
足首	あしくび
足場	あしば
足早	あしばや
足袋	たび
足踏み	あしぶみ
足並み	あしなみ
速さ	はやさ
速やか	すみやか
速記	そっき
速達	そくたつ
速度	そくど
速報	そくほう
速力	そくりょく
俗語	ぞくご
俗説	ぞくせつ
属する	ぞくする
属性	ぞくせい
族	ぞく
続行	ぞっこう
続出	ぞくしゅつ
続発	ぞくはつ
続編	ぞくへん
卒業	そつぎょう
卒業後	そつぎょうご
卒業式	そつぎょうしき
卒業生	そつぎょうせい
袖	そで
其のまま	そのまま
其れでは	それでは
其れでも	それでも
其れなら	それなら
其処で	そこで
存在	そんざい
存続	そんぞく
存分	ぞんぶん
孫	まご
孫娘	まごむすめ
尊敬	そんけい
尊厳	そんげん
尊重	そんちょう
尊称	そんしょう
損	そん
損益	そんえき
損害	そんがい
損害賠償	そんがいばいしょう
損害保険	そんがいほけん
損失	そんしつ
損傷	そんしょう
損得	そんとく
村	むら
村人	むらびと
村長	そんちょう
村八分	むらはちぶ
村民	そんみん
他意	たい
他界	たかい
他国	たこく
他殺	たさつ
他山の石	たざんのいし
他社	たしゃ
他者	たしゃ
他店	たてん
他派	たは
他方	たほう
他面	ためん
他力	たりき
多	た
多寡	たか
多額	たがく
多岐	たき
多元	たげん
多元的	たげんてき
多彩	たさい
多才	たさい
多産	たさん
多湿	たしつ
多種	たしゅ
多種多様	たしゅたよう
多重	たじゅう
多少	たしょう
多数	たすう
多数決	たすうけつ
多勢	たぜい
多大	ただい
多難	たなん
多年	たねん
多年草	たねんそう
多分	たぶん
多弁	たべん
多忙	たぼう
多面	ためん
多目的	たもくてき
多様	たよう
多様化	たようか
多様性	たようせい
多用	たよう
多量	たりょう
太っ腹	ふとっぱら
太古	たいこ
太もも	ふともも
太鼓	たいこ
太鼓判	たいこばん
太字	ふとじ
太刀	たち
太刀打ち	たちうち
太平洋	たいへいよう
太陽	たいよう
唾	つば
堕胎	だたい
堕落	だらく
妥協	だきょう
妥結	だけつ
妥当	だとう
惰性	だせい
打つ手	うつて
打開	だかい
打楽器	だがっき
打撃	だげき
打算的	ださんてき
打者	だしゃ
打診	だしん
打数	だすう
打線	だせん
打倒	だとう
打破	だは
打撲	だぼく
打率	だりつ
舵	かじ
楕円	だえん
駄菓子	だがし
駄目	だめ
体	からだ
体育	たいいく
体育館	たいいくかん
体液	たいえき
体温	たいおん
体温計	たいおんけい
体外	たいがい
体外受精	たいがいじゅせい
体格	たいかく
体感	たいかん
体型	たいけい
体系	たいけい
体系的	たいけいてき
体験	たいけん
体現	たいげん
体裁	ていさい
体質	たいしつ
体臭	たいしゅう
体重	たいじゅう
体制	たいせい
体積	たいせき
体操	たいそう
体調	たいちょう
体長	たいちょう
体得	たいとく
体内	たいない
体罰	たいばつ
体つき	からだつき
体面	たいめん
体力	たいりょく
堆積	たいせき
堆肥	たいひ
対	たい
対案	たいあん
対応	たいおう
対外	たいがい
対岸	たいがん
対決	たいけつ
対向	たいこう
対抗	たいこう
対策	たいさく
対処	たいしょ
対照	たいしょう
対称	たいしょう
対象	たいしょう
対戦	たいせん
対談	たいだん
対等	たいとう
対比	たいひ
対面	たいめん
対訳	たいやく
対立	たいりつ
対話	たいわ
対峙	たいじ
耐火	たいか
耐久	たいきゅう
耐震	たいしん
耐熱	たいねつ
帯	たい
待ち伏せ	まちぶせ
待機	たいき
待遇	たいぐう
待合室	まちあいしつ
待望	たいぼう
怠け者	なまけもの
怠惰	たいだ
怠慢	たいまん
態と	わざと
態勢	たいせい
態度	たいど
頂きます	いただきます
戴冠式	たいかんしき
替え玉	かえだま
泰然	たいぜん
滞在	たいざい
滞納	たいのう
胎教	たいきょう
胎児	たいじ
胎動	たいどう
胎内	たいない
胎盤	たいばん
苔	こけ
袋	ふくろ
袋小路	ふくろこうじ
貸付	かしつけ
貸家	かしや
貸借	たいしゃく
貸し倒れ	かしだおれ
貸与	たいよ
引き時	ひきどき
退位	たいい
退院	たいいん
退化	たいか
退会	たいかい
退学	たいがく
退官	たいかん
退却	たいきゃく
退去	たいきょ
退散	たいさん
退治	たいじ
退社	たいしゃ
退出	たいしゅつ
退職	たいしょく
退陣	たいじん
退任	たいにん
退避	たいひ
逮捕	たいほ
隊員	たいいん
隊長	たいちょう
鯛	タイ
代案	だいあん
代価	だいか
代官	だいかん
代議	だいぎ
代議士	だいぎし
代金	だいきん
代行	だいこう
代執行	だいしっこう
代謝	たいしゃ
代書	だいしょ
代償	だいしょう
代人	だいにん
代走	だいそう
代打	だいだ
代読	だいどく
代筆	だいひつ
代表	だいひょう
代表作	だいひょうさく
代表的	だいひょうてき
代物	しろもの
代弁	だいべん
代名詞	だいめいし
代役	だいやく
代用	だいよう
代理	だいり
代理人	だいりにん
代理店	だいりてん
台	だい
台形	だいけい
台座	だいざ
台紙	だいし
台車	だいしゃ
台所	だいどころ
台場	だいば
台地	だいち
台帳	だいちょう
台頭	たいとう
台本	だいほん
台無し	だいなし
台湾	たいわん
大々的	だいだいてき
大いに	おおいに
大きな	おおきな
大きさ	おおきさ
大雑把	おおざっぱ
大した	たいした
大して	たいして
大まか	おおまか
大安	たいあん
大尉	たいい
大宇宙	だいうちゅう
大雨	おおあめ
大奥	おおおく
大王	だいおう
大家	たいか
大家族	だいかぞく
大火	たいか
大会	たいかい
大晦日	おおみそか
大海	たいかい
大概	たいがい
大学	だいがく
大学院	だいがくいん
大学生	だいがくせい
大掛かり	おおがかり
大企業	だいきぎょう
大喜び	おおよろこび
大気	たいき
大規模	だいきぼ
大義名分	たいぎめいぶん
大急ぎ	おおいそぎ
大漁	たいりょう
大仰	おおぎょう
大局	たいきょく
大筋	おおすじ
大金	たいきん
大空	おおぞら
大群	たいぐん
大型	おおがた
大嫌い	だいきらい
大公	たいこう
大好き	だいすき
大工	だいく
大国	たいこく
大黒柱	だいこくばしら
大根	だいこん
大佐	たいさ
大差	たいさ
大祭	たいさい
大作	たいさく
大使	たいし
大使館	たいしかん
大司教	だいしきょう
大志	たいし
大枝	おおえだ
大事	だいじ
大字	おおあざ
大社	たいしゃ
大手	おおて
大樹	たいじゅ
大衆	たいしゅう
大衆文学	たいしゅうぶんがく
大勝	たいしょう
大小	だいしょう
大笑い	おおわらい
大賞	たいしょう
大丈夫	だいじょうぶ
大臣	だいじん
大人	おとな
大水	おおみず
大勢	おおぜい
大成功	だいせいこう
大正	たいしょう
大盛り	おおもり
大声	おおごえ
大西洋	たいせいよう
大昔	おおむかし
大切	たいせつ
大雪	おおゆき
大戦	たいせん
大全	たいぜん
大層	たいそう
大掃除	おおそうじ
大相撲	おおずもう
大騒ぎ	おおさわぎ
大蔵	おおくら
大蔵省	おおくらしょう
大多数	だいたすう
大体	だいたい
大隊	だいたい
大胆	だいたん
大男	おおおとこ
大地	だいち
大腸	だいちょう
大通り	おおどおり
大抵	たいてい
大敵	たいてき
大都市	だいとし
大統領	だいとうりょう
大豆	だいず
大徳	だいとく
大入り	おおいり
大脳	だいのう
大波	おおなみ
大麦	おおむぎ
大半	たいはん
大部	だいぶ
大部分	だいぶぶん
大幅	おおはば
大仏	だいぶつ
大物	おおもの
大分	だいぶ
大文字	おおもじ
大柄	おおがら
大別	たいべつ
大変	たいへん
大便	だいべん
大方	おおかた
大砲	たいほう
大麻	たいま
大名	だいみょう
大木	たいぼく
大理石	だいりせき
大陸	たいりく
大陸棚	たいりくだな
大粒	おおつぶ
大量	たいりょう
第	だい
第一	だいいち
第一印象	だいいちいんしょう
第一人者	だいいちにんしゃ
第一歩	だいいっぽ
第三者	だいさんしゃ
第二	だいに
醍醐味	だいごみ
題	だい
題材	だいざい
題名	だいめい
題目	だいもく
鷹	たか
滝	たき
滝口	たきぐち
滝川	たきがわ
卓	たく
卓越	たくえつ
卓球	たっきゅう
卓上	たくじょう
卓抜	たくばつ
宅	たく
宅急便	たっきゅうびん
宅地	たくち
宅配	たくはい
宅配便	たくはいびん
托鉢	たくはつ
択一	たくいつ
拓殖	たくしょく
拓本	たくほん
沢	さわ
沢庵	たくあん
沢山	たくさん
託児所	たくじしょ
託宣	たくせん
濁流	だくりゅう
諾否	だくひ
茸	きのこ
但し	ただし
達	たち
達する	たっする
達者	たっしゃ
達人	たつじん
達成	たっせい
達磨	だるま
辰	たつ
奪回	だっかい
奪還	だっかん
奪取	だっしゅ
脱する	だっする
脱却	だっきゃく
脱出	だっしゅつ
脱色	だっしょく
脱水	だっすい
脱税	だつぜい
脱線	だっせん
脱退	だったい
脱皮	だっぴ
脱帽	だつぼう
脱毛	だつもう
脱落	だつらく
棚	たな
棚上げ	たなあげ
谷間	たにま
谷川	たにがわ
谷底	たにぞこ
狸	たぬき
誰	だれ
誰か	だれか
誰でも	だれでも
誰も	だれも
丹精	たんせい
丹念	たんねん
単なる	たんなる
単に	たんに
単位	たんい
単一	たんいつ
単価	たんか
単語	たんご
単行本	たんこうぼん
単純	たんじゅん
単純化	たんじゅんか
単色	たんしょく
単身	たんしん
単身赴任	たんしんふにん
単数	たんすう
単線	たんせん
単体	たんたい
単調	たんちょう
単刀直入	たんとうちょくにゅう
単独	たんどく
単発	たんぱつ
単複	たんぷく
単利	たんり
嘆願	たんがん
嘆息	たんそく
担架	たんか
担当	たんとう
担当者	たんとうしゃ
担任	たんにん
担保	たんぽ
探求	たんきゅう
探究	たんきゅう
探検隊	たんけんたい
探鉱	たんこう
探査	たんさ
