á	a³¹
soi	soɪ⁵³
sôi	soɪ⁴⁴
sok	sɔk̚¹
so̍k	sɔk̚⁵
son	sɔn⁵³
sòn	sɔn¹¹
sôn	sɔn⁴⁴
song	sɔŋ⁵³
sóng	sɔŋ³¹
sòng	sɔŋ¹¹
sông	sɔŋ⁴⁴
sot	sɔt̚¹
su	su⁵³
sú	su³¹
sù	su¹¹
sû	su⁴⁴
sṳ	sz̩⁵³
sṳ́	sz̩³¹
sṳ̀	sz̩¹¹
sṳ̂	sz̩⁴⁴
sui	suɪ⁵³
súi	suɪ³¹
sùi	suɪ¹¹
sûi	suɪ⁴⁴
suk	sʊk̚¹
su̍k	sʊk̚⁵
sṳ́m	səm³¹
sun	sun⁵³
sún	sun³¹
sùn	sun¹¹
sûn	sun⁴⁴
sṳn	sən⁵³
sṳ̀n	sən¹¹
sṳ̂n	sən⁴⁴
sung	sʊŋ⁵³
súng	sʊŋ³¹
sûng	sʊŋ⁴⁴
sṳp	səp̚¹
sṳ̍p	səp̚⁵
su̍t	sut̚⁵
sṳt	sət̚¹
sṳ̍t	sət̚⁵
tá	ta³¹
tai	taɪ⁵³
tái	taɪ³¹
tâi	taɪ⁴⁴
tam	tam⁵³
tám	tam³¹
tâm	tam⁴⁴
tan	tan⁵³
tân	tan⁴⁴
táng	taŋ³¹
tâng	taŋ⁴⁴
tap	tap̚¹
ta̍p	tap̚⁵
ta̍t	t͡sʰət̚⁵
tàu	tʰeu¹¹
ten	tɛn⁵³
tén	tɛn³¹
tên	tɛn⁴⁴
tet	tɛt̚¹
teu	teu⁵³
téu	teu³¹
têu	teu⁴⁴
thâ	tʰa⁴⁴
thai	tʰaɪ⁵³
thái	tʰaɪ¹¹
thài	tʰaɪ¹¹
thâi	tʰaɪ⁴⁴
thak	tʰak̚¹
tha̍k	tʰak̚⁵
thàm	tʰam¹¹
thâm	tʰam⁴⁴
than	tʰan⁵³
thán	tʰan³¹
thàn	tʰan¹¹
thân	tʰan⁴⁴
thâng	tʰaŋ⁴⁴
thap	tʰap̚¹
tha̍p	tʰap̚⁵
tha̍t	tʰat̚⁵
then	tʰɛn⁵³
thèn	tʰɛn¹¹
thet	tʰɛt̚¹
theu	tʰeu⁵³
théu	tʰeu³¹
thèu	tʰeu¹¹
thêu	tʰeu¹¹
thi	tʰi⁵³
thí	tʰi³¹
thì	tʰi¹¹
thiàm	tʰiam¹¹
thiâm	tʰiam⁴⁴
thiap	tʰiap̚¹
thia̍p	tʰiap̚⁵
thiau	tʰiau⁵³
thiàu	tʰiau¹¹
thiâu	tʰiau³¹
thien	tʰiɛn⁵³
thièn	tʰiɛn¹¹
thiên	tʰiɛn⁴⁴
thiet	tʰiɛt̚¹
thin	tʰin⁵³
thín	tʰiaŋ³¹
thìn	tʰin¹¹
thit	tʰit̚¹
thi̍t	tʰit̚⁵
tho	tʰau⁵³
thó	tʰau³¹
thò	tʰau¹¹
thô	tʰau⁴⁴
thoi	tʰoɪ⁵³
thòi	tʰoɪ¹¹
thôi	tʰoɪ⁴⁴
thok	tʰɔk̚¹
thon	tʰɔn⁵³
thòn	tʰɔn¹¹
thôn	tʰɔn³¹
thong	tʰɔŋ³¹
thòng	tʰɔŋ¹¹
thông	tʰɔŋ⁴⁴
thot	tʰɔt̚¹
tho̍t	tʰɔt̚⁵
thu	tʰu⁵³
thú	tʰu³¹
thù	tʰu¹¹
thui	tʰuɪ⁵³
thûi	tʰuɪ⁴⁴
thu̍k	tʰʊk̚⁵
thùn	tʰun¹¹
thûn	tʰun⁴⁴
thung	tʰʊŋ⁵³
thúng	tʰʊŋ³¹
thùng	tʰʊŋ¹¹
thûng	tʰʊŋ⁴⁴
thut	tʰut̚¹
ti	tʰi⁵³
tí	ti³¹
tî	ti⁴⁴
tiam	tiam⁵³
tiám	tiam³¹
tiau	tiau⁵³
tiáu	tiau³¹
tiâu	tiau⁴⁴
tién	tiɛn³¹
tiên	tiɛn⁴⁴
tiet	tiɛt̚¹
tín	tin⁵³
tîn	tin⁴⁴
tit	tit̚¹
ti̍t	tit̚¹
tiû	tiu⁴⁴
to	tau⁵³
tó	to³¹
tò	tʰu³¹
tô	to⁴⁴
tôi	toɪ⁴⁴
tok	tɔk̚¹
ton	tun³¹
tón	tɔn³¹
tôn	tɔn⁴⁴
tóng	tɔŋ³¹
tông	tɔŋ⁴⁴
tú	tu³¹
tù	tu³¹
tû	tu⁴⁴
tui	tuɪ⁵³
tûi	t͡suɪ⁴⁴
tuk	tʊk̚¹
tun	tun⁴⁴
tún	tun⁵³
tûn	tun⁴⁴
túng	tʊŋ³¹
tùng	tʰʊŋ¹¹
tûng	tʊŋ⁴⁴
vâ	ʋa⁴⁴
vâi	ʋaɪ⁴⁴
va̍k	ʋak̚⁵
van	ʋan⁵³
ván	ʋan³¹
vàn	ʋan¹¹
vân	ʋan⁴⁴
vàng	ʋaŋ¹¹
va̍t	ʋat̚⁵
ve	ʋe⁵³
vi	ʋi⁵³
ví	ʋi³¹
vì	ʋi¹¹
vî	ʋi³¹
vò	ʋo¹¹
vô	ʋo¹¹
voi	ʋoɪ⁵³
vôi	ʋoɪ⁴⁴
vok	ʋɔk̚¹
vo̍k	ʋɔk̚⁵
von	ʋɔn⁵³
vón	ʋɔn³¹
vòn	ʋɔn¹¹
vong	ʋɔŋ⁵³
vóng	ʋɔŋ³¹
vòng	ʋɔŋ¹¹
vông	ʋɔŋ⁴⁴
vu	ʋu⁵³
vú	ʋu³¹
vû	ʋu⁴⁴
vuk	ʋʊk̚¹
vún	ʋun³¹
vùn	ʋun¹¹
vûn	ʋun⁴⁴
vung	ʋʊŋ⁵³
vûng	ʋʊŋ⁴⁴
vut	fut̚¹
vu̍t	ʋut̚⁵
ya	ia⁵³
yá	ke³¹
yà	ia¹¹
yâ	ia¹¹
ya̍k	iap̚⁵
yam	iam⁵³
yàm	iam¹¹
yâm	iam⁴⁴
yàn	ian¹¹
yáng	iaŋ³¹
yàng	iaŋ¹¹
yap	ŋiap̚¹
ya̍p	iap̚⁵
yen	ian⁵³
yén	ian³¹
yèn	ian¹¹
yên	ian⁴⁴
yet	iat̚¹
ye̍t	iat̚⁵
yeu	iau⁵³
yéu	iau³¹
yèu	iau¹¹
yêu	iau⁴⁴
yi	i⁵³
yí	i³¹
yì	i¹¹
yî	i⁴⁴
yim	im⁵³
yím	im³¹
yîm	im⁴⁴
yin	in⁵³
yìn	in¹¹
yîn	in⁴⁴
yip	ip̚¹
yit	it̚¹
yi̍t	it̚⁵
yîu	iu⁴⁴
yok	iɔk̚¹
yo̍k	iɔk̚⁵
yong	iɔŋ⁵³
yòng	iɔŋ¹¹
yông	iɔŋ⁴⁴
yu	iu⁵³
yù	iu¹¹
yû	iu⁴⁴
yui	iuɪ⁵³
yuk	iʊk̚¹
yu̍k	iʊk̚⁵
yun	iun⁵³
yún	iun³¹
yùn	iun¹¹
yung	iʊŋ⁵³
yúng	iʊŋ³¹
yùng	iʊŋ¹¹
yûng	iʊŋ⁴⁴
â-chí	a⁴⁴⁻³⁵ t͡ɕi³¹
â-khiû	a⁴⁴ kʰiu⁴⁴
â-kîn-thìn	a⁴⁴ kɛn⁴⁴⁻³⁵ tʰin¹¹
â-kô	a⁴⁴ ko⁴⁴
â-kû	a⁴⁴ ku⁴⁴
â-kûng	a⁴⁴ kʊŋ⁴⁴
â-mê	a⁴⁴ me⁴⁴
â-pâ	a⁴⁴ pa⁴⁴
â-pak	a⁴⁴⁻³⁵ pak̚¹
â-phò	a⁴⁴⁻³⁵ pʰo¹¹
â-siak	a⁴⁴⁻³⁵ ɕiak̚¹
â-só	a⁴⁴⁻³⁵ sau³¹
â-suk	a⁴⁴⁻³⁵ sʊk̚¹
â-suk-é	a⁴⁴⁻³⁵ sʊk̚¹ e³¹
â-thai	a⁴⁴⁻³⁵ tʰaɪ⁵³
â-yì	a⁴⁴⁻³⁵ i¹¹
am-am	am⁵³⁻⁵⁵ am⁵³
am-chûng	am⁵³ t͡sʊŋ⁴⁴
am-ho	am⁵³⁻⁵⁵ hau⁵³
am-pû	am⁵³ pu⁴⁴
am-pû-thèu	am⁵³ pu⁴⁴⁻³⁵ tʰeu¹¹
am-pû-ya	am⁵³ pu⁴⁴⁻³⁵ ia⁵³
am-sat	am⁵³⁻⁵⁵ sat̚¹
am-thi	am⁵³⁻⁵⁵ tʰi⁵³
am-tûng-tûng	am⁵³ tʊŋ⁴⁴ tʊŋ⁴⁴
án-chó	an³¹ t͡sau³¹
án-chṳ́-se	an³¹ t͡sz̩³¹ se⁵³
án-é	an³¹ ne¹¹
án-ngiòng	an³¹ ŋiɔŋ⁵³
âng-é	aŋ⁴⁴⁻³⁵ ŋe³¹
ap-é	ap̚¹ pe³¹
ap-kîm	ap̚¹ kim⁴⁴
ap-kûng	ap̚¹ kʊŋ⁴⁴
ap-lón	ap̚¹ lɔn³¹
ap-mà	ap̚¹ ma¹¹
ap-mà-thài	ap̚¹ ma¹¹ tʰaɪ¹¹
bîn-chut	pin⁴⁴⁻³⁵ t͡sut̚¹
châ-é	t͡sa⁴⁴⁻³⁵ (ʋ)e³¹
cha-phiang	t͡sa⁵³⁻⁵⁵ pʰiaŋ⁵³
cha-sí	t͡sa⁵³⁻⁵⁵ ɕi³¹
chai-fi	t͡saɪ⁵³⁻⁵⁵ fi⁵³
chai-kien	t͡saɪ⁵³⁻⁵⁵ kian⁵³
chai-lòi	t͡saɪ⁵³⁻⁵⁵ loɪ¹¹
chai-sâm	t͡saɪ⁵³ sam⁴⁴
châi-sên	t͡saɪ⁴⁴ sɛn⁴⁴
chai-ya	t͡saɪ⁵³⁻⁵⁵ ia⁵³
chak-chak	t͡sak̚¹ t͡sak̚¹
chám-kiéu-kau-hèu	t͡sam³¹ keu³¹ kau⁴⁴⁻³⁵ heu¹¹
châm-mí	t͡sam⁴⁴⁻³⁵ mi³¹
chan-chhòng	t͡san⁵³⁻⁵⁵ t͡sʰɔŋ¹¹
chang-chang	t͡saŋ⁵³⁻⁵⁵ t͡saŋ⁵³
châng-ngie̍t	t͡saŋ⁴⁴ ŋiat̚⁵
châng-ngie̍t-pan	t͡saŋ⁴⁴ ŋiat̚⁵ pan⁵³
chat-kông	t͡sat̚¹ kɔŋ⁴⁴
cháu-chhièn	t͡sau³¹ t͡ɕʰiɛn¹¹
cháu-yông	t͡sau³¹ iɔŋ⁴⁴
cheu-li	t͡sau⁵³⁻⁵⁵ li⁵³
cheu-siong	t͡sau⁵³⁻⁵⁵ ɕiɔŋ⁵³
cheu-siong-kî	t͡sau⁵³⁻⁵⁵ ɕiɔŋ⁵³ ki⁴⁴
cheu-sòng	t͡sau⁵³⁻⁵⁵ sɔŋ¹¹
chêu-sṳ̀n	t͡sau⁴⁴⁻³⁵ sən¹¹
chêu-sṳ̀n-thèu	t͡sau⁴⁴⁻³⁵ sən¹¹ tʰeu¹¹
chêu-thai	t͡sau⁴⁴⁻³⁵ tʰaɪ⁵³
cheu-yong	t͡sau⁵³⁻⁵⁵ iɔŋ⁵³
chhâ-cham	t͡sʰa⁴⁴⁻³⁵ t͡sam⁵³
chhâ-chhièn	t͡sʰa⁴⁴⁻³⁵ t͡ɕʰiɛn¹¹
chhá-fan	t͡sʰa³¹ fan⁵³
chhâ-lin	t͡sʰa⁴⁴⁻³⁵ lun¹¹
chha-lu	t͡sʰa⁵³⁻⁵⁵ lu⁵³
chhà-mí	t͡sʰa¹¹ mi³¹
chhâ-phe̍t	t͡sʰa⁴⁴ pʰiɛt̚⁵
chhâ-sṳ	t͡sʰa⁴⁴⁻³⁵ sz̩⁵³
chhà-súi	t͡sʰa¹¹ suɪ³¹
chhà-ya̍p	t͡sʰa¹¹ iap̚⁵
chhà-yù	t͡sʰa¹¹ iu¹¹
chhai-fû	t͡sʰaɪ⁵³ fu⁴⁴
chhai-nui	t͡sʰaɪ⁵³⁻⁵⁵ nuɪ⁵³
chhái-set	t͡sʰaɪ³¹ sɛt̚¹
chhai-siên	t͡sʰaɪ⁵³ ɕiɛn⁴⁴
chhai-vi	t͡sʰaɪ⁵³⁻⁵⁵ ʋi⁵³
chhak-kiok	t͡sʰak̚¹ kiɔk̚¹
chhak-pok	t͡sʰak̚¹ pɔk̚¹
chhàm-é	t͡sʰam¹¹ me³¹
chhâm-kâ	t͡sʰam⁴⁴ ka⁴⁴
chhâm-kháu	t͡sʰam⁴⁴⁻³⁵ kʰau³¹
chhang-chû	t͡sʰaŋ⁵³ t͡su⁴⁴
chha̍p-fo	t͡sʰap̚⁵ fo⁵³
chha̍p-fo-tiam	t͡sʰap̚⁵ fo⁵³⁻⁵⁵ tiam⁵³
chhèn-kîn	t͡sʰɛn¹¹ kin⁴⁴
chhe̍t-é	t͡sʰɛt̚⁵ te³¹
chhe̍t-kú	t͡sʰɛt̚⁵ ku³¹
chhet-liòng	t͡sʰɛt̚¹ liɔŋ¹¹
chhèu-chû	t͡sʰau¹¹ t͡su⁴⁴
chhi-kâ	t͡sʰz̩¹¹ ka⁴⁴
chhî-khiû-é	t͡ɕʰi⁴⁴ kʰiu⁴⁴⁻³⁵ ʋe³¹
chhi-koai	t͡ɕʰi⁵³⁻⁵⁵ kuaɪ⁵³
chhi-mi	t͡ɕʰi⁵³⁻⁵⁵ mi⁵³
chhì-pâ	t͡ɕʰi¹¹ pa⁴⁴
chhia-chhia	t͡ɕʰia⁵³⁻⁵⁵ t͡ɕʰia⁵³
chhiâ-mê	t͡ɕʰia⁴⁴ me⁴⁴
chhiam-chhiam	t͡ɕʰiam⁵³⁻⁵⁵ t͡ɕʰiam⁵³
chhiam-sṳ̀	t͡ɕʰiam⁵³⁻⁵⁵ sz̩¹¹
chhiam-thìn	t͡ɕʰiam⁵³⁻⁵⁵ tʰin¹¹
chhiâm-vì	ɕiam¹¹ ʋi¹¹
chhiâng-chhoi	t͡ɕʰiaŋ⁴⁴⁻³⁵ t͡sʰoɪ⁵³
chhiâng-hói	t͡ɕʰiaŋ⁴⁴⁻³⁵ hoɪ³¹
chhiáng-ká	t͡ɕʰiaŋ³¹ ka³¹
chhiáng-kau	t͡ɕʰiaŋ³¹ kau⁵³
chhiâng-miàng	t͡ɕʰin⁴⁴⁻³⁵ min¹¹
chhiáng-mun	t͡ɕʰiaŋ³¹ mun⁵³
chhiang-súi	t͡ɕʰiaŋ⁵³⁻⁵⁵ suɪ³¹
chhièn-chû	t͡sʰan¹¹ t͡su⁴⁴
chhiên-chṳ̂n-van-khok	t͡ɕʰiɛn⁴⁴ t͡sən⁴⁴⁻³⁵ ʋan⁵³⁻⁵⁵ kʰɔk̚¹
chhièn-fông	t͡ɕʰiɛn¹¹ fɔŋ⁴⁴
chhièn-heu	t͡ɕʰiɛn¹¹ heu⁵³
chhiên-kiûn-van-mâ	t͡ɕʰiɛn⁴⁴ kiun⁴⁴⁻³⁵ ʋan⁵³ ma⁴⁴
chhièn-mien	t͡ɕʰiɛn¹¹ miɛn⁵³
chhièn-ngièn	t͡ɕʰiɛn¹¹ ŋian¹¹
chhiên-ngièn-van-ngî	t͡ɕʰiɛn⁴⁴⁻³⁵ ŋian¹¹ ʋan⁵³⁻⁵⁵ ŋi³¹
chhièn-ngit	t͡ɕʰiɛn¹¹ ŋit̚¹
chhièn-pâu	t͡ɕʰiɛn¹¹ pau⁴⁴
chhièn-súi	t͡sʰan¹¹ suɪ³¹
chhiên-van	t͡ɕʰiɛn⁴⁴⁻³⁵ ʋan⁵³
chhie̍t-tui	t͡ɕʰiɛt̚⁵ tuɪ⁵³
chhìm-sṳ̍t	t͡ɕʰim¹¹ sət̚⁵
chhin-chhìn	t͡ɕʰin⁵³⁻⁵⁵ t͡ɕʰin¹¹
chhîn-chhit	t͡ɕʰin⁴⁴⁻³⁵ t͡ɕʰit̚¹
chhîn-fà	t͡ɕʰin⁴⁴⁻³⁵ fa¹¹
chhîn-kâ	t͡ɕʰin⁴⁴ ka⁴⁴
chhìn-khóng	t͡ɕʰin¹¹ kʰɔŋ³¹
chhîn-kiet	t͡ɕʰin⁴⁴⁻³⁵ kiat̚¹
chhin-liong	t͡ɕʰin⁵³⁻⁵⁵ liɔŋ⁵³
chhin-miang	t͡ɕʰin⁵³⁻⁵⁵ miaŋ⁵³
chhin-thèu	t͡ɕʰin⁵³⁻⁵⁵ tʰeu¹¹
chhiòn-mien	t͡ɕʰiɛn¹¹ miɛn⁵³
chhiôn-nen	t͡ɕʰiɔn⁴⁴⁻³⁵ nɛn⁵³
chhiòn-phu	t͡ɕʰiɛn¹¹ pʰu⁵³
chhiòn-sîm	t͡ɕʰiɛn¹¹ ɕim⁴⁴
chhióng-sṳ̍t-kôi	t͡ɕʰiɔŋ³¹ sət̚⁵ koɪ⁴⁴
chhit-chó-pat-chó	t͡ɕʰit̚¹ t͡sau³¹ pat̚¹ t͡sau³¹
chhit-kâ-ngìn	t͡sʰz̩¹¹ ka⁴⁴⁻³⁵ ŋin¹¹
chhit-kâ-ô-sṳ́-chhit-kâ-sṳ̍t	t͡sʰz̩⁵³ ka⁴⁴ o⁴⁴⁻³⁵ sz̩³¹ t͡sʰz̩⁵³ ka⁴⁴ sət̚⁵
chhit-ngie̍t	t͡ɕʰit̚¹ ŋiat̚⁵
chhit-sṳ̍p	t͡ɕʰit̚¹ səp̚⁵
chhit-sṳ̍p-kiú	t͡ɕʰit̚¹ səp̚⁵ kiu³¹
chhit-thèu	t͡ɕʰit̚¹ tʰeu¹¹
chhit-tiám	t͡ɕʰit̚¹ tiam³¹
chhiu-chhiong	t͡ɕʰiu⁵³⁻⁵⁵ t͡ɕʰiɔŋ⁵³
chhiû-fûn	t͡ɕʰiu⁴⁴ fun⁴⁴
chhiù-súi	t͡ɕʰiu¹¹ suɪ³¹
chhiùng-chhièn	t͡ɕʰiʊŋ¹¹ t͡ɕʰiɛn¹¹
chhiùng-chhṳ́	t͡ɕʰiʊŋ¹¹ t͡sʰz̩³¹
chhiùng-kîm	t͡ɕʰiʊŋ¹¹ kim⁴⁴
chhiùng-lòi	t͡ɕʰiʊŋ¹¹ loɪ¹¹
chhiùng-thèu	t͡ɕʰiʊŋ¹¹ tʰeu¹¹
chhiùng-yòng	t͡sʰʊŋ¹¹ iɔŋ¹¹
chhó-chhia̍k	t͡sʰau³¹ t͡ɕʰiak̚⁵
chhó-hài	t͡sʰau³¹ haɪ¹¹
chhô-kâm	t͡sʰo⁴⁴ kam⁴⁴
chhó-kû	t͡sʰau³¹ ku⁴⁴
chhó-máng	t͡sʰau³¹ maŋ³¹
chhô-pû-ngit	t͡sʰɔk̚⁵ pu⁴⁴⁻³⁵ ŋit̚¹
chhòi-liau	t͡sʰoɪ¹¹ liau⁵³
chhòi-nèn	t͡sʰoɪ¹¹ nən¹¹
chhoi-tô	t͡sʰoɪ⁵³ tau⁴⁴
chho̍k-fó	t͡sʰɔk̚⁵ fo³¹
chho̍k-kiâng	t͡sʰɔk̚⁵ kiaŋ⁴⁴
chhon-chhièn	t͡sʰɔn⁵³⁻⁵⁵ t͡ɕʰiɛn¹¹
chhòn-chṳ̂n	t͡sʰɔn¹¹ t͡sən⁴⁴
chhòn-kau	t͡sʰɔn¹¹ kau⁵³
chhòn-ngiam	t͡sʰɔn¹¹ ŋiam³¹
chhòng-chhûn	t͡sʰɔŋ¹¹ t͡sʰun⁴⁴
chhòng-miang	t͡sʰɔŋ¹¹ miaŋ⁵³
chhông-ngìn-ló	t͡sʰɔŋ⁴⁴⁻³⁵ ŋin¹¹ lau³¹
chhòng-sâ	t͡sʰɔŋ¹¹ sa⁴⁴
chhṳ-chhai	t͡sʰz̩⁵³⁻⁵⁵ t͡sʰaɪ⁵³
chhṳ-chhin	t͡sʰz̩⁵³⁻⁵⁵ t͡ɕʰin⁵³
chhu-chhu	t͡sʰu⁵³⁻⁵⁵ t͡sʰu⁵³
chhú-chhú	t͡sʰu⁵³⁻⁵⁵ t͡sʰu³¹
chhû-chûng	t͡sʰz̩⁴⁴ t͡sʊŋ⁴⁴
chhû-é	t͡sʰu⁴⁴⁻³⁵ ʋe³¹
chhṳ-é	sz̩⁵³⁻⁵⁵ e³¹
chhṳ-fâ	sz̩⁵³ fa⁴⁴
chhù-fî	t͡sʰu¹¹ fi⁴⁴
chhu-fó-lat	t͡sʰu⁵³⁻⁵⁵ fo³¹ lat̚¹
chhṳ-hàng-chhâ	t͡sʰz̩⁴⁴⁻³⁵ haŋ¹¹ t͡sʰa⁴⁴
chhú-ká	t͡sʰu³¹ ka³¹
chhṳ-kí	t͡sʰz̩⁵³⁻⁵⁵ ki³¹
chhû-kip	t͡sʰz̩⁴⁴⁻³⁵ kʰip̚¹
chhṳ-liàu	t͡sʰz̩⁵³⁻⁵⁵ liau¹¹
chhṳ-lòi-fó	t͡sʰz̩⁵³⁻⁵⁵ loɪ¹¹ fo³¹
chhṳ-lòi-súi	t͡sʰz̩⁵³⁻⁵⁵ loɪ¹¹ suɪ³¹
chhu-phi-chhùng	t͡sʰu⁵³⁻⁵⁵ pʰi⁵³⁻⁵⁵ t͡sʰʊŋ¹¹
chhû-phu	t͡sʰz̩⁴⁴⁻³⁵ pʰu⁵³
chhṳ-sông	sz̩⁵³ sɔŋ⁴⁴
chhù-sṳ̂	t͡sʰu¹¹ sz̩⁴⁴
chhṳ-sṳ̂	t͡sʰz̩⁵³ sz̩⁴⁴
chhṳ̀-thòng	t͡sʰz̩¹¹ tʰɔŋ¹¹
chhṳ-thung	t͡sʰz̩⁵³⁻⁵⁵ tʰʊŋ⁵³
chhṳ-yèn	t͡sʰz̩⁵³⁻⁵⁵ ian¹¹
chhû-yit	t͡sʰz̩⁴⁴⁻³⁵ it̚¹
chhṳ-yù	t͡sʰz̩⁵³⁻⁵⁵ iu¹¹
chhui-ko	t͡sʰuɪ⁵³⁻⁵⁵ kuo⁵³
chhu̍k-chhiam	t͡sʰʊk̚⁵ t͡ɕʰiam⁵³
chhuk-sâng	hiʊk̚¹ saŋ⁴⁴
chhṳ̂m-chun	t͡sʰəm⁴⁴⁻³⁵ t͡sun⁵³
chhṳ̂m-thu	t͡sʰəm⁴⁴⁻³⁵ tʰu⁵³
chhûn-chiet	t͡sʰun⁴⁴⁻³⁵ t͡ɕiɛt̚¹
chhṳ̀n-fôi	t͡sʰən¹¹ foɪ⁴⁴
chhûn-fûn	t͡sʰun⁴⁴ fun⁴⁴
chhûn-ha-chhiû-tûng	t͡sʰun⁴⁴⁻³⁵ ha⁵³ t͡ɕʰiu⁴⁴ tʊŋ⁴⁴
chhûn-lièn	t͡sʰun⁴⁴⁻³⁵ liɛn¹¹
chhṳn-néu	t͡sʰən⁵³⁻⁵⁵ neu³¹
chhṳn-thò	t͡sʰən⁵³⁻⁵⁵ tʰo⁵³
chhûng-é	t͡sʰʊŋ⁴⁴⁻³⁵ ŋe³¹
chhùng-khin	t͡sʰʊŋ⁴⁴⁻³⁵ kʰin⁵³
chhûng-liàm	t͡sʰʊŋ⁴⁴⁻³⁵ liam¹¹
chhûng-liòng	t͡sʰʊŋ⁴⁴⁻³⁵ liɔŋ¹¹
chhûng-mìn	t͡sʰʊŋ⁴⁴⁻³⁵ min¹¹
chhùng-sîn	t͡sʰʊŋ¹¹ ɕin⁴⁴
chhûng-thèu	t͡sʰʊŋ⁴⁴⁻³⁵ tʰeu¹¹
chhung-yeu	t͡sʰʊŋ⁵³⁻⁵⁵ iau⁵³
chhung-yung	t͡sʰʊŋ⁵³⁻⁵⁵ iʊŋ⁵³
chhut-chhoi	t͡sʰut̚¹ t͡sʰoɪ⁵³
chhṳ̍t-chhṳ̍t	t͡sʰət̚⁵ t͡sʰət̚⁵
chhṳ̍t-chiap	t͡sʰət̚⁵ t͡ɕiap̚¹
chhut-chung	t͡sʰut̚¹ t͡sʊŋ⁵³
chhu̍t-é	t͡sʰut̚⁵ te³¹
chhṳ̍t-é	t͡sʰət̚⁵ te³¹
chhut-hi	t͡sʰut̚¹ hi⁵³
chhut-hiet	t͡sʰut̚¹ hiat̚¹
chhut-mà-é	t͡sʰut̚¹ ma¹¹ (ʋ)e³¹
chhut-muk-chṳp	t͡sʰut̚¹ mʊk̚¹ t͡səp̚¹
chhṳ̍t-ńg	t͡sʰət̚⁵ n̩³¹
chhut-pîn	t͡sʰut̚¹ pin⁴⁴
chhut-sâng	t͡sʰut̚¹ saŋ⁴⁴
chhut-se	t͡sʰut̚¹ se⁵³
chhṳ̍t-se	t͡sʰət̚⁵ se⁵³
chhṳ̍t-sien	t͡sʰət̚⁵ ɕiɛn⁵³
chhṳ̍t-só	t͡sʰət̚⁵ sau³¹
chhṳ̍t-sûn	t͡sʰət̚⁵ sun⁴⁴
chhṳ̍t-sṳ̂n-kî	t͡sʰət̚⁵ sən⁴⁴ ki⁴⁴
chhṳ̍t-tet	t͡sʰət̚⁵ tɛt̚¹
chhṳ̍t-vu̍t	t͡sʰət̚⁵ ʋut̚⁵
chí-chhông	t͡ɕi³¹ t͡sʰɔŋ⁴⁴
chí-moi	t͡sz̩³¹ moɪ⁵³
chia-ko	t͡ɕia⁵³⁻⁵⁵ kuo⁵³
chiá-kûng	t͡ɕia³¹ kʊŋ⁴⁴
chiá-phò	t͡ɕia³¹ pʰo¹¹
chiap-khiun	t͡ɕiap̚¹ kʰiun⁵³
chiap-sên	t͡ɕiap̚¹ saŋ⁴⁴
chia̍p-sòng	tiap̚¹ sɔŋ¹¹
chiap-su	t͡ɕiap̚¹ su⁵³
chién-tô	t͡ɕiɛn³¹ tau⁴⁴
chim-sí	t͡ɕim⁵³⁻⁵⁵ ɕi³¹
chim-súi	t͡ɕim⁵³⁻⁵⁵ suɪ³¹
chin-hàng	t͡ɕin⁵³⁻⁵⁵ haŋ¹¹
chin-phu	t͡ɕin⁵³⁻⁵⁵ pʰu⁵³
chîn-sṳ̀n	t͡ɕin⁴⁴⁻³⁵ sən¹¹
chiông-kiûn	t͡ɕiɔŋ⁴⁴ kiun⁴⁴
chit-sṳ̀	t͡ɕit̚¹ sz̩¹¹
chiú-chîn	t͡ɕiu³¹ t͡ɕin⁴⁴
chiú-chô	t͡ɕiu³¹ t͡sau⁴⁴
chiú-si̍t	t͡ɕiu³¹ ɕit̚⁵
chiuk-khiù	t͡ɕiʊk̚¹ kʰiu¹¹
cho-chhit	t͡so⁵³⁻⁵⁵ t͡ɕʰit̚¹
cho-hâ	t͡sak̚¹ ha⁴⁴
cho-kûng	t͡so⁵³ kʊŋ⁴⁴
cho-má-ke	t͡so⁵³⁻⁵⁵ mak̚¹ ke⁵³
cho-ngie̍t	t͡so⁵³ ŋiat̚⁵
chó-ôn	t͡sau³¹ ɔn⁴⁴
chó-pâi-lài	t͡so³¹ paɪ⁴⁴⁻³⁵ laɪ¹¹
chó-phién	t͡so³¹ pʰɛn³¹
cho-sên-lî	t͡so⁵³ sɛn⁴⁴ li⁴⁴
chó-sú	t͡so³¹ su³¹
cho-sṳ̀n	t͡sau⁵³⁻⁵⁵ sən¹¹
cho-thèu	t͡sau⁵³⁻⁵⁵ tʰeu¹¹
chó-vò	t͡sau³¹ ʋo¹¹
choi-sùn	t͡soɪ⁵³⁻⁵⁵ sun¹¹
chok-khiù	t͡sɔk̚¹ kʰiu¹¹
chok-ngia̍p	t͡sɔk̚¹ ŋiap̚⁵
chok-pu	t͡sɔk̚¹ pu⁵³
chok-sâm	t͡sɔk̚¹ sam⁴⁴
chok-vùn	t͡sɔk̚¹ ʋun¹¹
chôn-kâ	t͡sɔn⁴⁴ ka⁴⁴
chón-lòi	t͡sɔn³¹ loɪ¹¹
chôn-mùn	t͡sɔn⁴⁴⁻³⁵ mun¹¹
chôn-sîm	t͡sɔn⁴⁴ ɕim⁴⁴
chông-chû	t͡sɔŋ⁴⁴ t͡su⁴⁴
chóng-mùn	t͡sɔŋ³¹ mun¹¹
