آئي	aːiː
رمز	ɾəmzə
رمضان	ɾəmzaːnʊ
رمل	ɾəməlʊ
رملي	ɾəməliː
رنب	ɾʊmbə
رنبو	ɾəmboː
رنبڻ	ɾʊmbəɳʊ
رنج	ɾəɲd͡ʒɪ
رنجائتو	ɾəɲd͡ʒaːɪt̪oː
رنجائڻ	ɾəɲd͡ʒaːɪɳʊ
رنجڪ	ɾəɲd͡ʒəkə
رنجڪو	ɾəɲd͡ʒkoː
رندو	ɾənd̪oː
رندڻ	ɾənd̪əɳʊ
رنوڙ	ɾənoːɽʊ
رنڀ	ɾəmbʰə
رنڀائڻ	ɾʊmbʰaːɪɳʊ
رنڀو	ɾʊmbʰoː
رنڀڻ	ɾəmbʰəɳʊ
رنڊ	ɾəɳɖə
رنڊو	ɾʊɳɖoː
رنڊي	ɾəɳɖiː
رنڌاڻي	ɾənd̪ʰaːɳiː
رنڌڻ	ɾənd̪ʰəɳʊ
رنگ	ɾəŋɡʊ
رنگارنگي	ɾəŋɡaːɾəŋɡiː
رنگمار	ɾəŋɡəmaːɾə
رنگمحل	ɾəŋɡəməhəlʊ
رنگيلو	ɾəŋɡiːloː
رنگيلي	ɾəŋɡiːliː
رهائڻ	ɾəhaːɪɳʊ
رهاشي	ɾəhaːʃiː
رهاڻ	ɾɪhaːɳɪ
رهبر	ɾəhəbəɾʊ
رهت	ɾəhət̪ɪ
رهزادي	ɾəhəzaːd̪iː
رهس	ɾəhəsʊ
رهنت	ɾəhənt̪ə
رهندو	ɾɪhənd̪oː
رهنڊ	ɾəhəɳɖə
رهنڊڻ	ɾəhəɳɖəɳʊ
رهو	ɾəhuː
رهي	ɾʊhiː
رهڙ	ɾəhəɽə
رهڙو	ɾəhəɽuː
رهڙي	ɾʊhʊɽiː
رهڙڻ	ɾəhəɽəɳʊ
رهڻ	ɾəhəɳʊ
رهڻي	ɾəhəɳiː
روئداد	ɾʊɪd̪aːd̪ɪ
روئي	ɾuːiː
روئڻائي	ɾuː̃əɳaːiː
روبرو	ɾuːbəɾuː
روبڪاري	ɾuːbəkaːɾɪ
روت	ɾoːt̪ɪ
روتڻ	ɾoːt̪əɳʊ
روجھڻ	ɾuːd͡ʒʰəɳʊ
روح	ɾuː
روز	ɾoːzʊ
روزدار	ɾoːzd̪aːɾʊ
روزنامو	ɾoːznaːmoː
روزو	roːzoː
روزينو	ɾoːziːnoː
روزگار	ɾoːzɡaːɾʊ
روسامو	ɾoːsaːmoː
روسو	ɾoːsuː
روشن	ɾoːʃən
روشني	ɾoːʃəniː
روشَنُ	ɾoːʃənʊ
روغن	ɾoːɣənʊ
رولو	ɾoːloː
رومال	ɾuːmaːlʊ
رونبو	ɾoːmboː
رونجھو	ɾuːɲd͡ʒʰoː
رونق	ɾɔːnəqə
رونگاٽ	ɾuːŋɡaːʈʊ
رونگڻ	ɾuːŋɡəɳʊ
رونگڻو	ɾuːŋɡɪɳoː
روهه	ɾoːhʊ
روهي	ɾoːhiː
روهيلو	ɾoːheːloː
روٽ	ɾoːʈʊ
روٽلو	ɾoːʈɪloː
روٽي	ɾoːʈiː
روپ	ɾuːpʊ
روپا	ɾoːpaː
روپو	ɾoːpoː
روچي	ɾoːt͡ʃiː
روڍ	ɾuːɖʰʊ
روڪ	ɾoːkə
روڪڙ	ɾoːkəɽɪ
روڪڻ	ɾoːkəɳʊ
روڻ	ɾuːɳʊ
روڻي	ɾoːɳiː
ري	ɾiː
رياضي	ɾɪjaːziː
ريب	ɾeːbʊ
ريبائيتو	ɾeːbaːɪt̪oː
ريبي	ɾeːbiː
ريبڻ	ɾeːbəɳʊ
ريت	riːt
ريتائتو	ɾiːt̪aːɪt̪oː
ريتلو	ɾeːt̪ɪloː
ريتي	ɾeːt̪iː
ريج	ɾeːd͡ʒʊ
ريجالائي	ɾeːd͡ʒaːlaːiː
ريجالو	ɾeːd͡ʒaːloː
ريجاميک	ɾeːd͡ʒaːmeːkʰə
ريجو	ɾeːd͡ʒoː
ريجھائڻ	ɾiːd͡ʒʰaːɪɳʊ
ريجھه	ɾiːd͡ʒʰə
ريجھڻ	ɾiːd͡ʒʰəɳʊ
ريزڪي	ɾeːzɪkiː
ريس	ɾiːsə
ريسائتو	ɾiːsaːɪt̪oː
ريسائڻ	ɾiːsaːɪɳʊ
ريسارو	ɾiːsaːɾoː
ريش	ɾiːʃə
ريشم	ɾeːʃəmʊ
ريشمي	ɾeːʃmiː
ريشو	ɾeːʃoː
ريل	ɾeːlə
ريلو	ɾeːloː
ريلڇيل	ɾeːlɪt͡ʃʰeːlɪ
ريلڻ	ɾeːləɳʊ
ريه	ɾɪə
ريهجڻ	ɾeːhɪd͡ʒəɳʊ
ريهه	ɾeːhə
ريواٽو	ɾeːʋaːʈoː
ريولراس	ɾeːʋələɾəsɪ
ريوڙي	ɾeːʋɪɽiː
ريٺ	ɾeːʈʰʊ
ريٺو	ɾeːʈʰoː
ريٺڻ	ɾeːʈʰəɳʊ
ريپاڻ	ɾeːpaːɳə
ريپيرو	ɾeːpeːɾoː
ريڀڙ	ɾeːbʰəɽʊ
ريڀڙي	ɾeːbʰɪɽiː
ريچڪ	ɾiːt͡ʃəkʊ
ريچڪي	ɾiːt͡ʃəkiː
ريڌو	ɾiːd̪ʰoː
ريڍو	ɾeːɖʰoː
ريڙ	ɾiːɽə
ريڙائڻ	ɾiːɽaːɪɳʊ
ريڙارو	ɾiːɽaːɾoː
ريڙهي	ɾeːɽhiː
ريڙهڻ	ɾeːɽhəɳʊ
ريکا	ɾeːkʰaː
ريڪمو	ɾeːkəmoː
ريگھي	ɾeːɡʰiː
ريڻي	ɾeːɳiː
رَتُ	ɾət̪ʊ
رَنْگُ	ɾəŋɡʊ
رَهائِڻُ	ɾəhaːɪɳʊ
رَهَڻُ	ɾəhəɳʊ
رٺو	ɾəʈʰoː
رٽ	ɾɪʈə
رٽڻ	ɾəʈəɳʊ
رپ	ɾɪpə
رپو	rʊpoː
رٿ	ɾət̪ʰʊ
رٿڻ	ɾɪt̪ʰəɳʊ
رڃ	ɾɪɲə
رچ	ɾʊt͡ʃɪ
رچنا	ɾət͡ʃənaː
رچڻ	ɾət͡ʃəɳʊ
رڇ	ɾət͡ʃʰʊ
رڇا	ɾət͡ʃʰaː
رڇي	ɾət͡ʃʰiː
رڇڪ	ɾət͡ʃʰəkʊ
رڌو	ɾʊd̪ʰoː
رڌي	ɾəd̪ʰeː
رڍ	ɾɪɖʰə
رڙ	ɾəɽɪ
رڙهڻ	ɾɪɽhəɳʊ
رڙو	ɾəɽoː
رڙي	ɾəɽiː
رڙڪو	ɾəɽkoː
رڙڪڻ	ɾəɽkəɳʊ
رڙڻ	ɾəɽəɳʊ
رڦا	ɾəpʰaː
رک	ɾəkʰə
رکائڻ	ɾəkʰaːɪɳʊ
رکاڻي	ɾəkʰaːɳiː
رکت	ɾəkʰət̪ɪ
رکو	ɾʊkʰoː
رکڻ	ɾəkʰəɳʊ
رکڻهار	ɾəkʰəɳəhaːɾʊ
رکڻي	ɾəkʰɪɳiː
رڪ	ɾʊkʊ
رڪت	ɾɪkət̪ə
رڪتي	ɾɪkət̪iː
رڪتچندن	ɾəkt̪ət͡ʃənd̪ənʊ
رڱ	ɾəŋʊ
رڱاڻي	ɾəŋaːɳiː
رڱو	ɾəŋoː
رڱڻ	ɾəŋəɳʊ
رڱڻي	ɾəŋɪɳiː
رڻ	ɾɪɳʊ
ریشم	ɾeːʃəmʊ
زال	zaːlə
زالَ	zaːlə
زبان	zʊbaːnə
زبانو	zəbaːnoː
زباني	zəbaːniː
زحمت	zəhəmət̪ə
زخم	zəxəmʊ
زخمجڻ	zəxmɪd͡ʒəɳʊ
زخمي	zəxəmiː
زخمڻ	zəxəməɳʊ
زراف	zəɾaːfʊ
زردائڻ	zəɾd̪aːɪɳʊ
زردوز	zəɾd̪oːzʊ
زردي	zəɾd̪iː
زرقان	zəɾqaːnʊ
زرهه	zɪɾɪhə
زلزلو	zəlzəloː
زلف	zəlfə
زمانو	zəmaːnoː
زمين	zəmiːn
زمین	zəmiːnə
زنانو	zənaːnoː
زنجير	zəɲd͡ʒiːɾʊ
زندگي	zɪndəɡiː
زهر	zəhəɾʊ
زهرمهرو	zəhəɾəmʊhʊɾoː
زهري	zəhəɾiː
زهرڪوچلو	zəhəɾəkoːt͡ʃɪloː
زور	zoːɾʊ
زورائتو	zoːɾaːɪt̪oː
زورارو	zoːɾaːɾoː
زوراڻو	zoːɾaːɳoː
زياني	zɪaːniː
زيتون	zeːt̪uːn
زيرانڊي	zeːɾaːɳɖiː
زيور	zeːʋəɾʊ
س	sɪ
سؤ	səʊ
سئا	sʊaː
سئانجو	sʊaːɲd͡ʒoː
سئه	səʊ
سئو	sɪoː
سئونڻ	səuːɳɳɪ
سئونڻائڻ	səuːɳɳaːɪɳʊ
سئي	sʊiː
سئڙو	sʊəɽoː
سئڙي	sʊɪɽiː
سا	saː
سائبان	saːɪbaːnʊ
سائر	saːɪɾʊ
سائو	saːoː
سائي	saːiː
سائيائي	saːʊaːiː
سائٽي	saːʊʈiː
سائٿ	saːɪt̪ʰə
ساب	saːbɪ
سابائتو	saːbaːɪt̪oː
ساتانو	saːt̪aːnoː
ساجن	saːd͡ʒənʊ
سادو	saːd̪oː
سادڪوفي	saːd̪əkuːfiː
سار	saːɾə
ساراهڻ	saːɾaːhəɳʊ
ساراڻا	saːɾaːɳaː
سارنگ	saːɾəŋɡʊ
سارنگي	saːɾəŋɡiː
سارو	saːɾuː
ساري	saːɾiː
سارچيڙو	saːɾt͡ʃeːɽoː
سارڻ	saːɾəɳʊ
سارڻو	saːɾɪɳoː
ساز	saːzʊ
سازي	saːziː
سازيندڙ	saːziːnd̪əɽʊ
ساس	saːsʊ
ساسائڻ	saːsaːɪɳʊ
سافو	saːfoː
سال	saːlʊ
سالب	saːlɪbʊ
سالو	saːloː
سالور	saːluːɾʊ
سالي	saːliː
ساليانو	saːlɪaːnoː
سالڪ	saːlɪkʊ
سالگره	saːlɡɪɾəɦ
سام	saːmə
سامائجڻ	saːmaːɪd͡ʒəɳʊ
سامان	saːmaːnʊ
سامانو	saːmaːnoː
ساماڻو	saːmaːɳoː
سامت	saːmət̪ɪ
سامي	saːmiː
سان	saːnʊ
سانباهو	saːmbaːhoː
سانت	saːnt̪ɪ
سانتيڪائي	saːnt̪iːkaːiː
سانتيڪو	saːnt̪iːkoː
سانتڪي	saːnt̪ɪkiː
سانجھر	saːɲd͡ʒʰʊɾʊ
ساندارو	saːnd̪aːɾoː
سانڀ	saːmbʰə
سانڀر	saːmbʰəɾɪ
سانڀڻ	saːmbʰəɳʊ
سانچو	saːɲt͡ʃoː
سانڊو	saːɳɖoː
سانڌاڻو	saːnd̪ʰaːɳoː
سانڍ	səɳɖʰɪ
سانڍڻ	saːɳɖʰəɳʊ
سانگ	saːŋɡə
سانگائتو	saːŋɡaːɪt̪oː
سانگو	saːŋɡoː
سانگي	saːŋɡiː
ساهت	saːhɪt̪ʊ
ساهرو	saːhʊɾoː
ساهمي	saːhɪmiː
ساهه	saːhɪ
ساهو	saːhoː
ساهي	saːhiː
ساهيڙي	saːheːɽiː
ساهڻ	saːhəɳʊ
ساوائڻ	saːʋaːɪɳʊ
ساوڙو	saːʋɪɽoː
ساوڙي	saːʋɪɽiː
ساٺ	saːʈʰʊ
ساٺيڪو	saːʈʰiːkoː
ساٽاڻڻ	saːʈaːɳəɳʊ
ساٽو	saːʈoː
ساٽي	saːʈiː
ساٿ	saːt̪ʰʊ
ساٿر	saːt̪ʰəɾə
ساٿي	saːt̪ʰiː
ساڀ	saːbʰɪ
ساڃارو	saːɲaːɾoː
ساڃهه	saːɲəhɪ
ساڌنا	saːd̪ʰənaː
ساڌو	saːd̪ʰuː
ساڌوڻي	saːd̪ʰuːɳiː
ساڌڻ	saːd̪ʰəɳʊ
ساڌڻي	saːd̪ʰɪɳiː
ساڍ	saːɖʰʊ
ساڍا	saːɖʰaː
ساڙهي	saːɽhiː
ساڙو	saːɽoː
ساڙيهه	saːɽeːhʊ
ساڙھي	saːɽʰiː
ساک	saːkʰə
ساکائتو	saːkʰaːɪt̪oː
ساکي	saːkʰiː
ساکڙو	saːkʰɪɽoː
ساگر	saːɡəɾə
ساگھر	saːɡʰəɾɪ
ساڱاهتو	saːŋaːhɪt̪oː
ساڱاهو	saːŋaːhuː
ساڱاهڻ	saːŋaːhəɳʊ
ساڻ	saːɳʊ
ساڻائي	saːɳaːiː
ساڻو	saːɳoː
ساڻي	saːɳiː
ساڻيهه	saːɳeːhʊ
سباب	səbaːbʊ
سبابي	səbaːbiː
سباڻي	sɪbaːɳiː
سبب	səbəbʊ
سبتائي	sʊbət̪aːiː
سبتاڙ	sʊbət̪əɽɪ
سبتو	sʊbət̪oː
سبز	səbzʊ
سبزو	səbzoː
سبزي	səbziː
سبق	səbəqʊ
سبير	sɪbiːɾə
سبيل	səbiːlə
سبڻ	sɪbəɳʊ
سبڻي	sɪbɪɳiː
ست	sət̪ə
ستئڙو	sʊt̪ɪəɽoː
ستابو	sət̪aːboː
ستار	sət̪aːɾʊ
ستارو	sɪt̪aːɾoː
ستاسي	sət̪aːsiː
ستاويهه	sət̪aːʋiːhə
ستاڙو	sət̪aːɽoː
ستت	sʊt̪ət̪ʊ
ستجگ	sət̪ɪd͡ʒʊɡʊ
ستر	sət̪ərɪ
ستردار	sət̪ʊɾd̪aːɾʊ
سترهه	sət̪ɾəhə
ستمي	sət̪ɪmiː
ستهٺ	sət̪əhəʈʰɪ
ستو	sət̪oː
ستوتر	sət̪oːt̪əɾ
ستون	sʊt̪uːnʊ
ستوگڻ	sət̪oːɡʊɳʊ
ستي	sət̪iː
ستيتاليهه	sət̪eːt̪aːliːhə
ستٽيهه	sət̪əʈiːhə
ستپڙو	sət̪pʊɽoː
ستڙي	sət̪ɪɽiː
ستڪندرو	sɪt̪əkʊnd̪ɪɾuː
ستگرو	sət̪ɪɡʊɾuː
ستگلو	sət̪ɡʊloː
ستڻ	sət̪əɳʊ
سج	sɪd͡ʒɯ
سجاوتي	sɪd͡ʒaːʋət̪iː
سجايو	səd͡ʒaːjoː
سجاک	sʊd͡ʒaːkʰʊ
سجاکائي	sʊd͡ʒaːkʰaːiː
سجاکو	sʊd͡ʒaːkʰoː
سجدو	sɪd͡ʒd̪oː
سجرو	sʊd͡ʒɪɾoː
سجل	sɪd͡ʒɪlɪ
سجلائتو	sɪd͡ʒɪlaːɪt̪oː
سجلائي	sɪd͡ʒɪlaːiː
سجلائڻ	sɪd͡ʒɪlaːɪɳʊ
سجلو	sɪd͡ʒɪloː
سجڪو	səd͡ʒəkoː
سجھئه	səd͡ʒʰɪʊ
سجھائتو	səd͡ʒʰaːɪt̪oː
سجھائي	səd͡ʒʰaːiː
سجھائڻ	sɪd͡ʒʰaːɪɳʊ
سجھندو	sʊd͡ʒʰənd̪oː
سجھه	səd͡ʒʰʊ
سجھڻ	sɪd͡ʒʰəɳʊ
سحتخانو	sɪhət̪xaːnoː
سحري	səɦɾiː
سخاوت	səxaːʋət̪ə
سخت	səxt̪ʊ
سخن	sʊxʊnʊ
سخي	səxiː
سداب	səd̪aːbʊ
سدورو	səd̪oːɾoː
سر	sɪɾʊ
سرءُ	səraːʊ
سرائي	səɾaːiː
سرائڪو	sɪɾaːɪkoː
سرارو	sɪɾaːɾoː
سراز	səɾaːzʊ
سرازڪو	səɾaːzkoː
سراسر	səɾaːsəɾɪ
سراسري	səɾaːsəɾiː
سراهه	səɾaːhɪ
سراهڻ	səɾaːhəɳʊ
سراپٽ	sɾɪpʈɪ
سراڌ	sɪɾaːd̪ʰʊ
سراڻ	sɪɾaːɳɪ
سراڻو	sɪɾaːɳoː
سرباري	sɪɾbaːɾiː
سربت	səɾbət̪ʊ
سربستو	səɾbəst̪oː
سربند	sɪɾəbənd̪ʊ
سربيگي	səɾbeːɡiː
سرت	sʊɾt̪ɪ
سرتو	səɾət̪oː
سرجيت	sʊɾd͡ʒiːt̪ʊ
سرجڻ	sɪɾd͡ʒəɳʊ
سرجڻهار	sɪɾd͡ʒəɳəhaːɾʊ
سرجھڻ	sʊɾd͡ʒʰəɳʊ
سرحد	səɾəhəd̪ə
سرخ	sʊɾxʊ
سرخابي	sʊɾxaːbʊ
سرخرو	sʊɾxʊɾuː
سرخو	səɾxoː
سرخيل	səɾxeːlʊ
سرد	səɾd̪ʊ
سردار	səɾd̪aːɾʊ
سرداري	səɾd̪aːɾiː
سردي	səɾd̪iː
سرر	səɾɾɪ
سرس	səɾsʊ
سرسائڻ	səɾsaːɪɳʊ
سرسات	sʊɾsaːt̪ə
سرسر	sʊɾsʊɾɪ
سرطان	səɾt̪aːnʊ
سرفائتو	səɾfaːɪt̪oː
سرفائي	səɾfaːiː
سرفراز	səɾfɪɾaːzʊ
سرفرازي	səɾfɪɾaːziː
سرفو	səɾfoː
سرل	səɾlʊ
سرلائي	səɾlaːiː
سرلو	səɾloː
سرمائي	sʊɾmaːiː
سرمو	sʊɾmoː
سرميداڻي	sʊɾmeːd̪aːɳiː
سرنائي	səɾnaːiː
سرنامو	səɾənaːmoː
سرنايو	səɾnaːjoː
سرنجا	sʊɾəɲd͡ʒaː̃
سرنجام	səɾəɲd͡ʒaːmʊ
سرنمندري	səɾənɪmənd̪əɾiː
سرهائي	sʊɾəhaːiː
سرهائڻ	səɾəhaːɪɳʊ
سرهال	səɾhaːlʊ
سرهاڻ	sʊɾəhaːɳɪ
سرهجڻ	səɾəhɪd͡ʒəɳʊ
سرهه	səɾəhʊ
سرهو	səɾəhoː
سرهي	sʊɾəhiː
سرهڻ	sɪɾəhəɳʊ
سرو	səɾoː
سروسر	səɾoːsəɾɪ
سروندو	sʊɾuːnd̪oː
سروٽو	sɪɾoːʈoː
سروپ	səɾuːpʊ
سروپاهه	səɾoːpaːhɪ
سري	səɾiː
سريتي	sʊɾiːt̪iː
سرير	səɾiːɾ
سريراگ	sɾiːɾaːɡʊ
سريش	sʊɾeːʃ
سريوال	sɪɾeːʋaːlʊ
سرٽ	səɾʈʊ
سرپاهه	səɾpaːhɪ
سرپر	sʊɾpʊɾɪ
سرپوس	səɾpoːsʊ
سرچائڻ	səɾt͡ʃaːɪɳʊ
سرچيهه	səɾt͡ʃiːhə
سرچڻ	səɾt͡ʃəɳʊ
سرڌا	səɾd̪ʰaː
سرڌاوان	səɾd̪ʰaːʋaːnʊ
سرکنڊ	sɪɾkʰəɳɖʊ
سرڪار	səɾkaːɾɪ
سرڪردو	sɪɾkəɾd̪oː
سرڪسائي	sɪɾkɪsaːiː
سرڪمڪ	səɾkəməkə
سرڪو	sɪɾkoː
سرڪڻ	sɪɾkəɳʊ
سرڪڻي	sɪɾkɪɳiː
سرگرم	səɾɡəɾəmʊ
سرگس	səɾɡəsɪ
سرڻ	səɾəɳʊ
سزا	səzaː
سزائتو	səzaːɪt̪oː
سس	səsʊ
سسائڻ	sʊsaːɪɳʊ
سست	sʊst̪ʊ
سستو	səst̪oː
سسن	sʊsənʊ
سسي	sɪsiː
سسپس	sʊspʊsɪ
سل	səlʊ
سلارس	səlaːɾəsɪ
سلام	səlaːmʊ
سلامت	səlaːmət̪ə
سلامتي	səlaːmət̪iː
سلامي	səlaːmiː
سلتو	səlt̪oː
سلتڙ	sʊlət̪əɽʊ
سلطان	sʊlt̪aːnʊ
سلفي	sʊlfiː
سلهاڙڻ	səlhaːɽəɳʊ
سلهه	sʊlɪhʊ
سلهي	sʊləhiː
سلهڙ	səlhəɽə
سلو	səloː
سلونڻائي	səluːɳɳaːiː
سلوڪ	səloːkʊ
سليجيت	sɪliːd͡ʒiːt̪ʊ
سليمان	sʊlɛːmaːn
سلڇڻو	sʊlət͡ʃʰɪɳoː
سلڻ	sələɳʊ
سم	səmə
سما	səmaː
سمائجڻ	səmaːɪd͡ʒəɳʊ
سمائي	səmaːiː
سمان	səmaːnɪ
سماچار	səmaːt͡ʃaːɾʊ
سماڌ	səmaːd̪ʰɪ
سماڌي	səmaːd̪ʰiː
سماڪ	sɪmaːkʊ
سمبوسو	səmboːsoː
سمجھائڻ	səmʊd͡ʒʰaːɪɳʊ
سمجھڻ	səmʊd͡ʒʰəɳʊ
سمر	səməɾʊ
سمرادي	səmʊɾaːd̪iː
سمرڻ	sʊməɾəɳʊ
سمرڻي	sʊməɾɳiː
سمن	səmənə
سمند	səmənd̪ʊ
سمنڊ	səmuɳɖ
سمهارڻ	sʊməhaːɾəɳʊ
سمهڻ	sʊməhəɳʊ
سمور	səmuːɾʊ
سمورو	səmuːroː
سمڪ	səməkə
سمڻ	sɪməɳʊ
سمڻو	sɪmɪɳoː
سن	sənʊ
سنان	sənaːnə
سنب	sʊmbʊ
سنباهه	səmbaːhʊ
سنباڻ	səmbaːɳʊ
سنبت	səmbət̪ɪ
سنبهي	səmbʊhiː
سنبهڻ	səmbəhəɳʊ
سنبو	sʊmboː
سنبوسو	səmboːsoː
سنبير	səmbiːɾə
سنت	sənt̪ʊ
سنتوکڻ	sənt̪oːkʰəɳʊ
سنج	səɲd͡ʒə
سنجاف	sɪɲd͡ʒaːfʊ
سنجتو	səɲd͡ʒʊt̪oː
سنجم	səɲd͡ʒəmʊ
سنجمي	səɲd͡ʒəmiː
سنجهو	səɲd͡ʒʰoː
سنجيتو	səɲd͡ʒeːt̪oː
سنجيلو	səɲd͡ʒiːloː
سنجٽ	səɲd͡ʒəʈə
سنجٽائتو	səɲd͡ʒəʈaːɪt̪oː
سنجھا	səɲd͡ʒʰaː
سنجھو	səɲd͡ʒʰoː
سند	sʊnd̪ʊ
سندائڻ	sənd̪aːɪɳʊ
سنداس	sənd̪aːsʊ
سندر	sʊnd̪əɾʊ
سندرو	sənd̪ɪɾoː
سندرڻ	sənd̪ɪɾəɳʊ
سندم	sənd̪ʊmɪ
سندو	sənd̪oː
سنديهه	sənd̪eːhʊ
سندڙو	sʊnd̪ɪɽoː
سنسئي	sənsəiː
سنسار	sənsaːɾʊ
سنساري	sənsaːɾiː
سنسو	sənsoː
سنهو	sənhoː
سنهي	sənəhiː
سنيتو	sʊniːt̪oː
سنيهو	səneːhoː
سنيهڙو	səneːhəɽoː
سنٿا	sənt̪ʰaː
سنڀئي	səmbʰʊiː
سنڀار	səmbʰaːɾə
سنڀارڻ	səmbʰaːɾəɳʊ
سنڀالو	səmbʰaːluː
سنڀالڻ	səmbʰaːləɳʊ
سنڀرڻ	səmbʰɪɾəɳʊ
سنچي	səɲt͡ʃiː
سنڊر	sʊɳɖɪɾʊ
سنڌ	sɪndʰ
سنڌائتو	sənd̪ʰaːɪt̪oː
سنڌاڻي	sənd̪ʰaːɳiː
سنڌر	sənd̪ʰɪɾʊ
سنڌو	sənd̪ʰoː
سنڌي	sɪndʰiː
سنڌڻ	sənd̪ʰəɳʊ
سنڌڻي	sənd̪ʰɪɳiː
سنڍ	sʊɳɖʰɪ
سنڍو	sʊɳɖʰoː
سنڍي	sʊɳɖʰiː
سنک	səŋkʰʊ
سنکي	səŋkʰiː
سنڪا	səŋkaː
سنڪارجڻ	sʊŋkaːɾd͡ʒəɳʊ
سنڪت	səŋkaːt̪ɪ
سنڪر	səŋkəɾʊ
سنڪلپ	səŋkəlpʊ
سنڪلپڻ	səŋkəlpəɳʊ
سنڪٽ	səŋkəʈʊ
سنگ	səŋɡə
سنگائتو	səŋɡaːɪt̪oː
سنگائڻ	səŋɡaːɪɳʊ
سنگاهڻ	səŋɡaːhəɳʊ
سنگت	səŋɡət̪ɪ
سنگتي	səŋɡət̪iː
سنگجرا	səŋɡd͡ʒəɾaː
سنگرال	sɪŋɡɪɾaːlɪ
سنگرانت	səŋɡɾaːnt̪ɪ
سنگرو	sɪŋɡɪɾoː
سنگي	səŋɡiː
سنگچور	səŋɡt͡ʃuːɾʊ
سنگڻ	səŋɡəɳʊ
سنگھا	səŋɡʰaː
سنگھار	səŋɡʰaːɾə
سنگھر	səŋɡʰəɾə
سنگھري	səŋɡʰɪɾiː
سنگھي	səŋɡʰiː
سنگھڻ	sʊŋɡʰəɳ
سهائتو	səhaːɪt̪aː
سهائو	səhaːoː
سهائي	səhaːiː
سهائڻ	səhaːɪɳʊ
سهارو	sʊhaːɾoː
سهاري	sʊhaːɾiː
سهانجو	sʊhaːɲd͡ʒoː
سهانجڙو	sʊhaːɲd͡ʒɪɽoː
سهانگائي	səhaːŋɡaːiː
سهانگو	səhaːŋɡoː
سهتو	sʊhʊt̪oː
سهج	səhəd͡ʒʊ
سهجو	sʊhɪd͡ʒoː
سهجي	səhəd͡ʒiː
سهر	sɪhɪɾʊ
سهرو	səhʊɾoː
سهس	səhəsʊ
سهسائڻ	səhəsaːɪɳʊ
سهماڻي	sʊhʊmaːɳiː
سهنج	səhəɲd͡ʒʊ
سهنجائي	səhəɲd͡ʒaːiː
سهنجو	səhəɲd͡ʒoː
سهندو	səhənd̪oː
سهنگائي	səhəŋɡaːiː
سهنگو	səhəŋɡoː
سهه	səhə
سهو	səho
سهيلائي	sʊheːlaːiː
سهيلو	sʊheːloː
سهيلي	səheːliː
سهيڙ	səheːɽə
سهيڙڻ	səheːɽəɳʊ
سهٽ	səhəʈə
سهٽڻو	səhəʈɪɳoː
سهڙڻ	səhəɽəɳʊ
سهڪو	səhəkoː
سهڪڻ	səhəkəɳʊ
سهڻ	səhəɳʊ
سهڻائي	sʊ̃hʊɳaːiː
سهڻو	sʊhɳoː
سهڻي	səhəɳiː
سوئر	sʊəɾʊ
سوئيرو	soːiːɾoː
سوئڻ	soːɪɳʊ
سوئڻي	soːɪɳiː
سوار	səʋaːrʊ
سوارو	səʋɑːɾoː
سواري	sʊaːɾiː
سوال	sʊaːlʊ
سوالي	sʊaːliː
سوانبرائي	sʊaːmbəɾaːiː
سوانري	sʊaːnɾiː
سوتڪ	suːt̪əkʊ
سوتڪجڻ	suːt̪əkɪd͡ʒəɳʊ
سوتڪي	suːt̪əkiː
سوجن	suːd͡ʒənʊ
سوجني	suːd͡ʒɪniː
سوجھ	soːd͡ʒʰɪ
سوجھرو	soːd͡ʒʰɪɾoː
سوجھو	soːd͡ʒʰuː
سوجھڻ	soːd͡ʒʰəɳʊ
سود	suːd̪ʊ
سودائي	sɔːd̪aːiː
سودائڪو	sɔːd̪aːɪkoː
سوداگر	sɔːd̪aːɡəɾʊ
سوداگري	sɔːd̪aːɡəɾiː
سودو	sɔːd̪oː
سور	suːɾʊ
سوراٽجڻ	suːɾaːʈɪd͡ʒəɳʊ
سورج	suːɾd͡ʒʊ
سورداس	suːɾd̪aːsʊ
سورماڻو	suːɾmaːɳoː
سورمو	suːɾmoː
سورهائي	suːɾɪhaːiː
سورهه	suːɾɪhʊ
سورو	suːɾoː
سوري	suːɾiː
سورٺ	soːɾəʈʰɪ
سورڻ	suːɾəɳʊ
سوز	soːzʊ
سوزائتو	soːzaːɪt̪oː
سوس	soːsɪ
سوسائتو	soːsaːɪt̪oː
سوسنو	soːsɪnoː
سوسوري	suːsuːɾiː
سوسي	suːsiː
سوسڪ	suːsəkə
سول	suːlʊ
سولائتو	suːlaːɪt̪oː
سولت	suːlət̪ə
سولي	suːliː
سومتي	suː̃mət̪iː
سومر	suːmərʊ
سون	soːnʊ
سونجھه	suːɲd͡ʒʰə
سونُ	soːnʊ
سونپ	sɔːmpə
سونپڻ	sɔːmpəɳʊ
سونڍ	suːɳɖʰɪ
سونگو	suːŋɡoː
سونڻ	soːɳɳʊ
سونڻائتو	soːɳɳaːɪt̪oː
سونڻي	soːɳɳiː
سوهي	suːhiː
سوٽ	sɔːʈʊ
سوٽهڙ	suːʈəhəɽʊ
سوٽو	soːʈoː
سوٽي	soːʈiː
سوٽڻ	sʊʈəɳʊ
سوپارو	soːpaːɾoː
سوپاري	soːpaːɾiː
سوپارڻ	soːpaːɾəɳʊ
