# Hebrew (he) pronunciation lexicon — skeleton (unvocalized) <TAB> niqqud (vocalized). A LOOKUP layer for the
# Phase-A wordlist: a Hebrew Wikipedia frequency ranking (hewiki dump, CC-BY-SA — ranking only; the niqqud
# content is Phonikud output validated by ReNikud, both CC-BY — see tools/hebrew/build-lexicon.py).
# neural path: a known skeleton renders via phonemizeWord(niqqud) — i.e. through OUR g2p, so it auto-tracks our
# canonical convention (the glottal rule etc.). OOV words + HOMOGRAPHS fall through to the context tagger.
# Built (tools/hebrew/build-lexicon.py): Phonikud's diacritization of the frequency list, VALIDATED where our
# g2p rendering of it agrees with ReNikud (audio-supervised), with homograph skeletons EXCLUDED (left to the
# tagger's context). Net-positive on BOTH referees — human Nakdimon holdout 86.5→87.8, independent gt.tsv
# 64.8→66.7. Eval-validated; the niqqud is a reading only (rendered through our convention, never PK's IPA).
של	שֶׁל
קוראים	קוֹרְאִים
הלך	הָלַך
ממערב	מִמַּעֲרָב
האצטדיון	הָאִצְטַדְיוֹן
הסכמה	הַסְכָּמָה
דונלד	דּוֹנַלְד
פרישתו	פְּרִישָׁתוֹ
בחלקו	בְּחֶלְקוֹ
אוצר	אוֹצָר
לטפל	לְטַפֵּל
מקבלים	מְקַבְּלִים
מודרנית	מוֹדֶרְנִית
יער	יַעַר
התחבורה	הַתַּחְבּוּרָה
מארצות	מֵאֲרָצוֹת
האקדמית	הָאֲקָדֵמִית
נובע	נוֹבֵעַ
המולד	הַמּוֹלָד
רכס	רֶכֶס
המכללה	הַמִּכְלָלָה
המשפטי	הַמִּשְׁפָּטִי
שוכן	שׁוֹכֵן
אשת	אֵשֶׁת
נרצחו	נִרְצְחוּ
בטעות	בְּטָעוּת
הנס	הַנֵּס
הסינית	הַסִּינִית
הפדרלית	הַפֵדֵרָלִית
באה	בָּאָה
אופ	אוֹפ
קפה	קָפֶה
פועלת	פּוֹעֶלֶת
הבכור	הַבְּכוֹר
מתחם	מִתְחַם
שטחים	שְׁטָחִים
מדריך	מַדְרִיךְ
סמכות	סַמְכוּת
המשמר	הַמִּשְׁמָר
שזכתה	שֶׁזָּכְתָה
כתר	כֶּתֶר
צורות	צוּרוֹת
להרחיב	לְהַרְחִיב
מוכן	מוּכָן
מועד	מוֹעֵד
בפרלמנט	בַּפַּרְלָמֵנְט
ראיתי	רָאִיתִי
הציוני	הַצִּיּוֹנִי
שחיו	שֶׁחָיוּ
התמונות	הַתְּמוּנוֹת
בתמונה	בַּתְּמוּנָה
עיקריים	עִיקָּרִיִּים
רופאים	רוֹפְאִים
המפרץ	הַמִּפְרָץ
מופע	מוֹפָע
קלארק	קְלַארְק
פרוסיה	פְּרוּסְיָה
קשים	קָשִׁים
הוסיף	הוֹסִיף
התקבלה	הִתְקַבְּלָה
מפגש	מִפְגָּשׁ
גבריאל	גַּבְרִיאֵל
לדון	לָדוּן
הרבים	הָרַבִּים
המפעל	הַמִּפְעָל
הרוגים	הֲרוּגִים
במוזיקה	בְּמוּזִיקָה
הקרנת	הַקְרָנַת
להבטיח	לְהַבְטִיחַ
השבת	הַשַּׁבָּת
גיוס	גִּיּוּס
ככה	כָּכָה
פלורידה	פְלוֹרִידָה
אג	אַג
חוזרת	חוֹזֶרֶת
האחד	הָאֶחָד
שמינית	שְׁמִינִית
טכנולוגיה	טֶכְנוֹלוֹגְיָה
המוזיקלי	הַמּוּזִיקָלִי
הנמצא	הַנִּמְצָא
היפני	הַיַּפָּנִי
דעה	דֵּעָה
עולמי	עוֹלָמִי
להתקיים	לְהִתְקַיֵּים
השריון	הַשִּׁרְיוֹן
הרשמית	הָרִשְׁמִית
הסתיים	הִסְתַּיֵּים
עשרים	עֶשְׂרִים
וסיים	וְסִייֵּם
התלמוד	הַתַּלְמוּד
לשים	לָשִׂים
לעונה	לְעוֹנָה
להפעיל	לְהַפְעִיל
התלמידים	הַתַּלְמִידִים
מסחרית	מִסְחָרִית
נותן	נוֹתֵן
ההרכב	הַהֶרְכֵּב
טים	טִים
לוק	לוֹק
הימי	הַיַּמִּי
בשיטת	בְּשִׁיטַת
עקיבא	עֲקִיבָא
שמירה	שְׁמִירָה
אוטו	אוֹטוֹ
הכשרה	הַכְשָׁרָה
הפקת	הֲפָקַת
בקנדה	בְּקָנָדָה
השפעות	הַשְׁפָּעוֹת
שופט	שׁוֹפֵט
הפסדים	הֶפְסֵדִים
טעות	טָעוּת
יונקים	יוֹנְקִים
ששיחק	שֶׁשִּׂיחֵק
החשיבות	הַחֲשִׁיבוּת
מחיר	מְחִיר
המתקפה	הַמִּתְקָפָה
יומיים	יוֹמַיִים
סוס	סוּס
המחלה	הַמַּחֲלָה
קיר	קִיר
ציבוריים	צִיבּוּרִיִּים
אשכול	אֶשְׁכּוֹל
סמואל	סְמוּאֵל
טילים	טִילִים
המסלול	הַמַּסְלוּל
מיניים	מִינִיִּים
אבדות	אֲבֵדוֹת
עור	עוֹר
ניסוי	נִיסּוּי
בניסן	בְּנִיסָן
הרוק	הָרוֹק
יוכלו	יוּכְלוּ
הפנימי	הַפְּנִימִי
לימד	לִימֵּד
שליט	שַׁלִיט
יודעים	יוֹדְעִים
הקצר	הַקָּצָר
התפרסם	הִתְפַּרְסֵם
הנקרא	הַנִּקְרָא
התגייס	הִתְגַּיֵּיס
להוכיח	לְהוֹכִיחַ
הרמן	הֶרְמָן
גיבור	גִּיבּוֹר
הרצח	הָרֶצַח
מאתר	מֵאֲתָר
היפנית	הַיַּפָּנִית
משימות	מְשִׂימוֹת
הכתר	הַכֶּתֶר
ההשפעה	הַהַשְׁפָּעָה
קידום	קִידּוּם
נשר	נֶשֶׁר
יורם	יוֹרָם
השומר	הַשּׁוֹמֵר
הפסל	הַפֶּסֶל
מרכזיים	מֶרְכָּזִיִּים
השפעת	הַשְׁפַּעַת
ניק	נִיק
ספינת	סְפִינַת
שימור	שִׁימּוּר
ביקור	בִּיקּוּר
פשע	פֶּשַׁע
ואילך	וְאֵילָךְ
בינה	בִּינָה
מוזיקת	מוּזִיקַת
חזית	חֲזִית
אמונה	אֱמוּנָה
תשעה	תִּשְׁעָה
היחס	הַיַּחַס
ההופעה	הַהוֹפָעָה
שהופקו	שֶׁהוּפְקוּ
שירותים	שֵׁירוּתִים
מכונות	מְכוֹנוֹת
אקלים	אַקְלִים
אנגלים	אַנְגְּלִים
להוביל	לְהוֹבִיל
קים	קִים
לערכים	לַעֲרָכִים
הסטודנטים	הַסְּטוּדֶנְטִים
דמוקרטית	דֵּמוֹקְרָטִית
ייחודי	יִיחוּדִי
הספירה	הַסְּפִירָה
נראית	נִרְאֵית
סה	סָה
באינטרנט	בָּאִינְטֶרְנֵט
החברים	הַחֲבֵרִים
החליף	הֶחְלִיף
החשמל	הַחַשְׁמַל
שיחת	שִׂיחַת
אסירים	אֲסִירִים
חמישי	חֲמִישִׁי
מקדש	מִקְדָּשׁ
להעניק	לְהַעֲנִיק
העתיק	הָעַתִּיק
כוסלובקיה	כּוֹסְלוֹבַקְיָה
עומדת	עוֹמֶדֶת
שופטים	שׁוֹפְטִים
סיקור	סִיקּוּר
קבוצתו	קְבוּצָתוֹ
הבכירה	הַבְּכִירָה
הצרפתים	הַצָּרְפָתִים
משימה	מְשִׂימָה
הגדרה	הַגְדָּרָה
אמרה	אָמְרָה
אבות	אָבוֹת
קבועה	קְבוּעָה
הכתיבה	הַכְּתִיבָה
עכו	עַכּוֹ
אלופת	אַלּוּפַת
חולון	חוֹלוֹן
הכדורסל	הַכַּדּוּרְסַל
ושומרון	וְשׁוֹמְרוֹן
גברת	גְּבֶרֶת
קודמים	קוֹדְמִים
המושבה	הַמּוֹשָׁבָה
השישית	הַשִּׁישִּׁית
הקודמים	הַקּוֹדְמִים
דר	דָּר
בממלכה	בַּמַּמְלָכָה
ההתנגדות	הַהִתְנַגְּדוּת
סופית	סוֹפִית
שיניים	שִׁינַּיִים
משמשים	מְשַׁמְּשִׁים
באפריקה	בְּאַפְרִיקָה
כדורסלנים	כַּדּוּרְסַלָנִים
שהה	שָׁהָה
פוליטיקה	פּוֹלִיטִיקָה
אוהב	אוֹהֵב
טורניר	טוּרְנִיר
המדרש	הַמִּדְרָשׁ
וקיבל	וְקִיבֵּל
בתלמוד	בַּתַּלְמוּד
השוק	הַשּׁוּק
קבעה	קָבְעָה
הסיום	הַסִּיּוּם
המורדים	הַמּוֹרְדִים
העוסקים	הָעוֹסְקִים
גילמה	גִּילְמָה
עמי	עַמִּי
תחושת	תְּחוּשַׁת
הרשויות	הָרָשׁוּיוֹת
המאמר	הַמַּאֲמָר
עוסקת	עוֹסֶקֶת
העלאת	הַעֲלָאַת
הפיגוע	הַפִּיגּוּעַ
השיא	הַשִּׂיא
מכלל	מִכְּלָל
החברתי	הַחֶבְרָתִי
המקרה	הַמִּקְרֶה
לחברת	לְחֶבְרַת
אתונה	אָתוּנָה
בכנסת	בַּכְּנֶסֶת
לצרפת	לְצָרְפַת
בסוריה	בְּסוּרְיָה
מעריב	מַעֲרִיב
לשאת	לָשֵׂאת
להסיר	לְהָסִיר
פופולרי	פּוֹפּוּלָרִי
לשכת	לִשְׁכַּת
לפרסם	לְפַרְסֵם
סיכון	סִיכּוּן
סוגה	סוּגָה
אופרה	אוֹפֵּרָה
הגולן	הַגּוֹלָן
נעשו	נַעֲשׂוּ
נפט	נֵפְט
צפונית	צְפוֹנִית
אמצע	אֶמְצַע
דרומית	דְּרוֹמִית
ויקימדיה	וִיקִימֶדְיָה
התערוכה	הַתַּעֲרוּכָה
רן	רָן
צעד	צַעַד
פישר	פִישֶׁר
ההלכה	הַהֲלָכָה
סטטיסטיקות	סְטָטִיסְטִיקוֹת
משטר	מִשְׁטָר
האחרות	הָאֲחֵרוֹת
חשמלי	חַשְׁמַלִּי
מוזיקאים	מוּזִיקָאִים
התכנון	הַתִּכְנוּן
ול	וְל
רגע	רֶגַע
פרויקטים	פְּרוֹיֶקְטִים
ניכרת	נִיכֶּרֶת
מהרה	מְהֵרָה
בנגב	בַּנֶּגֶב
ההונגרית	הַהוּנְגָּרִית
עמה	עִמָּה
התשובה	הַתְּשׁוּבָה
שון	שׁוֹן
פיתח	פִּיתֵּחַ
בציבור	בַּצִּיבּוּר
נתפס	נִתְפַּס
כמושל	כְּמוֹשֵׁל
ההסתדרות	הַהִסְתַּדְּרוּת
בהשראת	בְּהַשְׁרָאַת
סטון	סְטוֹן
משורר	מְשׁוֹרֵר
המשבר	הַמַּשְׁבֵּר
נפגש	נִפְגָּשׁ
יורי	יוֹרִי
האמונה	הָאֱמוּנָה
תרגם	תִּרְגֵּם
לכת	לֶכֶת
סיור	סִיּוּר
חקירה	חֲקִירָה
תגובות	תְּגוּבוֹת
צילינדרים	צִילִינְדֵּרִים
תפקידה	תַּפְקִידָהּ
סולו	סוֹלוֹ
ואשתו	וְאִשְׁתּוֹ
הקתולית	הַקָּתוֹלִית
הנפט	הַנֵּפְט
רבקה	רִבְקָה
וזכתה	וְזָכְתָה
ליטר	לִיטֶר
גור	גּוּר
לצ	לְצ
חוזרים	חוֹזְרִים
פגש	פָּגַשׁ
הצילום	הַצִּילּוּם
המרכזיים	הַמֶּרְכָּזִיִּים
פילמוגרפיה	פִילְמוֹגְרַפְיָה
העירוני	הָעִירוֹנִי
מסוף	מַסוֹף
מוזיקאי	מוּזִיקַאי
נותרה	נוֹתְרָה
משתמשת	מִשְׁתַּמֶּשֶׁת
מאמין	מַאֲמִין
ווקר	ווֹקֶר
חזרו	חָזְרוּ
ניסויים	נִיסּוּיִים
אליפויות	אַלִּיפוּיוֹת
פיקד	פִּיקֵּד
דפוס	דְּפוּס
מערכה	מַעֲרָכָה
חסידות	חֲסִידוּת
וולטר	ווֹלְטֶר
פשוטה	פְּשׁוּטָה
מבחן	מִבְחָן
מלמד	מְלַמֵּד
פירות	פֵּירוֹת
השנתי	הַשְׁנָתִי
ההבדל	הַהֶבְדֵּל
מורים	מוֹרִים
חישוב	חִישּׁוּב
לליגת	לְלִיגַת
מרקוס	מַרְקוּס
מספקת	מְסַפֶּקֶת
ועבר	וְעָבַר
הסמוך	הַסָּמוּך
העיתונות	הָעִיתּוֹנוּת
גפן	גֶּפֶן
אפליה	אַפְלָיָה
ועדה	וַעֲדָה
רשויות	רָשׁוּיוֹת
הנוצרית	הַנּוֹצְרִית
מתה	מֵתָה
אלמנטים	אֵלֵמֶנְטִים
דנה	דָּנָה
פטירתו	פְּטִירָתוֹ
בהונגריה	בְּהוּנְגַּרְיָה
אדמות	אֲדָמוֹת
עיון	עִיּוּן
בתמוז	בְּתַמּוּז
אפס	אֶפֶס
נטען	נִטְעַן
שהתקיים	שֶׁהִתְקַיֵּים
הבדל	הֶבְדֵּל
אהוד	אֵהוּד
תותחים	תּוֹתָחִים
להבחין	לְהַבְחִין
ירון	יָרוֹן
לגרמניה	לְגֶרְמַנְיָה
עשו	עֲשׂוּ
אופיר	אוֹפִיר
להגדיר	לְהַגְדִּיר
לזכרו	לְזִכְרוֹ
אפשרויות	אֶפְשָׁרוּיוֹת
פולנים	פּוֹלָנִים
חיבר	חִיבֵּר
פרשנות	פַּרְשָׁנוּת
יוניון	יוֹנְיוֹן
פסח	פֶּסַח
סבו	סָבוֹ
ייסון	יִיסוֹן
משטרה	מִשְׁטָרָה
אנא	אָנָּא
לבקש	לְבַקֵּשׁ
ספרדים	סְפָרַדִּים
בשפות	בְּשָׂפוֹת
התרחש	הִתְרַחֵשׁ
מרשל	מַרְשֶׁל
לכם	לָכֶם
סרטן	סַרְטָן
מחלת	מַחֲלַת
פקיסטן	פָּקִיסְטָן
לגור	לָגוּר
צמד	צֶמֶד
בנפרד	בְּנִפְרָד
מתוצרת	מִתּוֹצֶרֶת
המלח	הַמֶּלַח
עזרא	עֶזְרָא
לימודיה	לִימּוּדֶיהָ
המילואים	הַמִּילּוּאִים
האנושי	הָאֱנוֹשִׁי
הגידול	הַגִּידּוּל
מרוץ	מֵרוֹץ
עלולה	עֲלוּלָה
אנתוני	אַנְתוֹנִי
טוענים	טוֹעֲנִים
לדין	לְדִין
נוצרו	נוֹצְרוּ
נעים	נָעִים
סרטון	סִרְטוֹן
הטכנולוגיה	הַטֶּכְנוֹלוֹגְיָה
סיפר	סִיפֵּר
לתחנת	לְתַחֲנַת
התנגד	הִתְנַגֵּד
בתחנת	בְּתַחֲנַת
ממה	מִמָּה
הלוחמים	הַלּוֹחֲמִים
עילית	עִילִּית
תרומה	תְּרוּמָה
חקיקה	חֲקִיקָה
מביא	מֵבִיא
באיטלקית	בְּאִיטַלְקִית
רחוק	רָחוֹק
גופים	גּוּפִים
לתאר	לְתָאֵר
השלטונות	הַשִּׁלְטוֹנוֹת
מחלה	מַחֲלָה
וולט	ווֹלְט
רצף	רֶצֶף
תמר	תָּמָר
ושיחה	וְשִׂיחָה
אחמד	אַחְמַד
להגנה	לַהֲגָנָה
האסלאמית	הָאִסְלָאמִית
תיעוד	תִּיעוּד
בקר	בָּקָר
ביהדות	בַּיַּהֲדוּת
פלסטיני	פָלַסְטִינִי
הדתי	הַדָּתִי
וסט	וֶסְט
במרוץ	בְּמֵרוֹץ
תערוכות	תַּעֲרוּכוֹת
ניקוד	נִיקּוּד
פרחים	פְּרָחִים
הראל	הַרְאֵל
לאה	לֵאָה
פנימי	פְּנִימִי
ללימודים	לְלִימּוּדִים
טובות	טוֹבוֹת
הנכון	הַנָּכוֹן
היוצרים	הַיּוֹצְרִים
רשמיים	רִשְׁמִיִּים
דומות	דּוֹמוֹת
פרטית	פְּרָטִית
ירדה	יָרְדָה
תאים	תָּאִים
המודל	הַמּוֹדֵל
ניצב	נִיצָּב
ואמר	וְאָמַר
הסכסוך	הַסִּכְסוּך
גלעד	גִּלְעָד
יוזף	יוֹזֶף
שנתי	שְׁנָתִי
בתחרויות	בְּתַחֲרוּיוֹת
לוחם	לוֹחֵם
אבקש	אֲבַקֵּשׁ
דרכי	דַּרְכִּי
נעשתה	נֶעֶשְׂתָה
גזע	גֶּזַע
לקבלת	לְקַבָּלַת
הציונות	הַצִּיּוֹנוּת
מאן	מָאן
מסחרי	מִסְחָרִי
פליטים	פְּלִיטִים
באחת	בְּאַחַת
קארל	קַארְל
הראשיים	הָרָאשִׁיִּים
לממשלה	לַמֶּמְשָׁלָה
יצרה	יָצְרָה
בהפסד	בְּהֶפְסֵד
להפסיק	לְהַפְסִיק
החזיק	הֶחְזִיק
שארל	שַׁארְל
גדעון	גִּדְעוֹן
הכדור	הַכַּדּוּר
להימלט	לְהִימָּלֵט
יוצאים	יוֹצְאִים
אנדרסון	אַנְדֶרְסוֹן
הביזנטית	הַבִּיזַנְטִית
מלאכותית	מְלָאכוּתִית
קובי	קוֹבִּי
עתיקה	עַתִּיקָה
המשתמשים	הַמִּשְׁתַּמְּשִׁים
האיגוד	הָאִיגּוּד
הוד	הוֹד
הגורמים	הַגּוֹרְמִים
אר	אָר
מכללת	מִכְלֶלֶת
להכניס	לְהַכְנִיס
הסופי	הַסּוֹפִי
הביתה	הַבַּיְתָה
עיניים	עֵינַיִים
הביע	הִבִּיעַ
שנבנה	שֶׁנִּבְנָה
למידה	לְמִידָה
סיבות	סִיבּוֹת
חתן	חָתָן
הפרעות	הַפְרָעוֹת
האדריכל	הָאַדְרִיכָל
ניל	נִיל
אסיסטים	אָסִיסְטִים
מצבים	מַצָּבִים
הריכוז	הָרִיכּוּז
למעמד	לְמַעֲמָד
מיס	מִיס
הפקות	הֲפָקוֹת
הזדמנות	הִזְדַּמְּנוּת
למלא	לְמַלֵּא
קשורים	קְשׁוּרִים
מחזות	מַחֲזוֹת
נט	נֵט
במהרה	בִּמְהֵרָה
עתה	עַתָּה
הקרבות	הַקְּרָבוֹת
בטבע	בַּטֶּבַע
מחלקה	מַחְלָקָה
אוף	אוֹף
לשכנע	לְשַׁכְנֵעַ
דיוק	דִּיּוּק
זכיות	זְכִיּוֹת
בקונגרס	בַּקּוֹנְגְּרֵס
הכינוי	הַכִּינּוּי
תסריט	תַּסְרִיט
בקיצור	בְּקִיצּוּר
מתכת	מַתֶּכֶת
תמונת	תְּמוּנַת
דורש	דּוֹרֵשׁ
האמריקאים	הָאָמֵרִיקָאִים
נחשף	נֶחְשַׂף
אנימציה	אָנִימַצְיָה
ברבע	בְּרֶבַע
חכם	חָכָם
לסיים	לְסַיֵּים
משמעותיים	מַשְׁמָעוּתִיִּים
פנימית	פְּנִימִית
העסקים	הָעֲסָקִים
לשלוש	לְשָׁלוֹשׁ
אדריכלות	אַדְרִיכָלוּת
התברר	הִתְבָּרֵר
התגלו	הִתְגַּלּוּ
השביעית	הַשְּׁבִיעִית
לבד	לְבַד
כינה	כִּינָּה
סקירה	סְקִירָה
השמות	הַשֵּׁמוֹת
השר	הַשַּׂר
חיצוני	חִיצוֹנִי
ההיסטורית	הַהִיסְטוֹרִית
בדקה	בְּדַקָּה
מסמכים	מִסְמָכִים
שנועד	שֶׁנּוֹעַד
חיוביות	חִיּוּבִיּוֹת
הטיסה	הַטִּיסָה
חכמים	חֲכָמִים
המושב	הַמּוֹשָׁב
המטבח	הַמִּטְבָּח
ישר	יָשָׁר
האטלנטי	הָאַטְלַנְטִי
המצור	הַמָּצוֹר
לשלום	לְשָׁלוֹם
עורכת	עוֹרֶכֶת
הזכויות	הַזְּכוּיוֹת
השפות	הַשָּׂפוֹת
משפטית	מִשְׁפָּטִית
התא	הַתָּא
אלבומה	אַלְבּוֹמָה
ביטוח	בִּיטּוּחַ
קומות	קוֹמוֹת
אדמירל	אַדְמִירָל
לשנה	לְשָׁנָה
קופר	קוֹפֶּר
יתרון	יִתְרוֹן
בנג	בֵּנְג
הירש	הִירְשׁ
להשפיע	לְהַשְׁפִּיעַ
המיני	הַמִּינִי
נשמע	נִשְׁמָע
יצרו	יָצְרוּ
הרבנים	הָרַבָּנִים
החיבור	הַחִיבּוּר
טייסת	טַיֶּיסֶת
להכיר	לְהַכִּיר
בכלא	בַּכֶּלֶא
נחתם	נֶחְתַּם
באלול	בְּאֱלוּל
הקלאסית	הַקְּלָאסִית
קרואטיה	קְרוֹאַטְיָה
שליחים	שְׁלִיחִים
קרול	קְרוֹל
נאמן	נֶאֱמָן
העמק	הָעֵמֶק
הנהלת	הַנְהָלַת
באיראן	בְּאִירָאן
תיקונים	תִּיקּוּנִים
גבוהות	גְּבוֹהוֹת
הנוצרים	הַנּוֹצְרִים
מדענים	מַדְּעָנִים
הנפש	הַנֶּפֶשׁ
משתנים	מִשְׁתַּנִּים
הרקע	הָרֶקַע
הוגן	הוֹגֵן
היסטוריונים	הִיסְטוֹרְיוֹנִים
השמונים	הַשְּׁמוֹנִים
לבקר	לְבַקֵּר
הדר	הָדָר
מהנדס	מְהַנְדֵּס
להבדיל	לְהַבְדִּיל
השתתפות	הִשְׁתַּתְּפוּת
הסוג	הַסּוּג
גשם	גֶּשֶׁם
התקדמות	הִתְקַדְּמוּת
הכרמל	הַכַּרְמֶל
הקונפדרציה	הַקּוֹנְפֵדֵרַצְיָה
שורות	שׁוּרוֹת
לאנגלית	לְאַנְגְּלִית
מצביעים	מַצְבִּיעִים
אזרחות	אֶזְרָחוּת
למלחמת	לְמִלְחֶמֶת
עלות	עֲלוּת
והרב	וְהָרַב
בציור	בְּצִיּוּר
סמכויות	סַמְכוּיוֹת
הפסד	הֶפְסֵד
לורד	לוֹרְד
נחשבים	נֶחְשָׁבִים
הופכת	הוֹפֶכֶת
תפילה	תְּפִילָּה
חסרים	חֲסֵרִים
המובילים	הַמּוֹבִילִים
הרוסים	הָרוּסִים
האזרחי	הָאֶזְרָחִי
תור	תּוֹר
ההונגרי	הַהוּנְגָּרִי
הנעה	הֲנָּעָה
למים	לַמַּיִם
הרומי	הָרוֹמִי
מלחינים	מַלְחִינִים
תלויה	תְּלוּיָה
קמרון	קָמְרוֹן
אלמוג	אַלְמוֹג
קלאסית	קְלָאסִית
מחאה	מְחָאָה
בסיוע	בְּסִיּוּעַ
האנושית	הָאֱנוֹשִׁית
התאמה	הַתְאָמָה
אוטומטי	אוֹטוֹמָטִי
הנאצי	הַנָּאצִי
השבועי	הַשְּׁבוּעִי
קשורה	קְשׁוּרָה
תרבותית	תַּרְבּוּתִית
מאמץ	מַאֲמָץ
רוטשילד	רוֹטְשִׁילְד
הכנסה	הַכְנָסָה
הארמון	הָאַרְמוֹן
צפוי	צָפוּי
שוכנת	שׁוֹכֶנֶת
בנט	בֵּנֶט
תנאים	תְּנָאִים
ראשיים	רָאשִׁיִּים
קילומטר	קִילוֹמֶטֶר
מסילת	מְסִילַּת
אומרת	אוֹמֶרֶת
ברדיו	בָּרַדְיוֹ
שבועיים	שְׁבוּעַיִים
הנדסה	הַנְדָּסָה
לניהול	לְנִיהוּל
שקדמו	שֶׁקָּדְמוּ
נועדה	נוֹעֲדָה
מפקדים	מְפַקְּדִים
נפתלי	נַפְתָּלִי
ההולנדית	הַהוֹלַנְדִּית
חיובי	חִיּוּבִי
ממצאים	מִמְצָאִים
האקלים	הָאַקְלִים
חם	חַם
ייצוג	יִיצּוּג
נהגו	נָהֲגוּ
מכתבים	מִכְתָּבִים
סובייטים	סוֹבְיֵיטִים
זכאי	זַכַּאי
לוחות	לוּחוֹת
מחזיק	מַחֲזִיק
הפלסטינים	הַפָלַסְטִינִים
שהביא	שֶׁהֵבִיא
כשנה	כְּשָׁנָה
יתום	יָתוֹם
המסך	הַמָּסָךְ
ואב	וְאָב
איור	אִיּוּר
הגורם	הַגּוֹרֵם
התרחשה	הִתְרַחֲשָׁה
ניצחו	נִיצְּחוּ
נבחרים	נִבְחָרִים
קארי	קָארִי
ההצגה	הַהַצָּגָה
מודרני	מוֹדֶרְנִי
בנוי	בָּנוּי
עזבו	עַזְבוּ
תקיפה	תְּקִיפָה
לשחרור	לְשִׁחְרוּר
סטין	סְטִין
הוריה	הוֹרֶיהָ
מינוי	מִינּוּי
לתקופת	לִתְקוּפַת
ניקולאי	נִיקוֹלַאי
פירוט	פֵּירוּט
פילוסופיה	פִילוֹסוֹפְיָה
הוכחה	הוֹכָחָה
המרוץ	הַמֵּרוֹץ
גולדברג	גּוֹלְדְבֵּרְג
כמי	כְּמִי
להציע	לְהַצִּיעַ
התפילה	הַתְּפִילָּה
הקומיקס	הַקּוֹמִיקְס
חוסיין	חוּסֵיין
חלונות	חַלּוֹנוֹת
הונגרית	הוּנְגָּרִית
בירה	בִּירָה
הנוסעים	הַנּוֹסְעִים
מגיל	מִגִּיל
ההיסטוריון	הַהִיסְטוֹרְיוֹן
מהליגה	מֵהַלִּיגָה
מפעילים	מַפְעִילִים
החקירה	הַחֲקִירָה
אחותה	אֲחוֹתָה
הלימוד	הַלִּימּוּד
השירה	הַשִּׁירָה
שדרות	שְׂדֵרוֹת
מיעוט	מִיעוּט
האנדרטה	הָאַנְדַּרְטָה
הנה	הִנֵּה
נדרשים	נִדְרָשִׁים
נפרדים	נִפְרָדִים
גלים	גַּלִּים
מרחק	מֶרְחָק
מוסר	מוּסָר
שיפוט	שִׁיפּוּט
יורש	יוֹרֵשׁ
אזרחית	אֶזְרָחִית
שמעוני	שִׁמְעוֹנִי
הפולני	הַפּוֹלָנִי
שעדיין	שֶׁעֲדַיִין
פיגוע	פִּיגּוּעַ
האהבה	הָאַהֲבָה
הלאה	הָלְאָה
צבעים	צְבָעִים
התמיכה	הַתְּמִיכָה
אנדרה	אַנְדְּרָה
עליהן	עֲלֵיהֶן
עוסקים	עוֹסְקִים
מסה	מַסָה
גורמת	גּוֹרֶמֶת
גלגלים	גַּלְגַּלִּים
והשני	וְהַשֵּׁנִי
נכשל	נִכְשַׁל
שמח	שָׂמֵחַ
סופרת	סוֹפֶרֶת
צילומים	צִילּוּמִים
רישום	רִישּׁוּם
התפתחה	הִתְפַּתְּחָה
לשיפור	לְשִׁיפּוּר
פירושונים	פֵּירוּשׁוֹנִים
נדיר	נָדִיר
דורון	דּוֹרוֹן
בולטת	בּוֹלֶטֶת
מכשיר	מַכְשִׁיר
נוהגים	נוֹהֲגִים
שנית	שֵׁנִית
נדב	נָדָב
גרנט	גְרַנְט
מתקדם	מִתְקַדֵּם
המחזור	הַמַּחְזוֹר
מאנגלית	מֵאַנְגְּלִית
החיפוש	הַחִיפּוּשׂ
מתרחש	מִתְרַחֵשׁ
הארצית	הָאַרְצִית
ברוס	בְּרוּס
מהתקופה	מֵהַתְּקוּפָה
המגן	הַמָּגֵן
ההתקפה	הַהַתְקָפָה
העין	הָעַיִן
חנות	חֲנוּת
היכן	הֵיכָן
מתקפת	מִתְקֶפֶת
תלמיד	תַּלְמִיד
ויצא	וְיָצָא
תקין	תַּקִּין
ברומניה	בְּרוֹמַנְיָה
סל	סַל
הלוח	הַלּוּחַ
הטקס	הַטֶּקֶס
שמירת	שְׁמִירַת
היתה	הָיְתָה
משרדי	מִשְׂרָדִי
הקלטות	הַקְלָטוֹת
המכיל	הַמֵּכִיל
מחנות	מַחֲנוֹת
בהונגרית	בְּהוּנְגָּרִית
להשלים	לְהַשְׁלִים
דולרים	דּוֹלָרִים
נאס	נָאס
נורת	נוֹרַת
שנבחר	שֶׁנִּבְחַר
קרוי	קָרוּי
יעיל	יָעִיל
מסביב	מִסָּבִיב
נראים	נִרְאִים
מכילה	מְכִילָה
לפיו	לְפִיו
להגיש	לְהַגִּישׁ
אמנון	אַמְנוֹן
המגדל	הַמִּגְדָּל
המדעי	הַמַּדָּעִי
בוריס	בּוֹרִיס
לצה	לֵצָה
כרטיס	כַּרְטִיס
רש	רָשׁ
שסיים	שֶׁסִּייֵּם
העיצוב	הָעִיצּוּב
תערוכת	תַּעֲרוּכַת
שמיר	שָׁמִיר
ולמד	וְלָמַד
הרומאים	הָרוֹמָאִים
הזוגות	הַזּוּגוֹת
האגם	הָאֲגַם
הצילומים	הַצִּילּוּמִים
