مقدمة	مُقَدَّمَ
الشد	الشَّدّ
وميله	وَمَيْلُه
التنصل	التَّنَصُّل
ومسؤولية	وَمَسْؤُولِيَّ
وقبلها	وَقَبْلَهَا
إلقاء	إلْقَاء
فشله	فَشَلِه
بالذي	بِاَلَّذِي
موقوفون	مَوْقُوفُون
استضعفوا	اسْتُضْعِفُوا
استكبروا	اسْتَكْبَرُوا
لكنا	لَكِنَّا
أنحن	أَنَحْن
صددناكم	صَدَدْنَاكُمْ
مجرمين	مُجْرِمِين
تأمروننا	تَأْمُرُونَنَا
نكفر	نُكَفِّر
ونجعل	وَنَجْعَل
وأسروا	وَأَسَرُوا
الندامة	النَّدَامَ
الأغلال	الْأَغْلَال
أعناق	أَعْنَاق
أرسلنا	أَرْسَلْنَا
قرية	قَرْيَ
مترفوها	مُتْرَفُوهَا
أرسلتم	أُرْسِلْتُمْ
أموالا	أَمْوَالا
وأولادا	وَأَوْلَادا
بمعذبين	بِمُعَذَّبِين
بالمال	بِالْمَال
إليهما	إلَيْهِمَا
كمصدر	كَمَصْدَر
يحثه	يَحُثُّه
التمرد	التَّمَرُّد
والثورة	وَالثَّوْرَ
الانصياع	الِانْصِيَاع
والجاه	وَالْجَاه
والحافظ	وَالْحَافِظ
يعمروا	يُعَمِّرُوا
بموجبه	بِمُوجِبِه
ويعيشوا	وَيَعِيشُوا
بسلام	بِسَلَام
وأمان	وَأَمَان
جوع	جُوع
المعارج	الْمَعَارِج
ويبقيه	وَيُبْقِيه
الموضح	الْمُوَضِّح
الانعزال	الِانْعِزَال
بيئته	بِيئَتِه
ومجتمعه	وَمُجْتَمَعِه
وعزوفه	وَعُزُوفِه
يعطل	يُعَطِّل
للعنصر	لِلْعُنْصُر
تخريب	تَخْرِيب
وتدميرها	وَتَدْمِيرِهَا
بنجاح	بِنَجَاح
زوده	زَوَّدَه
فبالإضافة	فَبِالْإِضَافَ
مسلح	مُسْلِح
لدن	لَدُنْ
بأسس	بِأُسُس
تعلمها	تَعَلُّمُهَا
استكشاف	اسْتِكْشَاف
لتمكينه	لِتَمْكِينِه
اكتساب	اكْتِسَاب
الدماغ	الدِّمَاغ
والراقية	وَالرَّاقِيَ
خصوصا	خُصُوصا
أدمغة	أَدْمِغَ
تلافيف	تَلَافِيف
لدماغ	لِدِمَاغ
دماغ	دِمَاغ
بخاصة	بِخَاصَّ
وقدرة	وَقُدْرَ
الاستكشاف	الِاسْتِكْشَاف
يتوه	يَتُوه
موجه	مُوَجَّه
يضعه	يَضَعُه
والمرسلون	وَالْمُرْسَلُون
والرسالات	وَالرِّسَالَات
اختتمت	اخْتُتِمَتْ
وبمحمد	وَبِمُحَمَّد
وبالقرآن	وَبِالْقُرْآن
اكتمل	اكْتَمَل
تجارب	تَجَارِب
نجعل	نَجْعَل
عينين	عَيْنَيْن
ولسانا	وَلِسَانا
وشفتين	وَشَفَتَيْن
مستخلف	مُسْتَخْلَف
ومكلف	وَمُكَلَّف
ومسلح	وَمُسَلَّح
وبالعقل	وَبِالْعَقْل
وبالطبيعة	وَبِالطَّبِيعَ
وصفناها	وَصَفْنَاهَا
وأتبع	وَأَتْبَع
بإبليس	بِإِبْلِيس
مناخ	مُنَاخ
ملائم	مُلَائِم
لممارسة	لِمُمَارَسَ
مؤديا	مُؤَدِّيا
واتبعتهم	وَاتَّبَعَتْهُمْ
ألحقنا	أَلْحَقْنَا
ألتناهم	أَلَتْنَاهُمْ
امرئ	امْرِئ
رهين	رَهِين
ألزمناه	أَلْزَمْنَاه
طائره	طَائِرَه
عنقه	عُنُقِه
ونخرج	وَنُخْرِج
يلقاه	يَلْقَاه
منشورا	مَنْشُورا
كتابك	كِتَابَك
بنفسك	بِنَفْسِك
معذبين	مُعَذِّبِين
نبعث	نَبْعَث
بظاهرتين	بِظَاهِرَتَيْن
رئيسيتين	رَئِيسِيَّتَيْن
ورسالته	وَرِسَالَتِه
والشرق	وَالشَّرْق
كالغذاء	كَالْغِذَاء
والهواء	وَالْهَوَاء
جريمة	جَرِيمَ
ومؤثمة	وَمُؤْثِمَ
بمعناها	بِمَعْنَاهَا
وبافتقادها	وَبِافْتِقَادِهَا
يموت	يَمُوت
تسعى	تَسْعَى
الدواب	الدَّوَابّ
وبديهية	وَبَدِيهِيَّ
إنكارها	إنْكَارِهَا
قتلها	قَتَلَهَا
جهاز	جِهَاز
وضروري	وَضَرُورِيّ
وبديهي	وَبَدِيهِيّ
لمات	لَمَات
لآلت	لَآلَت
الفناء	الْفِنَاء
اكتشافات	اكْتِشَافَات
كبتها	كَبْتِهَا
وتضبط	وَتُضْبَطْ
وتصعد	وَتُصَعَّدْ
تنقلب	تَنْقَلِب
وفسقا	وَفِسْقا
وعدوانا	وَعُدْوَانا
واستبدادا	وَاسْتِبْدَادا
وسفكا	وَسَفْكا
وتجسسا	وَتَجَسُّسا
عيوب	عُيُوب
استلاب	اسْتِلَاب
آيار	آيَار
والفرد	وَالْفَرْد
التصادم	التَّصَادُم
بالقانون	بِالْقَانُون
ترجع	تَرْجِع
تمتهن	تُمْتَهَن
وتقتل	وَتُقْتَل
فتنتشر	فَتَنْتَشِر
فهناك	فَهُنَاك
للحق	لِلْحَقّ
لمفهومهما	لِمَفْهُومِهِمَا
الزنى	الزِّنَى
منافيا	مُنَافِيا
مرذول	مَرْذُول
رذيلة	رَذِيلَ
اللواط	اللِّوَاط
سمح	سَمَح
انتشر	انْتَشَر
الإيدز	الْإِيدْز
وسواه	وَسِوَاه
الميسر	الْمَيْسِر
القمار	الْقِمَار
مباح	مُبَاح
الخمور	الْخُمُور
والمخدرات	وَالْمُخَدِّرَات
غض	غَضّ
تعاطيها	تَعَاطِيهَا
تخريبا	تَخْرِيبا
والاقتصاد	وَالِاقْتِصَاد
دول	دُوَل
بحملة	بِحَمْلَ
لمكافحة	لِمُكَافَحَ
ومتعاطيها	وَمُتَعَاطِيهَا
والمتاجرين	وَالْمُتَاجِرِين
وواجبا	وَوَاجِبا
مصونا	مَصُونا
وتكليف	وَتَكْلِيف
وعمارة	وَعِمَارَ
الجسر	الْجِسْر
نديم	نَدِيم
وصلاحها	وَصَلَاحُهَا
أيحسب	أَيَحْسَب
مرتكبه	مُرْتَكِبِه
إعتاق	إعْتَاق
دلالتان	دِلَالَتَان
الاسترقاق	الِاسْتِرْقَاق
ومعادلة	وَمُعَادَلَ
الإعتاق	الْإِعْتَاق
تعويض	تَعْوِيض
بالقتل	بِالْقَتْل
انتزعها	انْتَزَعَهَا
الشاطبي	الشَّاطِبِيّ
المكلف	الْمُكَلَّف
داخلة	دَاخِلَ
للمكلف	لِلْمُكَلَّف
بالإتلاف	بِالْإِتْلَاف
يهمل	يُهْمَل
صحته	صِحَّتِه
نكلف	نُكَلِّف
يظلمون	يُظْلَمُون
توازنا	تَوَازُنا
متلازمة	مُتَلَازِمَ
لصالحه	لِصَالِحِه
لتأدية	لِتَأْدِيَ
وخيرات	وَخَيْرَات
أيكم	أَيُّكُمْ
منزه	مُنَزَّه
كلفه	كَلَّفَه
مركز	مَرْكَز
المسخرة	الْمُسَخَّرَ
تسخيرا	تَسْخِيرا
مفترضا	مُفْتَرِضا
فضائه	فَضَائِه
خياليا	خَيَالِيّا
تمكينا	تَمْكِينا
رسمتها	رَسَمَتْهَا
وأوجبتها	وَأَوْجَبَتْهَا
وحددت	وَحُدِّدَتْ
مسارها	مَسَارَهَا
ووسائلها	وَوَسَائِلَهَا
محورها	مِحْوَرُهَا
وإصلاحا	وَإِصْلَاحا
للعدل	لِلْعَدْل
مشتركا	مُشْتَرَكا
مصلحته	مَصْلَحَتِه
والمصلحة	وَالْمَصْلَحَ
وباطنا	وَبَاطِنا
ووجدانا	وَوِجْدَانا
وغرائز	وَغَرَائِز
إنفاذ	إنْفَاذ
مستواها	مُسْتَوَاهَا
واقعا	وَاقِعا
مفضلا	مُفَضَّلا
ليتفق	لِيَتَّفِق
مكانته	مَكَانَتِه
بوأه	بَوَّأَه
بالأحرى	بِالْأَحْرَى
لتتسق	لِتَتَّسِق
مشترك	مُشْتَرَك
مقصدا	مَقْصِدا
ترتد	تَرْتَدّ
استثناء	اسْتِثْنَاء
أنبياء	أَنْبِيَاء
فلنسألن	فَلَنَسْأَلَنّ
ولنسألن	وَلَنَسْأَلَنّ
واستنادا	وَاسْتِنَادا
الدريني	الدَّرِينِيّ
فتحي	فَتْحِي
نهج	نَهْج
ممتاز	مُمْتَاز
غرة	غُرَّ
والعدد	وَالْعَدَد
وزارة	وِزَارَ
الأوقاف	الْأَوْقَاف
السورية	السُّورِيَّ
إيجاز	إيجَاز
المجتهدين	الْمُجْتَهِدِين
تقصي	تَقَصِّي
المنصوبة	الْمَنْصُوبَ
والإجماع	وَالْإِجْمَاع
المستند	الْمُسْتَنِد
تنكب	تَنَكُّب
الاجتهادي	الِاجْتِهَادِيّ
والواقعية	وَالْوَاقِعِيَّ
ويمزج	وَيَمْزِج
فاصلا	فَاصِلا
تقويميا	تَقْوِيمِيّا
تقريريا	تَقْرِيرِيّا
الدعامة	الدِّعَامَ
فتتجلى	فَتَتَجَلَّى
بالمصلحة	بِالْمَصْلَحَ
وبمصلحة	وَبِمَصْلَحَ
فاستقلالية	فَاسْتِقْلَالِيَّ
بالجماعة	بِالْجَمَاعَ
ارتباط	ارْتِبَاط
تعاون	تَعَاوُن
أرسى	أَرْسَى
منحه	مَنَحَه
مصلحة	مَصْلَحَ
ومصلحة	وَمَصْلَحَ
مقتضى	مُقْتَضَى
التشريعي	التَّشْرِيعِيّ
وسيلته	وَسِيلَتُه
نوعين	نَوْعَيْن
وينضوي	وَيَنْضَوِي
والنفع	وَالنَّفْع
أضيف	أُضِيف
لعظم	لِعِظَم
خطره	خَطَرِه
وشمول	وَشُمُول
نفعه	نَفْعُه
فيمنع	فَيُمْنَع
درءا	دَرْءا
للتعسف	لِلتَّعَسُّف
محكوما	مَحْكُوما
بالقواعد	بِالْقَوَاعِد
درء	دَرْء
التعسف	التَّعَسُّف
فيمكن	فَيُمْكِن
تصنيفها	تَصْنِيفُهَا
تقييده	تَقْيِيدُه
سوريا	سُورِيَا
بناية	بِنَايَ
صمدي	صَمَدِيّ
وصالحة	وَصَالِحَ
برقيا	بَرْقِيّا
بيوشران	بُيُوشْرَان
طبعة	طَبْعَ
واستقلالا	وَاسْتِقْلَالا
وحرية	وَحُرِّيَّ
وتيسير	وَتَيْسِير
تنميته	تَنْمِيَتِه
استثماره	اسْتِثْمَارِه
وقوام	وَقِوَام
ومناط	وَمَنَاط
تكليفه	تَكْلِيفِه
ومسؤوليته	وَمَسْؤُولِيَّتِه
وسبب	وَسَبَب
نسله	نَسْلِه
الحاجية	الْحَاجِيَّ
مألوفة	مَأْلُوفَ
سيما	سِيَّمَا
معاملات	مُعَامَلَات
أنشطتهم	أَنْشِطَتِهِمْ
التحسينية	التَّحْسِينِيَّ
والكمالات	وَالْكَمَالَات
يجمل	يَجْمُل
وزينتها	وَزِينَتَهَا
وتوجب	وَتُوجِب
وتحذر	وَتُحَذِّر
وباعتباره	وَبِاعْتِبَارِه
بغض	بِغَضّ
أجناسهم	أَجْنَاسِهِمْ
وألوانهم	وَأَلْوَانِهِمْ
وأصولهم	وَأُصُولِهِمْ
وأديانهم	وَأَدْيَانِهِمْ
وأحوالهم	وَأَحْوَالِهِمْ
يتأثر	يَتَأَثَّر
بغرض	بِغَرَض
قرابة	قَرَابَ
مودة	مَوَدَّ
عداء	عَدَاء
بالجاه	بِالْجَاه
الثراء	الثَّرَاء
الاجتهاد	الِاجْتِهَاد
وتحقيقه	وَتَحْقِيقُه
وتشدد	وَتُشَدَّد
كونوا	كُونُوا
قوامين	قَوَّامِين
يجرمنكم	يَجْرِمَنَّكُمْ
شنآن	شَنَآن
تعدلوا	تَعْدِلُوا
اعدلوا	اعْدِلُوا
يأمركم	يَأْمُرُكُمْ
تؤدوا	تُؤَدُّوا
الأمانات	الْأَمَانَات
حكمتم	حَكَمْتُمْ
تحكموا	تَحْكُمُوا
نعما	نَعَما
يعظكم	يَعِظُكُمْ
سميعا	سَمِيعا
بصيرا	بَصِيرا
الوالدين	الْوَالِدَيْن
والأقربين	وَالْأَقْرَبِين
غنيا	غَنِيّا
تلووا	تَلْوُوا
تعرضوا	تَعَرَّضُوا
خبيرا	خَبِيرا
وتكريمه	وَتَكْرِيمُه
المساس	الْمِسَاس
ومالا	وَمَالا
وورد	وَوَرَد
وتندرج	وَتَنْدَرِج
العصمة	الْعِصْمَ
الرضائية	الرِّضَائِيَّ
احتكار	احْتِكَار
تأكلوا	تَأْكُلُوا
وتدلوا	وَتُدْلُوا
لتأكلوا	لِتَأْكُلُوا
تراض	تَرَاض
تقتلوا	تَقْتُلُوا
بقتل	بِقَتْل
بالالتزامات	بِالِالْتِزَامَات
التعاقدية	التَّعَاقُدِيَّ
تنقضوا	تَنْقُضُوا
توكيدها	تَوْكِيدِهَا
جعلتم	جَعَلْتُمْ
لأماناتهم	لِأَمَانَاتِهِمْ
وعهدهم	وَعَهْدِهِمْ
راعون	رَاعُون
شروطهم	شُرُوطِهِمْ
شرطا	شَرْطا
حراما	حَرَاما
حلالا	حَلَالا
المعادلة	الْمُعَادَلَ
تجزون	تُجْزَوْن
تبخسوا	تَبْخَسُوا
أشياءهم	أَشْيَاءَهُمْ
العقوبة	الْعُقُوبَ
مرتكب	مُرْتَكِب
بالشبهات	بِالشُّبُهَات
ادرؤوا	ادْرَؤُوا
وجدتم	وَجَدْتُمْ
مخرجا	مَخْرَجا
فخلوا	فَخَلُّوا
مواطني	مُوَاطِنِي
يعيشون	يَعِيشُون
شيوعيون	شُيُوعِيُّون
أضف	أَضِفْ
الجنائية	الْجِنَائِيَّ
بالعقائد	بِالْعَقَائِد
وتتعلق	وَتَتَعَلَّق
بموجهات	بِمُوَجِّهَات
ومبانيه	وَمَبَانِيه
المماثلة	الْمُمَاثَلَ
والجريمة	وَالْجَرِيمَ
أضخم	أَضْخَم
يرزقون	يُرْزَقُون
وجزاء	وَجَزَاء
فأجره	فَأَجْرُه
الغصوب	الْغُصُوب
المتلفات	الْمُتْلَفَات
التعويض	التَّعْوِيض
المثليات	الْمِثْلِيَّات
وبالقيمة	وَبِالْقِيمَ
القيميات	الْقِيَمِيَّات
تؤديه	تُؤَدِّيَه
إيقاعا	إيقَاعا
ووقوعا	وَوُقُوعا
منشؤه	مَنْشَؤُه
إباحة	إبَاحَ
ضرار	ضِرَار
طبيعتهم	طَبِيعَتِهِم
عنصرها	عُنْصُرِهَا
وانحدارها	وَانْحِدَارِهَا
وبمعنى	وَبِمَعْنَى
التفاضل	التَّفَاضُل
الجزء	الْجُزْء
برقم	بِرَقْم
ومناهج	وَمَنَاهِج
بالرأي	بِالرَّأْي
الموطأ	الْمُوَطَّأ
المازني	الْمَازِنِيّ
وعناصرهم	وَعَنَاصِرِهِمْ
وسلالاتهم	وَسُلَالَاتِهِمْ
وخلقهم	وَخَلَقَهُمْ
التفاوت	التَّفَاوُت
الكفاءة	الْكَفَاءَ
والأعمال	وَالْأَعْمَال
ونساء	وَنِسَاء
تساءلون	تَسَاءَلُون
والأرحام	وَالْأَرْحَام
أنشأكم	أَنْشَأَكُمْ
فمستقر	فَمُسْتَقَرّ
ومستودع	وَمُسْتَوْدَع
فصلنا	فَصَّلْنَا
وافي	وَافِي
بمصر	بِمِصْر
كورنيش	كُورْنِيش
شباط	شُبَاط
النوار	النُّوَّار
وحد	وَحَدّ
وسواها	وَسِوَاهَا
وآخى	وَآخَى
أذهب	أَذْهَب
عيبة	عَيْبَ
وتعظيمها	وَتَعْظِيمُهَا
بالآباء	بِالْآبَاء
لأسود	لِأَسْوَد
أحمر	أَحْمَر
معتقداتهم	مُعْتَقَدَاتِهِمْ
وانتماءاتهم	وَانْتِمَاءَاتِهِم
القومية	الْقَوْمِيَّ
مناحي	مَنَاحِي
وواجبات	وَوَاجِبَات
ومسؤوليات	وَمُسْؤُولِيَّات
تفريق	تَفْرِيق
سرق	سَرَق
الجندي	الْجُنْدِيّ
أنور	أَنْوَر
والفلسفات	وَالْفَلْسَفَات
والترقيم	وَالتَّرْقِيم
تركوه	تَرَكُوه
أقاموا	أَقَامُوا
وايم	وَايْم
سرقت	سُرِقَتْ
لقطعت	لَقَطَعْت
يدها	يَدِهَا
وأكد	وَأَكَّد
سواسية	سَوَاسِيَ
ينعمون	يَنْعَمُون
فروق	فُرُوق
نسخة	نُسْخَ
بالمساواة	بِالْمُسَاوَا
تكافؤ	تَكَافُؤ
وسبل	وَسَبِّلْ
تشغيله	تَشْغِيلِه
مجتهد	مُجْتَهِد
اجتهاده	اجْتِهَادُه
وتقليل	وَتَقْلِيل
الفروق	الْفُرُوق
والحيلولة	وَالْحَيْلُولَ
تضخم	تَضَخُّم
الثروات	الثَّرَوَات
تجميعها	تَجْمِيعِهَا
التسلط	التَّسَلُّط
وتجريده	وَتَجْرِيدِه
والنفوذ	وَالنُّفُوذ
وملكية	وَمِلْكِيَّ
وحرمه	وَحَرَّمَه
المبادرة	الْمُبَادَرَ
والمبادأة	وَالْمُبَادَأَ
لرأس	لِرَأْس
فطغى	فَطَغَى
عداه	عَدَاه
وسيطر	وَسَيْطَر
الهوة	الْهُوَّ
مراعيا	مُرَاعِيا
سلبيات	سَلْبِيَّات
إيجابيات	إِيجَابِيَّات
اعترافه	اعْتِرَافِه
للاقتصاد	لِلِاقْتِصَاد
باعتبار	بِاعْتِبَار
وتوظيفه	وَتَوْظِيفِه
وطرق	وَطُرُق
إنفاقه	إنْفَاقِه
والملكية	وَالْمِلْكِيَّ
وكلاهما	وَكِلَاهُمَا
ومختلف	وَمُخْتَلَف
أشكاله	أَشْكَالِه
أسيء	أُسِيء
وبدت	وَبَدَتْ
بوادر	بَوَادِر
تبديد	تَبْدِيد
خولت	خُوِّلَت
باتخاذ	بِاِتِّخَاذ
تؤتوا	تُؤْتُوا
وارزقوهم	وَارْزُقُوهُمْ
واكسوهم	وَاكْسُوهُمْ
خول	خَوَّل
تصرفا	تَصَرُّفا
مسيئا	مُسِيئا
وضارا	وَضَارّا
سافها	سَافِها
الاستيلاء	الِاسْتِيلَاء
وحرمان	وَحِرْمَان
وإهانته	وَإِهَانَتِه
بكرامة	بِكَرَامَ
بإدارة	بِإِدَارَ
بالاستيلاء	بِالِاسْتِيلَاء
تأمين	تَأْمِين
محترم	مُحْتَرَم
وعزته	وَعِزَّتِه
ومقامه	وَمَقَامَه
الأصيل	الْأَصِيل
الامتلاك	الِامْتِلَاك
مواتا	مَوَاتا
مشاعا	مُشَاعا
نفوذه	نُفُوذِه
موقعه	مَوْقِعَه
المتسلط	الْمُتَسَلِّط
المستغل	الْمُسْتَغِلّ
تراكم	تَرَاكُم
رؤوس	رُؤُوس
وتضخمها	وَتَضَخُّمِهَا
الربح	الرِّبْح
الفاحش	الْفَاحِش
والتقتير	وَالتَّقْتِير
التبذير	التَّبْذِير
والترف	وَالتَّرَف
فردا	فَرْدا
ومجتمعا	وَمُجْتَمَعا
وتضر	وَتَضُرّ
بالاقتصاد	بِالِاقْتِصَاد
يدك	يَدَك
عنقك	عُنُقِك
تبسطها	تَبْسُطْهَا
البسط	الْبَسْط
فتقعد	فَتَقْعُد
ملوما	مَلُوما
محسورا	مَحْسُورا
وبيوتهم	وَبُيُوتَهُمْ
تداول	تَدَاوُل
كنزه	كَنْزِه
ينشط	يَنْشَط
ويحول	وَيُحَوَّل
عطالة	عَطَالَ
محتاجون	مُحْتَاجُون
كنز	كَنْز
فيعوق	فَيَعُوق
والعطالة	وَالْعَطَالَ
احتكر	احْتَكَر
طعاما	طَعَاما
برئ	بَرِئ
وبرئ	وَبَرِئ
تحريم	تَحْرِيم
الربا	الرِّبَا
بشع	بَشِع
وإذلال	وَإِذْلَال
يقومون	يَقُومُون
يتخبطه	يَتَخَبَّطُه
وأحل	وَأَحَلّ
جاءه	جَاءَه
موعظة	مَوْعِظَ
فانتهى	فَانْتَهَى
سلف	سَلَف
وأمره	وَأَمَرَه
تجارات	تِجَارَات
حنبل	حَنْبَل
بيوع	بُيُوع
والدارمي	وَالدَّارِمِيّ
والموطأ	وَالْمُوَطَّأ
فأذنوا	فَأْذَنُوا
بحرب	بِحَرْب
رءوس	رُءُوس
الأجور	الْأُجُور
كجعل	كَجَعْل
غش	غِشّ
وممارسات	وَمُمَارَسَات
وينطبق	وَيَنْطَبِق
التوحيدي	التَّوْحِيدِيّ
الأنشطة	الْأَنْشِطَ
الآمر	الْآمِر
الناهي	النَّاهِي
والمفهومات	وَالْمَفْهُومَات
والشرقية	وَالشَّرْقِيَّ
اشتراكية	اشْتِرَاكِيَّ
شيوعية	شُيُوعِيَّ
المالك	الْمَالِك
إتلافه	إتْلَافِه
ضروراته	ضَرُورَاتِه
الحياتية	الْحَيَاتِيَّ
إتلاف	إتْلَاف
الغذائية	الْغِذَائِيَّ
الأسعار	الْأَسْعَار
الأسواق	الْأَسْوَاق
تكديس	تَكْدِيس
واحتكارها	وَاحْتِكَارُهَا
بالمؤسسات	بِالْمُؤَسَّسَات
والشركات	وَالشَّرِكَات
موروث	مَوْرُوث
مالكوها	مَالِكُوهَا
يشاؤون	يَشَاؤُون
كوقف	كَوَقْف
أعمالها	أَعْمَالِهَا
تسريح	تَسْرِيح
مالكة	مَالِكَ
وتتصرف	وَتَتَصَرَّف
بمصالح	بِمَصَالِح
برمته	بِرُمَّتِه
فيناقض	فَيُنَاقِض
امتيازا	امْتِيَازا
لفرد	لِفَرْد
ويل	وَيْل
همزة	هَمْزَ
لمزة	لُمَزَ
وعدده	وَعَدَدِه
أخلده	أَخْلَدَه
لينبذن	لَيُنْبَذَنّ
الحطمة	الْحُطَمَ
الهمزة	الْهَمْزَ
بخل	بِخَلّ
واستغنى	وَاسْتَغْنَى
وكذب	وَكَذَّب
بالحسنى	بِالْحُسْنَى
فسنيسره	فَسَنُيَسِّرُه
للعسرى	لِلْعُسْرَى
تردى	تَرَدَّى
لأحدكم	لِأَحَدِكُمْ
فليمنحها	فَلْيَمْنَحْهَا
أخاه	أَخَاه
فليزرعها	فَلْيَزْرَعْهَا
التنمية	التَّنْمِيَ
يخضعان	يَخْضَعَان
لآلية	لِآلِيَّ
تطبع	تَطْبَع
بطابع	بِطَابَع
استكمال	اسْتِكْمَال
تحررت	تَحَرَّرَتْ
لكون	لِكَوْن
وساوى	وَسَاوَى
ليسكن	لِيَسْكُن
جارودي	جُارُودِي
وميشال	وَمِيشَال
الخلية	الْخَلِيَّ
مخصص	مُخَصِّص
للرجال	لِلرِّجَال
خارجه	خَارِجَه
بتفاعل	بِتَفَاعُل
النصفين	النِّصْفَيْن
تفاعلا	تَفَاعُلا
ومنحها	وَمَنَحَهَا
بأموالها	بِأَمْوَالِهَا
أب	أَب
قرابته	قَرَابَتِه
ومنح	وَمَنَح
كالتجارة	كَالتِّجَارَ
والزراعة	وَالزِّرَاعَ
المهن	المِهَن
الرسمي	الرَّسْمِيّ
الحكومي	الْحُكُومِيّ
الحكومية	الْحُكُومِيَّ
أنواعها	أَنْوَاعِهَا
واحتراما	وَاحْتِرَاما
سالكا	سَالِكا
التبرج	التَّبَرُّج
والحرير	وَالْحَرِير
إغواء	إِغْوَاء
وإثارة	وَإِثَارَ
للأحقاد	لِلْأَحْقَاد
مفاتنها	مَفَاتِنِهَا
يسهم	يُسْهَم
هداما	هَدَّاما
وعاطلا	وَعَاطِلا
وعالة	وَعَالَ
ومثيرا	وَمُثِيرا
للفتنة	لِلْفِتْنَ
مكلفة	مُكَلَّفَ
فاستجاب	فَاسْتَجَاب
أضيع	أُضِيع
وأخرجوا	وَأَخْرَجُوا
وأوذوا	وَأُوذُوا
وقاتلوا	وَقَاتِلُوا
وقتلوا	وَقَتَلُوا
لأكفرن	لَأُكَفِّرَنّ
ولأدخلنهم	وَلَأُدْخِلَنَّهُمْ
الثواب	الثَّوَاب
نقيرا	نَقِيرا
فلنحيينه	فَلَنُحْيِيَنَّه
ولنجزينهم	وَلَنَجْزِيَنَّهُمْ
وتأكيدا	وَتَأْكِيدا
المتساوي	الْمُتَسَاوِي
درج	دَرَج
مساواتهما	مُسَاوَاتُهُمَا
والمسلمات	وَالْمُسْلِمَات
والقانتين	وَالْقَانِتِين
والقانتات	وَالْقَانِتَات
والصادقين	وَالصَّادِقِين
والصادقات	وَالصَّادِقَات
والصابرات	وَالصَّابِرَات
والخاشعين	وَالْخَاشِعِين
والخاشعات	وَالْخَاشِعَات
والمتصدقين	وَالْمُتَصَدِّقِين
والمتصدقات	وَالْمُتَصَدِّقَات
والصائمات	وَالصَّائِمَات
والحافظين	وَالْحَافِظِين
فروجهم	فُرُوجَهُمْ
والحافظات	وَالْحَافِظَات
والذاكرين	وَالذَّاكِرِين
والذاكرات	وَالذَّاكِرَات
مغفرة	مَغْفِرَ
وأجرا	وَأَجْرا
إكرام	إكْرَام
قذفها	قَذَفَهَا
بتهم	بِتُهَم
التعريض	التَّعْرِيض
يرمون	يَرْمُون
المحصنات	الْمُحْصَنَات
يأتوا	يَأْتُوا
بأربعة	بِأَرْبَعَ
فاجلدوهم	فَاجْلِدُوهُمْ
جلدة	جَلْدَ
تقبلوا	تَقْبَلُوا
الفاسقون	الْفَاسِقُون
بشرفها	بِشَرَفِهَا
ثمانون	ثَمَانُون
الحرمان	الْحِرْمَان
ويوصفون	وَيُوصَفُون
فاسقون	فَاسِقُون
وأد	وَأَدّ
الانزعاج	الِانْزِعَاج
ولادة	وِلَادَ
البنت	الْبِنْت
اللاإنساني	اللَّاإِنْسَانِيّ
بالأنثى	بِالْأُنْثَى
مسودا	مُسْوَدّا
كظيم	كَظِيم
الحمزاوي	الْحَمْزَاوِيّ
خالد	خَالِد
الطرابيشي	الطَّرَابِيشِيّ
يتمتعا	يَتَمَتَّعَا
بكامل	بِكَامِل
الزوجية	الزَّوْجِيَّ
أعبائها	أَعْبَائِهَا
إجمال	إجْمَال
يستلزمان	يَسْتَلْزِمَان
يسود	يَسُود
منافقتها	مُنَافَقَتِهَا
مجاوزة	مُجَاوَزَ
وجور	وَجَوْر
وضرورة	وَضَرُورَ
التنازل	التَّنَازُل
الأمين	الْأَمِين
حكاما	حُكَّاما
وولاة	وَوُلَا
وقضاة	وَقُضَا
وأولياء	وَأَوْلِيَاء
وأفرادا	وَأَفْرَادا
وأرباب	وَأَرْبَاب
أسر	أُسِر
أبنائكم	أَبْنَائِكُمْ
للأئمة	لِلْأَئِمَّ
استرحموا	اسْتُرْحِمُوا
رحموا	رَحِمُوا
أوفوا	أَوْفُوا
حكموا	حَكَمُوا
لعنة	لَعْنَ
المقسطون	الْمُقْسِطُون
منابر	مَنَابِر
وكلتا	وَكِلْتَا
يعدلون	يَعْدِلُون
حكمهم	حُكْمُهُمْ
وأهليهم	وَأَهْلِيهِمْ
ولوا	وَلَّوْا
حرمت	حُرِّمَتْ
تظالموا	تَظَالَمُوا
اقتطع	اقْتَطَع
أرضا	أَرْضا
ظالما	ظَالِما
لقي	لَقِي
غضبان	غَضْبَان
أمتي	أُمَّتِي
تهاب	تَهَاب
ظالم	ظَالِم
تودع	تُوُدِّع
أعان	أَعَان
كالبعير	كَالْبَعِير
المتردي	الْمُتَرَدِّي
بذنبه	بِذَنْبِه
مساكن	مَسَاكِن
باكين	بَاكِين
يصيبكم	يُصِيبَكُمْ
مظلوما	مَظْلُوما
شبرا	شِبْرا
طوقه	طُوِّقَه
أرضين	أَرَضِين
ونفخ	وَنَفَخ
متبعا	مُتَّبِعا
يمارسها	يُمَارِسُهَا
الطليق	الطَّلِيق
للعمليات	لِلْعَمَلِيَّات
نفحة	نَفْحَ
ذاك	ذَاك
الاستخلاف	الِاسْتِخْلَاف
وينكر	وَيُنْكِر
قراره	قَرَارِه
أمشاج	أَمْشَاج
