# Harakat restoration lexicon (COVERAGE layer) — undiacritized skeleton ⇥ our vocalization.
# Source: g2p-inversion over wikipron + kaikki + (ur) Hindi→Urdu real spellings; CC-BY-SA.
# Regenerate: tools/perso-arabic/invert_harakat.ts --lexicon → tools/perso-arabic/export_lexicons.sh
# Non-identity rows only (a bare-skeleton row is a no-op — g2p already yields that IPA). See PROVENANCE.md.
آبادیات	آبادُیات
ریاست	رُیاست
ریاستہا	رُیاستہا
ریاض	رُیاض
ریاضی	رُیاضی
ریت	ریَت
ریتوں	ریَتوں
ریتیں	ریَتیَں
ریختہ	ریَختہ
ریزگاری	ریَزگاری
ریستراں	ریَسْتراں
ریش	ریَش
ریشم	ریَشم
ریشمی	ریَشمی
ریشہ	ریَشہ
ریل	ریَل
رینگنا	ریَنْگنا
ریٹ	ریَٹ
ریپھ	ریَپھ
ریڈیو	ریَڈُیو
ریکھا	ریَکھا
ریگ	ریَگ
ریگستان	ریَگستان
زبانیں	زبانیَں
زبردست	زبردسْت
زخم	زخْم
زرتشت	زرتشْت
زرد	زرْد
زرشک	زرشْک
زرہ	زرِہ
زعفران	زعْفْران
زلزلو	زلْزلو
زلزلوں	زلْزلوں
زلزلہ	زلْزلہ
زلزلے	زلْزلے
زلف	زلْف
زلفیں	زلفیَں
زمینیں	زمینیَں
زنبورک	زنبُورک
زنجیریں	زنجیریَں
زندگانی	زنْدگانی
زندگی	زنْدگی
زندگیاں	زنْدگُیاں
زندگیو	زنْدگُیو
زندگیوں	زنْدگُیوں
زنگ	زنْگ
زنگبار	زنْگْبار
زوال	زِوال
زکریا	زکَرُیا
زیادتیاں	زُیادَتُیاں
زیادتیوں	زُیادَتُیوں
زیارت	زُیارت
زیر	زیَر
زیربند	زیَربنْد
زینتو	زینَتو
زینتوں	زینَتوں
زینتیں	زینَتیَں
ساحرہ	ساحَرہ
ساحری	ساحَری
ساحلی	ساحَلی
ساخت	ساخْت
سارتھ	سارْتھ
ساسیں	ساسیَں
سالگرہ	سالْگرِہ
سامھنے	سامْھنے
سانتاکروز	سانتاکرُوز
ساکنان	ساکَنان
ساگو	ساگُو
سبت	سبْت
سبز	سبْز
سبزیاں	سبزُیاں
سبزیوں	سبزُیوں
ستان	سْتان
سترک	سترْک
ستری	سْتْری
ستریبھوگ	سْتْریبھوگ
ستریگمن	سْتْریگمن
ستمبھن	سْتمبھن
ستن	سْتن
ستو	ستُو
ستون	ستُون
ستھان	سْتھان
ستھرانک	سْتھرانْک
ستھول	سْتھُول
ستھیا	ستھُیا
سحری	سحَری
سحریاں	سحَرُیاں
سحریوں	سحَرُیوں
سخت	سخْت
سدابہار	سدابَہار
سددھ	سددھَ
سدھکڑی	سدھَکَڑی
سرب	سرْب
سربیا	سربُیا
سربیائی	سربُیائی
سرجن	سْرجن
سرحدوں	سرْحدوں
سرحدیں	سرْحدیَں
سرخ	سرْخ
سردیاں	سردُیاں
سرزمین	سرْزمین
سرسبز	سرسبْز
سرسوتی	سرسُوتی
سرشت	سرشْت
سرفروش	سرْفروش
سرنگ	سرنْگ
سرنگیں	سرنگیَں
سرور	سرُور
سرپ	سرْپ
سرگ	سرْگ
سرگرم	سرگرْم
سست	سسْت
سسروں	سسَروں
سسری	سسَری
سطر	سطْر
سفرو	سفَرو
سفروں	سفَروں
سفید	سفیَد
سفیدی	سفیَدی
سلبٹا	سلْبٹا
سلجوق	سلجُوق
سلجوقی	سلجُوقی
سلسلہ	سلْسلہ
سلطنت	سلْطنت
سلوک	سلُوک
سلیمان	سلیَمان
سلیمانی	سلیَمانی
سماپت	سماپْت
سمبندھ	سمبنْدھ
سمبڑیال	سمْبْڑُیال
سمدر	سمدْر
سمرتی	سْمْرتی
سمرقند	سمرقنْد
سمع	سمْع
سمندروں	سمنْدروں
سمندری	سمنْدْری
سموہ	سمُوہ
سمیت	سمیَت
سمیٹنا	سمیَٹنا
سنت	سنْت
سنترا	سنْترا
سنتری	سنْتری
سندور	سندُور
سندوری	سندُوری
سندھ	سنْدھ
سندھپاد	سنْدھپاد
سندیس	سندیَس
سندیش	سندیَش
سندیہہ	سندیَہہَ
سنریا	سنرُیا
سنسکرت	سنْسْکْرت
سنچری	سنْچری
سنگ	سنْگ
سنگاپور	سنگاپُور
سنگٹھن	سنْگٹھن
سنگھ	سنْگھ
سنگھرش	سنگھرْش
سوآ	سُوآ
سوئی	سُوئی
سوا	سِوا
سواحلی	سواحَلی
سوادشٹ	سوادشْٹ
سوادو	سوادُو
سوار	سِوار
سوال	سِوال
سوالات	سِوالات
سوالو	سِوالو
سوالوں	سِوالوں
سوانا	سِوانا
سوانگ	سوانْگ
سوت	سُوت
سوجن	سُوجن
سوجنا	سُوجنا
سوجھ	سُوجھ
سوجھنا	سُوجھنا
سوجی	سُوجی
سود	سُود
سوراب	سُوراب
سورت	سُورت
سورج	سُورج
سورجو	سُورَجو
سورجوں	سُورَجوں
سورہ	سُورہ
سوری	سُوری
سوریاست	سُوریاسْت
سولی	سُولی
سونگھنا	سُونْگھْنا
سوٹکیس	سُوٹکیَس
سوچناتمک	سُوچناتمک
سوڈان	سُوڈان
سوکھا	سُوکھا
سٹار	سْٹار
سٹیشن	سْٹیَشن
سپرد	سپرْد
سپگیٹی	سْپگیَٹی
سپیرا	سپیَرا
سپین	سْپیَن
سپینی	سْپیَنی
سکردو	سْکردُو
سکسینا	سکسیَنا
سکون	سکُون
سکچائی	سکَچائی
سکچانا	سکَچانا
سکچیلا	سکَچیلا
سکھلن	سْکھلن
سگریٹ	سگریَٹ
سیاح	سُیاح
سیاحت	سُیاحت
سیار	سُیار
سیاروں	سُیاروں
سیارہ	سُیارہ
سیارے	سُیارے
سیاست	سُیاست
سیاستدان	سُیاستدان
سیاسی	سُیاسی
سیالکوٹ	سُیالکوٹ
سیانا	سُیانا
سیاپا	سُیاپا
سیب	سیَب
سیج	سیَج
سیریا	سیرُیا
سیلکھڑی	سیَلکھڑی
سیمل	سیَمل
سین	سیَن
سینا	سیَنا
سیندھا	سیَندھا
سینکنا	سیَنْکنا
سینگ	سینْگ
سینیٹر	سینیَٹر
سینیگل	سیَنیَگل
سیول	سُیول
سیٹھ	سیَٹھ
سیٹھن	سیَٹھن
سیک	سیَک
سیکس	سیَکْس
سیہی	سیَہی
شارک	شارْک
شاعری	شاعَری
شامیانہ	شامُیانہ
شامیں	شامیَں
شانت	شانْت
شاگرد	شاگرْد
شبد	شبْد
شبدکوش	شبْدکوش
شبھاکانکشی	شبھاکانْکْشی
شترمرغ	شترمرْغ
شترو	شترُو
شخص	شخْص
شرارتو	شرارَتو
شرارتوں	شرارَتوں
شرارتی	شرارَتی
شرارتیں	شرارَتیَں
شرط	شرْط
شرفا	شرَفا
شرم	شرْم
شرمسار	شرْمسار
شرمناک	شرْمناک
شرمگیں	شرْمْگیں
شروتا	شْروتا
شرک	شرْک
شرکرا	شرْکرا
شریعتوں	شریعَتوں
شریعتیں	شریعَتیَں
شرینگر	شْرینَگر
شستر	شسْتْر
ششن	ششْن
شطرنج	شطرنْج
شعرا	شعَرا
شعور	شعُور
شفقتوں	شفْقتوں
شفقتیں	شفْقتیَں
شلپشالا	شلْپْشالا
شمس	شمْس
شمشان	شْمشان
شمشیر	شمشیَر
شمع	شمعَ
شمعیں	شمعیَں
شناخت	شناخْت
شنکھ	شنْکھ
شودر	شُودْر
شوپیاں	شوپُیاں
شکارپور	شکارپُور
شکروار	شکرِوار
شکرکند	شکرکنْد
شکست	شکسْت
شکل	شکْل
شگوفہ	شگُوفہ
شہ	شِہ
شہتوت	شہتُوت
شیخ	شیَخ
شیخی	شیَخی
شیر	شیَر
شیرش	شیرْش
شیرنی	شیَرنی
شیو	شِیو
شیٹیے	شیَٹیے
شیکھاواٹی	شیَکھاواٹی
صارفین	صارَفین
صحن	صحْن
صدر	صدْر
صدیاں	صدُیاں
صدیوں	صدُیوں
صرف	صرْف
صعب	صعْب
صفر	صفْر
صندوق	صندُوق
صندوقچہ	صندُوقچہ
صنف	صنْف
صنمیات	صنَمُیات
صوبہ	صُوبہ
صورت	صُورت
صورتو	صُورَتو
صورتوں	صُورَتوں
صورتیں	صُورَتیَں
صوفی	صُوفی
صیاد	صُیاد
ضابطہ	ضابَطہ
ضبط	ضبْط
ضرور	ضرُور
ضرورت	ضرُورت
ضروری	ضرُوری
ضعفا	ضعَفا
ضلع	ضلعَ
ضیافت	ضُیافت
طاعون	طاعُون
طاقتو	طاقَتو
طاقتوں	طاقَتوں
طاقتیں	طاقَتیَں
طالبان	طالَبان
طبقو	طبَقو
طبقوں	طبَقوں
طبقہ	طبَقہ
طبقے	طبَقے
طبیعیات	طبیعُیات
طرابلس	طرابَلس
طرز	طرْز
طرزیات	طرزُیات
طرزیں	طرزیَں
طشتری	طشْتری
طفل	طفْل
طلسم	طلسْم
طلوع	طلُوع
طور	طُور
طوفان	طُوفان
طیاروں	طُیاروں
طیارہ	طُیارہ
طیارے	طُیارے
ظرف	ظرْف
ظروف	ظرُوف
ظلم	ظلْم
عاجزی	عاجَزی
عبادتوں	عبادَتوں
عبادتیں	عبادَتیَں
عرش	عرْش
عروج	عرُوج
عشق	عشْق
عطر	عطْر
عظم	عظْم
عظمتو	عظْمتو
عظمتوں	عظْمتوں
عظمتیں	عظْمتیَں
عقل	عقْل
عقلمند	عقْلْمنْد
علامتو	علامَتو
علامتوں	علامَتوں
علامتیں	علامَتیَں
علوم	علُوم
عملہ	عمَلہ
عوام	عِوام
عکرشہ	عکْرشہ
عکس	عکْس
عیادتوں	عُیادَتوں
عیادتیں	عُیادَتیَں
عیاشی	عُیاشی
عیاں	عُیاں
غرق	غرْق
غروب	غرُوب
غرور	غرُور
غسل	غسْل
غسلخانہ	غسْلْخانہ
غلطیاں	غلَطُیاں
غلطیو	غلَطُیو
غلطیوں	غلَطُیوں
غلیل	غلیَل
غنودگی	غنُودَگی
غنودگیاں	غنُودَگُیاں
غنودگیوں	غنُودَگُیوں
غنودہ	غنُودہ
فارس	فارْس
فاطمہ	فاطَمہ
فالتو	فالتُو
فالجوں	فالَجوں
فالودہ	فالُودہ
فانوس	فانُوس
فاکہہ	فاکَہہ
فتور	فتُور
فتورو	فتُورو
فتوروں	فتُوروں
فحش	فحْش
فخر	فخْر
فرانس	فْرانْس
فرج	فْرج
فرد	فرْد
فرزند	فرزنْد
فرش	فرْش
فرصتو	فرْصتو
فرصتوں	فرْصتوں
فرصتیں	فرْصتیَں
فرض	فرْض
فرق	فرْق
فرنگ	فرنْگ
فریب	فریَب
فریبو	فریَبو
فریبوں	فریَبوں
فصل	فصْل
فضل	فضْل
فضول	فضُول
فعل	فعْل
فقہ	فقْہَ
فلم	فلْم
فلورڈا	فْلورَڈا
فوارہ	فِوارہ
فوجیں	فوجیَں
فولاد	فُولاد
فکر	فکْر
فہرست	فہرسْت
فیروزی	فیَروزی
فیسبک	فیَسبک
قابو	قابُو
قاتلانا	قاتَلانا
قادیان	قادُیان
قادیاں	قادُیاں
قاعدو	قاعَدو
قاعدوں	قاعَدوں
قاعدے	قاعَدے
قافلو	قافَلو
قافلوں	قافَلوں
قافلے	قافَلے
قاموس	قامُوس
قانون	قانُون
قانونوں	قانُونوں
قانونی	قانُونی
قباحتو	قباحَتو
قباحتوں	قباحَتوں
قباحتیں	قباحَتیَں
قبر	قبْر
قبض	قبْض
قبل	قبْل
قبول	قبُول
قتل	قتْل
قدر	قدْر
قدرتو	قدْرتو
قدرتوں	قدْرتوں
قدرتیں	قدْرتیَں
قذف	قذْف
قراقرم	قراقَرم
قرض	قرْض
قرطبہ	قرْطبہ
قرمزی	قرْمزی
قسط	قسْط
قسطیں	قسطیَں
قسموں	قسَموں
قسمیں	قسَمیَں
قشنگ	قشنْگ
قصور	قصُور
قطب	قطْب
ققنوس	ققنُوس
قلب	قلْب
قلع	قلْع
قوال	قِوال
قوالی	قِوالی
قوانین	قِوانین
قوت	قُوت
قوطی	قُوطی
قوی	قِوی
قہرمان	قہرْمان
قیادت	قُیادت
قیامت	قُیامت
لاجیں	لاجیَں
لاشیں	لاشیَں
لالٹین	لالٹیَن
لامتناہی	لامَتَناہی
لاٹری	لاٹَری
لاپتہ	لاپَتہ
لاگتوں	لاگَتوں
لاگتیں	لاگَتیَں
لبدھ	لبْدھ
لبریز	لبریَز
لتھیڑنا	لتھیَڑنا
لدھیانہ	لدھُیانہ
لذتوں	لذَتوں
لذتیں	لذَتیَں
لسانیات	لسانُیات
لشکری	لشْکری
لطف	لطْف
لعب	لعْب
لفظ	لفْظ
لفٹ	لفْٹ
لنگ	لنْگ
لنگور	لنگُور
لوبیا	لوبُیا
لوط	لُوط
لوقا	لُوقا
لولو	لُولُو
لوٹ	لُوٹ
لٹو	لٹُو
لٹیرا	لٹیَرا
لپیٹنا	لپیَٹنا
لڈو	لڈُو
لکشمی	لکْشْمی
لکھنوی	لکھنِوی
لگوہا	لگُوہا
لہاسا	لْہاسا
لیبیا	لیبُیا
لیسنا	لیَسنا
لیسٹر	لیَسٹر
لیموں	لیمُوں
لینا	لیَنا
لیون	لُیون
لیوں	لُیوں
لیٹنا	لیَٹنا
لیکن	لیَکن
لیکھ	لیَکھ
لیکھا	لیَکھا
لیکھن	لیَکھن
لیکھنی	لیَکھَنی
لیکھک	لیَکھک
لیہ	لیَہ
لیہہ	لیَہہَ
لیے	لُیے
ماتر	ماترَ
ماجوپھل	ماجُوپھل
ماخولیا	ماخُولُیا
مادریچا	مادریَچا
مارونی	مارُونی
مارچ	مارْچ
مارکیٹ	مارکیَٹ
مارگ	مارْگ
ماسک	ماسْک
ماشوق	ماشُوق
مافیا	مافُیا
مالدووا	مالدْووا
مالدیو	مالدِیو
مالکانہ	مالَکانہ
مالیخولیا	مالیخُولُیا
مامو	مامُو
ماموں	مامُوں
مانوس	مانُوس
مانگ	مانْگ
مانگنا	مانْگْنا
مبارزہ	مبارَزہ
متجسس	متَجَسس
متر	متْر
متعارف	متَعارف
متعلق	متَعَلق
متفرق	متَفَرق
متوالی	متِوالی
متکلم	متَکَلم
متھرا	متھَرا
مثلثیات	مثلثُیات
مجبور	مجبُور
مجبوری	مجبُوری
مجسمہ	مجَسَمہ
مجموعو	مجمُوعو
مجموعوں	مجمُوعوں
مجموعہ	مجمُوعہ
مجموعے	مجمُوعے
مجنون	مجنُون
مجنوں	مجنُوں
محافظت	محافَظت
محافظو	محافَظو
محافظوں	محافَظوں
محبت	محَبت
محبتوں	محَبَتوں
محبتیں	محَبَتیَں
محبوب	محبُوب
محبوبہ	محبُوبہ
محترم	محْترم
محرم	محَرم
محروم	محرُوم
محسوس	محسُوس
محفوظ	محفُوظ
محلات	محَلات
محلوں	محَلوں
محلہ	محَلہ
محلے	محَلے
محمد	محَمد
محمدی	محَمَدی
محمود	محمُود
محنتو	محْنتو
محنتوں	محْنتوں
محنتی	محْنتی
محنتیں	محْنتیَں
مخالفت	مخالَفت
مخالفتوں	مخالَفَتوں
مخالفتیں	مخالَفَتیَں
مخالفو	مخالَفو
مخالفوں	مخالَفوں
مختصر	مخْتصر
مختلف	مخْتلف
مخدوم	مخدُوم
مخلوط	مخلُوط
مخلوق	مخلُوق
مخملی	مخْملی
مددو	مدَدو
مددوں	مدَدوں
مددیں	مدَدیَں
مدرا	مدَرا
مدرسہ	مدْرسہ
مدعو	مدعُو
مدعی	مدَعی
مدفون	مدفُون
مدھمکھی	مدھَمَکھی
مدھو	مدھُو
مذاقیا	مذاقُیا
مذاکرات	مذاکَرات
مذاکرہ	مذاکَرہ
مذمت	مذَمت
مذکر	مذَکر
مذکور	مذکُور
مربا	مرَبا
مربی	مرَبی
مرتبان	مرْتبان
مرتبہ	مرْتبہ
مرحوم	مرحُوم
مرد	مرْد
مردد	مرَدد
مردنی	مرْدنی
مردنیا	مرْدنُیا
مرض	مرْض
مرغ	مرْغ
مرغیاں	مرغُیاں
مرغیو	مرغُیو
مرغیوں	مرغُیوں
مرمت	مرَمت
مرچ	مرْچ
مرکزی	مرْکزی
مرگ	مرْگ
مزاحمت	مزاحَمت
مزدور	مزدُور
مزدوری	مزدُوری
مزور	مزُور
مزیدار	مزیَدار
مست	مسْت
مستحق	مسْتحق
مستراح	مسْتراح
مسترد	مسْترد
مستری	مسْتری
مستشک	مستشْک
مستقر	مسْتقر
مستقل	مسْتقل
مستول	مستُول
مستونگ	مستُونْگ
مسجدوں	مسْجدوں
مسجدیں	مسْجدیَں
مسلط	مسَلط
مسلمہ	مسَلَمہ
مسور	مسُور
مسوڑا	مسُوڑا
مسوڑو	مسُوڑو
مسوڑوں	مسُوڑوں
مسوڑھا	مسُوڑھا
مسوڑھو	مسُوڑھو
مسوڑھوں	مسُوڑھوں
مسوڑھے	مسُوڑھے
مسوڑے	مسُوڑے
مشت	مشْت
مشتری	مشْتری
مشدد	مشَدد
مشروم	مشرُوم
مشغلہ	مشْغلہ
مشغول	مشغُول
مشق	مشْق
مشقت	مشَقت
مشک	مشْک
مشکوک	مشکُوک
مصروف	مصرُوف
مصنف	مصَنف
مضبوط	مضبُوط
مضموم	مضمُوم
مضمون	مضمُون
مطالعہ	مطالَعہ
مطلبی	مطْلبی
مظلوم	مظلُوم
معاشرہ	معاشَرہ
معافیاں	معافُیاں
معافیوں	معافُیوں
معاملات	معامَلات
معجزات	معْجزات
معجزو	معْجزو
معجزوں	معْجزوں
معجزے	معْجزے
معجمہ	معْجمہ
معذرت	معْذرت
معذرتو	معْذرَتو
معذرتوں	معْذرَتوں
معذرتیں	معْذرَتیَں
معرکہ	معْرکہ
معصوم	معصُوم
معصومو	معصُومو
معصوموں	معصُوموں
معطل	معَطل
معلم	معَلم
مغربی	مغْربی
مغلوط	مغلُوط
مفت	مفْت
مفتش	مفَتش
مفتوح	مفتُوح
مفلسی	مفْلسی
مقبوض	مقبُوض
مقبوضہ	مقبُوضہ
مقبول	مقبُول
مقدر	مقَدر
مقدس	مقَدس
مقدسہ	مقَدَسہ
مقدمہ	مقَدَمہ
مقدور	مقدُور
مقدونی	مقدُونی
مقرر	مقَرر
مقروض	مقرُوض
مقصود	مقصُود
مقننہ	مقَنَنہ
ملاحظہ	ملاحَظہ
ملبوس	ملبُوس
ملنگ	ملنْگ
ملول	ملُول
ملک	ملْک
ملکاؤ	ملَکاؤ
ملکاؤں	ملَکاؤں
ملیامیٹ	ملُیامیَٹ
ملیریا	ملیَرُیا
مملکت	ممْلکت
ممنوع	ممنُوع
ممنون	ممنُون
ممیرا	ممیَرا
مناسبت	مناسَبت
منتخب	منْتخب
منتظر	منْتظر
منتظم	منْتظم
منجمد	منْجمد
منحصر	منْحصر
منحوس	منحُوس
مند	منْد
مندروں	منْدروں
منزلو	منْزلو
منزلوں	منْزلوں
منزلیں	منْزلیَں
منسلک	منْسلک
منسوب	منسُوب
منسوخ	منسُوخ
منشور	منشُور
منشوروں	منشُوروں
منشی	منَشی
منشیات	منَشُیات
منصوبہ	منصُوبہ
منظم	منَظم
منظور	منظُور
منفرد	منْفرد
منقبت	منْقبت
منقطع	منْقطع
منپسند	منپسنْد
منگنی	منْگْنی
منگوانا	منْگوانا
منگولیا	منگولُیا
منگیتر	منگیَتر
منگیشکر	منگیَشکر
منہاری	منَہاری
منیار	منُیار
موآب	مْوآب
مواصلات	مْواصَلات
موت	مُوت
موتر	مُوتر
موترمارگ	مُوتْرمارْگ
موتنا	مُوتنا
موتوں	مُوتوں
موتیو	موتُیو
موتیوں	موتُیوں
موذی	مُوذی
مورت	مُورت
مورتی	مُورتی
مورکو	مورَکو
مورکھ	مُورْکھ
موس	مُوس
موسا	مُوسا
موسل	مُوسل
موسیقار	مُوسیقار
موسیقارو	مُوسیقارو
موسیقاروں	مُوسیقاروں
موسیقی	مُوسیقی
موصل	مُوصل
مولادھار	مُولادھار
مولبھوت	مُولبھُوت
مولی	مُولی
مومنو	مومَنو
مومنوں	مومَنوں
مومنہ	مومَنہ
مومنین	مومَنین
مونٹینیگرو	مونٹیَنیگرو
مونگا	مُونگا
موٹھ	مُوٹھ
موچھ	مُوچھ
مٹھبھیڑ	مٹھبھیَڑ
مٹیار	مٹُیار
مکالمہ	مکالَمہ
مکت	مکْت
مکروہ	مکرُوہ
مکسور	مکسُور
مکمل	مکَمل
مکنون	مکنُون
مکھابھگم	مکھابھَگم
مکھنوں	مکھَنوں
مکھیاں	مکھُیاں
مکھیو	مکھُیو
مکھیوں	مکھُیوں
مگدھ	مگْدھ
مگری	مگَری
مہاجرت	مہاجَرت
مہاجرین	مہاجَرین
مہاراشٹری	مہاراشْٹْری
مہربان	مہرْبان
مہلتیں	مہلتیَں
میانمار	مُیانمار
میاں	مُیاں
میتھی	میَتھی
میدھا	میَدھا
میرا	میَرا
میرٹھ	میَرٹھ
میرپور	میرپُور
میری	میَری
میرے	میَرے
میز	میَز
میزبان	میَزبان
میزپوش	میَزپوش
میش	میَش
میغ	میَغ
میلہ	میَلہ
میم	میَم
میمنا	میَمنا
مینو	مینُو
مینون	میَنون
مینڈک	میَنڈک
مینڈھر	میَنڈھر
مینڈھک	میَنڈھک
میٹرو	میَٹرو
میکسیکو	میَکسیکو
میگھ	میَگھ
میگھنا	میَگھنا
میں	میَں
نائیجیریا	نائیجیرُیا
ناخدا	ناخَدا
نادری	نادَری
ناروا	نارِوا
نارووال	نارْووال
نازکی	نازَکی
نازیبا	نازیَبا
ناسور	ناسُور
ناصرت	ناصَرت
ناصرہ	ناصَرہ
ناقوس	ناقُوس
نامرد	نامرْد
نامنظور	نامنظُور
نامنظوری	نامنظُوری
نانو	نانُو
نانچانگ	نانچانْگ
نباتیات	نباتُیات
نبض	نبْض
نثر	نثْر
نجبا	نجَبا
نجد	نجْد
نجم	نجْم
نجوم	نجُوم
نجومی	نجُومی
نجیر	نجیَر
نخست	نخسْت
نخستین	نْخستین
ندیاں	ندُیاں
ندیو	ندُیو
ندیوں	ندُیوں
نردیی	نردُیی
نرست	نرسْت
نرم	نرْم
نرگسی	نرْگسی
نریندر	نریَنْدْر
نسخ	نسْخ
نسل	نسْل
نسیمیں	نسیمیَں
نشریات	نشرُیات
نشست	نشسْت
نشور	نشُور
نشٹ	نشْٹ
نطرون	نطرُون
نظم	نظْم
نظمیں	نظمیَں
نعتوں	نعَتوں
نعتیں	نعَتیَں
نعمتو	نعْمتو
نعمتوں	نعْمتوں
نعمتیں	نعْمتیَں
نفرتوں	نفْرتوں
نفرتیں	نفْرتیَں
نمازیں	نمازیَں
نمبو	نمبُو
نمونہ	نمُونہ
نند	ننْد
نندنی	ننْدنی
نندیں	نندیَں
ننگٹا	ننْگٹا
نواب	نِواب
نوابشاہ	نِوابشاہ
نواز	نِواز
نوازش	نِوازش
نوازشوں	نِوازَشوں
نوازشیں	نِوازَشیَں
نوازنا	نِوازنا
نواسو	نِواسو
نواسوں	نِواسوں
نواسہ	نِواسہ
نواسی	نِواسی
نواسے	نِواسے
نوالہ	نِوالہ
نوانا	نِوانا
نوح	نُوح
نور	نُور
نوشکی	نُوشکی
نوپر	نُوپر
نوید	نِوید
نویس	نِویس
نویسندہ	نِویسندہ
نوے	نِوے
نکر	نکْر
نکرت	نکْرتَ
نکسرا	نکْسرا
نکسراپن	نکْسراپن
نکما	نکَما
نکھٹو	نکھَٹُو
نکیل	نکیَل
نیا	نُیا
نیاز	نُیاز
نیبو	نیبُو
نیتا	نیَتا
نیتر	نیَتْر
نیترچھد	نیَتْرچھد
نیتگرنتھ	نیتگرنْتھ
نیدرلینڈ	نیَدرلیَنْڈ
نیزوں	نیَزوں
نیزہ	نیَزہ
نیزے	نیَزے
نیم	نیَم
نیمبو	نیمبُو
نیند	نینْد
نیندیں	نیندیَں
نیوجن	نُیوجن
نیوں	نِیوں
نیپال	نیَپال
نیپالی	نیَپالی
نیک	نیَک
نیکٹائی	نیَکٹائی
نیکی	نیَکی
نیہ	نیَہ
نیہا	نیَہا
ٹانگ	ٹانْگ
ٹانگیں	ٹانگیَں
ٹاپو	ٹاپُو
ٹرام	ٹْرام
ٹرمپ	ٹْرمْپ
ٹرو	ٹرُو
ٹرک	ٹْرک
ٹرین	ٹْریَن
ٹرے	ٹْرے
ٹلفورڈ	ٹلفورْڈ
ٹمٹمانا	ٹمْٹمانا
ٹنک	ٹنْک
ٹنیل	ٹنیَل
ٹوسٹ	ٹوسْٹ
ٹوفو	ٹوفُو
ٹوٹا	ٹُوٹا
ٹوٹنا	ٹُوٹنا
ٹوٹی	ٹُوٹی
ٹوٹیاں	ٹُوٹُیاں
ٹوٹیوں	ٹُوٹُیوں
ٹوٹے	ٹُوٹے
ٹوک	ٹُوک
ٹھنگنا	ٹھنْگنا
ٹھیس	ٹھیَس
ٹھیلا	ٹھیَلا
ٹھیلنا	ٹھیَلنا
ٹھینگا	ٹھیَنگا
ٹھیٹھ	ٹھیَٹھ
ٹھیکا	ٹھیَکا
ٹھیکیدار	ٹھیَکیَدار
ٹیلیگراف	ٹیَلیگراف
ٹینس	ٹیَنس
ٹینشن	ٹیَنشن
ٹیپ	ٹیَپ
ٹیچرو	ٹیچَرو
ٹیچروں	ٹیچَروں
ٹیڑھا	ٹیَڑھا
ٹیکنا	ٹیَکنا
پابند	پابنْد
پاتھودھ	پاتھودھَ
پارستھتکی	پارسْتھتَکی
پارسیک	پارسیَک
پاروتی	پارُوتی
پارک	پارْک
پاریکھ	پاریَکھ
پازیب	پازیَب
پاسپورٹ	پاسپورْٹ
پالتو	پالتُو
پانوس	پانُوس
پاکپتن	پاکْپتن
پاگلو	پاگَلو
پاگلوں	پاگَلوں
پتر	پتْر
پتلون	پتلُون
پتنگ	پتنْگ
پتھروں	پتھَروں
پتیانا	پتُیانا
پدم	پدْم
پراتھمک	پْراتھمک
پرارمبھک	پْرارمبھک
پرانت	پْرانْت
پرانگار	پْرانگار
پراورت	پْراورتَ
پراپت	پْراپْت
پراچی	پْراچی
پراچیر	پْراچیر
پراچین	پْراچین
پراکرت	پْراکرت
پراکرتک	پْراکْرتک
پراگ	پْراگ
پربھا	پْربھا
پربھات	پْربھات
پرتشٹھا	پْرتشٹھا
پرتگال	پرْتگال
پرتگالی	پرْتگالی
پرتگیا	پْرتگیا
پرتھ	پرْتھ
پرتھا	پْرتھا
پرتھوی	پْرتھوی
پرجا	پْرجا
پردھان	پرَدھان
پردیسی	پردیَسی
پردیش	پْردیَش
پردیشی	پردیَشی
پرس	پرْس
پرسار	پْرسار
پرستاو	پْرستاو
پرستت	پْرستت
پرسنن	پْرسنْن
پرشانت	پْرشانْت
پرشن	پْرشْن
پرشنسا	پْرشنسا
پرشیا	پرشُیا
پرمکھ	پْرمکھ
پروار	پرِوار
پروسٹیٹ	پْروسٹیَٹ
پرچارک	پْرچارک
پرچمو	پرْچمو
پرچموں	پرْچموں
پرکاش	پْرکاش
پرکاشن	پْرکاشن
پرکھیات	پْرکھیات
پرہار	پْرہار
پرہاس	پرَہاس
پریاپت	پریاپْت
پریت	پریَت
پریتم	پْریتم
پریتمو	پْریتَمو
پریتموں	پْریتَموں
پریشان	پریَشان
پریشانی	پریَشانی
پریم	پریَم
پریمی	پْریَمی
پسلیاں	پسلُیاں
پسلیو	پسلُیو
پسلیوں	پسلُیوں
پسند	پسنْد
پسو	پسُو
پشت	پشْت
پشدھرم	پشَدھرْم
پشپ	پشْپ
پشپکا	پشْپکا
پشچمی	پشْچمی
پشکلاوتی	پشْکلاوتی
پشیمان	پشیَمان
پلانڈو	پلانڈُو
پلنگ	پلنْگ
پلوٹو	پْلُوٹو
پلیا	پلُیا
پلیتھن	پلیَتھن
پلیز	پْلیز
پلینا	پلیَنا
پلیٹ	پْلیَٹ
پلیہا	پْلیہا
پمپ	پمْپ
پندرہ	پنْدْرہ
پنک	پنْک
پنکھ	پنْکھ
پنکھڑی	پنْکھڑی
پوت	پُوت
پوجا	پُوجا
پوجنا	پُوجنا
