# Danish pronunciation lexicon — word<TAB>IPA. From the NST Danish lexicon (Nasjonalbiblioteket /
# Sprakbanken, sbr-26), CC0 / public domain, ∩ the top-50k OpenSubtitles da frequency list (hermitdave
# FrequencyWords, CC BY-SA). Narrow convention: r-vocalisation ɐ, stop lenition, soft-d ð, length ː,
# stød ˀ. Shortest NST variant. Built by tools/danish/build_da_nst.py. The BiLSTM/rule handle OOV.
jeg	ˈjɑj
rygte	ˈʁøɡdə
no	ˈnoːˀ
ulykkelig	uˈløɡəli
bingo	ˈbeŋɡo
trusler	ˈtʁuslɐ
tåle	ˈtɔːlə
sladrer	ˈslaðʁɐ
storartet	ˈsdoɐˌɑːˀdəð
stress	ˈsdʁes
damerne	ˈdaːmɐnə
ryste	ˈʁøsdə
graver	ˈɡʁɑːvɐ
frygte	ˈfʁøɡdə
hævet	ˈhɛːvəð
graham	ˈɡʁɑhɑm
praktisk	ˈpʁɑɡtisɡ
aftryk	ˈɑwˌtʁøɡ
soveværelse	ˈsɐwəˌvɛːɐlsə
orleans	ɐˈliːns
overfald	ˈɐwɐˌfalˀ
hegnet	ˈhɑjˀnəð
gidsel	ˈɡisəl
traf	ˈtʁɑf
afdøde	ˈɑwˌdøðˀə
knald	ˈknalˀ
værktøj	ˈvɛɐɡˌtɐj
brænd	ˈbʁɛnˀ
mobilen	moˈbiːˀlən
retssagen	ˈʁɛdsˌsaːˀən
negativ	ˈneɡaˌtiwˀ
specielle	sbeˈʃɛlˀə
kvalme	ˈkvalmə
poolen	ˈpuːlen
afbryder	ˈɑwˌbʁyðˀɐ
hundredvis	ˈhunʁɐðˌviːˀs
turde	ˈtuːɐ
årets	ˈɒːˀɐðs
genial	ɡeniˈaːˀl
skaffede	ˈsɡɑfəðə
mel	ˈmeːˀl
ressourcer	ʁeˈsuɐsɐ
bide	ˈbiːðə
huskede	ˈhusɡəðə
loyal	lɐˈjaːˀl
alvorlige	alˈvɒːˀˌliːˀə
hjul	ˈjuːˀl
modstå	ˈmoðˌsdɔːˀ
genere	ʃeˈneːˀɐ
logan	ˈlɔwɡen
dessert	deˈsɛɐˀd
kuffert	ˈkɔfɐd
strømer	ˈsdʁøːˀmɐ
ralph	ˈʁɑlˀf
willie	ˈvili
rita	ˈʁita
kennedy	ˈkɛnedi
aviserne	aˈviːˀsɐnə
matematik	madəmaˈtiɡ
jøder	ˈjøːðɐ
junglen	ˈdjɔŋlən
em	ˈɛmˀ
timing	ˈtɑjmeŋ
linjen	ˈlinjən
helikopteren	hɛliˈkɐbdɐɐn
blandet	ˈblanəð
marked	ˈmɑːɡəð
lugten	ˈlɔɡdən
køkken	ˈkøɡən
trænge	ˈtʁɛŋə
dømmer	ˈdœmɐ
knuser	ˈknuːˀsɐ
fans	ˈfaːns
mystiske	ˈmysdisɡə
fiske	ˈfesɡə
fiasko	ˈfjasɡo
britiske	ˈbʁidisɡə
tilstå	ˈtelˌsdɔːˀ
kommunikation	komunikaˈʃoːˀn
kinesiske	kiˈneːˀsisɡə
plet	ˈplɛd
kaffen	ˈkɑfən
genkendte	ˈɡɛnˌkɛnˀdə
omringet	ˈɐmˌʁeŋˀəð
ordene	ˈoːˀɐnə
tatovering	tatoˈveɐˀeŋ
projektet	pʁoˈʃɛɡdəð
bilerne	ˈbiːˀlɐnə
parti	pɑˈtiːˀ
medicinen	mediˈsiːˀnən
posen	ˈpoːsən
klage	ˈklaːə
stilhed	ˈsdelˌheðˀ
søg	ˈsøːˀ
vinteren	ˈvenˀdɐɐn
påvirket	ˈpɐˌviɐɡəð
diskret	diˈsɡʁeːˀd
ashley	ˈaʃli
rydder	ˈʁyðɐ
tværs	ˈtvɛɐs
offentlig	ˈɐfendli
dyrker	ˈdyɐɡɐ
nåh	ˈnɐ
frygtelige	ˈfʁøɡdəˌliːˀə
judy	ˈdjuːdi
kvarteret	kvɑˈteːˀɐð
regnen	ˈʁɑjˀnən
larm	ˈlɑːˀm
flipper	ˈflebɐ
åndssvage	ˈɐnˀsˌsvaːˀə
true	ˈtʁuːe
cowboy	ˈkɐwˌbɐj
spyt	ˈsbød
universitet	univɛɐsiˈteːˀd
glasset	ˈɡlasəð
harrison	ˈhɑisən
oprevet	ˈɐˌbʁeːˀvəð
slapper	ˈslɑbɐ
rute	ˈʁuːdə
dato	ˈdaːto
kontrollerer	kɐntʁoˈleːˀɐ
enorme	eˈnɒːˀmə
h	ˈhɔːˀ
hiv	ˈhiwˀ
blade	ˈblaːðə
hurtigst	ˈhuɐdisd
guvernøren	ɡuvɐˈnøːˀɐn
mars	ˈmɑːˀs
øjeblikke	ˈɐjəˌbleɡə
mm	ˈmiliˌmeːˀdɐ
anfald	ˈanˌfalˀ
moses	ˈmoːsəs
aflyst	ˈɑwˌlyːˀsd
center	ˈsɛnˀdɐ
flydende	ˈflyːðənə
stål	ˈsdɔːˀl
foden	ˈfoðˀən
udvalgte	ˈuðˌvalˀdə
kammerater	kɑməˈʁɑːˀdɐ
adfærd	ˈaðˌfɛɐˀ
rollen	ˈʁɐlən
mangel	ˈmɑŋˀəl
bemærkede	beˈmɛɐɡəðə
patter	ˈpadɐ
ægteskabet	ˈɛɡdəˌsɡaːˀbəð
psykiater	syɡiˈaːˀdɐ
døgn	ˈdɐjˀn
hængende	ˈhɛŋənə
kroppe	ˈkʁɐbə
hilsen	ˈhilsən
dallas	ˈdalas
efternavn	ˈɛfdɐˌnɑwˀn
boyd	ˈbɐjd
opfandt	ˈɐbˌfanˀd
sigt	ˈseɡd
kagen	ˈkaːən
heather	ˈhɛðɐ
dages	ˈdaːəs
besvare	beˈsvɑːˀɐ
phillip	ˈfilˀib
stød	ˈsdøðˀ
aktivitet	ɑɡtiviˈteːˀd
hastighed	ˈhasdiˌheðˀ
kommandoen	koˈmanˌdoːˀən
permanent	pɛɐmaˈnɛnˀd
skaffet	ˈsɡɑfəð
krydse	ˈkʁysə
bevæbnede	beˈvɛːˀbnəðə
interesserer	entʁɛˈseːˀɐ
manhattan	manˈhaden
chip	ˈʃib
møgsvin	ˈmɐjˌsviːˀn
felix	ˈfeːliɡs
franklin	ˈfʁɑŋɡlin
ih	ˈiː
indlagt	ˈenˌlɑɡd
keith	ˈkiːd
aftaler	ˈɑwˌtaːˀlɐ
aftalt	ˈɑwˌtaːˀld
bevidsthed	beˈvesdˌheðˀ
tegne	ˈtɑjnə
burke	ˈbuɐɡə
resultat	ʁesulˈtaːˀd
ledere	ˈleːðɐɐ
generalen	ɡenəˈʁɑːˀlən
hunter	ˈhɐntɐ
udvikle	ˈuðˌveɡlə
underviser	ˈɔnɐˌviːˀsɐ
grundigt	ˈɡʁɔndid
hawaii	haˈvɑːi
optagelse	ˈɐbˌtaːˀəlsə
begravede	beˈɡʁɑːˀvəðə
forestiller	ˈfɒːɐˌsdelˀɐ
skærmen	ˈsɡɛɐˀmən
tæve	ˈtɛːvə
driller	ˈdʁelɐ
dansede	ˈdansəðə
janet	ˈdjanəd
afbrudt	ˈɑwˌbʁud
symbol	symˈboːˀl
marts	ˈmɑːds
genert	ʃeˈneɐˀd
hive	ˈhiːvə
guldet	ˈɡulˀəð
sjette	ˈʃɛːdə
renset	ˈʁɛnsəð
bur	ˈbuɐˀ
motorcykel	ˈmoːtɒˌsyɡəl
reese	ˈʁeːsə
advaret	ˈaðˌvɑːˀɐð
knække	ˈknɛɡə
tragedie	tʁɑˈɡeðˀjə
overlevet	ˈɐwɐˌleːˀvəð
diana	diˈaːna
rulle	ˈʁulə
tæsk	ˈtɛsɡ
deltager	ˈdeːlˌtɑːˀ
besætningen	beˈsɛdˌneŋˀən
vask	ˈvasɡ
dokumenter	doɡuˈmɛnˀdɐ
undertøj	ˈɔnɐˌtɐj
anklage	ˈanˌklaːˀə
arrangeret	ɑɑŋˈʃeːˀɐð
zone	ˈsoːnə
vane	ˈvaːnə
fandtes	ˈfandəs
tragisk	ˈtʁɑːˀɡisɡ
forgæves	ˈfɒːˌɡɛːˀvəs
ørerne	ˈøːɐnə
ordren	ˈɒːˀdʁɐn
borgere	ˈbɒwɐɐ
overgiver	ˈɐwɐˌɡiɐˀ
slottet	ˈslɐdəð
planlagde	ˈplaːnˌlaːə
affyret	ˈɑwˌfyːˀɐð
hyre	ˈhyːɐ
halvdel	ˈhalˌdeːˀl
matcher	ˈmadʃɐ
kroner	ˈkʁoːnɐ
lawrence	ˈlɐʁens
rocky	ˈʁɐɡi
underskrive	ˈɔnɐˌsɡʁiːˀvə
søsters	ˈsøsdɐs
korporal	kɒpoˈʁɑːˀl
vinter	ˈvenˀdɐ
koncert	kɐnˈsɛɐd
således	ˈsɐˌleðəs
jean	ˈʃɑŋ
mur	ˈmuɐˀ
ruller	ˈʁulɐ
nuttet	ˈnudəð
sundt	ˈsɔnˀd
lev	ˈlewˀ
svømmer	ˈsvœmɐ
mama	ˈmɑmɑ
verdenen	ˈvɛɐdənən
mægtige	ˈmɛɡˌdiːˀə
spærret	ˈsbɛːɐð
debbie	ˈdɛbi
rådgiver	ˈʁɐðˌɡiɐˀ
billige	ˈbiˌliːˀə
hævder	ˈhɛwdɐ
velsignelse	vɛlˈsiːˀnəlsə
jobs	ˈdjɐbs
kansas	ˈkansas
tænderne	ˈtɛnˀɐnə
passet	ˈpasəð
kjolen	ˈkjoːlən
gps	ɡeːpeːˈɛs
sydpå	ˈsyðˌpɔːˀ
sporer	ˈsboːɐ
leverer	leˈveːˀɐ
ledig	ˈleːði
lag	ˈlaːˀ
flår	ˈflɒːˀ
nicole	niˈkɐl
forsyninger	fɒˈsyːˀˌneŋˀɐ
herrens	ˈhɛːɐns
branche	ˈbʁɑŋʃə
rystet	ˈʁøsdəð
syne	ˈsyːnə
seksuelt	sɛɡsuˈɛlˀd
krydser	ˈkʁysɐ
gul	ˈɡuːˀl
usynlig	uˈsyːˀnli
egoistisk	eɡoˈisdisɡ
detektiv	dedəɡˈtiwˀ
interessante	entəʁəˈsanˀdə
sonny	ˈsɒni
nødsituation	ˈnøðsiduaˌʃoːˀn
maleri	maːləˈʁiːˀ
house	ˈhɑws
budskab	ˈbuðˌsɡaːˀb
bjerg	ˈbjɛɐˀw
forstærkning	fɒˈsdɛɐɡneŋ
vinkel	ˈveŋˀɡəl
udfører	ˈuðˌføːˀɐ
byrde	ˈbyɐdə
næh	ˈnɛː
vidnet	ˈviðnəð
overfaldt	ˈɐwɐˌfalˀd
undervise	ˈɔnɐˌviːˀsə
moderen	ˈmoːðɐɐn
um	ˈɔm
victoria	viɡˈtoɐˀja
årh	ˈɒː
anmoder	ˈanˌmoðˀɐ
flåde	ˈflɔːðə
mick	ˈmiɡ
j	ˈdjuːl
gennemgår	ˈɡɛnəmˌɡɒːˀ
skov	ˈsɡɐwˀ
indefra	ˈenəˌfʁɑːˀ
afleverer	ˈɑwləˌveːˀɐ
retfærdigt	ʁɛdˈfeɐˀdid
respektere	ʁesbɛɡˈteːˀɐ
liggende	ˈleɡənə
campbell	ˈkamˌbɛl
gentleman	ˈdjɛndelˌman
iris	ˈiɐis
begyndelse	beˈɡønˀəlsə
rygtet	ˈʁøɡdəð
kultur	kulˈtuɐˀ
hygger	ˈhyɡɐ
babyer	ˈbɛjˌbiːˀɐ
kiste	ˈkiːsdə
foretager	ˈfɒːɐˌtɑːˀ
gwen	ˈɡwen
lam	ˈlɑmˀ
jon	ˈjoːˀn
monstre	ˈmɐnˀsdʁɐ
kontaktet	kɐnˈtɑɡdəð
klassen	ˈklasən
udvikling	ˈuðˌveɡleŋ
barndom	ˈbɑːnˌdɐmˀ
bestiller	beˈsdelˀɐ
pablo	ˈpɑblo
trevor	ˈtʁevɐ
personale	pɛɐsoˈnaːlə
farer	ˈfɑːɐ
adams	ˈaːdɑms
blåt	ˈblɐd
interesser	entəˈʁɛsɐ
fangerne	ˈfɑŋɐnə
kneppede	ˈknebəðə
tallene	ˈtalˀənə
udefra	ˈuːðəˌfʁɑːˀ
forsvundne	fɒˈsvɔnˀnə
ændringer	ˈɛnˌdʁeŋˀɐ
mode	ˈmoːðə
nicholas	ˈneɡolas
forsikre	fɒˈseɡʁɐ
mønster	ˈmønˀsdɐ
italiensk	italˈjeːˀnsɡ
stresset	ˈsdʁesəð
ægtemand	ˈɛɡdəˌmanˀ
økonomi	økonoˈmiːˀ
svigte	ˈsveɡdə
snakkes	ˈsnɑɡəs
pil	ˈpiːˀl
låser	ˈlɔːˀsɐ
vidunderlige	viðˈɔnˀɐˌliːˀə
farmor	ˈfɑːˀˌmoɐ
samles	ˈsɑmləs
tilstedeværelse	teˈsdɛːðəˌvɛːˀɐlsə
skulderen	ˈsɡulɐɐn
cirkus	ˈsiɐɡus
låste	ˈlɔːˀsdə
fattig	ˈfadi
flash	ˈflaʃ
prinsen	ˈpʁenˀsən
bær	ˈbɛɐˀ
houston	ˈhjuːsden
stemmen	ˈsdɛmən
ryd	ˈʁyðˀ
bates	ˈbɛjds
psykolog	syɡoˈloːˀ
spredt	ˈsbʁeːˀd
turner	ˈtœːnɐ
hammer	ˈhɑmˀɐ
dragt	ˈdʁɑɡd
foster	ˈfɐsdɐ
brormand	ˈbʁoɐˌmanˀ
tilbudt	ˈtelˌbud
forbedre	fɒˈbɛðˀʁɐ
planter	ˈplandɐ
forsvaret	ˈfɒːˌsvɑːˀɐð
drev	ˈdʁewˀ
kontaktede	kɐnˈtɑɡdəðə
overvåget	ˈɐwɐˌvɔwˀəð
strategi	sdʁɑdəˈɡiːˀ
forsikring	fɒˈseɡʁeŋ
kandidat	kandiˈdaːˀd
marco	ˈmɑːko
sociale	soˈʃaːˀlə
positiv	ˈpoːsiˌtiwˀ
varsel	ˈvɑːˀsəl
sverige	ˈsvɛɐˀjə
sandsynligt	sanˈsyːˀnlid
atlantis	adˈlantis
tålmodig	tɐlˈmoðˀi
udslette	ˈuðˌslɛdə
tank	ˈtɑŋˀɡ
gyldne	ˈɡylˀnə
adskillige	aðˈsɡelˀˌiːˀə
smør	ˈsmœɐˀ
ansvarlige	anˈsvɑːˀˌliːˀə
styrtede	ˈsdyɐdəðə
lyse	ˈlyːsə
kontrakten	kɐnˈtʁɑɡdən
kane	ˈkaːnə
kameraerne	ˈkaːˀməˌʁɑːˀɐnə
væg	ˈvɛːˀɡ
underskrevet	ˈɔnɐˌsɡʁeːˀvəð
røve	ˈʁœːvə
troldmand	ˈtʁɐlˌmanˀ
lettet	ˈlɛdəð
sluttede	ˈsludəðə
dreje	ˈdʁɑjə
samuel	ˈsaːˀmuɛl
uventet	ˈuˌvɛnˀdəð
indviklet	ˈenˌveɡləð
forbrydere	fɒˈbʁyðˀɐɐ
claudia	ˈklɑwˀdja
rester	ˈʁɛsdɐ
blæse	ˈblɛːsə
lokalet	loˈkaːləð
drikkepenge	ˈdʁeɡəˌpɛŋə
flå	ˈflɔːˀ
von	ˈfɐn
kongelige	ˈkɐŋəˌliːˀə
rektor	ˈʁɛɡtɒ
legende	ˈlɑjənə
undvære	ˈɔnˌvɛːˀɐ
bagfra	ˈbaːˀˌfʁɑːˀ
air	ˈɛɐ
eksploderer	ɛɡsbloˈdeːˀɐ
guitar	ˈɡiˌtɑːˀ
foregik	ˈfɒːɐˌɡiɡ
haster	ˈhasdɐ
panden	ˈpanən
dødsfald	ˈdøðsˌfalˀ
efterlad	ˈɛfdɐˌlaðˀ
skiderikker	ˈsɡiðˀəʁeɡɐ
uretfærdigt	uʁɛdˈfɛɐˀdid
undergang	ˈɔnɐˌɡɑŋˀ
vinduer	ˈvenˌduːˀɐ
skænderi	sɡɛnəˈʁiːˀ
bacon	ˈbɛjkɐn
tradition	tʁɑdiˈʃoːˀn
re	ˈʁe
tekst	ˈtɛɡsd
bøgerne	ˈbøːˀɐnə
vesten	ˈvɛsdən
journal	ʃoɐˈnaːˀl
omgås	ˈɐmˌɡɔːˀs
afslappet	ˈɑwˌslɑbəð
fyrede	ˈfyːɐðə
forsiden	ˈfɒːˌsiːðən
australien	ɑwˈsdʁɑːˀljən
knappen	ˈknɑbən
eksperiment	ɛɡsbɛɐiˈmɛnˀd
kæledyr	ˈkɛːləˌdyɐˀ
international	ˈentɐnaʃoˌnaːˀl
nation	naˈʃoːˀn
dermed	ˈdeɐˀˌmɛð
ms	ˈɛms
x	ˈɛɡs
inklusive	ˈenkluˌsiːˀvə
drukne	ˈdʁɔɡnə
tosse	ˈtɐsə
reklame	ʁeˈklaːmə
batman	ˈbadˌmanˀ
horn	ˈhoɐˀn
invitation	envitaˈʃoːˀn
kvindelige	ˈkvenəˌliːˀə
engelske	ˈɛŋˀəlsɡə
tykke	ˈtyɡə
bagdøren	ˈbɑwdœːˀɐn
udnyttede	ˈuðˌnødəðə
port	ˈpoɐˀd
lidelse	ˈliːðəlsə
dyrene	ˈdyːˀɐnə
bevist	beˈviːˀsd
fløjet	ˈflɐjəð
juryen	ˈjuːˌʁiːˀən
ukendte	ˈuˌkɛnˀdə
overtaget	ˈɐwɐˌtaːˀəð
hall	ˈhalˀ
rebet	ˈʁeːˀbəð
skiltet	ˈsɡelˀdəð
sære	ˈsɛːɐ
rev	ˈʁewˀ
kid	ˈkið
voldsomt	ˈvɐlˌsɐmˀd
bailey	ˈbɛjli
bedes	ˈbeːðəs
morris	ˈmɒːis
tungen	ˈtɔŋən
overraskelser	ˈɐwɐˌʁɑsɡəlsɐ
himlens	ˈhemləns
kendelse	ˈkɛnəlsə
øverst	ˈøːˀvɐsd
troen	ˈtʁoːˀən
aflyse	ˈɑwˌlyːˀsə
skubber	ˈsɡɔbɐ
posten	ˈpɐsdən
forrådt	fɒˈʁɔːˀd
fotos	ˈfotos
spøger	ˈsbøːɐ
netværk	ˈnɛdˌvɛɐɡ
nora	ˈnoːɑ
plante	ˈplandə
trængte	ˈtʁɛŋˀdə
meddelelse	ˈmɛðˌdeːˀləlsə
teenager	ˈtiːˌnɛjdʃɐ
krævede	ˈkʁeːvəðə
narrede	ˈnɑːɐðə
sølv	ˈsøl
tøsedreng	ˈtøːsəˌdʁɛŋˀ
kortene	ˈkɒːdənə
forfølger	fɒˈfølˀjɐ
tand	ˈtanˀ
fattet	ˈfadəð
admiral	aðmiˈʁɑːˀl
liam	ˈliːɑm
jagten	ˈjɑɡdən
ho	ˈhoːˀ
kvindes	ˈkvenəs
afslørede	ˈɑwˌsløːˀɐðə
fyldte	ˈfylˀd
koner	ˈkoːnɐ
metode	meˈtoːðə
slot	ˈslɐd
ligget	ˈleɡəð
harper	ˈhɑːbɐ
donald	ˈdɐnal
bakken	ˈbɑɡən
smykker	ˈsmøɡɐ
ambassadør	ɑmbasaˈdøɐˀ
erstatte	ɛɐˈsdadə
slettet	ˈslɛdəð
anders	ˈɑnɐs
risikabelt	ʁisiˈkaːˀbəld
betal	beˈtaːˀl
aktier	ˈɑɡʃɐ
foreslog	ˈfɒːɐˌsloːˀ
skak	ˈsɡɑɡ
saul	ˈsɑwˀl
udsætte	ˈuðˌsɛdə
aktiveret	ɑɡtiˈveːˀɐð
tæppet	ˈtɛbəð
dybe	ˈdyːbə
ler	ˈleɐˀ
pool	ˈpuːl
undskyldninger	ˈɔnˌsɡylˀˌneŋˀɐ
delt	ˈdeːˀld
medicinsk	mediˈsiːˀnsɡ
accent	ɑɡˈsɑŋ
støv	ˈsdøwˀ
velsignet	vɛlˈsiːˀnəð
sjælen	ˈʃɛːˀlən
christopher	kʁiˈsdɐfɐ
pandekager	ˈpanəˌkaːɐ
voldtaget	ˈvɐlˌtaːˀəð
imponere	empoˈneːˀɐ
silver	ˈsilvɐ
livstid	ˈliwsˌtiðˀ
mordene	ˈmoːˀɐnə
gidsler	ˈɡislɐ
stabil	sdaˈbiːˀl
opførte	ˈɐbˌføɐˀdə
brække	ˈbʁɛɡə
ged	ˈɡeðˀ
systemer	syˈsdeːˀmɐ
deprimeret	depʁiˈmeːˀɐð
klør	ˈkløɐˀ
ward	ˈvɑːˀd
frø	ˈfʁøːˀ
spillere	ˈsbelɐɐ
overordnede	ˈɐwɐˌɒːˀdnəðə
typen	ˈtyːbən
niece	niˈɛːsə
søren	ˈsœːɐn
slette	ˈslɛdə
tortur	tɒˈtuɐˀ
stakkel	ˈsdɑɡəl
kuren	ˈkuːˀɐn
lars	ˈlɑːs
værdig	ˈvɛɐdi
kedelige	ˈkeːðəˌliːˀə
tilståelse	ˈtelˌsdɔːˀəlsə
registreret	ʁeɡiˈsdʁeːˀɐð
roser	ˈʁoːˀsɐ
aber	ˈaːbɐ
forbereder	ˈfɒːbəˌʁeðˀɐ
familiens	faˈmilˀjəns
papa	paˈpaːˀ
transport	tʁɑnsˈpɒːd
griber	ˈɡʁiːbɐ
buret	ˈbuːˀɐð
opgav	ˈɐbˌɡaːˀ
manager	ˈmanedjɐ
behandlede	beˈhanˀləðə
spekulerer	sbeɡuˈleːˀɐ
frygten	ˈfʁøɡdən
timers	ˈtiːmɐs
telefonnummer	teleˈfoːˀnˌnɔmˀɐ
obersten	ˈoːˀbɐsdən
udtale	ˈuðˌtaːˀlə
sti	ˈsdiːˀ
lyttet	ˈlydəð
trådte	ˈtʁɐdə
verdenskrig	ˈvɛɐdənsˌkʁiːˀ
usikker	ˈuˌseɡɐ
skjul	ˈsɡjuːˀl
politibetjent	poliˈtibəˌtjɛnˀd
menig	ˈmeːni
tilføje	ˈtelˌfɐjˀə
overgive	ˈɐwɐˌɡiːˀ
sørgede	ˈsœɐwəðə
handsker	ˈhansɡɐ
stater	ˈsdaːˀdɐ
putter	ˈpudɐ
blomst	ˈblɐmˀsd
forestilling	ˈfɒːɐˌsdelˀeŋ
teknik	tɛˈɡniɡ
duncan	ˈdɐŋkan
grebet	ˈɡʁebəð
beroligende	beˈʁoːˀˌliːˀənə
eve	ˈiːv
minister	miˈnisdɐ
grupper	ˈɡʁubɐ
skru	ˈsɡʁuːˀ
frelse	ˈfʁɛlsə
personlighed	pɛɐˈsoːˀnliˌheðˀ
lester	ˈlɛsdɐ
bandet	ˈbanəð
dødelig	ˈdøːðəli
seddel	ˈsɛðˀəl
voldelig	ˈvɐləli
oprindelige	ɐbˈʁenˀəˌliːˀə
deling	ˈdeːleŋ
ups	ˈubs
udtrykke	ˈuðˌtʁøɡə
stofferne	ˈsdɐfɐnə
medierne	ˈmeːˀdjɐnə
stærkeste	ˈsdɛɐɡəsdə
soldaterne	solˈdaːˀdɐnə
forståelse	fɒˈsdɔːˀəlsə
studiet	ˈsduːˀdjəð
porter	ˈpɒːdɐ
patienten	paˈʃɛnˀdən
colorado	koloˈʁɑːdo
overbevisende	ˈɐwɐbeˌviːˀsənə
prøverne	ˈpʁøːvɐnə
sexede	ˈsɛɡsəðə
udvalgt	ˈuðˌvalˀd
vanessa	vaˈnɛsa
minus	ˈmiːnus
modet	ˈmoðˀəð
pam	ˈpaːm
kopier	koˈpiːˀɐ
tricks	ˈtʁeɡs
otto	ˈɐto
konsekvenser	kɐnsəˈkvɛnˀsɐ
lyn	ˈlyːˀn
adlyde	ˈaðˌlyðˀə
klatre	ˈkladʁɐ
rettet	ˈʁɛdəð
præsidentens	pʁesiˈdɛnˀdəns
gerningsmanden	ˈɡɛɐneŋsˌmanˀən
vens	ˈveːˀns
betjenten	beˈtjɛnˀdən
miguel	miˈɡɛl
naboerne	ˈnaːˌboːˀɐnə
salat	saˈlaːˀd
sofa	ˈsoːfa
lana	ˈlaːna
morsom	ˈmoɐˌsɐmˀ
forbandelsen	fɒˈbanˀəlsən
december	deˈsɛmˀbɐ
render	ˈʁɛnˀɐ
thea	ˈteːa
mærkede	ˈmɛɐɡəðə
intelligens	entəliˈɡɛnˀs
droppet	ˈdʁɐbəð
reynolds	ˈʁenɔlds
designet	deˈsɑjnəð
oplysningerne	ˈɐbˌlyːˀˌsneŋˀɐnə
ohio	ɔwˈhɑjɔw
maskiner	maˈsɡiːnɐ
geværet	ɡeˈvɛːˀɐð
undersøg	ˈɔnɐˌsøːˀ
erica	ˈeɐˀika
sektor	ˈsɛɡtɒ
sku	ˈsɡuːˀ
protest	pʁoˈtɛsd
storebror	ˈsdoːɐˌbʁoɐ
lucifer	ˈluːˀsiˌfɐ
fysiske	ˈfyːˀsisɡə
endt	ˈɛnˀd
orlov	ˈɒːlɐw
kristne	ˈkʁesdnə
stregen	ˈsdʁɑjˀən
kejseren	ˈkɑjsɐɐn
filmer	ˈfilmɐ
blomsterne	ˈblɐmˀsdɐnə
anholder	ˈanˌhɐlˀɐ
idéen	iˈdeːˀən
honning	ˈhɐneŋ
glat	ˈɡlad
malet	ˈmaːləð
præsenterer	pʁesənˈteːˀɐ
tåbe	ˈtɔːbə
fil	ˈfiːˀl
special	ˈsbɛʃal
uenig	uˈeːˀni
værdighed	ˈvɛɐdiˌheðˀ
beholdt	beˈhɐlˀd
kredsløb	ˈkʁeːsˌløːˀb
barnes	ˈbɑːnəs
forbered	ˈfɒːbəˌʁeðˀ
aviser	aˈviːˀsɐ
beløb	beˈløːˀb
hæve	ˈhɛːvə
hammond	ˈhaˌmɔnd
sydlige	ˈsyðˌliːˀə
stuart	ˈsduɑd
georgia	ˈdjɐdja
oplever	ˈɐbˌleːˀvɐ
kryb	ˈkʁyːˀb
afgør	ˈɑwˌɡœɐˀ
bogstaveligt	bɔwˈsdaːˀvəlid
organer	ɒˈɡaːˀnɐ
nødvendigvis	nøðˈvɛnˀdiˌviːˀs
forhandler	fɒˈhanˀlɐ
rækkevidde	ˈʁɛɡəˌviːˀdə
trusser	ˈtʁusɐ
slutning	ˈsludneŋ
masken	ˈmasɡən
tages	ˈtaːˀs
øjeblikkeligt	ɐjəˈbleɡəlid
skadestuen	ˈsɡaːðəˌsduːən
telefoner	teleˈfoːˀnɐ
drømmen	ˈdʁɐmˀən
baker	ˈbɛjɡɐ
sladre	ˈslaðʁɐ
planlægge	ˈplaːnˌlɛɡə
centimeter	sɛntiˈmeːˀdɐ
selvforsvar	ˈsɛlfɒːˌsvɑːˀ
carla	ˈkɑːla
overlevelse	ˈɐwɐˌleːˀvəlsə
væggene	ˈvɛːɡənə
svor	ˈsvoɐˀ
antallet	ˈanˌtalˀəð
kommando	koˈmando
liter	ˈlidɐ
master	ˈmɑːsdɐ
opkaldet	ˈɐbˌkalˀəð
plage	ˈplaːə
nordlige	ˈnoɐˌliːˀə
forråde	fɒˈʁɔðˀə
umulig	uˈmuːˀli
tyveri	tyvəˈʁiːˀ
koncentrer	kɐnsənˈtʁeɐˀ
rå	ˈʁɔːˀ
begrænset	beˈɡʁɛnˀsəð
moren	ˈmoːɐn
vasket	ˈvasɡəð
dæmonen	dɛˈmoːˀnən
naturlige	naˈtuɐˀˌliːˀə
desperate	desbəˈʁɑːˀdə
jæger	ˈjɛːɐ
tvillinger	ˈtviˌleŋˀɐ
nørd	ˈnœɐˀd
vinduerne	ˈvenˌduːˀɐnə
sjovere	ˈʃɐwɐɐ
økonomisk	økoˈnoːˀmisɡ
hellig	ˈhɛli
besøgt	beˈsøɡd
årene	ˈɒːˀɐnə
kirk	ˈkiɐɡ
ejendele	ˈɑjənˌdeːlə
udtalelse	ˈuðˌtaːˀləlsə
syvende	ˈsyːˀvənə
skiller	ˈsɡelɐ
ladt	ˈlad
drevet	ˈdʁeːˀvəð
januar	ˈjanuˌɑːˀ
tårnet	ˈtɒːˀnəð
stevens	ˈsdiːvens
kaution	kɑwˈʃoːˀn
ruby	ˈʁuːbi
sloges	ˈsloːəs
original	ɒiɡiˈnaːˀl
brune	ˈbʁuːnə
følelsen	ˈføːləlsən
cd	ˈseːˀˌdeːˀ
bennett	ˈbɛnəd
rosa	ˈʁoːsa
balance	baˈlɑŋsə
negle	ˈnɑjlə
sygehuset	ˈsyːəˌhuːˀsəð
hemmeligheden	ˈhɛməliˌheðˀən
sendes	ˈsɛnəs
cindy	ˈsendi
up	ˈɐb
tone	ˈtoːnə
aske	ˈasɡə
