# Welsh LEXICON — word<TAB>IPA, for words the rules mis-derive (per-word ⟨ae⟩/⟨ai⟩ quality, ⟨y⟩-obscure
# irregulars, loan vowels, monosyllable length). kaikki.org Wiktionary Welsh (CC-BY-SA), NORTH-WALES pron,
# stress re-placed to our convention. Regen: tools/gen/build-cy-kaikki-dict.mts.
a	ˈaː
dodi	dˈɔdɪ
doedd	dˈoːᶤð
does	dˈoːᶤs
doeth	dˈoːᶤθ
doethaf	dˈɔᶦθa
dolffin	dˈɔlfɪn
dorrid	dˈɔrɪd
dosbarthwyr	dɔsbˈarθwɨr
draed	drˈaːᶤd
draen	drˈaːᶤn
draenog	drˈeᶤnɔɡ
draeth	drˈaːᶤθ
draw	drˈaːᶷ
dril	drˈɪl
drilio	drˈɪljɔ
dringo	drˈɪŋɔ
dringwr	drˈɪŋʊr
driongl	drˈiːɔŋl
drip	drˈɪp
droed	drˈoːᶤd
dros	drˈɔs
drost	drˈɔsd
drwsio	drˈʊsjɔ
drwy	drˈuːᶤ
drwyn	drˈuːᶤn
drycin	drˈəkɪn
dua	dˈɨːa
duedd	dˈɨːɛð
duon	dˈɨːɔn
dur	dˈɨːr
duw	dˈɨᶷ
duwiol	dˈɨᶷjɔl
dwy	dˈuːᶤ
dwyn	dˈuːᶤn
dwyrain	dʊᶤrˈain
dwys	dˈuːᶤs
dyddodi	dəðˈɔdɪ
dydy	dˈədɪ
dyfalbarhad	dˌəvalbˈarhaːd
dyfarnwyr	dəvˈarnwɨr
dyfeisiwr	dəvˈeᶦsjʊr
dyfrgi	dˈəvrɡɪ
dygwyd	dˈəɡʊᶤd
dyhead	dəhˈeːad
dyledwyr	dəlˈɛdwɨr
dyn	dˈɨːn
dyngarol	dəŋɡˈarɔl
dyrchafedig	dˌərχavˈɛdɪɡ
dysg	dˈɨːsɡ
dysgwch	dˈəsɡʊχ
dysgwr	dˈəsɡʊr
dywed	dˈəᶷɛd
dyweddïad	dˌəwɛðˈiːad
dyweddïo	dˌəwɛðˈiːɔ
dywedodd	dəᶷˈɛdɔð
dywyll	dˈəᶷɨɬ
düwch	dˈɨːʊχ
edmygu	edmˈəɡɨ
edwyn	ˈɛdwɨn
egin	ˈɛɡɪn
egino	ɛɡˈɪnɔ
eglurhad	ɛɡlˈɨrhaːd
egnïol	ɛɡnˈiːɔl
egwyddor	ɛɡˈʊᶤðɔr
egwyl	ˈɛɡʊᶤl
eilir	ˈeᶦlɪr
eilrif	ˈeᶦlriːv
eirin	ˈeᶦrɪn
eisteddfodwr	ˌeᶦsdɛðvˈɔdʊr
eisteddfodwyr	ˌeᶦsdɛðvˈɔdʊᶤr
eisteddle	eᶦsdˈɛðlɛ
eithaf	ˈeᶦθa
electromagnetig	ˌɛlɛktrɔmaɡnˈɛtɪɡ
electronig	ˌɛlɛktrˈɔnɪɡ
eli	ˈɛlɪ
eliffant	ɛlˈɪfant
elin	ˈɛlɪn
elli	ˈɛɬɪ
elltydd	ˈɛɬdɨð
elw	ˈɛlu
emiw	ˈɛmɪᶷ
emrallt	ˈɛmraɬd
enghraifft	ˈɛŋ̊raᶦfd
eni	ˈɛnɪ
enillion	ɛnˈɪɬjɔn
enillir	ɛnˈɪɬɪr
enillodd	ɛnˈɪɬɔð
enillon	ɛnˈɪɬɔn
enillwr	ɛnˈɨɬʊr
enillwyr	ɛnˈɨɬwɨr
enillydd	ɛnˈɨɬɨð
ennill	ˈɛnɪɬ
enw	ˈɛnu
enwocaf	ɛnwˈɔka
eos	ˈeːɔs
epidemig	ˌɛpɪdˈɛmɪɡ
epil	ˈɛpɪl
epilog	ɛpˈɪlɔɡ
erchyllter	ɛrχˈəɬdɛr
erddi	ˈɛrðɪ
erlid	ˈɛrlɪd
erw	ˈɛru
esgid	ˈɛsɡɪd
esgyll	ˈɛsɡᶤɬ
est	ˈɛsd
ester	ˈɛsdɛr
estron	ˈɛsdrɔn
estrys	ˈɛsdrɨs
estyn	ˈɛsdɨn
etholedig	ˌɛθɔlˈɛdɪɡ
etholedigaeth	ˌɛθɔlɛdˈɪɡaᶤθ
etifedd	ɛtˈɪvɛð
etifeddes	ˌɛtɪvˈɛðɛs
etifeddol	ˌɛtɪvˈɛðɔl
etifeddu	ˌɛtɪvˈɛðɨ
ewcaryotig	ˌeᶷkarɨˈɔtɪɡ
ewin	ˈɛᶷɪn
faedd	vˈaːᶤð
faen	vˈaːᶤn
fag	vˈaɡ
fampir	vˈampɪr
fast	vˈasd
fedi	vˈɛdɪ
feibion	vˈəᶦbjɔn
feithrin	vˈeᶦθrɪn
fenyw	vˈɛnɨᶷ
fenywaidd	vɛnˈəᶷaᶦð
fenywod	vɛnˈəᶷɔd
fetrig	vˈɛtrɪɡ
ffaelu	fˈeᶤlɨ
ffidil	fˈɪdɪl
ffigys	fˈɨɡɨs
ffilm	fˈɪlm
ffin	fˈiːn
ffiniol	fˈɪnjɔl
ffioedd	fˈiːɔᶤð
ffion	fˈɪɔn
ffiseg	fˈɪsɛɡ
ffisig	fˈɪsɪɡ
ffisioleg	fɪsjˈɔlɛɡ
ffit	fˈɪt
fflint	flˈɪnt
ffliw	flˈɪᶷ
ffliwt	flˈɪᶷt
fflworid	fluːˈɔrɪd
ffolineb	fɔlˈɪnɛb
fformiwla	fɔrmˈɪᶷla
ffortiwn	fˈɔrtɪᶷn
ffosil	fˈɔsɪl
ffotograffig	fˌɔtɔɡrˈafɪɡ
ffotograffwyr	fˌɔtɔɡrˈafwɨr
ffrae	frˈaːᶤ
ffraeo	frˈeᶤɔ
ffraeth	frˈaːᶤθ
ffres	frˈɛʃ
ffrind	frˈɪnd
ffrio	frˈiːɔ
ffrithiant	frˈɪθjant
ffrwgwd	frˈʊɡʊd
ffrwyno	frʊˈɨnɔ
ffrwyth	frˈuːᶤθ
ffyrnig	fˈərnɪɡ
figwrn	vˈɪɡʊrn
fil	vˈiːl
filoedd	vˈɪlɔᶤð
finegr	vˈɪnɛɡr
fioled	viˈɔlɛd
firws	vˈɪrʊs
flew	vlˈeːᶷ
flin	vlˈiːn
flinedig	vlɪnˈɛdɪɡ
flog	vlˈɔɡ
flwydd	vlˈuːᶤð
fod	vˈoːd
foel	vˈoːᶤl
foes	vˈoːᶤs
foli	vˈɔlɪ
frenin	vrˈɛnɪn
frest	vrˈɛsd
fudr	vˈɨdɨr
fur	vˈɨːr
fuwch	vˈɨᶷχ
fwy	vˈuːᶤ
fwyd	vˈuːᶤd
fwyn	vˈuːᶤn
fychan	fˈəχan
fyfyriwr	vəvˈərjʊr
fywyd	vˈəᶷɨd
fàs	vˈas
gae	ɡˈaːᶤ
gaeafgysgu	ɡˌeᶤavɡˈəsɡɨ
gaeafu	ɡeᶤˈavɨ
gaed	ɡˈaːᶤd
gael	ɡˈaːᶤl
gaeth	ɡˈaːᶤθ
gafrewig	ɡavrˈɛwɪɡ
galw	ɡˈalu
galwedigaeth	ɡˌalwɛdˈɪɡaᶤθ
galwedigaethol	ɡˌalwɛdɪɡˈeᶤθɔl
ganddi	ɡˈanðɪ
gardinaliaid	ɡˌardɪnˈaljaᶦd
garedig	ɡarˈɛdɪɡ
garej	ɡˈarɛdʒ
gari	ɡˈarɪ
gast	ɡˈasd
gegin	ɡˈɛɡɪn
gellgi	ɡˈɛɬɡiː
gelli	ɡˈɛɬɪ
gellid	ɡˈɛɬɪd
gellir	ɡˈɛɬɪr
genedigaeth	ɡˌɛnɛdˈɪɡaᶤθ
genedlaethol	ɡˌɛnɛdlˈeᶤθɔl
geni	ɡˈɛnɪ
genidol	ɡɛnˈɪdɔl
gerddi	ɡˈɛrðɪ
geri	ɡˈɛrɪ
gerrig	ɡˈɛrɪɡ
gestyll	ɡˈɛsdɨɬ
gilydd	ɡˈɪlɨð
gini	ɡˈɪnɪ
ginio	ɡˈɪnjɔ
gist	ɡˈiːsd
glaswellt	ɡlˈaswɛɬd
glaw	ɡlˈaːᶷ
glendid	ɡlˈɛndɪd
gloyw	ɡlˈɔᶤu
gloywi	ɡlˈɔᶤwɪ
glust	ɡlˈɨːst
glwb	ɡlˈʊb
gobaith	ɡɔbˈaiθ
godi	ɡˈɔdɪ
godinebus	ɡˌɔdɪnˈɛbɨs
goed	ɡˈoːᶤd
goes	ɡˈoːᶤs
gofid	ɡˈɔvɪd
goginio	ɡɔɡˈɪnjɔ
gohirio	ɡɔhˈɪrjɔ
golchi	ɡˈɔlχɪ
goleuedig	ɡˌɔleᶤˈɛdɪɡ
goleuni	ɡɔlˈeᶤnɨ
golygfeydd	ɡɔlˈəɡveᶤð
gomiwnyddol	ɡˌɔmjʊnˈəðɔl
gorbryder	ɡɔrbrˈədar
gorffen	ɡˈɔrfan
gorlifo	ɡɔrlˈɪvɔ
gorllewin	ɡɔrɬˈɛᶷɪn
gorllewinol	ɡˌɔrɬɛᶷˈɪnɔl
gornest	ɡˈɔrnɛsd
gosgeiddig	ɡɔsɡˈeᶦðɪɡ
gostwng	ɡˈɔsdʊŋ
graean	ɡrˈeᶤan
graff	ɡrˈaf
grawnwin	ɡrˈaᶷnwɪn
grid	ɡrˈɪd
grilio	ɡrˈɪljɔ
groes	ɡrˈoːᶤs
gwadn	ɡwˈadan
gwae	ɡwˈaːᶤ
gwaed	ɡwˈaːᶤd
gwaedu	ɡwˈeᶤdɨ
gwael	ɡwˈaːᶤl
gwaelod	ɡwˈeᶤlɔd
gwaeth	ɡwˈaːᶤθ
gwaetha	ɡwˈeᶤθa
gwahaniaethu	ɡwˌahanjˈeᶤθɨ
gwallgofrwydd	ɡwaɬɡˈɔvrʊᶤd
gwallt	ɡwˈaːɬd
gwanwyn	ɡwˈanwɨn
gwasgod	ɡwˈaskɔd
gwastad	ɡwˈasdad
gwastatir	ɡwasdˈatɪr
gwastraff	ɡwˈasdraf
gwastraffu	ɡwasdrˈafɨ
gwaun	ɡwˈaɨn
gwaywffon	ɡwˈeᶤwfɔn
gwaywffyn	ɡwˈeᶤwfɨn
gwbl	ɡˈʊbl
gwch	ɡˈʊχ
gwddw	ɡˈʊðu
gwead	ɡwˈeːad
gweddi	ɡwˈɛðɪ
gweddill	ɡwˈɛðɪɬ
gweddillion	ɡwɛðˈɪɬjɔn
gweddw	ɡwˈɛðu
gweddïo	ɡwɛðˈiːɔ
gweinidog	ɡweᶦnˈɪdɔɡ
gweinidogion	ɡwˌeᶦnɪdˈɔɡjɔn
gweinyddwyr	ɡweᶦnˈəðwɨr
gweithiwr	ɡwˈeᶦθjʊr
gweithwyr	ɡwˈeᶦθwɨr
gwellt	ɡwˈeːɬd
gwendid	ɡwˈɛndɪd
gwenith	ɡwˈɛnɪθ
gwenithfaen	ɡwɛnˈɪθvaᶤn
gwenwyn	ɡwˈɛnwɨn
gwenwynig	ɡwɛnˈʊᶤnɪɡ
gweoedd	ɡwˈeːɔᶤð
gwerin	ɡwˈɛrɪn
gweriniaeth	ɡwɛrˈɪnjaᶤθ
gwerinlywodraeth	ɡwˌɛrɪnləwˈɔdraᶤθ
gwerinwr	ɡwɛrˈɪnʊr
gwerinwyr	ɡwɛrˈɪnwɨr
gwerslyfr	ɡwˈerslɨvr
gwerthfawrogi	ɡwˌɛrθvaᶷrˈɔɡɪ
gwerthwyr	ɡwˈɛrθwɨr
gwestai	ɡwˈɛsdaᶦ
gwesteion	ɡwɛsdˈeᶦɔn
gwestiwn	ɡwˈɛsdjʊn
gwesty	ɡwˈɛsdɨ
gwin	ɡwˈiːn
gwinoedd	ɡwˈɪnɔᶤð
gwir	ɡwˈiːr
gwirfoddol	ɡwɪrvˈɔðɔl
gwirion	ɡwˈɪrjɔn
gwirioneddol	ɡwˌɪrjɔnˈɛðɔl
gwirod	ɡwˈɪrɔd
gwisg	ɡwˈiːsɡ
gwisgo	ɡwˈɪsɡɔ
gwiwerod	ɡwɪᶷˈɛrɔd
gwladfeydd	ɡwlˈadveᶤð
gwladgarwyr	ɡwladɡˈarwɨr
gwledig	ɡwlˈɛdɪɡ
gwlff	ɡˈʊlf
gwlypaf	ɡwlˈəpa
gwm	ɡˈʊm
gwmni	ɡˈʊmni
gwmpas	ɡˈʊmpas
gwn	ɡˈʊn
gwnaed	ɡwnˈaːᶤd
gwnaethpwyd	ɡwnˈeᶤθpʊᶤd
gwpan	ɡˈʊpan
gwr	ɡˈuːr
gwrdd	ɡˈʊrð
gwresogi	ɡwrɛsˈɔɡɪ
gwroldeb	ɡurˈɔldab
gwron	ɡˈʊrɔn
gwrs	ɡˈʊrs
gwrtaith	ɡˈʊrtaᶦθ
gwrthdaro	ɡʊrθdˈarɔ
gwrthdroi	ɡˈʊrθdrɔᶦ
gwrthdystio	ɡʊrθdˈəsdjɔ
gwrthgyferbyniad	ɡˌʊrθɡəvɛrbˈənjad
gwrthgyferbynnu	ɡˌʊrθɡəvɛrbˈənɨ
gwrthgymdeithasol	ɡˌʊrθɡəmdeᶦθˈasɔl
gwrthiselder	ɡˌʊrθɪsˈɛldɛr
gwrthod	ɡˈʊrθɔd
gwrthrych	ɡˈʊrθrɨχ
gwrthrychol	ɡʊrθrˈəχɔl
gwrthryfel	ɡʊrθrˈəvɛl
gwrthryfela	ɡˌʊrθrəvˈɛla
gwrthryfelgar	ɡˌʊrθrəvˈɛlɡar
gwrthryfeloedd	ɡˌʊrθrəvˈɛlɔᶤð
gwrthryfelwyr	ɡˌʊrθrəvˈɛlwɨr
gwrthwynebiad	ɡˌʊrθwɨnˈɛbjad
gwrthwynebu	ɡˌʊrθwɨnˈɛbɨ
gwrthwynebwr	ɡˌʊrθwɨnˈɛbʊr
gwrthwynebwyr	ɡˌʊrθwɨnˈɛbwɨr
gwrthwynebydd	ɡˌʊrθwɨnˈɛbɨð
gwrw	ɡˈʊru
gwryw	ɡˈʊrɨᶷ
gwrywaidd	ɡʊrˈəᶷaᶦð
gwthio	ɡˈʊθjɔ
gwyach	ɡˈʊᶤaχ
gwybed	ɡwˈəbɛd
gwybedog	ɡwəbˈɛdɔɡ
gwybedogion	ɡwˌəbɛdˈɔɡjɔn
gwybedyn	ɡwəbˈɛdɨn
gwybodaeth	ɡwəbˈɔdaᶤθ
gwycbys	ɡwˈəkbɨs
gwyddfid	ɡwˈɨðvɪd
gwyddonwyr	ɡwɨðˈɔnwɨr
gwyfyn	ɡwˈəvɨn
gwylan	ɡˈʊᶤlan
gwylanod	ɡʊᶤlˈanɔd
gwyllt	ɡwˈɨːɬd
gwynion	ɡwˈənjɔn
gwynnach	ɡwˈənaχ
gwyno	ɡˈʊᶤnɔ
gwyrddion	ɡwˈərðjɔn
gwystl	ɡwˈɨsdl
gyd	ɡˈiːd
gyda	ɡˈɨda
gyfarfod	ɡwˈarvɔd
gyfreithiwr	ɡəvrˈeᶦθjʊr
gyfrifol	ɡəvrˈɪvɔl
gymnasteg	d͡ʒɨmnˈasdɛɡ
gymnastwr	d͡ʒɨmnˈasdʊr
gyntaf	ɡˈənta
gystadlu	ɡəsdˈadlɨ
gywir	ɡˈəᶷɪr
gŵydd	ɡˈuːᶤð
gŵyl	ɡˈuːᶤl
gŵyr	ɡˈuːᶤr
haearn	hˈeᶤarn
hael	hˈaːᶤl
haelodaeth	heᶤlˈɔdaᶤθ
haen	hˈaːᶤn
halid	hˈalɪd
hallt	hˈaːɬd
halogi	halˈɔɡɪ
haniaethol	hanjˈeᶤθɔl
harestio	harˈɛsdjɔ
heddiw	hˈɛðɪᶷ
heddluoedd	hɛðlˈɨːɔᶤð
hefin	hˈɛvɪn
helaeth	hɛlˈaɨθ
heli	hˈɛlɪ
heliwm	hˈɛljʊm
helwyr	hˈɛlwɨr
hemisffer	hɛmˈɪsfɛr
hen	hˈeːn
hennill	hˈɛnɪɬ
henw	hˈɛnu
heol	hˈeːɔl
hepgor	hˈɛbɡɔr
herw	hˈɛru
herwydd	hˈɛrwɨð
hesg	hˈeːsɡ
hidlydd	hˈɪdlɨð
hil	hˈiːl
hiliaeth	hˈɪljaᶤθ
hin	hˈiːn
hinsawdd	hˈɪnsaᶷð
hir	hˈiːr
hiraeth	hˈɪraᶤθ
hirfaith	hˈɪrvaᶦθ
hirgoes	hˈɪrɡɔᶤs
hirgron	hˈɪrɡrɔn
hirgrwn	hˈɪrɡrʊn
hirgul	hˈɪrɡɨl
hirion	hˈɪrjɔn
hirsgwar	hˈɪrsɡwar
hisian	hˈɪsjan
hoci	hˈɔkɪ
hoedlog	hˈoːᶤdlɔɡ
hoel	hˈoːᶤl
hoffi	hˈɔfɪ
hogi	hˈɔɡɪ
holl	hˈoːɬ
hollbwysig	hɔɬbˈʊᶤsɪɡ
hollti	hˈɔɬdɪ
honni	hˈɔnɪ
hosbis	hˈɔsbɪs
hoyw	hˈɔᶤu
huawdl	hˈɨːaᶷdl
hugain	hˈɪɡaᶦn
hun	hˈɨːn
hunangofiant	hˌɨnanɡˈɔvjant
hwiangerdd	hwɪˈaŋɡɛrð
hwntw	hˈʊntu
hwy	hˈuːᶤ
hwyl	hˈuːᶤl
hwyr	hˈuːᶤr
hydoddi	hədˈɔðɪ
hydrin	hˈədrɪn
hyfyw	hˈəvɨᶷ
hylendid	həlˈɛndɪd
hylif	hˈəlɪv
hynaf	hˈəna
hystafell	həsdˈavɛɬ
i'w	ˈɪᶷ
ia	ˈiːa
ichwi	ˈɪχwi
iddi	ˈɪði
iddo	ˈɪðɔ
iddyn	ˈɪðɨn
iddynt	ˈɪðɨnt
ideal	ɪdˈɛal
ie	ˈiːɛ
iesin	jˈɛsɪn
ieuanc	jˈeᶤaŋk
ieuenctid	jˌeɨˈɛŋktɪd
ifanc	ˈɪvaŋk
ifancaf	ɪvˈaŋka
ifori	ɪvˈɔrɪ
ildio	ˈɪldjɔ
im	ˈɪm
imi	ˈɪmi
imiwn	ˈɪmɪᶷn
imiwnedd	ɪmˈɪᶷnɛð
imiwnoleg	ˌɪmɪᶷnˈɔlɛɡ
in	ˈɪn
indrawn	ˈɪndraᶷn
ing	ˈɪŋ
inni	ˈɪni
iogwrt	jˈɔɡʊrt
ir	ˈiːr
iro	ˈɪrɔ
isaf	ˈɪsav
isatomig	ˌiːsatˈɔmɪɡ
iseldir	ɪsˈɛldɪr
isetholiad	ˌɪsɛθˈɔljad
isfyd	ˈiːsvɨːd
islaw	ˈiːslaːᶷ
isod	ˈɪsɔd
isrywogaeth	ˌiːsrɪᶷˈɔɡaᶤθ
it	ˈɪt
ithfaen	ˈɪθvaᶤn
iti	ˈɪti
iwrch	jˈʊrχ
j	dʒˈeː
jac	dʒˈak
je	dʒˈeː
jwg	d͡ʒˈʊɡ
jyngl	d͡ʒˈəŋɡl
jyst	d͡ʒˈəsd
laeth	lˈaːᶤθ
lanc	lˈaŋk
lander	lˈandar
lesbiaidd	lɛsbjˈaɪð
lifft	lˈɪfd
lifrai	lˈɪvraᶦ
lin	lˈiːn
lindys	lˈɪndɨs
lithiwm	lˈɪθjʊm
liw	lˈɪᶷ
liwgar	lˈɪᶷɡar
liwio	lˈɪᶷjɔ
lladdfa	lˈaðva
llaes	ɬˈaːᶤs
llaeth	ɬˈaːᶤθ
llaethdy	ɬˈeᶤθdɨ
llanast	ɬˈanasd
llanc	ɬˈaŋk
llaw	ɬˈaːᶷ
llawdriniaeth	ɬˌaʊdrˈɪnjaᶤθ
llawlyfr	ɬaᶷlˈɨvɨr
llawysgrif	ɬaᶷˈəsɡrɪv
llefaru	ɬevˈarɨ
llefrith	ɬˈɛvrɪθ
llengfilwyr	ɬɛŋvˈɪlwɨr
llengoedd	ɬˈɛŋɔᶦð
lleoedd	ɬˈeːɔᶤð
lleol	ɬˈeːɔl
lleoli	ɬɛˈɔlɪ
llesg	ɬˈeːsɡ
llesteirio	ɬɛsdˈeᶦrjɔ
lletchwith	ɬˈɛtχwɪθ
lleu	ɬˈeᶦ
llew	ɬˈeːᶷ
lliain	ɬˈiaᶦn
llifo	ɬˈɪvɔ
llin	ɬˈiːn
llinos	ɬˈɪnɔs
llinosiaid	ɬɪnˈɔʃaᶤd
llinyn	ɬˈɪnɨn
llipa	ɬˈɪpa
llithro	ɬˈɪθrɔ
lliw	ɬˈɪᶷ
lliwgar	ɬˈɪᶷɡar
lliwio	ɬˈɪᶷjɔ
lloer	ɬˈoːᶤr
llofft	ɬˈɔfd
llongwyr	ɬˈɔŋwɨr
llongyfarch	ɬɔŋɡˈəvarχ
llun	ɬˈɨːn
lluoedd	ɬˈɨːɔᶤð
lluosflwydd	ɬɨːˈɔsvlʊᶤð
lluosi	ɬɨˈɔsɨ
lluosogi	ɬˌɨɔsˈɔɡɪ
lluosydd	ɬɨːˈɔsɨð
llusg	ɬˈɨːsɡ
llwy	ɬˈuːᶤ
llwyd	ɬˈuːᶤd
llwyddiannus	lʊᶤðjˈanɨs
llwydwyn	ɬˈʊᶤdwɨn
llwyfandir	ɬʊᶤvˈandɪr
llwyn	ɬˈuːᶤn
llwyr	ɬˈuːᶤr
llwyth	ɬˈuːᶤθ
llysenw	ɬɨːsˈɛnu
llysfam	ɬˈɨsvam
llysferch	ɬˈɨsvɛrχ
llyw	ɬˈɨᶷ
llywio	ɬˈɨᶷjɔ
llywodraeth	ɬəwˈɔdraᶤθ
llywodraethu	ɬˌəᶷɔdrˈeᶤθɨ
llywydd	ɬˈəᶷɨð
llywyddiaeth	ɬəᶷˈəðjaᶤθ
llywyddion	ɬəᶷˈəðjɔn
llŷr	ɬˈir
loes	lˈoːᶤs
losin	lˈɔʃɪn
loyw	lˈɔᶤu
lun	lˈɨːn
luosi	lɨˈɔsɨ
lwy	lˈuːᶤ
lwyd	lˈuːᶤd
lwyn	lˈuːᶤn
lysenw	lɨːsˈɛnu
lysfam	lˈɨsvam
lywydd	lˈəᶷɨð
lywyddiaeth	ləᶷˈəðjaᶤθ
maeddu	mˈaːᶤðɨ
maer	mˈaːᶤr
maes	mˈaːᶤs
maestref	meˈɨsdrɛv
maeth	mˈaːᶤθ
magnesiwm	maɡnˈɛsjʊm
mainc	mˈaᶦŋk
mango	mˈaŋɡɔ
mast	mˈasd
meddw	mˈɛðu
megis	mˈɛɡɪs
meibion	mˈəᶦbjɔn
meiddio	meˈiðjɔ
meinwe	mˈeᶦnwa
meithrin	mˈeᶦθrɪn
meithrinfa	meᶦθrˈɪnva
melin	mˈɛlɪn
mellt	mˈeːɬd
melltith	mˈɛɬdɪθ
melltithio	mɛɬdˈɪθjɔ
melltithion	mɛɬdˈɪθjɔn
melyngoch	mɛlˈəŋɡɔχ
melynwyrdd	mɛlˈənwɨrð
melysion	mɛlˈəsjɔn
menyw	mˈɛnɨᶷ
menywod	mɛnˈəᶷɔd
metelig	mɛtˈɛlɪɡ
methedig	mɛθˈɛdɪɡ
metrig	mˈɛtrɪɡ
mewnwladol	mɛᶷnwlˈadɔl
meysydd	mˈeᶤsɨð
mharti	m̥ˈartɪ
mhencampwriaeth	m̥ˌɛŋkampˈʊrjaᶤθ
microdon	mɪkrˈɔdɔn
mieri	miˈɛri
migwrn	mˈɪɡʊrn
mil	mˈiːl
miled	mˈɪlɛd
miliwn	mˈɪljʊn
miloedd	mˈɪlɔᶤð
milwr	mˈɪlʊr
milwrol	mɪlˈʊrɔl
milwyr	mˈɪlwɨr
min	mˈiːn
minc	mˈɪŋk
miniog	mˈɪnjɔɡ
mintai	mˈɪntaᶦ
mislif	mˈɪslɪv
misol	mˈɪsɔl
misolyn	mɪsˈɔlɨn
mlwydd	mlˈuːᶤð
mo	mˈɔ
moel	mˈoːᶤl
moesol	mˈoːᶤsɔl
moleciwlaidd	mˌɔlɛkˈiᶷlaᶦð
morfil	mˈɔrvɪl
morfilod	mɔrvˈɪlɔd
morfuwch	mˈɔrvɨᶷχ
morthwyl	mˈɔrθuᶤl
mul	mˈɨːl
mur	mˈɨːr
mwgwd	mˈʊɡʊd
mwnci	mˈʊŋki
mwrllwch	mˈʊrlʊχ
mwstasiog	mʊsdˈaʃɔɡ
mwy	mˈuːᶤ
mwyafrif	mʊᶤˈavrɪv
mwyn	mˈuːᶤn
mwyngloddio	mʊᶤŋɡlˈɔðjɔ
mwys	mˈʊis
myfi	mˈəviː
myfyriwr	məvˈərjʊr
myfyrwyr	məvˈərwɨr
mynyddig	mənˈəðɪɡ
mysg	mˈɨːsɡ
mywyd	mˈəᶷɨd
màs	mˈas
na	nˈaː
nag	nˈaɡ
naw	nˈaːᶷ
neidiwr	nˈeᶦdjʊr
neithiwr	nˈeᶦθjʊr
neon	nˈeːɔn
nest	nˈɛsd
newid	nˈɛᶷɪd
newidyn	nɛᶷˈɪdɨn
ngerddi	ŋˈɛrðɪ
nghaffi	ŋ̊ˈafi
nghalon	ŋ̊ˈalɔn
nghanolbarth	ŋ̊anˈɔlbarθ
nghapel	ŋ̊ˈapɛl
ngharchar	ŋ̊ˈarχar
nghariad	ŋ̊ˈarjad
nghefn	ŋ̊ˈɛvn
ngherddoriaeth	ŋ̊ɛrðˈɔrjaᶤθ
nghlwb	ŋ̊lˈʊb
nghoed	ŋ̊ˈoːᶤd
nghwmni	ŋ̊ˈʊmni
nghwpan	ŋ̊ˈʊpan
nghwrs	ŋ̊ˈʊrs
nghyfarfod	ŋ̊wˈarvɔd
nghyfraith	ŋ̊ˈəvraᶦθ
nghylchgrawn	ŋ̊ˈəlχɡraᶷn
nghyngor	ŋ̊ˈəŋɔr
nghynhadledd	ŋ̊ənhˈadlɛð
nghysawd	ŋ̊ˈəsaᶷd
nghysgod	ŋ̊ˈəsɡɔd
nghân	ŋ̊ˈaːn
ngorllewin	ŋɔrɬˈɛᶷɪn
ngwanwyn	ŋwˈanwɨn
ngwddw	ŋˈʊðu
ngweriniaeth	ŋwɛrˈɪnjaᶤθ
ngwlad	ŋwlˈaːd
ngwledydd	ŋwlˈɛdɨð
nheyrnas	n̥ˈeᶤrnas
nhraed	n̥rˈaːᶤd
nico	nˈɪkɔ
nicotîn	nɪkˈɔtiːn
nid	nˈɪd
nifer	nˈɪvɛr
nifwl	nˈɪvʊl
nitrad	nˈɪtrad
nitrogen	nɪtrˈɔɡɛn
niwclear	nɪᶷklˈɛar
niweidio	nɪᶷˈeᶦdjɔ
niweidiol	nɪᶷˈeᶦdjɔl
niwl	nˈɪᶷl
niwlog	nˈɪᶷlɔɡ
niwtron	nˈɪᶷtrɔn
noddi	nˈɔðɪ
nodedig	nɔdˈɛdɪɡ
nodi	nˈɔdɪ
nodwydd	nˈɔdwɨð
noeth	nˈoːᶤθ
nofiwr	nˈɔvjʊr
nofwyr	nˈɔvwɨr
nwy	nˈuːᶤ
nwyd	nˈuːᶤd
nwydd	nˈuːᶤð
nwyrain	nʊᶤrˈain
nyrs	nˈərs
o'ch	ˈɔχ
oblegid	ɔblˈɛɡɨd
ocsid	ˈɔksɪd
od	ˈɔd
oddi	ˈɔðɪ
oed	ˈoːᶤd
oedd	ˈoːᶤð
oen	ˈoːᶤn
oer	ˈoːᶤr
oeri	ˈɔᶤrɪ
oes	ˈoːᶤs
ogystal	ɔɡˈəsdal
oherwydd	ɔhˈɛrwɨð
ohirio	ɔhˈɪrjɔ
olchi	ˈɔlχɪ
olddodiad	oːlðˈɔdjad
oll	ˈoːɬ
olygfeydd	ɔlˈəɡveᶤð
onid	ˈɔnɪd
orbit	ˈɔrbɪt
orffen	ˈɔrfan
organig	ɔrɡˈanɪɡ
orllewin	ɔrɬˈɛᶷɪn
p'un	pˈɨːn
pabi	pˈabɪ
paent	pˈaːᶤnt
paentiad	pˈeᶤntjad
paentio	pˈeᶤntjɔ
paffiwr	pˈafjʊr
pali	pˈalɪ
palmwydd	pˈalmwɨð
pandemig	pandˈɛmɪɡ
paratoad	pˌaratˈoːad
parchedig	parχˈɛdɪɡ
pardduo	parðˈɨːɔ
parhad	pˈarhaːd
parhaus	pˈarhaᶤs
parti	pˈartɪ
partner	pˈartnar
partïon	partˈiːɔn
past	pˈasd
pasta	pˈasda
