# Punjabi CROSS-SCRIPT restoration lexicon — real Shahmukhi spelling ⇥ GOLD canonical IPA.
# The IPA comes from the VOWELED Gurmukhi sister-spelling (kaikki dual-script pairs) via our Gurmukhi g2p,
# so it restores the short vowels + majhūl و/ی + retroflex ن/ݨ the Shahmukhi abjad drops. CC-BY-SA (kaikki).
# SECOND SOURCE: pa↔pnb Wikipedia TITLE pairs (Wikidata sitelinks; 18,930 dual-wiki articles), word-aligned
# positionally when token counts match — every pair clears the same skeleton gate (a re-worded title
# differs in its plain consonants and is dropped: ਮਹਾਤਮਾ/موہن). Titles are CC-BY-SA like the rest.
# Consonant-skeleton gated. Regenerate: tools/perso-arabic/build_gurmukhi_shahmukhi.ts
آؤچ	ˈaːʊt͡ʃ
جالبی	d͡ʒəlˈiːbiː
جالندھر	d͡ʒəlˈə̃˥˩n̪d̪əɾ
جالور	d͡ʒaːlˈɔːɾ
جام	d͡ʒˈəm
جاما	d͡ʒˈaːmaː
جامشورو	d͡ʒəmʃˈoːɾoː
جامعہ	d͡ʒaːmˈiːaː
جامنی	d͡ʒˈaːmɳiː
جامکے	d͡ʒˈaːmkeː
جامہ	d͡ʒˈaːmaː
جامینی	d͡ʒˈaːmɪniː
جامݨ	d͡ʒˈaːməɳ
جان	d͡ʒˈaːn
جانا	d͡ʒˈaːɳaː
جاناں	d͡ʒˈaːnaː
جانثار	d͡ʒãnɪsˈaːɾ
جانس	d͡ʒˈoːnɪs
جانسن	d͡ʒˈaːnsən
جانشین	d͡ʒaːnʃˈiːn
جاننا	d͡ʒˈaːɳnaː
جانو	d͡ʒˈaːɳuː
جانکی	d͡ʒˈaːŋkiː
جانی	d͡ʒˈoːniː
جاوا	d͡ʒˈaːʋaː
جاواں	d͡ʒˈaːʋã
جاوڑیکر	d͡ʒˈaːʋɽeːkəɾ
جاوید	d͡ʒaːʋˈeːd̪
جاویری	d͡ʒaːʋˈeːɾiː
جاپان	d͡ʒəpˈaːn
جاپانی	d͡ʒəpˈaːniː
جاپدا	d͡ʒˈaːpd̪aː
جاپن	d͡ʒˈaːpəɳ
جاپنا	d͡ʒˈaːpɳaː
جاپو	d͡ʒˈaːpʊ
جاپیں	d͡ʒˈaːpẽ
جاچ	d͡ʒˈaːt͡ʃ
جاکومو	d͡ʒɪaːkˈoːmoː
جاگ	d͡ʒˈaːɡ
جاگن	d͡ʒˈaːɡəɳ
جاگنا	d͡ʒˈaːɡɳaː
جاگیں	d͡ʒˈaːɡẽ
جاہ	d͡ʒˈaːɦ
جاݨی	d͡ʒˈaːɳiː
جب	d͡ʒˈəb
جبار	d͡ʒˈəbːəɾ
جباڑا	d͡ʒəbˈaːɽaː
جبرائیل	d͡ʒɪbɾˈiːl
جبرالٹر	d͡ʒɪbɾˈaːlʈəɾ
جبریل	d͡ʒɪbɾˈiːl
جبوتی	d͡ʒɪbˈuːt̪iː
جبھ	d͡ʒˈɪ˥˩b
جبین	d͡ʒəbˈiːn
جت	d͡ʒˈɪt̪ː
جتا	d͡ʒˈʊt̪ːaː
جتن	d͡ʒˈət̪ɪn
جتنا	d͡ʒˈɪt̪ːəɳaː
جتندر	d͡ʒət̪ˈɪ̃n̪d̪əɾ
جتوئی	d͡ʒɛːt̪ˈoːiː
جتھا	d͡ʒˈət̪ʰaː
جتھیدار	d͡ʒət̪ʰːeːd̪ˈaːɾ
جتی	d͡ʒˈʊt̪ːiː
جتیندر	d͡ʒət̪ˈɪ̃n̪d̪əɾ
جثہ	d͡ʒˈʊsːaː
جج	d͡ʒˈəd͡ʒː
جد	d͡ʒˈəd̪
جدوناتھ	d͡ʒəd̪ʊnˈaːt̪ʰ
جدوں	d͡ʒˈəd̪õ
جدھ	d͡ʒˈʊ˥˩d̪ː
جدہ	d͡ʒˈəd̪ːaː
جذبہ	d͡ʒˈəzbaː
جراب	d͡ʒʊɾˈaːbã
جراح	d͡ʒəɾːˈaːɦ
جراسک	d͡ʒʊɾˈaːsɪk
جرسی	d͡ʒˈəɾsiː
جرمن	d͡ʒˈəɾmən
جرمنی	d͡ʒəɾˈəmniː
جرمینیم	d͡ʒəɾmeːnˈiːəm
جرنا	d͡ʒˈəɾnaː
جرنل	d͡ʒˈəɾnəl
جرنیل	d͡ʒəɾnˈɛːl
جرچین	d͡ʒʊɾt͡ʃˈeːn
جرگہ	d͡ʒˈɪɾɡaː
جز	d͡ʒˈʊz
جزیرہ	d͡ʒəzˈiːɾaː
جس	d͡ʒˈɪs
جسا	d͡ʒˈəsːaː
جسبیر	d͡ʒəsbˈiːɾ
جستجو	d͡ʒʊsˈət̪d͡ʒuː
جسراج	d͡ʒəsɾˈaːd͡ʒ
جسم	d͡ʒˈɪsəm
جسوال	d͡ʒəsʋˈaːl
جسودھرا	d͡ʒəsˈoː˥˩d̪ɾaː
جسوس	d͡ʒəsˈuːs
جسٹن	d͡ʒˈəsʈɪn
جسپال	d͡ʒəspˈaːl
جسپریت	d͡ʒəsəpɾˈiːt̪
جسی	d͡ʒˈəsːiː
جشن	d͡ʒˈəʃən
جعفر	d͡ʒˈaːfəɾ
جعفری	d͡ʒˈaːfɾiː
جل	d͡ʒˈəl
جلائی	d͡ʒɪlˈaːiː
جلال	d͡ʒəlˈaːl
جلالپور	d͡ʒəlˈaːlpʊɾ
جلالی	d͡ʒəlˈaːliː
جلاوطنی	d͡ʒəlaːʋˈət̪niː
جلب	d͡ʒˈɪləb
جلد	d͡ʒˈɪləd̪
جلدباز	d͡ʒələd̪bˈaːz
جلندھر	d͡ʒəlˈə̃˥˩n̪d̪əɾ
جلندھری	d͡ʒəlˈə̃˥˩n̪d̪əɾiː
جلوس	d͡ʒəlˈuːs
جلوٹا	d͡ʒəlˈoːʈaː
جلگاہ	d͡ʒəlɡˈaːɦ
جلی	d͡ʒˈəliː
جلیبی	d͡ʒəlˈeːbiː
جلیلہ	d͡ʒəlˈiːlaː
جلݨا	d͡ʒˈəlɳaː
جم	d͡ʒˈəm
جماعت	d͡ʒəmˈaːt̪
جمال	d͡ʒəmˈɛːl
جمالو	d͡ʒəmˈaːloː
جمالی	d͡ʒəmˈaːliː
جمرود	d͡ʒəmɾˈɔːd̪
جمشید	d͡ʒəmʃˈeːd̪
جمشیدپور	d͡ʒəmʃˈeːd̪pʊɾ
جمعہ	d͡ʒˈʊmaː
جمنا	d͡ʒˈəmnaː
جمناسٹک	d͡ʒɪmnˈaːsʈɪk
جمنی	d͡ʒˈəmniː
جمورا	d͡ʒəmˈuːɾaː
جموں	d͡ʒˈə̃muː
جمپا	d͡ʒˈɪ̃mpaː
جمگھٹا	d͡ʒəmˈə˥˩ɡʈaː
جمہور	d͡ʒəmɦˈuːɾ
جمہوری	d͡ʒəmɦˈuːɾiː
جمہوریت	d͡ʒəmɦuːɾˈiːət̪
جمی	d͡ʒˈɪ̃miː
جمیل	d͡ʒəmˈiːl
جمیلہ	d͡ʒəmˈiːlaː
جمیکا	d͡ʒəmˈɛːkaː
جن	d͡ʒˈən
جنا	d͡ʒˈɪ̃naː
جناب	d͡ʒənˈaːb
جنابائی	d͡ʒənaːbˈaːiː
جناح	d͡ʒɪ̃nˈaːɦ
جنان	d͡ʒɪnˈaːn
جنت	d͡ʒˈə̃nət̪
جنتا	d͡ʒˈənt̪aː
جنتر	d͡ʒˈə̃n̪t̪əɾ
جنجوعہ	d͡ʒˈə̃ɲd͡ʒuːaː
جند	d͡ʒˈɪ̃n̪d̪
جندرا	d͡ʒˈə̃n̪d̪əɾaː
جندڑی	d͡ʒˈɪ̃n̪d̪əɽiː
جنرل	d͡ʒˈənɾəl
جنس	d͡ʒˈɪnəs
جنسی	d͡ʒˈɪnsiː
جنم	d͡ʒˈənəm
جنمیجا	d͡ʒənmˈeːd͡ʒaː
جنوب	d͡ʒənˈuːb
جنون	d͡ʒənˈuːn
جنڈ	d͡ʒˈə̃ɳɖ
جنک	d͡ʒˈənək
جنگاں	d͡ʒˈə̃ŋɡã
جنگل	d͡ʒˈə̃ŋɡəl
جنگی	d͡ʒˈə̃ŋɡiː
جنی	d͡ʒˈəɳiː
جنید	d͡ʒʊnˈɛːd̪
جنے	d͡ʒˈəɳeː
جو	d͡ʒˈoː
جوائی	d͡ʒəʋˈaːiː
جواب	d͡ʒəʋˈaːb
جوار	d͡ʒəʋˈaːɾ
جوان	d͡ʒəʋˈaːn
جوانی	d͡ʒəʋˈaːniː
جواہر	d͡ʒəʋˈaːɦəɾ
جوبا	d͡ʒˈuːbaː
جوبن	d͡ʒˈoːbəɳ
جوت	d͡ʒˈoːt̪
جوتش	d͡ʒˈoːt̪əʃ
جوتشی	d͡ʒˈoːt̪ʃiː
جوتو	d͡ʒˈoːʈoː
جوتی	d͡ʒˈoːt̪iː
جوجھݨا	d͡ʒˈuː˥˩d͡ʒɳaː
جودھ	d͡ʒˈoː˥˩d̪
جورا	d͡ʒˈuːɾaː
جورجو	d͡ʒˈɔːɾd͡ʒiːoː
جورجٹ	d͡ʒɔːɾd͡ʒˈɛːʈ
جورڈن	d͡ʒˈoːɾɖən
جوزف	d͡ʒˈoːzəf
جوس	d͡ʒˈoːs
جوش	d͡ʒˈoːʃ
جوشی	d͡ʒˈoːʃiː
جول	d͡ʒˈoːl
جولائی	d͡ʒʊlˈaːiː
جولی	d͡ʒˈoːliː
جولیئس	d͡ʒʊlˈiːəs
جولیئن	d͡ʒuːlˈiːən
جولیس	d͡ʒuːlˈiːəs
جولین	d͡ʒuːlˈiːən
جومانی	d͡ʒʊmˈaːniː
جون	d͡ʒˈuːn
جونبیل	d͡ʒˈoːnbɪl
جونز	d͡ʒˈoːnəz
جونس	d͡ʒoːnˈaːs
جونو	d͡ʒˈuːnoː
جونی	d͡ʒˈɔːniː
جونیئر	d͡ʒuːnˈiːəɾ
جونیتا	d͡ʒoːnˈiːt̪aː
جونیجا	d͡ʒʊnˈeːd͡ʒaː
جوٹھا	d͡ʒˈuːʈʰaː
جوپلن	d͡ʒˈoːplɪn
جوچے	d͡ʒˈuːt͡ʃeː
جوڈو	d͡ʒˈuːɖoː
جوڈی	d͡ʒˈoːɖiː
جوڑ	d͡ʒˈoːɽ
جوڑا	d͡ʒˈoːɽaː
جوڑاماجرا	d͡ʒɔːɽaːmˈaːd͡ʒɾaː
جوڑاں	d͡ʒˈoːɽã
جوک	d͡ʒˈoːk
جوکر	d͡ʒˈoːkəɾ
جوکو	d͡ʒˈoːkoː
جوکھوں	d͡ʒˈoːkʰõ
جوگا	d͡ʒˈoːɡaː
جوگاجوگ	d͡ʒoːɡd͡ʒˈoːɡ
جوگانتر	d͡ʒʊɡˈãn̪t̪əɾ
جوگلکر	d͡ʒˈoːɡleːkəɾ
جوگندر	d͡ʒoːɡˈɪ̃n̪d̪əɾ
جوگی	d͡ʒˈoːɡiː
جوگیندر	d͡ʒoːɡˈɪ̃n̪d̪əɾ
جوں	d͡ʒˈũ
جوہان	d͡ʒoːɦˈãn
جوہانسبرگ	d͡ʒoːɦaːnɪsˈəbɾəɡ
جوہانسن	d͡ʒoːɦˈaːnsən
جوہر	d͡ʒˈoːɦəɾ
جوہری	d͡ʒˈɔːɦɾiː
جوہل	d͡ʒˈɔːɦəl
جوہڑ	d͡ʒˈɔːɦəɽ
جوہی	d͡ʒˈuːɦiː
جوی	d͡ʒˈəʋiː
جوین	d͡ʒəʋˈɛːɳ
جوینی	d͡ʒəʋˈiːniː
جویں	d͡ʒˈɪʋẽ
جيرا	d͡ʒˈiːɾaː
جٹ	d͡ʒˈəʈː
جٹا	d͡ʒˈəʈːaː
جٹھانئیے	d͡ʒɪʈʰaːɳˈiːeː
جٹھانی	d͡ʒɪʈʰˈaːɳiː
جپانی	d͡ʒəpˈaːn
جپجی	d͡ʒˈəpʊd͡ʒiː
جچاؤنا	d͡ʒət͡ʃˈaːʊɳaː
جک	d͡ʒˈʊk
جکارتا	d͡ʒəkˈaːɾt̪aː
جگ	d͡ʒˈəɡ
جگا	d͡ʒˈəɡaː
جگاؤ	d͡ʒəɡˈaːoː
جگائی	d͡ʒəɡˈaːiː
جگائیاں	d͡ʒəɡaːˈiːã
جگائیو	d͡ʒəɡaːˈiːʋ
جگائیے	d͡ʒəɡaːˈiːeː
جگائے	d͡ʒəɡˈaːeː
جگان	d͡ʒəɡˈaːɳ
جگانا	d͡ʒəɡˈaːʊɳaː
جگاندا	d͡ʒəɡˈãn̪d̪aː
جگاندی	d͡ʒəɡˈãn̪d̪iː
جگاندے	d͡ʒəɡˈãn̪d̪eː
جگاواں	d͡ʒəɡˈaːʋã
جگاویں	d͡ʒəɡˈaːʋẽ
جگاوے	d͡ʒəɡˈaːʋeː
جگایا	d͡ʒəɡˈaːjaː
جگت	d͡ʒˈʊɡət̪
جگتار	d͡ʒəɡt̪ˈaːɾ
جگجیت	d͡ʒəɡd͡ʒˈiːt̪
جگدیش	d͡ʒəɡd̪ˈiːʃ
جگدیپ	d͡ʒəɡd̪ˈiːp
جگسیر	d͡ʒəɡsˈiːɾ
جگمتی	d͡ʒəɡˈəmt̪iː
جگموہن	d͡ʒəɡmˈoːɦəɳ
جگنی	d͡ʒˈʊɡniː
جگی	d͡ʒˈəɡːiː
جگیر	d͡ʒəɡˈiːɾ
جھا	t͡ʃˈaː˨˩
جھاء	t͡ʃˈaː˨˩
جھاتی	t͡ʃˈaː˨˩t̪iː
جھارکھنڈ	t͡ʃaː˨˩ɾkʰˈə̃ɳɖ
جھارکھنڈے	t͡ʃaː˨˩ɾkʰˈə̃ɳɖeː
جھارکھݨڈ	t͡ʃaː˨˩ɾkʰˈə̃ɳɖ
جھالر	t͡ʃˈaː˨˩ləɾ
جھانجر	t͡ʃˈã˨˩ɲd͡ʒəɾ
جھاٹا	t͡ʃˈaː˨˩ʈaː
جھاڑو	t͡ʃˈaː˨˩ɽuː
جھاڑی	t͡ʃˈaː˨˩ɽiː
جھاڑݨا	t͡ʃˈaː˨˩ɽnaː
جھاک	t͡ʃˈaː˨˩k
جھاکݨا	t͡ʃˈaː˨˩kɳaː
جھب	t͡ʃˈə˨˩bː
جھرمٹ	t͡ʃˈʊ˨˩ɾməʈ
جھرنا	t͡ʃˈə˨˩ɾnaː
جھری	t͡ʃˈə˨˩ɾiː
جھسنا	t͡ʃˈə˨˩sːəɳaː
جھلا	t͡ʃˈə˨˩lːaː
جھلن	t͡ʃˈuː˨˩lən
جھلکا	t͡ʃˈʊ˨˩lkaː
جھلکارا	t͡ʃˈə˨˩lkaːɾaː
جھلکاری	t͡ʃˈə˨˩lkaːɾiː
جھلی	t͡ʃˈə˨˩lːiː
جھم	t͡ʃˈɪ˨˩m
جھمری	t͡ʃˈʊ˨˩mɾiː
جھمپا	t͡ʃˈʊ̃˨˩mpaː
جھناں	t͡ʃˈə˨˩nã
جھنڈا	t͡ʃˈə̃˨˩ɳɖaː
جھنڈی	t͡ʃˈə̃˨˩ɳɖiː
جھنڈے	t͡ʃˈə̃˨˩ɳɖeː
جھنک	t͡ʃˈə˨˩nək
جھنگا	t͡ʃˈɪ̃˨˩ŋɡaː
جھنگن	t͡ʃˈɪ̃˨˩ŋɡəɳ
جھنگوچی	t͡ʃˈə̃˨˩ŋɡoːt͡ʃiː
جھنگڑ	t͡ʃˈə̃˨˩ŋɡəɽ
جھور	t͡ʃˈɔː˨˩ɾ
جھولی	t͡ʃˈoː˨˩liː
جھومر	t͡ʃˈʊ̃˨˩məɾ
جھونا	t͡ʃˈɔː˨˩ɳaː
جھونگا	t͡ʃˈũ˨˩ŋɡaː
جھونے	t͡ʃˈoː˨˩neː
جھوٹھ	t͡ʃˈuː˨˩ʈʰ
جھوٹھا	t͡ʃˈuː˨˩ʈʰaː
جھوک	t͡ʃˈoː˨˩k
جھوکنا	t͡ʃˈoː˨˩kɳaː
جھٹکا	t͡ʃˈə˨˩ʈkaː
جھڑ	t͡ʃˈə˨˩ɽ
جھڑی	t͡ʃˈə˨˩ɽiː
جھگ	t͡ʃˈə˨˩ɡː
جھگڑا	t͡ʃˈə˨˩ɡɽaː
جھگڑدے	t͡ʃˈə˨˩ɡəɽd̪eː
جھیئر	t͡ʃˈiː˨˩ʊɾ
جھیل	t͡ʃˈiː˨˩l
جھیلاں	t͡ʃˈiː˨˩lã
جھینگر	t͡ʃˈĩ˨˩ŋɡəɾ
جھیپ	t͡ʃˈeː˨˩p
جہا	d͡ʒˈɪɦaː
جہاد	d͡ʒɪɦˈaːd̪
جہاز	d͡ʒəɦˈaːz
جہازی	d͡ʒəɦˈaːziː
جہان	d͡ʒəɦˈaːn
جہاندار	d͡ʒəɦˈãn̪d̪əɾ
جہانزیب	d͡ʒəɦaːnzˈeːb
جہانگیر	d͡ʒəɦãŋɡˈiːɾ
جہاں	d͡ʒˈəɦã
جہلم	d͡ʒˈeːɦləm
جہنم	d͡ʒəɦˈə̃nəm
جہڑا	d͡ʒˈɪɦɽaː
جی	d͡ʒˈiː
جیئنتی	d͡ʒɛːˈə̃n̪t̪iː
جیا	d͡ʒˈəjaː
جیاتی	d͡ʒəjˈaːt̪iː
جیاما	d͡ʒɛːjaːˈə̃maː
جیب	d͡ʒˈeːb
جیبھ	d͡ʒˈiː˥˩b
جیت	d͡ʒˈiːt̪
جیتروال	d͡ʒiːt̪əɾʋˈaːl
جیتلی	d͡ʒˈɛːt̪liː
جیتوئی	d͡ʒɛːt̪ˈoːiː
جیجا	d͡ʒˈiːd͡ʒaː
جیجابائی	d͡ʒiːd͡ʒaːbˈaːiː
جیدا	d͡ʒˈiːd̪aː
جیداد	d͡ʒaːɪd̪ˈaːd̪
جیداداں	d͡ʒɛːd̪ˈaːd̪ã
جیدیپ	d͡ʒɛːd̪ˈiːp
جیرالڈ	d͡ʒˈɛːɾləɖ
جیری	d͡ʒˈɛːɾiː
جیریمی	d͡ʒeːɾˈeːmiː
جیریڈ	d͡ʒɛːɾˈeːɖ
جیزہ	d͡ʒˈiːzaː
جیسلمیر	d͡ʒɛːsəlmˈeːɾ
جیسوال	d͡ʒɛːsʋˈaːl
جیسی	d͡ʒˈɛːsiː
جیسیکا	d͡ʒˈeːsɪkaː
جیف	d͡ʒˈeːf
جیفرسن	d͡ʒɛːfˈəɾsən
جیلان	d͡ʒeːlˈaːn
جیلانی	d͡ʒiːlˈaːniː
جیلن	d͡ʒˈiːlɪn
جیلینک	d͡ʒeːliːnˈeːk
جیمز	d͡ʒˈeːməz
جیمل	d͡ʒˈɛːməl
جیمنی	d͡ʒˈɛːmɪniː
جیمی	d͡ʒˈɛːmiː
جین	d͡ʒˈɛːn
جینا	d͡ʒˈiːnaː
جینت	d͡ʒɛːˈə̃n̪t̪
جینتی	d͡ʒˈɛ̃n̪t̪iː
جیند	d͡ʒˈĩn̪d̪
جینرو	d͡ʒənˈeːɾoː
جینریٹر	d͡ʒənɾˈeːʈəɾ
جینرے	d͡ʒˈeːnɾeː
جینس	d͡ʒˈɛːnɪs
جینسن	d͡ʒˈeːnsən
جینٹ	d͡ʒɛːnˈeːʈ
جینی	d͡ʒˈɪniː
جینیفر	d͡ʒɛːnˈiːfəɾ
جیوتسنا	d͡ʒəjoːt̪ˈəsnaː
جیوتی	d͡ʒəjˈoːt̪iː
جیٹ	d͡ʒˈeːʈ
جیٹلی	d͡ʒˈeːt̪liː
جیٹھ	d͡ʒˈeːʈʰ
جیٹھمل	d͡ʒˈeːʈʰməl
جیپ	d͡ʒˈiːp
جیک	d͡ʒˈɛːk
جیکر	d͡ʒˈeːkəɾ
جیکسن	d͡ʒˈɛːksən
جیکلی	d͡ʒˈɛːkliː
جیکوئی	d͡ʒˈaːk
جیکی	d͡ʒˈɛːkiː
جے	d͡ʒˈeː
جےشری	d͡ʒˈɛːʃɾiː
جےپرکاش	d͡ʒɛːpɾəkˈaːʃ
حائل	ɦˈaːɪl
حاتمی	ɦˈaːt̪miː
حاجت	ɦˈaːd͡ʒət̪
حاجی	ɦˈaːd͡ʒiː
حادیثہ	ɦaːd̪ˈiːseː
حاصل	ɦˈaːsəl
حافظ	ɦˈaːfɪz
حال	ɦˈaːl
حالانکہ	ɦaːlˈãŋkɪ
حالی	ɦˈaːliː
حالے	ɦˈaːleː
حامد	ɦˈaːmɪd̪
حاکم	ɦˈaːkəm
حبا	ɦˈɪbaː
حبشی	ɦˈəbʃiː
حبہ	ɦˈiːbaː
حبیب	ɦəbˈiːb
حتیجہ	ɦət̪ˈiːd͡ʒaː
حج	ɦˈəd͡ʒː
حجاب	ɦɪd͡ʒˈaːb
حجاز	ɦɪd͡ʒˈaːz
حجازی	ɦəd͡ʒˈaːziː
حجرہ	ɦˈʊd͡ʒɾaː
حد	ɦˈəd̪ː
حدیث	ɦəd̪ˈiːs
حدیجہ	ɦəd̪ˈiːd͡ʒaː
حدید	ɦəd̪ˈiːd̪
حدیقہ	ɦəd̪ˈiːqaː
حرا	ɦˈiːɾaː
حرام	ɦəɾˈaːm
حرص	ɦˈɪɾəs
حرصی	ɦˈɪɾsiː
حرف	ɦˈəɾəf
حرکت	ɦˈəɾkət̪
حریم	ɦəɾˈiːm
حساب	ɦɪsˈaːb
حسبانی	ɦɪsbˈaːniː
حسد	ɦˈəsəd̪
حسرت	ɦˈəsɾət̪
حسن	ɦˈʊsən
حسنپوری	ɦəsˈənpʊɾiː
حسنہ	ɦˈʊsnaː
حسنی	ɦˈoːsniː
حسنے	ɦˈəsneː
حسین	ɦʊsˈɛːn
حسینہ	ɦəsˈiːnaː
حسینی	ɦʊsˈɛːniː
حشر	ɦˈəʃəɾ
حصار	ɦɪsˈaːɾ
حصہ	ɦˈɪsːaː
حضرت	ɦˈəzɾət̪
حضوری	ɦəzˈuːɾiː
حفاظت	ɦɪfˈaːzət̪
حفیظ	ɦəfˈiːz
حق	ɦˈəqː
حقہ	ɦˈʊqːaː
حل	ɦˈəlː
حلب	ɦˈələb
حلف	ɦˈələf
حلوا	ɦˈəlʋaː
حليم	ɦəlˈiːm
حلیم	ɦəlˈiːm
حلیمہ	ɦəlˈiːmaː
حماس	ɦəmˈaːs
حماقت	ɦəmˈaːqət̪
حمام	ɦəmˈaːm
حمایت	ɦɪmˈaːjət̪
حمد	ɦˈəməd̪
حمزہ	ɦˈəmzaː
حمل	ɦˈəməl
حملہ	ɦˈəmlaː
حمورابی	ɦəmʊɾˈaːbiː
حمید	ɦəmˈiːd̪
حمیدہ	ɦəmˈiːd̪aː
حمیرا	ɦʊmˈɛːɾaː
حنا	ɦˈɪnaː
حنفی	ɦˈənfiː
حوا	ɦˈəʋːaː
حوالدار	ɦəʋaːld̪ˈaːɾ
حوالہ	ɦəʋˈaːlaː
حور	ɦˈuːɾ
حورس	ɦˈoːɾəs
حوزے	ɦˈoːzeː
حوصلہ	ɦˈɔːslaː
حوض	ɦˈɔːz
حویلی	ɦəʋˈeːliː
حکاری	ɦəkːˈaːɾiː
حکومت	ɦəkˈuːmət̪
حکیم	ɦəkˈiːm
حکیماں	ɦəkˈiːmã
حیات	ɦəjˈaːt̪
حیاتی	ɦəjˈaːt̪iː
حیدر	ɦˈɛːd̪əɾ
حیدرآباد	ɦɛːd̪ɾaːbˈaːd̪
حیدرآبادی	ɦˈɛːd̪ɾaːbaːd̪iː
حیدری	ɦˈɛːd̪ɾiː
حیرا	ɦˈiːɾaː
حیران	ɦɛːɾˈaːn
حیرت	ɦˈɛːɾət̪
خاتمہ	xˈaːt̪maː
خاتون	xaːt̪ˈuːn
خاص	xˈaːs
خاقان	xaːqˈaːn
خالد	xˈaːlɪd̪
خالص	xˈaːləs
خالصا	xˈaːlsaːiː
خالصتان	xaːlɪst̪ˈaːn
خالصتانی	xaːlɪst̪ˈaːniː
خالصہ	xˈaːlsaː
خاموش	xaːmˈoːʃ
خان	xˈaːn
خانان	xənˈaːn
خاندان	xaːnd̪ˈaːn
خانم	xˈaːnəm
خانہ	xˈaːnaː
خاور	xˈaːʋəɾ
خاوند	xaːʋˈə̃n̪d̪
خاک	xˈaːk
خاکسار	xaːksˈaːɾ
خاکساری	xˈaːksaːɾiː
خاکی	xˈaːkiː
خاں	xˈã
خبر	xˈəbəɾ
خبراں	xˈəbɾã
خبردار	xəbəɾd̪ˈaːɾ
ختم	xˈət̪əm
ختنہ	xˈət̪naː
ختیجہ	xət̪ˈiːd͡ʒaː
خجند	xʊd͡ʒˈə̃n̪d̪
خدا	xˈʊd̪aː
خدائی	xʊd̪ˈaːiː
خدمت	xˈɪd̪mət̪
خدمتگار	xɪd̪mət̪ɡˈaːɾ
خدیجہ	xəd̪ˈiːd͡ʒaː
خراب	xəɾˈaːb
خراٹا	xəɾˈaːʈaː
خربوزہ	xəɾbˈuːzaː
خرستینا	xəɾəst̪ˈaːɪnaː
خرطوم	xəɾt̪ˈuːm
خرم	xˈʊɾəm
خرمانی	xʊɾmˈaːniː
خرگوش	xəɾɡˈoːʃ
خرید	xəɾˈiːd̪
خسرو	xˈʊsɾoː
خشک	xˈʊʃək
خضر	xˈɪzəɾ
خطا	xˈət̪aː
خطرہ	xˈət̪ɾaː
خطرے	xˈət̪ɾeː
خفتاں	xˈʊft̪ã
خلاصہ	xʊlˈaːsaː
خلاف	xɪlˈaːf
خلافت	xɪlˈaːfət̪
خلجی	xˈɪld͡ʒiː
خلدون	xəld̪ˈuːn
خلیفہ	xəlˈiːfaː
خلیل	xəlˈiːl
خمار	xʊmˈaːɾ
خنازیر	xənaːzˈiːɾ
خنکو	xˈʊ̃ŋkoː
خواجا	xəʋˈaːd͡ʒaː
خواجہ	xəʋˈaːd͡ʒaː
خوارزم	xəʋˈaːɾzəm
خوارزمی	xəʋaːɾˈəzmiː
خوب	xˈuːb
خوتان	xoːt̪ˈaːn
خود	xˈʊd̪
خودکشی	xˈʊd̪kʊʃiː
خوراک	xʊɾˈaːk
خورشید	xʊɾʃˈiːd̪
خوش	xˈʊʃ
خوشی	xˈʊʃiː
خوف	xˈɔːf
خون	xˈuːn
خونی	xˈuːniː
خیام	xəjːˈaːm
خیبر	xˈɛːbəɾ
خیرآبادی	xɛːɾaːbˈaːd̪iː
خیلوی	xˈeːlʋiː
دإنشمند	d̪aːnəʃmˈə̃n̪d̪
دئیا	d̪ˈəɪaː
دا	d̪ˈaː
داؤد	d̪aːˈuːd̪
داؤدی	d̪aːˈuːd̪iː
دائی	d̪ˈaːiː
دابوسن	d̪ˈaːbʊsən
دابھولکر	d̪aːbˈoːlkəɾ
داتا	d̪ˈaːt̪aː
داتری	d̪ˈaːt̪ɾiː
داتن	d̪ˈaːt̪əɳ
داتناں	d̪ˈaːt̪ɳã
داتݨ	d̪ˈaːt̪əɳ
داج	d̪ˈaːd͡ʒ
دادا	d̪ˈaːd̪aː
دادابھائی	d̪aːd̪ˈaː˥˩baːiː
دادر	d̪ˈaːd̪ʊɾ
دادرا	d̪ˈaːd̪əɾ
دادی	d̪ˈaːd̪iː
دارا	d̪ˈaːɾaː
دارفر	d̪aːɾfˈuːɾ
دارفور	d̪aːɾfˈuːɾ
دارو	d̪ˈaːɾuː
دارووالا	d̪aːɾuːʋˈaːlaː
داس	d̪ˈaːs
داسرا	d̪ˈaːsɾaː
داسی	d̪ˈaːsiː
داغستان	d̪aːɣɪst̪ˈaːn
داغستانی	d̪aːɣɪst̪ˈaːniː
دام	d̪ˈaːm
داماد	d̪aːmˈaːd̪
دامن	d̪ˈaːmən
دامودر	d̪aːmˈoːd̪əɾ
دان	d̪ˈaːn
داند	d̪ˈãn̪d̪
دانش	d̪ˈaːnɪʃ
دانی	d̪ˈaːniː
داوید	ɖˈeːʋɪɖ
داوینا	d̪aːʋˈiːnaː
داکھ	d̪ˈaːkʰ
داکھی	d̪ˈaːkʰiː
داہ	d̪ˈaːɦ
دب	d̪ˈəbː
دبئی	d̪ˈʊbəiː
دباء	d̪ˈəbaː
دبندی	d̪ʊbˈɪ̃n̪d̪iː
دبیر	d̪əbˈiːɾ
