آئينو	aːiːnoː
ڊڪڻ	ɖʊkəɳʊ
ڊگھو	ɖɪɡʰoː
ڌرتي	d̪ʰəɾt̪iː
ڌوئڻ	d̪ʰoːɪɳʊ
ڌڪار	d̪ʰɪkaːɾə
ڌڪڻ	d̪ʰɪkəɳʊ
ڍال	ɖʰaːlə
ڍاڪ	ɖʰaːkə
ڍنڍ	ɖʰəɳɖʰə
ڍڳو	ɖʰəɠoː
ڏئڻ	ɗɪəɳʊ
ڏارڻ	ɗaːɾəɳʊ
ڏاڍ	ɗaːɖʰʊ
ڏاڍو	ɗaːɖʰoː
ڏاڏو	ɗaːɗoː
ڏاڏي	ɗaːɗiː
ڏسڻ	ɗɪsəɳʊ
ڏسڻي	ɗəsɪɳiː
ڏند	ɗənd̪ʊ
ڏنگڻ	ɗəŋɡəɳʊ
ڏهاڙو	ɗɪhaːɽoː
ڏهه	ɗəhə
ڏهي	ɗəhiː
ڏوهه	ɗoːhʊ
ڏوهٽو	ɗoːhɪʈoː
ڏوڌي	ɗoːd̪ʰiː
ڏيهي	ɗeːhiː
ڏيڏر	ɗeːɗəɾʊ
ڏيڏري	ɗeːɗɪɾiː
ڏيکارڻ	ɗeːkʰaːɾəɳʊ
ڏَندُ	ɗənd̪ʊ
ڏَهَه	ɗəhə
ڏِئَڻُ	ɗɪəɳʊ
ڏکڻ	ɗəkʰɪɳʊ
ڙھ	ɽʰə
ڦار	pʰaːɾʊ
ڦاسي	pʰaːsiː
ڦل	pʰəlʊ
ڦوڪڻ	pʰuːkəɳʊ
ڦَلُ	pʰəlʊ
ڦَڳُڻُ	pʰəɠʊɳʊ
ڦُلُ	pʰʊlʊ
ڦِڦَڙَ	pʰɪpʰəɽə
ڦِڪو	pʰɪkoː
ڦڪو	pʰɪkoː
ڦڳڻ	pʰəɠʊɳʊ
کائِڻُ	kʰaːɪɳʊ
کائڻ	kʰaːɪɳʊ
کاڄ	kʰaːʄʊ
کاڏي	kʰaːɗiː
کجڻ	kʰɪd͡ʒəɳʊ
کرب	kʰəɾʊbʊ
کل	kʰələ
کلڻ	kʰɪləɳʊ
کنهڻ	kʰənəhəɳʊ
کنڀ	kʰəmbʰʊ
کنڀي	kʰʊmbʰiː
کوٽڻ	kʰoːʈəɳʊ
کوکو	kʰoːkʰoː
کي	kʰeː
کير	kʰiːɾʊ
کيرُ	kʰiːɾʊ
کينو	kʰeːnoː
کَدِڙو	kʰəd̪ɪɽoː
کَٽَ	kʰəʈə
کٻو	kʰəɓoː
کٽ	kʰəʈə
کٽولو	kʰəʈoːloː
کڙڳ	kʰəɽɠə
ڪارو	kaːɾoː
ڪارڻ	kaːɾəɳʊ
ڪاغذ	kaːɣəzʊ
ڪان	kaːnʊ
ڪاپي	kaːpiː
ڪاڪو	kaːkoː
ڪاڪوس	kaːkuːsə
ڪاڻو	kaːɳoː
ڪتاب	kɪt̪aːbʊ
ڪتب	kət̪əbʊ
ڪترڻ	kət̪ɪɾəɳʊ
ڪتو	kʊt̪oː
ڪتي	kət̪iː
ڪجھه	kʊd͡ʒʰʊ
ڪراچي	kəɾaːt͡ʃiː
ڪرسي	kʊɾsiː
ڪروڙ	kɪɾoːɽʊ
ڪري	kəɾeː
ڪريلو	kəɾeːloː
ڪريم	kəɾiːmə
ڪرڻ	kəɾəɳʊ
ڪلاس	kɪlaːsʊ
ڪلاڪ	kəlaːkʊ
ڪلڪتو	kələkət̪oː
ڪم	kəmʊ
ڪمائڻ	kəmaːɪɳʊ
ڪمر	kəməɾɪ
ڪمرو	kəmɪɾoː
ڪن	kənʊ
ڪنجي	kʊɲd͡ʒiː
ڪنو	kɪnoː
ڪني	kəneː
ڪنڀر	kʊmbʰəɾʊ
ڪنگڻ	kəŋɡəɳʊ
ڪنگڻي	kəŋɡɪɳiː
ڪهاڙو	kʊhaːɽoː
ڪهڙو	kɪhəɽoː
ڪو	koː
ڪوريئڙو	koːɾɪəɽoː
ڪوس	koːsʊ
ڪوسو	koːsoː
ڪوهيرو	koːhiːɾoː
ڪوٽ	koːʈʊ
ڪوٽار	koːʈaːɾʊ
ڪوڙو	kɔːɽoː
ڪيترو	keːt̪ɪɾoː
ڪيتِرو	keːt̪ɪɾoː
ڪير	keːɾʊ
ڪيرُ	keːɾʊ
ڪيلو	keːloː
ڪيوڙو	keːʋɪɽoː
ڪيڙو	kiːɽoː
ڪَرَڻُ	kəɾəɳʊ
ڪَمَرِ	kəməɾɪ
ڪَمِرو	kəmɪɾoː
ڪَنُ	kənʊ
ڪَپِڙو	kəpɪɽoː
ڪِتابُ	kɪt̪aːbʊ
ڪٻٽ	kəɓəʈʊ
ڪٽڻ	kʊʈəɳʊ
ڪپار	kəpaːɾʊ
ڪپور	kəpuːɾʊ
ڪپڙو	kəpɪɽoː
ڪپڻ	kəpəɳʊ
ڪٿي	kɪt̪ʰeː
ڪچرو	kət͡ʃɪɾoː
ڪچري	kət͡ʃɪɾiː
ڪچهري	kət͡ʃəhəɾiː
ڪڇ	kət͡ʃʰʊ
ڪڍڻ	kəɖʰəɳʊ
ڪڏڻ	kʊɗəɳʊ
ڪڪر	kəkəɾʊ
ڪڱگو	kʊŋɡuː
گانگٽ	ɡaːŋɡəʈʊ
گاهه	ɡaːhʊ
گاڏو	ɡaːɗoː
گجڻ	ɡəd͡ʒəɳʊ
گديل	ɡəd̪eːlə
گرم	ɡəɾəmʊ
گرمي	ɡəɾmiː
گروهه	ɡɪɾoːhə
گرَهُه	ɡɾəhʊ
گسڻ	ɡəsəɳʊ
گل	ɡʊlʊ
گلاب	ɡʊlaːbʊ
گلاس	ɡɪlaːsʊ
گنڀير	ɡəmbʰiːɾʊ
گهڻ	ɡəhəɳʊ
گوبي	ɡoːbiː
گوري	ɡoːɾiː
گوشت	ɡoːʃt̪ʊ
گول	ɡoːlʊ
گوڏو	ɡoːɗoː
گوکرو	ɡoːkʰɪɾuː
گوگڙو	ɡoːɡɪɽuː
گيت	ɡiːt̪ʊ
گَڏَهُه	ɡəɗəhʊ
گُلُ	ɡʊlʊ
گڏ	ɡəɗʊ
گڏهه	ɡəɗəhʊ
گھ	ɡʰə
گھر	ɡʰəɾʊ
گھنڊ	ɡʰɪɳɖʊ
گھوٽ	ɡʰoːʈʊ
گھڙي	ɡʰəɽiː
گھڻا	ɡʰəɳaː
گھڻو	ɡʰəɳoː
ڳالهه	ɠaːlhɪ
ڳالهِه	ɠaːlhɪ
ڳرهڻ	ɠʊɾəhəɳʊ
ڳرو	ɠəɾoː
ڳنهڻ	ɠɪnhəɳʊ
ڳنڍ	ɠəɳɖʰɪ
ڳوٺ	ɠoːʈʰʊ
ڳڀڻ	ɠəbʰɪɳɪ
ڳچي	ɠɪt͡ʃiː
ھندو	hɪnd̪uː
ھٿ	hət̪ʰʊ
ھٿُ	hət̪ʰʊ
