# Persian (fa) abjad → IPA gold — the SHORT-VOWEL RESTORATION target. Fully-voweled human pronunciations
# from wikipron fas_arab BROAD (CC0/CC-BY-SA, Wiktionary), deduped; single-letter name citations dropped;
# homograph variants kept as extra tab fields (a word is credited if ANY variant matches). This is the
# data fa's restorer should train/lookup on (abjad↔IPA), vs the current Arabic-Tashkeela harakat silver.
آئین	ʔaːjiːn	ʔaːʔiːn
آئینه	ʔaːʔiːna
تصدیق	tasdiːq
تصرف	tasarruf
تصریح	tasriːh
تصریف	tasriːf
تصمیم	tasmiːm
تصوف	tasawwuf
تصویب	taswiːb
تصویر	taswiːr
تضاد	tazaːd
تضعیف	tazʔiːf
تطابق	tataːbuq
تطبیق	tatbiːq
تظاهر	tazaːhur
تظاهرات	tazaːhuraːt
تعادل	taʔaːdul
تعارف	taʔaːruf
تعامل	taʔaːmul
تعبیر	taʔbiːr
تعجب	taʔadd͡ʒub
تعداد	taʔdaːd
تعرض	taʔarruz
تعرفه	taʔrifa
تعریف	taʔriːf
تعزیت	taʔzijat
تعزیر	taʔziːr
تعزیه	taʔzija
تعطیل	taʔtiːl
تعظیم	taʔziːm
تعقیب	taʔqiːb
تعلق	taʔalluq
تعلل	taʔallul
تعلم	taʔallum
تعلیق	taʔliːq
تعلیم	taʔliːm
تعلیمی	taʔliːmiː
تعمید	taʔmiːd
تعمیر	taʔmiːr
تعمیرگاه	taʔmiːrɡaːh
تعهد	taʔahhud
تعویذ	taʔwiːz
تعویض	taʔwiːz
تعویق	taʔwiːq
تعیین	taʔjiːn
تغافل	taɣaːful
تغییر	taɣjiːr
تغییرات	tæɣjiːɾɒːt
تف	taf	tuf
تفاهم	tafaːhum
تفاوت	tafaːwut
تفت	taft
تفرق	tafarruq
تفرقه	tafriqa
تفریح	tafriːh
تفریق	tafriːq
تفسیدن	tafsiːdan
تفسیر	tafsiːr
تفلیس	tifliːs
تفنن	tafannun
تفننی	tafannuniː
تفنگ	tufanɡ
تفنگچه	tufanɡt͡ʃa
تفک	tufak
تفکیک	tafkiːk
تقابل	taqaːbul
تقاضا	taqaːzaː
تقاطع	taqaːtuʔ
تقدیر	taqdiːr
تقدیم	taqdiːm
تقریب	taqriːb
تقریبا	taqriːban
تقریر	taqriːr
تقسیم	taqsiːm
تقصیر	taqsiːr
تقلب	taqallub
تقلبی	taqallubiː
تقلید	taqliːd
تقلیل	taqliːl
تقوا	taqwaː
تقوی	taqwaː
تقویت	taqwijat
تقویم	taqwiːm
تقیه	taqijja
تكذیب	takðiːb
تلاش	talaːʃ
تلاطم	talaːtum
تلافی	talaːfiː
تلاقی	talaːqiː
تلاوت	tilaːwat
تلبیس	talbiːs
تلخ	talx
تلطیف	taltiːf
تلف	talaf
تلفات	talafaːt
تلفظ	talaffuz
تلفیق	talfiːq
تلقی	talaqiː
تلقین	talqiːn
تلمیح	talmiːh
تله	tala	talla
تلویحی	talwiːhiː
تلک	talk	tulk
تلگراف	talaɡraːf
تم	tam
تماس	tamaːs
تماشا	tamaːʃaː
تماشاخانه	tamaːʃaːxaːna
تماشی	tamaːʃiː
تمام	tamaːm
تماما	tamaːman
تمثیل	tamsiːl
تمجید	tamd͡ʒiːd
تمدن	tamaddun
تمدید	tamdiːd
تمر	tamr	tamur	timir
تمرکز	tamarkuz
تمرین	tamriːn
تمساح	timsaːh
تمسخر	tamasxur
تملق	tamalluq
تملک	tamalluk
تمنا	tamannaː
تموز	tammuːz
تمکین	tamkiːn
تمیز	tamiːz
تمیزتر	tæmiːztæɾ
تمیزترین	tæmiːztæɾiːn
تن	tan	tun
تنازع	tanaːzuʔ
تناسلی	tanaːsuliː
تناول	tanaːwul
تنبان	tombɒn
تنباکو	tanbaːkuː
تنبسه	tanbasa
تنبل	tambul	tanbal
تنبور	tanbuːr
تنبک	tanbak	tunbak
تنبیه	tanbiːh
تنجیدن	tand͡ʒiːdan
تنخواه	tanxʷaːh
تند	tund
تندباد	tundbaːd
تندر	tundar	tundur
تندپز	tundpaz
تندیس	tandeːs
تنظیم	tanziːm
تنعم	tanaʔum
تنفس	tanaffus
تنقل	tanaqqul
تنقید	tanqiːd
تنها	tanhaː
تنور	tannuːr	tanuːr
تنومند	tanuːmand
تنک	tanuk	tunuk
تنکه	tunuka
تنگ	tanɡ	tunɡ
تنگنا	tanɡnaːj
تنگه	tanɡa
تنیدن	taniːdan
تنیسور	teniːsoɾ
تنیس‌باز	tiniːsbaːz
تن‌فروش	tanfuroːʃ
ته	tah
تهاجم	tahaːd͡ʒum
تهدید	tahdiːd
تهذیب	tahðiːb
تهران	tahraːn
تهرون	tehɾuːn
تهم	taham
تهمت	tuhmat
تهی	tuhiː
تهیدست	tuhiːdast
تهیه	tahijja
ته‌دیگ	tahdeːɡ
تو	tu	tuː
توأم	tawʔam
توافق	tawaːfuq
توان	tawaːn	tuwaːn
توانا	tawaːnaː	tuwaːnaː
توانستن	tawaːnistan	tuwaːnistan
توانمندی	tawaːnmandiː
توانگر	tawaːnɡar	tuwaːnɡar
توانگری	tawaːnɡariː	tuwaːnɡariː
توبال	tuːbaːl
توبة	tawba	tawbat
توبره	toːbra
توبه	tawba
توت	tuːt
توتون	tuːtuːn
توتیا	tuːtijaː
توجه	tawadd͡ʒuh
توجیه	tawd͡ʒiːh
توحش	tawahhuʃ
تودری	tuːdariː
توده	toːda
تورات	tawraːt
توران	tuːraːn
توران‌دخت	tuːraːnduxt
تورم	tawarrum
توریستی	tuːriːstiː
توزیع	tawziːʔ
توسط	tawassut
توسعه	tawsiʔa
توسن	tawsan
توسی	tuːsiː
توصیف	tawsiːf
توصیه	tawsija
توضیح	tawziːh
توطئه	tawtiʔa
توفیق	tawfiːq
توقع	tawaqquʔ
توقف	tawaqquf
توقیف	tawqiːf
تول	tol	tuːl
تولد	tawallud
تولدت	tawalludat
توله	toːla
تولید	tawliːd
تولیدن	tawliːdan	tuːliːdan
تومان	toːman
تونس	tuːnis
تونگر	tuwanɡar
توپ	toːp
توپخانه	toːpxaːna
توپولوژی	topoloʒiː
توپچى	toːpt͡ʃiː
توکل	tawakkul
توکیو	toːkjoː
تپانچه	tapaːnt͡ʃa
تپه	tapa	tappa
تپیدن	tapiːdan
تک	tak
تکالیف	takaːliːf
تکامل	takaːmul
تکثر	takassur
تکدی	takaddiː
تکرار	takraːr
تکراری	takraːriː
تکفور	takfuːr
تکلم	takallum
تکلیف	takliːf
تکلیف‌ها	takliːfhaː
تکمیل	takmiːl
تکه	tika
تکواژ	takwaːʒ
تکور	tækvoɾ	tækwuɾ
تکوک	takoːk
تکیدن	takiːdan
تکیه	takja
تکیه‌خانه	takjaxaːna
تکیه‌دار	takjadaːr
تکیه‌نشین	takjaniʃiːn
تکیه‌گاه	takjaɡaːh
تک‌شاخ	takʃaːx
تگرگ	taɡarɡ
تیار	tajjaːr
تیر	tiːr
تیراژه	tiːraːʒa
تیرداد	tiːrdaːd
تیره	teːra	tiːra
تیرگی	teːraɡiː	tiːraɡiː
تیز	teːz
تیزاب	teːzaːb
تیشه	teːʃa
تیغ	teːɣ
تیغه	teːɣa
تیلماچی	tiːlmaːt͡ʃiː
تیله	teːla
تیم	teːm
تیمار	teːmaːr
تیمارستان	tiːmaːristaːn
تیمم	tajammum
تیمور	tajmuːr	teːmuːr
تیمچه	teːmt͡ʃa
تیهو	tiːhuː
ثابت	saːbit
ثابت‌ها	sɒːbetʰhɒː
ثانی	saːniː
ثانیه	saːnija
ثبات	sabaːt
ثبت	sabt
ثروت	sarwat
ثروتمند	sarwatmand
ثریا	surajjaː
ثلاثة	salaːsa	salaːsat
ثلاثه	salaːsa
ثلجم	sald͡ʒam
ثمر	samar
ثنا	sanaː
ثنویت	sanawijjat
ثواب	sawaːb
ثور	sawr
جا	d͡ʒaː	d͡ʒaːj
جابجا	d͡ʒaːbad͡ʒaː
جاده	d͡ʒaːdda
جادو	d͡ʒaːduː
جادوگر	d͡ʒaːduːɡar
جاذبه	d͡ʒaːziba
جارو	d͡ʒaːroː
جاروب	d͡ʒaːroːb
جاری	d͡ʒaːriː
جاسوس	d͡ʒaːsuːs
جاسوسی	d͡ʒaːsuːsiː
جالب	d͡ʒaːlab
جالیز	d͡ʒaliːz
جام	d͡ʒaːm
جامد	d͡ʒaːmid
جامدانی	d͡ʒamdaniː
جامع	d͡ʒaːmiʔ
جامعه	d͡ʒaːmiʔa
جامعه‌شناس	d͡ʒaːmiʔaʃinaːs
جامعه‌شناسی	d͡ʒaːmiʔaʃinaːsiː
جامه	d͡ʒaːma
جامه‌دان	d͡ʒaːmadaːn
جان	d͡ʒaːn
جانان	d͡ʒaːnaːn
جانب	d͡ʒaːnib
جانباز	d͡ʒaːnbaːz
جانشین	d͡ʒaːniʃiːn
جانماز	d͡ʒaːnamaːz
جانه	d͡ʒaːna
جانور	d͡ʒaːnwar
جانورشناس	d͡ʒaːnwarʃinaːs
جانورشناسی	d͡ʒaːnwarʃinaːsiː
جانی	d͡ʒaːniː
جاه	d͡ʒaːh
جاهدار	d͡ʒaːhdaːr
جاهل	d͡ʒaːhil
جاود	d͡ʒaːwid
جاودان	d͡ʒaːwidaːn
جاودانه	d͡ʒaːwidaːna
جاوی	d͡ʒaːwiː
جاوید	d͡ʒaːweːd
جاویدنام	d͡ʒaːweːdnaːm
جاکش	d͡ʒaːkaʃ
جاگه	d͡ʒaːɡah
جاگیر	d͡ʒaːɡiːr
جای	d͡ʒaːj
جایزه	d͡ʒaːjiza
جایگاه	d͡ʒaːjɡaːh	d͡ʒaːɡaːh
جایگزین	d͡ʒaːjɡuziːn
جبار	d͡ʒabaːr
جبر	d͡ʒabr
جبل	d͡ʒabal
جبل‌الطارق	d͡ʒabaluttaːriq
جبهه	d͡ʒabha
جبیل	d͡ʒubajl
جبین	d͡ʒabiːn
جثه	d͡ʒissa	d͡ʒussa
جحیم	d͡ʒahiːm
جد	d͡ʒadd
جدا	d͡ʒiddan	d͡ʒudaː
جدایی	d͡ʒudaːjiː
جددین	d͡ʒuddiːn
جدر	d͡ʒadr
جده	d͡ʒidda
جدوار	d͡ʒadwaːr
جدول	d͡ʒadwal
جدی	d͡ʒiddiː	d͡ʒidj
جدیت	d͡ʒidijjat
جدید	d͡ʒadiːd
جذاب	d͡ʒazzaːb	d͡ʒaððaːb
جذب	d͡ʒazb
جذبه	d͡ʒaðba
جراح	d͡ʒarraːh
جراحت	d͡ʒiraːhat
جراحی	d͡ʒarraːhiː
جرثقیل	d͡ʒarsaqiːl
جرس	d͡ʒaras
جرعه	d͡ʒarʔa	d͡ʒurʔa
جرم	d͡ʒirm	d͡ʒurm
جریان	d͡ʒarajaːn
جریده	d͡ʒariːda
جریمه	d͡ʒariːma
جز	d͡ʒaz	d͡ʒuz
جزء	d͡ʒuzʔ
جزئی	d͡ʒuzʔiː
جزئیات	d͡ʒuzʔijjaːt
جزا	d͡ʒazaː
جزائر	d͡ʒazaːʔir
جزایر	d͡ʒazaːjir
جزدان	d͡ʒuzdaːn
جزیره	d͡ʒaziːra
جزیه	d͡ʒizja
جسارت	d͡ʒasaːrat
جسامت	d͡ʒasaːmat
جست	d͡ʒast	d͡ʒust
جستجو	d͡ʒustud͡ʒoː
جستن	d͡ʒastan	d͡ʒustan
جسد	d͡ʒasad
جسور	d͡ʒasuːr
جشن	d͡ʒaʃn
جعبه	d͡ʒaʔba
جعد	d͡ʒaʔd
جعفر	d͡ʒaʔfar
جعفری	d͡ʒaʔfariː
جعل	d͡ʒaʔl
جعلی	d͡ʒaʔliː
جغتای	d͡ʒaɣataːj
جغتایی	d͡ʒaɣataːjiː
جغد	d͡ʒuɣd	t͡ʃuɣd
جغرات	d͡ʒuɣraːt
جغرافیا	d͡ʒuɣraːfijaː
جغرافیادان	d͡ʒuɣraːfijaːdaːn
جغرافیایی	d͡ʒuɣraːfijaːjiː
جفا	d͡ʒafaː
جفت	d͡ʒaft	d͡ʒuft
جق	d͡ʒaq
جلاب	d͡ʒulaːb	d͡ʒullaːb
جلاد	d͡ʒallaːd
جلال	d͡ʒalaːl
جلال‌آباد	d͡ʒalaːlaːbaːd
جلب	d͡ʒalab	d͡ʒalb
جلسه	d͡ʒalasa	d͡ʒalsa
جلق	d͡ʒalq
جلو	d͡ʒalaw	d͡ʒilaw
جلوس	d͡ʒuluːs
جلوه	d͡ʒilwa
جلوگیری	d͡ʒilawɡiːriː
جم	d͡ʒam
جمادی‌الآخر	d͡ʒamaːdijulaːxir	d͡ʒumaːdalaːxir	d͡ʒumaːdijulaːxir
جمادی‌الاول	d͡ʒamaːdijulawwal	d͡ʒumaːdalawwal	d͡ʒumaːdijulawwal
جمادی‌الثانی	d͡ʒamaːdijussaːniː	d͡ʒumaːdassaːniː	d͡ʒumaːdijussaːniː
جماع	d͡ʒimaːʔ
جماعت	d͡ʒamaːʔat
جمال	d͡ʒamaːl
جمجمه	d͡ʒumd͡ʒuma
جمشید	d͡ʒamʃeːd
جمع	d͡ʒamʔ
جمعا	d͡ʒamʔan
جمعه	d͡ʒumʔa
جمعیت	d͡ʒamʔijjat
جمعیت‌شناسی	d͡ʒamʔijjatʃinaːsiː
جمله	d͡ʒumla
جمهوری	d͡ʒumhuːriː
جمهوری‌خواه	d͡ʒumhuːriːxʷaːh
جمول	d͡ʒæmul
جمیل	d͡ʒamiːl
جن	d͡ʒan	d͡ʒinn
جناب	d͡ʒanaːb
جنازه	d͡ʒanaːza
جنایات	d͡ʒinaːjaːt
جنایت	d͡ʒinaːjat
جنایتکار	d͡ʒinaːjatkaːr
جنباندن	d͡ʒunbaːndan
جنبش	d͡ʒunbiʃ
جنبه	d͡ʒanba
جنبه‌ها	d͡ʒanbahâ
جنبیدن	d͡ʒumbiːdan
جنت	d͡ʒannat
جنجال	d͡ʒand͡ʒaːl
جنجالی	d͡ʒand͡ʒaːliː
جندره	d͡ʒandara
جنده	d͡ʒinda
جنده‌خانه	d͡ʒindaxaːna
جنس	d͡ʒins
جنسی	d͡ʒinsiː
جنسیت	d͡ʒinsijjat
جنوب	d͡ʒanuːb
جنوبگان	d͡ʒanuːbɡaːn
جنوبی	d͡ʒanuːbiː
جنون	d͡ʒunuːn
جنگ	d͡ʒanɡ
جنگجو	d͡ʒanɡd͡ʒoː	d͡ʒanɡd͡ʒuː
جنگجویی	d͡ʒanɡd͡ʒoːjiː	d͡ʒanɡd͡ʒuːjiː
جنگل	d͡ʒanɡal
جنگی	d͡ʒanɡiː
جنگیدن	d͡ʒanɡiːdan
جنگ‌افزار	d͡ʒanɡafzaːr
جنین	d͡ʒaniːn	d͡ʒiniːn
جهاد	d͡ʒihaːd
جهاز	d͡ʒahaːz	d͡ʒihaːz
جهان	d͡ʒahaːn	d͡ʒihaːn
جهانخوار	d͡ʒahaːnxaːr
جهاندار	d͡ʒahaːndaːr
جهاندیده	d͡ʒahaːndiːda
جهانگرد	d͡ʒahaːnɡard
جهانگیر	d͡ʒahaːnɡiːr
جهانی	d͡ʒahaːniː
جهت	d͡ʒihat
جهد	d͡ʒahd
جهنم	d͡ʒahannam
جهود	d͡ʒahuːd	d͡ʒuhuːd
جو	d͡ʒaw	d͡ʒaww	d͡ʒoː	d͡ʒuː
جواب	d͡ʒawaːb
جواب‌ها	d͡ʒawaːbhaː
جواری	d͡ʒuwaːriː
جواز	d͡ʒawaːz
جوان	d͡ʒawaːn
جوانمرد	d͡ʒawaːnmard
جوانمردی	d͡ʒawaːnmardiː
جوانی	d͡ʒawaːniː
جواهر	d͡ʒawaːhir
جواهرفروش	d͡ʒawaːhirfuroːʃ
جواهری	d͡ʒawaːhiriː
جوجه	d͡ʒuːd͡ʒa
جودت	d͡ʒawdat
جودر	d͡ʒawdar
جور	d͡ʒoːr
جوراب	d͡ʒoːraːb
جوره	d͡ʒoːra
جوز	d͡ʒawz
جوزا	d͡ʒawzaː
جوزجان	d͡ʒawzd͡ʒaːn	d͡ʒoːzd͡ʒaːn
جوش	d͡ʒoːʃ
جوشش	d͡ʒoːʃiʃ
جوشن	d͡ʒawʃan
جوشیدن	d͡ʒoːʃiːdan
جولا	d͡ʒoːlaː
جولاهک	d͡ʒoːlaːhak
جوهر	d͡ʒawhar
جوگی	d͡ʒoːɡiː
جویبار	d͡ʒoːjbaːr
جویدن	d͡ʒawiːdan
جویینه	d͡ʒuːjiːna
جگر	d͡ʒiɡar
جیب	d͡ʒajb	d͡ʒeːb
جیبوتی	d͡ʒiːbuːtiː
جیر	d͡ʒiːr
جیرجیرک	d͡ʒiːrd͡ʒiːrak
جیزه	d͡ʒiːza
جیغ	d͡ʒiːɣ
جیغه	d͡ʒiːɣa
جین	d͡ʒiːn
جیوه	d͡ʒiːwa
جیپور	d͡ʒajpuːr
جیک	d͡ʒiːk
حا	haː
حاء	haːʔ
حائل	hajil	haːʔil
حاج	haːd͡ʒ
حاجت	haːd͡ʒat
حاجی	haːd͡ʒiː
حاد	hɒːd
حادثه	haːdisa
حاذق	haːðiq
حاشا	haːʃaː
حاشیه	haːʃija
حاصل	haːsil
حاصلخیز	haːsilxeːz
حاضر	haːzir
حافظ	haːfiz
حافظه	haːfiza
حال	haːl
حالا	haːlaː	hɒːlo
حالت	haːlat
حالی	haːleː	haːliː
حالیا	haːlijan
حامل	haːmil
حامله	haːmila
حامی	haːmiː
حاوی	haːwiː
حاکم	haːkim
حاکمیت	haːkimijjat
حاکی	haːkiː
حباب	hubaːb
حبس	habs
حبل‌المتین	hablulmatiːn
حبیب	habiːb
حبیبی	habiːbiː
حتما	hatman
حتی	hattaː
حج	hadd͡ʒ
حجاب	hid͡ʒaːb
حجره	hud͡ʒra
حجم	had͡ʒm
حد	hadː
حدادی	haddaːdiː
حداکثر	haddiʔaksar
حدس	hads
حدقه	hadaqa
حدود	huduːd
حدیث	hadiːs
حذر	hazar
حذف	haðf
حراج	haraːd͡ʒ	harraːd͡ʒ	hiraːd͡ʒ
حرارت	haraːrat
حراست	hiraːsat
حرام	haraːm
حرام‌زاده	haraːmzaːda
حرب	harb
حرز	hirz
حرص	hirs
حرف	harf	hiraf
حرفه	hirfa
حرم	haram
حرمان	hirmaːn
حرمت	hirmat	hurmat
حروف	huruːf
حرکت	harakat	harkat
حریره	hariːra
حریص	hariːs
حریف	hariːf
حریق	hariːq
حریم	hariːm
حزب	hizb
حزب‌الله	hizbullaːh
حزن	huzn
حزیران	haziːraːn
حزین	haziːn
حس	hiss
حساب	hisaːb
حسابدار	hisaːbdaːr
حسابی	hisaːbiː
حسادت	hasaːdat
حساس	hassaːs
حسب‌حال	hasbihaːl
حسد	hasad
حسرات	hasraːt
حسرت	hasrat
حسن	hasan	husn
حسود	hasuːd
حسین	husajn
حسینقلی	husajnquliː
حسینیه	husajnijja
حشر	haʃar
حشره	haʃara
حشفه	haʃafa
حشیش	haʃiːʃ
حصار	hisaːr
حصیر	hasiːr
حضرت	hazrat
حضور	huzuːr
حفاری	haffaːriː
حفاظت	hifaːzat
حفر	hafr
حفظ	hifz
حفظی	hifziː
حق	haqq
حقانیت	haqqaːnijjat
حقه	huqqa
حقوق	huquːq
حقیر	haqiːr
حقیقت	haqiːqat
حقیقی	haqiːqiː
حق‌السکوت	haqqussukuːt
حكمران	hukmraːn
حل	hal
حلال	halaːl
حلب	halab
حلتیت	hiltiːt
حلزون	halazuːn
حلقه	halqa
حلم	hilm
حلوا	halwaː
حمات	hamaːt
حمار	hammaːr	himaːr
حماس	hamaːs
حماسه‌سرا	hamaːsasaraː
حماسی	hamaːsiː
حماقت	hamaːqat
حمام	hammaːm
حمایت	himaːjat
حمایل	hamaːjil
حمرا	hamraː
حمزه	hamza
حمله	hamla
حمید	hamiːd
حنا	hinaː	hinnaː	hinnaːʔ
حوا	hawwaː
حواری	hawaːriː
حواس	hawaːs
حواله	hawaːla
حوزه	hawza
حوصله	hawsala
حوض	hawz
حول	hawl	hawli
حوله	hawla
حومه	hawma
حکایت	hikaːjat
حکم	hakam	hikam	hukm
حکمت	hikmat
حکمرانی	hukmraːniː
حکومت	hukuːmat
حکیم	hakiːm
حیا	hajaː
حیات	hajaːt
حیاتی	hajaːtiː
حیاط	hijaːt
حیثیت	hajsijjat
حیدر	hajdar
حیدرآباد	hajdaraːbaːd
حیران	hajraːn
حیرت	hajrat
حیف	hajf
حیفا	hajfaː
حیله	hiːla
حین	hiːn
حیوان	hajwaːn
خائن	xaːʔin
خات	xaːt
خاتم	xaːtam
خاتمه	xaːtima
خاتوله	xaːtuːla
خاتون	xaːtuːn
خاج	xaːd͡ʒ
خادم	xaːdim
خاده	xaːda
خار	xaːr
خاراندن	xaːraːndan
خارج	xaːrid͡ʒ
خارجه	xaːrid͡ʒa
خارجه‌تر	xaːrid͡ʒatar
خارجه‌ترین	xaːrid͡ʒatariːn
خارجی	xaːrid͡ʒiː
خارش	xaːriʃ
خاروغ	xaːruɣ
خارپشت	xaːrpuʃt
خارکن	xaːrkan
خاستن	xaːstan
خاستگاه	xaːstɡaːh
خاص	xɒːs
خاصه	xaːssa
خاصگی	xaːssaɡiː
خاصیت	xaːsijjat
خاص‌تر	xɒːstʰæɾ
خاص‌ترین	xɒːstʰæɾiːn
خاطب	xaːtib
خاطر	xaːtir
خاطرات	xaːtiraːt
خاطرنشان	xaːtirniʃaːn
خاطره	xaːtira
خاطی	xaːtiː
خاقان	xaːqaːn
خال	xaːl
خالص	xaːlis
خالصانه	xaːlisaːna
خالق	xaːliq
خاله	xaːla
خالو	xaːluː
خالی	xaːliː
خام	xaːm
خامنه‌ای	xaːmanaʔiː
خامه	xaːma
خاموش	xaːmoːʃ
خاموشی	xaːmoːʃiː
خان	xaːn
خانات	xaːnaːt
خاندان	xaːnadaːn	xaːndaːn
خانقاه	xaːnaqaːh	xaːniqaːh
خانم	xaːnum
خانمان	xaːnimaːn	xaːnmaːn	xaːnumaːn
خانه	xaːna
خانه‌خدا	xaːnaxudaː
خانواده	xaːnawaːda
خانواده‌ها	xaːnawaːdahaː
خانوادگی	xaːnawaːdaɡiː
خانگاه	xaːnaɡaːh
خانگی	xaːnaɡiː
خانی	xaːniː
خانیت	xaːnijjat
خاور	xaːwar
خاوران	xaːwaraːn
خاورمیانه	xaːwarimijaːna
خاویار	xaːwjaːr
خاژغان	xaːʒɣaːn
خاک	xaːk
خاکروبه	xaːkroːba
خاکسار	xaːksaːr
خاکستر	xaːkistar
خاکستری	xaːkistariː
خاکی	xaːkiː
خاک‌انداز	xaːkandaːz
خاگینه	xaːɡiːna
خایه	xaːja
خاییدن	xaːjiːdan
خباره	xabaːra
خباز	xabbaːz
خبر	xabar
خبردار	xabardaːr
خبرفوری	xabarifawriː
خبرنگار	xabarniɡaːr
خبره	xibra
خبرگزاری	xabarɡuzaːriː
خبری	xabariː
خبیث	xabiːs
ختم	xatm
ختنه	xatna
ختنه‌گاه	xatnaɡaːh
ختو	xutuː
خجالت	xad͡ʒaːlat	xid͡ʒaːlat
خجالتی	xad͡ʒaːlatiː
خجسته	xud͡ʒasta
خجل	xad͡ʒil
خجیر	xud͡ʒiːr
خدا	xudaː
خدابنده	xudaːbanda
خداحافظ	xudaːhaːfiz
خداحافظت	xudaːhaːfizat
خداداد	xudaːdaːd
خدارا	xudaːraː
خدانگهدار	xudaːniɡahdaːr
خداوند	xudaːwand
خدای	xudaːj
خدایان	xudaːjaːn
خدایی	xudaːjiː
خدشه	xadʃa
خدمت	xidmat
خدمتکار	xidmatɡaːr
خدنگ	xadanɡ
خدیو	xadeːw
خر	xar	xæːɾ
خراب	xaraːb
خراسان	xʷaraːsaːn
خراسانی	xʷaraːsaːniː
خراش	xaraːʃ
خراشیدن	xaraːʃiːdan
خرام	xiraːm
خرامیدن	xaraːmiːdan
خربز	xarbuz
خربزه	xarbuza
خرتوت	xartuːt
خرج	xard͡ʒ
خرخره	xirxira	xurxura
خرد	xirad	xurd
خرداد	xurdaːd
خردسال	xurdsaːl
خردل	xardal
خردمند	xiradmand
خرده	xurda
خردی	xurdiː
خرس	xirs
خرسند	xursand
خرطوم	xurtuːm
خرقه	xirqa
خرم	xurram
خرما	xurmaː
خرمالو	xurmaːluː
خرمن	xarman	xirman
خرم‌آباد	xurramaːbaːd
خروج	xuruːd͡ʒ
خروجی	xuruːd͡ʒiː
خروس	xuroːs	xɾos
خروشان	xuroːʃaːn
خروشیدن	xuroːʃiːdan
خرپول	xarpuːl
خرچنگ	xart͡ʃanɡ
خرگاه	xarɡaːh
خرگوش	xarɡoːʃ
خرید	xariːd
خریدار	xariːdaːr
خریدن	xariːdan
خریطه	xariːta
خز	xaz
خزاعی	xazaːʔiː
خزان	xazaːn
خزانه	xizaːna
خزعبل	xuzaʔbal
خزنده	xazanda
خزندگان	xæzændeɡɒːn
خزیدن	xaziːdan
خزینه	xaziːna
خزینه‌دار	xaziːnadaːr
خسارت	xasaːrat
خسته	xasta
خسته‌خانه	xastaxaːna
خستگی	xastaɡiː
خسران	xusraːn
خسره	xasara
خسرو	xusraw
خسروانی	xusrawaːniː
خسروی	xusrawiː
خسپ	xusp
خسیس	xasiːs
خش	xaʃ
خشاب	xiʃaːb
خشایارشا	xaʃaːjaːrʃaː
خشت	xiʃt
خشم	xaʃm	xiʃm
خشمگین	xaʃmɡiːn
خشنسار	xaʃansaːr
خشونت	xuʃuːnat
خشک	xuʃk
خشکاندن	xoʃkɒːndæn
خشکبار	xuʃkbaːr
خشکسالی	xuʃksaːliː
خشکوندن	xoʃkuːndæn
خشکی	xuʃkiː
خشکیدن	xuʃkiːdan
خشک‌شویی	xuʃkʃoːjiː
خشین	xaʃiːn
خصم	xasm
خصمانه	xasmaːna
خصوص	xusuːs
خصوصا	xusuːsan
خصوصی	xusuːsiː
خصوصیت	xusuːsijjat
خصومت	xusuːmat
خضرا	xazraː
خط	xatt
خطا	xataː
خطائی	xataːʔiː
خطاب	xitaːb	xuttaːb
خطای	xataːj
خطایی	xataːjiː
خطبا	xutabaː
خطبه	xutba
خطر	xatar
خطرناک	xatarnaːk
خطه	xitta
خطیب	xatiːb
خط‌کش	xattkaʃ
خف	xʷaf
خفارت	xufaːrat
خفاش	xuffaːʃ
خفتان	xaftaːn	xiftaːn
خفتن	xuftan
خفته	xufta
خفقان	xafaqaːn
خفه	xafa
خفگی	xafiɡiː
خفیف	xafiːf
خلاء	xalaːʔ
خلاس	xallaːs
خلاسی	xalaːsiː
خلاشه	xalaːʃa
خلاص	xalaːs
خلاصه	xulaːsa
خلاف	xilaːf
خلافت	xilaːfat
خلاق	xallaːq
خلاقانه	xallaːqaːna
خلاقیت	xallaːqijjat
خلال	xilaːl
خلبان	xalabaːn	xalbaːn
خلج	xalad͡ʒ	xulud͡ʒ
خلجستان	xalad͡ʒistaːn
خلجی	xalad͡ʒiː
خلفا	xulafaː
خلق	xalaq	xalq	xulq	xuluq
خلقت	xilqat
خلنج	xaland͡ʒ	xiland͡ʒ	xilind͡ʒ
خلنگ	xalanɡ	xilanɡ
خلوت	xalwat
خلوتگاه	xalwatiɡaːh
خلوص	xuluːs
خلیج	xaliːd͡ʒ
خلیدن	xaliːdan
خلیفه	xaliːfa
خلیفگی	xaliːfaɡiː
خلیل	xaliːl
خم	xam	xum
خمس	xums
خمسه	xamsa
خمیده	xamiːda
خمیر	xamiːr
خمینی	xumajniː
خنثی	xunsaː
خنجال	xand͡ʒaːl
خنجر	xand͡ʒar
خندان	xandaːn
خنداندن	xandaːndan
خندق	xandaq
خنده	xanda
خندود	xanduːd
خندون	xænduːn
خندیدن	xandiːdan
خنک	xunak	xunuk
خنگ	xinɡ
خنیا	xunjaː
خنیاگر	xunijaːɡar
خو	xoː
خواب	xʷaːb
خوابگاه	xʷaːbɡaːh
خوابیدن	xʷaːbiːdan
خواجه	xʷaːd͡ʒa
خواجه‌امیری	xʷaːd͡ʒaʔamiːriː
خواجگی	xʷaːd͡ʒaɡiː
