# Persian abjad → IPA SILVER, derived from Tajik cognates (the coverage extension beyond wikipron).
# word = Persian abjad (from the fa frequency wordlist); ipa = Tajik-derived Persian IPA (tajik-align remap,
# ~71% est. quality vs the fa gold — see the divergence analysis). Regenerate: tools/fa-restoration/tajik-align.ts
# machinery over the tgwiki vocabulary. Sources permissive (wikipron/tgwiki CC-BY-SA; IPA is ours). word<TAB>ipa
آبت	ʔabjɒt
سنترال	sntrɒl
سنتی	senati
سنجد	sand͡ʒad
سند	sanad
سنقر	sanqar
سنگر	sanɡer
سنگفرش	sanɡfarʃ
سنگین	sanɡin
سنم	sanam
سنن	sennaja
سنی	sanaji
سه	sah
سهو	sahw
سواپ	swɒp
سواد	sawɒd
سوال	sawɒl
سوپر	super
سوخت	suχta
سودا	sawdɒ
سورس	suares
سورن	suren
سورنا	sewernɒje
سوزن	suzan
سوسن	sawsan
سوگند	sawɡand
سولو	sawelewa
سوم	sum
سوهان	suhɒn
سویا	sawiɒ
سوین	sawin
سیحون	sajhun
سید	sajid
سیدنی	sidnej
سیرک	sirk
سیزن	sijɒzan
سیستم	sistema
سیف	sajf
سیل	sil
سیلور	silur
سیم	sim
سیمان	simɒn
سینگر	sinɡer
سینگل	sinɡl
سیه	sijɒh
شاد	ʃɒjad
شارج	ʃɒrd͡ʒa
شانزده	ʃɒnzdah
شاه	ʃɒh
شاهرود	ʃɒhrud
شاهنشاه	ʃɒhanʃɒh
شایست	ʃɒjista
شایگان	ʃɒjɡɒn
شبح	ʃabeh
شبنم	ʃabnam
شبه	ʃabeh
شد	ʃad
شرافت	ʃarɒfat
شربت	ʃarbat
شرت	ʃart
شرشر	ʃarʃara
شرف	ʃaraf
شرک	ʃrek
شرلی	ʃerali
شره	ʃarh
شروان	ʃerwɒn
شرور	ʃarur
شست	ʃast
شش	ʃaʃ
ششصد	ʃaʃsad
ششگان	ʃaʃɡɒna
شطرنج	ʃatrand͡ʒ
شعر	ʃeʔr
شغال	ʃaɣɒl
شغل	ʃaɣal
شفت	ʃaft
شفق	ʃafaq
شکر	ʃakar
شکسپیر	ʃekspir
شکل	ʃakl
شکور	ʃakur
شکی	ʃaki
شمال	ʃamɒl
شمشاد	ʃamʃɒd
شمع	ʃamʔ
شن	ʃan
شنگن	ʃenɡen
شه	ʃah
شهریور	ʃahriwar
شهوانی	ʃahwɒni
شهوت	ʃahwat
شو	ʃu
شوبرت	ʃubert
شود	ʃud
شورا	ʃuarɒ
شوربا	ʃurbɒ
شوروی	ʃurawi
شوق	ʃawq
شوکت	ʃawkat
شوکر	ʃukr
شوکران	ʃukrɒna
شوم	ʃawam
شومان	ʃumɒn
شوند	ʃawand
شوهر	ʃawhar
شوی	ʃuj
شیء	ʃiʔa
شیخ	ʃajχ
شیدا	ʃajdɒ
شیرده	ʃirdeh
شیطان	ʃajtɒn
شیفت	ʃift
شیلم	ʃilm
شیو	ʃiwa
صبح	sabha
صبغ	sabaɣ
صبه	sabha
صبور	sabur
صحت	sajɒhat
صحه	saheh
صحو	sahw
صدا	sadɒ
صداش	sadɒjaʃ
صداقت	sadɒqat
صدای	sadɒji
صدف	sadaf
صدق	sadaqa
صدم	sadama
صراحت	sarɒhat
صرب	serb
صرد	sard
صره	sareh
صفر	safar
صفه	safha
صفوی	safawi
صفین	safina
صل	sel
صمد	samad
صندوق	sanduq
صنعان	sanʔɒn
صنعت	sanʔat
صنم	sanam
صنوبر	sanawbar
صوت	sut
صورت	surat
صوم	sum
صیت	sajt
صید	sajid
صیدا	sajdɒ
صیرف	sirf
صیف	sajf
صیقل	sajqal
ضحی	zehi
ضد	zada
ضراب	zarɒb
ضرباهنگ	zarbɒhanɡ
ضرر	zarar
ضرور	zarur
ضمانت	zamɒnat
ضمن	zeman
ضنت	znat
ضوق	zawq
طارم	teɒrema
طاقت	tɒqat
طب	tab
طبابت	tabɒbat
طبر	tabar
طبس	tabas
طبق	tabaq
طبیبان	tabibɒn
طرب	tarab
طرف	taraf
طرفدار	tarafdɒr
طرفین	tarafajn
طره	tarh
طریق	tariq
طریقت	tariqat
طریقی	tariqi
طلال	talɒl
طلب	talab
طمع	tamaʔ
طه	tah
طهران	tehrɒn
طهمورث	tahmuras
طوبی	tubi
طور	tawr
طی	ti
طیب	tib
طیر	tajjɒr
طیران	tirɒn
طیف	tajf
ظفر	zafar
ظل	zale
ظهر	zahr
غارت	ɣɒrat
غایبان	ɣɒjibɒna
غر	ɣajur
غرد	ɣardaja
غرض	ɣaraz
غرغر	ɣarɣara
غرم	ɣarm
غریبان	ɣaribɒn
غز	ɣaz
غزل	ɣazal
غزنوی	ɣaznawi
غزنی	ɣazni
غزنین	ɣaznin
غزوات	ɣazawɒt
غضب	ɣazab
غفلت	ɣaflat
غفور	ɣafur
غل	ɣal
غلب	ɣalaba
غلط	ɣalat
غمت	ɣamat
غوث	ɣaws
غور	ɣur
غوص	ɣaws
غوغا	ɣawɣɒ
غیب	ɣajb
غیبت	ɣajbat
غیر	ɣajra
غیرت	ɣajrat
فارس	fɒrs
فارست	fɒrest
فاکس	fɒks
فایل	fɒjil
فتن	jɒftan
فر	fr
فراشبند	farɒʃband
فراغت	farɒɣat
فراموش	farɒmuʃ
فرانس	farɒnsa
فرانسوی	farɒnsawi
فرانکفورت	frɒnkfurt
فرایز	farɒjiz
فرایض	farɒjiz
فرج	fard͡ʒ
فرح	farah
فردریک	frederik
فرسایش	farsɒjiʃ
فرسخ	farsaχ
فرم	ferma
فرمان	farmɒn
فرمانده	farmɒndeh
فرمانروا	farmɒnrawɒ
فرمایش	farmɒjiʃ
فرنگ	faranɡ
فرنگیس	faranɡis
فرنی	frant͡sija
فره	farah
فرهنگ	farhanɡ
فرهنگی	farhanɡi
فروردین	farwardin
فریدون	faridun
فریز	friz
فریزر	frejzer
فس	fas
فساد	fasɒd
فصح	faseh
فضیلت	fazilat
فعال	faʔɒl
فعل	feʔl
فقط	faqat
فقه	faqeh
فکل	fakel
فلان	falɒn
فلاورجان	falɒward͡ʒɒn
فلج	falad͡ʒ
فلسطین	falastin
فلسف	falsafa
فلش	fleʃ
فلک	falak
فلگ	flaɡa
فلمینگ	fleminɡ
فلیپ	felipe
فم	fam
فنم	fnm
فهم	fahm
فهمد	fahmad
فواد	fuɒd
فوتون	futuna
فورس	furs
فوری	fawri
فوق	fawq
فون	fauna
فونت	funt
فیتنس	fitnes
فیزیکدان	fizikdɒn
فیسبوک	fejsbuk
فیصل	fajsal
فیض	fajz
فیلتر	filtr
فیلد	fild
فیلم	film
فیلیپس	filips
قامت	qɒmat
قایم	qɒjim
قبح	qabeh
قبض	qabz
قبطی	qabati
قبه	qabeh
قبول	qabul
قدبلند	qadbaland
قدردانی	qadrdɒni
قدش	qadaʃ
قدم	qadam
قر	qara
قرابت	qarɒbat
قرص	qars
قزاق	qazɒq
قسر	qasr
قسم	qasam
قصاص	qasɒs
قضاوت	qazɒwat
قطر	qatar
قطران	qatrɒn
قفس	qafas
قلم	qalam
قلمرو	qalamraw
قم	qm
قمر	qamar
قندهار	qandahɒr
قوت	jɒqut
قوس	qaws
قول	qawl
قوم	qum
قومیس	qumis
قوی	qawi
قی	qaj
قیچی	qajt͡ʃi
قید	qajd
قیس	qijɒs
قیصر	qajsar
قیم	qijɒm
قیماق	qajmɒq
قیمت	qijɒmat
کار	kɒr
کاربر	kɒrbar
کارت	kɒrt
کارد	kɒrd
کاردان	kɒrdɒn
کارفرما	kɒrfarmɒ
کارکرد	kɒrkard
کاروان	kɒrwɒn
کاست	kɒsta
کاسنی	kɒsni
کاشت	kɒʃta
کاغذ	kɒɣaz
کاکول	kɒkul
کامپکت	kɒmpakt
کامران	kɒmrɒn
کانت	kɒnte
کانتر	kɒntr
کانتینر	kɒntejner
کاندر	kɒndara
کاه	kɒh
کاینات	kɒjinɒt
کبود	kabud
کبودرآهنگ	kabudrɒhanɡ
کپک	kapak
کپلر	kepler
کت	kat
کتت	katta
کتک	katak
کثرت	kasrat
کجا	jakd͡ʒɒja
کجک	kad͡ʒak
کد	kd
کدام	kadɒm
کدر	kadr
کدم	kdam
کراتین	karɒtin
کرال	kerɒl
کرام	krɒme
کربلا	karbalɒ
کرج	karad͡ʒ
کردان	kardɒna
کردیت	kredit
کرزی	karzaj
کرست	kresta
کرش	karaʃ
کرفس	karafs
کرک	karak
کرم	karam
کرمان	karmɒna
کرمل	kreml
کرن	karan
کروی	kruje
کریستین	kristian
کریکت	kriket
کس	kase
کسپرسکی	kasperski
کسل	kasal
کش	keʃ
کشاند	kaʃɒnda
کشاندن	kaʃɒndan
کشد	kaʃad
کشمیر	kaʃmir
کشند	kaʃand
کشید	kaʃida
کشیدن	kaʃidan
کشیش	kaʃiʃ
کفالت	kafɒlat
کفر	kfar
کل	kale
کلا	kalaɒ
کلان	kalɒn
کلت	klet
کلر	kalera
کلل	kalla
کلن	kjɒln
کلوین	kalwin
کلی	kali
کلیپ	klip
کلید	kalid
کلیسا	kalisɒ
کلین	klin
کلینیک	klinika
کلیولند	kliwlend
کم	km
کما	kameɒ
کمال	kamɒl
کمبریج	kembrid͡ʒ
کمپین	kampina
کمت	kmt
کمر	kamar
کمربند	kamarband
کمش	kamaʃ
کمیل	kamil
کن	kn
کنا	kanɒ
کنار	kanɒr
کنارک	kanɒrak
کنان	kenɒn
کنت	kant
کنترل	kentral
کنج	kend͡ʒa
کند	kanada
کندر	kndr
کندن	kanadjan
کندی	kanadi
کنش	keneʃ
کنگان	kanɡɒn
کنگو	kanaɡawa
کنن	kann
کنند	kannada
کنی	kenija
کهتر	kehtar
کهربا	kahrabɒ
کهکشان	kahkaʃɒn
کوثر	kawsar
کورد	kurd
کورس	kurs
کورسک	kursk
کوروش	kuruʃ
کوشک	kuʃka
کوفت	kufta
کوکب	kawkab
کولر	kawaler
کولی	kuli
کی	ki
کیست	kist
کیف	kajif
کیک	kajk
کیکاووس	kajkɒwus
کیلومتر	kilumetr
کیهان	kajhɒn
کیو	kijew
کیوان	kajwɒn
کیوسک	kijewskaja
گالف	ɡɒlf
گالیکش	ɡɒlikeʃ
گاه	ɡɒh
گدا	ɡadɒ
گذرا	ɡazrɒ
گر	ɡar
گرا	ɡerɒja
گراس	ɡrɒsa
گراش	ɡerɒʃ
گرام	ɡrɒm
گران	ɡarɒn
گرانبها	ɡarɒnbahɒ
گرایش	ɡarɒjiʃ
گرت	ɡreta
گرد	ɡard
گرداند	ɡardɒnd
گردد	ɡardad
گردنبند	ɡardanband
گردو	ɡardu
گرز	ɡraz
گرگ	ɡreɡ
گرو	ɡaraw
گروید	ɡarawida
گریس	ɡerajis
گریم	ɡrim
گرین	ɡrin
گرینویچ	ɡrinwit͡ʃ
گزک	ɡazak
گشت	ɡaʃt
گل	ɡl
گلاس	ɡelɒs
گلان	ɡelɒn
گلر	ɡalereja
گلک	ɡljuk
گلکسی	ɡalaksi
گلو	ɡlawi
گلوبین	ɡlubina
گم	ɡama
گن	ɡana
گنجوی	ɡand͡ʒawi
گنگ	ɡanɡ
گه	ɡah
گوتنبرگ	ɡutenberɡ
گود	ɡujad
گودرز	ɡudarz
گورخر	ɡurχar
گوزن	ɡawazn
گوشت	ɡuʃt
گون	ɡuna
گوهر	ɡawhar
گویش	ɡujiʃ
گویی	ɡawaji
گیت	ɡita
گیتس	ɡejts
گیتی	ɡajiti
گیرد	ɡirad
گیلبرت	ɡilbert
لآلی	lɒlaji
لاجورد	lɒd͡ʒward
لارنس	lɒrens
لاغر	lɒɣar
لامرد	lɒmerd
لایک	lɒjik
لبت	labat
لبک	ljubek
لبم	ljubim
لپ	lp
لحظ	lahza
لحی	lahi
لخ	leχ
لر	lara
لژ	leʒe
لس	las
لطافت	latɒfat
لعنت	laʔnat
لغو	laɣw
لغوی	laɣwi
لقب	laqab
لمبر	lambare
لنت	lenta
لنج	land͡ʒ
لندن	landan
لنکران	lankarɒn
لنگرود	lanɡrud
لنین	lenin
لنینیزم	leninizm
لو	lew
لوب	luba
لوث	lus
لوح	lawha
لورا	laurɒ
لوز	luz
لوکس	lukas
لوند	lunda
لوور	luwr
لویی	lewij
لیبل	lejbl
لیتر	litr
لیتوانی	litwɒni
لیث	lajs
لیدر	lider
لیدی	lidija
لیل	lila
لیلا	lajlɒ
لیلی	lajli
لینک	link
لیورپول	liwerpul
مآل	mɒl
مأسس	mɒss
مؤدی	mudi
مؤنث	mauajense
ما	mɒ
مابین	mɒbajn
ماتم	mɒtam
ماجرا	mɒd͡ʒarɒ
مادر	mɒdar
مادرش	mɒdaraʃ
مادریش	mɒdariaʃ
مادریشان	mɒdariaʃɒn
مارس	mɒrajes
مازندران	mɒzandarɒn
ماست	mɒst
ماسک	mɒsk
مالد	mɒlde
ماند	meɒjand
مانند	mɒnand
مانوی	mɒnawija
ماه	mɒh
مایل	mɒjil
مبدع	mabdaʔ
مبرم	mebaram
مبل	mebel
مبند	mejɒband
مپل	mpla
متا	matɒ
متانت	matɒnat
متر	metr
مترو	metru
متریک	materik
متکی	metki
متل	metal
متن	matn
متیس	matias
متیل	metil
مثل	misl
مثلی	misli
مثنوی	masnawi
مجاز	mad͡ʒɒz
مجازی	mad͡ʒɒzi
مجبور	mad͡ʒbur
مجلل	mad͡ʒalla
مجید	mad͡ʒid
مچت	met͡ʃet
محدود	mahdud
محراب	mehrɒb
محرمان	mahramɒna
محض	mahz
محکم	mahkam
محل	mahal
محلل	mahalla
محلی	mahali
محمد	mahmad
محمود	mahmud
محنت	mehnat
محو	mahw
محور	mehwar
مخ	meχ
مخصوص	maχsus
مد	mad
مداد	medɒd
مدت	mdt
مدر	madar
مدرس	madrasa
مدل	medal
مدم	madm
مدن	madan
مدنی	madani
مدنیت	madanijat
مدور	madura
مدیر	madejra
مراکش	marɒkaʃ
مربوط	marbut
مرتب	martaba
مرجع	mard͡ʒaʔ
مرحبا	marhabɒ
مرحمت	marhamat
مرد	mard
مرز	marz
مرسدس	mersedes
مرسل	marsel
مرسی	marsija
مرض	marz
مرغزار	marɣzɒr
مرکل	merkel
مرگ	marɡ
مرند	marand
مرهم	marham
مرو	marw
مروارید	marwɒrid
مرود	merawad
مرودشت	marwdaʃt
مروی	marwi
مری	marija
مرید	merida
مریلند	merilend
مریم	mariam
مزد	mezad
مزدا	mazdɒ
مزدک	mazdak
مزن	mezen
مس	mas
مساحت	masɒhat
مساله	masɒleh
مسایل	masɒjil
مستان	mastɒn
مستر	master
مسخر	masχara
مسکن	maskan
مسکو	maskaw
مسیر	masir
مش	maʃ
مشعلی	maʃʔali
مشهور	maʃhur
مشورت	maʃwarat
مشی	miʃi
مصدر	masdar
مصعود	masʔud
مصلی	misli
مضحک	mazhaka
مضمون	mazmun
مطاع	matɒʔ
مطب	matbaa
مطر	metr
مطرح	matrah
مطلب	matlab
مطلع	matlaʔ
معبد	maʔbad
معد	meʔda
معدن	maʔdan
معذب	mʔzab
معراج	meʔrɒd͡ʒ
معروف	maʔruf
معشوق	maʔʃuq
معلول	maʔlul
معمار	meʔmɒr
معنوی	maʔnawi
معنویت	maʔnawijɒt
مغ	meɣ
مغذی	maɣzi
مغز	maɣz
مف	mfa
مفت	mejɒft
مفتون	maftun
مفر	mafra
مکتوب	maktub
مکس	maks
مکن	meken
مکند	makanda
مکید	makida
مگر	maɡar
مگس	mɡs
ملا	malɒje
ملاحت	malɒhat
ملارد	malɒrd
ملامت	malɒmat
ملانی	melɒni
ملبورن	melburn
ملت	malta
ملخ	malaχ
ملک	malaka
ملکا	malekɒ
ملکوت	malakut
ملل	malla
ملنگ	malanɡ
ملی	mali
ملین	malina
ممت	mmt
ممد	mmd
ممسنی	mamasani
مملکت	mamlakat
ممنون	mamnun
من	man
منا	jamnɒje
منافی	manɒfeji
منان	menɒn
منبع	manbaʔ
منت	manta
منجر	mened͡ʒer
منچ	mant͡ʃa
منچستر	mant͡ʃester
مند	mand
منش	menʃe
منشی	manʃaji
منص	manas
منطق	mantaqa
منظور	manzur
منم	mjanma
منو	manu
منوچهر	manut͡ʃehr
مه	mah
مهاباد	mahɒbɒd
مهارت	mahɒrat
مهبل	mahbal
مهتر	mehtar
مهر	mehr
مهراب	mehrɒb
مهسا	mahsɒ
مهستی	mahasti
مهمان	mehmɒn
مهمد	mahmad
مهین	mahin
موبد	mubad
موج	mawd͡ʒ
موجز	mud͡ʒaz
موجود	mawd͡ʒud
مورچ	murt͡ʃ
مورد	murda
موز	muzeja
موس	mus
موسوی	musawi
موسی	musi
موشک	muʃak
موضع	mawzeʔ
موضوع	mawzuʔ
موقع	mawqeʔ
موکب	mukaab
مولانا	mawlɒnɒ
مولوی	mawlawi
مون	mun
مونا	munɒ
مونترال	muntrɒl
مونث	mauajense
مونس	mauajense
موهم	muham
می	maj
میت	majte
میترا	mitrɒ
میخان	majχɒna
میدان	majdɒn
میرزا	mirzɒ
میرس	mijeres
میرو	miru
میزبان	mizbɒn
میسان	mejsɒn
میسر	misr
میشل	miʃel
میکاپ	majkɒp
میکل	majkl
میگ	miɡ
میل	majl
میلک	milk
میمن	majmana
میمون	majmun
مینسک	minsk
مینوی	minuji
نا	nɒ
نابینا	nɒbinɒ
ناپدید	nɒpadid
ناتوان	nɒtawɒn
ناحق	nɒhaq
ناردان	nɒrdɒn
نازنین	nɒzanin
ناگهان	nɒɡahɒn
نام	nɒm
نامد	naɒmad
نامدار	nɒmdɒr
نامزد	nɒmzad
نامور	nɒmwar
ناموس	nɒmus
ناموسی	nɒmusi
نانو	junɒnu
ناهموار	nɒhamwɒr
ناوبری	nɒwbari
ناوسروان	nɒwsarwɒn
نایل	nɒjil
نباشد	nabɒʃad
نبد	najɒbad
نبر	nabera
نبرد	nabard
نبردها	nabardhɒ
نبردهای	nabardhɒji
نبوی	nabawi
نپال	neapɒl
نپتون	neptun
نپر	napr
نت	net
نجات	nad͡ʒɒt
نجاست	nad͡ʒɒsat
نجف	nad͡ʒaf
نچ	nat͡ʃ
نحو	nahw
نحوی	nahwi
نخود	naχud
ندا	nadɒ
ندارم	nadɒram
ندیم	nadim
نراد	narɒda
نرت	nart
نرخ	narχ
نرس	narse
نرسید	narasida
نرفت	narafta
نرو	neruje
نروس	narwajes
نروی	neruji
نریمان	narimɒn
نزاکت	nazɒkat
نزدی	nazdi
نزدیک	nazdik
نژاد	naʒɒd
نسب	nasb
نسبی	nasabi
نسترن	nastaran
نستعلیق	nastaʔliq
نسخ	nasχ
نسف	nasaf
نسک	nsk
نسیم	nasim
نشو	naʃw
نشوند	naʃawand
نشوی	naʃwi
نصرانی	nasrɒni
نصف	nasaf
نظارت	nazɒrat
نظر	nazar
نعمت	neʔmat
نفاست	nafɒsat
نفحات	nafahɒt
نفر	nafar
نفرت	nafrat
نفریت	nefrit
نفرین	nafrin
نفس	nafas
نفسانی	nafsɒni
نق	naq
نقش	naqʃ
نقی	naqi
نکرد	nakard
نکشید	nakaʃid
نکو	neku
نگا	neɡɒ
نگر	neɡra
نگشت	naɡaʃta
نگم	nɡema
نگون	nɡujen
نمام	namɒjem
نمایش	namɒjiʃ
نمد	namad
نمرود	namerawad
نمک	namak
نمو	nemu
نمود	namud
نمودار	namudɒr
نمودم	namudam
نمی	nami
ننت	nant
نه	naha
نهروان	nahrawɒn
نهی	nahj
نو	naw
نواخت	nawɒχta
نواز	nawɒz
نوبت	nawbat
نوجوان	nawd͡ʒawɒn
نود	newada
نوذر	nuzar
نور	janwar
نورس	nawras
نوروز	nawruz
نوزده	nuzdah
نوشید	nuʃida
نوشیدن	nuʃidan
نوشین	nuʃin
نوع	nawʔ
نوک	nauka
نول	newel
نوه	nuh
نوی	nawi
نویس	newis
نویسد	nawised
نویسند	nawisanda
نوین	nawin
نی	ni
نیت	nijat
نیجر	nid͡ʒer
نیر	nir
نیشابور	niʃɒbur
نیشکر	najʃakar
نیکل	nikel
نیی	nat͡sij
ها	hɒ
هاجر	hɒd͡ʒar
هانس	hɒns
های	hɒji
هایتی	hɒjiti
هایی	hɒjiji
هجر	had͡ʒar
هجری	had͡ʒari
هجو	had͡ʒw
هجوی	had͡ʒwi
هد	had
هدف	hadaf
هدفشان	hadafaʃɒn
هدی	hadi
هر	har
هربرت	herbert
هردو	hardu
هرس	hares
هرم	haram
هرمس	hermes
هرمن	herman
هزار	hazɒr
هزج	hazad͡ʒ
هست	hast
هشت	haʃt
هشتاد	haʃtɒd
هشترود	haʃtrud
هفت	haft
هفتاد	haftɒd
هفتصد	haftsad
هق	haq
هکتار	hektɒr
هکر	hkr
هگل	heɡel
هل	hal
هلال	halɒl
هلسینکی	helsinki
هلن	helen
هلنا	helenɒ
هلیکوپتر	hlikuptr
هلیم	halima
هما	hamɒ
هماهنگ	hamɒhanɡ
هماهنگی	hamɒhanɡi
همایش	hamɒjiʃ
همبستگی	hambastaɡi
همجوار	hamd͡ʒawɒr
همچون	hamt͡ʃun
همدان	hamadɒn
همزبان	hamzabɒn
همزمان	hamzamɒn
همسفر	hamsafar
همش	hameʃa
همگانی	hamaɡɒni
همگی	hamaɡi
هملت	hamlet
همید	hamid
همین	hamin
همینجا	hamind͡ʒɒ
همینگوی	heminɡujej
هند	hand
هندبال	handbɒl
هندس	handasa
هنگام	hanɡɒme
هنوز	hanuz
هوا	hawɒ
هواپیما	hawɒpajmɒ
هوز	hawza
هوس	hawas
هوش	huʃ
هوشنگ	huʃanɡ
هوشنگی	huʃanɡi
هول	hawel
هونگ	huanɡ
هوو	huwa
هوی	jɒhuji
هی	hi
هیتلر	hitler
هیثم	hajsam
هیدر	hajdar
هیکل	hajkal
واست	wɒst
والتر	wɒlter
وانمود	wɒnamud
وایت	wɒjit
واین	wɒjni
وب	web
وبر	weber
وتو	t͡swetajew
وثن	wjɒsni
وجه	wad͡ʒh
وحدت	wahdat
وحشت	wahʃat
وحی	wahj
ورث	weres
ورد	werde
ورزد	warzad
ورزقان	warzaqɒn
ورشو	warʃawa
ورق	waraq
ورک	warka
ورل	warela
ورم	wremja
ورمانت	wermɒnt
ورن	wern
ورنی	wraʃt͡ʃenija
ورور	warwara
وز	waz
وزارت	wazɒrat
وزد	wezde
وست	west
وسترن	western
وسط	west
وسع	waseʔ
وسن	wjɒsni
وشو	waʃu
وطن	watan
وقتش	waqtaʃ
وقتی	waqti
وکالت	wakɒlat
ول	wale
ولتر	walter
ولد	walad
ولنگار	walanɡɒr
ولو	wat͡slaw
ولی	wali
وند	jaunde
ونکوور	wankuwer
ونیز	wniz
وه	wah
وهب	wahb
وی	waj
ویرایش	wirɒjiʃ
ویرجین	wird͡ʒin
ویس	wis
ویکنت	wikente
ویکنتس	wikentsa
ویگن	wiɡan
ویلن	wiljuna
ویلهلم	wilhelm
وین	winja
وینسنت	winsent
ویو	wejw
یا	jɒ
یمن	jemen
ین	jena
